ID;Perioden;Consumentenprijsindex1969100_1;Consumentenprijsindex1975100_2;Consumentenprijsindex1980100_3;Consumentenprijsindex1985100_4;Consumentenprijsindex1990100_5;Consumentenprijsindex1995100_6;Consumentenprijsindex2000100_7;Consumentenprijsindex2006100_8;Consumentenprijsindex2015100_9
98;1977 juli;183.1;116.1;;;;;;;
99;1977 augustus;184.0;116.7;;;;;;;
100;1977 september;185.1;117.5;;;;;;;
101;1977 oktober;186.2;118.0;;;;;;;
102;1977 november;186.7;118.2;;;;;;;
103;1977 december;186.6;118.3;;;;;;;
104;1977;182.9;116.0;;;;;;;
105;1978 januari;185.4;117.8;;;;;;;
106;1978 februari;186.1;118.3;;;;;;;
107;1978 maart;188.3;119.4;;;;;;;
108;1978 april;190.1;120.3;;;;;;;
109;1978 mei;190.6;120.5;;;;;;;
110;1978 juni;190.4;120.5;;;;;;;
111;1978 juli;190.8;121.1;;;;;;;
112;1978 augustus;191.6;121.6;;;;;;;
113;1978 september;193.1;122.5;;;;;;;
114;1978 oktober;193.9;122.9;;;;;;;
115;1978 november;194.0;123.0;;;;;;;
116;1978 december;193.9;122.9;;;;;;;
117;1978;190.7;120.9;;;;;;;
118;1979 januari;193.1;122.7;;;;;;;
119;1979 februari;194.2;123.2;;;;;;;
120;1979 maart;196.4;124.3;;;;;;;
121;1979 april;198.2;125.2;;;;;;;
122;1979 mei;198.5;125.4;;;;;;;
123;1979 juni;198.8;125.5;;;;;;;
124;1979 juli;198.7;125.9;;;;;;;
125;1979 augustus;199.7;126.6;;;;;;;
126;1979 september;201.8;127.8;;;;;;;
127;1979 oktober;203.6;128.7;;;;;;;
128;1979 november;204.1;128.9;;;;;;;
129;1979 december;204.6;129.2;;;;;;;
130;1979;199.3;126.1;;;;;;;
131;1980 januari;;130.0;;;;;;;
132;1980 februari;;131.3;;;;;;;
133;1980 maart;;132.5;;;;;;;
134;1980 april;;134.2;;;;;;;
135;1980 mei;;134.6;;;;;;;
136;1980 juni;;134.5;;;;;;;
137;1980 juli;;135.3;;;;;;;
138;1980 augustus;;135.8;;;;;;;
139;1980 september;;136.8;;;;;;;
140;1980 oktober;;137.5;;;;;;;
141;1980 november;;138.0;;;;;;;
142;1980 december;;138.2;;;;;;;
143;1980;;134.9;100.0;;;;;;
144;1981 januari;;139.0;103.3;;;;;;
145;1981 februari;;139.8;103.8;;;;;;
146;1981 maart;;141.1;104.6;;;;;;
147;1981 april;;142.6;105.4;;;;;;
148;1981 mei;;143.3;105.9;;;;;;
149;1981 juni;;143.4;106.2;;;;;;
150;1981 juli;;144.4;107.0;;;;;;
151;1981 augustus;;145.0;107.3;;;;;;
152;1981 september;;146.7;108.3;;;;;;
153;1981 oktober;;147.9;109.3;;;;;;
154;1981 november;;148.3;109.7;;;;;;
155;1981 december;;148.3;109.7;;;;;;
156;1981;;144.1;106.7;;;;;;
157;1982 januari;;149.0;110.2;;;;;;
158;1982 februari;;149.7;110.6;;;;;;
159;1982 maart;;151.1;111.6;;;;;;
160;1982 april;;152.1;112.2;;;;;;
161;1982 mei;;152.4;112.5;;;;;;
162;1982 juni;;152.7;112.6;;;;;;
163;1982 juli;;153.1;113.2;;;;;;
164;1982 augustus;;153.3;113.3;;;;;;
165;1982 september;;154.4;113.9;;;;;;
166;1982 oktober;;155.1;114.5;;;;;;
167;1982 november;;155.0;114.5;;;;;;
168;1982 december;;154.7;114.3;;;;;;
169;1982;;152.7;112.8;;;;;;
170;1983 januari;;;114.3;;;;;;
171;1983 februari;;;114.5;;;;;;
172;1983 maart;;;114.7;;;;;;
173;1983 april;;;115.2;;;;;;
174;1983 mei;;;115.3;;;;;;
175;1983 juni;;;115.4;;;;;;
176;1983 juli;;;116.0;;;;;;
177;1983 augustus;;;116.3;;;;;;
178;1983 september;;;116.8;;;;;;
179;1983 oktober;;;117.4;;;;;;
180;1983 november;;;117.6;;;;;;
181;1983 december;;;117.6;;;;;;
182;1983;;;115.9;;;;;;
183;1984 januari;;;117.9;;;;;;
184;1984 februari;;;118.4;;;;;;
185;1984 maart;;;119.0;;;;;;
186;1984 april;;;119.4;;;;;;
187;1984 mei;;;119.4;;;;;;
188;1984 juni;;;119.4;;;;;;
189;1984 juli;;;119.3;;;;;;
190;1984 augustus;;;119.4;;;;;;
191;1984 september;;;120.0;;;;;;
192;1984 oktober;;;120.9;;;;;;
193;1984 november;;;121.0;;;;;;
194;1984 december;;;120.9;;;;;;
195;1984;;;119.6;;;;;;
196;1985 januari;;;120.6;;;;;;
197;1985 februari;;;121.0;;;;;;
198;1985 maart;;;121.9;;;;;;
199;1985 april;;;122.4;;;;;;
200;1985 mei;;;122.6;;;;;;
201;1985 juni;;;122.5;;;;;;
202;1985 juli;;;122.2;;;;;;
203;1985 augustus;;;122.2;;;;;;
204;1985 september;;;122.8;;;;;;
205;1985 oktober;;;123.2;;;;;;
206;1985 november;;;123.2;;;;;;
207;1985 december;;;122.9;;;;;;
208;1985;;;122.3;100.0;;;;;
209;1986 januari;;;122.4;100.1;;;;;
210;1986 februari;;;122.6;100.2;;;;;
211;1986 maart;;;122.7;100.3;;;;;
212;1986 april;;;123.2;100.6;;;;;
213;1986 mei;;;123.2;100.6;;;;;
214;1986 juni;;;122.7;100.3;;;;;
215;1986 juli;;;121.6;99.5;;;;;
216;1986 augustus;;;121.8;99.6;;;;;
217;1986 september;;;122.3;100.0;;;;;
218;1986 oktober;;;123.2;100.4;;;;;
219;1986 november;;;123.3;100.5;;;;;
220;1986 december;;;123.0;100.3;;;;;
221;1986;;;122.7;100.2;;;;;
222;1987 januari;;;121.3;99.1;;;;;
223;1987 februari;;;121.6;99.3;;;;;
224;1987 maart;;;121.9;99.5;;;;;
225;1987 april;;;122.3;99.7;;;;;
226;1987 mei;;;122.4;99.7;;;;;
227;1987 juni;;;122.2;99.6;;;;;
228;1987 juli;;;122.1;99.6;;;;;
229;1987 augustus;;;122.4;99.9;;;;;
230;1987 september;;;123.0;100.2;;;;;
231;1987 oktober;;;123.6;100.4;;;;;
232;1987 november;;;123.5;100.3;;;;;
233;1987 december;;;123.2;100.1;;;;;
234;1987;;;122.5;99.8;;;;;
235;1988 januari;;;122.2;99.5;;;;;
236;1988 februari;;;122.4;99.7;;;;;
237;1988 maart;;;123.0;100.2;;;;;
238;1988 april;;;123.4;100.5;;;;;
239;1988 mei;;;123.5;100.6;;;;;
240;1988 juni;;;123.4;100.5;;;;;
241;1988 juli;;;123.5;100.7;;;;;
242;1988 augustus;;;;100.9;;;;;
243;1988 september;;;;101.2;;;;;
244;1988 oktober;;;;101.3;;;;;
245;1988 november;;;;101.4;;;;;
246;1988 december;;;;101.3;;;;;
247;1988;;;;100.7;;;;;
248;1989 januari;;;;100.4;;;;;
249;1989 februari;;;;100.7;;;;;
250;1989 maart;;;;101.1;;;;;
251;1989 april;;;;101.6;;;;;
252;1989 mei;;;;101.6;;;;;
253;1989 juni;;;;101.5;;;;;
254;1989 juli;;;;101.7;;;;;
255;1989 augustus;;;;102.0;;;;;
256;1989 september;;;;102.5;;;;;
257;1989 oktober;;;;102.6;;;;;
258;1989 november;;;;102.6;;;;;
259;1989 december;;;;102.6;;;;;
260;1989;;;;101.7;;;;;
261;1990 januari;;;;102.5;;;;;
262;1990 februari;;;;102.9;;;;;
263;1990 maart;;;;103.3;;;;;
264;1990 april;;;;103.8;;;;;
265;1990 mei;;;;103.9;;;;;
266;1990 juni;;;;103.8;;;;;
267;1990 juli;;;;104.1;;;;;
268;1990 augustus;;;;104.5;;;;;
269;1990 september;;;;105.3;;;;;
270;1990 oktober;;;;105.7;;;;;
271;1990 november;;;;105.6;;;;;
272;1990 december;;;;105.4;;;;;
273;1990;;;;104.3;100.0;;;;
274;1991 januari;;;;106.0;101.2;;;;
275;1991 februari;;;;106.2;101.3;;;;
276;1991 maart;;;;106.8;102.0;;;;
277;1991 april;;;;107.2;102.1;;;;
278;1991 mei;;;;107.4;102.3;;;;
279;1991 juni;;;;107.5;102.5;;;;
280;1991 juli;;;;109.0;103.5;;;;
281;1991 augustus;;;;109.4;103.6;;;;
282;1991 september;;;;110.1;104.5;;;;
283;1991 oktober;;;;110.5;104.8;;;;
284;1991 november;;;;110.7;105.0;;;;
285;1991 december;;;;110.6;104.8;;;;
286;1991;;;;108.5;103.1;;;;
287;1992 januari;;;;110.3;104.6;;;;
288;1992 februari;;;;110.7;105.1;;;;
289;1992 maart;;;;111.4;105.9;;;;
290;1992 april;;;;111.9;106.3;;;;
291;1992 mei;;;;112.0;106.3;;;;
292;1992 juni;;;;111.8;106.0;;;;
293;1992 juli;;;;112.4;106.4;;;;
294;1992 augustus;;;;113.3;106.6;;;;
295;1992 september;;;;113.9;107.5;;;;
296;1992 oktober;;;;114.1;107.5;;;;
297;1992 november;;;;114.2;107.6;;;;
298;1992 december;;;;113.8;107.2;;;;
299;1992;;;;112.5;106.4;;;;
300;1993 januari;;;;113.2;107.2;;;;
301;1993 februari;;;;113.6;107.8;;;;
302;1993 maart;;;;114.1;108.5;;;;
303;1993 april;;;;114.6;108.9;;;;
304;1993 mei;;;;114.5;108.8;;;;
305;1993 juni;;;;114.2;108.4;;;;
306;1993 juli;;;;115.0;109.1;;;;
307;1993 augustus;;;;115.5;109.8;;;;
308;1993 september;;;;116.0;110.5;;;;
309;1993 oktober;;;;116.2;110.5;;;;
310;1993 november;;;;116.1;110.5;;;;
311;1993 december;;;;115.7;110.0;;;;
312;1993;;;;114.9;109.2;;;;
313;1994 januari;;;;115.9;110.4;;;;
314;1994 februari;;;;116.6;111.0;;;;
315;1994 maart;;;;117.3;111.7;;;;
316;1994 april;;;;117.5;111.9;;;;
317;1994 mei;;;;117.6;112.0;;;;
318;1994 juni;;;;117.3;111.7;;;;
319;1994 juli;;;;117.7;112.1;;;;
320;1994 augustus;;;;118.2;112.6;;;;
321;1994 september;;;;119.2;113.5;;;;
322;1994 oktober;;;;119.3;113.6;;;;
323;1994 november;;;;119.0;113.3;;;;
324;1994 december;;;;118.5;112.9;;;;
325;1994;;;;117.8;112.2;;;;
326;1995 januari;;;;;113.1;;;;
327;1995 februari;;;;;113.7;;;;
328;1995 maart;;;;;114.3;;;;
329;1995 april;;;;;114.5;;;;
330;1995 mei;;;;;114.3;;;;
331;1995 juni;;;;;114.1;;;;
332;1995 juli;;;;;114.1;;;;
333;1995 augustus;;;;;114.3;;;;
334;1995 september;;;;;115.2;;;;
335;1995 oktober;;;;;115.1;;;;
336;1995 november;;;;;115.1;;;;
337;1995 december;;;;;114.8;;;;
338;1995;;;;;114.4;100.0;;;
339;1996 januari;;;;;115.3;100.6;;;
340;1996 februari;;;;;115.7;101.0;;;
341;1996 maart;;;;;116.6;102.0;;;
342;1996 april;;;;;116.8;102.3;;;
343;1996 mei;;;;;116.6;102.0;;;
344;1996 juni;;;;;116.1;101.6;;;
345;1996 juli;;;;;116.6;101.9;;;
346;1996 augustus;;;;;116.5;101.7;;;
347;1996 september;;;;;117.5;102.7;;;
348;1996 oktober;;;;;117.9;102.9;;;
349;1996 november;;;;;117.8;102.8;;;
350;1996 december;;;;;117.7;102.7;;;
351;1996;;;;;116.8;102.0;;;
352;1997 januari;;;;;118.0;102.8;;;
353;1997 februari;;;;;118.2;103.0;;;
354;1997 maart;;;;;118.9;103.8;;;
355;1997 april;;;;;118.9;103.9;;;
356;1997 mei;;;;;119.2;104.2;;;
357;1997 juni;;;;;118.7;103.6;;;
358;1997 juli;;;;;119.3;104.0;;;
359;1997 augustus;;;;;119.5;104.3;;;
360;1997 september;;;;;120.6;105.2;;;
361;1997 oktober;;;;;;105.3;;;
362;1997 november;;;;;;105.4;;;
363;1997 december;;;;;;105.1;;;
364;1997;;;;;;104.2;;;
365;1998 januari;;;;;;104.7;;;
366;1998 februari;;;;;;105.3;;;
367;1998 maart;;;;;;106.2;;;
368;1998 april;;;;;;106.4;;;
369;1998 mei;;;;;;106.3;;;
370;1998 juni;;;;;;105.9;;;
371;1998 juli;;;;;;106.1;;;
372;1998 augustus;;;;;;106.1;;;
373;1998 september;;;;;;107.0;;;
374;1998 oktober;;;;;;107.3;;;
375;1998 november;;;;;;107.2;;;
376;1998 december;;;;;;106.9;;;
377;1998;;;;;;106.3;;;
378;1999 januari;;;;;;107.0;;;
379;1999 februari;;;;;;107.5;;;
380;1999 maart;;;;;;108.5;;;
381;1999 april;;;;;;108.7;;;
382;1999 mei;;;;;;108.7;;;
383;1999 juni;;;;;;108.3;;;
384;1999 juli;;;;;;108.3;;;
385;1999 augustus;;;;;;108.9;;;
386;1999 september;;;;;;109.4;;;
387;1999 oktober;;;;;;109.5;;;
388;1999 november;;;;;;109.6;;;
389;1999 december;;;;;;109.2;;;
390;1999;;;;;;108.6;;;
391;2000 januari;;;;;;109.1;98.1;;
392;2000 februari;;;;;;109.6;98.7;;
393;2000 maart;;;;;;110.6;99.4;;
394;2000 april;;;;;;111.0;99.6;;
395;2000 mei;;;;;;111.3;99.9;;
396;2000 juni;;;;;;111.2;99.8;;
397;2000 juli;;;;;;111.3;99.7;;
398;2000 augustus;;;;;;111.6;100.1;;
399;2000 september;;;;;;112.6;101.2;;
400;2000 oktober;;;;;;112.9;101.3;;
401;2000 november;;;;;;112.9;101.4;;
402;2000 december;;;;;;112.4;100.8;;
403;2000;;;;;;111.4;100.0;;
404;2001 januari;;;;;;113.7;101.8;;
405;2001 februari;;;;;;114.5;102.6;;
406;2001 maart;;;;;;115.7;103.5;;
407;2001 april;;;;;;116.4;104.1;;
408;2001 mei;;;;;;116.7;104.4;;
409;2001 juni;;;;;;116.2;104.0;;
410;2001 juli;;;;;;116.4;104.0;;
411;2001 augustus;;;;;;116.8;104.3;;
412;2001 september;;;;;;117.9;105.5;;
413;2001 oktober;;;;;;117.8;105.4;;
414;2001 november;;;;;;117.6;105.3;;
415;2001 december;;;;;;117.4;105.0;;
416;2001;;;;;;116.4;104.2;;
417;2002 januari;;;;;;118.3;105.9;;
418;2002 februari;;;;;;118.8;106.4;;
419;2002 maart;;;;;;119.9;107.3;;
420;2002 april;;;;;;120.6;107.7;;
421;2002 mei;;;;;;120.6;107.8;;
422;2002 juni;;;;;;120.2;107.4;;
423;2002 juli;;;;;;120.4;107.4;;
424;2002 augustus;;;;;;120.6;107.7;;
425;2002 september;;;;;;121.8;108.8;;
426;2002 oktober;;;;;;121.6;108.5;;
427;2002 november;;;;;;121.2;108.2;;
428;2002 december;;;;;;121.0;107.9;;
429;2002;;;;;;120.4;107.6;;
430;2003 januari;;;;;;;108.4;;
431;2003 februari;;;;;;;109.0;;
432;2003 maart;;;;;;;109.9;;
433;2003 april;;;;;;;110.0;;
434;2003 mei;;;;;;;110.0;;
435;2003 juni;;;;;;;109.5;;
436;2003 juli;;;;;;;109.7;;
437;2003 augustus;;;;;;;110.0;;
438;2003 september;;;;;;;111.0;;
439;2003 oktober;;;;;;;110.7;;
440;2003 november;;;;;;;110.4;;
441;2003 december;;;;;;;109.7;;
442;2003;;;;;;;109.9;;
443;2004 januari;;;;;;;109.8;;
444;2004 februari;;;;;;;110.3;;
445;2004 maart;;;;;;;111.1;;
446;2004 april;;;;;;;111.5;;
447;2004 mei;;;;;;;111.7;;
448;2004 juni;;;;;;;111.0;;
449;2004 juli;;;;;;;110.9;;
450;2004 augustus;;;;;;;111.2;;
451;2004 september;;;;;;;112.1;;
452;2004 oktober;;;;;;;112.2;;
453;2004 november;;;;;;;111.8;;
454;2004 december;;;;;;;111.0;;
455;2004;;;;;;;111.2;;
456;2005 januari;;;;;;;111.5;;
457;2005 februari;;;;;;;112.1;;
458;2005 maart;;;;;;;113.1;;
459;2005 april;;;;;;;113.2;;
460;2005 mei;;;;;;;113.2;;
461;2005 juni;;;;;;;112.8;;
462;2005 juli;;;;;;;112.7;;
463;2005 augustus;;;;;;;113.2;;
464;2005 september;;;;;;;114.1;;
465;2005 oktober;;;;;;;114.0;;
466;2005 november;;;;;;;113.8;;
467;2005 december;;;;;;;113.2;;
468;2005;;;;;;;113.1;;
469;2006 januari;;;;;;;112.9;98.68;
470;2006 februari;;;;;;;113.3;99.06;
471;2006 maart;;;;;;;114.2;99.84;
472;2006 april;;;;;;;114.6;100.3;
473;2006 mei;;;;;;;114.6;100.38;
474;2006 juni;;;;;;;114.3;100.02;
475;2006 juli;;;;;;;114.2;99.83;
476;2006 augustus;;;;;;;114.8;100.36;
477;2006 september;;;;;;;115.3;100.74;
478;2006 oktober;;;;;;;115.0;100.49;
479;2006 november;;;;;;;114.9;100.33;
480;2006 december;;;;;;;114.5;99.96;
481;2006;;;;;;;114.4;100.0;
482;2007 januari;;;;;;;;100.08;
483;2007 februari;;;;;;;;100.54;
484;2007 maart;;;;;;;;101.63;
485;2007 april;;;;;;;;102.12;
486;2007 mei;;;;;;;;102.19;
487;2007 juni;;;;;;;;101.77;
488;2007 juli;;;;;;;;101.29;
489;2007 augustus;;;;;;;;101.47;
490;2007 september;;;;;;;;102.07;
491;2007 oktober;;;;;;;;102.11;
492;2007 november;;;;;;;;102.26;
493;2007 december;;;;;;;;101.83;
494;2007;;;;;;;;101.61;
495;2008 januari;;;;;;;;102.11;
496;2008 februari;;;;;;;;102.8;
497;2008 maart;;;;;;;;103.82;
498;2008 april;;;;;;;;104.2;
499;2008 mei;;;;;;;;104.57;
500;2008 juni;;;;;;;;104.38;
501;2008 juli;;;;;;;;104.54;
502;2008 augustus;;;;;;;;104.74;
503;2008 september;;;;;;;;105.19;
504;2008 oktober;;;;;;;;104.95;
505;2008 november;;;;;;;;104.57;
506;2008 december;;;;;;;;103.81;
507;2008;;;;;;;;104.14;
508;2009 januari;;;;;;;;104.08;
509;2009 februari;;;;;;;;104.81;
510;2009 maart;;;;;;;;105.86;
511;2009 april;;;;;;;;106.1;
512;2009 mei;;;;;;;;106.24;
513;2009 juni;;;;;;;;105.87;
514;2009 juli;;;;;;;;104.74;
515;2009 augustus;;;;;;;;105.03;
516;2009 september;;;;;;;;105.59;
517;2009 oktober;;;;;;;;105.69;
518;2009 november;;;;;;;;105.58;
519;2009 december;;;;;;;;104.96;
520;2009;;;;;;;;105.38;
521;2010 januari;;;;;;;;104.93;
522;2010 februari;;;;;;;;105.68;
523;2010 maart;;;;;;;;106.93;
524;2010 april;;;;;;;;107.29;
525;2010 mei;;;;;;;;107.25;
526;2010 juni;;;;;;;;106.74;
527;2010 juli;;;;;;;;106.44;
528;2010 augustus;;;;;;;;106.6;
529;2010 september;;;;;;;;107.26;
530;2010 oktober;;;;;;;;107.35;
531;2010 november;;;;;;;;107.22;
532;2010 december;;;;;;;;106.99;
533;2010;;;;;;;;106.72;
534;2011 januari voor herberekening;;;;;;;;107.0;
535;2011 februari voor herberekening;;;;;;;;107.74;
536;2011 maart voor herberekening;;;;;;;;109.02;
537;2011 april voor herberekening;;;;;;;;109.54;
538;2011 mei voor herberekening;;;;;;;;109.71;
539;2011 juni voor herberekening;;;;;;;;109.18;
540;2011 juli voor herberekening;;;;;;;;109.23;
541;2011 augustus voor herberekening;;;;;;;;109.38;
542;2011 september voor herberekening;;;;;;;;110.17;
543;2011 oktober voor herberekening;;;;;;;;110.15;
544;2011 november voor herberekening;;;;;;;;110.01;
545;2011 december voor herberekening;;;;;;;;109.54;
546;2011 januari na herberekening;;;;;;;;106.87;
547;2011 februari na herberekening;;;;;;;;107.68;
548;2011 maart na herberekening;;;;;;;;108.9;
549;2011 april na herberekening;;;;;;;;109.48;
550;2011 mei na herberekening;;;;;;;;109.57;
551;2011 juni na herberekening;;;;;;;;109.03;
552;2011 juli na herberekening;;;;;;;;109.58;
553;2011 augustus na herberekening;;;;;;;;109.76;
554;2011 september na herberekening;;;;;;;;110.15;
555;2011 oktober na herberekening;;;;;;;;110.2;
556;2011 november na herberekening;;;;;;;;109.86;
557;2011 december na herberekening;;;;;;;;109.58;
558;2011;;;;;;;;109.22;
559;2012 januari;;;;;;;;109.52;
560;2012 februari;;;;;;;;110.35;
561;2012 maart;;;;;;;;111.61;
562;2012 april;;;;;;;;112.06;
563;2012 mei;;;;;;;;111.9;
564;2012 juni;;;;;;;;111.36;
565;2012 juli;;;;;;;;112.09;
566;2012 augustus;;;;;;;;112.24;
567;2012 september;;;;;;;;112.7;
568;2012 oktober;;;;;;;;113.36;
569;2012 november;;;;;;;;112.9;
570;2012 december;;;;;;;;112.74;
571;2012;;;;;;;;111.9;
572;2013 januari;;;;;;;;112.77;
573;2013 februari;;;;;;;;113.66;
574;2013 maart;;;;;;;;114.87;
575;2013 april;;;;;;;;114.97;
576;2013 mei;;;;;;;;115.0;
577;2013 juni;;;;;;;;114.57;
578;2013 juli;;;;;;;;115.54;
579;2013 augustus;;;;;;;;115.39;
580;2013 september;;;;;;;;115.46;
581;2013 oktober;;;;;;;;115.13;
582;2013 november;;;;;;;;114.56;
583;2013 december;;;;;;;;114.62;
584;2013;;;;;;;;114.71;
585;2014 januari;;;;;;;;114.37;
586;2014 februari;;;;;;;;114.86;
587;2014 maart;;;;;;;;115.82;
588;2014 april;;;;;;;;116.35;
589;2014 mei;;;;;;;;115.95;
590;2014 juni;;;;;;;;115.64;
591;2014 juli;;;;;;;;116.58;
592;2014 augustus;;;;;;;;116.5;
593;2014 september;;;;;;;;116.48;
594;2014 oktober;;;;;;;;116.34;
595;2014 november;;;;;;;;115.65;
596;2014 december;;;;;;;;115.42;
597;2014;;;;;;;;115.83;
598;2015 januari;;;;;;;;114.42;98.15
599;2015 februari;;;;;;;;115.04;98.69
600;2015 maart;;;;;;;;116.26;99.75
601;2015 april;;;;;;;;117.01;100.39
602;2015 mei;;;;;;;;117.26;100.61
603;2015 juni;;;;;;;;116.81;100.23
604;2015 juli;;;;;;;;117.77;101.0
605;2015 augustus;;;;;;;;117.4;100.69
606;2015 september;;;;;;;;117.18;100.5
607;2015 oktober;;;;;;;;117.07;100.41
608;2015 november;;;;;;;;116.42;99.85
609;2015 december;;;;;;;;116.28;99.73
610;2015;;;;;;;;116.58;100.0
611;2016 januari;;;;;;;;;98.71
612;2016 februari;;;;;;;;;99.3
613;2016 maart;;;;;;;;;100.31
614;2016 april;;;;;;;;;100.4
615;2016 mei;;;;;;;;;100.58
616;2016 juni;;;;;;;;;100.26
617;2016 juli;;;;;;;;;100.76
618;2016 augustus;;;;;;;;;100.88
619;2016 september;;;;;;;;;100.57
620;2016 oktober;;;;;;;;;100.83
621;2016 november;;;;;;;;;100.49
622;2016 december;;;;;;;;;100.71
623;2016;;;;;;;;;100.32
624;2017 januari;;;;;;;;;100.35
625;2017 februari;;;;;;;;;101.09
626;2017 maart;;;;;;;;;101.44
627;2017 april;;;;;;;;;101.98
628;2017 mei;;;;;;;;;101.65
629;2017 juni;;;;;;;;;101.37
630;2017 juli;;;;;;;;;102.11
631;2017 augustus;;;;;;;;;102.27
632;2017 september;;;;;;;;;102.03
633;2017 oktober;;;;;;;;;102.17
634;2017 november;;;;;;;;;102.0
635;2017 december;;;;;;;;;101.97
636;2017;;;;;;;;;101.7
637;2018 januari;;;;;;;;;101.82
638;2018 februari;;;;;;;;;102.31
639;2018 maart;;;;;;;;;102.47
640;2018 april;;;;;;;;;103.11
641;2018 mei;;;;;;;;;103.42
642;2018 juni;;;;;;;;;103.1
643;2018 juli;;;;;;;;;104.28
644;2018 augustus;;;;;;;;;104.4
645;2018 september;;;;;;;;;103.95
646;2018 oktober;;;;;;;;;104.32
647;2018 november;;;;;;;;;104.07
648;2018 december;;;;;;;;;103.97
649;2018;;;;;;;;;103.44
650;2019 januari;;;;;;;;;104.05
651;2019 februari;;;;;;;;;104.97
