ID;TaxesAndSocialContributions;Periods;TaxesAndSocialContributions_1
55;Total taxes and social contributions;2009 2nd quarter;55169.0
56;Total taxes and social contributions;2009 3rd quarter;51689.0
57;Total taxes and social contributions;2009 4th quarter;58572.0
58;Total taxes and social contributions;2009;222543.0
59;Total taxes and social contributions;2010 1st quarter;56608.0
60;Total taxes and social contributions;2010 2nd quarter;59582.0
61;Total taxes and social contributions;2010 3rd quarter;51826.0
62;Total taxes and social contributions;2010 4th quarter;62084.0
63;Total taxes and social contributions;2010;230100.0
64;Total taxes and social contributions;2011 1st quarter;59304.0
65;Total taxes and social contributions;2011 2nd quarter;58467.0
66;Total taxes and social contributions;2011 3rd quarter;54953.0
67;Total taxes and social contributions;2011 4th quarter;60778.0
68;Total taxes and social contributions;2011;233502.0
69;Total taxes and social contributions;2012 1st quarter;59189.0
70;Total taxes and social contributions;2012 2nd quarter;60111.0
71;Total taxes and social contributions;2012 3rd quarter;53821.0
72;Total taxes and social contributions;2012 4th quarter;62216.0
73;Total taxes and social contributions;2012;235337.0
74;Total taxes and social contributions;2013 1st quarter;61052.0
75;Total taxes and social contributions;2013 2nd quarter;62342.0
76;Total taxes and social contributions;2013 3rd quarter;57099.0
77;Total taxes and social contributions;2013 4th quarter;61521.0
78;Total taxes and social contributions;2013;242014.0
79;Total taxes and social contributions;2014 1st quarter;63318.0
80;Total taxes and social contributions;2014 2nd quarter;64775.0
81;Total taxes and social contributions;2014 3rd quarter;58688.0
82;Total taxes and social contributions;2014 4th quarter;65439.0
83;Total taxes and social contributions;2014;252220.0
84;Total taxes and social contributions;2015 1st quarter;66267.0
85;Total taxes and social contributions;2015 2nd quarter;64704.0
86;Total taxes and social contributions;2015 3rd quarter;59183.0
87;Total taxes and social contributions;2015 4th quarter;67533.0
88;Total taxes and social contributions;2015;257687.0
89;Total taxes and social contributions;2016 1st quarter;70191.0
90;Total taxes and social contributions;2016 2nd quarter;70479.0
91;Total taxes and social contributions;2016 3rd quarter;64515.0
92;Total taxes and social contributions;2016 4th quarter;69660.0
93;Total taxes and social contributions;2016;274845.0
94;Total taxes and social contributions;2017 1st quarter;75477.0
95;Total taxes and social contributions;2017 2nd quarter;72184.0
96;Total taxes and social contributions;2017 3rd quarter;67027.0
97;Total taxes and social contributions;2017 4th quarter;73573.0
98;Total taxes and social contributions;2017;288261.0
99;Total taxes and social contributions;2018 1st quarter;80812.0
100;Total taxes and social contributions;2018 2nd quarter;75555.0
101;Total taxes and social contributions;2018 3rd quarter;70430.0
102;Total taxes and social contributions;2018 4th quarter;75903.0
103;Total taxes and social contributions;2018;302700.0
104;Total taxes and social contributions;2019 1st quarter;86558.0
105;Total taxes and social contributions;2019 2nd quarter;79764.0
106;Total taxes and social contributions;2019 3rd quarter;73957.0
107;Total taxes and social contributions;2019 4th quarter;80986.0
108;Total taxes and social contributions;2019;321265.0
109;Total taxes and social contributions;2020 1st quarter;87658.0
110;Total taxes and social contributions;2020 2nd quarter;75307.0
111;Total taxes and social contributions;2020 3rd quarter;74387.0
112;Total taxes and social contributions;2020 4th quarter;83569.0
113;Total taxes and social contributions;2020;320921.0
114;Total taxes and social contributions;2021 1st quarter;87868.0
115;Total taxes and social contributions;2021 2nd quarter;85377.0
116;Total taxes and social contributions;2021 3rd quarter;79951.0
117;Total taxes and social contributions;2021 4th quarter;92121.0
118;Total taxes and social contributions;2021;345317.0
119;Total taxes and social contributions;2022 1st quarter;94858.0
120;Total taxes and social contributions;2022 2nd quarter;94612.0
121;Total taxes and social contributions;2022 3rd quarter;84446.0
122;Total taxes and social contributions;2022 4th quarter;100376.0
123;Total taxes and social contributions;2022;374292.0
124;Total taxes and social contributions;2023 1st quarter;99766.0
125;Total taxes and social contributions;2023 2nd quarter;106838.0
126;Total taxes and social contributions;2023 3rd quarter;94451.0
127;Total taxes and social contributions;2023 4th quarter;106372.0
128;Total taxes and social contributions;2023;407427.0
129;Total taxes and social contributions;2024 1st quarter;103950.0
130;Total taxes and social contributions;2024 2nd quarter;115862.0
131;Total taxes and social contributions;2024 3rd quarter;103361.0
132;Total taxes and social contributions;2024 4th quarter;109435.0
133;Total taxes and social contributions;2024;432608.0
134;Total taxes;1995;72868.0
135;Total taxes;1996;78596.0
136;Total taxes;1997;82148.0
137;Total taxes;1998;86877.0
138;Total taxes;1999 1st quarter;21793.0
139;Total taxes;1999 2nd quarter;22991.0
140;Total taxes;1999 3rd quarter;23012.0
141;Total taxes;1999 4th quarter;26588.0
142;Total taxes;1999;94384.0
143;Total taxes;2000 1st quarter;22457.0
144;Total taxes;2000 2nd quarter;25496.0
145;Total taxes;2000 3rd quarter;23732.0
146;Total taxes;2000 4th quarter;28760.0
147;Total taxes;2000;100445.0
148;Total taxes;2001 1st quarter;24671.0
149;Total taxes;2001 2nd quarter;26787.0
150;Total taxes;2001 3rd quarter;26460.0
151;Total taxes;2001 4th quarter;29727.0
152;Total taxes;2001;107645.0
153;Total taxes;2002 1st quarter;26052.0
154;Total taxes;2002 2nd quarter;29968.0
155;Total taxes;2002 3rd quarter;25932.0
156;Total taxes;2002 4th quarter;30632.0
157;Total taxes;2002;112584.0
158;Total taxes;2003 1st quarter;26151.0
159;Total taxes;2003 2nd quarter;28238.0
160;Total taxes;2003 3rd quarter;25996.0
161;Total taxes;2003 4th quarter;30072.0
162;Total taxes;2003;110457.0
163;Total taxes;2004 1st quarter;26099.0
164;Total taxes;2004 2nd quarter;30101.0
165;Total taxes;2004 3rd quarter;26998.0
166;Total taxes;2004 4th quarter;32490.0
167;Total taxes;2004;115688.0
168;Total taxes;2005 1st quarter;28208.0
169;Total taxes;2005 2nd quarter;31803.0
170;Total taxes;2005 3rd quarter;29875.0
171;Total taxes;2005 4th quarter;33528.0
172;Total taxes;2005;123414.0
173;Total taxes;2006 1st quarter;30365.0
174;Total taxes;2006 2nd quarter;33047.0
175;Total taxes;2006 3rd quarter;31453.0
176;Total taxes;2006 4th quarter;36219.0
177;Total taxes;2006;131084.0
178;Total taxes;2007 1st quarter;32549.0
179;Total taxes;2007 2nd quarter;36021.0
180;Total taxes;2007 3rd quarter;31869.0
181;Total taxes;2007 4th quarter;39349.0
182;Total taxes;2007;139788.0
183;Total taxes;2008 1st quarter;34242.0
184;Total taxes;2008 2nd quarter;38047.0
185;Total taxes;2008 3rd quarter;38389.0
186;Total taxes;2008 4th quarter;38537.0
187;Total taxes;2008;149215.0
188;Total taxes;2009 1st quarter;34661.0
189;Total taxes;2009 2nd quarter;37004.0
190;Total taxes;2009 3rd quarter;31873.0
191;Total taxes;2009 4th quarter;35783.0
192;Total taxes;2009;139321.0
193;Total taxes;2010 1st quarter;34527.0
194;Total taxes;2010 2nd quarter;38338.0
195;Total taxes;2010 3rd quarter;31966.0
196;Total taxes;2010 4th quarter;37395.0
197;Total taxes;2010;142226.0
198;Total taxes;2011 1st quarter;35681.0
199;Total taxes;2011 2nd quarter;38760.0
200;Total taxes;2011 3rd quarter;33546.0
201;Total taxes;2011 4th quarter;36318.0
202;Total taxes;2011;144305.0
203;Total taxes;2012 1st quarter;35042.0
204;Total taxes;2012 2nd quarter;38644.0
205;Total taxes;2012 3rd quarter;32317.0
206;Total taxes;2012 4th quarter;36790.0
207;Total taxes;2012;142793.0
208;Total taxes;2013 1st quarter;35845.0
209;Total taxes;2013 2nd quarter;39302.0
210;Total taxes;2013 3rd quarter;34109.0
211;Total taxes;2013 4th quarter;36791.0
212;Total taxes;2013;146047.0
213;Total taxes;2014 1st quarter;37996.0
214;Total taxes;2014 2nd quarter;42632.0
215;Total taxes;2014 3rd quarter;36067.0
216;Total taxes;2014 4th quarter;38982.0
217;Total taxes;2014;155677.0
218;Total taxes;2015 1st quarter;41190.0
219;Total taxes;2015 2nd quarter;45520.0
220;Total taxes;2015 3rd quarter;36152.0
221;Total taxes;2015 4th quarter;39346.0
222;Total taxes;2015;162208.0
223;Total taxes;2016 1st quarter;43807.0
224;Total taxes;2016 2nd quarter;46064.0
225;Total taxes;2016 3rd quarter;39237.0
226;Total taxes;2016 4th quarter;41850.0
227;Total taxes;2016;170958.0
228;Total taxes;2017 1st quarter;50549.0
229;Total taxes;2017 2nd quarter;47043.0
230;Total taxes;2017 3rd quarter;40615.0
231;Total taxes;2017 4th quarter;45241.0
232;Total taxes;2017;183448.0
233;Total taxes;2018 1st quarter;54668.0
234;Total taxes;2018 2nd quarter;44945.0
235;Total taxes;2018 3rd quarter;44501.0
236;Total taxes;2018 4th quarter;47154.0
237;Total taxes;2018;191268.0
238;Total taxes;2019 1st quarter;61131.0
239;Total taxes;2019 2nd quarter;47616.0
240;Total taxes;2019 3rd quarter;46908.0
241;Total taxes;2019 4th quarter;50979.0
242;Total taxes;2019;206634.0
243;Total taxes;2020 1st quarter;64189.0
244;Total taxes;2020 2nd quarter;40515.0
245;Total taxes;2020 3rd quarter;48326.0
246;Total taxes;2020 4th quarter;53578.0
247;Total taxes;2020;206608.0
248;Total taxes;2021 1st quarter;62352.0
249;Total taxes;2021 2nd quarter;47400.0
250;Total taxes;2021 3rd quarter;55425.0
251;Total taxes;2021 4th quarter;63299.0
252;Total taxes;2021;228476.0
253;Total taxes;2022 1st quarter;68168.0
254;Total taxes;2022 2nd quarter;57174.0
255;Total taxes;2022 3rd quarter;56083.0
256;Total taxes;2022 4th quarter;68404.0
257;Total taxes;2022;249829.0
258;Total taxes;2023 1st quarter;72024.0
259;Total taxes;2023 2nd quarter;67393.0
260;Total taxes;2023 3rd quarter;66214.0
261;Total taxes;2023 4th quarter;72594.0
262;Total taxes;2023;278225.0
263;Total taxes;2024 1st quarter;73962.0
264;Total taxes;2024 2nd quarter;76536.0
265;Total taxes;2024 3rd quarter;73954.0
266;Total taxes;2024 4th quarter;72815.0
267;Total taxes;2024;297267.0
268;Corporate income tax;1995;9459.0
269;Corporate income tax;1996;12500.0
270;Corporate income tax;1997;14673.0
271;Corporate income tax;1998;15300.0
272;Corporate income tax;1999 1st quarter;
273;Corporate income tax;1999 2nd quarter;
274;Corporate income tax;1999 3rd quarter;
275;Corporate income tax;1999 4th quarter;
276;Corporate income tax;1999;15651.0
277;Corporate income tax;2000 1st quarter;
278;Corporate income tax;2000 2nd quarter;
279;Corporate income tax;2000 3rd quarter;
280;Corporate income tax;2000 4th quarter;
281;Corporate income tax;2000;16736.0
282;Corporate income tax;2001 1st quarter;
283;Corporate income tax;2001 2nd quarter;
284;Corporate income tax;2001 3rd quarter;
285;Corporate income tax;2001 4th quarter;
286;Corporate income tax;2001;17580.0
287;Corporate income tax;2002 1st quarter;
288;Corporate income tax;2002 2nd quarter;
289;Corporate income tax;2002 3rd quarter;
290;Corporate income tax;2002 4th quarter;
291;Corporate income tax;2002;15394.0
292;Corporate income tax;2003 1st quarter;
293;Corporate income tax;2003 2nd quarter;
294;Corporate income tax;2003 3rd quarter;
295;Corporate income tax;2003 4th quarter;
296;Corporate income tax;2003;13392.0
297;Corporate income tax;2004 1st quarter;
298;Corporate income tax;2004 2nd quarter;
299;Corporate income tax;2004 3rd quarter;
300;Corporate income tax;2004 4th quarter;
301;Corporate income tax;2004;14994.0
302;Corporate income tax;2005 1st quarter;
303;Corporate income tax;2005 2nd quarter;
304;Corporate income tax;2005 3rd quarter;
305;Corporate income tax;2005 4th quarter;
306;Corporate income tax;2005;17069.0
307;Corporate income tax;2006 1st quarter;
308;Corporate income tax;2006 2nd quarter;
309;Corporate income tax;2006 3rd quarter;
310;Corporate income tax;2006 4th quarter;
311;Corporate income tax;2006;17907.0
312;Corporate income tax;2007 1st quarter;
313;Corporate income tax;2007 2nd quarter;
314;Corporate income tax;2007 3rd quarter;
315;Corporate income tax;2007 4th quarter;
316;Corporate income tax;2007;18552.0
317;Corporate income tax;2008 1st quarter;3931.0
318;Corporate income tax;2008 2nd quarter;4521.0
319;Corporate income tax;2008 3rd quarter;4160.0
320;Corporate income tax;2008 4th quarter;6202.0
321;Corporate income tax;2008;18814.0
322;Corporate income tax;2009 1st quarter;3827.0
323;Corporate income tax;2009 2nd quarter;2592.0
324;Corporate income tax;2009 3rd quarter;2000.0
325;Corporate income tax;2009 4th quarter;3185.0
326;Corporate income tax;2009;11604.0
327;Corporate income tax;2010 1st quarter;3860.0
328;Corporate income tax;2010 2nd quarter;3196.0
329;Corporate income tax;2010 3rd quarter;2016.0
330;Corporate income tax;2010 4th quarter;3710.0
331;Corporate income tax;2010;12782.0
332;Corporate income tax;2011 1st quarter;4256.0
333;Corporate income tax;2011 2nd quarter;2685.0
334;Corporate income tax;2011 3rd quarter;2770.0
335;Corporate income tax;2011 4th quarter;2698.0
336;Corporate income tax;2011;12409.0
337;Corporate income tax;2012 1st quarter;4377.0
338;Corporate income tax;2012 2nd quarter;2711.0
339;Corporate income tax;2012 3rd quarter;2077.0
340;Corporate income tax;2012 4th quarter;2689.0
341;Corporate income tax;2012;11854.0
342;Corporate income tax;2013 1st quarter;4187.0
343;Corporate income tax;2013 2nd quarter;2706.0
344;Corporate income tax;2013 3rd quarter;2762.0
345;Corporate income tax;2013 4th quarter;2792.0
346;Corporate income tax;2013;12447.0
347;Corporate income tax;2014 1st quarter;4826.0
348;Corporate income tax;2014 2nd quarter;4006.0
349;Corporate income tax;2014 3rd quarter;3309.0
350;Corporate income tax;2014 4th quarter;2370.0
351;Corporate income tax;2014;14511.0
352;Corporate income tax;2015 1st quarter;6115.0
353;Corporate income tax;2015 2nd quarter;3635.0
354;Corporate income tax;2015 3rd quarter;3125.0
355;Corporate income tax;2015 4th quarter;3233.0
356;Corporate income tax;2015;16108.0
357;Corporate income tax;2016 1st quarter;7432.0
358;Corporate income tax;2016 2nd quarter;5870.0
359;Corporate income tax;2016 3rd quarter;4573.0
360;Corporate income tax;2016 4th quarter;3160.0
361;Corporate income tax;2016;21035.0
362;Corporate income tax;2017 1st quarter;10044.0
363;Corporate income tax;2017 2nd quarter;4309.0
364;Corporate income tax;2017 3rd quarter;3946.0
365;Corporate income tax;2017 4th quarter;3114.0
366;Corporate income tax;2017;21413.0
367;Corporate income tax;2018 1st quarter;11391.0
368;Corporate income tax;2018 2nd quarter;4945.0
369;Corporate income tax;2018 3rd quarter;4243.0
370;Corporate income tax;2018 4th quarter;3034.0
371;Corporate income tax;2018;23613.0
372;Corporate income tax;2019 1st quarter;13212.0
373;Corporate income tax;2019 2nd quarter;5213.0
374;Corporate income tax;2019 3rd quarter;4147.0
375;Corporate income tax;2019 4th quarter;3357.0
376;Corporate income tax;2019;25929.0
377;Corporate income tax;2020 1st quarter;11282.0
378;Corporate income tax;2020 2nd quarter;2327.0
379;Corporate income tax;2020 3rd quarter;3750.0
380;Corporate income tax;2020 4th quarter;4318.0
381;Corporate income tax;2020;21677.0
382;Corporate income tax;2021 1st quarter;11029.0
383;Corporate income tax;2021 2nd quarter;6894.0
384;Corporate income tax;2021 3rd quarter;5584.0
385;Corporate income tax;2021 4th quarter;7189.0
386;Corporate income tax;2021;30696.0
387;Corporate income tax;2022 1st quarter;13685.0
388;Corporate income tax;2022 2nd quarter;10707.0
389;Corporate income tax;2022 3rd quarter;7913.0
390;Corporate income tax;2022 4th quarter;5970.0
391;Corporate income tax;2022;38275.0
392;Corporate income tax;2023 1st quarter;13627.0
393;Corporate income tax;2023 2nd quarter;15546.0
394;Corporate income tax;2023 3rd quarter;10398.0
395;Corporate income tax;2023 4th quarter;7943.0
396;Corporate income tax;2023;47514.0
397;Corporate income tax;2024 1st quarter;10707.0
398;Corporate income tax;2024 2nd quarter;16831.0
399;Corporate income tax;2024 3rd quarter;9256.0
400;Corporate income tax;2024 4th quarter;8381.0
401;Corporate income tax;2024;45175.0
402;Personal income tax;1995;2939.0
403;Personal income tax;1996;2505.0
404;Personal income tax;1997;2206.0
405;Personal income tax;1998;1276.0
406;Personal income tax;1999 1st quarter;
407;Personal income tax;1999 2nd quarter;
408;Personal income tax;1999 3rd quarter;
409;Personal income tax;1999 4th quarter;
410;Personal income tax;1999;-1184.0
411;Personal income tax;2000 1st quarter;
412;Personal income tax;2000 2nd quarter;
413;Personal income tax;2000 3rd quarter;
414;Personal income tax;2000 4th quarter;
415;Personal income tax;2000;-880.0
416;Personal income tax;2001 1st quarter;
417;Personal income tax;2001 2nd quarter;
418;Personal income tax;2001 3rd quarter;
419;Personal income tax;2001 4th quarter;
420;Personal income tax;2001;-2888.0
421;Personal income tax;2002 1st quarter;
422;Personal income tax;2002 2nd quarter;
423;Personal income tax;2002 3rd quarter;
424;Personal income tax;2002 4th quarter;
425;Personal income tax;2002;-193.0
426;Personal income tax;2003 1st quarter;
427;Personal income tax;2003 2nd quarter;
428;Personal income tax;2003 3rd quarter;
429;Personal income tax;2003 4th quarter;
430;Personal income tax;2003;-881.0
431;Personal income tax;2004 1st quarter;
432;Personal income tax;2004 2nd quarter;
433;Personal income tax;2004 3rd quarter;
434;Personal income tax;2004 4th quarter;
435;Personal income tax;2004;771.0
436;Personal income tax;2005 1st quarter;
437;Personal income tax;2005 2nd quarter;
438;Personal income tax;2005 3rd quarter;
439;Personal income tax;2005 4th quarter;
440;Personal income tax;2005;3.0
441;Personal income tax;2006 1st quarter;
442;Personal income tax;2006 2nd quarter;
443;Personal income tax;2006 3rd quarter;
444;Personal income tax;2006 4th quarter;
445;Personal income tax;2006;-471.0
446;Personal income tax;2007 1st quarter;
447;Personal income tax;2007 2nd quarter;
448;Personal income tax;2007 3rd quarter;
449;Personal income tax;2007 4th quarter;
450;Personal income tax;2007;460.0
451;Personal income tax;2008 1st quarter;-265.0
452;Personal income tax;2008 2nd quarter;-1542.0
453;Personal income tax;2008 3rd quarter;3953.0
454;Personal income tax;2008 4th quarter;-6.0
455;Personal income tax;2008;2140.0
456;Personal income tax;2009 1st quarter;-42.0
457;Personal income tax;2009 2nd quarter;488.0
458;Personal income tax;2009 3rd quarter;91.0
459;Personal income tax;2009 4th quarter;-2.0
460;Personal income tax;2009;535.0
461;Personal income tax;2010 1st quarter;-104.0
462;Personal income tax;2010 2nd quarter;607.0
463;Personal income tax;2010 3rd quarter;177.0
464;Personal income tax;2010 4th quarter;135.0
465;Personal income tax;2010;815.0
466;Personal income tax;2011 1st quarter;179.0
467;Personal income tax;2011 2nd quarter;1293.0
468;Personal income tax;2011 3rd quarter;277.0
469;Personal income tax;2011 4th quarter;167.0
470;Personal income tax;2011;1916.0
471;Personal income tax;2012 1st quarter;-85.0
472;Personal income tax;2012 2nd quarter;1448.0
473;Personal income tax;2012 3rd quarter;269.0
474;Personal income tax;2012 4th quarter;70.0
475;Personal income tax;2012;1702.0
476;Personal income tax;2013 1st quarter;-59.0
477;Personal income tax;2013 2nd quarter;898.0
478;Personal income tax;2013 3rd quarter;61.0
479;Personal income tax;2013 4th quarter;28.0
480;Personal income tax;2013;928.0
481;Personal income tax;2014 1st quarter;-285.0
482;Personal income tax;2014 2nd quarter;1535.0
483;Personal income tax;2014 3rd quarter;764.0
484;Personal income tax;2014 4th quarter;806.0
485;Personal income tax;2014;2820.0
486;Personal income tax;2015 1st quarter;-25.0
487;Personal income tax;2015 2nd quarter;3077.0
488;Personal income tax;2015 3rd quarter;-654.0
489;Personal income tax;2015 4th quarter;-1153.0
490;Personal income tax;2015;1245.0
491;Personal income tax;2016 1st quarter;-94.0
492;Personal income tax;2016 2nd quarter;-683.0
493;Personal income tax;2016 3rd quarter;-483.0
494;Personal income tax;2016 4th quarter;-411.0
495;Personal income tax;2016;-1671.0
496;Personal income tax;2017 1st quarter;2338.0
497;Personal income tax;2017 2nd quarter;-1002.0
498;Personal income tax;2017 3rd quarter;-594.0
499;Personal income tax;2017 4th quarter;-261.0
500;Personal income tax;2017;481.0
501;Personal income tax;2018 1st quarter;2799.0
502;Personal income tax;2018 2nd quarter;-5196.0
503;Personal income tax;2018 3rd quarter;1063.0
504;Personal income tax;2018 4th quarter;483.0
505;Personal income tax;2018;-851.0
506;Personal income tax;2019 1st quarter;5382.0
507;Personal income tax;2019 2nd quarter;-4860.0
508;Personal income tax;2019 3rd quarter;1826.0
509;Personal income tax;2019 4th quarter;1167.0
510;Personal income tax;2019;3515.0
511;Personal income tax;2020 1st quarter;8225.0
512;Personal income tax;2020 2nd quarter;-7490.0
513;Personal income tax;2020 3rd quarter;2827.0
514;Personal income tax;2020 4th quarter;2033.0
515;Personal income tax;2020;5595.0
516;Personal income tax;2021 1st quarter;6025.0
517;Personal income tax;2021 2nd quarter;-9358.0
518;Personal income tax;2021 3rd quarter;5209.0
519;Personal income tax;2021 4th quarter;4736.0
520;Personal income tax;2021;6612.0
521;Personal income tax;2022 1st quarter;6603.0
522;Personal income tax;2022 2nd quarter;-7303.0
523;Personal income tax;2022 3rd quarter;2228.0
524;Personal income tax;2022 4th quarter;4083.0
525;Personal income tax;2022;5611.0
526;Personal income tax;2023 1st quarter;7891.0
527;Personal income tax;2023 2nd quarter;-5962.0
528;Personal income tax;2023 3rd quarter;6795.0
529;Personal income tax;2023 4th quarter;4000.0
530;Personal income tax;2023;12724.0
531;Personal income tax;2024 1st quarter;8922.0
532;Personal income tax;2024 2nd quarter;-1081.0
533;Personal income tax;2024 3rd quarter;12049.0
534;Personal income tax;2024 4th quarter;4090.0
535;Personal income tax;2024;23980.0
536;Value added tax (VAT);1995;19832.0
537;Value added tax (VAT);1996;21315.0
538;Value added tax (VAT);1997;22410.0
539;Value added tax (VAT);1998;24147.0
540;Value added tax (VAT);1999 1st quarter;6036.0
541;Value added tax (VAT);1999 2nd quarter;6645.0
542;Value added tax (VAT);1999 3rd quarter;6388.0
543;Value added tax (VAT);1999 4th quarter;7871.0
544;Value added tax (VAT);1999;26940.0
545;Value added tax (VAT);2000 1st quarter;5872.0
546;Value added tax (VAT);2000 2nd quarter;7344.0
547;Value added tax (VAT);2000 3rd quarter;6557.0
548;Value added tax (VAT);2000 4th quarter;8614.0
549;Value added tax (VAT);2000;28387.0
550;Value added tax (VAT);2001 1st quarter;7427.0
551;Value added tax (VAT);2001 2nd quarter;7909.0
552;Value added tax (VAT);2001 3rd quarter;7325.0
553;Value added tax (VAT);2001 4th quarter;9290.0
554;Value added tax (VAT);2001;31951.0
555;Value added tax (VAT);2002 1st quarter;7820.0
556;Value added tax (VAT);2002 2nd quarter;8427.0
557;Value added tax (VAT);2002 3rd quarter;7657.0
558;Value added tax (VAT);2002 4th quarter;9669.0
559;Value added tax (VAT);2002;33573.0
560;Value added tax (VAT);2003 1st quarter;8214.0
561;Value added tax (VAT);2003 2nd quarter;8394.0
562;Value added tax (VAT);2003 3rd quarter;8200.0
563;Value added tax (VAT);2003 4th quarter;9974.0
564;Value added tax (VAT);2003;34782.0
565;Value added tax (VAT);2004 1st quarter;7885.0
566;Value added tax (VAT);2004 2nd quarter;9175.0
567;Value added tax (VAT);2004 3rd quarter;8337.0
568;Value added tax (VAT);2004 4th quarter;10190.0
569;Value added tax (VAT);2004;35587.0
570;Value added tax (VAT);2005 1st quarter;7921.0
571;Value added tax (VAT);2005 2nd quarter;9050.0
572;Value added tax (VAT);2005 3rd quarter;9096.0
573;Value added tax (VAT);2005 4th quarter;10883.0
574;Value added tax (VAT);2005;36950.0
575;Value added tax (VAT);2006 1st quarter;8377.0
576;Value added tax (VAT);2006 2nd quarter;9926.0
577;Value added tax (VAT);2006 3rd quarter;9973.0
578;Value added tax (VAT);2006 4th quarter;11612.0
579;Value added tax (VAT);2006;39888.0
580;Value added tax (VAT);2007 1st quarter;10155.0
581;Value added tax (VAT);2007 2nd quarter;10227.0
582;Value added tax (VAT);2007 3rd quarter;9551.0
583;Value added tax (VAT);2007 4th quarter;12019.0
584;Value added tax (VAT);2007;41952.0
585;Value added tax (VAT);2008 1st quarter;9758.0
586;Value added tax (VAT);2008 2nd quarter;11566.0
587;Value added tax (VAT);2008 3rd quarter;10454.0
588;Value added tax (VAT);2008 4th quarter;11530.0
589;Value added tax (VAT);2008;43308.0
590;Value added tax (VAT);2009 1st quarter;9716.0
591;Value added tax (VAT);2009 2nd quarter;10751.0
592;Value added tax (VAT);2009 3rd quarter;10199.0
593;Value added tax (VAT);2009 4th quarter;10601.0
594;Value added tax (VAT);2009;41267.0
595;Value added tax (VAT);2010 1st quarter;9925.0
596;Value added tax (VAT);2010 2nd quarter;10876.0
597;Value added tax (VAT);2010 3rd quarter;9937.0
598;Value added tax (VAT);2010 4th quarter;11102.0
599;Value added tax (VAT);2010;41840.0
600;Value added tax (VAT);2011 1st quarter;10050.0
601;Value added tax (VAT);2011 2nd quarter;10431.0
602;Value added tax (VAT);2011 3rd quarter;10606.0
603;Value added tax (VAT);2011 4th quarter;10813.0
604;Value added tax (VAT);2011;41900.0
605;Value added tax (VAT);2012 1st quarter;9841.0
606;Value added tax (VAT);2012 2nd quarter;10525.0
607;Value added tax (VAT);2012 3rd quarter;10356.0
608;Value added tax (VAT);2012 4th quarter;11055.0
609;Value added tax (VAT);2012;41777.0
610;Value added tax (VAT);2013 1st quarter;10076.0
