ID;CPA2015;Perioden;Prijsindex_1;Kwartaalmutaties_2;Jaarmutaties_3
5642;5221 Diensten ivm vervoer te land;2021 2e kwartaal;99.8;0.7;
5643;5221 Diensten ivm vervoer te land;2021 3e kwartaal;100.9;1.0;
5644;5221 Diensten ivm vervoer te land;2021 4e kwartaal;100.2;-0.7;
5645;5221 Diensten ivm vervoer te land;2021;100.0;;
5646;5221 Diensten ivm vervoer te land;2022 1e kwartaal;103.1;2.9;4.1
5647;5221 Diensten ivm vervoer te land;2022 2e kwartaal;105.0;1.8;5.2
5648;5221 Diensten ivm vervoer te land;2022 3e kwartaal;107.0;1.9;6.1
5649;5221 Diensten ivm vervoer te land;2022 4e kwartaal;104.7;-2.1;4.5
5650;5221 Diensten ivm vervoer te land;2022;105.0;;5.0
5651;5221 Diensten ivm vervoer te land;2023 1e kwartaal;111.8;6.7;8.4
5652;5221 Diensten ivm vervoer te land;2023 2e kwartaal;113.8;1.8;8.3
5653;5221 Diensten ivm vervoer te land;2023 3e kwartaal;114.9;1.0;7.4
5654;5221 Diensten ivm vervoer te land;2023 4e kwartaal;116.9;1.7;11.6
5655;5221 Diensten ivm vervoer te land;2023;114.3;;8.9
5656;5221 Diensten ivm vervoer te land;2024 1e kwartaal;120.1;2.8;7.4
5657;5221 Diensten ivm vervoer te land;2024 2e kwartaal;123.5;2.8;8.6
5658;5221 Diensten ivm vervoer te land;2024 3e kwartaal;124.4;0.7;8.3
5659;5221 Diensten ivm vervoer te land;2024 4e kwartaal;122.7;-1.4;5.0
5660;5221 Diensten ivm vervoer te land;2024;122.7;;7.3
5661;5222 Diensten ivm met vervoer over water;2002 4e kwartaal;;;
5662;5222 Diensten ivm met vervoer over water;2003 1e kwartaal;;;
5663;5222 Diensten ivm met vervoer over water;2003 2e kwartaal;;;
5664;5222 Diensten ivm met vervoer over water;2003 3e kwartaal;;;
5665;5222 Diensten ivm met vervoer over water;2003 4e kwartaal;;;
5666;5222 Diensten ivm met vervoer over water;2003;;;
5667;5222 Diensten ivm met vervoer over water;2004 1e kwartaal;;;
5668;5222 Diensten ivm met vervoer over water;2004 2e kwartaal;;;
5669;5222 Diensten ivm met vervoer over water;2004 3e kwartaal;;;
5670;5222 Diensten ivm met vervoer over water;2004 4e kwartaal;;;
5671;5222 Diensten ivm met vervoer over water;2004;;;
5672;5222 Diensten ivm met vervoer over water;2005 1e kwartaal;;;
5673;5222 Diensten ivm met vervoer over water;2005 2e kwartaal;;;
5674;5222 Diensten ivm met vervoer over water;2005 3e kwartaal;;;
