ID;MeansOfTransport;Periods;CarbonDioxideCO2_1;DinitrogenOxideN2O_2;MethaneCH4_3;CarbonMonoxideCO_4;NMVOC_5;NitrogenOxidesNOx_6;Soot_7;PM10TotalParticulateMatter_8;PM10CombustionParticulateMatter_9;PM10WearParticulateMatter_10;PM25TotalParticulateMatter_11;PM25CombustionParticulateMatter_12;PM25WearParticulateMatter_13;AmmoniaNH3_14;SulphurDioxideSO2_15;CarbonDioxideCO2_16;DinitrogenOxideN2O_17;MethaneCH4_18;CarbonMonoxideCO_19;NMVOC_20;NitrogenOxidesNOx_21;Soot_22;PM10TotalParticulateMatter_23;PM10CombustionParticulateMatter_24;PM10WearParticulateMatter_25;PM25TotalParticulateMatter_26;PM25CombustionParticulateMatter_27;PM25WearParticulateMatter_28;AmmoniaNH3_29;SulphurDioxideSO2_30
22;Total motor vehicles;2012;27524;1.03;2.03;256.37;22.8;89.53;1.29;4.56;2.01;2.54;2.44;2.01;0.42;3.43;0.17;211.0;0.008;0.016;1.97;0.18;0.69;0.01;0.035;0.015;0.02;0.019;0.015;0.003;0.026;0.001
23;Total motor vehicles;2013;26956;1.01;2.1;246.54;22.53;84.13;1.13;4.3;1.79;2.51;2.21;1.79;0.42;3.41;0.17;208.0;0.008;0.016;1.9;0.17;0.65;0.009;0.033;0.014;0.019;0.017;0.014;0.003;0.026;0.001
24;Total motor vehicles;2014;26857;1.01;2.15;240.96;22.31;80.87;1.0;4.14;1.62;2.52;2.04;1.62;0.42;3.44;0.17;207.0;0.008;0.017;1.85;0.17;0.62;0.008;0.032;0.012;0.019;0.016;0.012;0.003;0.026;0.001
25;Total motor vehicles;2015;27241;1.03;2.2;233.78;22.2;79.41;0.89;4.06;1.48;2.58;1.91;1.48;0.43;3.48;0.17;207.0;0.008;0.017;1.77;0.17;0.6;0.007;0.031;0.011;0.02;0.014;0.011;0.003;0.026;0.001
26;Total motor vehicles;2016;28032;1.07;2.25;232.48;22.44;79.17;0.82;4.06;1.39;2.67;1.83;1.39;0.45;3.59;0.17;207.0;0.008;0.017;1.72;0.17;0.58;0.006;0.03;0.01;0.02;0.014;0.01;0.003;0.026;0.001
27;Total motor vehicles;2017;28384;1.08;2.29;228.86;22.44;76.94;0.76;4.03;1.3;2.72;1.76;1.3;0.45;3.64;0.18;207.0;0.008;0.017;1.67;0.16;0.56;0.006;0.029;0.009;0.02;0.013;0.009;0.003;0.026;0.001
28;Total motor vehicles;2018;28677;1.09;2.29;231.43;22.15;76.45;0.74;4.03;1.27;2.76;1.73;1.27;0.46;3.66;0.18;206.0;0.008;0.016;1.66;0.16;0.55;0.005;0.029;0.009;0.02;0.012;0.009;0.003;0.026;0.001
29;Total motor vehicles;2019;28542;1.1;2.25;215.31;21.73;70.69;0.63;3.89;1.1;2.79;1.57;1.1;0.47;3.61;0.18;204.0;0.008;0.016;1.54;0.16;0.51;0.004;0.028;0.008;0.02;0.011;0.008;0.003;0.026;0.001
30;Total motor vehicles;2020;25381;1.02;1.95;182.41;19.5;57.36;0.49;3.38;0.89;2.49;1.31;0.89;0.42;3.27;0.16;209.0;0.008;0.016;1.5;0.16;0.47;0.004;0.028;0.007;0.02;0.011;0.007;0.003;0.027;0.001
31;Total motor vehicles;2021;26205;1.05;1.97;177.17;19.78;55.5;0.44;3.47;0.84;2.62;1.28;0.84;0.44;3.46;0.16;205.0;0.008;0.015;1.39;0.15;0.43;0.003;0.027;0.007;0.021;0.01;0.007;0.003;0.027;0.001
32;Total motor vehicles;2022;26967;1.08;1.96;168.8;19.61;54.36;0.41;3.56;0.79;2.77;1.25;0.79;0.46;3.6;0.17;201.0;0.008;0.015;1.26;0.15;0.41;0.003;0.027;0.006;0.021;0.009;0.006;0.003;0.027;0.001
33;Total motor vehicles;2023;27066;1.09;1.95;163.63;19.54;52.06;0.37;3.6;0.74;2.86;1.22;0.74;0.48;3.77;0.17;195.0;0.008;0.014;1.18;0.14;0.38;0.003;0.026;0.005;0.021;0.009;0.005;0.003;0.027;0.001
34;Passenger cars;1990;15516;0.24;5.24;592.79;134.62;142.67;2.49;6.89;5.5;1.39;5.73;5.5;0.23;0.88;4.61;;;;;;;;;;;;;;;
35;Passenger cars;1991;15405;0.32;4.38;502.57;113.36;130.44;2.24;6.22;4.88;1.34;5.11;4.88;0.22;1.15;4.44;;;;;;;;;;;;;;;
36;Passenger cars;1992;16091;0.43;4.1;475.36;104.63;121.93;2.15;6.03;4.63;1.39;4.86;4.63;0.23;1.44;4.48;;;;;;;;;;;;;;;
37;Passenger cars;1993;15915;0.49;3.65;427.0;92.04;109.3;1.96;5.51;4.15;1.36;4.37;4.15;0.23;1.61;4.18;;;;;;;;;;;;;;;
38;Passenger cars;1994;16260;0.57;3.38;398.22;83.41;100.63;1.89;5.3;3.91;1.39;4.14;3.91;0.23;1.79;3.99;;;;;;;;;;;;;;;
39;Passenger cars;1995;16068;0.63;3.18;379.45;75.01;91.19;1.8;5.01;3.62;1.4;3.85;3.62;0.23;2.1;3.53;;;;;;;;;;;;;;;
40;Passenger cars;1996;16321;0.65;3.01;364.52;68.02;86.17;1.74;4.82;3.41;1.41;3.65;3.41;0.23;2.5;2.66;;;;;;;;;;;;;;;
41;Passenger cars;1997;16659;0.66;2.76;342.42;59.98;79.47;1.7;4.62;3.19;1.43;3.43;3.19;0.24;2.9;1.46;;;;;;;;;;;;;;;
42;Passenger cars;1998;17026;0.66;2.54;323.81;53.08;73.76;1.71;4.52;3.07;1.45;3.31;3.07;0.24;3.21;1.55;;;;;;;;;;;;;;;
43;Passenger cars;1999;17659;0.66;2.4;316.09;47.4;70.11;1.79;4.54;3.05;1.49;3.3;3.05;0.25;3.63;1.7;;;;;;;;;;;;;;;
44;Passenger cars;2000;17777;0.69;2.17;303.42;38.24;62.96;1.75;4.36;2.87;1.49;3.12;2.87;0.25;4.3;1.23;;;;;;;;;;;;;;;
45;Passenger cars;2001;17979;0.68;2.12;304.61;33.17;57.53;1.68;4.17;2.66;1.51;2.91;2.66;0.25;4.67;0.48;;;;;;;;;;;;;;;
46;Passenger cars;2002;18356;0.67;2.11;309.68;29.1;53.15;1.62;4.03;2.49;1.54;2.75;2.49;0.26;4.97;0.54;;;;;;;;;;;;;;;
47;Passenger cars;2003;18574;0.65;2.1;313.07;25.9;49.53;1.56;3.9;2.34;1.56;2.6;2.34;0.26;5.11;0.32;;;;;;;;;;;;;;;
48;Passenger cars;2004;19053;0.64;2.08;314.88;23.59;46.85;1.53;3.84;2.24;1.6;2.51;2.24;0.27;5.27;0.34;193.0;0.006;0.021;3.18;0.24;0.47;0.015;0.039;0.023;0.016;0.025;0.023;0.003;0.053;0.003
49;Passenger cars;2005;18457;0.65;1.85;303.48;20.2;43.8;1.41;3.65;2.07;1.58;2.33;2.07;0.26;4.99;0.18;187.0;0.007;0.019;3.08;0.21;0.44;0.014;0.037;0.021;0.016;0.024;0.021;0.003;0.051;0.002
50;Passenger cars;2006;18314;0.65;1.66;284.42;17.57;40.47;1.28;3.49;1.88;1.61;2.14;1.88;0.27;4.6;0.19;184.0;0.007;0.017;2.86;0.18;0.41;0.013;0.035;0.019;0.016;0.022;0.019;0.003;0.046;0.002
51;Passenger cars;2007;18310;0.65;1.48;269.55;15.31;37.35;1.13;3.31;1.66;1.65;1.94;1.66;0.27;4.28;0.19;181.0;0.006;0.015;2.66;0.15;0.37;0.011;0.033;0.016;0.016;0.019;0.016;0.003;0.042;0.002
52;Passenger cars;2008;17818;0.64;1.28;248.38;12.87;33.26;0.93;3.03;1.39;1.64;1.66;1.39;0.27;3.87;0.11;178.0;0.006;0.013;2.48;0.13;0.33;0.009;0.03;0.014;0.016;0.017;0.014;0.003;0.039;0.001
53;Passenger cars;2009;17547;0.63;1.07;233.96;10.51;29.31;0.73;2.77;1.11;1.66;1.39;1.11;0.27;3.55;0.1;175.0;0.006;0.011;2.33;0.1;0.29;0.007;0.028;0.011;0.016;0.014;0.011;0.003;0.035;0.001
54;Passenger cars;2010;17416;0.63;1.16;223.24;10.65;28.82;0.62;2.63;0.97;1.66;1.24;0.97;0.28;3.46;0.1;172.0;0.006;0.011;2.2;0.11;0.28;0.006;0.026;0.01;0.016;0.012;0.01;0.003;0.034;0.001
55;Passenger cars;2011;17202;0.62;1.28;210.05;11.01;28.48;0.49;2.47;0.81;1.66;1.09;0.81;0.28;3.36;0.1;169.0;0.006;0.013;2.06;0.11;0.28;0.005;0.024;0.008;0.016;0.011;0.008;0.003;0.033;0.001
56;Passenger cars;2012;16990;0.61;1.35;198.98;11.06;28.47;0.42;2.37;0.71;1.66;0.99;0.71;0.28;3.25;0.1;166.0;0.006;0.013;1.95;0.11;0.28;0.004;0.023;0.007;0.016;0.01;0.007;0.003;0.032;0.001
57;Passenger cars;2013;16830;0.6;1.4;192.42;11.15;28.42;0.36;2.3;0.64;1.66;0.92;0.64;0.28;3.19;0.1;165.0;0.006;0.014;1.88;0.11;0.28;0.004;0.023;0.006;0.016;0.009;0.006;0.003;0.031;0.001
58;Passenger cars;2014;16781;0.6;1.46;189.63;11.16;28.29;0.31;2.25;0.58;1.67;0.86;0.58;0.28;3.16;0.1;163.0;0.006;0.014;1.85;0.11;0.28;0.003;0.022;0.006;0.016;0.008;0.006;0.003;0.031;0.001
59;Passenger cars;2015;16893;0.6;1.51;185.27;11.31;28.0;0.27;2.22;0.52;1.7;0.8;0.52;0.28;3.13;0.1;162.0;0.006;0.014;1.78;0.11;0.27;0.003;0.021;0.005;0.016;0.008;0.005;0.003;0.03;0.001
60;Passenger cars;2016;17232;0.61;1.55;185.66;11.6;28.43;0.25;2.25;0.49;1.75;0.79;0.49;0.29;3.16;0.1;162.0;0.006;0.015;1.74;0.11;0.27;0.002;0.021;0.005;0.016;0.007;0.005;0.003;0.03;0.001
61;Passenger cars;2017;17341;0.61;1.57;183.27;11.66;28.27;0.23;2.24;0.46;1.77;0.76;0.46;0.29;3.16;0.1;161.0;0.006;0.015;1.7;0.11;0.26;0.002;0.021;0.004;0.016;0.007;0.004;0.003;0.029;0.001
62;Passenger cars;2018;17487;0.62;1.58;187.32;11.69;28.79;0.23;2.25;0.45;1.8;0.75;0.45;0.3;3.17;0.11;160.0;0.006;0.014;1.71;0.11;0.26;0.002;0.021;0.004;0.016;0.007;0.004;0.003;0.029;0.001
63;Passenger cars;2019;17230;0.62;1.53;174.13;11.43;26.73;0.18;2.19;0.39;1.81;0.69;0.39;0.3;3.05;0.1;158.0;0.006;0.014;1.6;0.1;0.25;0.002;0.02;0.004;0.017;0.006;0.004;0.003;0.028;0.001
64;Passenger cars;2020;14302;0.54;1.27;145.03;9.61;19.58;0.12;1.81;0.29;1.52;0.54;0.29;0.25;2.63;0.09;156.0;0.006;0.014;1.58;0.1;0.21;0.001;0.02;0.003;0.017;0.006;0.003;0.003;0.029;0.001
65;Passenger cars;2021;14874;0.55;1.29;142.04;10.04;19.15;0.11;1.9;0.27;1.63;0.54;0.27;0.27;2.73;0.09;153.0;0.006;0.013;1.46;0.1;0.2;0.001;0.02;0.003;0.017;0.006;0.003;0.003;0.028;0.001
66;Passenger cars;2022;15374;0.56;1.31;136.12;10.21;18.9;0.1;2.0;0.26;1.75;0.55;0.26;0.29;2.8;0.09;150.0;0.005;0.013;1.33;0.1;0.18;0.001;0.02;0.002;0.017;0.005;0.002;0.003;0.027;0.001
67;Passenger cars;2023;15638;0.57;1.33;133.33;10.5;18.66;0.09;2.08;0.24;1.84;0.55;0.24;0.31;2.94;0.1;146.0;0.005;0.012;1.24;0.1;0.17;0.001;0.019;0.002;0.017;0.005;0.002;0.003;0.027;0.001
68;Motorcycles;1990;107;0.0;0.08;19.57;1.69;0.27;0.0;0.03;0.02;0.01;0.02;0.02;0.0;0.0;0.02;;;;;;;;;;;;;;;
69;Motorcycles;1991;125;0.0;0.09;22.79;1.96;0.32;0.0;0.03;0.02;0.01;0.03;0.02;0.0;0.0;0.02;;;;;;;;;;;;;;;
70;Motorcycles;1992;149;0.0;0.11;27.29;2.33;0.38;0.01;0.04;0.03;0.01;0.03;0.03;0.0;0.0;0.02;;;;;;;;;;;;;;;
71;Motorcycles;1993;171;0.0;0.12;31.13;2.65;0.43;0.01;0.04;0.03;0.01;0.03;0.03;0.0;0.0;0.02;;;;;;;;;;;;;;;
72;Motorcycles;1994;184;0.0;0.13;33.47;2.84;0.47;0.01;0.04;0.03;0.01;0.04;0.03;0.0;0.0;0.02;;;;;;;;;;;;;;;
73;Motorcycles;1995;194;0.0;0.13;35.25;2.98;0.49;0.01;0.05;0.04;0.01;0.04;0.04;0.0;0.0;0.01;;;;;;;;;;;;;;;
74;Motorcycles;1996;215;0.0;0.15;39.07;3.29;0.55;0.01;0.05;0.04;0.01;0.04;0.04;0.0;0.0;0.01;;;;;;;;;;;;;;;
75;Motorcycles;1997;224;0.0;0.15;40.68;3.43;0.57;0.01;0.05;0.04;0.01;0.04;0.04;0.0;0.0;0.01;;;;;;;;;;;;;;;
76;Motorcycles;1998;233;0.0;0.16;42.15;3.54;0.59;0.01;0.05;0.04;0.01;0.04;0.04;0.0;0.0;0.01;;;;;;;;;;;;;;;
77;Motorcycles;1999;243;0.0;0.16;41.95;3.56;0.69;0.01;0.06;0.04;0.01;0.05;0.04;0.0;0.0;0.01;;;;;;;;;;;;;;;
78;Motorcycles;2000;256;0.0;0.16;40.29;3.5;0.85;0.01;0.06;0.05;0.01;0.05;0.05;0.0;0.0;0.01;;;;;;;;;;;;;;;
79;Motorcycles;2001;268;0.0;0.15;39.05;3.47;0.99;0.01;0.06;0.05;0.01;0.05;0.05;0.0;0.0;0.01;;;;;;;;;;;;;;;
80;Motorcycles;2002;285;0.0;0.16;39.02;3.53;1.13;0.01;0.06;0.05;0.01;0.05;0.05;0.0;0.0;0.01;;;;;;;;;;;;;;;
81;Motorcycles;2003;295;0.0;0.16;38.59;3.52;1.2;0.01;0.06;0.05;0.02;0.05;0.05;0.0;0.0;0.01;;;;;;;;;;;;;;;
82;Motorcycles;2004;303;0.0;0.16;38.31;3.51;1.22;0.01;0.06;0.05;0.02;0.05;0.05;0.0;0.0;0.01;125.0;0.002;0.065;15.85;1.45;0.51;0.004;0.027;0.02;0.006;0.021;0.02;0.001;0.002;0.002
83;Motorcycles;2005;308;0.0;0.15;37.65;3.47;1.23;0.01;0.06;0.05;0.02;0.05;0.05;0.0;0.0;0.0;125.0;0.002;0.063;15.36;1.41;0.5;0.004;0.026;0.02;0.006;0.021;0.02;0.001;0.002;0.002
84;Motorcycles;2006;310;0.0;0.15;36.94;3.43;1.23;0.01;0.06;0.05;0.02;0.05;0.05;0.0;0.0;0.0;125.0;0.002;0.061;14.91;1.38;0.5;0.004;0.026;0.02;0.006;0.021;0.02;0.001;0.002;0.002
85;Motorcycles;2007;311;0.01;0.15;36.18;3.37;1.23;0.01;0.06;0.05;0.02;0.05;0.05;0.0;0.01;0.0;124.0;0.002;0.059;14.39;1.34;0.49;0.004;0.026;0.019;0.006;0.02;0.019;0.001;0.002;0.002
86;Motorcycles;2008;314;0.01;0.15;35.33;3.3;1.22;0.01;0.06;0.05;0.02;0.05;0.05;0.0;0.01;0.0;123.0;0.002;0.057;13.81;1.29;0.48;0.004;0.025;0.019;0.006;0.02;0.019;0.001;0.002;0.002
87;Motorcycles;2009;315;0.01;0.14;34.33;3.22;1.2;0.01;0.06;0.05;0.02;0.05;0.05;0.0;0.01;0.0;121.0;0.002;0.055;13.25;1.24;0.46;0.004;0.025;0.018;0.006;0.019;0.018;0.001;0.002;0.002
88;Motorcycles;2010;313;0.01;0.13;32.48;3.07;1.18;0.01;0.06;0.05;0.02;0.05;0.05;0.0;0.01;0.0;120.0;0.002;0.052;12.48;1.18;0.45;0.004;0.024;0.018;0.006;0.019;0.018;0.001;0.002;0.002
89;Motorcycles;2011;309;0.01;0.13;30.84;2.94;1.14;0.01;0.06;0.05;0.02;0.05;0.05;0.0;0.01;0.0;119.0;0.002;0.049;11.85;1.13;0.44;0.003;0.024;0.017;0.006;0.018;0.017;0.001;0.002;0.002
90;Motorcycles;2012;302;0.01;0.12;29.19;2.8;1.1;0.01;0.06;0.04;0.02;0.05;0.04;0.0;0.01;0.0;117.0;0.002;0.047;11.3;1.09;0.43;0.003;0.024;0.017;0.006;0.018;0.017;0.001;0.002;0.002
91;Motorcycles;2013;293;0.01;0.12;27.42;2.66;1.05;0.01;0.06;0.04;0.02;0.05;0.04;0.0;0.01;0.0;115.0;0.002;0.045;10.79;1.05;0.41;0.003;0.023;0.017;0.006;0.018;0.017;0.001;0.002;0.002
92;Motorcycles;2014;283;0.0;0.11;25.7;2.53;0.99;0.01;0.06;0.04;0.02;0.04;0.04;0.0;0.0;0.0;114.0;0.002;0.044;10.32;1.02;0.4;0.003;0.023;0.016;0.006;0.018;0.016;0.001;0.002;0.002
93;Motorcycles;2015;274;0.0;0.1;23.78;2.36;0.94;0.01;0.06;0.04;0.02;0.04;0.04;0.0;0.0;0.0;112.0;0.002;0.041;9.73;0.97;0.38;0.003;0.023;0.016;0.006;0.017;0.016;0.001;0.002;0.002
94;Motorcycles;2016;270;0.0;0.1;22.41;2.26;0.9;0.01;0.05;0.04;0.02;0.04;0.04;0.0;0.0;0.0;110.0;0.002;0.039;9.13;0.92;0.37;0.003;0.022;0.016;0.006;0.017;0.016;0.001;0.002;0.002
95;Motorcycles;2017;268;0.0;0.09;21.13;2.17;0.86;0.01;0.05;0.04;0.02;0.04;0.04;0.0;0.0;0.0;108.0;0.002;0.037;8.53;0.87;0.35;0.003;0.022;0.015;0.006;0.016;0.015;0.001;0.002;0.002
96;Motorcycles;2018;267;0.0;0.09;19.78;2.04;0.82;0.01;0.05;0.04;0.02;0.04;0.04;0.0;0.0;0.0;107.0;0.002;0.034;7.94;0.82;0.33;0.003;0.021;0.014;0.006;0.015;0.014;0.001;0.002;0.002
97;Motorcycles;2019;269;0.01;0.08;18.69;1.96;0.78;0.01;0.05;0.03;0.02;0.04;0.03;0.0;0.01;0.0;106.0;0.002;0.032;7.36;0.77;0.31;0.003;0.02;0.013;0.006;0.014;0.013;0.001;0.002;0.002
98;Motorcycles;2020;266;0.01;0.08;17.25;1.85;0.73;0.01;0.05;0.03;0.02;0.03;0.03;0.0;0.01;0.0;105.0;0.002;0.03;6.79;0.73;0.29;0.003;0.019;0.013;0.006;0.014;0.013;0.001;0.002;0.001
99;Motorcycles;2021;263;0.01;0.07;15.85;1.73;0.67;0.01;0.05;0.03;0.02;0.03;0.03;0.0;0.01;0.0;103.0;0.002;0.027;6.24;0.68;0.26;0.002;0.018;0.012;0.006;0.013;0.012;0.001;0.002;0.001
100;Motorcycles;2022;260;0.01;0.06;14.5;1.62;0.62;0.01;0.04;0.03;0.02;0.03;0.03;0.0;0.01;0.0;102.0;0.002;0.025;5.71;0.64;0.24;0.002;0.017;0.011;0.006;0.012;0.011;0.001;0.002;0.001
101;Motorcycles;2023;258;0.01;0.06;13.32;1.53;0.57;0.01;0.04;0.03;0.02;0.03;0.03;0.0;0.01;0.0;101.0;0.002;0.023;5.24;0.6;0.22;0.002;0.017;0.01;0.006;0.011;0.01;0.001;0.002;0.001
102;Total vehicles with moped licence;1990;119;0.0;0.65;13.4;13.07;0.1;0.02;0.19;0.19;0.0;0.19;0.19;0.0;0.0;0.02;;;;;;;;;;;;;;;
103;Total vehicles with moped licence;1991;120;0.0;0.65;13.5;13.18;0.1;0.02;0.19;0.19;0.0;0.19;0.19;0.0;0.0;0.02;;;;;;;;;;;;;;;
104;Total vehicles with moped licence;1992;120;0.0;0.65;13.46;13.13;0.1;0.02;0.19;0.19;0.0;0.19;0.19;0.0;0.0;0.01;;;;;;;;;;;;;;;
105;Total vehicles with moped licence;1993;118;0.0;0.64;13.2;12.89;0.1;0.02;0.19;0.18;0.0;0.18;0.18;0.0;0.0;0.01;;;;;;;;;;;;;;;
106;Total vehicles with moped licence;1994;116;0.0;0.63;13.05;12.74;0.1;0.02;0.18;0.18;0.0;0.18;0.18;0.0;0.0;0.01;;;;;;;;;;;;;;;
107;Total vehicles with moped licence;1995;115;0.0;0.62;12.86;12.56;0.09;0.02;0.18;0.18;0.0;0.18;0.18;0.0;0.0;0.01;;;;;;;;;;;;;;;
108;Total vehicles with moped licence;1996;113;0.0;0.61;12.7;12.4;0.09;0.02;0.18;0.18;0.0;0.18;0.18;0.0;0.0;0.01;;;;;;;;;;;;;;;
109;Total vehicles with moped licence;1997;113;0.0;0.61;12.71;12.41;0.1;0.02;0.18;0.18;0.0;0.18;0.18;0.0;0.0;0.01;;;;;;;;;;;;;;;
110;Total vehicles with moped licence;1998;113;0.0;0.61;12.64;12.33;0.1;0.02;0.18;0.18;0.0;0.18;0.18;0.0;0.0;0.01;;;;;;;;;;;;;;;
111;Total vehicles with moped licence;1999;110;0.0;0.58;12.13;11.67;0.1;0.02;0.17;0.17;0.0;0.17;0.17;0.0;0.0;0.01;;;;;;;;;;;;;;;
112;Total vehicles with moped licence;2000;105;0.0;0.52;11.24;10.51;0.1;0.02;0.15;0.15;0.0;0.15;0.15;0.0;0.0;0.01;;;;;;;;;;;;;;;
113;Total vehicles with moped licence;2001;100;0.0;0.47;10.52;9.58;0.1;0.01;0.14;0.14;0.0;0.14;0.14;0.0;0.0;0.0;;;;;;;;;;;;;;;
114;Total vehicles with moped licence;2002;95;0.0;0.43;9.85;8.78;0.09;0.01;0.14;0.13;0.0;0.13;0.13;0.0;0.0;0.0;;;;;;;;;;;;;;;
115;Total vehicles with moped licence;2003;89;0.0;0.39;9.15;8.03;0.09;0.01;0.13;0.13;0.0;0.13;0.13;0.0;0.0;0.0;;;;;;;;;;;;;;;
116;Total vehicles with moped licence;2004;76;0.0;0.33;7.81;6.75;0.08;0.01;0.11;0.11;0.0;0.11;0.11;0.0;0.0;0.0;104.0;0.001;0.451;10.65;9.21;0.11;0.016;0.154;0.152;0.003;0.152;0.152;0.0;0.001;0.002
117;Total vehicles with moped licence;2005;75;0.0;0.32;7.72;6.58;0.08;0.01;0.11;0.11;0.0;0.11;0.11;0.0;0.0;0.0;101.0;0.001;0.43;10.32;8.8;0.1;0.016;0.153;0.15;0.003;0.151;0.15;0.0;0.001;0.001
