ID;Geslacht;Leeftijd;RegioS;DiagnoseIndelingISHMT;Perioden;TotaalOpnamen_1;TotaalOpnamenPer10000Inwoners_2;Dagopnamen_3;DagopnamenPer10000Inwoners_4;KlinischeOpnamen_5;KlinischeOpnamenPer10000Inwoners_6;VerpleegdagenVanKlinischeOpnamen_7;VerpleegdagenPer10000Inwoners_8;GemVerpleegduurPerKlinischeOpname_9
58;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;2007;29334.0;17.8;7066.0;4.3;22268.0;13.6;196615.0;120.0;8.8
59;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;2008;32210.0;19.6;7497.0;4.5;24713.0;15.0;210644.0;128.1;8.5
60;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;2009;32691.0;19.7;7066.0;4.3;25625.0;15.5;217778.0;131.6;8.5
61;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;2010;36069.0;21.7;8262.0;5.0;27807.0;16.7;230762.0;138.8;8.3
62;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;2011;37415.0;22.3;9201.0;5.5;28214.0;16.8;227252.0;136.1;8.1
63;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;100;2012;40096.0;23.8;8485.0;5.0;31611.0;18.8;249665.0;149.0;7.9
64;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1981;;;;;3473.0;2.4;52454.0;36.7;15.1
65;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1982;;;;;4186.0;2.9;59565.0;41.5;14.1
66;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1983;;;;;3938.0;2.7;54402.0;37.9;13.8
67;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1984;;;;;3898.0;2.7;48848.0;33.9;12.5
68;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1985;;;;;3376.0;2.2;41218.0;28.3;12.1
69;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1986;;;;;3604.0;2.5;42700.0;29.2;11.8
70;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1987;;;;;3089.0;2.0;35701.0;24.2;11.6
71;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1988;;;;;3391.0;2.2;35796.0;24.2;10.6
72;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1989;;;;;3929.0;2.5;39087.0;26.2;9.8
73;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1990;;;;;3730.0;2.5;35641.0;23.7;9.6
74;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1991;;;;;3867.0;2.5;34923.0;23.2;9.0
75;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1992;;;;;3797.0;2.5;33498.0;22.1;8.8
76;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1993;3930.0;2.5;34.0;0.0;3896.0;2.5;31511.0;20.6;8.1
77;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1994;4331.0;2.7;37.0;0.0;4294.0;2.7;34238.0;22.2;8.0
78;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1995;4211.0;2.7;32.0;0.0;4179.0;2.7;33344.0;21.6;8.0
79;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1996;4534.0;2.9;25.0;0.0;4509.0;2.9;33579.0;21.6;7.4
80;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1997;3856.0;2.5;51.0;0.0;3805.0;2.4;28607.0;18.2;7.5
81;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1998;3832.0;2.4;32.0;0.0;3800.0;2.4;25912.0;16.5;6.8
82;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;101;1999;4143.0;2.5;32.0;0.0;4111.0;2.5;26267.0;16.6;6.4
