ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;TotWerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;FTEWerknmersOpEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaalNettoOmzet_7;OmzetHoofdactiviteit_8;OmzetUitNevenactiviteiten_9;TotaalOverigeBedrijfsopbrengsten_10;VoorraadmutGereedProdOnderhWerk_11;EindvoorraadGereedProdOnderhWerk_12;BegVoorraadGereedProdOnderhWerk_13;VergoedingenUitgeleendPersoneel_14;GeactiveerdeKostenZelfvervActiva_15;OntvangenRestitutieSubsidiebedragen_16;BedrijfsschadeUitkeringen_17;OverigeOpbrengstenNEG_18;TotaleBedrijfslasten_19;TotaalInkoopwaardeOmzet_20;InkoopwrdeGrondHulpstofVerpakMid_21;BegVoorraadGrondHulpstofVerpak_22;InkopenGrondHulpstoffenVerpakMid_23;EindvoorraadGrondHulpstofVerpak_24;InkoopwaardeHandelsgoederen_25;BeginvoorraadHandelsgoederen_26;InkoopkostenVanHandelsgoederen_27;EindvoorraadHandelsgoederen_28;TotaalOverigeInkoopwaarde_29;KostenUitbesteedWerk_30;InkoopwaardeNietEldersGenoemd_31;TotaalArbeidskosten_32;BrutoLonenEnSalarissen_33;WerkgeversdeelSocVerzekeringspremies_34;PremiesPensioenVUTInkoopsommenEnz_35;OverigeSocialeLasten_36;TotaalOverigeBedrijfslasten_37;TotaalOverigeKostenMBTPersoneel_38;BetaaldeBedragenAanUitzendbedrijven_39;KostenIngehuurdPersoneel_40;KostenStudieOfOpleiding_41;OverigePersoneelskosten_42;TotaalKostenVervoermiddelen_43;KostenHuurEnLeaseVanVervoermiddelen_44;KostenReparatieOnderhoudVervoermid_45;BrandstofkostenVervoermiddelen_46;Motorrijtuigenbelasting_47;KostenVerzekeringVervoermiddelen_48;OverigeAutokosten_49;TotaalKostenEnergieverbruik_50;KostenAardgasverbruik_51;KostenElektriciteitsverbruik_52;KostenVerbruikOverigeEnergiedragers_53;TotaalKostenVanHuisvesting_54;KostenHuurLeaseGebouwenTerreinen_55;KostenOnderhoudRepGebouwenTerreinen_56;SchoonmaakkostenVanGebouwenEnTerrein_57;MilieuheffingenEnZuiveringslasten_58;Onroerendezaakbelasting_59;KostenVerzekeringGebouwenEnTerreinen_60;OverigeHuisvestingskosten_61;TotaalKostenMachinesInstallatiesED_62;KostenHuurLeaseMachInstallatED_63;KostenReparatieMachinesED_64;OverigeMachineEnInventariskosten_65;TotaalVerkoopkosten_66;ReclameBeursEnRepresentatiekosten_67;Agentenprovisie_68;KostenReisVerblijfEnRepresentatie_69;KostenResearchEnOntwikkeling_70;OverigeVerkoopkosten_71;Communicatiekosten_72;TotaalKnDienstverleningDoorDerden_73;Bankzaken_74;OverigeVerzekeringspremies_75;AccountantsEnAdvieskosten_76;Automatiseringskosten_77;KostenVuilafvoerEnVuilverwerking_78;OvKostenDienstverleningDoorDerden_79;TotaalOverigeBedrijfslastenNEG_80;OctrooirechtenLicenties_81;BetalingenIntraconcerndienstenBeheer_82;KantoorbehoeftenContributiesAbonnement_83;KostenOverigeHuurOperationeleLease_84;KostenOnderhoudRepOverigeActiva_85;OverigeKostprijsverhogendeBelastingen_86;OngespecificeerdeAlgemeneKosten_87;AfschrijvingenOpVasteActiva_88;Bedrijfsresultaat_89;FinancieelResultaat_90;FinancieleBaten_91;FinancieleLasten_92;SaldoVoorzieningen_93;OnttrekkingenVrijvalVanVoorzieningen_94;ToevoegingenAanVoorzieningen_95;SaldoBuitengewoneBatenMinusLasten_96;BuitengewoneBaten_97;BuitengewoneLasten_98;ResultaatVoorBelastingen_99
10;10 Turfwinning;2002;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;10 Turfwinning;2003;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;103 Turfwinning;2000;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;103 Turfwinning;2001;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;103 Turfwinning;2002;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;103 Turfwinning;2003;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;1030 Turfwinning;2000;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;1030 Turfwinning;2001;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;1030 Turfwinning;2002;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;1030 Turfwinning;2003;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;11 Aardolie- en -gaswinning en dienstver;2000;15;61.9;60.8;54.7;53.7;14529.0;14480.0;5307.0;9174.0;48.0;19.0;25.0;6.0;3.0;19.0;1.0;1.0;5.0;11333.0;9015.0;124.0;0.0;124.0;0.0;8615.0;3.0;8615.0;3.0;276.0;276.0;0.0;301.0;257.0;19.0;11.0;14.0;1419.0;80.0;42.0;22.0;4.0;13.0;20.0;14.0;0.0;0.0;0.0;0.0;5.0;26.0;1.0;15.0;9.0;38.0;21.0;2.0;1.0;2.0;5.0;1.0;7.0;179.0;110.0;55.0;15.0;18.0;1.0;0.0;8.0;7.0;2.0;10.0;115.0;0.0;9.0;2.0;24.0;1.0;79.0;933.0;14.0;17.0;2.0;8.0;11.0;795.0;86.0;598.0;3196.0;-163.0;24.0;186.0;5.0;7.0;2.0;18.0;18.0;0.0;3057.0
21;11 Aardolie- en -gaswinning en dienstver;2001;10;60.2;58.6;53.8;52.9;19146.0;18819.0;6549.0;12270.0;328.0;-15.0;12.0;27.0;0.0;19.0;0.0;1.0;321.0;15137.0;12171.0;141.0;0.0;141.0;0.0;11672.0;3.0;11672.0;3.0;358.0;352.0;7.0;308.0;252.0;23.0;24.0;10.0;1967.0;102.0;43.0;31.0;5.0;23.0;20.0;19.0;0.0;0.0;0.0;0.0;1.0;32.0;2.0;19.0;11.0;39.0;18.0;1.0;2.0;1.0;4.0;1.0;12.0;165.0;100.0;52.0;12.0;27.0;2.0;0.0;13.0;5.0;7.0;9.0;143.0;0.0;17.0;3.0;31.0;2.0;91.0;1430.0;34.0;16.0;4.0;33.0;0.0;1252.0;90.0;689.0;4009.0;-115.0;53.0;168.0;-83.0;6.0;89.0;-5.0;20.0;25.0;3807.0
22;11 Aardolie- en -gaswinning en dienstver;2002;10;61.5;59.9;56.2;54.7;17192.0;16808.0;5857.0;10952.0;384.0;-1.0;3.0;4.0;3.0;29.0;1.0;0.0;351.0;13899.0;10852.0;117.0;0.0;117.0;0.0;10361.0;3.0;10365.0;8.0;374.0;335.0;39.0;421.0;297.0;26.0;48.0;49.0;1951.0;156.0;69.0;34.0;8.0;44.0;18.0;17.0;0.0;0.0;0.0;0.0;1.0;43.0;2.0;24.0;17.0;40.0;20.0;2.0;2.0;1.0;4.0;1.0;9.0;202.0;102.0;83.0;17.0;28.0;1.0;0.0;12.0;9.0;6.0;13.0;172.0;1.0;23.0;8.0;30.0;3.0;107.0;1279.0;26.0;18.0;8.0;22.0;14.0;1070.0;121.0;676.0;3293.0;-143.0;72.0;215.0;-19.0;8.0;27.0;17.0;20.0;3.0;3148.0
23;11 Aardolie- en -gaswinning en dienstver;2003;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;111 Aardolie- en aardgaswinning;2000;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;111 Aardolie- en aardgaswinning;2001;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;111 Aardolie- en aardgaswinning;2002;5;41.3;40.6;38.2;37.6;15879.0;15843.0;4925.0;10917.0;37.0;-1.0;2.0;3.0;1.0;29.0;1.0;0.0;7.0;12864.0;10407.0;72.0;0.0;72.0;0.0;10335.0;0.0;10335.0;0.0;0.0;0.0;0.0;295.0;202.0;12.0;33.0;48.0;1682.0;78.0;32.0;20.0;6.0;19.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;25.0;1.0;22.0;1.0;32.0;14.0;2.0;2.0;1.0;4.0;1.0;8.0;182.0;89.0;77.0;16.0;20.0;1.0;0.0;7.0;9.0;3.0;9.0;151.0;0.0;10.0;4.0;30.0;3.0;104.0;1183.0;22.0;6.0;6.0;0.0;0.0;1068.0;80.0;480.0;3016.0;-134.0;27.0;161.0;-21.0;0.0;22.0;0.0;0.0;0.0;2860.0
