ID;Landen;Perioden;GebruikskostenVanKantoorruimte_1
77;Canada - Toronto (CBD);2006 november;568.0
78;Canada - Toronto (CBD);2007 mei;562.0
79;Canada - Toronto (CBD);2007 november;686.0
80;Canada - Toronto (CBD);2008 mei;672.0
81;Canada - Toronto (CBD);2008 november;662.0
82;Canada - Toronto (CBD);2009 mei;558.0
83;Canada - Toronto (CBD);2009 november;654.0
84;Canada - Toronto (CBD);2010 mei;644.0
85;Canada - Toronto (CBD);2010 november;636.0
86;Canada - Toronto (CBD);2012 april;766.0
87;Canada - Toronto (CBD);2013 april;661.0
88;Denemarken - Kopenhagen;2001 januari;287.0
89;Denemarken - Kopenhagen;2001 juli;280.0
90;Denemarken - Kopenhagen;2002 januari;291.0
91;Denemarken - Kopenhagen;2002 juli;316.0
92;Denemarken - Kopenhagen;2003 januari;335.0
93;Denemarken - Kopenhagen;2003 augustus;368.0
94;Denemarken - Kopenhagen;2004 januari;400.0
95;Denemarken - Kopenhagen;2004 augustus;381.0
96;Denemarken - Kopenhagen;2005 januari;416.0
97;Denemarken - Kopenhagen;2005 augustus;378.0
98;Denemarken - Kopenhagen;2006 mei;381.0
99;Denemarken - Kopenhagen;2006 november;410.0
100;Denemarken - Kopenhagen;2007 mei;452.0
101;Denemarken - Kopenhagen;2007 november;494.0
102;Denemarken - Kopenhagen;2008 mei;562.0
103;Denemarken - Kopenhagen;2008 november;498.0
104;Denemarken - Kopenhagen;2009 mei;476.0
105;Denemarken - Kopenhagen;2009 november;498.0
106;Denemarken - Kopenhagen;2010 mei;450.0
107;Denemarken - Kopenhagen;2010 november;453.0
108;Denemarken - Kopenhagen;2012 april;458.0
109;Denemarken - Kopenhagen;2013 april;436.0
110;Duitsland - Frankfurt am Main;2001 januari;628.0
111;Duitsland - Frankfurt am Main;2001 juli;654.0
112;Duitsland - Frankfurt am Main;2002 januari;651.0
113;Duitsland - Frankfurt am Main;2002 juli;610.0
114;Duitsland - Frankfurt am Main;2003 januari;614.0
115;Duitsland - Frankfurt am Main;2003 augustus;660.0
116;Duitsland - Frankfurt am Main;2004 januari;651.0
117;Duitsland - Frankfurt am Main;2004 augustus;634.0
118;Duitsland - Frankfurt am Main;2005 januari;676.0
119;Duitsland - Frankfurt am Main;2005 augustus;684.0
120;Duitsland - Frankfurt am Main;2006 mei;582.0
121;Duitsland - Frankfurt am Main;2006 november;606.0
122;Duitsland - Frankfurt am Main;2007 mei;654.0
123;Duitsland - Frankfurt am Main;2007 november;726.0
124;Duitsland - Frankfurt am Main;2008 mei;889.0
125;Duitsland - Frankfurt am Main;2008 november;798.0
126;Duitsland - Frankfurt am Main;2009 mei;735.0
127;Duitsland - Frankfurt am Main;2009 november;812.0
128;Duitsland - Frankfurt am Main;2010 mei;750.0
129;Duitsland - Frankfurt am Main;2010 november;756.0
130;Duitsland - Frankfurt am Main;2012 april;739.0
131;Duitsland - Frankfurt am Main;2013 april;711.0
132;Finland - Helsinki;2001 januari;335.0
133;Finland - Helsinki;2001 juli;319.0
134;Finland - Helsinki;2002 januari;326.0
135;Finland - Helsinki;2002 juli;354.0
136;Finland - Helsinki;2003 januari;336.0
137;Finland - Helsinki;2003 augustus;364.0
138;Finland - Helsinki;2004 januari;387.0
139;Finland - Helsinki;2004 augustus;377.0
140;Finland - Helsinki;2005 januari;398.0
141;Finland - Helsinki;2005 augustus;365.0
142;Finland - Helsinki;2006 mei;402.0
143;Finland - Helsinki;2006 november;363.0
144;Finland - Helsinki;2007 mei;473.0
145;Finland - Helsinki;2007 november;475.0
146;Finland - Helsinki;2008 mei;616.0
147;Finland - Helsinki;2008 november;562.0
148;Finland - Helsinki;2009 mei;512.0
149;Finland - Helsinki;2009 november;537.0
150;Finland - Helsinki;2010 mei;477.0
151;Finland - Helsinki;2010 november;580.0
152;Finland - Helsinki;2012 april;555.0
153;Finland - Helsinki;2013 april;545.0
154;Frankrijk - Parijs;2001 januari;908.0
155;Frankrijk - Parijs;2001 juli;864.0
156;Frankrijk - Parijs;2002 januari;824.0
157;Frankrijk - Parijs;2002 juli;901.0
158;Frankrijk - Parijs;2003 januari;882.0
159;Frankrijk - Parijs;2003 augustus;975.0
160;Frankrijk - Parijs;2004 januari;1016.0
161;Frankrijk - Parijs;2004 augustus;902.0
162;Frankrijk - Parijs;2005 januari;1038.0
163;Frankrijk - Parijs;2005 augustus;964.0
164;Frankrijk - Parijs;2006 mei;993.0
165;Frankrijk - Parijs;2006 november;1136.0
166;Frankrijk - Parijs;2007 mei;1202.0
167;Frankrijk - Parijs;2007 november;1372.0
168;Frankrijk - Parijs;2008 mei;1528.0
169;Frankrijk - Parijs;2008 november;1417.0
170;Frankrijk - Parijs;2009 mei;1237.0
171;Frankrijk - Parijs;2009 november;1319.0
172;Frankrijk - Parijs;2010 mei;1219.0
173;Frankrijk - Parijs;2010 november;1246.0
174;Frankrijk - Parijs;2012 april;1333.0
175;Frankrijk - Parijs;2013 april;1284.0
176;Hongarije - Boedapest;2001 januari;269.0
177;Hongarije - Boedapest;2001 juli;259.0
178;Hongarije - Boedapest;2002 januari;254.0
179;Hongarije - Boedapest;2002 juli;267.0
180;Hongarije - Boedapest;2003 januari;283.0
181;Hongarije - Boedapest;2003 augustus;305.0
182;Hongarije - Boedapest;2004 januari;330.0
183;Hongarije - Boedapest;2004 augustus;322.0
184;Hongarije - Boedapest;2005 januari;352.0
185;Hongarije - Boedapest;2005 augustus;459.0
186;Hongarije - Boedapest;2006 mei;377.0
187;Hongarije - Boedapest;2006 november;397.0
188;Hongarije - Boedapest;2007 mei;435.0
189;Hongarije - Boedapest;2007 november;484.0
190;Hongarije - Boedapest;2008 mei;549.0
191;Hongarije - Boedapest;2008 november;500.0
192;Hongarije - Boedapest;2009 mei;433.0
193;Hongarije - Boedapest;2009 november;472.0
194;Hongarije - Boedapest;2010 mei;436.0
195;Hongarije - Boedapest;2010 november;440.0
196;Hongarije - Boedapest;2012 april;430.0
197;Hongarije - Boedapest;2013 april;414.0
198;Ierland - Dublin;2001 januari;571.0
199;Ierland - Dublin;2001 juli;547.0
200;Ierland - Dublin;2002 januari;568.0
201;Ierland - Dublin;2002 juli;621.0
202;Ierland - Dublin;2003 januari;648.0
203;Ierland - Dublin;2003 augustus;716.0
204;Ierland - Dublin;2004 januari;750.0
205;Ierland - Dublin;2004 augustus;730.0
206;Ierland - Dublin;2005 januari;805.0
207;Ierland - Dublin;2005 augustus;874.0
208;Ierland - Dublin;2006 mei;939.0
209;Ierland - Dublin;2006 november;996.0
210;Ierland - Dublin;2007 mei;1146.0
211;Ierland - Dublin;2007 november;1223.0
212;Ierland - Dublin;2008 mei;1363.0
213;Ierland - Dublin;2008 november;1169.0
214;Ierland - Dublin;2009 mei;1007.0
215;Ierland - Dublin;2009 november;875.0
216;Ierland - Dublin;2010 mei;721.0
217;Ierland - Dublin;2010 november;714.0
218;Ierland - Dublin;2012 april;580.0
219;Ierland - Dublin;2013 april;570.0
220;Italië - Milaan;2001 januari;390.0
221;Italië - Milaan;2001 juli;407.0
222;Italië - Milaan;2002 januari;422.0
223;Italië - Milaan;2002 juli;519.0
224;Italië - Milaan;2003 januari;557.0
225;Italië - Milaan;2003 augustus;552.0
226;Italië - Milaan;2004 januari;735.0
227;Italië - Milaan;2004 augustus;653.0
228;Italië - Milaan;2005 januari;685.0
229;Italië - Milaan;2005 augustus;656.0
230;Italië - Milaan;2006 mei;645.0
231;Italië - Milaan;2006 november;689.0
232;Italië - Milaan;2007 mei;733.0
233;Italië - Milaan;2007 november;785.0
234;Italië - Milaan;2008 mei;919.0
235;Italië - Milaan;2008 november;923.0
236;Italië - Milaan;2009 mei;871.0
237;Italië - Milaan;2009 november;909.0
238;Italië - Milaan;2010 mei;839.0
239;Italië - Milaan;2010 november;846.0
240;Italië - Milaan;2012 april;827.0
241;Italië - Milaan;2013 april;768.0
242;Japan - Tokyo, Inner Central;2001 januari;1583.0
243;Japan - Tokyo, Inner Central;2001 juli;1336.0
244;Japan - Tokyo, Inner Central;2002 januari;1317.0
245;Japan - Tokyo, Inner Central;2002 juli;1465.0
246;Japan - Tokyo, Inner Central;2003 januari;1271.0
247;Japan - Tokyo, Inner Central;2003 augustus;1229.0
248;Japan - Tokyo, Inner Central;2004 januari;1271.0
249;Japan - Tokyo, Inner Central;2004 augustus;1251.0
250;Japan - Tokyo, Inner Central;2005 januari;1339.0
251;Japan - Tokyo, Inner Central;2005 augustus;1411.0
252;Japan - Tokyo, Inner Central;2006 mei;1400.0
253;Japan - Tokyo, Inner Central;2006 november;1568.0
254;Japan - Tokyo, Inner Central;2007 mei;1745.0
255;Japan - Tokyo, Inner Central;2007 november;1922.0
256;Japan - Tokyo, Inner Central;2008 mei;2371.0
257;Japan - Tokyo, Inner Central;2008 november;1983.0
258;Japan - Tokyo, Inner Central;2009 mei;1977.0
259;Japan - Tokyo, Inner Central;2009 november;1848.0
260;Japan - Tokyo, Inner Central;2010 mei;1550.0
261;Japan - Tokyo, Inner Central;2010 november;1702.0
262;Japan - Tokyo, Inner Central;2012 april;2007.0
263;Japan - Tokyo, Inner Central;2013 april;1735.0
264;Nederland - Amsterdam;2001 januari;363.0
265;Nederland - Amsterdam;2001 juli;359.0
266;Nederland - Amsterdam;2002 januari;372.0
267;Nederland - Amsterdam;2002 juli;383.0
268;Nederland - Amsterdam;2003 januari;417.0
269;Nederland - Amsterdam;2003 augustus;442.0
270;Nederland - Amsterdam;2004 januari;472.0
271;Nederland - Amsterdam;2004 augustus;453.0
272;Nederland - Amsterdam;2005 januari;481.0
273;Nederland - Amsterdam;2005 augustus;438.0
274;Nederland - Amsterdam;2006 mei;442.0
275;Nederland - Amsterdam;2006 november;499.0
276;Nederland - Amsterdam;2007 mei;525.0
277;Nederland - Amsterdam;2007 november;561.0
278;Nederland - Amsterdam;2008 mei;624.0
279;Nederland - Amsterdam;2008 november;566.0
280;Nederland - Amsterdam;2009 mei;531.0
281;Nederland - Amsterdam;2009 november;586.0
282;Nederland - Amsterdam;2010 mei;542.0
283;Nederland - Amsterdam;2010 november;546.0
284;Nederland - Amsterdam;2012 april;547.0
285;Nederland - Amsterdam;2013 april;529.0
286;Oostenrijk - Wenen;2001 januari;291.0
287;Oostenrijk - Wenen;2001 juli;250.0
288;Oostenrijk - Wenen;2002 januari;259.0
289;Oostenrijk - Wenen;2002 juli;297.0
290;Oostenrijk - Wenen;2003 januari;319.0
291;Oostenrijk - Wenen;2003 augustus;341.0
292;Oostenrijk - Wenen;2004 januari;374.0
293;Oostenrijk - Wenen;2004 augustus;360.0
294;Oostenrijk - Wenen;2005 januari;397.0
295;Oostenrijk - Wenen;2005 augustus;361.0
296;Oostenrijk - Wenen;2006 mei;361.0
297;Oostenrijk - Wenen;2006 november;379.0
298;Oostenrijk - Wenen;2007 mei;407.0
299;Oostenrijk - Wenen;2007 november;450.0
300;Oostenrijk - Wenen;2008 mei;520.0
301;Oostenrijk - Wenen;2008 november;488.0
302;Oostenrijk - Wenen;2009 mei;452.0
303;Oostenrijk - Wenen;2009 november;485.0
304;Oostenrijk - Wenen;2010 mei;448.0
305;Oostenrijk - Wenen;2010 november;452.0
306;Oostenrijk - Wenen;2012 april;475.0
307;Oostenrijk - Wenen;2013 april;461.0
308;Polen - Warschau;2001 januari;427.0
309;Polen - Warschau;2001 juli;420.0
310;Polen - Warschau;2002 januari;413.0
311;Polen - Warschau;2002 juli;413.0
312;Polen - Warschau;2003 januari;413.0
313;Polen - Warschau;2003 augustus;473.0
314;Polen - Warschau;2004 januari;459.0
315;Polen - Warschau;2004 augustus;459.0
316;Polen - Warschau;2005 januari;459.0
317;Polen - Warschau;2005 augustus;401.0
318;Polen - Warschau;2006 mei;394.0
319;Polen - Warschau;2006 november;448.0
320;Polen - Warschau;2007 mei;524.0
321;Polen - Warschau;2007 november;741.0
322;Polen - Warschau;2008 mei;824.0
323;Polen - Warschau;2008 november;768.0
324;Polen - Warschau;2009 mei;583.0
325;Polen - Warschau;2009 november;566.0
326;Polen - Warschau;2010 mei;522.0
327;Polen - Warschau;2010 november;563.0
328;Polen - Warschau;2012 april;586.0
329;Polen - Warschau;2013 april;564.0
330;Spanje - Madrid;2001 januari;520.0
331;Spanje - Madrid;2001 juli;542.0
332;Spanje - Madrid;2002 januari;555.0
333;Spanje - Madrid;2002 juli;563.0
334;Spanje - Madrid;2003 januari;550.0
335;Spanje - Madrid;2003 augustus;548.0
336;Spanje - Madrid;2004 januari;553.0
337;Spanje - Madrid;2004 augustus;511.0
338;Spanje - Madrid;2005 januari;596.0
339;Spanje - Madrid;2005 augustus;569.0
340;Spanje - Madrid;2006 mei;581.0
341;Spanje - Madrid;2006 november;714.0
342;Spanje - Madrid;2007 mei;844.0
343;Spanje - Madrid;2007 november;905.0
344;Spanje - Madrid;2008 mei;1040.0
345;Spanje - Madrid;2008 november;952.0
346;Spanje - Madrid;2009 mei;716.0
347;Spanje - Madrid;2009 november;728.0
348;Spanje - Madrid;2010 mei;653.0
349;Spanje - Madrid;2010 november;621.0
350;Spanje - Madrid;2012 april;587.0
351;Spanje - Madrid;2013 april;543.0
352;Tsjechië - Praag;2001 januari;281.0
353;Tsjechië - Praag;2001 juli;285.0
354;Tsjechië - Praag;2002 januari;284.0
355;Tsjechië - Praag;2002 juli;310.0
356;Tsjechië - Praag;2003 januari;327.0
357;Tsjechië - Praag;2003 augustus;345.0
358;Tsjechië - Praag;2004 januari;374.0
359;Tsjechië - Praag;2004 augustus;372.0
360;Tsjechië - Praag;2005 januari;389.0
361;Tsjechië - Praag;2005 augustus;404.0
362;Tsjechië - Praag;2006 mei;346.0
363;Tsjechië - Praag;2006 november;380.0
364;Tsjechië - Praag;2007 mei;413.0
365;Tsjechië - Praag;2007 november;437.0
366;Tsjechië - Praag;2008 mei;603.0
367;Tsjechië - Praag;2008 november;579.0
368;Tsjechië - Praag;2009 mei;573.0
369;Tsjechië - Praag;2009 november;566.0
370;Tsjechië - Praag;2010 mei;535.0
371;Tsjechië - Praag;2010 november;524.0
372;Tsjechië - Praag;2012 april;527.0
373;Tsjechië - Praag;2013 april;511.0
374;Verenigd Koninkrijk - Londen, West End;2001 januari;1689.0
375;Verenigd Koninkrijk - Londen, West End;2001 juli;1697.0
376;Verenigd Koninkrijk - Londen, West End;2002 januari;1575.0
377;Verenigd Koninkrijk - Londen, West End;2002 juli;1601.0
378;Verenigd Koninkrijk - Londen, West End;2003 januari;1624.0
379;Verenigd Koninkrijk - Londen, West End;2003 augustus;1599.0
380;Verenigd Koninkrijk - Londen, West End;2004 januari;1606.0
381;Verenigd Koninkrijk - Londen, West End;2004 augustus;1909.0
382;Verenigd Koninkrijk - Londen, West End;2005 januari;2062.0
383;Verenigd Koninkrijk - Londen, West End;2005 augustus;1923.0
384;Verenigd Koninkrijk - Londen, West End;2006 mei;2079.0
385;Verenigd Koninkrijk - Londen, West End;2006 november;2282.0
386;Verenigd Koninkrijk - Londen, West End;2007 mei;2597.0
387;Verenigd Koninkrijk - Londen, West End;2007 november;3540.0
388;Verenigd Koninkrijk - Londen, West End;2008 mei;3224.0
389;Verenigd Koninkrijk - Londen, West End;2008 november;2677.0
390;Verenigd Koninkrijk - Londen, West End;2009 mei;1858.0
391;Verenigd Koninkrijk - Londen, West End;2009 november;1990.0
392;Verenigd Koninkrijk - Londen, West End;2010 mei;1969.0
393;Verenigd Koninkrijk - Londen, West End;2010 november;2085.0
394;Verenigd Koninkrijk - Londen, West End;2012 april;2370.0
395;Verenigd Koninkrijk - Londen, West End;2013 april;2396.0
396;Verenigde Staten - New York, Midtown Man;2001 januari;696.0
397;Verenigde Staten - New York, Midtown Man;2001 juli;699.0
398;Verenigde Staten - New York, Midtown Man;2002 januari;680.0
399;Verenigde Staten - New York, Midtown Man;2002 juli;639.0
400;Verenigde Staten - New York, Midtown Man;2003 januari;615.0
401;Verenigde Staten - New York, Midtown Man;2003 augustus;576.0
402;Verenigde Staten - New York, Midtown Man;2004 januari;563.0
403;Verenigde Staten - New York, Midtown Man;2004 augustus;560.0
404;Verenigde Staten - New York, Midtown Man;2005 januari;565.0
405;Verenigde Staten - New York, Midtown Man;2005 augustus;578.0
406;Verenigde Staten - New York, Midtown Man;2006 mei;593.0
407;Verenigde Staten - New York, Midtown Man;2006 november;668.0
408;Verenigde Staten - New York, Midtown Man;2007 mei;747.0
409;Verenigde Staten - New York, Midtown Man;2007 november;1085.0
410;Verenigde Staten - New York, Midtown Man;2008 mei;1113.0
411;Verenigde Staten - New York, Midtown Man;2008 november;1055.0
412;Verenigde Staten - New York, Midtown Man;2009 mei;738.0
413;Verenigde Staten - New York, Midtown Man;2009 november;742.0
414;Verenigde Staten - New York, Midtown Man;2010 mei;694.0
415;Verenigde Staten - New York, Midtown Man;2010 november;717.0
416;Verenigde Staten - New York, Midtown Man;2012 april;1230.0
417;Verenigde Staten - New York, Midtown Man;2013 april;1299.0
418;Zuid-Korea - Seoul;2001 januari;671.0
419;Zuid-Korea - Seoul;2001 juli;626.0
420;Zuid-Korea - Seoul;2002 januari;523.0
421;Zuid-Korea - Seoul;2002 juli;549.0
422;Zuid-Korea - Seoul;2003 januari;555.0
423;Zuid-Korea - Seoul;2003 augustus;562.0
424;Zuid-Korea - Seoul;2004 januari;560.0
425;Zuid-Korea - Seoul;2004 augustus;583.0
426;Zuid-Korea - Seoul;2005 januari;630.0
427;Zuid-Korea - Seoul;2005 augustus;665.0
428;Zuid-Korea - Seoul;2006 mei;743.0
429;Zuid-Korea - Seoul;2006 november;769.0
430;Zuid-Korea - Seoul;2007 mei;791.0
431;Zuid-Korea - Seoul;2007 november;835.0
432;Zuid-Korea - Seoul;2008 mei;769.0
433;Zuid-Korea - Seoul;2008 november;648.0
434;Zuid-Korea - Seoul;2009 mei;583.0
435;Zuid-Korea - Seoul;2009 november;681.0
436;Zuid-Korea - Seoul;2010 mei;773.0
437;Zuid-Korea - Seoul;2010 november;764.0
438;Zuid-Korea - Seoul;2012 april;976.0
439;Zuid-Korea - Seoul;2013 april;1008.0
440;Zweden - Stockholm;2001 januari;579.0
441;Zweden - Stockholm;2001 juli;508.0
442;Zweden - Stockholm;2002 januari;448.0
443;Zweden - Stockholm;2002 juli;500.0
444;Zweden - Stockholm;2003 januari;498.0
445;Zweden - Stockholm;2003 augustus;533.0
446;Zweden - Stockholm;2004 januari;570.0
447;Zweden - Stockholm;2004 augustus;537.0
448;Zweden - Stockholm;2005 januari;599.0
449;Zweden - Stockholm;2005 augustus;518.0
450;Zweden - Stockholm;2006 mei;562.0
451;Zweden - Stockholm;2006 november;631.0
452;Zweden - Stockholm;2007 mei;675.0
453;Zweden - Stockholm;2007 november;824.0
454;Zweden - Stockholm;2008 mei;933.0
455;Zweden - Stockholm;2008 november;794.0
456;Zweden - Stockholm;2009 mei;631.0
457;Zweden - Stockholm;2009 november;731.0
458;Zweden - Stockholm;2010 mei;707.0
459;Zweden - Stockholm;2010 november;789.0
460;Zweden - Stockholm;2012 april;812.0
461;Zweden - Stockholm;2013 april;825.0
