ID;RegioS;BevolkingUltimo2004_1;PersonenMet52WekenInkomen_2;PersonenMet52WkInkomenBevolking_3;PerInwoner_4;RangnummerInkomenPerInwoner_5;PerPersoonMet52WekenInkomen_6;RangnummerInkomenPersMet52WkInk_7
47;Zeeuwsch-Vlaanderen (CR);107.8;71.3;66;12.4;10;17.2;23
48;Overig Zeeland (CR);272.1;180.2;66;12.0;23;17.3;21
49;West-Noord-Brabant (CR);606.4;406.7;67;12.3;12;17.6;15
50;Midden-Noord-Brabant (CR);451.0;302.7;67;12.0;22;17.1;24
51;Noordoost-Noord-Brabant (CR);627.4;420.2;67;12.2;15;17.5;16
52;Zuidoost-Noord-Brabant (CR);726.6;487.1;67;12.4;11;17.7;13
53;Noord-Limburg (CR);278.5;188.0;67;11.7;28;16.4;35
54;Midden-Limburg (CR);234.2;158.0;67;12.1;19;17.0;26
55;Zuid-Limburg (CR);623.9;418.7;67;12.0;21;16.7;31
56;Flevoland (CR);365.9;225.1;62;11.1;36;17.2;22
57;Groningen (GA);199.7;134.2;67;11.9;17;16.6;18
58;Leeuwarden (GA);91.7;61.9;67;11.4;21;16.1;20
59;Zwolle (GA);111.9;76.5;68;12.3;11;17.4;13
60;Enschede (GA);153.7;99.2;65;10.8;0;15.7;22
61;Apeldoorn (GA);156.1;106.8;68;12.4;10;17.6;11
62;Arnhem (GA);142.8;96.3;67;12.1;14;17.0;15
63;Nijmegen (GA);158.2;107.2;68;12.1;15;16.8;16
64;Amersfoort (GA);163.9;107.8;66;13.1;3;19.2;4
65;Utrecht (GA);410.1;273.6;67;12.8;6;18.2;6
66;Amsterdam (GA);1020.9;660.9;65;12.8;7;18.7;5
67;Haarlem (GA);189.4;130.7;69;14.1;1;19.8;1
68;Leiden (GA);254.4;166.6;65;13.2;2;19.2;2
69;'s-Gravenhage (GA);618.8;401.0;65;13.1;4;19.2;3
70;Rotterdam (GA);999.3;649.6;65;12.0;16;17.4;12
71;Dordrecht (GA);246.3;162.0;66;12.2;13;17.8;10
72;Breda (GA);168.1;113.7;68;12.7;9;17.9;9
73;Tilburg (GA);221.5;150.2;68;11.8;19;16.7;17
74;'s-Hertogenbosch (GA);159.2;108.5;68;12.8;5;18.1;7
75;Eindhoven (GA);320.7;217.5;68;12.8;8;18.0;8
76;Geleen/Sittard (GA);140.8;95.0;67;12.2;12;17.2;14
77;Heerlen (GA);211.4;142.5;67;11.7;20;15.9;21
78;Maastricht (GA);121.5;81.8;67;11.9;18;16.6;19
79;Groningen (SG);343.9;228.4;66;11.9;19;17.0;18
80;Leeuwarden (SG);159.2;105.6;66;11.3;21;16.3;21
81;Zwolle (SG);168.4;113.5;67;12.2;13;17.4;14
82;Enschede (SG);309.2;203.1;66;11.3;22;16.4;20
83;Apeldoorn (SG);212.7;145.3;68;12.3;11;17.4;13
84;Arnhem (SG);346.6;233.2;67;12.3;10;17.6;12
85;Nijmegen (SG);276.5;185.7;67;12.2;14;17.3;15
86;Amersfoort (SG);266.9;175.1;66;13.0;4;19.1;3
87;Utrecht (SG);570.4;379.5;67;13.2;2;19.0;4
88;Amsterdam (SG);1456.8;944.1;65;12.7;8;18.7;6
89;Haarlem (SG);404.5;278.1;69;13.6;1;19.1;2
90;Leiden (SG);332.3;218.0;66;13.1;3;19.2;1
91;'s-Gravenhage (SG);984.4;643.1;65;12.9;5;18.8;5
92;Rotterdam (SG);1185.1;772.8;65;12.1;16;17.7;11
93;Dordrecht (SG);288.4;188.5;65;12.1;15;17.8;9
94;Breda (SG);308.0;207.6;67;12.5;9;17.8;10
95;Tilburg (SG);287.6;194.6;68;12.0;18;17.0;19
96;'s-Hertogenbosch (SG);187.1;127.1;68;12.8;6;18.2;7
97;Eindhoven (SG);403.8;273.0;68;12.8;7;18.1;8
98;Geleen/Sittard (SG);154.4;104.0;67;12.2;12;17.3;16
99;Heerlen (SG);260.2;175.1;67;11.9;20;16.2;22
100;Maastricht (SG);184.1;124.0;67;12.1;17;17.0;17
101;Aa en Hunze;25.3;17.2;68;12.4;159;17.7;204
102;Aalburg;12.2;7.3;60;11.1;419;17.9;179
103;Aalsmeer;23.3;15.9;68;13.5;52;19.2;72
104;Aalten;27.4;18.0;66;11.2;401;16.1;416
105;Abcoude;8.6;5.6;65;16.2;9;24.3;7
106;Achtkarspelen;28.1;18.0;64;10.4;457;15.5;454
107;Alblasserdam;18.4;11.7;64;11.4;372;17.1;302
108;Alkmaar;94.3;64.6;69;12.3;189;17.3;273
109;Albrandswaard;20.6;13.6;66;13.9;40;20.4;31
110;Alkemade;14.5;9.6;66;12.0;251;17.5;236
111;Almelo;72.3;47.5;66;11.0;424;16.0;420
112;Almere;175.0;107.8;62;11.6;335;17.9;177
113;Alphen aan den Rijn;70.6;47.2;67;13.0;87;18.7;103
114;Alphen-Chaam;9.5;6.4;67;12.0;250;17.2;283
115;Ambt Montfort;10.9;7.3;67;11.9;267;16.7;346
116;Ameland;3.5;2.4;67;11.2;407;15.9;435
117;Amerongen;7.3;4.6;63;12.4;157;19.1;74
118;Amersfoort;134.9;88.3;65;12.9;90;19.0;80
119;Amstelveen;79.0;53.1;67;15.4;16;22.1;16
120;Amsterdam;742.8;472.9;64;12.6;134;18.6;113
121;Andijk;6.4;4.2;66;11.6;333;16.8;342
122;Anna Paulowna;14.0;9.0;65;10.7;445;15.9;436
123;Apeldoorn;156.1;106.8;68;12.4;166;17.6;222
124;Appingedam;12.4;8.5;68;11.3;384;16.0;423
125;Arcen en Velden;8.9;6.1;69;11.9;278;16.1;412
126;Arnhem;141.3;95.3;67;12.0;248;16.9;323
127;Assen;62.8;41.8;67;11.8;298;17.1;297
128;Asten;16.3;10.9;67;12.0;253;17.3;262
129;Baarle-Nassau;6.6;4.6;70;12.1;214;16.3;394
130;Baarn;24.4;16.8;69;14.1;33;19.7;51
131;Barendrecht;39.3;25.5;65;13.2;68;19.7;53
132;Barneveld;50.0;30.2;60;11.1;417;17.6;206
133;Bedum;10.7;7.0;66;11.3;382;16.8;344
134;Beek (L.);17.0;11.4;67;12.6;131;18.0;163
135;Beemster;8.5;5.8;68;13.0;80;18.4;127
136;Beesel;13.4;8.9;67;11.4;359;16.3;395
137;Bellingwedde;9.7;6.4;66;10.8;437;15.5;457
138;Bennebroek;5.1;3.6;70;16.4;8;22.9;11
139;Bergambacht;9.3;5.9;64;12.9;88;19.4;62
140;Bergeijk;18.1;12.1;67;12.0;247;17.3;265
141;Bergen (L.);13.6;9.0;66;11.3;381;15.9;437
142;Bergen (NH.);31.7;21.6;68;14.0;36;19.9;46
143;Bergen op Zoom;66.3;43.8;66;12.1;217;17.4;245
144;Bergschenhoek;16.2;9.9;61;13.0;86;20.5;30
145;Berkel en Rodenrijs;18.1;11.8;65;12.8;100;19.0;82
146;Berkelland;45.2;30.7;68;11.4;358;16.3;398
147;Bernheze;29.2;19.3;66;11.9;269;17.5;225
148;Bernisse;12.6;8.3;66;13.0;83;19.1;78
149;Best;28.9;19.1;66;12.6;138;18.4;128
150;Beuningen;25.3;16.6;66;12.1;244;17.8;189
151;Beverwijk;36.9;25.8;70;12.6;135;17.5;234
152;Binnenmaas;19.5;13.1;67;13.5;53;19.6;58
153;Bladel;19.1;12.7;66;12.0;259;17.4;258
154;Blaricum;9.2;6.0;65;17.8;4;26.9;4
155;Bleiswijk;10.3;6.4;62;12.8;102;19.7;52
156;Bloemendaal;17.0;10.9;64;18.5;2;28.0;2
157;Boarnsterhim;19.2;12.5;65;11.2;398;16.5;383
158;Bodegraven;19.4;12.4;64;12.6;143;18.9;83
159;Boekel;9.4;6.2;66;11.1;415;16.2;403
160;Bolsward;9.4;6.3;67;11.2;400;16.1;414
161;Borger-Odoorn;26.3;17.4;66;11.0;423;16.0;425
162;Borne;20.5;13.4;66;12.0;262;17.6;207
163;Borsele;22.4;14.6;65;11.9;286;17.6;210
164;Boskoop;15.3;9.8;64;12.4;172;18.6;110
165;Boxmeer;29.2;19.6;67;12.0;246;17.2;278
166;Boxtel;29.5;19.8;67;12.3;184;17.7;205
167;Breda;168.1;113.7;68;12.7;124;17.9;175
168;Breukelen;14.4;9.3;65;13.4;57;19.9;45
169;Brielle;16.0;10.7;67;13.2;63;19.3;68
170;Bronckhorst;37.6;25.4;67;11.9;268;17.1;291
171;Brummen;21.4;14.4;67;12.6;142;18.1;156
172;Brunssum;29.8;20.2;68;11.4;373;15.9;433
173;Bunnik;14.1;9.5;67;14.6;23;21.2;23
174;Bunschoten;19.5;12.3;63;11.2;406;17.0;303
175;Buren;25.6;16.6;65;12.3;186;18.4;126
176;Bussum;31.2;20.9;67;15.8;11;22.8;13
177;Capelle aan den IJssel;65.5;43.8;67;13.2;70;18.9;87
178;Castricum;35.1;23.8;68;13.9;39;20.0;42
179;Coevorden;36.1;24.3;67;11.3;390;16.0;422
180;Cranendonck;20.0;13.3;67;12.3;178;17.7;196
181;Cromstrijen;13.0;8.8;67;13.0;78;18.7;104
182;Cuijk;24.2;16.0;66;11.7;321;16.9;326
183;Culemborg;27.1;17.3;64;12.4;160;18.7;100
184;Dalfsen;26.5;17.3;65;11.7;322;17.3;266
185;Dantumadeel;19.7;12.2;62;10.2;461;15.6;450
186;De Bilt;42.2;28.3;67;15.5;15;22.4;15
187;De Marne;11.3;7.4;66;10.6;450;15.5;455
188;De Ronde Venen;34.4;22.5;65;13.6;47;20.2;37
189;De Wolden;23.8;15.8;66;11.5;350;16.8;339
190;Delft;95.0;62.4;66;12.2;205;17.6;219
191;Delfzijl;28.4;18.6;65;11.2;396;16.4;389
192;Den Helder;59.4;40.5;68;11.6;324;16.5;386
193;Deurne;32.0;21.3;66;11.8;307;17.0;304
194;Deventer;95.6;63.1;66;11.6;325;16.9;324
195;Diemen;23.9;15.7;65;13.2;60;19.5;60
196;Dinkelland;26.1;16.9;65;11.3;392;16.7;350
197;Dirksland;8.3;5.3;63;11.5;343;17.5;228
198;Doesburg;11.4;7.5;66;11.5;352;16.7;351
199;Doetinchem;56.8;38.0;67;11.7;314;16.7;349
200;Dongen;25.5;17.1;67;12.1;234;17.3;270
201;Dongeradeel;25.1;16.2;64;10.3;459;15.3;462
202;Doorn;10.3;7.2;70;15.8;10;21.7;18
203;Dordrecht;119.3;77.9;65;11.9;280;17.4;257
204;Drechterland;10.5;6.9;66;12.1;228;17.8;186
205;Driebergen-Rijsenburg;18.6;12.5;67;14.5;25;20.8;25
206;Drimmelen;26.7;17.9;67;12.2;203;17.6;221
207;Dronten;38.0;22.9;60;10.7;446;16.9;319
208;Druten;17.9;11.9;67;11.7;316;16.9;317
209;Duiven;25.7;16.6;64;11.5;339;17.3;272
210;Echt-Susteren;32.3;22.2;69;12.1;240;16.7;345
211;Edam-Volendam;28.3;19.1;67;12.9;95;18.6;115
212;Ede;106.4;68.3;64;11.8;291;17.7;197
213;Eemnes;8.8;5.5;63;13.2;64;20.3;34
214;Eemsmond;16.7;10.7;64;10.3;458;15.4;459
215;Eersel;18.3;12.2;67;12.7;119;18.3;136
216;Eijsden;11.8;7.8;66;12.3;181;17.8;187
217;Eindhoven;208.5;142.6;68;12.5;149;17.4;244
218;Elburg;22.0;13.7;62;11.4;370;17.6;211
219;Emmen;108.6;73.4;68;11.1;420;15.6;449
220;Enkhuizen;17.3;11.6;67;11.9;284;16.9;325
221;Enschede;153.7;99.2;65;10.8;434;15.7;446
222;Epe;33.1;22.4;68;12.1;239;17.3;274
223;Ermelo;26.4;17.6;66;12.4;173;17.9;172
224;Etten-Leur;39.9;26.4;66;12.2;209;17.6;215
225;Ferwerderadiel;9.0;5.8;65;10.5;452;15.6;453
226;Franekeradeel;21.0;13.6;65;10.6;448;15.7;448
227;Gaasterlân-Sleat;10.2;6.7;65;10.9;427;16.1;409
228;Geertruidenberg;20.9;14.4;69;12.4;175;17.3;269
229;Geldermalsen;26.2;16.9;64;12.3;177;18.5;120
230;Geldrop-Mierlo;37.8;25.4;67;12.7;113;18.3;133
231;Gemert-Bakel;27.9;18.6;67;11.4;378;16.4;390
232;Gennep;16.8;11.7;70;12.1;223;16.6;361
233;Giessenlanden;14.4;9.1;63;12.6;144;19.2;73
234;Gilze en Rijen;25.2;16.8;67;11.8;304;16.9;320
235;Goedereede;11.6;7.5;64;12.0;265;17.9;171
236;Goes;36.8;25.4;69;12.6;140;17.6;208
237;Goirle;22.4;15.6;70;13.1;71;18.3;135
238;Gorinchem;34.4;23.0;67;12.2;206;17.5;226
239;Gouda;71.8;47.0;65;12.5;154;18.3;137
240;Graafstroom;9.7;5.8;60;11.5;340;18.7;106
241;Graft-De Rijp;6.5;4.3;65;13.1;74;19.3;66
242;Grave;12.9;8.7;67;11.5;348;16.6;371
243;Groenlo;30.4;20.4;67;11.3;383;16.2;401
244;Groesbeek;18.8;12.6;67;11.9;271;17.0;312
245;Groningen (gemeente);180.6;121.4;67;11.6;331;16.0;421
246;Grootegast;12.0;7.4;61;10.2;462;15.9;438
247;Gulpen-Wittem;15.0;10.1;67;12.4;169;17.0;306
248;Haaksbergen;24.3;16.6;68;11.7;309;16.7;359
249;Haaren;13.9;9.4;68;12.6;139;18.0;165
250;Haarlem;146.7;102.3;70;13.2;65;18.2;149
251;Haarlemmerliede en Spaarnwoude;5.6;3.6;65;13.4;58;19.9;44
252;Haarlemmermeer;131.8;87.2;66;13.2;61;19.3;64
253;Haelen;10.0;6.8;68;12.8;112;17.9;170
254;Halderberge;29.5;19.8;67;12.3;192;17.6;209
255;Hardenberg;57.9;36.7;64;10.7;442;16.2;407
256;Harderwijk;40.9;26.6;65;11.7;317;17.3;275
257;Hardinxveld-Giessendam;17.8;11.1;63;11.5;345;17.8;190
258;Haren;19.1;12.9;67;15.0;19;21.7;21
259;Harenkarspel;15.8;10.6;67;11.7;320;16.9;327
260;Harlingen;16.0;10.4;65;10.9;428;15.9;434
261;Hattem;11.8;7.6;65;12.3;195;18.2;153
262;Heel;8.3;5.8;70;12.4;167;17.1;301
263;Heemskerk;36.4;25.0;69;12.5;147;17.7;195
264;Heemstede;25.6;17.5;68;16.6;7;23.6;8
265;Heerde;18.3;12.2;66;12.0;263;17.4;241
266;Heerenveen;42.8;28.7;67;11.8;290;17.0;310
267;Heerhugowaard;48.3;32.1;67;12.1;231;17.5;229
268;Heerlen;92.5;63.3;68;11.8;303;16.1;419
269;Heeze-Leende;15.2;10.1;67;13.0;81;18.7;96
270;Heiloo;22.1;15.2;69;14.3;29;20.3;33
271;Helden;19.6;13.3;68;11.5;355;16.2;406
272;Hellendoorn;36.2;24.0;66;11.4;376;16.5;381
273;Hellevoetsluis;40.1;26.2;65;12.4;168;18.3;144
274;Helmond;85.8;56.1;65;11.4;369;16.6;365
275;Hendrik-Ido-Ambacht;23.7;14.8;63;12.3;193;18.9;90
276;Hengelo (O.);81.2;54.5;67;11.9;283;17.0;313
277;het Bildt;11.0;6.9;63;10.1;463;15.5;456
278;Heumen;16.8;11.0;65;12.7;125;18.8;93
279;Heusden;43.1;28.2;65;12.1;233;17.8;188
280;Heythuysen;12.3;8.4;68;12.3;196;17.4;256
281;Hilvarenbeek;15.1;10.0;67;12.4;174;18.0;162
282;Hillegom;20.5;13.9;68;12.8;109;18.2;150
283;Hilversum;83.7;57.4;69;14.0;34;19.6;56
284;Hof van Twente;34.9;23.7;68;12.3;182;17.6;217
285;Hoogeveen;53.9;35.8;66;11.2;397;16.2;404
286;Hoogezand-Sappemeer;34.4;23.0;67;11.1;413;15.9;432
287;Hoorn;68.1;45.5;67;12.2;201;17.6;214
288;Horst aan de Maas;28.7;19.4;68;11.8;288;16.7;347
289;Houten;43.5;27.8;64;13.0;79;19.8;49
290;Huizen;42.1;27.9;66;13.6;50;19.8;50
291;Hulst;27.9;18.2;65;12.9;99;17.3;260
292;Hunsel;6.2;4.0;65;11.1;410;16.5;380
293;IJsselstein;33.6;21.7;64;12.7;118;19.1;79
294;Jacobswoude;10.7;7.2;67;12.8;105;18.7;102
295;Kampen;49.0;31.2;64;10.6;449;16.0;426
296;Kapelle;11.6;7.6;65;12.2;202;18.0;167
297;Katwijk;42.0;27.2;65;11.8;299;17.5;231
298;Kerkrade;49.6;32.3;65;11.8;295;15.6;452
299;Kessel;4.2;2.9;68;11.8;292;16.7;355
300;Kollumerland en Nieuwkruisland;13.1;8.3;63;10.0;466;15.0;464
301;Korendijk;11.0;6.9;63;12.2;210;18.6;109
302;Krimpen aan den IJssel;29.0;18.9;65;12.8;108;19.1;75
303;Laarbeek;21.6;14.4;67;12.0;258;17.4;251
304;Landerd;14.8;9.9;67;11.7;310;16.9;318
305;Landgraaf;39.5;26.7;68;11.8;302;16.1;417
306;Landsmeer;10.3;7.0;69;14.2;30;20.3;36
307;Langedijk;25.9;17.0;66;12.4;170;18.2;145
308;Laren (NH.);11.5;7.7;67;17.9;3;25.9;5
309;Leek;19.5;12.8;66;11.2;393;16.5;384
310;Leerdam;21.0;13.5;64;11.5;353;17.1;300
311;Leersum;7.7;5.0;65;13.0;85;19.1;77
312;Leeuwarden;91.7;61.9;67;11.4;363;16.1;410
313;Leeuwarderadeel;10.5;6.9;65;11.4;377;16.9;329
314;Leiden;118.6;78.0;66;12.9;97;18.5;122
315;Leiderdorp;26.2;17.6;67;14.0;37;20.1;41
316;Leidschendam-Voorburg;73.8;51.0;69;14.6;24;20.5;29
317;Lelystad;70.9;46.0;65;11.4;371;16.7;354
318;Lemsterland;13.4;8.5;63;11.1;418;16.6;360
319;Leusden;29.0;19.5;67;13.8;44;20.0;43
320;Liemeer;6.7;4.6;68;12.2;208;17.3;264
321;Liesveld;9.7;5.9;61;11.4;364;18.0;160
322;Lingewaal;10.8;6.9;64;12.0;261;18.0;161
323;Lingewaard;43.2;29.0;67;11.9;275;17.1;292
324;Lisse;21.9;14.8;68;12.8;103;18.3;142
325;Lith;6.7;4.3;65;11.1;414;16.7;353
326;Littenseradiel;10.8;6.8;63;10.9;430;16.6;370
327;Lochem;32.8;22.7;69;13.0;82;18.2;146
328;Loenen;8.3;5.5;66;15.4;17;22.7;14
329;Loon op Zand;22.9;15.8;69;12.4;161;17.5;233
330;Lopik;14.0;8.7;62;11.6;328;17.9;174
331;Loppersum;11.0;7.0;64;10.7;443;16.1;418
332;Losser;22.5;15.0;66;11.2;394;16.1;413
333;Maarn;5.9;4.0;67;15.6;14;22.9;12
334;Maarssen;39.8;26.9;68;13.5;54;19.3;63
335;Maasbracht;13.7;9.3;68;12.1;243;17.0;314
336;Maasbree;12.8;8.7;68;11.7;313;16.7;358
337;Maasdonk;11.4;7.4;65;11.5;338;17.2;282
338;Maasdriel;23.6;15.5;66;11.8;293;17.4;252
339;Maassluis;32.5;21.9;67;12.7;128;18.0;169
340;Maastricht;121.5;81.8;67;11.9;282;16.6;369
341;Margraten;13.5;8.9;66;12.7;121;18.4;123
342;Marum;10.1;6.4;63;10.9;426;16.6;367
343;Medemblik;8.0;5.4;67;12.1;224;17.5;235
344;Meerlo-Wanssum;7.7;5.3;68;11.5;356;16.2;405
345;Meerssen;19.9;13.4;67;12.7;114;18.2;152
346;Meijel;5.9;4.0;69;11.3;389;15.4;460
347;Menaldumadeel;14.0;9.1;65;11.4;365;16.7;348
348;Menterwolde;12.6;8.1;65;10.8;439;15.9;428
349;Meppel;30.4;20.7;68;12.0;257;17.0;307
350;Middelburg (Z.);46.5;31.1;67;12.1;230;17.4;242
351;Middelharnis;17.5;11.7;67;12.1;216;17.7;201
352;Midden-Delfland;17.1;11.2;66;12.6;146;18.6;108
353;Midden-Drenthe;33.0;22.2;67;11.5;346;16.5;374
354;Mill en Sint Hubert;11.0;7.4;67;11.2;403;16.0;424
355;Millingen aan de Rijn;5.9;4.0;67;11.5;351;16.3;393
356;Moerdijk;36.8;24.6;67;12.3;197;17.7;203
357;Montferland;35.3;23.6;67;11.6;334;16.5;376
358;Montfoort;13.4;8.5;63;12.8;101;19.4;61
359;Mook en Middelaar;8.0;5.4;68;13.6;48;19.5;59
360;Moordrecht;8.1;5.1;63;11.9;281;18.3;139
361;Muiden;6.7;4.4;66;15.7;13;23.1;10
362;Naarden;17.1;11.1;65;16.7;6;25.2;6
363;Neder-Betuwe;22.4;13.1;59;10.4;455;16.8;336
364;Nederlek;14.8;9.7;66;12.7;127;18.6;111
365;Nederweert;16.3;11.0;67;11.6;332;16.5;375
366;Neerijnen;11.7;7.5;64;12.1;236;18.1;154
367;Niedorp;11.8;7.7;66;11.8;308;17.2;287
368;Nieuwegein;61.4;42.5;69;13.2;69;18.4;130
369;Nieuwerkerk aan den IJssel;22.2;14.0;63;13.0;84;19.9;48
370;Nieuwkoop;11.1;7.2;65;13.2;66;19.6;57
371;Nieuw-Lekkerland;9.6;5.5;58;10.6;451;17.5;223
372;Nijefurd;10.9;7.2;66;10.9;431;15.8;442
373;Nijkerk;38.4;24.7;64;12.2;212;18.2;151
374;Nijmegen;158.2;107.2;68;12.1;241;16.8;335
375;Noord-Beveland;7.2;5.1;71;11.2;404;15.3;463
376;Noordenveld;31.7;21.2;67;12.3;185;17.8;183
377;Noorder-Koggenland;10.5;6.9;66;12.2;207;17.9;182
378;Noordoostpolder;45.6;28.7;63;10.5;453;15.8;441
379;Noordwijk;24.6;16.6;68;13.5;56;19.1;76
380;Noordwijkerhout;15.1;9.8;65;12.1;220;18.1;157
381;Nuenen, Gerwen en Nederwetten;23.2;15.1;65;14.0;38;20.7;27
382;Nunspeet;26.7;16.7;63;11.4;374;17.4;247
383;Nuth;16.0;11.0;69;12.5;148;17.4;239
384;Obdam;6.8;4.7;69;12.7;115;18.0;159
385;Oegstgeest;21.3;13.7;64;15.7;12;23.6;9
386;Oirschot;17.9;12.0;67;12.1;226;17.5;224
387;Oisterwijk;25.9;17.4;67;13.1;72;18.9;85
388;Oldebroek;23.0;14.3;62;11.1;416;17.1;296
389;Oldenzaal;31.4;21.1;67;12.0;266;17.0;309
390;Olst-Wijhe;17.1;11.5;67;11.4;375;16.4;387
391;Ommen;17.0;11.3;66;11.5;347;16.8;343
392;Onderbanken;8.4;5.5;65;11.4;360;16.2;400
393;Oosterhout;52.9;35.7;67;12.5;150;17.9;181
394;Oostflakkee;10.1;6.8;67;11.5;354;16.5;378
395;Ooststellingwerf;26.5;17.5;66;10.8;432;15.8;443
396;Oostzaan;9.2;6.3;69;13.6;51;19.3;67
397;Opmeer;11.3;7.4;66;12.6;130;18.6;107
398;Opsterland;29.5;19.3;65;11.1;411;16.4;391
399;Oss;76.3;50.8;67;12.0;260;17.3;267
400;Oud-Beijerland;23.8;15.6;66;12.8;110;18.9;88
401;Oude IJsselstreek;40.4;26.7;66;11.3;386;16.2;408
402;Ouder-Amstel;13.2;9.0;68;15.4;18;21.8;17
403;Ouderkerk;8.1;5.1;63;12.3;194;18.5;119
404;Oudewater;9.9;6.6;66;12.7;123;18.5;121
405;Overbetuwe;42.3;27.5;65;11.9;273;17.7;192
406;Papendrecht;31.2;20.8;67;12.9;92;18.7;97
407;Pekela;13.4;8.8;66;10.0;465;14.7;466
408;Pijnacker-Nootdorp;39.9;25.5;64;12.7;117;19.3;69
409;Purmerend;77.1;53.0;69;12.2;204;17.2;288
410;Putten;23.2;14.6;63;11.8;294;18.1;158
411;Raalte;37.2;24.8;67;11.5;341;16.8;340
412;Reeuwijk;12.8;8.3;64;13.8;43;20.8;26
413;Reiderland;7.0;4.7;68;10.0;464;14.1;467
414;Reimerswaal;21.0;12.9;62;11.3;387;17.3;268
415;Renkum;31.9;21.9;69;14.4;28;20.2;40
416;Renswoude;4.3;2.6;61;11.3;391;17.7;193
417;Reusel-De Mierden;12.3;8.5;69;11.8;306;16.4;392
418;Rheden;44.8;31.5;70;13.2;62;18.2;147
419;Rhenen;18.0;11.7;65;12.2;199;18.3;140
420;Ridderkerk;45.1;31.1;69;12.9;98;18.0;166
421;Rijnsburg;14.8;9.2;62;11.8;296;18.3;132
422;Rijnwaarden;11.1;7.3;66;11.0;425;15.8;439
423;Rijnwoude;18.9;12.4;66;12.9;91;18.9;91
424;Rijssen-Holten;36.4;22.5;62;10.8;440;16.8;337
425;Rijswijk (ZH.);47.4;34.2;72;14.4;26;19.3;65
