ID;Accuracy;OwnerOrTenant;HouseholdCharacteristics;DwellingCharacteristics;Period;TotalHousingCosts_1;NetRentOrMortgage_2;AdditionalHousingCosts_3;HousingCostRatio_4;NonSkewedRent_5;SkewedTowardsCheapRent_6;SkewedTowardsExpensiveRent_7
24;Value;Total;Households in autonomous homes;Year of construction: from 2001;2009;861.8;657.4;204.4;31.4;87.5;6.9;5.6
25;Value;Total;Households in autonomous homes;Year of construction: from 2001;2012;910.3;697.7;212.6;33.3;86.3;5.5;8.2
26;Value;Total;Households in autonomous homes;Year of construction: from 2001;2015;925.2;734.6;190.6;33.2;85.3;3.9;10.7
27;Value;Total;Households in autonomous homes;Own garden, grounds etc. : included;2009;830.0;590.7;239.3;30.5;88.7;9.2;2.1
28;Value;Total;Households in autonomous homes;Own garden, grounds etc. : included;2012;880.8;638.5;242.3;32.1;88.4;7.9;3.7
29;Value;Total;Households in autonomous homes;Own garden, grounds etc. : included;2015;841.9;624.5;217.4;30.3;89.0;5.9;5.1
30;Value;Total;Households in autonomous homes;Own garden, grounds etc. : not included;2009;617.0;454.8;162.2;35.3;76.5;17.0;6.5
31;Value;Total;Households in autonomous homes;Own garden, grounds etc. : not included;2012;665.1;499.3;165.7;37.2;76.1;14.4;9.6
32;Value;Total;Households in autonomous homes;Own garden, grounds etc. : not included;2015;687.1;532.7;154.4;38.2;76.4;10.6;13.0
33;Value;Total;Households in autonomous homes;Garage/carport with dwelling: included;2009;913.2;650.0;263.3;29.7;95.6;3.3;1.1
34;Value;Total;Households in autonomous homes;Garage/carport with dwelling: included;2012;955.9;690.7;265.2;31.0;95.6;2.7;1.7
35;Value;Total;Households in autonomous homes;Garage/carport with dwelling: included;2015;892.6;657.5;235.2;28.3;95.8;2.1;2.1
36;Value;Total;Households in autonomous homes;Garage/carport with dwelling: not…;2009;698.3;503.4;194.9;32.9;80.0;15.5;4.5
37;Value;Total;Households in autonomous homes;Garage/carport with dwelling: not…;2012;752.4;553.6;198.7;34.8;79.5;13.3;7.2
38;Value;Total;Households in autonomous homes;Garage/carport with dwelling: not…;2015;750.5;568.8;181.7;34.6;80.2;9.8;10.0
39;Value;Total;Households in autonomous homes;Number of rooms: 2 or less;2009;524.4;372.6;151.8;39.2;81.3;13.8;4.9
40;Value;Total;Households in autonomous homes;Number of rooms: 2 or less;2012;562.0;411.2;150.8;40.4;81.3;12.0;6.7
41;Value;Total;Households in autonomous homes;Number of rooms: 2 or less;2015;584.8;443.5;141.3;41.8;80.1;10.1;9.8
42;Value;Total;Households in autonomous homes;Number of rooms: 3;2009;632.9;464.1;168.9;34.0;80.0;14.3;5.6
43;Value;Total;Households in autonomous homes;Number of rooms: 3;2012;688.3;516.1;172.1;36.4;78.6;12.4;9.0
44;Value;Total;Households in autonomous homes;Number of rooms: 3;2015;701.9;542.1;159.7;36.7;78.0;9.3;12.7
45;Value;Total;Households in autonomous homes;Number of rooms: 4;2009;727.8;516.8;211.0;31.4;81.3;15.4;3.3
46;Value;Total;Households in autonomous homes;Number of rooms: 4;2012;781.3;564.9;216.4;33.2;80.4;13.6;6.0
47;Value;Total;Households in autonomous homes;Number of rooms: 4;2015;753.1;558.8;194.2;32.5;81.4;10.0;8.6
48;Value;Total;Households in autonomous homes;Number of rooms: 5;2009;857.4;611.4;246.0;29.4;89.8;7.8;2.4
49;Value;Total;Households in autonomous homes;Number of rooms: 5;2012;915.7;667.0;248.7;30.8;89.7;6.7;3.6
50;Value;Total;Households in autonomous homes;Number of rooms: 5;2015;865.4;643.7;221.7;28.8;90.3;4.8;4.9
51;Value;Total;Households in autonomous homes;Number of rooms: 6;2009;1004.4;726.1;278.3;28.7;95.9;3.3;0.9
52;Value;Total;Households in autonomous homes;Number of rooms: 6;2012;1020.3;741.4;278.9;29.9;95.6;3.0;1.4
53;Value;Total;Households in autonomous homes;Number of rooms: 6;2015;973.7;727.7;245.9;27.1;96.4;2.2;1.4
54;Value;Total;Households in autonomous homes;Number of rooms: 7 or more;2009;1159.8;835.8;324.0;30.1;97.6;1.9;0.5
55;Value;Total;Households in autonomous homes;Number of rooms: 7 or more;2012;1152.7;839.7;312.9;30.4;97.9;1.4;0.7
56;Value;Total;Households in autonomous homes;Number of rooms: 7 or more;2015;1068.1;793.6;274.5;27.9;98.7;1.0;0.3
57;Value;Total;Households in autonomous homes;Type of kitchen: separate;2009;733.6;514.9;218.8;32.6;82.6;14.2;3.2
58;Value;Total;Households in autonomous homes;Type of kitchen: separate;2012;771.4;550.7;220.7;34.2;81.8;12.7;5.5
59;Value;Total;Households in autonomous homes;Type of kitchen: separate;2015;747.6;546.9;200.7;33.3;83.0;9.6;7.4
60;Value;Total;Households in autonomous homes;Type of kitchen: open;2009;805.4;586.6;218.8;31.1;87.7;8.9;3.4
61;Value;Total;Households in autonomous homes;Type of kitchen: open;2012;859.4;636.9;222.5;32.9;87.4;7.5;5.1
62;Value;Total;Households in autonomous homes;Type of kitchen: open;2015;833.2;633.9;199.3;31.9;87.1;5.6;7.3
63;Value;Total;Households in autonomous homes;"Type of dwelling: single-family; total";2009;847.4;602.5;244.9;30.2;89.3;8.8;1.9
64;Value;Total;Households in autonomous homes;"Type of dwelling: single-family; total";2012;898.9;650.5;248.4;31.8;89.0;7.6;3.4
65;Value;Total;Households in autonomous homes;"Type of dwelling: single-family; total";2015;854.0;632.5;221.5;29.8;89.6;5.8;4.7
66;Value;Total;Households in autonomous homes;"Type of dwelling: single-family;detached";2009;1014.2;707.1;307.1;31.3;98.1;1.5;0.4
67;Value;Total;Households in autonomous homes;"Type of dwelling: single-family;detached";2012;1038.0;731.6;306.4;32.0;97.7;1.5;0.9
68;Value;Total;Households in autonomous homes;"Type of dwelling: single-family;detached";2015;971.3;701.5;269.9;29.2;98.1;1.3;0.6
69;Value;Total;Households in autonomous homes;"Type of dwelling: single-family; semi..";2009;882.3;628.9;253.4;28.8;95.5;3.7;0.8
70;Value;Total;Households in autonomous homes;"Type of dwelling: single-family; semi..";2012;953.1;694.3;258.7;30.2;95.8;3.1;1.0
71;Value;Total;Households in autonomous homes;"Type of dwelling: single-family; semi..";2015;900.3;667.0;233.3;27.3;97.0;1.9;1.1
72;Value;Total;Households in autonomous homes;"Type of dwelling:singlefamily;terraced..";2009;778.2;557.7;220.5;30.2;84.3;13.0;2.7
73;Value;Total;Households in autonomous homes;"Type of dwelling:singlefamily;terraced..";2012;835.9;610.1;225.8;32.1;84.0;11.0;4.9
74;Value;Total;Households in autonomous homes;"Type of dwelling:singlefamily;terraced..";2015;797.1;596.7;200.4;30.8;84.2;8.6;7.3
75;Value;Total;Households in autonomous homes;"Type of dwelling: multi-family; total";2009;612.3;450.3;162.0;35.3;77.0;16.6;6.5
76;Value;Total;Households in autonomous homes;"Type of dwelling: multi-family; total";2012;660.1;495.3;164.8;37.1;76.6;14.0;9.4
77;Value;Total;Households in autonomous homes;"Type of dwelling: multi-family; total";2015;682.3;528.2;154.1;38.2;76.8;10.2;12.9
78;Value;Total;Households in autonomous homes;Function: residential/commercial;2009;1289.2;990.5;298.7;43.0;93.9;4.8;1.3
79;Value;Total;Households in autonomous homes;Function: residential/commercial;2012;1145.7;894.0;251.7;41.1;90.7;5.7;3.6
80;Value;Total;Households in autonomous homes;Function: residential/commercial;2015;973.2;749.3;224.0;37.6;92.2;4.0;3.8
81;Value;Total;Households in autonomous homes;Function: normal residential;2009;783.7;561.6;222.1;31.5;85.8;11.5;2.8
82;Value;Total;Households in autonomous homes;Function: normal residential;2012;834.7;609.1;225.7;33.0;85.8;9.7;4.4
83;Value;Total;Households in autonomous homes;Function: normal residential;2015;807.9;605.2;202.7;32.0;86.3;7.3;6.3
84;Value;Total;Households in autonomous homes;Function: residential for seniors;2009;580.5;411.3;169.2;34.3;80.4;9.8;9.8
85;Value;Total;Households in autonomous homes;Function: residential for seniors;2012;605.6;440.9;164.7;37.7;73.7;9.4;16.8
86;Value;Total;Households in autonomous homes;Function: residential for seniors;2015;653.3;493.3;160.0;38.1;73.5;6.1;20.4
87;Value;Total;Households in autonomous homes;Usable area: less than  75 m²;2009;590.8;416.1;174.7;34.8;78.4;16.9;4.7
88;Value;Total;Households in autonomous homes;Usable area: less than  75 m²;2012;640.6;461.0;179.6;36.0;77.4;15.0;7.6
89;Value;Total;Households in autonomous homes;Usable area: less than  75 m²;2015;616.5;468.6;148.0;39.1;79.1;10.6;10.2
90;Value;Total;Households in autonomous homes;Usable area: 75 to 99 m²;2009;706.6;506.4;200.2;32.3;79.6;15.5;4.9
91;Value;Total;Households in autonomous homes;Usable area: 75 to 99 m²;2012;764.0;560.2;203.8;34.7;79.6;13.1;7.2
92;Value;Total;Households in autonomous homes;Usable area: 75 to 99 m²;2015;713.4;538.6;174.9;34.8;76.5;11.4;12.0
93;Value;Total;Households in autonomous homes;Usable area: 100 to 149 m²;2009;844.2;610.5;233.8;30.1;89.4;8.3;2.3
94;Value;Total;Households in autonomous homes;Usable area: 100 to 149 m²;2012;904.4;666.5;237.9;31.7;90.0;6.2;3.8
95;Value;Total;Households in autonomous homes;Usable area: 100 to 149 m²;2015;833.6;622.9;210.6;29.7;88.8;5.5;5.8
96;Value;Total;Households in autonomous homes;Usable area: 150 m² or more;2009;1003.7;723.6;280.0;29.4;96.3;2.8;0.9
97;Value;Total;Households in autonomous homes;Usable area: 150 m² or more;2012;1061.7;775.4;286.2;30.7;96.5;2.1;1.4
98;Value;Total;Households in autonomous homes;Usable area: 150 m² or more;2015;1036.2;769.7;266.5;28.0;97.6;1.4;1.0
99;Value;Total;Eligibility housing benefit: eligible;Total;2009;574.7;387.0;187.7;42.3;87.6;;12.4
100;Value;Total;Eligibility housing benefit: eligible;Total;2012;611.1;423.9;187.2;45.0;80.5;;19.5
101;Value;Total;Eligibility housing benefit: eligible;Total;2015;617.5;445.2;172.4;44.8;74.1;;25.9
102;Value;Total;Eligibility housing benefit: eligible;Bathing facilities:bath, separate shower;2009;915.1;662.6;252.6;50.9;89.9;;10.1
103;Value;Total;Eligibility housing benefit: eligible;Bathing facilities:bath, separate shower;2012;969.3;724.8;244.5;53.4;87.0;;13.0
104;Value;Total;Eligibility housing benefit: eligible;Bathing facilities:bath, separate shower;2015;900.0;679.1;221.0;47.4;84.4;;15.6
105;Value;Total;Eligibility housing benefit: eligible;Bathing facilities: bath or bath/shower;2009;736.8;523.8;213.0;48.0;86.2;;13.8
106;Value;Total;Eligibility housing benefit: eligible;Bathing facilities: bath or bath/shower;2012;763.5;546.5;217.0;50.3;82.0;;18.0
107;Value;Total;Eligibility housing benefit: eligible;Bathing facilities: bath or bath/shower;2015;707.6;517.8;189.8;47.1;74.2;;25.8
108;Value;Total;Eligibility housing benefit: eligible;Bathing facilities: shower/ no bath;2009;502.1;327.4;174.7;40.3;87.4;;12.6
109;Value;Total;Eligibility housing benefit: eligible;Bathing facilities: shower/ no bath;2012;546.1;370.0;176.1;43.3;79.5;;20.5
110;Value;Total;Eligibility housing benefit: eligible;Bathing facilities: shower/ no bath;2015;568.5;404.8;163.7;44.2;72.6;;27.4
111;Value;Total;Eligibility housing benefit: eligible;Year of construction: .. to 1945;2009;656.2;453.4;202.8;46.8;92.0;;8.0
112;Value;Total;Eligibility housing benefit: eligible;Year of construction: .. to 1945;2012;689.8;487.6;202.2;49.8;87.1;;12.9
113;Value;Total;Eligibility housing benefit: eligible;Year of construction: .. to 1945;2015;672.1;489.0;183.1;48.2;82.2;;17.8
114;Value;Total;Eligibility housing benefit: eligible;Year of construction: 1946 to 1970;2009;534.2;346.6;187.6;40.4;91.1;;8.9
115;Value;Total;Eligibility housing benefit: eligible;Year of construction: 1946 to 1970;2012;566.0;377.2;188.8;42.7;84.0;;16.0
116;Value;Total;Eligibility housing benefit: eligible;Year of construction: 1946 to 1970;2015;574.6;400.1;174.5;42.6;80.6;;19.4
117;Value;Total;Eligibility housing benefit: eligible;Year of construction: 1971 to 1985;2009;548.7;363.8;184.9;41.8;83.5;;16.5
118;Value;Total;Eligibility housing benefit: eligible;Year of construction: 1971 to 1985;2012;600.1;414.7;185.4;44.3;78.1;;21.9
119;Value;Total;Eligibility housing benefit: eligible;Year of construction: 1971 to 1985;2015;598.2;426.5;171.7;44.1;72.1;;27.9
120;Value;Total;Eligibility housing benefit: eligible;Year of construction: 1986 to 2000;2009;579.3;401.6;177.7;40.9;86.8;;13.2
121;Value;Total;Eligibility housing benefit: eligible;Year of construction: 1986 to 2000;2012;593.7;417.3;176.4;43.6;78.8;;21.2
122;Value;Total;Eligibility housing benefit: eligible;Year of construction: 1986 to 2000;2015;635.7;471.9;163.8;44.4;69.4;;30.6
123;Value;Total;Eligibility housing benefit: eligible;Year of construction: from 2001;2009;636.9;456.4;180.5;45.6;72.6;;27.4
124;Value;Total;Eligibility housing benefit: eligible;Year of construction: from 2001;2012;696.3;520.7;175.6;49.2;63.0;;37.0
125;Value;Total;Eligibility housing benefit: eligible;Year of construction: from 2001;2015;684.7;522.5;162.2;48.7;51.1;;48.9
126;Value;Total;Eligibility housing benefit: eligible;Own garden, grounds etc. : included;2009;633.2;424.6;208.6;41.9;90.1;;9.9
127;Value;Total;Eligibility housing benefit: eligible;Own garden, grounds etc. : included;2012;668.4;462.0;206.5;44.6;83.2;;16.8
128;Value;Total;Eligibility housing benefit: eligible;Own garden, grounds etc. : included;2015;663.1;473.9;189.2;43.4;77.5;;22.5
129;Value;Total;Eligibility housing benefit: eligible;Own garden, grounds etc. : not included;2009;486.2;330.1;156.1;43.0;83.7;;16.3
130;Value;Total;Eligibility housing benefit: eligible;Own garden, grounds etc. : not included;2012;526.5;367.7;158.8;45.6;76.5;;23.5
131;Value;Total;Eligibility housing benefit: eligible;Own garden, grounds etc. : not included;2015;554.1;405.2;148.9;46.8;69.3;;30.7
132;Value;Total;Eligibility housing benefit: eligible;Garage/carport with dwelling: included;2009;795.1;554.3;240.8;46.7;91.9;;8.1
133;Value;Total;Eligibility housing benefit: eligible;Garage/carport with dwelling: included;2012;820.2;587.3;232.9;48.4;87.9;;12.1
134;Value;Total;Eligibility housing benefit: eligible;Garage/carport with dwelling: included;2015;756.4;545.0;211.4;44.3;85.0;;15.0
135;Value;Total;Eligibility housing benefit: eligible;Garage/carport with dwelling: not…;2009;524.0;348.5;175.5;41.3;86.6;;13.4
136;Value;Total;Eligibility housing benefit: eligible;Garage/carport with dwelling: not…;2012;565.0;387.9;177.1;44.3;78.9;;21.1
137;Value;Total;Eligibility housing benefit: eligible;Garage/carport with dwelling: not…;2015;589.0;424.6;164.3;44.9;71.8;;28.2
138;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 2 or less;2009;445.6;293.9;151.6;46.4;90.4;;9.6
139;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 2 or less;2012;471.1;322.7;148.4;47.9;87.0;;13.0
140;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 2 or less;2015;495.3;357.1;138.2;49.4;81.8;;18.2
141;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 3;2009;495.8;335.8;159.9;40.2;84.7;;15.3
142;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 3;2012;546.5;383.7;162.7;43.6;76.4;;23.6
143;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 3;2015;570.7;418.0;152.7;44.5;67.1;;32.9
144;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 4;2009;567.1;372.3;194.7;40.2;88.1;;11.9
145;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 4;2012;614.3;416.0;198.4;42.5;79.4;;20.6
146;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 4;2015;617.2;436.8;180.3;42.6;72.6;;27.4
147;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 5;2009;700.5;476.3;224.2;43.2;85.7;;14.3
148;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 5;2012;734.0;509.3;224.8;45.8;78.7;;21.3
149;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 5;2015;722.9;520.3;202.6;44.0;73.1;;26.9
150;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 6;2009;879.8;620.9;258.9;46.7;92.5;;7.5
151;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 6;2012;867.1;620.5;246.6;51.0;87.9;;12.1
152;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 6;2015;851.3;620.5;230.8;45.2;87.8;;12.2
153;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 7 or more;2009;1167.1;859.0;308.1;52.5;95.4;;4.6
154;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 7 or more;2012;1171.7;891.8;280.0;58.0;92.9;;7.1
155;Value;Total;Eligibility housing benefit: eligible;Number of rooms: 7 or more;2015;973.2;724.1;249.1;48.1;97.1;;2.9
156;Value;Total;Eligibility housing benefit: eligible;Type of kitchen: separate;2009;551.3;362.5;188.8;41.5;89.7;;10.3
157;Value;Total;Eligibility housing benefit: eligible;Type of kitchen: separate;2012;577.1;387.9;189.1;43.6;83.4;;16.6
158;Value;Total;Eligibility housing benefit: eligible;Type of kitchen: separate;2015;589.0;414.5;174.6;43.6;78.3;;21.7
159;Value;Total;Eligibility housing benefit: eligible;Type of kitchen: open;2009;601.0;414.5;186.4;43.2;85.1;;14.9
160;Value;Total;Eligibility housing benefit: eligible;Type of kitchen: open;2012;645.6;460.4;185.3;46.4;77.7;;22.3
161;Value;Total;Eligibility housing benefit: eligible;Type of kitchen: open;2015;644.3;473.9;170.3;46.0;70.1;;29.9
162;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling: single-family; total";2009;661.8;444.9;216.9;42.0;90.8;;9.2
163;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling: single-family; total";2012;697.4;482.0;215.4;44.9;83.6;;16.4
164;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling: single-family; total";2015;682.9;487.6;195.3;43.3;78.0;;22.0
165;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling: single-family;detached";2009;935.1;646.2;288.9;50.3;97.1;;2.9
166;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling: single-family;detached";2012;957.0;685.5;271.5;52.5;93.7;;6.3
167;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling: single-family;detached";2015;879.1;629.7;249.4;47.0;95.9;;4.1
168;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling: single-family; semi..";2009;745.5;514.5;231.0;44.1;94.8;;5.2
169;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling: single-family; semi..";2012;766.9;534.8;232.0;46.5;93.0;;7.0
170;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling: single-family; semi..";2015;765.4;554.5;210.9;43.3;91.8;;8.2
171;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling:singlefamily;terraced..";2009;584.8;386.6;198.2;39.7;88.6;;11.4
172;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling:singlefamily;terraced..";2012;636.5;434.6;201.9;43.1;80.0;;20.0
173;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling:singlefamily;terraced..";2015;633.5;450.7;182.8;42.6;72.5;;27.5
174;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling: multi-family; total";2009;480.2;324.2;156.0;42.7;84.1;;15.9
175;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling: multi-family; total";2012;519.3;362.1;157.2;45.2;77.3;;22.7
176;Value;Total;Eligibility housing benefit: eligible;"Type of dwelling: multi-family; total";2015;550.1;401.4;148.7;46.4;70.0;;30.0
177;Value;Total;Eligibility housing benefit: eligible;Function: residential/commercial;2009;1342.2;1062.8;279.4;60.7;95.8;;4.2
178;Value;Total;Eligibility housing benefit: eligible;Function: residential/commercial;2012;1225.3;996.6;228.7;67.0;84.7;;15.3
179;Value;Total;Eligibility housing benefit: eligible;Function: residential/commercial;2015;1088.4;867.8;220.6;58.6;85.9;;14.1
180;Value;Total;Eligibility housing benefit: eligible;Function: normal residential;2009;584.3;392.3;192.0;43.0;88.7;;11.3
181;Value;Total;Eligibility housing benefit: eligible;Function: normal residential;2012;621.0;429.1;191.9;45.5;82.3;;17.7
182;Value;Total;Eligibility housing benefit: eligible;Function: normal residential;2015;621.6;446.2;175.4;45.1;76.1;;23.9
183;Value;Total;Eligibility housing benefit: eligible;Function: residential for seniors;2009;451.1;296.8;154.3;36.5;80.2;;19.8
184;Value;Total;Eligibility housing benefit: eligible;Function: residential for seniors;2012;502.2;346.2;156.0;40.6;69.4;;30.6
185;Value;Total;Eligibility housing benefit: eligible;Function: residential for seniors;2015;545.5;397.6;147.9;41.9;59.7;;40.3
186;Value;Total;Eligibility housing benefit: eligible;Usable area: less than  75 m²;2009;474.3;310.7;163.6;41.9;88.9;;11.1
187;Value;Total;Eligibility housing benefit: eligible;Usable area: less than  75 m²;2012;508.7;343.5;165.2;43.6;81.9;;18.1
188;Value;Total;Eligibility housing benefit: eligible;Usable area: less than  75 m²;2015;517.8;373.0;144.8;46.1;79.4;;20.6
189;Value;Total;Eligibility housing benefit: eligible;Usable area: 75 to 99 m²;2009;548.9;363.6;185.3;40.6;84.0;;16.0
190;Value;Total;Eligibility housing benefit: eligible;Usable area: 75 to 99 m²;2012;607.1;419.2;187.9;43.8;76.7;;23.3
191;Value;Total;Eligibility housing benefit: eligible;Usable area: 75 to 99 m²;2015;594.0;427.5;166.6;43.5;67.8;;32.2
192;Value;Total;Eligibility housing benefit: eligible;Usable area: 100 to 149 m²;2009;691.9;476.9;215.0;42.8;87.0;;13.0
193;Value;Total;Eligibility housing benefit: eligible;Usable area: 100 to 149 m²;2012;733.8;520.7;213.1;46.6;79.2;;20.8
194;Value;Total;Eligibility housing benefit: eligible;Usable area: 100 to 149 m²;2015;686.9;491.1;195.9;43.5;70.9;;29.1
195;Value;Total;Eligibility housing benefit: eligible;Usable area: 150 m² or more;2009;887.5;633.6;253.9;48.4;92.5;;7.5
196;Value;Total;Eligibility housing benefit: eligible;Usable area: 150 m² or more;2012;920.3;670.6;249.8;52.7;87.9;;12.1
197;Value;Total;Eligibility housing benefit: eligible;Usable area: 150 m² or more;2015;968.1;720.1;247.9;50.3;90.0;;10.0
198;Value;Total;Eligibility housing benefit:not eligible;Total;2009;845.4;615.4;230.1;28.0;84.7;15.3;
199;Value;Total;Eligibility housing benefit:not eligible;Total;2012;901.6;667.0;234.6;29.2;86.7;13.3;
200;Value;Total;Eligibility housing benefit:not eligible;Total;2015;870.1;659.4;210.7;27.6;90.0;10.0;
201;Value;Total;Eligibility housing benefit:not eligible;Bathing facilities:bath, separate shower;2009;1001.8;731.9;269.9;27.0;97.9;2.1;
202;Value;Total;Eligibility housing benefit:not eligible;Bathing facilities:bath, separate shower;2012;1062.3;789.9;272.5;28.1;98.3;1.7;
203;Value;Total;Eligibility housing benefit:not eligible;Bathing facilities:bath, separate shower;2015;1002.6;760.3;242.3;25.9;98.5;1.5;
204;Value;Total;Eligibility housing benefit:not eligible;Bathing facilities: bath or bath/shower;2009;887.2;648.0;239.2;28.2;92.2;7.8;
205;Value;Total;Eligibility housing benefit:not eligible;Bathing facilities: bath or bath/shower;2012;933.5;688.2;245.3;29.3;92.9;7.1;
206;Value;Total;Eligibility housing benefit:not eligible;Bathing facilities: bath or bath/shower;2015;872.1;658.3;213.7;27.3;93.7;6.3;
207;Value;Total;Eligibility housing benefit:not eligible;Bathing facilities: shower/ no bath;2009;729.8;528.6;201.2;28.6;73.4;26.6;
208;Value;Total;Eligibility housing benefit:not eligible;Bathing facilities: shower/ no bath;2012;787.0;580.4;206.5;29.8;77.2;22.8;
209;Value;Total;Eligibility housing benefit:not eligible;Bathing facilities: shower/ no bath;2015;777.8;589.9;187.9;28.9;83.0;17.0;
210;Value;Total;Eligibility housing benefit:not eligible;Year of construction: .. to 1945;2009;966.1;715.7;250.4;30.4;87.6;12.4;
211;Value;Total;Eligibility housing benefit:not eligible;Year of construction: .. to 1945;2012;1014.9;764.5;250.4;31.4;89.5;10.5;
212;Value;Total;Eligibility housing benefit:not eligible;Year of construction: .. to 1945;2015;980.2;755.4;224.8;29.4;91.1;8.9;
213;Value;Total;Eligibility housing benefit:not eligible;Year of construction: 1946 to 1970;2009;755.9;531.1;224.9;27.9;77.1;22.9;
214;Value;Total;Eligibility housing benefit:not eligible;Year of construction: 1946 to 1970;2012;817.0;587.7;229.3;29.2;79.7;20.3;
215;Value;Total;Eligibility housing benefit:not eligible;Year of construction: 1946 to 1970;2015;784.5;574.9;209.6;27.6;85.1;14.9;
