ID;Sales;Products;Periods;IndexNumbers_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3;IndexNumbers_4;MonthOnMonthDevelopment_5;YearOnYearDevelopment_6
55;Total sales;C MINING AND QUARRYING;2004 April;106.0;-1.6;-9.3;106.0;-1.6;-9.3
56;Total sales;C MINING AND QUARRYING;2004 May;105.4;-0.6;-10.4;105.4;-0.6;-10.4
57;Total sales;C MINING AND QUARRYING;2004 June;105.9;0.5;-10.4;105.9;0.5;-10.4
58;Total sales;C MINING AND QUARRYING;2004 July;107.7;1.7;0.9;107.7;1.7;0.9
59;Total sales;C MINING AND QUARRYING;2004 August;107.9;0.1;1.9;107.9;0.1;1.9
60;Total sales;C MINING AND QUARRYING;2004 September;109.7;1.7;5.3;109.7;1.7;5.3
61;Total sales;C MINING AND QUARRYING;2004 October;118.0;7.6;12.8;118.0;7.6;12.8
62;Total sales;C MINING AND QUARRYING;2004 November;119.4;1.2;12.8;119.4;1.2;12.8
63;Total sales;C MINING AND QUARRYING;2004 December;118.8;-0.5;8.5;118.8;-0.5;8.5
64;Total sales;C MINING AND QUARRYING;2004;110.2;;-1.4;110.2;;-1.4
65;Total sales;C MINING AND QUARRYING;2005 January;127.2;7.0;18.1;127.2;7.0;18.1
66;Total sales;C MINING AND QUARRYING;2005 February;127.9;0.6;18.2;127.9;0.6;18.2
67;Total sales;C MINING AND QUARRYING;2005 March;129.6;1.3;20.2;129.6;1.3;20.2
68;Total sales;C MINING AND QUARRYING;2005 April;135.2;4.4;27.5;135.2;4.4;27.5
69;Total sales;C MINING AND QUARRYING;2005 May;134.0;-0.9;27.2;134.0;-0.9;27.2
70;Total sales;C MINING AND QUARRYING;2005 June;137.8;2.8;30.1;137.8;2.8;30.1
71;Total sales;C MINING AND QUARRYING;2005 July;143.9;4.4;33.6;143.9;4.4;33.6
72;Total sales;C MINING AND QUARRYING;2005 August;148.4;3.1;37.6;148.4;3.1;37.6
73;Total sales;C MINING AND QUARRYING;2005 September;151.7;2.2;38.3;151.7;2.2;38.3
74;Total sales;C MINING AND QUARRYING;2005 October;162.2;6.9;37.5;162.2;6.9;37.5
75;Total sales;C MINING AND QUARRYING;2005 November;162.2;0.0;35.9;162.2;0.0;35.9
76;Total sales;C MINING AND QUARRYING;2005 December;171.1;5.5;44.0;171.1;5.5;44.0
77;Total sales;C MINING AND QUARRYING;2005;144.3;;30.9;144.3;;30.9
78;Total sales;C MINING AND QUARRYING;2006 January;178.0;4.1;40.0;178.0;4.1;40.0
79;Total sales;C MINING AND QUARRYING;2006 February;178.0;0.0;39.2;178.0;0.0;39.2
80;Total sales;C MINING AND QUARRYING;2006 March;180.0;1.1;38.9;180.0;1.1;38.9
81;Total sales;C MINING AND QUARRYING;2006 April;185.7;3.1;37.3;185.7;3.1;37.3
82;Total sales;C MINING AND QUARRYING;2006 May;192.4;3.6;43.6;192.4;3.6;43.6
83;Total sales;C MINING AND QUARRYING;2006 June;192.3;-0.1;39.5;192.3;-0.1;39.5
84;Total sales;C MINING AND QUARRYING;2006 July;193.4;0.6;34.3;193.4;0.6;34.3
85;Total sales;C MINING AND QUARRYING;2006 August;188.3;-2.6;26.9;188.3;-2.6;26.9
86;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 January;79.7;;;79.7;;
87;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 February;81.6;2.4;;81.6;2.4;
88;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 March;83.0;1.7;;83.0;1.7;
89;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 April;92.7;11.7;;92.7;11.7;
90;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 May;97.0;4.6;;97.0;4.6;
91;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 June;98.4;1.4;;98.4;1.4;
92;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 July;106.1;7.8;;106.1;7.8;
93;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 August;107.7;1.6;;107.7;1.6;
94;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 September;109.6;1.7;;109.6;1.7;
95;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 October;114.0;4.1;;114.0;4.1;
96;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 November;114.7;0.6;;114.7;0.6;
97;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000 December;115.6;0.8;;115.6;0.8;
98;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2000;100.0;;;100.0;;
99;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 January;120.1;3.9;50.7;120.1;3.9;50.7
100;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 February;124.3;3.5;52.3;124.3;3.5;52.3
101;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 March;124.2;-0.1;49.7;124.2;-0.1;49.7
102;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 April;118.4;-4.7;27.7;118.4;-4.7;27.7
103;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 May;119.2;0.7;22.9;119.2;0.7;22.9
104;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 June;120.9;1.4;22.9;120.9;1.4;22.9
105;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 July;118.1;-2.2;11.4;118.1;-2.2;11.4
106;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 August;113.8;-3.7;5.6;113.8;-3.7;5.6
107;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 September;111.2;-2.3;1.5;111.2;-2.3;1.5
108;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 October;107.3;-3.5;-5.9;107.3;-3.5;-5.9
109;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 November;104.9;-2.2;-8.5;104.9;-2.2;-8.5
110;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001 December;103.4;-1.4;-10.5;103.4;-1.4;-10.5
111;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2001;115.5;;15.5;115.5;;15.5
112;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 January;100.4;-2.9;-16.4;100.4;-2.9;-16.4
113;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 February;102.1;1.6;-17.9;102.1;1.6;-17.9
114;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 March;101.4;-0.7;-18.4;101.4;-0.7;-18.4
115;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 April;102.4;1.0;-13.5;102.4;1.0;-13.5
116;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 May;101.7;-0.7;-14.7;101.7;-0.7;-14.7
117;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 June;98.9;-2.7;-18.2;98.9;-2.7;-18.2
118;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 July;103.9;5.1;-12.0;103.9;5.1;-12.0
119;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 August;103.7;-0.3;-8.9;103.7;-0.3;-8.9
120;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 September;103.2;-0.4;-7.2;103.2;-0.4;-7.2
121;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 October;108.1;4.7;0.8;108.1;4.7;0.8
122;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 November;108.8;0.7;3.7;108.8;0.7;3.7
123;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002 December;112.5;3.4;8.8;112.5;3.4;8.8
124;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2002;103.9;;-10.0;103.9;;-10.0
125;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 January;117.1;4.1;16.6;117.1;4.1;16.6
126;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 February;117.9;0.7;15.5;117.9;0.7;15.5
127;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 March;116.7;-1.0;15.1;116.7;-1.0;15.1
128;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 April;117.2;0.4;14.4;117.2;0.4;14.4
129;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 May;118.2;0.9;16.3;118.2;0.9;16.3
130;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 June;118.9;0.5;20.2;118.9;0.5;20.2
131;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 July;106.4;-10.5;2.3;106.4;-10.5;2.3
132;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 August;105.7;-0.7;1.9;105.7;-0.7;1.9
133;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 September;103.7;-1.8;0.5;103.7;-1.8;0.5
134;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 October;104.3;0.5;-3.5;104.3;0.5;-3.5
135;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 November;105.7;1.4;-2.8;105.7;1.4;-2.8
136;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003 December;109.8;3.8;-2.4;109.8;3.8;-2.4
137;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2003;111.8;;7.6;111.8;;7.6
138;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 January;107.7;-1.9;-8.0;107.7;-1.9;-8.0
139;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 February;108.3;0.5;-8.2;108.3;0.5;-8.2
140;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 March;107.8;-0.4;-7.6;107.8;-0.4;-7.6
141;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 April;105.9;-1.7;-9.6;105.9;-1.7;-9.6
142;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 May;105.2;-0.7;-11.0;105.2;-0.7;-11.0
143;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 June;105.8;0.6;-11.0;105.8;0.6;-11.0
144;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 July;107.8;1.9;1.3;107.8;1.9;1.3
145;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 August;107.9;0.1;2.1;107.9;0.1;2.1
146;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 September;109.9;1.9;6.0;109.9;1.9;6.0
147;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 October;119.0;8.3;14.1;119.0;8.3;14.1
148;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 November;120.5;1.2;13.9;120.5;1.2;13.9
149;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004 December;119.9;-0.4;9.2;119.9;-0.4;9.2
150;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2004;110.5;;-1.2;110.5;;-1.2
151;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 January;128.9;7.5;19.7;128.9;7.5;19.7
152;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 February;129.7;0.6;19.8;129.7;0.6;19.8
153;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 March;131.5;1.4;21.9;131.5;1.4;21.9
154;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 April;137.7;4.7;29.9;137.7;4.7;29.9
155;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 May;136.5;-0.9;29.7;136.5;-0.9;29.7
156;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 June;140.6;3.0;32.9;140.6;3.0;32.9
157;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 July;147.2;4.7;36.6;147.2;4.7;36.6
158;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 August;152.1;3.3;40.9;152.1;3.3;40.9
159;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 September;155.7;2.4;41.6;155.7;2.4;41.6
160;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 October;167.1;7.3;40.4;167.1;7.3;40.4
161;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 November;167.0;-0.1;38.6;167.0;-0.1;38.6
162;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005 December;176.7;5.8;47.4;176.7;5.8;47.4
163;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2005;147.6;;33.6;147.6;;33.6
164;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 January;184.4;4.4;43.1;184.4;4.4;43.1
165;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 February;184.4;0.0;42.2;184.4;0.0;42.2
166;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 March;186.6;1.2;42.0;186.6;1.2;42.0
167;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 April;192.7;3.3;40.0;192.7;3.3;40.0
168;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 May;200.2;3.9;46.7;200.2;3.9;46.7
169;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 June;200.0;-0.1;42.2;200.0;-0.1;42.2
170;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 July;201.2;0.6;36.7;201.2;0.6;36.7
171;Total sales;"CA MINING OF COAL AND LIGNITE; EXTRACTIO";2006 August;195.7;-2.8;28.7;195.7;-2.8;28.7
172;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 January;;;;;;
173;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 February;;;;;;
174;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 March;;;;;;
175;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 April;;;;;;
176;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 May;;;;;;
177;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 June;;;;;;
178;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 July;;;;;;
179;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 August;;;;;;
180;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 September;;;;;;
181;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 October;;;;;;
182;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 November;;;;;;
183;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000 December;;;;;;
184;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2000;;;;;;
185;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2001 January;;;;;;
186;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2001 February;;;;;;
187;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2001 March;;;;;;
188;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2001 April;;;;;;
189;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2001 May;;;;;;
190;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2001 June;;;;;;
191;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2001 July;;;;;;
192;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2001 August;;;;;;
193;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2001 September;;;;;;
194;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2001 October;;;;;;
195;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2001 November;;;;;;
196;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2001 December;;;;;;
197;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2001;;;;;;
198;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2002 January;;;;;;
199;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2002 February;;;;;;
200;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2002 March;;;;;;
201;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2002 April;;;;;;
202;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2002 May;;;;;;
203;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2002 June;;;;;;
204;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2002 July;;;;;;
205;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2002 August;;;;;;
206;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2002 September;;;;;;
207;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2002 October;;;;;;
208;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2002 November;;;;;;
209;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2002 December;;;;;;
210;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2002;;;;;;
211;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2003 January;;;;;;
212;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2003 February;;;;;;
213;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2003 March;;;;;;
214;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2003 April;;;;;;
215;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2003 May;;;;;;
216;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2003 June;;;;;;
217;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2003 July;;;;;;
218;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2003 August;;;;;;
219;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2003 September;;;;;;
220;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2003 October;;;;;;
221;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2003 November;;;;;;
222;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2003 December;;;;;;
223;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2003;;;;;;
224;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2004 January;;;;;;
225;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2004 February;;;;;;
226;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2004 March;;;;;;
227;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2004 April;;;;;;
228;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2004 May;;;;;;
229;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2004 June;;;;;;
230;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2004 July;;;;;;
231;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2004 August;;;;;;
232;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2004 September;;;;;;
233;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2004 October;;;;;;
234;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2004 November;;;;;;
235;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2004 December;;;;;;
236;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2004;;;;;;
237;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2005 January;;;;;;
238;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2005 February;;;;;;
239;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2005 March;;;;;;
240;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2005 April;;;;;;
241;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2005 May;;;;;;
242;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2005 June;;;;;;
243;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2005 July;;;;;;
244;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2005 August;;;;;;
245;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2005 September;;;;;;
246;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2005 October;;;;;;
247;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2005 November;;;;;;
248;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2005 December;;;;;;
249;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2005;;;;;;
250;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2006 January;;;;;;
251;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2006 February;;;;;;
252;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2006 March;;;;;;
253;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2006 April;;;;;;
254;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2006 May;;;;;;
255;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2006 June;;;;;;
256;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2006 July;;;;;;
257;Total sales;"10000000 MINING OF COAL AND LIGNITE; EXT";2006 August;;;;;;
258;Total sales;10100000 Coal and lignite;2000 January;;;;;;
259;Total sales;10100000 Coal and lignite;2000 February;;;;;;
260;Total sales;10100000 Coal and lignite;2000 March;;;;;;
261;Total sales;10100000 Coal and lignite;2000 April;;;;;;
262;Total sales;10100000 Coal and lignite;2000 May;;;;;;
263;Total sales;10100000 Coal and lignite;2000 June;;;;;;
264;Total sales;10100000 Coal and lignite;2000 July;;;;;;
265;Total sales;10100000 Coal and lignite;2000 August;;;;;;
266;Total sales;10100000 Coal and lignite;2000 September;;;;;;
267;Total sales;10100000 Coal and lignite;2000 October;;;;;;
