ID;BedrijfstakkenBranchesSBI2008;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaalOpbouwArbeidskosten_6;Lonen_7;WettelijkeSocialePremies_8;ContractueleSocialePremies_9;ToegerekendeSocialePremies_10;OverigeKosten_11
54;53 Post en koeriers;1.8;47.6;27.67;23.32;1720;100;74.7;12.4;7.5;3.7;1.6
55;I Horeca;6.3;29.6;21.62;14.69;1368;100;93.0;16.6;3.1;3.1;-15.8
56;55 Logiesverstrekking;1.7;32.3;22.35;16.07;1447;100;96.0;16.4;3.7;3.4;-19.5
57;56 Eet- en drinkgelegenheden;4.6;28.7;21.37;14.24;1343;100;91.9;16.6;2.9;3.0;-14.4
58;J Informatie en communicatie;20.9;80.4;45.62;38.58;1762;100;82.2;10.1;5.2;2.4;0.2
59;58 Uitgeverijen;1.4;72.7;43.38;37.01;1676;100;80.9;11.3;4.7;2.6;0.5
60;"59 Film- en tv-productie; geluidsopname";0.7;62.3;35.18;29.94;1771;100;85.8;10.9;5.6;2.7;-5.0
61;60 Radio- en televisieomroepen;0.6;85.1;51.03;43.26;1667;100;79.4;10.8;5.1;2.5;2.2
62;61 Telecommunicatie;2.2;88.1;50.35;43.44;1750;100;80.6;9.8;6.5;2.4;0.7
63;62 IT-dienstverlening;14.7;81.0;45.61;38.45;1776;100;82.4;10.0;5.1;2.4;0.1
64;63 Diensten op het gebied van informatie;1.3;81.0;46.03;38.68;1759;100;82.5;9.8;4.5;2.3;1.0
65;K Financiële dienstverlening;23.8;100.4;57.47;48.86;1746;100;75.9;6.7;11.8;2.1;3.5
66;64 Bankwezen;14.6;102.4;59.23;50.51;1730;100;77.9;5.6;11.9;2.1;2.5
67;65 Verzekeraars en pensioenfondsen;4.1;99.9;50.76;43.23;1967;100;70.1;9.0;11.0;2.1;7.7
68;66 Overige financiële dienstverlening;5.2;95.2;58.65;49.36;1624;100;74.7;8.1;12.1;2.0;3.0
69;L Verhuur en handel van onroerend goed;4.1;73.0;43.67;36.65;1673;100;77.0;10.0;9.3;2.4;1.3
70;68 Verhuur en handel van onroerend goed;4.1;73.0;43.67;36.65;1673;100;77.0;10.0;9.3;2.4;1.3
71;M Specialistische zakelijke diensten;36.1;80.3;46.01;38.75;1746;100;81.0;9.1;8.3;2.4;-0.8
72;69 Juridische diensten en administratie;8.1;77.5;44.41;37.48;1745;100;77.2;9.5;8.5;2.4;2.4
73;70 Holdings en managementadviesbureaus;13.3;100.6;57.07;48.3;1764;100;82.2;6.7;10.3;2.3;-1.5
74;71 Architecten-, ingenieursbureaus e.d.;7.6;70.8;40.11;33.97;1765;100;81.5;10.9;5.5;2.5;-0.4
75;72 Research;3.1;80.3;46.76;39.46;1718;100;81.2;10.4;9.3;2.6;-3.5
76;73 Reclamewezen en marktonderzoek;2.2;60.6;34.58;29.29;1753;100;83.9;11.4;6.3;2.6;-4.1
77;74 Design, fotografie, vertaalbureaus;1.3;58.2;36.52;28.12;1593;100;84.2;11.3;5.4;2.5;-3.4
78;75 Veterinaire dienstverlening;0.4;56.4;32.64;27.76;1727;100;78.2;12.2;4.7;2.4;2.4
79;N Verhuur en overige zakelijke diensten;30.3;44.1;25.0;21.07;1764;100;80.3;15.5;3.5;3.7;-2.9
80;77 Verhuur van roerende goederen;2.2;65.8;37.46;31.23;1756;100;79.3;11.1;8.0;3.4;-1.8
81;78 Uitzendbureaus en arbeidsbemiddeling;19.8;41.6;22.64;19.68;1840;100;80.3;16.8;2.6;3.4;-3.1
82;79 Reisbureaus, reisorganisatie en -info;1.1;63.2;39.08;30.0;1617;100;92.8;11.6;3.8;3.4;-11.6
83;80 Beveiligings- en opsporingsdiensten;1.3;49.7;38.09;25.24;1305;100;79.9;13.5;5.2;3.4;-2.0
84;81 Schoonmaakbedrijven, hoveniers e.d.;4.3;42.6;26.92;20.87;1582;100;76.7;13.5;5.1;5.2;-0.5
85;82 Overige zakelijke dienstverlening;1.7;48.1;28.75;23.97;1673;100;83.2;13.6;1.9;3.5;-2.2
86;O Openbaar bestuur en overheidsdiensten;37.7;79.3;48.19;40.43;1647;100;71.0;8.9;9.2;7.1;3.8
87;84 Openbaar bestuur en overheidsdiensten;37.7;79.3;48.19;40.43;1647;100;71.0;8.9;9.2;7.1;3.8
88;P Onderwijs;29.2;73.0;47.15;37.62;1548;100;72.8;10.2;9.6;4.4;3.0
89;85 Onderwijs;29.2;73.0;47.15;37.62;1548;100;72.8;10.2;9.6;4.4;3.0
90;Q Gezondheids- en welzijnszorg;59.4;61.2;40.28;31.93;1518;100;77.7;11.6;5.5;5.0;0.2
91;86 Gezondheidszorg;29.8;70.5;45.05;36.57;1565;100;79.3;10.8;6.1;4.3;-0.4
92;87 Verpleging en zorg met overnachting;19.5;54.6;36.75;28.74;1486;100;76.5;12.3;4.9;5.9;0.4
93;88 Welzijnszorg zonder overnachting;10.1;52.7;35.74;27.53;1475;100;75.3;13.0;4.8;5.4;1.6
94;R Cultuur, sport en recreatie;4.1;51.3;35.38;25.62;1451;100;85.2;12.8;5.9;3.2;-7.1
95;90 Kunst;0.8;52.0;38.75;25.81;1341;100;86.6;12.7;6.6;3.3;-9.1
96;91 Bibliotheken, musea en natuurbehoud;1.0;59.7;42.21;30.88;1415;100;76.9;12.2;7.2;3.1;0.6
97;92 Loterijen en kansspelen;0.4;51.3;45.02;25.52;1141;100;96.5;15.2;8.5;4.0;-24.3
98;93 Sport en recreatie;1.9;47.5;30.38;23.44;1564;100;86.9;12.8;4.3;3.0;-7.1
99;S Overige dienstverlening;5.4;57.4;34.8;28.7;1649;100;78.4;12.2;5.8;3.4;0.2
100;94 Ideële, belangen-, hobbyverenigingen;3.8;72.3;43.9;36.57;1646;100;76.1;11.5;6.5;3.4;2.5
101;95 Reparatie van consumentenartikelen;0.2;45.2;25.81;21.95;1752;100;79.5;12.2;5.8;3.4;-0.9
102;96 Overige persoonlijke dienstverlening;1.4;37.8;23.05;18.68;1640;100;84.7;14.0;3.7;3.6;-6.0
103;A-F Landbouw en nijverheid;74.3;64.9;38.03;31.08;1707;100;78.6;11.2;7.5;3.9;-1.2
104;B-E Nijverheid (geen bouw) en energie;50.7;67.0;39.69;32.47;1689;100;79.2;11.1;7.4;4.2;-1.9
105;B-F Nijverheid en energie;70.7;66.5;39.31;32.0;1692;100;78.5;11.2;7.6;4.0;-1.2
106;G-I Handel, vervoer en horeca;76.1;50.7;30.8;24.43;1645;100;81.2;12.3;6.1;3.5;-3.1
107;G-N Commerciële dienstverlening;191.2;59.9;35.21;28.88;1702;100;80.4;11.2;6.8;3.0;-1.3
108;M-N Zakelijke dienstverlening;66.3;58.4;33.26;28.02;1757;100;80.7;12.0;6.1;3.0;-1.7
109;O-Q Overheid en zorg;126.4;68.4;43.91;35.39;1558;100;74.6;10.5;7.5;5.5;1.9
110;O-U Niet-commerciële dienstverlening;135.9;67.2;43.15;34.67;1558;100;75.1;10.6;7.4;5.3;1.6
111;R-U Cultuur, recreatie, overige diensten;9.5;54.6;35.05;27.28;1557;100;81.4;12.5;5.8;3.3;-3.0
