ID;Goederenstromen;Goederengroepen;Werelddelen;Perioden;Schatting_1;Ondergrens95Interval_2;Bovengrens95Interval_3;Betrouwbaarheidsmarge_4;AandeelInGoederenstroom_5;GroeiIndicatie_6;Schatting_7;Ondergrens95Interval_8;Bovengrens95Interval_9;Betrouwbaarheidsmarge_10;AandeelInGoederenstroom_11;GroeiIndicatie_12
68;"Inkomend transport; totaal";Totaal;Niet nader aangegeven landen en gebieden;2009;555;463;647;17.0;0;9.0;1758;1426;2089;19.0;0;5.0
69;"Inkomend transport; totaal";Totaal;Niet nader aangegeven landen en gebieden;2010;684;580;788;15.0;0;5.0;818;665;971;19.0;0;1.0
70;"Inkomend transport; totaal";Totaal;Niet nader aangegeven landen en gebieden;2011;3260;2367;4152;27.0;1;5.0;4506;3465;5547;23.0;1;5.0
71;"Inkomend transport; totaal";Totaal;Niet nader aangegeven landen en gebieden;2012;3855;2868;4843;26.0;1;9.0;6209;4869;7550;22.0;1;5.0
72;"Inkomend transport; totaal";Totaal;Niet nader aangegeven landen en gebieden;2013;3787;2819;4754;26.0;1;9.0;6759;5305;8214;22.0;1;9.0
73;"Inkomend transport; totaal";Totaal;Niet nader aangegeven landen en gebieden;2014;1827;1529;2124;16.0;0;1.0;1290;1103;1476;14.0;0;1.0
74;"Inkomend transport; totaal";Totaal;Niet nader aangegeven landen en gebieden;2015;2628;2223;3033;15.0;0;5.0;4653;3950;5355;15.0;1;5.0
75;"Inkomend transport; totaal";Totaal;Niet nader aangegeven landen en gebieden;2016;2805;2363;3248;16.0;0;9.0;6829;5720;7938;16.0;1;5.0
76;"Inkomend transport; totaal";Totaal;Niet nader aangegeven landen en gebieden;2017;3532;2935;4129;17.0;1;5.0;8489;7105;9872;16.0;1;5.0
77;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Totaal alle werelddelen;2007;14836;13290;16383;10.0;3;;28048;25180;30916;10.0;5;
78;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Totaal alle werelddelen;2008;15097;13575;16619;10.0;3;9.0;25496;23084;27908;9.0;4;2.0
79;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Totaal alle werelddelen;2009;14426;12914;15938;10.0;3;9.0;24606;22249;26964;10.0;5;9.0
80;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Totaal alle werelddelen;2010;15481;13907;17054;10.0;3;9.0;27421;24837;30004;9.0;5;5.0
81;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Totaal alle werelddelen;2011;20460;18200;22720;11.0;4;5.0;31348;28438;34259;9.0;5;5.0
82;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Totaal alle werelddelen;2012;19060;16944;21176;11.0;3;9.0;29835;26949;32720;10.0;5;9.0
83;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Totaal alle werelddelen;2013;20480;18154;22807;11.0;4;9.0;32130;28710;35549;11.0;6;9.0
84;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Totaal alle werelddelen;2014;18591;16523;20659;11.0;3;9.0;31506;28617;34395;9.0;5;9.0
85;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Totaal alle werelddelen;2015;23538;20771;26306;12.0;4;5.0;31911;28953;34869;9.0;5;9.0
86;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Totaal alle werelddelen;2016;21897;19596;24198;11.0;4;9.0;32581;29488;35674;9.0;6;9.0
87;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Totaal alle werelddelen;2017;25136;21954;28318;13.0;4;5.0;38071;34122;42021;10.0;6;5.0
88;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Afrika;2007;1430;1169;1690;18.0;0;;1381;1139;1623;18.0;0;
89;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Afrika;2008;1621;1363;1879;16.0;0;9.0;870;629;1110;28.0;0;1.0
90;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Afrika;2009;1548;1251;1846;19.0;0;9.0;1291;1043;1538;19.0;0;5.0
91;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Afrika;2010;1756;1379;2132;21.0;0;9.0;1484;1138;1830;23.0;0;9.0
92;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Afrika;2011;1825;1427;2224;22.0;0;9.0;1617;1297;1937;20.0;0;9.0
93;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Afrika;2012;1761;1399;2123;21.0;0;9.0;1564;1257;1872;20.0;0;9.0
94;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Afrika;2013;2032;1572;2492;23.0;0;9.0;1811;1455;2167;20.0;0;9.0
95;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Afrika;2014;1813;1460;2166;19.0;0;9.0;1548;1243;1854;20.0;0;9.0
96;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Afrika;2015;2073;1760;2387;15.0;0;9.0;1685;1393;1977;17.0;0;9.0
97;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Afrika;2016;2136;1664;2608;22.0;0;9.0;1685;1335;2035;21.0;0;9.0
98;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Afrika;2017;2394;1846;2941;23.0;0;9.0;1933;1534;2333;21.0;0;9.0
99;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Amerika;2007;3605;2600;4610;28.0;1;;5038;3759;6317;25.0;1;
100;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Amerika;2008;3369;2347;4391;30.0;1;9.0;1895;745;3045;61.0;0;1.0
101;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Amerika;2009;3244;2204;4285;32.0;1;9.0;3083;1998;4168;35.0;1;9.0
102;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Amerika;2010;3365;2378;4352;29.0;1;9.0;4128;3062;5194;26.0;1;9.0
103;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Amerika;2011;4716;3508;5925;26.0;1;5.0;5421;4281;6562;21.0;1;5.0
104;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Amerika;2012;4302;3085;5518;28.0;1;9.0;4986;3919;6053;21.0;1;9.0
105;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Amerika;2013;4742;3429;6054;28.0;1;9.0;5334;4215;6454;21.0;1;9.0
106;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Amerika;2014;4180;2855;5505;32.0;1;9.0;4735;3600;5869;24.0;1;9.0
107;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Amerika;2015;5568;4106;7031;26.0;1;9.0;4206;3240;5172;23.0;1;9.0
108;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Amerika;2016;5342;3829;6855;28.0;1;9.0;4649;3519;5779;24.0;1;9.0
109;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Amerika;2017;5888;4201;7574;29.0;1;9.0;5502;4263;6741;23.0;1;9.0
110;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Azië;2007;2149;1498;2800;30.0;0;;2090;1543;2637;26.0;0;
111;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Azië;2008;2062;1414;2710;31.0;0;9.0;803;293;1314;64.0;0;1.0
112;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Azië;2009;2328;1596;3059;31.0;1;9.0;1231;770;1692;37.0;0;9.0
113;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Azië;2010;2311;1590;3032;31.0;0;9.0;1522;1101;1943;28.0;0;9.0
114;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Azië;2011;3507;2658;4356;24.0;1;5.0;1941;1548;2333;20.0;0;9.0
115;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Azië;2012;3060;2268;3852;26.0;1;9.0;1850;1467;2233;21.0;0;9.0
116;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Azië;2013;3034;2259;3810;26.0;1;9.0;1896;1506;2286;21.0;0;9.0
117;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Azië;2014;2877;2059;3695;28.0;1;9.0;1889;1467;2311;22.0;0;9.0
118;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Azië;2015;3825;2854;4796;25.0;1;9.0;1982;1551;2414;22.0;0;9.0
119;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Azië;2016;3661;2648;4674;28.0;1;9.0;2043;1581;2505;23.0;0;9.0
120;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Azië;2017;4247;3077;5416;28.0;1;9.0;2406;2003;2810;17.0;0;9.0
121;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Europa;2007;7500;6534;8466;13.0;2;;19386;16826;21946;13.0;3;
122;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Europa;2008;7894;6988;8799;11.0;2;9.0;21793;19703;23884;10.0;4;5.0
123;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Europa;2009;7094;6285;7903;11.0;2;1.0;18768;16711;20826;11.0;4;1.0
124;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Europa;2010;7875;6916;8833;12.0;2;9.0;19992;17657;22327;12.0;4;9.0
125;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Europa;2011;9574;7831;11317;18.0;2;5.0;21702;19003;24402;12.0;4;9.0
126;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Europa;2012;9368;7800;10936;17.0;2;9.0;20843;18148;23538;13.0;4;9.0
127;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Europa;2013;9877;8097;11656;18.0;2;9.0;22540;19284;25796;14.0;4;9.0
128;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Europa;2014;9098;7682;10515;16.0;2;9.0;22820;20172;25469;12.0;4;9.0
129;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Europa;2015;11568;9353;13784;19.0;2;5.0;23498;20709;26287;12.0;4;9.0
130;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Europa;2016;10365;8901;11830;14.0;2;9.0;23696;20816;26576;12.0;4;9.0
131;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Europa;2017;12070;9479;14662;21.0;2;9.0;26980;23205;30755;14.0;4;5.0
132;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Oceanië;2007;143;117;169;18.0;0;;149;121;177;19.0;0;
133;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Oceanië;2008;140;118;163;16.0;0;9.0;115;99;132;14.0;0;1.0
134;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Oceanië;2009;207;169;245;18.0;0;5.0;227;188;265;17.0;0;5.0
135;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Oceanië;2010;170;147;192;13.0;0;1.0;288;245;332;15.0;0;5.0
136;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Oceanië;2011;829;596;1062;28.0;0;5.0;663;516;810;22.0;0;5.0
137;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Oceanië;2012;563;415;711;26.0;0;1.0;587;463;711;21.0;0;9.0
138;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Oceanië;2013;787;578;996;27.0;0;5.0;542;433;651;20.0;0;9.0
139;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Oceanië;2014;616;455;777;26.0;0;1.0;511;402;620;21.0;0;9.0
140;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Oceanië;2015;495;375;615;24.0;0;1.0;537;426;649;21.0;0;9.0
141;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Oceanië;2016;386;299;473;23.0;0;1.0;503;405;600;19.0;0;9.0
142;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Oceanië;2017;530;404;657;24.0;0;5.0;1238;1027;1450;17.0;0;5.0
143;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Niet nader aangegeven landen en gebieden;2007;10;9;11;6.0;0;;4;4;5;15.0;0;
144;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Niet nader aangegeven landen en gebieden;2008;11;10;12;12.0;0;9.0;18;16;20;10.0;0;5.0
145;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Niet nader aangegeven landen en gebieden;2009;4;4;5;14.0;0;1.0;7;6;7;11.0;0;1.0
146;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Niet nader aangegeven landen en gebieden;2010;5;4;5;15.0;0;9.0;6;5;7;14.0;0;9.0
147;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Niet nader aangegeven landen en gebieden;2011;8;7;10;15.0;0;5.0;4;4;5;16.0;0;1.0
148;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Niet nader aangegeven landen en gebieden;2012;6;5;7;13.0;0;1.0;5;4;5;16.0;0;9.0
149;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Niet nader aangegeven landen en gebieden;2013;8;6;10;26.0;0;5.0;8;6;9;23.0;0;5.0
150;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Niet nader aangegeven landen en gebieden;2014;7;6;9;21.0;0;9.0;3;2;3;20.0;0;1.0
151;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Niet nader aangegeven landen en gebieden;2015;7;6;9;24.0;0;9.0;3;2;3;16.0;0;9.0
152;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Niet nader aangegeven landen en gebieden;2016;6;5;7;15.0;0;9.0;6;5;7;14.0;0;5.0
153;"Inkomend transport; totaal";0 Landbouwproducten en levende dieren;Niet nader aangegeven landen en gebieden;2017;7;6;8;16.0;0;9.0;12;10;13;15.0;0;5.0
154;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Totaal alle werelddelen;2007;33045;29340;36749;11.0;7;;53604;48549;58659;9.0;9;
155;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Totaal alle werelddelen;2008;37671;33528;41815;11.0;7;5.0;53428;48473;58384;9.0;9;9.0
156;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Totaal alle werelddelen;2009;31818;28424;35211;11.0;7;1.0;50153;45745;54561;9.0;10;9.0
157;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Totaal alle werelddelen;2010;38206;34336;42076;10.0;7;5.0;53024;48573;57476;8.0;9;9.0
158;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Totaal alle werelddelen;2011;44159;39263;49054;11.0;8;5.0;59371;54661;64081;8.0;10;5.0
159;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Totaal alle werelddelen;2012;48323;42820;53826;11.0;8;9.0;53746;49562;57931;8.0;9;2.0
160;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Totaal alle werelddelen;2013;47650;42227;53074;11.0;8;9.0;56418;51843;60993;8.0;10;9.0
161;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Totaal alle werelddelen;2014;50646;44537;56756;12.0;9;9.0;56597;51650;61544;9.0;10;9.0
162;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Totaal alle werelddelen;2015;53167;46856;59478;12.0;9;9.0;55448;50413;60484;9.0;9;9.0
163;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Totaal alle werelddelen;2016;51930;45857;58003;12.0;9;9.0;54997;49790;60205;9.0;9;9.0
164;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Totaal alle werelddelen;2017;59276;52195;66358;12.0;9;5.0;57515;52027;63003;10.0;10;9.0
165;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Afrika;2007;1860;1498;2222;19.0;0;;1365;1121;1610;18.0;0;
166;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Afrika;2008;2087;1755;2420;16.0;0;9.0;1218;1049;1387;14.0;0;9.0
167;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Afrika;2009;2226;2090;2363;6.0;1;9.0;1056;940;1173;11.0;0;1.0
168;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Afrika;2010;2726;2405;3046;12.0;1;5.0;1199;1014;1383;15.0;0;9.0
169;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Afrika;2011;3050;2679;3421;12.0;1;9.0;1431;1221;1641;15.0;0;5.0
170;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Afrika;2012;2424;2151;2697;11.0;0;1.0;1194;1039;1350;13.0;0;1.0
171;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Afrika;2013;2181;2040;2322;6.0;0;1.0;1022;919;1126;10.0;0;1.0
172;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Afrika;2014;2525;2354;2697;7.0;0;5.0;1147;1029;1264;10.0;0;5.0
173;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Afrika;2015;3234;2900;3568;10.0;1;5.0;1346;1154;1539;14.0;0;5.0
174;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Afrika;2016;3386;2746;4027;19.0;1;9.0;1331;1089;1574;18.0;0;9.0
175;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Afrika;2017;3536;2829;4244;20.0;1;9.0;1529;1260;1799;18.0;0;9.0
176;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Amerika;2007;8187;5856;10519;28.0;2;;14856;11737;17975;21.0;3;
177;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Amerika;2008;9558;6647;12469;30.0;2;9.0;16228;12817;19640;21.0;3;9.0
178;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Amerika;2009;7201;4790;9613;33.0;2;1.0;13610;10709;16511;21.0;3;9.0
179;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Amerika;2010;9062;6496;11629;28.0;2;9.0;14164;11636;16692;18.0;2;9.0
180;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Amerika;2011;10793;7169;14417;34.0;2;9.0;14813;11756;17871;21.0;3;9.0
181;"Inkomend transport; totaal";1 Andere voedingsproducten en veevoeder;Amerika;2012;12418;8657;16179;30.0;2;9.0;13155;10807;15503;18.0;2;9.0
