ID;Perioden;TotaleLuchtvloot_1;TotaalVleugelvliegtuigen_2;TotaalStraalmotoren_3;k_4Motorig_4;k_3Motorig_5;k_2Motorig_6;k_1Motorig_7;TotaalSchroefturbinemotoren_8;k_4Motorig_9;k_3Motorig_10;k_2Motorig_11;k_1Motorig_12;TotaalZuigermotoren_13;k_4Motorig_14;k_2Motorig_15;k_1Motorig_16;TotaalUltraLightS_17;VeryLightVLA_18;MicroLightMLA_19;TotaalZweefvliegtuigen_20;k_1Motorig_21;GeenMotor_22;TotaalHefschroefvliegtuigen_23;k_2Motorig_24;k_1Motorig_25;Ballonvaartuigen_26
17;1978;961.0;926.0;95;27;13;54;1;15;0;0;14;1;453;0;49;404;0;0.0;0.0;363.0;;;24;15.0;9.0;11
18;1979;1032.0;988.0;96;29;12;54;1;18;0;0;17;1;481;0;48;433;0;0.0;0.0;393.0;;;27;19.0;8.0;17
19;1980;1071.0;1027.0;95;29;13;53;0;30;0;0;28;2;501;0;50;451;0;0.0;0.0;401.0;;;26;18.0;8.0;18
20;1981;1056.0;1010.0;96;28;13;55;0;24;0;0;20;4;479;0;46;433;3;;;408.0;;;28;19.0;9.0;18
21;1982;1093.0;1038.0;98;26;13;59;0;27;0;0;23;4;446;0;40;406;62;;;405.0;;;29;18.0;11.0;26
22;1983;1139.0;1079.0;93;20;14;59;0;33;0;0;28;5;441;0;42;399;96;;;416.0;;;25;19.0;6.0;35
23;1984;1152.0;1080.0;84;16;12;56;0;31;0;0;25;6;435;0;45;390;102;;;428.0;;;33;23.0;10.0;39
24;1985;1201.0;1118.0;86;13;13;60;0;43;0;0;36;7;440;0;47;393;111;;;438.0;;;35;26.0;9.0;48
25;1986;1264.0;1165.0;90;14;13;63;0;50;0;0;42;8;450;0;51;399;118;;;457.0;;;39;30.0;9.0;60
26;1987;1320.0;1211.0;88;15;13;60;0;46;0;0;38;8;475;0;59;416;126;;;476.0;;;31;22.0;9.0;78
27;1988;1333.0;1208.0;89;16;10;63;0;61;0;0;52;9;488;0;55;433;83;;;487.0;;;30;20.0;10.0;95
28;1989;1458.0;1309.0;101;18;10;73;0;75;1;1;64;9;507;0;56;451;105;;;521.0;;;31;20.0;11.0;118
29;1990;1599.0;1420.0;108;20;11;77;0;84;0;0;72;12;540;0;60;480;144;;;544.0;;;34;21.0;13.0;145
30;1991;1739.0;1538.0;137;28;11;98;0;105;0;0;91;14;570;0;66;504;167;;;559.0;;;36;21.0;15.0;165
31;1992;1870.0;1642.0;160;29;9;122;0;123;0;0;111;12;595;0;68;527;177;;;587.0;;;39;21.0;18.0;189
32;1993;1952.0;1685.0;142;31;11;100;0;120;0;0;108;12;608;0;61;547;197;;;618.0;;;42;21.0;21.0;225
33;1994;2009.0;1730.0;138;32;13;93;0;123;0;0;111;12;612;0;57;555;213;;;644.0;;;43;21.0;22.0;236
34;1995;2086.0;1782.0;156;32;15;109;0;108;0;0;94;14;628;0;60;568;231;;;659.0;;;45;23.0;22.0;259
35;1996;2160.0;1825.0;149;33;17;99;0;106;0;0;92;14;646;1;60;585;249;;;675.0;;;45;22.0;23.0;290
36;1997;2260.0;1891.0;168;35;18;115;0;109;1;0;95;13;666;2;58;606;258;;;690.0;;;56;25.0;31.0;313
37;1998;2301.0;1906.0;167;35;17;115;0;104;0;0;93;11;653;2;54;597;280;7.0;273.0;702.0;91.0;611.0;55;22.0;33.0;340
38;1999;2384.0;1967.0;172;36;18;118;0;107;0;0;93;14;669;1;54;614;307;7.0;300.0;712.0;96.0;616.0;58;20.0;38.0;359
39;2000;2447.0;2001.0;194;37;18;139;0;107;0;0;91;16;666;1;55;610;319;7.0;312.0;715.0;106.0;609.0;61;19.0;42.0;385
40;2001;2540.0;2060.0;188;37;19;132;0;123;0;0;105;18;677;1;57;619;343;6.0;337.0;729.0;118.0;611.0;66;23.0;43.0;414
41;2002;2569.0;2087.0;196;37;20;139;0;111;0;0;95;16;683;0;58;625;357;8.0;349.0;740.0;127.0;613.0;66;22.0;44.0;416
42;2003;2618.0;2113.0;232;34;20;178;0;107;0;0;91;16;679;0;57;622;363;9.0;354.0;732.0;125.0;607.0;70;22.0;48.0;435
43;2004;2635.0;2121.0;223;29;20;174;0;108;0;0;88;20;669;0;54;615;393;12.0;381.0;728.0;129.0;599.0;76;25.0;51.0;438
44;2005;2621.0;2110.0;222;29;19;174;0;83;0;0;63;20;680;0;54;626;386;12.0;374.0;739.0;139.0;600.0;81;25.0;56.0;430
45;2006;2638.0;2115.0;226;30;19;177;0;79;0;0;59;20;687;0;52;635;385;17.0;368.0;738.0;146.0;592.0;85;27.0;58.0;438
46;2007;2679.0;2131.0;236;30;21;185;0;81;0;0;57;24;697;0;52;645;399;18.0;381.0;718.0;143.0;575.0;91;30.0;61.0;457
47;2008;2742.0;2189.0;239;30;22;187;0;73;0;0;51;22;740;0;57;683;432;30.0;402.0;705.0;151.0;554.0;93;30.0;63.0;460
48;2009;2796.0;2233.0;256;30;22;204;0;77;0;0;51;26;755;0;58;697;442;29.0;413.0;703.0;153.0;550.0;94;38.0;56.0;469
49;2010;2785.0;2226.0;251;28;22;201;0;67;0;0;41;26;744;0;60;684;466;28.0;438.0;698.0;151.0;547.0;96;41.0;55.0;463
50;2011;2779.0;2226.0;256;28;22;206;0;53;0;0;28;25;737;0;56;681;502;31.0;471.0;678.0;145.0;533.0;91;37.0;54.0;462
51;2012;2772.0;2216.0;251;27;19;205;0;52;0;0;30;22;720;0;53;667;525;34.0;491.0;668.0;150.0;518.0;92;37.0;55.0;464
52;2013;2729.0;2194.0;255;29;15;211;0;47;0;0;29;18;707;0;51;656;533;26.0;507.0;652.0;147.0;505.0;87;39.0;48.0;448
53;2014;2678.0;2169.0;256;29;12;215;0;42;0;0;23;19;684;0;48;636;543;28.0;515.0;644.0;151.0;493.0;77;34.0;43.0;432
54;2015;2648.0;2152.0;252;28;9;215;0;37;0;0;19;18;661;0;45;616;559;30.0;529.0;643.0;151.0;492.0;80;34.0;46.0;416
55;2016;2665.0;2160.0;250;26;5;219;0;39;0;0;23;16;658;0;43;615;567;29.0;538.0;646.0;154.0;492.0;78;33.0;45.0;427
56;2017;2656.0;2160.0;261;21;5;235;0;36;0;0;18;18;653;0;40;613;572;31.0;541.0;638.0;150.0;488.0;80;34.0;46.0;416
57;2018;2637.0;2132.0;257;16;5;236;0;41;0;0;22;19;648;0;43;605;566;35.0;531.0;620.0;146.0;474.0;78;35.0;43.0;427
58;2019;2527.0;2045.0;258;14;6;238;0;45;0;0;21;24;647;0;40;607;479;39.0;440.0;616.0;147.0;469.0;76;36.0;40.0;406
59;2020;2533.0;2053.0;265;7;10;248;0;43;0;0;19;24;667;0;41;626;467;42.0;425.0;611.0;151.0;460.0;73;36.0;37.0;407
60;2021;2550.0;2066.0;268;4;10;253;1;44;0;0;20;24;687;0;39;648;463;41.0;422.0;604.0;154.0;450.0;79;42.0;37.0;405
61;2022;2603.0;2097.0;278;4;11;260;3;49;0;0;22;27;708;0;39;669;456;41.0;415.0;606.0;156.0;450.0;79;39.0;40.0;427
62;2023;2646.0;2116.0;281;4;10;263;4;54;0;0;23;31;731;0;47;684;449;40.0;409.0;601.0;162.0;439.0;77;36.0;41.0;453
63;2024;2832.0;2284.0;287;4;9;270;4;55;0;0;24;31;763;0;49;714;574;47.0;527.0;605.0;162.0;443.0;81;36.0;45.0;467
