ID;SIC93;Periods;NumberOfBusinesses_1;PercentageEstablishments_2;PersonsEmployed_3;AveragePersonsEmployed_4;NumberOfBusinesses_5;PercentageClosures_6;PersonsEmployed_7;AveragePersonsEmployed_8;TotalNumberOfBusinesses_9
50;52 Retail trade (including repair);January 1st 1993; 4,7; 5,4; 7,8; 1,7; 3,4; 3,9; 5,9; 1,7;87090
51;52 Retail trade (including repair);January 1st 1994; 3,8; 4,3; 6,5; 1,7; 3,5; 4,0; 5,5; 1,6;88045
52;52 Retail trade (including repair);January 1st 1995; 4,8; 5,6; 7,9; 1,7; 3,1; 3,6; 4,4; 1,4;85325
53;52 Retail trade (including repair);January 1st 1996; 4,4; 5,0; 7,4; 1,7; 3,0; 3,4; 5,9; 2,0;87710
54;52 Retail trade (including repair);January 1st 1997; 3,8; 4,2; 6,5; 1,7;   .;   .;   .;   .;89770
55;52 Retail trade (including repair);January 1st 1998; 3,5; 3,8; 5,2; 1,5;   .;   .;   .;   .;91145
56;52 Retail trade (including repair);January 1st 1999; 2,8; 3,2; 5,9; 2,1;   .;   .;   .;   .;87410
57;52 Retail trade (including repair);January 1st 2000; 3,6; 4,2; 5,5; 1,5;   .;   .;   .;   .;85720
58;52 Retail trade (including repair);January 1st 2001; 4,0; 4,7; 6,0; 1,5;   .;   .;   .;   .;85620
59;52 Retail trade (including repair);January 1st 2002; 4,5; 5,6; 7,0; 1,5;   .;   .;   .;   .;80730
60;H Hotels and restaurants;January 1st 1993; 1,8; 4,8; 3,6; 2,0; 1,2; 3,2; 2,3; 1,9;37220
61;H Hotels and restaurants;January 1st 1994; 1,5; 4,0; 3,3; 2,1; 1,2; 3,2; 1,9; 1,6;37540
62;H Hotels and restaurants;January 1st 1995; 1,5; 4,1; 3,3; 2,3; 1,2; 3,3; 2,3; 1,9;36785
63;H Hotels and restaurants;January 1st 1996; 1,6; 4,3; 3,8; 2,4; 0,8; 2,1; 1,3; 1,6;37320
64;H Hotels and restaurants;January 1st 1997; 1,3; 3,3; 3,6; 2,9;   .;   .;   .;   .;38135
65;H Hotels and restaurants;January 1st 1998; 1,1; 2,8; 2,5; 2,2;   .;   .;   .;   .;38975
66;H Hotels and restaurants;January 1st 1999; 1,0; 2,4; 2,5; 2,6;   .;   .;   .;   .;40450
67;H Hotels and restaurants;January 1st 2000; 1,3; 3,3; 3,2; 2,5;   .;   .;   .;   .;39745
68;H Hotels and restaurants;January 1st 2001; 1,2; 3,2; 2,9; 2,4;   .;   .;   .;   .;38385
69;H Hotels and restaurants;January 1st 2002; 1,5; 4,1; 3,8; 2,5;   .;   .;   .;   .;37140
70;I Transport, storage and communication;January 1st 1993; 1,4; 6,4; 2,5; 1,7; 0,8; 3,7; 2,6; 3,4;21835
71;I Transport, storage and communication;January 1st 1994; 2,5;11,3; 3,9; 1,6; 0,8; 3,6; 1,6; 2,0;22210
72;I Transport, storage and communication;January 1st 1995; 2,1; 9,5; 4,2; 2,1; 0,9; 4,1; 1,5; 1,8;22125
73;I Transport, storage and communication;January 1st 1996; 1,9; 8,1; 3,6; 1,9; 0,8; 3,4; 1,6; 2,0;23425
74;I Transport, storage and communication;January 1st 1997; 1,6; 6,6; 2,9; 1,8;   .;   .;   .;   .;24565
75;I Transport, storage and communication;January 1st 1998; 1,7; 6,7; 3,2; 1,9;   .;   .;   .;   .;25325
76;I Transport, storage and communication;January 1st 1999; 1,9; 7,2; 3,5; 1,9;   .;   .;   .;   .;26380
77;I Transport, storage and communication;January 1st 2000; 2,1; 7,6; 4,1; 2,0;   .;   .;   .;   .;27585
78;I Transport, storage and communication;January 1st 2001; 2,3; 8,2; 3,9; 1,7;   .;   .;   .;   .;28140
79;I Transport, storage and communication;January 1st 2002; 1,6; 5,6; 2,7; 1,7;   .;   .;   .;   .;27855
80;74 Commercial services;January 1st 1993; 6,8;12,7;10,2; 1,5; 2,8; 5,2; 4,1; 1,5;53365
81;74 Commercial services;January 1st 1994; 4,9; 9,0; 7,5; 1,5; 2,9; 5,3; 3,8; 1,3;54285
82;74 Commercial services;January 1st 1995; 8,3;14,1;11,6; 1,4; 2,8; 4,8; 4,3; 1,5;58890
83;74 Commercial services;January 1st 1996; 9,0;13,9;13,2; 1,5; 2,3; 3,5; 2,8; 1,2;64865
84;74 Commercial services;January 1st 1997; 8,8;12,5;13,7; 1,6;   .;   .;   .;   .;70990
85;74 Commercial services;January 1st 1998; 8,6;11,1;12,6; 1,5;   .;   .;   .;   .;77365
86;74 Commercial services;January 1st 1999; 9,1;10,7;15,6; 1,7;   .;   .;   .;   .;85290
87;74 Commercial services;January 1st 2000;11,7;13,1;18,7; 1,6;   .;   .;   .;   .;89460
88;74 Commercial services;January 1st 2001;11,6;12,8;17,2; 1,5;   .;   .;   .;   .;91125
89;74 Commercial services;January 1st 2002;11,2;11,4;17,3; 1,5;   .;   .;   .;   .;98535
90;71/72/90 Letting of property and ICT;January 1st 1993; 1,4;13,4; 2,1; 1,5; 0,6; 5,7; 1,0; 1,6;10440
91;71/72/90 Letting of property and ICT;January 1st 1994; 1,0; 9,3; 1,3; 1,3; 0,7; 6,5; 0,9; 1,3;10805
92;71/72/90 Letting of property and ICT;January 1st 1995; 1,7;15,4; 2,8; 1,6; 0,6; 5,5; 0,7; 1,1;11005
93;71/72/90 Letting of property and ICT;January 1st 1996; 1,9;15,4; 4,4; 2,3; 0,5; 4,1; 0,7; 1,4;12305
94;71/72/90 Letting of property and ICT;January 1st 1997; 1,9;13,6; 4,7; 2,5;   .;   .;   .;   .;13710
95;71/72/90 Letting of property and ICT;January 1st 1998; 2,2;14,4; 4,1; 1,9;   .;   .;   .;   .;15170
96;71/72/90 Letting of property and ICT;January 1st 1999; 2,7;15,9; 5,4; 2,0;   .;   .;   .;   .;16895
97;71/72/90 Letting of property and ICT;January 1st 2000; 3,8;19,9; 7,5; 2,0;   .;   .;   .;   .;19070
98;71/72/90 Letting of property and ICT;January 1st 2001; 3,2;14,9; 4,8; 1,5;   .;   .;   .;   .;21715
99;71/72/90 Letting of property and ICT;January 1st 2002; 2,7;11,8; 4,0; 1,5;   .;   .;   .;   .;22810
100;93 Other services;January 1st 1993; 1,4; 8,4; 2,0; 1,4; 0,7; 4,2; 1,0; 1,4;16750
101;93 Other services;January 1st 1994; 1,4; 8,3; 2,3; 1,6; 0,4; 2,4; 0,5; 1,1;16860
102;93 Other services;January 1st 1995; 1,5; 8,2; 1,8; 1,3; 0,5; 2,7; 0,7; 1,3;18305
103;93 Other services;January 1st 1996; 1,5; 7,7; 2,1; 1,4; 0,7; 3,6; 0,9; 1,3;19515
104;93 Other services;January 1st 1997; 1,4; 6,6; 1,6; 1,2;   .;   .;   .;   .;20510
105;93 Other services;January 1st 1998; 1,3; 5,6; 1,5; 1,2;   .;   .;   .;   .;23020
106;93 Other services;January 1st 1999; 1,4; 6,1; 1,8; 1,3;   .;   .;   .;   .;22930
107;93 Other services;January 1st 2000; 1,7; 7,1; 2,3; 1,3;   .;   .;   .;   .;24000
108;93 Other services;January 1st 2001; 1,7; 7,2; 2,0; 1,2;   .;   .;   .;   .;24440
109;93 Other services;January 1st 2002; 2,1; 8,7; 2,4; 1,1;   .;   .;   .;   .;24560
