ID;BedrijfstakkenBranchesSBI2008;Marges;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;ZelfBeslissen_4;VolgordeWerkzaamhedenBepalen_5;WerktempoBepalen_6;OplossingenBedenken_7;VerlofNemen_8;WerktijdenBepalen_9;WerkplekBepalen_10;EmotioneelMoeilijkeWerksituaties_11;EmotioneelVeeleisendWerk_12;EmotioneelBetrokkenBijWerk_13;VanKlantenTot2022_14;VanLeidinggevendenOfCollegaS_15;DoorKlantenTot2022_16;DoorLeidinggevendenOfCollegaS_17;DoorKlantenTot2022_18;DoorLeidinggevendenOfCollegaS_19;DoorKlantenTot2022_20;DoorLeidinggevendenOfCollegaS_21;VanKlantLeidinggevendeOfCollega_22;VanKlantenVanaf2022_23;VanLeidinggevenden_24;VanCollegaS_25;DoorKlantLeidinggevendeOfCollega_26;DoorKlantenVanaf2022_27;DoorLeidinggevenden_28;DoorCollegaS_29;DoorKlantLeidinggevendeOfCollega_30;DoorKlantenVanaf2022_31;DoorLeidinggevenden_32;DoorCollegaS_33;DoorKlantLeidinggevendeOfCollega_34;DoorKlantenVanaf2022_35;DoorLeidinggevenden_36;DoorCollegaS_37;GediscrimineerdGevoeld_38;OmGeslacht_39;OmAfkomstHuidskleurNationaliteit_40;OmGodsdienstOfLevensovertuiging_41;OmSeksueleGeaardheidVoorkeur_42;OmLeeftijd_43;OmLangdurigeZiekteAandoeningHandicap_44;OmWerktijdenOfContractvorm_45;OmPolitiekeVoorkeur_46;OmAndereReden_47;PsychischeVermoeidheidDoorHetWerk_48;EmotioneelUitgeput_49;LeegVoelen_50;SOchtendsMoeVoelen_51;VergtVeelOmMetMensenTeWerken_52;UitgeputDoorWerk_53
10;A-U Alle economische activiteiten;Waarde;2024;30.1;40.4;25.5;61.9;61.8;57.5;65.2;56.7;29.2;26.7;7.0;11.5;13.0;;;;;;;;;4.5;3.1;0.3;1.1;11.9;8.8;1.4;1.6;2.8;2.4;0.1;0.2;5.5;1.2;1.3;3.0;11.4;2.1;3.4;1.0;0.5;2.9;1.5;1.3;0.5;2.7;20.1;20.1;33.6;23.1;18.0;16.3
11;A-U Alle economische activiteiten;Ondergrens 95%-interval;2014;36.0;44.7;30.2;60.0;61.8;55.5;67.5;47.5;22.6;;7.4;11.7;13.0;5.1;1.7;18.4;11.4;5.6;0.4;5.3;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;14.0;13.4;30.1;17.9;9.9;12.6
12;A-U Alle economische activiteiten;Ondergrens 95%-interval;2015;35.8;44.9;30.2;59.4;61.6;56.1;67.2;48.2;22.9;;7.1;11.4;12.6;4.9;1.7;18.1;10.8;5.5;0.3;4.8;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;13.1;12.0;27.4;16.9;9.5;12.4
13;A-U Alle economische activiteiten;Ondergrens 95%-interval;2016;35.6;44.6;30.1;59.3;60.9;55.3;67.3;47.7;23.5;;7.7;11.8;12.7;5.2;1.9;18.8;10.8;5.6;0.4;5.3;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;14.3;13.2;29.5;18.5;10.4;13.0
14;A-U Alle economische activiteiten;Ondergrens 95%-interval;2017;36.2;45.7;31.7;59.1;60.2;54.6;67.3;48.2;24.1;;8.4;12.6;13.8;5.8;2.0;18.8;11.0;5.6;0.4;5.2;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;15.6;14.2;29.8;19.1;11.7;14.1
15;A-U Alle economische activiteiten;Ondergrens 95%-interval;2018;35.9;45.9;30.2;59.7;60.8;55.7;67.1;50.0;25.6;;8.4;12.6;14.4;5.1;2.1;18.4;10.4;5.6;0.5;5.6;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;16.9;17.3;31.5;20.1;13.2;14.9
16;A-U Alle economische activiteiten;Ondergrens 95%-interval;2019;35.0;45.2;29.8;60.3;61.2;56.4;67.3;51.4;26.6;;8.6;13.1;14.8;8.2;3.0;23.2;12.9;7.1;0.7;7.7;9.9;;;;;;;;;;;;;;;;;;;;;;;;;;;16.7;15.8;30.6;20.2;13.6;15.1
17;A-U Alle economische activiteiten;Ondergrens 95%-interval;2020;31.8;42.0;26.8;61.3;62.5;59.0;67.2;52.9;28.1;;7.7;11.8;14.9;4.4;1.7;17.2;8.2;4.8;0.4;5.1;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;15.4;15.6;29.7;18.9;12.6;13.3
18;A-U Alle economische activiteiten;Ondergrens 95%-interval;2021;33.1;44.4;29.3;60.2;61.6;56.9;66.5;52.1;28.0;;8.8;12.9;15.6;5.8;2.0;18.0;8.5;5.3;0.5;5.7;6.7;;;;;;;;;;;;;;;;;;;;;;;;;;;16.9;16.2;30.5;21.0;14.1;15.1
19;A-U Alle economische activiteiten;Ondergrens 95%-interval;2022;30.9;41.9;26.8;61.9;61.6;57.4;65.1;54.3;28.5;27.1;6.2;10.6;12.1;;;;;;;;;4.2;2.8;0.3;0.9;10.9;7.9;1.4;1.3;2.8;2.4;0.0;0.1;4.6;1.0;1.1;2.4;9.9;2.0;2.6;0.7;0.3;2.2;1.2;1.2;0.2;2.4;19.7;19.9;33.9;22.7;16.6;16.0
20;A-U Alle economische activiteiten;Ondergrens 95%-interval;2023;29.6;40.0;24.9;62.6;62.2;57.9;65.2;55.9;28.9;27.0;6.7;10.9;12.5;;;;;;;;;4.2;2.9;0.2;0.9;11.2;8.0;1.5;1.4;2.7;2.3;0.0;0.1;5.0;1.1;1.2;2.6;10.3;2.0;2.7;0.7;0.4;2.4;1.1;1.2;0.3;2.4;18.7;19.2;32.4;21.6;15.9;15.1
21;A-U Alle economische activiteiten;Ondergrens 95%-interval;2024;29.7;40.0;25.2;61.5;61.4;57.1;64.8;56.3;28.8;26.3;6.7;11.2;12.6;;;;;;;;;4.2;2.9;0.2;1.0;11.6;8.5;1.3;1.4;2.6;2.2;0.1;0.1;5.2;1.1;1.2;2.8;11.0;2.0;3.2;0.8;0.4;2.7;1.3;1.2;0.4;2.5;19.8;19.7;33.2;22.7;17.6;15.9
22;A-U Alle economische activiteiten;Bovengrens 95%-interval;2014;37.1;45.8;31.2;61.0;62.9;56.5;68.5;48.5;23.5;;8.0;12.4;13.8;5.6;2.0;19.3;12.0;6.1;0.6;5.8;8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;14.8;14.2;31.1;18.8;10.6;13.4
23;A-U Alle economische activiteiten;Bovengrens 95%-interval;2015;36.7;45.9;31.1;60.4;62.6;57.1;68.1;49.1;23.7;;7.7;12.0;13.2;5.3;1.9;18.8;11.4;5.9;0.5;5.3;8.3;;;;;;;;;;;;;;;;;;;;;;;;;;;13.8;12.7;28.3;17.7;10.1;13.0
24;A-U Alle economische activiteiten;Bovengrens 95%-interval;2016;36.5;45.5;31.0;60.3;61.9;56.2;68.2;48.6;24.4;;8.2;12.5;13.4;5.7;2.2;19.6;11.4;6.1;0.5;5.8;8.6;;;;;;;;;;;;;;;;;;;;;;;;;;;15.0;13.9;30.4;19.3;11.0;13.7
25;A-U Alle economische activiteiten;Bovengrens 95%-interval;2017;37.2;46.7;32.6;60.0;61.1;55.6;68.3;49.2;25.0;;8.9;13.3;14.5;6.3;2.3;19.5;11.7;6.0;0.5;5.7;8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;16.3;14.9;30.7;19.9;12.4;14.8
26;A-U Alle economische activiteiten;Bovengrens 95%-interval;2018;36.8;46.8;30.9;60.6;61.6;56.5;67.9;50.8;26.4;;8.9;13.2;15.0;5.5;2.4;19.0;10.9;6.0;0.7;6.0;8.2;;;;;;;;;;;;;;;;;;;;;;;;;;;17.6;18.0;32.3;20.8;13.8;15.6
27;A-U Alle economische activiteiten;Bovengrens 95%-interval;2019;35.8;46.1;30.6;61.1;62.0;57.2;68.1;52.2;27.4;;9.1;13.6;15.4;8.7;3.3;24.0;13.5;7.5;0.9;8.2;10.4;;;;;;;;;;;;;;;;;;;;;;;;;;;17.4;16.5;31.4;20.9;14.2;15.8
28;A-U Alle economische activiteiten;Bovengrens 95%-interval;2020;32.7;42.9;27.6;62.1;63.4;59.8;68.0;53.8;28.8;;8.2;12.4;15.5;4.8;1.9;17.9;8.7;5.2;0.6;5.5;6.9;;;;;;;;;;;;;;;;;;;;;;;;;;;16.1;16.3;30.5;19.6;13.2;13.9
29;A-U Alle economische activiteiten;Bovengrens 95%-interval;2021;34.0;45.4;30.2;61.2;62.5;57.8;67.4;53.0;28.9;;9.4;13.5;16.3;6.3;2.3;18.7;9.1;5.7;0.6;6.2;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;17.6;16.9;31.4;21.8;14.7;15.8
30;A-U Alle economische activiteiten;Bovengrens 95%-interval;2022;31.7;42.8;27.6;62.7;62.5;58.3;65.9;55.1;29.3;27.8;6.9;11.4;12.9;;;;;;;;;4.7;3.2;0.5;1.2;11.7;8.6;1.7;1.6;3.2;2.8;0.1;0.3;5.2;1.3;1.4;2.8;10.7;2.3;3.1;1.0;0.4;2.6;1.5;1.5;0.3;2.8;20.4;20.6;34.8;23.5;17.3;16.7
31;A-U Alle economische activiteiten;Bovengrens 95%-interval;2023;30.4;40.9;25.7;63.4;63.0;58.7;66.1;56.7;29.7;27.8;7.3;11.7;13.3;;;;;;;;;4.8;3.3;0.3;1.2;12.0;8.7;1.8;1.7;3.1;2.7;0.1;0.3;5.6;1.3;1.5;3.1;11.1;2.3;3.2;0.9;0.6;2.8;1.4;1.5;0.5;2.8;19.4;19.9;33.2;22.3;16.6;15.7
32;A-U Alle economische activiteiten;Bovengrens 95%-interval;2024;30.5;40.8;25.9;62.3;62.2;57.9;65.6;57.2;29.6;27.0;7.3;11.9;13.4;;;;;;;;;4.7;3.4;0.3;1.2;12.3;9.1;1.6;1.8;3.0;2.6;0.1;0.2;5.8;1.4;1.5;3.2;11.8;2.3;3.7;1.1;0.5;3.1;1.6;1.5;0.5;2.9;20.5;20.4;34.1;23.5;18.3;16.6
33;A Landbouw, bosbouw en visserij;Waarde;2014;32.5;32.1;19.1;45.5;37.4;51.0;45.6;55.4;20.1;;4.4;3.1;9.0;0.8;2.2;2.2;7.1;0.3;1.0;0.9;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;9.9;8.3;25.3;17.0;6.0;11.5
34;A Landbouw, bosbouw en visserij;Waarde;2015;31.3;31.8;22.0;47.5;40.0;58.7;43.2;58.6;20.5;;4.2;4.6;10.3;1.0;1.4;3.5;8.0;0.8;0.6;1.2;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;10.5;8.3;20.3;14.7;5.3;10.3
35;A Landbouw, bosbouw en visserij;Waarde;2016;32.7;32.8;21.1;45.1;40.0;53.7;47.6;54.8;24.8;;3.2;3.8;9.9;1.1;2.1;3.3;5.9;0.2;0.4;1.8;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;10.8;8.1;25.1;17.9;8.1;11.2
36;A Landbouw, bosbouw en visserij;Waarde;2017;34.1;38.9;24.1;47.7;43.7;54.6;47.3;57.5;23.0;;4.6;4.0;8.1;0.7;1.0;3.5;8.1;0.6;1.2;1.1;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;10.8;8.6;24.3;16.2;7.6;10.6
37;A Landbouw, bosbouw en visserij;Waarde;2018;33.9;37.9;23.7;52.6;46.5;60.8;52.3;60.2;26.3;;5.3;5.0;13.9;0.6;0.5;3.0;7.3;0.8;0.2;1.6;8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;11.2;10.1;23.5;15.6;7.7;11.3
38;A Landbouw, bosbouw en visserij;Waarde;2019;32.9;39.9;23.2;54.9;47.1;60.8;54.1;61.5;28.1;;4.1;4.9;12.7;1.7;2.7;7.1;9.3;1.5;0.8;1.9;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;8.7;7.4;22.2;14.3;7.2;8.8
39;A Landbouw, bosbouw en visserij;Waarde;2020;28.7;32.0;15.9;52.4;44.8;61.7;48.2;60.6;27.0;;2.8;3.1;11.0;1.1;1.1;4.5;5.9;0.6;0.6;0.9;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;10.2;8.5;18.4;12.9;9.8;10.1
40;A Landbouw, bosbouw en visserij;Waarde;2021;30.4;34.9;18.8;51.0;50.2;60.2;51.7;62.6;28.5;;4.9;3.9;12.7;1.4;1.3;4.0;5.9;0.7;1.0;1.5;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;11.3;7.5;21.3;16.1;10.9;12.8
41;A Landbouw, bosbouw en visserij;Waarde;2022;23.7;30.8;15.9;58.1;51.1;64.6;53.7;68.5;28.0;18.9;3.8;3.7;12.3;;;;;;;;;3.2;1.9;0.8;0.5;2.6;1.8;0.3;0.5;0.8;0.8;0.0;0.0;3.2;1.2;0.3;1.6;6.2;1.7;2.7;0.3;0.3;2.4;0.7;0.3;0.3;1.1;10.4;9.8;23.0;16.0;8.0;10.2
42;A Landbouw, bosbouw en visserij;Waarde;2023;29.1;37.5;22.0;59.3;53.6;62.8;55.8;66.4;30.2;20.7;4.4;6.3;10.5;;;;;;;;;0.7;0.0;0.0;0.7;4.6;1.4;2.4;2.0;0.5;0.5;0.0;0.0;4.2;0.6;1.4;2.9;6.5;1.7;0.8;0.0;0.0;1.1;0.5;0.5;0.2;3.2;12.9;11.5;23.4;17.4;11.1;13.5
43;A Landbouw, bosbouw en visserij;Waarde;2024;28.7;33.4;19.1;58.9;49.7;62.8;52.8;64.8;31.0;20.2;3.9;3.4;10.3;;;;;;;;;3.0;0.9;0.0;1.2;3.4;0.4;0.9;1.8;1.7;0.4;0.0;0.9;3.6;0.4;1.0;1.8;11.7;1.7;5.7;1.6;0.0;3.5;0.0;2.3;0.7;2.4;12.2;11.5;23.2;15.9;12.1;12.5
44;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2014;27.8;27.5;15.3;40.4;32.7;45.7;40.5;50.1;16.6;;2.6;1.9;6.3;0.3;1.1;1.2;5.0;0.0;0.4;0.3;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;7.1;6.0;20.9;13.3;3.9;8.6
45;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2015;27.1;27.6;18.4;42.8;35.5;54.0;38.6;53.9;17.1;;2.6;2.9;7.8;0.4;0.6;2.2;5.8;0.3;0.1;0.5;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;7.9;6.0;16.8;11.6;3.5;7.7
46;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2016;28.4;28.5;17.5;40.5;35.6;49.0;42.9;50.0;21.0;;1.9;2.5;7.4;0.5;1.2;2.1;4.1;0.0;0.1;1.0;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;5.7;21.1;14.3;5.7;8.4
47;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2017;29.8;34.4;20.3;43.1;39.2;49.9;42.7;52.8;19.5;;2.9;2.5;6.0;0.3;0.5;2.2;5.9;0.2;0.4;0.5;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;8.1;6.2;20.6;13.0;5.4;7.9
48;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2018;30.0;33.9;20.3;48.4;42.3;56.7;48.1;56.0;22.7;;3.6;3.4;11.2;0.3;0.2;1.9;5.4;0.3;0.0;0.8;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;8.7;7.8;20.0;12.7;5.6;8.8
49;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2019;28.9;35.7;19.7;50.5;42.8;56.5;49.7;57.2;24.4;;2.6;3.3;10.0;0.9;1.6;5.3;7.2;0.8;0.3;1.0;5.7;;;;;;;;;;;;;;;;;;;;;;;;;;;6.4;5.4;18.8;11.5;5.3;6.6
50;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2020;25.0;28.1;13.1;48.0;40.5;57.3;43.9;56.2;23.4;;1.6;1.9;8.6;0.5;0.5;2.9;4.1;0.2;0.2;0.4;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;7.8;6.3;15.3;10.2;7.4;7.7
51;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2021;26.3;30.7;15.5;46.4;45.6;55.5;47.1;58.1;24.7;;3.1;2.4;9.9;0.5;0.6;2.6;4.0;0.2;0.2;0.6;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;8.6;5.4;17.8;12.9;8.2;9.8
52;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2022;20.3;27.1;13.1;53.8;46.8;60.4;49.4;64.4;24.3;15.9;2.0;2.0;8.8;;;;;;;;;1.5;0.7;0.2;0.1;1.1;0.6;0.0;0.1;0.1;0.1;0.0;0.0;1.5;0.3;0.0;0.6;3.7;0.6;1.2;0.0;0.0;1.0;0.2;0.0;0.0;0.4;8.0;7.5;19.5;13.0;5.9;7.9
53;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2023;25.6;33.8;18.9;55.4;49.7;58.9;51.8;62.6;26.8;17.8;2.5;3.9;7.4;;;;;;;;;0.2;0.0;0.0;0.2;2.7;0.6;1.1;0.8;0.1;0.1;0.0;0.0;2.4;0.1;0.5;1.4;4.2;0.7;0.2;0.0;0.0;0.4;0.1;0.1;0.0;1.7;10.3;9.0;20.1;14.5;8.7;10.9
54;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2024;25.0;29.5;16.0;54.7;45.5;58.6;48.6;60.6;27.3;17.0;2.0;1.7;7.1;;;;;;;;;1.4;0.2;0.0;0.4;1.7;0.1;0.2;0.6;0.6;0.1;0.0;0.2;1.9;0.1;0.3;0.7;8.2;0.7;3.3;0.6;0.0;1.8;0.0;1.0;0.2;1.0;9.6;9.0;19.8;13.0;9.5;9.9
55;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2014;37.6;37.1;23.5;50.6;42.4;56.2;50.8;60.5;24.2;;7.1;5.3;12.6;2.1;4.5;3.9;9.8;2.1;2.4;2.3;10.9;;;;;;;;;;;;;;;;;;;;;;;;;;;13.6;11.4;30.3;21.6;9.1;15.3
56;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2015;35.9;36.3;26.2;52.2;44.6;63.3;47.8;63.2;24.5;;6.8;7.2;13.4;2.4;3.3;5.6;11.1;1.9;2.6;2.7;10.7;;;;;;;;;;;;;;;;;;;;;;;;;;;13.8;11.4;24.4;18.5;7.7;13.6
57;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2016;37.3;37.4;25.2;49.8;44.6;58.4;52.3;59.5;29.2;;5.3;5.9;13.1;2.4;3.8;5.2;8.3;1.2;1.6;3.6;10.4;;;;;;;;;;;;;;;;;;;;;;;;;;;14.5;11.2;29.5;22.0;11.3;14.9
58;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2017;38.7;43.6;28.4;52.4;48.3;59.2;51.9;62.1;27.0;;7.3;6.1;10.9;1.9;2.4;5.6;11.1;1.9;3.2;2.4;8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;14.3;11.9;28.5;20.0;10.8;14.0
59;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2018;38.0;42.1;27.5;56.8;50.7;64.9;56.5;64.2;30.2;;7.8;7.2;17.2;1.5;1.6;4.5;9.9;1.8;1.3;3.2;11.2;;;;;;;;;;;;;;;;;;;;;;;;;;;14.3;13.0;27.2;19.1;10.3;14.4
60;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2019;37.1;44.3;27.1;59.2;51.4;65.0;58.4;65.7;32.1;;6.2;7.3;16.0;3.2;4.5;9.6;12.0;2.9;2.1;3.5;10.3;;;;;;;;;;;;;;;;;;;;;;;;;;;11.6;10.1;26.1;17.6;9.8;11.7
61;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2020;32.8;36.1;19.3;56.7;49.1;65.9;52.6;64.8;30.9;;4.7;5.1;14.1;2.3;2.3;6.8;8.4;1.5;1.9;2.1;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;13.3;11.4;22.0;16.2;12.9;13.1
62;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2021;34.9;39.4;22.7;55.5;54.7;64.6;56.3;67.0;32.7;;7.5;6.3;16.2;4.0;3.1;6.1;8.5;2.2;4.0;4.1;7.9;;;;;;;;;;;;;;;;;;;;;;;;;;;14.7;10.4;25.4;19.9;14.3;16.5
63;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2022;27.5;34.9;19.2;62.3;55.4;68.7;58.0;72.4;32.0;22.4;7.0;6.8;16.8;;;;;;;;;6.9;5.4;3.1;3.6;6.0;5.1;2.0;3.6;5.4;5.4;;;6.8;5.0;2.1;4.4;10.3;4.6;6.1;2.2;2.2;5.5;2.9;2.2;2.2;3.1;13.4;12.7;26.8;19.4;10.6;13.2
64;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2023;32.8;41.4;25.5;63.1;57.5;66.5;59.7;70.0;33.8;24.0;7.7;9.9;14.7;;;;;;;;;2.8;;;2.8;7.7;3.5;4.9;4.8;2.0;2.0;;;7.2;2.2;3.9;5.8;10.0;4.0;3.1;;;3.5;1.9;3.1;1.6;6.0;16.0;14.5;26.9;20.7;14.1;16.6
65;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2024;32.7;37.5;22.7;63.0;53.9;66.8;57.0;68.7;34.9;23.7;7.5;6.5;14.7;;;;;;;;;6.2;3.5;;3.8;6.8;2.5;3.4;4.8;4.4;2.5;;3.5;7.0;2.5;3.2;4.9;16.3;4.1;9.8;4.2;;6.8;;5.4;3.0;5.4;15.4;14.6;27.0;19.4;15.3;15.7
66;B Delfstoffenwinning;Waarde;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;B Delfstoffenwinning;Waarde;2015;26.7;37.0;28.3;69.7;71.2;72.5;72.8;61.0;30.7;;2.2;3.9;6.2;0.0;0.9;3.0;14.5;0.2;0.4;1.1;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;6.9;18.7;12.2;4.4;6.2
68;B Delfstoffenwinning;Waarde;2016;29.9;42.1;30.7;75.7;72.9;68.7;79.7;56.8;27.7;;4.5;6.2;10.4;0.5;1.2;5.1;15.1;0.0;0.4;1.4;14.1;;;;;;;;;;;;;;;;;;;;;;;;;;;9.1;8.9;28.3;15.0;8.5;7.6
69;B Delfstoffenwinning;Waarde;2017;29.7;41.9;29.6;76.4;76.2;61.6;79.8;62.5;27.5;;5.2;9.1;12.9;0.6;4.5;5.1;17.4;0.0;0.0;0.5;8.3;;;;;;;;;;;;;;;;;;;;;;;;;;;15.8;14.4;31.3;17.1;16.3;14.5
