ID;Migratiemotieven;Geslacht;JaarVanVestigingInNederland;Perioden;TotaalNietNederlandseImmigranten_1;WerknemersZelfstandigen_2;WerkloosheidsBijstandsuitkering_3;OverigeNietNederlandseImmigranten_4
25;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1994;1996;100.0;35.0;25.0;41.0
26;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1994;1997;100.0;42.0;24.0;35.0
27;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1994;1998;100.0;48.0;21.0;30.0
28;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1994;1999;100.0;55.0;19.0;26.0
29;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1994;2000;100.0;59.0;16.0;25.0
30;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1995;1995;100.0;22.0;11.0;67.0
31;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1995;1996;100.0;30.0;18.0;52.0
32;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1995;1997;100.0;36.0;22.0;42.0
33;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1995;1998;100.0;47.0;20.0;33.0
34;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1995;1999;100.0;52.0;19.0;29.0
35;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1995;2000;100.0;58.0;16.0;26.0
36;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1996;1995;;;;
37;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1996;1996;100.0;24.0;11.0;64.0
38;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1996;1997;100.0;34.0;17.0;49.0
39;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1996;1998;100.0;42.0;22.0;36.0
40;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1996;1999;100.0;48.0;20.0;32.0
41;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1996;2000;100.0;53.0;18.0;28.0
42;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1997;1995;;;;
43;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1997;1996;;;;
44;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1997;1997;100.0;28.0;11.0;61.0
45;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1997;1998;100.0;39.0;15.0;46.0
46;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1997;1999;100.0;45.0;17.0;37.0
47;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1997;2000;100.0;50.0;18.0;31.0
48;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1998;1995;;;;
49;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1998;1996;;;;
50;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1998;1997;;;;
51;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1998;1998;100.0;32.0;6.0;61.0
52;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1998;1999;100.0;43.0;9.0;48.0
53;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1998;2000;100.0;48.0;11.0;41.0
54;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1999;1995;;;;
55;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1999;1996;;;;
56;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1999;1997;;;;
57;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1999;1998;;;;
58;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1999;1999;100.0;33.0;4.0;62.0
59;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1999;2000;100.0;45.0;8.0;46.0
60;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2000;1995;;;;
61;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2000;1996;;;;
62;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2000;1997;;;;
63;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2000;1998;;;;
64;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2000;1999;;;;
65;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 2000;2000;100.0;35.0;4.0;61.0
66;Totaal alle motieven;Mannen;Vestigingsjaar 1990;1995;100.0;63.0;16.0;21.0
67;Totaal alle motieven;Mannen;Vestigingsjaar 1990;1996;100.0;68.0;13.0;19.0
68;Totaal alle motieven;Mannen;Vestigingsjaar 1990;1997;100.0;70.0;13.0;17.0
69;Totaal alle motieven;Mannen;Vestigingsjaar 1990;1998;100.0;72.0;10.0;18.0
70;Totaal alle motieven;Mannen;Vestigingsjaar 1990;1999;100.0;73.0;10.0;18.0
71;Totaal alle motieven;Mannen;Vestigingsjaar 1990;2000;100.0;75.0;8.0;17.0
72;Totaal alle motieven;Mannen;Vestigingsjaar 1991;1995;100.0;59.0;17.0;23.0
73;Totaal alle motieven;Mannen;Vestigingsjaar 1991;1996;100.0;63.0;16.0;21.0
74;Totaal alle motieven;Mannen;Vestigingsjaar 1991;1997;100.0;67.0;14.0;18.0
75;Totaal alle motieven;Mannen;Vestigingsjaar 1991;1998;100.0;70.0;13.0;18.0
76;Totaal alle motieven;Mannen;Vestigingsjaar 1991;1999;100.0;72.0;9.0;18.0
77;Totaal alle motieven;Mannen;Vestigingsjaar 1991;2000;100.0;73.0;9.0;18.0
78;Totaal alle motieven;Mannen;Vestigingsjaar 1992;1995;100.0;56.0;17.0;27.0
79;Totaal alle motieven;Mannen;Vestigingsjaar 1992;1996;100.0;61.0;14.0;25.0
80;Totaal alle motieven;Mannen;Vestigingsjaar 1992;1997;100.0;65.0;13.0;22.0
81;Totaal alle motieven;Mannen;Vestigingsjaar 1992;1998;100.0;67.0;12.0;21.0
82;Totaal alle motieven;Mannen;Vestigingsjaar 1992;1999;100.0;71.0;10.0;19.0
83;Totaal alle motieven;Mannen;Vestigingsjaar 1992;2000;100.0;72.0;9.0;18.0
84;Totaal alle motieven;Mannen;Vestigingsjaar 1993;1995;100.0;43.0;24.0;32.0
85;Totaal alle motieven;Mannen;Vestigingsjaar 1993;1996;100.0;50.0;23.0;27.0
86;Totaal alle motieven;Mannen;Vestigingsjaar 1993;1997;100.0;56.0;20.0;24.0
87;Totaal alle motieven;Mannen;Vestigingsjaar 1993;1998;100.0;62.0;17.0;21.0
88;Totaal alle motieven;Mannen;Vestigingsjaar 1993;1999;100.0;68.0;15.0;17.0
89;Totaal alle motieven;Mannen;Vestigingsjaar 1993;2000;100.0;70.0;13.0;17.0
90;Totaal alle motieven;Mannen;Vestigingsjaar 1994;1995;100.0;34.0;23.0;43.0
91;Totaal alle motieven;Mannen;Vestigingsjaar 1994;1996;100.0;41.0;25.0;34.0
92;Totaal alle motieven;Mannen;Vestigingsjaar 1994;1997;100.0;49.0;24.0;27.0
93;Totaal alle motieven;Mannen;Vestigingsjaar 1994;1998;100.0;56.0;21.0;23.0
94;Totaal alle motieven;Mannen;Vestigingsjaar 1994;1999;100.0;63.0;18.0;19.0
95;Totaal alle motieven;Mannen;Vestigingsjaar 1994;2000;100.0;67.0;15.0;19.0
96;Totaal alle motieven;Mannen;Vestigingsjaar 1995;1995;100.0;28.0;13.0;59.0
97;Totaal alle motieven;Mannen;Vestigingsjaar 1995;1996;100.0;36.0;19.0;45.0
98;Totaal alle motieven;Mannen;Vestigingsjaar 1995;1997;100.0;43.0;23.0;34.0
99;Totaal alle motieven;Mannen;Vestigingsjaar 1995;1998;100.0;55.0;19.0;26.0
100;Totaal alle motieven;Mannen;Vestigingsjaar 1995;1999;100.0;61.0;17.0;22.0
101;Totaal alle motieven;Mannen;Vestigingsjaar 1995;2000;100.0;67.0;15.0;18.0
102;Totaal alle motieven;Mannen;Vestigingsjaar 1996;1995;;;;
103;Totaal alle motieven;Mannen;Vestigingsjaar 1996;1996;100.0;32.0;13.0;55.0
104;Totaal alle motieven;Mannen;Vestigingsjaar 1996;1997;100.0;42.0;19.0;39.0
105;Totaal alle motieven;Mannen;Vestigingsjaar 1996;1998;100.0;49.0;25.0;26.0
106;Totaal alle motieven;Mannen;Vestigingsjaar 1996;1999;100.0;56.0;21.0;23.0
107;Totaal alle motieven;Mannen;Vestigingsjaar 1996;2000;100.0;62.0;18.0;21.0
108;Totaal alle motieven;Mannen;Vestigingsjaar 1997;1995;;;;
109;Totaal alle motieven;Mannen;Vestigingsjaar 1997;1996;;;;
110;Totaal alle motieven;Mannen;Vestigingsjaar 1997;1997;100.0;36.0;12.0;51.0
111;Totaal alle motieven;Mannen;Vestigingsjaar 1997;1998;100.0;46.0;16.0;39.0
112;Totaal alle motieven;Mannen;Vestigingsjaar 1997;1999;100.0;53.0;19.0;29.0
113;Totaal alle motieven;Mannen;Vestigingsjaar 1997;2000;100.0;57.0;19.0;24.0
114;Totaal alle motieven;Mannen;Vestigingsjaar 1998;1995;;;;
115;Totaal alle motieven;Mannen;Vestigingsjaar 1998;1996;;;;
116;Totaal alle motieven;Mannen;Vestigingsjaar 1998;1997;;;;
117;Totaal alle motieven;Mannen;Vestigingsjaar 1998;1998;100.0;43.0;6.0;51.0
118;Totaal alle motieven;Mannen;Vestigingsjaar 1998;1999;100.0;52.0;8.0;39.0
119;Totaal alle motieven;Mannen;Vestigingsjaar 1998;2000;100.0;55.0;10.0;34.0
120;Totaal alle motieven;Mannen;Vestigingsjaar 1999;1995;;;;
121;Totaal alle motieven;Mannen;Vestigingsjaar 1999;1996;;;;
122;Totaal alle motieven;Mannen;Vestigingsjaar 1999;1997;;;;
123;Totaal alle motieven;Mannen;Vestigingsjaar 1999;1998;;;;
124;Totaal alle motieven;Mannen;Vestigingsjaar 1999;1999;100.0;43.0;4.0;53.0
125;Totaal alle motieven;Mannen;Vestigingsjaar 1999;2000;100.0;54.0;8.0;38.0
126;Totaal alle motieven;Mannen;Vestigingsjaar 2000;1995;;;;
127;Totaal alle motieven;Mannen;Vestigingsjaar 2000;1996;;;;
128;Totaal alle motieven;Mannen;Vestigingsjaar 2000;1997;;;;
129;Totaal alle motieven;Mannen;Vestigingsjaar 2000;1998;;;;
130;Totaal alle motieven;Mannen;Vestigingsjaar 2000;1999;;;;
131;Totaal alle motieven;Mannen;Vestigingsjaar 2000;2000;100.0;44.0;4.0;52.0
132;Totaal alle motieven;Vrouwen;Vestigingsjaar 1990;1995;100.0;38.0;15.0;47.0
133;Totaal alle motieven;Vrouwen;Vestigingsjaar 1990;1996;100.0;38.0;15.0;47.0
134;Totaal alle motieven;Vrouwen;Vestigingsjaar 1990;1997;100.0;40.0;16.0;44.0
135;Totaal alle motieven;Vrouwen;Vestigingsjaar 1990;1998;100.0;42.0;16.0;42.0
136;Totaal alle motieven;Vrouwen;Vestigingsjaar 1990;1999;100.0;49.0;14.0;37.0
137;Totaal alle motieven;Vrouwen;Vestigingsjaar 1990;2000;100.0;51.0;13.0;35.0
138;Totaal alle motieven;Vrouwen;Vestigingsjaar 1991;1995;100.0;37.0;18.0;45.0
139;Totaal alle motieven;Vrouwen;Vestigingsjaar 1991;1996;100.0;39.0;17.0;44.0
140;Totaal alle motieven;Vrouwen;Vestigingsjaar 1991;1997;100.0;43.0;17.0;40.0
141;Totaal alle motieven;Vrouwen;Vestigingsjaar 1991;1998;100.0;47.0;16.0;37.0
142;Totaal alle motieven;Vrouwen;Vestigingsjaar 1991;1999;100.0;50.0;15.0;35.0
143;Totaal alle motieven;Vrouwen;Vestigingsjaar 1991;2000;100.0;52.0;13.0;35.0
144;Totaal alle motieven;Vrouwen;Vestigingsjaar 1992;1995;100.0;32.0;16.0;52.0
145;Totaal alle motieven;Vrouwen;Vestigingsjaar 1992;1996;100.0;36.0;16.0;48.0
146;Totaal alle motieven;Vrouwen;Vestigingsjaar 1992;1997;100.0;40.0;16.0;45.0
147;Totaal alle motieven;Vrouwen;Vestigingsjaar 1992;1998;100.0;43.0;15.0;42.0
148;Totaal alle motieven;Vrouwen;Vestigingsjaar 1992;1999;100.0;49.0;14.0;37.0
149;Totaal alle motieven;Vrouwen;Vestigingsjaar 1992;2000;100.0;50.0;13.0;36.0
150;Totaal alle motieven;Vrouwen;Vestigingsjaar 1993;1995;100.0;25.0;24.0;51.0
151;Totaal alle motieven;Vrouwen;Vestigingsjaar 1993;1996;100.0;31.0;24.0;46.0
152;Totaal alle motieven;Vrouwen;Vestigingsjaar 1993;1997;100.0;35.0;22.0;43.0
153;Totaal alle motieven;Vrouwen;Vestigingsjaar 1993;1998;100.0;41.0;20.0;38.0
154;Totaal alle motieven;Vrouwen;Vestigingsjaar 1993;1999;100.0;47.0;20.0;33.0
155;Totaal alle motieven;Vrouwen;Vestigingsjaar 1993;2000;100.0;50.0;18.0;32.0
156;Totaal alle motieven;Vrouwen;Vestigingsjaar 1994;1995;100.0;21.0;20.0;59.0
157;Totaal alle motieven;Vrouwen;Vestigingsjaar 1994;1996;100.0;27.0;24.0;49.0
158;Totaal alle motieven;Vrouwen;Vestigingsjaar 1994;1997;100.0;33.0;23.0;44.0
159;Totaal alle motieven;Vrouwen;Vestigingsjaar 1994;1998;100.0;39.0;22.0;39.0
160;Totaal alle motieven;Vrouwen;Vestigingsjaar 1994;1999;100.0;45.0;21.0;34.0
161;Totaal alle motieven;Vrouwen;Vestigingsjaar 1994;2000;100.0;49.0;18.0;33.0
162;Totaal alle motieven;Vrouwen;Vestigingsjaar 1995;1995;100.0;16.0;9.0;75.0
163;Totaal alle motieven;Vrouwen;Vestigingsjaar 1995;1996;100.0;23.0;17.0;60.0
164;Totaal alle motieven;Vrouwen;Vestigingsjaar 1995;1997;100.0;28.0;22.0;50.0
165;Totaal alle motieven;Vrouwen;Vestigingsjaar 1995;1998;100.0;37.0;21.0;41.0
166;Totaal alle motieven;Vrouwen;Vestigingsjaar 1995;1999;100.0;43.0;20.0;37.0
167;Totaal alle motieven;Vrouwen;Vestigingsjaar 1995;2000;100.0;48.0;18.0;33.0
168;Totaal alle motieven;Vrouwen;Vestigingsjaar 1996;1995;;;;
169;Totaal alle motieven;Vrouwen;Vestigingsjaar 1996;1996;100.0;16.0;10.0;75.0
170;Totaal alle motieven;Vrouwen;Vestigingsjaar 1996;1997;100.0;26.0;16.0;58.0
171;Totaal alle motieven;Vrouwen;Vestigingsjaar 1996;1998;100.0;34.0;20.0;46.0
172;Totaal alle motieven;Vrouwen;Vestigingsjaar 1996;1999;100.0;40.0;19.0;40.0
173;Totaal alle motieven;Vrouwen;Vestigingsjaar 1996;2000;100.0;45.0;18.0;36.0
174;Totaal alle motieven;Vrouwen;Vestigingsjaar 1997;1995;;;;
175;Totaal alle motieven;Vrouwen;Vestigingsjaar 1997;1996;;;;
176;Totaal alle motieven;Vrouwen;Vestigingsjaar 1997;1997;100.0;19.0;10.0;71.0
177;Totaal alle motieven;Vrouwen;Vestigingsjaar 1997;1998;100.0;31.0;14.0;54.0
178;Totaal alle motieven;Vrouwen;Vestigingsjaar 1997;1999;100.0;38.0;16.0;46.0
179;Totaal alle motieven;Vrouwen;Vestigingsjaar 1997;2000;100.0;44.0;18.0;39.0
180;Totaal alle motieven;Vrouwen;Vestigingsjaar 1998;1995;;;;
181;Totaal alle motieven;Vrouwen;Vestigingsjaar 1998;1996;;;;
182;Totaal alle motieven;Vrouwen;Vestigingsjaar 1998;1997;;;;
183;Totaal alle motieven;Vrouwen;Vestigingsjaar 1998;1998;100.0;22.0;7.0;71.0
184;Totaal alle motieven;Vrouwen;Vestigingsjaar 1998;1999;100.0;33.0;10.0;57.0
185;Totaal alle motieven;Vrouwen;Vestigingsjaar 1998;2000;100.0;40.0;12.0;48.0
186;Totaal alle motieven;Vrouwen;Vestigingsjaar 1999;1995;;;;
187;Totaal alle motieven;Vrouwen;Vestigingsjaar 1999;1996;;;;
188;Totaal alle motieven;Vrouwen;Vestigingsjaar 1999;1997;;;;
189;Totaal alle motieven;Vrouwen;Vestigingsjaar 1999;1998;;;;
190;Totaal alle motieven;Vrouwen;Vestigingsjaar 1999;1999;100.0;23.0;5.0;72.0
191;Totaal alle motieven;Vrouwen;Vestigingsjaar 1999;2000;100.0;36.0;9.0;55.0
192;Totaal alle motieven;Vrouwen;Vestigingsjaar 2000;1995;;;;
193;Totaal alle motieven;Vrouwen;Vestigingsjaar 2000;1996;;;;
194;Totaal alle motieven;Vrouwen;Vestigingsjaar 2000;1997;;;;
195;Totaal alle motieven;Vrouwen;Vestigingsjaar 2000;1998;;;;
196;Totaal alle motieven;Vrouwen;Vestigingsjaar 2000;1999;;;;
197;Totaal alle motieven;Vrouwen;Vestigingsjaar 2000;2000;100.0;26.0;4.0;70.0
198;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1990;1995;100.0;76.0;8.0;16.0
199;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1990;1996;100.0;78.0;7.0;15.0
200;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1990;1997;100.0;79.0;6.0;14.0
201;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1990;1998;100.0;79.0;5.0;15.0
202;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1990;1999;100.0;78.0;7.0;15.0
203;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1990;2000;100.0;79.0;6.0;16.0
204;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1991;1995;100.0;75.0;11.0;14.0
205;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1991;1996;100.0;78.0;10.0;13.0
206;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1991;1997;100.0;80.0;8.0;11.0
207;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1991;1998;100.0;78.0;8.0;14.0
208;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1991;1999;100.0;78.0;7.0;16.0
209;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1991;2000;100.0;76.0;7.0;17.0
210;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1992;1995;100.0;75.0;8.0;17.0
211;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1992;1996;100.0;76.0;7.0;17.0
212;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1992;1997;100.0;78.0;7.0;16.0
213;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1992;1998;100.0;80.0;6.0;14.0
214;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1992;1999;100.0;81.0;4.0;14.0
215;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1992;2000;100.0;79.0;5.0;16.0
216;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1993;1995;100.0;73.0;7.0;20.0
217;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1993;1996;100.0;75.0;7.0;18.0
218;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1993;1997;100.0;77.0;7.0;16.0
219;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1993;1998;100.0;79.0;5.0;16.0
220;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1993;1999;100.0;79.0;5.0;16.0
221;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1993;2000;100.0;80.0;4.0;16.0
222;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1994;1995;100.0;72.0;3.0;24.0
223;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1994;1996;100.0;76.0;4.0;19.0
224;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1994;1997;100.0;78.0;4.0;19.0
225;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1994;1998;100.0;77.0;5.0;18.0
226;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1994;1999;100.0;80.0;2.0;17.0
227;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1994;2000;100.0;78.0;3.0;19.0
228;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1995;1995;100.0;69.0;3.0;29.0
229;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1995;1996;100.0;74.0;3.0;23.0
230;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1995;1997;100.0;73.0;3.0;24.0
231;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1995;1998;100.0;78.0;3.0;19.0
232;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1995;1999;100.0;79.0;3.0;17.0
233;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1995;2000;100.0;79.0;3.0;18.0
234;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1996;1995;;;;
235;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1996;1996;100.0;69.0;2.0;30.0
236;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1996;1997;100.0;71.0;3.0;27.0
237;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1996;1998;100.0;73.0;3.0;24.0
238;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1996;1999;100.0;75.0;3.0;22.0
239;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1996;2000;100.0;75.0;2.0;22.0
240;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1997;1995;;;;
241;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1997;1996;;;;
242;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1997;1997;100.0;69.0;1.0;30.0
243;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1997;1998;100.0;71.0;1.0;28.0
244;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1997;1999;100.0;75.0;2.0;23.0
245;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1997;2000;100.0;75.0;1.0;24.0
246;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1998;1995;;;;
247;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1998;1996;;;;
248;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1998;1997;;;;
249;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1998;1998;100.0;68.0;1.0;31.0
250;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1998;1999;100.0;77.0;1.0;21.0
251;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1998;2000;100.0;73.0;1.0;26.0
252;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1999;1995;;;;
253;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1999;1996;;;;
254;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1999;1997;;;;
255;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1999;1998;;;;
256;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1999;1999;100.0;74.0;1.0;25.0
257;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 1999;2000;100.0;80.0;1.0;19.0
258;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 2000;1995;;;;
259;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 2000;1996;;;;
260;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 2000;1997;;;;
261;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 2000;1998;;;;
262;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 2000;1999;;;;
263;Arbeid;Totaal mannen en vrouwen;Vestigingsjaar 2000;2000;100.0;74.0;0.0;26.0
264;Arbeid;Mannen;Vestigingsjaar 1990;1995;100.0;76.0;8.0;16.0
265;Arbeid;Mannen;Vestigingsjaar 1990;1996;100.0;81.0;6.0;12.0
266;Arbeid;Mannen;Vestigingsjaar 1990;1997;100.0;81.0;6.0;13.0
267;Arbeid;Mannen;Vestigingsjaar 1990;1998;100.0;80.0;5.0;15.0
268;Arbeid;Mannen;Vestigingsjaar 1990;1999;100.0;79.0;7.0;14.0
269;Arbeid;Mannen;Vestigingsjaar 1990;2000;100.0;80.0;5.0;14.0
270;Arbeid;Mannen;Vestigingsjaar 1991;1995;100.0;77.0;10.0;13.0
271;Arbeid;Mannen;Vestigingsjaar 1991;1996;100.0;80.0;9.0;12.0
272;Arbeid;Mannen;Vestigingsjaar 1991;1997;100.0;83.0;7.0;10.0
273;Arbeid;Mannen;Vestigingsjaar 1991;1998;100.0;79.0;7.0;14.0
274;Arbeid;Mannen;Vestigingsjaar 1991;1999;100.0;78.0;6.0;16.0
