ID;Uitval;RegioS;Perioden;TotaalVoertuigen_1;PersonenautoS_2;TotaalBedrijfsvoertuigen_3;BestelautoS_4;VrachtautoS_5;Trekkers_6;SpecialeVoertuigen_7;Autobussen_8;TotaalGewichtVoertuigen_9;PersonenautoS_10;TotaalGewichtBedrijfsvoertuigen_11;BestelautoS_12;VrachtautoS_13;Trekkers_14;SpecialeVoertuigen_15;Autobussen_16
74;Demontage;Totaal Nederland;1998;260207;247078;13129;11378;860;327;520;44;240486;216848;23638;12582;6349;2227;2070;410
75;Demontage;Totaal Nederland;1999;285941;270865;15076;12962;1089;472;528;25;266514;238460;28054;14465;7922;3113;2325;229
76;Demontage;Noord-Nederland (LD);1996;30529;29154;1375;1179;79;23;76;18;28148;25640;2507;1286;603;158;276;184
77;Demontage;Noord-Nederland (LD);1997;29963;28449;1514;1228;116;56;94;20;27987;24924;3063;1340;850;374;304;195
78;Demontage;Noord-Nederland (LD);1998;27318;25920;1398;1222;80;21;67;8;25165;22850;2315;1379;562;138;163;73
79;Demontage;Noord-Nederland (LD);1999;28520;26936;1584;1334;110;38;83;19;26882;23827;3055;1496;841;252;297;169
80;Demontage;Oost-Nederland (LD);1996;53453;50928;2525;1978;307;147;82;11;50767;44646;6122;2191;2372;982;480;97
81;Demontage;Oost-Nederland (LD);1997;56795;54034;2761;2257;232;157;108;7;53071;47278;5794;2488;1781;1040;429;56
82;Demontage;Oost-Nederland (LD);1998;55621;53045;2576;2199;172;115;87;3;51254;46374;4880;2444;1357;770;281;28
83;Demontage;Oost-Nederland (LD);1999;63818;60620;3198;2693;246;154;105;0;59480;53271;6209;3022;1782;1021;384;0
84;Demontage;West-Nederland (LD);1996;116622;110587;6035;5223;401;113;247;51;107999;97508;10491;5583;2869;737;828;474
85;Demontage;West-Nederland (LD);1997;116104;109892;6212;5254;494;175;254;35;107982;96354;11628;5538;3659;1145;919;367
86;Demontage;West-Nederland (LD);1998;108079;102413;5666;5016;327;89;213;21;99142;89792;9350;5410;2308;583;855;194
87;Demontage;West-Nederland (LD);1999;123198;116361;6837;6037;404;198;194;4;113906;102146;11760;6602;2985;1307;823;43
88;Demontage;Zuid-Nederland (LD);1996;65402;62034;3368;2483;512;175;177;21;63563;54836;8728;2919;3569;1142;882;216
89;Demontage;Zuid-Nederland (LD);1997;70143;66723;3420;2557;440;227;184;12;67464;58635;8828;2947;3225;1519;1021;116
90;Demontage;Zuid-Nederland (LD);1998;69184;65698;3486;2941;278;102;153;12;64896;57829;7067;3350;2097;735;770;115
91;Demontage;Zuid-Nederland (LD);1999;70405;66948;3457;2898;329;82;146;2;66246;59217;7029;3344;2314;532;820;19
92;Demontage;Groningen (PV);1996;12119;11592;527;478;9;1;31;8;10972;10230;743;519;60;6;78;80
93;Demontage;Groningen (PV);1997;11793;11251;542;477;23;13;24;5;10675;9840;834;504;158;85;39;48
94;Demontage;Groningen (PV);1998;10080;9594;486;445;11;8;21;1;9115;8456;659;489;77;54;34;5
95;Demontage;Groningen (PV);1999;10353;9869;484;449;7;6;20;2;9387;8746;641;479;57;41;60;4
96;Demontage;Friesland (PV);1996;11226;10617;609;502;51;13;33;10;10705;9391;1314;555;394;91;170;104
97;Demontage;Friesland (PV);1997;10409;9712;697;527;71;35;49;15;10312;8583;1727;603;524;233;221;146
98;Demontage;Friesland (PV);1998;10471;9836;635;534;53;9;32;7;9901;8708;1193;615;361;57;92;68
99;Demontage;Friesland (PV);1999;11436;10679;757;604;69;22;47;15;11165;9484;1681;698;526;143;163;151
100;Demontage;Drenthe (PV);1996;7184;6945;239;199;19;9;12;0;6471;6019;452;213;149;62;28;0
101;Demontage;Drenthe (PV);1997;7761;7486;275;224;22;8;21;0;7001;6501;499;233;167;55;44;0
102;Demontage;Drenthe (PV);1998;6767;6490;277;243;16;4;14;0;6149;5686;463;275;124;27;37;0
103;Demontage;Drenthe (PV);1999;6731;6388;343;281;34;10;16;2;6330;5597;733;319;258;68;74;14
104;Demontage;Overijssel (PV);1996;15743;14806;937;612;191;93;33;8;16087;12958;3129;702;1501;621;230;75
105;Demontage;Overijssel (PV);1997;16163;15261;902;631;135;100;33;3;15864;13287;2576;705;1050;660;144;17
106;Demontage;Overijssel (PV);1998;18065;17174;891;730;81;46;33;1;16853;14949;1904;837;641;309;107;10
107;Demontage;Overijssel (PV);1999;20312;19242;1070;871;88;73;38;0;19122;16862;2260;985;621;490;164;0
108;Demontage;Flevoland (PV);1996;5519;5310;209;200;2;1;6;0;4906;4672;234;205;10;6;13;0
109;Demontage;Flevoland (PV);1997;5586;5346;240;227;1;3;9;0;4941;4667;274;221;6;21;26;0
110;Demontage;Flevoland (PV);1998;5378;5150;228;218;2;1;7;0;4833;4532;301;230;11;7;53;0
111;Demontage;Flevoland (PV);1999;5641;5379;262;254;4;0;4;0;4988;4697;291;261;23;0;7;0
112;Demontage;Gelderland (PV);1996;32191;30812;1379;1166;114;53;43;3;29774;27016;2757;1283;860;355;237;22
113;Demontage;Gelderland (PV);1997;35046;33427;1619;1399;96;54;66;4;32266;29324;2941;1561;725;358;259;38
114;Demontage;Gelderland (PV);1998;32178;30721;1457;1251;89;68;47;2;29568;26893;2675;1377;705;454;121;18
115;Demontage;Gelderland (PV);1999;37865;35999;1866;1568;154;81;63;0;35370;31712;3658;1776;1138;531;213;0
116;Demontage;Utrecht (PV);1996;15260;14553;707;605;50;15;24;13;14034;12743;1291;629;335;87;111;129
117;Demontage;Utrecht (PV);1997;15324;14544;780;642;77;25;31;5;14323;12664;1658;668;582;160;199;49
118;Demontage;Utrecht (PV);1998;14801;14030;771;627;90;11;35;8;13864;12142;1722;659;666;72;243;82
119;Demontage;Utrecht (PV);1999;17527;16641;886;759;79;24;24;0;16214;14528;1686;809;562;153;162;0
120;Demontage;Noord-Holland (PV);1996;48986;46429;2557;2313;82;22;124;16;44671;41088;3583;2446;538;151;277;171
121;Demontage;Noord-Holland (PV);1997;47303;44790;2513;2254;99;14;135;11;42813;39323;3491;2298;689;93;286;125
122;Demontage;Noord-Holland (PV);1998;45866;43345;2521;2333;82;8;90;8;41470;38058;3412;2461;558;49;274;70
123;Demontage;Noord-Holland (PV);1999;52577;49627;2950;2786;66;13;83;2;47395;43588;3807;2999;443;79;265;21
124;Demontage;Zuid-Holland (PV);1996;45273;42872;2401;1970;256;69;85;21;42752;37700;5051;2149;1888;451;398;165
125;Demontage;Zuid-Holland (PV);1997;45695;43231;2464;1961;281;128;77;17;43521;37866;5654;2150;2114;840;379;171
126;Demontage;Zuid-Holland (PV);1998;40515;38466;2049;1765;147;58;74;5;37457;33762;3695;1961;1026;379;287;42
127;Demontage;Zuid-Holland (PV);1999;44708;42070;2638;2149;252;158;77;2;42668;36897;5771;2407;1926;1054;362;22
128;Demontage;Zeeland (PV);1996;7103;6733;370;335;13;7;14;1;6542;5977;566;359;107;48;41;11
129;Demontage;Zeeland (PV);1997;7782;7327;455;397;37;8;11;2;7325;6502;823;422;273;52;54;22
130;Demontage;Zeeland (PV);1998;6897;6572;325;291;8;12;14;0;6351;5830;521;329;58;83;51;0
131;Demontage;Zeeland (PV);1999;8386;8023;363;343;7;3;10;0;7629;7133;496;387;54;21;34;0
132;Demontage;Noord-Brabant (PV);1996;46654;44033;2621;1894;448;130;142;7;45856;38915;6941;2228;3071;848;722;72
133;Demontage;Noord-Brabant (PV);1997;47461;44993;2468;1855;341;118;148;6;45861;39535;6326;2129;2470;780;889;58
134;Demontage;Noord-Brabant (PV);1998;46944;44378;2566;2176;197;66;121;6;44144;39056;5088;2463;1498;433;640;54
135;Demontage;Noord-Brabant (PV);1999;46597;44024;2573;2134;264;58;116;1;44312;38915;5397;2447;1849;368;724;9
136;Demontage;Limburg (PV);1996;18748;18001;747;589;64;45;35;14;17707;15921;1787;691;498;294;160;144
137;Demontage;Limburg (PV);1997;22682;21730;952;702;99;109;36;6;21603;19100;2503;817;756;739;132;59
138;Demontage;Limburg (PV);1998;22240;21320;920;765;81;36;32;6;20752;18773;1979;887;599;302;130;61
139;Demontage;Limburg (PV);1999;23808;22924;884;764;65;24;30;1;21934;20302;1632;897;465;164;96;10
140;Demontage;Onbekend;1996;685;654;31;28;1;0;2;0;607;566;41;32;5;0;4;0
141;Demontage;Onbekend;1997;25;18;7;2;3;0;1;1;50;16;33;2;18;0;3;10
142;Demontage;Onbekend;1998;5;2;3;0;3;0;0;0;29;3;27;0;25;1;1;0
143;Demontage;Onbekend;1999;0;0;0;0;0;0;0;0;0;0;3;1;0;1;1;0
144;Export;Totaal Nederland;1996;153743;119419;34324;24715;4380;3813;713;703;242750;127533;115217;36428;38014;26639;7007;7129
145;Export;Totaal Nederland;1997;172832;135446;37386;25593;5191;4867;856;879;279557;144975;134582;37513;45592;33944;8479;9054
146;Export;Totaal Nederland;1998;144482;111522;32960;21705;4986;4981;713;575;244273;119290;124983;31982;44285;35030;7619;6067
147;Export;Totaal Nederland;1999;132067;103864;28203;18024;4615;4369;752;443;220486;108273;112213;26849;41611;30819;8212;4722
148;Export;Noord-Nederland (LD);1996;7514;6476;1038;805;69;62;30;72;9948;6757;3191;1200;589;423;196;783
149;Export;Noord-Nederland (LD);1997;8033;6975;1058;759;79;101;36;83;10825;7208;3617;1053;737;692;244;891
150;Export;Noord-Nederland (LD);1998;7428;6314;1114;774;113;122;44;61;10521;6530;3991;1043;1056;845;326;721
151;Export;Noord-Nederland (LD);1999;5894;5085;809;553;92;105;18;41;8201;5197;3004;715;952;744;118;475
152;Export;Oost-Nederland (LD);1996;37137;27180;9957;6951;1453;1270;181;102;62996;28976;34020;10209;12571;8888;1324;1028
153;Export;Oost-Nederland (LD);1997;39326;29010;10316;6614;1653;1717;228;104;70581;31048;39533;9765;14525;11960;2279;1004
154;Export;Oost-Nederland (LD);1998;32084;22911;9173;5626;1582;1682;190;93;60741;24422;36319;8323;13657;11730;1592;1017
155;Export;Oost-Nederland (LD);1999;30190;22075;8115;4705;1575;1511;195;129;57695;22943;34752;7095;13922;10638;1694;1403
156;Export;West-Nederland (LD);1996;76441;60310;16131;11783;1923;1719;399;307;118974;64854;54120;17164;16986;12015;4899;3056
157;Export;West-Nederland (LD);1997;92395;73831;18564;13166;2406;2109;435;448;144595;79691;64904;19041;21580;14740;4918;4625
158;Export;West-Nederland (LD);1998;78807;62882;15925;11073;2216;1982;358;296;125740;67658;58082;16174;20279;13970;4622;3037
159;Export;West-Nederland (LD);1999;77141;63390;13751;9620;1901;1699;388;143;116663;66309;50354;14123;17596;12015;5211;1409
160;Export;Zuid-Nederland (LD);1996;31908;24815;7093;5083;930;755;103;222;49942;26286;23656;7716;7837;5254;587;2262
161;Export;Zuid-Nederland (LD);1997;32928;25522;7406;5029;1049;939;152;237;53241;26913;26328;7620;8725;6545;974;2464
162;Export;Zuid-Nederland (LD);1998;26095;19363;6732;4222;1074;1191;120;125;47148;20619;26529;6425;9281;8455;1076;1292
163;Export;Zuid-Nederland (LD);1999;18817;13295;5522;3143;1044;1054;151;130;37882;13802;24080;4913;9122;7422;1189;1434
164;Export;Groningen (PV);1996;2403;2104;299;251;21;9;10;8;2943;2174;769;366;177;60;76;90
165;Export;Groningen (PV);1997;2816;2514;302;235;14;32;20;1;3408;2579;829;324;125;228;142;10
166;Export;Groningen (PV);1998;2799;2489;310;228;18;44;17;3;3495;2562;933;322;156;310;113;32
167;Export;Groningen (PV);1999;2105;1893;212;156;13;27;13;3;2650;1964;686;214;140;195;102;35
168;Export;Friesland (PV);1996;2910;2539;371;285;16;5;4;61;3909;2651;1258;399;151;29;8;671
169;Export;Friesland (PV);1997;2972;2574;398;288;19;12;5;74;4102;2693;1409;372;152;73;26;786
170;Export;Friesland (PV);1998;2456;2047;409;307;24;19;15;44;3518;2150;1368;392;202;130;101;543
171;Export;Friesland (PV);1999;1801;1474;327;231;35;23;4;34;2698;1523;1175;283;332;155;14;391
172;Export;Drenthe (PV);1996;2201;1833;368;269;32;48;16;3;3096;1932;1164;435;261;334;112;22
173;Export;Drenthe (PV);1997;2245;1887;358;236;46;57;11;8;3315;1936;1379;357;460;391;76;95
174;Export;Drenthe (PV);1998;2173;1778;395;239;71;59;12;14;3509;1819;1690;329;698;405;112;146
175;Export;Drenthe (PV);1999;1988;1718;270;166;44;55;1;4;2853;1710;1143;218;480;394;2;49
176;Export;Overijssel (PV);1996;9544;7653;1891;1537;151;148;23;32;13197;8131;5066;2229;1296;1027;174;340
177;Export;Overijssel (PV);1997;9867;7922;1945;1494;181;206;26;38;14289;8419;5870;2138;1623;1423;245;441
178;Export;Overijssel (PV);1998;7794;6309;1485;1053;163;236;22;11;11488;6686;4802;1514;1381;1647;117;143
179;Export;Overijssel (PV);1999;5107;4011;1096;713;146;198;29;10;8262;4201;4061;1067;1212;1376;293;113
180;Export;Flevoland (PV);1996;4194;3243;951;848;27;65;8;3;5237;3375;1862;1129;222;461;25;25
181;Export;Flevoland (PV);1997;4161;3187;974;855;45;55;15;4;5391;3286;2105;1140;377;399;175;14
182;Export;Flevoland (PV);1998;4995;3849;1146;1051;44;35;16;0;6118;3972;2146;1440;344;244;118;0
183;Export;Flevoland (PV);1999;4743;3702;1041;960;26;38;16;1;5732;3842;1890;1337;230;257;62;4
184;Export;Gelderland (PV);1996;23399;16284;7115;4566;1275;1057;150;67;44562;17470;27092;6851;11053;7400;1125;663
185;Export;Gelderland (PV);1997;25298;17901;7397;4265;1427;1456;187;62;50901;19343;31558;6487;12525;10138;1859;549
186;Export;Gelderland (PV);1998;19295;12753;6542;3522;1375;1411;152;82;43136;13765;29371;5369;11932;9839;1357;874
187;Export;Gelderland (PV);1999;20340;14362;5978;3032;1403;1275;150;118;43701;14900;28801;4691;12480;9005;1339;1286
188;Export;Utrecht (PV);1996;7911;6243;1668;1195;162;185;74;52;12972;6753;6219;1714;1483;1303;1189;530
189;Export;Utrecht (PV);1997;8754;6688;2066;1419;205;261;81;100;15047;7204;7843;2032;1850;1832;1148;981
190;Export;Utrecht (PV);1998;6941;5448;1493;1095;118;177;35;68;11145;5797;5348;1578;1146;1234;685;705
191;Export;Utrecht (PV);1999;3927;2803;1124;723;95;220;70;16;7319;2967;4352;1058;897;1534;686;177
192;Export;Noord-Holland (PV);1996;41185;34638;6547;5761;394;252;84;56;52011;37517;14494;8384;3373;1745;504;488
193;Export;Noord-Holland (PV);1997;54168;46238;7930;6863;491;338;132;106;69138;50219;18919;9960;4338;2342;1379;900
194;Export;Noord-Holland (PV);1998;46308;39432;6876;5799;522;398;124;33;60228;42806;17422;8507;4588;2768;1226;333
195;Export;Noord-Holland (PV);1999;54659;47987;6672;5739;446;300;125;62;66495;50251;16244;8239;3953;2110;1369;573
196;Export;Zuid-Holland (PV);1996;24437;16891;7546;4571;1316;1243;233;183;49921;17912;32009;6707;11636;8694;3115;1857
197;Export;Zuid-Holland (PV);1997;26352;18174;8178;4639;1641;1459;213;226;55924;19340;36584;6707;14801;10211;2294;2571
198;Export;Zuid-Holland (PV);1998;22928;15697;7231;3981;1523;1344;191;192;50593;16593;34000;5813;14059;9528;2629;1971
199;Export;Zuid-Holland (PV);1999;16999;11267;5732;3016;1327;1141;183;65;40621;11679;28942;4633;12454;8099;3097;659
200;Export;Zeeland (PV);1996;2908;2538;370;256;51;39;8;16;4070;2672;1398;359;494;273;91;181
201;Export;Zeeland (PV);1997;3121;2731;390;245;69;51;9;16;4486;2928;1558;342;591;355;97;173
202;Export;Zeeland (PV);1998;2630;2305;325;198;53;63;8;3;3774;2462;1312;276;486;440;82;28
203;Export;Zeeland (PV);1999;1556;1333;223;142;33;38;10;0;2228;1412;816;193;292;272;59;0
204;Export;Noord-Brabant (PV);1996;24443;18444;5999;4360;767;597;78;197;39268;19538;19730;6636;6416;4174;472;2032
205;Export;Noord-Brabant (PV);1997;26034;19817;6217;4277;902;692;133;213;42836;20931;21905;6518;7493;4818;842;2234
206;Export;Noord-Brabant (PV);1998;20067;14601;5466;3540;893;833;92;108;36620;15543;21077;5459;7754;5949;787;1128
207;Export;Noord-Brabant (PV);1999;14278;9890;4388;2519;846;775;129;119;29364;10254;19110;3973;7308;5432;1067;1330
208;Export;Limburg (PV);1996;7465;6371;1094;723;163;158;25;25;10674;6748;3926;1080;1421;1080;115;230
209;Export;Limburg (PV);1997;6894;5705;1189;752;147;247;19;24;10405;5982;4423;1102;1232;1727;132;230
210;Export;Limburg (PV);1998;6028;4762;1266;682;181;358;28;17;10529;5077;5452;966;1527;2506;289;164
211;Export;Limburg (PV);1999;4539;3405;1134;624;198;279;22;11;8518;3548;4970;940;1814;1990;122;104
212;Export;Onbekend;1996;743;638;105;93;5;7;0;0;890;660;230;139;31;59;1;0
213;Export;Onbekend;1997;150;108;42;25;4;1;5;7;315;115;200;34;25;7;64;70
214;Export;Onbekend;1998;68;52;16;10;1;4;1;0;123;61;62;17;12;30;3;0
215;Export;Onbekend;1999;25;19;6;3;3;0;0;0;45;22;23;3;19;0;0;1
216;Gebruik buiten openbare weg;Totaal Nederland;1996;3567;2673;894;602;156;50;81;5;5498;2639;2859;696;1324;335;455;49
217;Gebruik buiten openbare weg;Totaal Nederland;1997;2733;1891;842;273;271;160;126;12;6621;1900;4721;391;2288;1025;871;146
218;Gebruik buiten openbare weg;Totaal Nederland;1998;2245;1676;569;334;86;56;89;4;3719;1721;1998;468;700;349;435;46
219;Gebruik buiten openbare weg;Totaal Nederland;1999;3223;2409;814;566;101;79;66;2;5031;2552;2479;802;851;492;314;20
220;Gebruik buiten openbare weg;Noord-Nederland (LD);1996;216;167;49;24;8;2;14;1;352;158;194;35;75;13;61;10
221;Gebruik buiten openbare weg;Noord-Nederland (LD);1997;241;170;71;14;21;17;19;0;593;167;426;20;194;106;106;0
222;Gebruik buiten openbare weg;Noord-Nederland (LD);1998;210;165;45;16;7;5;17;0;341;164;177;20;53;31;73;0
