ID;TypeMaatwerkvoorziening;RegioS;Perioden;Stand_1;Instroom_2;Uitstroom_3
308;Totaal;Amersfoort;1e halfjaar 2017;12200.0;2445.0;1705.0
309;Totaal;Amersfoort;2e halfjaar 2017;13215.0;1075.0;2335.0
310;Totaal;Amersfoort;2017;12200.0;3520.0;4035.0
311;Totaal;Amersfoort;1e halfjaar 2018;12720.0;2725.0;1725.0
312;Totaal;Amersfoort;2e halfjaar 2018;13725.0;1845.0;7040.0
313;Totaal;Amersfoort;2018;12720.0;4570.0;8765.0
314;Totaal;Amersfoort;1e halfjaar 2019;7085.0;7300.0;1670.0
315;Totaal;Amersfoort;2e halfjaar 2019;12715.0;2100.0;2400.0
316;Totaal;Amersfoort;2019;7085.0;9405.0;4070.0
317;Totaal;Amersfoort;1e halfjaar 2020;12310.0;2480.0;1695.0
318;Totaal;Amersfoort;2e halfjaar 2020;13105.0;1935.0;3635.0
319;Totaal;Amersfoort;2020;12310.0;4415.0;5335.0
320;Totaal;Amersfoort;1e halfjaar 2021;10980.0;3530.0;1970.0
321;Totaal;Amersfoort;2e halfjaar 2021;12535.0;2140.0;2560.0
322;Totaal;Amersfoort;2021;10980.0;5670.0;4530.0
323;Totaal;Amersfoort;1e halfjaar 2022;11865.0;2720.0;2040.0
324;Totaal;Amersfoort;2e halfjaar 2022;12540.0;1945.0;5245.0
325;Totaal;Amersfoort;2022;11865.0;4665.0;7285.0
326;Totaal;Amersfoort;1e halfjaar 2023;9055.0;5145.0;1590.0
327;Totaal;Amersfoort;2e halfjaar 2023;12610.0;1785.0;1850.0
328;Totaal;Amersfoort;2023;9055.0;6930.0;3440.0
329;Totaal;Amersfoort;1e halfjaar 2024;12625.0;3020.0;2475.0
330;Totaal;Amstelveen;1e halfjaar 2017;3255.0;1585.0;600.0
331;Totaal;Amstelveen;2e halfjaar 2017;4240.0;965.0;620.0
332;Totaal;Amstelveen;2017;3255.0;2545.0;1220.0
333;Totaal;Amstelveen;1e halfjaar 2018;;;
334;Totaal;Amstelveen;2e halfjaar 2018;;;
335;Totaal;Amstelveen;2018;;;
336;Totaal;Amstelveen;1e halfjaar 2019;;;
337;Totaal;Amstelveen;2e halfjaar 2019;;;
338;Totaal;Amstelveen;2019;;;
339;Totaal;Amstelveen;1e halfjaar 2020;;;
340;Totaal;Amstelveen;2e halfjaar 2020;;;
341;Totaal;Amstelveen;2020;;;
342;Totaal;Amstelveen;1e halfjaar 2021;;;
343;Totaal;Amstelveen;2e halfjaar 2021;;;
344;Totaal;Amstelveen;2021;;;
345;Totaal;Amstelveen;1e halfjaar 2022;;;
346;Totaal;Amstelveen;2e halfjaar 2022;;;
347;Totaal;Amstelveen;2022;;;
348;Totaal;Amstelveen;1e halfjaar 2023;6870.0;1370.0;1065.0
349;Totaal;Amstelveen;2e halfjaar 2023;7180.0;10.0;1245.0
350;Totaal;Amstelveen;2023;6870.0;1385.0;2310.0
351;Totaal;Amstelveen;1e halfjaar 2024;1435.0;285.0;255.0
352;Totaal;Amsterdam;1e halfjaar 2017;77750.0;16140.0;8780.0
353;Totaal;Amsterdam;2e halfjaar 2017;85155.0;7870.0;8600.0
354;Totaal;Amsterdam;2017;77750.0;24005.0;17385.0
355;Totaal;Amsterdam;1e halfjaar 2018;76455.0;19865.0;3475.0
356;Totaal;Amsterdam;2e halfjaar 2018;92850.0;10595.0;9185.0
357;Totaal;Amsterdam;2018;76455.0;30460.0;12665.0
358;Totaal;Amsterdam;1e halfjaar 2019;93165.0;12875.0;7915.0
359;Totaal;Amsterdam;2e halfjaar 2019;98170.0;9285.0;9725.0
360;Totaal;Amsterdam;2019;93165.0;22155.0;17640.0
361;Totaal;Amsterdam;1e halfjaar 2020;95105.0;12490.0;8035.0
362;Totaal;Amsterdam;2e halfjaar 2020;99585.0;9525.0;34725.0
363;Totaal;Amsterdam;2020;95105.0;22015.0;42760.0
364;Totaal;Amsterdam;1e halfjaar 2021;73710.0;34435.0;10810.0
365;Totaal;Amsterdam;2e halfjaar 2021;;;
366;Totaal;Amsterdam;2021;;;
367;Totaal;Amsterdam;1e halfjaar 2022;92385.0;11080.0;8560.0
368;Totaal;Amsterdam;2e halfjaar 2022;94900.0;7280.0;10140.0
369;Totaal;Amsterdam;2022;92385.0;18365.0;18695.0
370;Totaal;Amsterdam;1e halfjaar 2023;90425.0;9930.0;8005.0
371;Totaal;Amsterdam;2e halfjaar 2023;92320.0;8455.0;9105.0
372;Totaal;Amsterdam;2023;90425.0;18390.0;17110.0
373;Totaal;Amsterdam;1e halfjaar 2024;91160.0;10945.0;8735.0
374;Totaal;Apeldoorn;1e halfjaar 2017;13105.0;2250.0;1655.0
375;Totaal;Apeldoorn;2e halfjaar 2017;13720.0;2140.0;2935.0
376;Totaal;Apeldoorn;2017;13105.0;4390.0;4590.0
377;Totaal;Apeldoorn;1e halfjaar 2018;11920.0;3570.0;935.0
378;Totaal;Apeldoorn;2e halfjaar 2018;14550.0;3345.0;2690.0
379;Totaal;Apeldoorn;2018;11920.0;6915.0;3625.0
380;Totaal;Apeldoorn;1e halfjaar 2019;15090.0;3210.0;1645.0
381;Totaal;Apeldoorn;2e halfjaar 2019;16645.0;2395.0;2910.0
382;Totaal;Apeldoorn;2019;15090.0;5605.0;4555.0
383;Totaal;Apeldoorn;1e halfjaar 2020;15190.0;3575.0;1910.0
384;Totaal;Apeldoorn;2e halfjaar 2020;16855.0;1850.0;3975.0
385;Totaal;Apeldoorn;2020;15190.0;5425.0;5885.0
386;Totaal;Apeldoorn;1e halfjaar 2021;14445.0;4105.0;1950.0
387;Totaal;Apeldoorn;2e halfjaar 2021;16590.0;2300.0;2495.0
388;Totaal;Apeldoorn;2021;14445.0;6400.0;4445.0
389;Totaal;Apeldoorn;1e halfjaar 2022;16240.0;2710.0;1785.0
390;Totaal;Apeldoorn;2e halfjaar 2022;17155.0;2175.0;2185.0
391;Totaal;Apeldoorn;2022;16240.0;4885.0;3970.0
392;Totaal;Apeldoorn;1e halfjaar 2023;16130.0;2425.0;1755.0
393;Totaal;Apeldoorn;2e halfjaar 2023;16795.0;2355.0;2145.0
394;Totaal;Apeldoorn;2023;16130.0;4785.0;3900.0
395;Totaal;Apeldoorn;1e halfjaar 2024;17425.0;2950.0;2095.0
396;Totaal;Appingedam;1e halfjaar 2017;;;
397;Totaal;Appingedam;2e halfjaar 2017;;;
