ID;BedrijfstakBranchesSBI2008;Bedrijfsomvang;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2
155;F Bouwnijverheid;10 of meer werkzame personen;2006 maart;;
156;F Bouwnijverheid;10 of meer werkzame personen;2006 1e kwartaal;;
157;F Bouwnijverheid;10 of meer werkzame personen;2006 april;;
158;F Bouwnijverheid;10 of meer werkzame personen;2006 mei;;
159;F Bouwnijverheid;10 of meer werkzame personen;2006 juni;;
160;F Bouwnijverheid;10 of meer werkzame personen;2006 2e kwartaal;;
161;F Bouwnijverheid;10 of meer werkzame personen;2006 juli;;
162;F Bouwnijverheid;10 of meer werkzame personen;2006 augustus;;
163;F Bouwnijverheid;10 of meer werkzame personen;2006 september;;
164;F Bouwnijverheid;10 of meer werkzame personen;2006 3e kwartaal;;
165;F Bouwnijverheid;10 of meer werkzame personen;2006 oktober;;
166;F Bouwnijverheid;10 of meer werkzame personen;2006 november;;
167;F Bouwnijverheid;10 of meer werkzame personen;2006 december;;
168;F Bouwnijverheid;10 of meer werkzame personen;2006 4e kwartaal;;
169;F Bouwnijverheid;10 of meer werkzame personen;2006;;
170;F Bouwnijverheid;10 of meer werkzame personen;2007 januari;;
171;F Bouwnijverheid;10 of meer werkzame personen;2007 februari;;
172;F Bouwnijverheid;10 of meer werkzame personen;2007 maart;;
173;F Bouwnijverheid;10 of meer werkzame personen;2007 1e kwartaal;;
174;F Bouwnijverheid;10 of meer werkzame personen;2007 april;;
175;F Bouwnijverheid;10 of meer werkzame personen;2007 mei;;
176;F Bouwnijverheid;10 of meer werkzame personen;2007 juni;;
177;F Bouwnijverheid;10 of meer werkzame personen;2007 2e kwartaal;;
178;F Bouwnijverheid;10 of meer werkzame personen;2007 juli;;
179;F Bouwnijverheid;10 of meer werkzame personen;2007 augustus;;
180;F Bouwnijverheid;10 of meer werkzame personen;2007 september;;
181;F Bouwnijverheid;10 of meer werkzame personen;2007 3e kwartaal;;
182;F Bouwnijverheid;10 of meer werkzame personen;2007 oktober;;
183;F Bouwnijverheid;10 of meer werkzame personen;2007 november;;
184;F Bouwnijverheid;10 of meer werkzame personen;2007 december;;
185;F Bouwnijverheid;10 of meer werkzame personen;2007 4e kwartaal;;
186;F Bouwnijverheid;10 of meer werkzame personen;2007;;
187;F Bouwnijverheid;10 of meer werkzame personen;2008 januari;;
188;F Bouwnijverheid;10 of meer werkzame personen;2008 februari;;
189;F Bouwnijverheid;10 of meer werkzame personen;2008 maart;;
190;F Bouwnijverheid;10 of meer werkzame personen;2008 1e kwartaal;;
191;F Bouwnijverheid;10 of meer werkzame personen;2008 april;;
192;F Bouwnijverheid;10 of meer werkzame personen;2008 mei;;
193;F Bouwnijverheid;10 of meer werkzame personen;2008 juni;;
194;F Bouwnijverheid;10 of meer werkzame personen;2008 2e kwartaal;;
195;F Bouwnijverheid;10 of meer werkzame personen;2008 juli;;
196;F Bouwnijverheid;10 of meer werkzame personen;2008 augustus;;
197;F Bouwnijverheid;10 of meer werkzame personen;2008 september;;
198;F Bouwnijverheid;10 of meer werkzame personen;2008 3e kwartaal;;
199;F Bouwnijverheid;10 of meer werkzame personen;2008 oktober;;
200;F Bouwnijverheid;10 of meer werkzame personen;2008 november;;
201;F Bouwnijverheid;10 of meer werkzame personen;2008 december;;
202;F Bouwnijverheid;10 of meer werkzame personen;2008 4e kwartaal;;
203;F Bouwnijverheid;10 of meer werkzame personen;2008;;
204;F Bouwnijverheid;10 of meer werkzame personen;2009 januari;84.0;
205;F Bouwnijverheid;10 of meer werkzame personen;2009 februari;108.0;
206;F Bouwnijverheid;10 of meer werkzame personen;2009 maart;134.0;
207;F Bouwnijverheid;10 of meer werkzame personen;2009 1e kwartaal;109.0;
208;F Bouwnijverheid;10 of meer werkzame personen;2009 april;127.0;
209;F Bouwnijverheid;10 of meer werkzame personen;2009 mei;120.0;
210;F Bouwnijverheid;10 of meer werkzame personen;2009 juni;133.0;
211;F Bouwnijverheid;10 of meer werkzame personen;2009 2e kwartaal;127.0;
212;F Bouwnijverheid;10 of meer werkzame personen;2009 juli;122.0;
213;F Bouwnijverheid;10 of meer werkzame personen;2009 augustus;82.0;
214;F Bouwnijverheid;10 of meer werkzame personen;2009 september;130.0;
215;F Bouwnijverheid;10 of meer werkzame personen;2009 3e kwartaal;111.0;
216;F Bouwnijverheid;10 of meer werkzame personen;2009 oktober;133.0;
217;F Bouwnijverheid;10 of meer werkzame personen;2009 november;126.0;
218;F Bouwnijverheid;10 of meer werkzame personen;2009 december;136.0;
219;F Bouwnijverheid;10 of meer werkzame personen;2009 4e kwartaal;132.0;
220;F Bouwnijverheid;10 of meer werkzame personen;2009;120.0;
221;F Bouwnijverheid;10 of meer werkzame personen;2010 januari;69.0;-18.3
222;F Bouwnijverheid;10 of meer werkzame personen;2010 februari;82.0;-23.8
223;F Bouwnijverheid;10 of meer werkzame personen;2010 maart;114.0;-15.3
224;F Bouwnijverheid;10 of meer werkzame personen;2010 1e kwartaal;88.0;-18.9
225;F Bouwnijverheid;10 of meer werkzame personen;2010 april;113.0;-11.5
226;F Bouwnijverheid;10 of meer werkzame personen;2010 mei;106.0;-12.0
227;F Bouwnijverheid;10 of meer werkzame personen;2010 juni;125.0;-6.0
228;F Bouwnijverheid;10 of meer werkzame personen;2010 2e kwartaal;115.0;-9.7
229;F Bouwnijverheid;10 of meer werkzame personen;2010 juli;114.0;-6.5
230;F Bouwnijverheid;10 of meer werkzame personen;2010 augustus;73.0;-11.0
231;F Bouwnijverheid;10 of meer werkzame personen;2010 september;116.0;-10.9
232;F Bouwnijverheid;10 of meer werkzame personen;2010 3e kwartaal;101.0;-9.3
233;F Bouwnijverheid;10 of meer werkzame personen;2010 oktober;120.0;-9.8
234;F Bouwnijverheid;10 of meer werkzame personen;2010 november;126.0;-0.5
235;F Bouwnijverheid;10 of meer werkzame personen;2010 december;125.0;-8.2
236;F Bouwnijverheid;10 of meer werkzame personen;2010 4e kwartaal;124.0;-6.3
237;F Bouwnijverheid;10 of meer werkzame personen;2010;107.0;-10.8
238;F Bouwnijverheid;10 of meer werkzame personen;2011 januari;75.0;9.4
239;F Bouwnijverheid;10 of meer werkzame personen;2011 februari;96.0;16.2
240;F Bouwnijverheid;10 of meer werkzame personen;2011 maart;115.0;0.8
241;F Bouwnijverheid;10 of meer werkzame personen;2011 1e kwartaal;95.0;7.8
242;F Bouwnijverheid;10 of meer werkzame personen;2011 april;111.0;-1.2
243;F Bouwnijverheid;10 of meer werkzame personen;2011 mei;121.0;14.5
244;F Bouwnijverheid;10 of meer werkzame personen;2011 juni;114.0;-9.2
245;F Bouwnijverheid;10 of meer werkzame personen;2011 2e kwartaal;116.0;0.7
246;F Bouwnijverheid;10 of meer werkzame personen;2011 juli;107.0;-6.0
247;F Bouwnijverheid;10 of meer werkzame personen;2011 augustus;77.0;5.8
248;F Bouwnijverheid;10 of meer werkzame personen;2011 september;121.0;5.1
249;F Bouwnijverheid;10 of meer werkzame personen;2011 3e kwartaal;102.0;1.1
250;F Bouwnijverheid;10 of meer werkzame personen;2011 oktober;118.0;-1.8
251;F Bouwnijverheid;10 of meer werkzame personen;2011 november;127.0;1.1
252;F Bouwnijverheid;10 of meer werkzame personen;2011 december;137.0;9.8
253;F Bouwnijverheid;10 of meer werkzame personen;2011 4e kwartaal;127.0;3.1
254;F Bouwnijverheid;10 of meer werkzame personen;2011;110.0;2.9
255;F Bouwnijverheid;10 of meer werkzame personen;2012 januari;70.0;-6.4
256;F Bouwnijverheid;10 of meer werkzame personen;2012 februari;84.0;-12.3
257;F Bouwnijverheid;10 of meer werkzame personen;2012 maart;105.0;-8.4
258;F Bouwnijverheid;10 of meer werkzame personen;2012 1e kwartaal;86.0;-9.2
259;F Bouwnijverheid;10 of meer werkzame personen;2012 april;103.0;-7.6
260;F Bouwnijverheid;10 of meer werkzame personen;2012 mei;107.0;-11.5
261;F Bouwnijverheid;10 of meer werkzame personen;2012 juni;114.0;0.0
262;F Bouwnijverheid;10 of meer werkzame personen;2012 2e kwartaal;108.0;-6.5
263;F Bouwnijverheid;10 of meer werkzame personen;2012 juli;99.0;-8.3
264;F Bouwnijverheid;10 of meer werkzame personen;2012 augustus;77.0;0.0
265;F Bouwnijverheid;10 of meer werkzame personen;2012 september;115.0;-5.7
266;F Bouwnijverheid;10 of meer werkzame personen;2012 3e kwartaal;97.0;-5.2
267;F Bouwnijverheid;10 of meer werkzame personen;2012 oktober;112.0;-5.4
268;F Bouwnijverheid;10 of meer werkzame personen;2012 november;120.0;-5.5
269;F Bouwnijverheid;10 of meer werkzame personen;2012 december;117.0;-14.5
270;F Bouwnijverheid;10 of meer werkzame personen;2012 4e kwartaal;116.0;-8.7
271;F Bouwnijverheid;10 of meer werkzame personen;2012;102.0;-7.4
272;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 januari;62.0;-1.7
273;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 februari;79.0;-1.9
274;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 maart;94.0;-3.1
275;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 1e kwartaal;78.0;-2.3
276;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 april;101.0;6.5
277;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 mei;97.0;7.9
278;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 juni;119.0;12.0
279;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 2e kwartaal;106.0;8.9
280;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 juli;99.0;4.7
281;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 augustus;69.0;13.0
282;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 september;114.0;9.6
283;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 3e kwartaal;94.0;8.6
284;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 oktober;110.0;3.9
285;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 november;118.0;5.6
286;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 december;139.0;8.2
287;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005 4e kwartaal;122.0;6.1
288;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2005;100.0;5.6
289;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 januari;65.0;4.8
290;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 februari;86.0;9.5
291;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 maart;110.0;16.6
292;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 1e kwartaal;87.0;11.1
293;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 april;101.0;-0.6
294;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 mei;114.0;17.8
295;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 juni;123.0;4.1
296;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 2e kwartaal;113.0;6.7
297;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 juli;103.0;3.4
298;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 augustus;76.0;10.4
299;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 september;122.0;7.5
300;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 3e kwartaal;100.0;6.8
301;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 oktober;122.0;10.8
302;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 november;130.0;10.9
303;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 december;151.0;8.1
304;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006 4e kwartaal;134.0;9.8
305;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2006;109.0;8.5
306;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 januari;73.0;13.3
307;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 februari;99.0;14.5
308;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 maart;126.0;14.3
309;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 1e kwartaal;99.0;14.1
310;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 april;112.0;11.6
311;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 mei;121.0;6.0
312;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 juni;137.0;11.3
313;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 2e kwartaal;123.0;9.6
314;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 juli;114.0;10.8
315;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 augustus;87.0;14.1
316;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 september;128.0;4.7
317;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 3e kwartaal;109.0;9.1
318;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 oktober;137.0;12.3
319;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 november;142.0;8.6
320;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 december;155.0;2.7
321;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007 4e kwartaal;145.0;7.5
322;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2007;119.0;9.7
323;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 januari;86.0;17.5
324;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 februari;117.0;18.7
325;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 maart;131.0;3.9
326;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 1e kwartaal;111.0;12.2
327;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 april;136.0;20.8
328;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 mei;129.0;7.4
329;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 juni;149.0;8.4
330;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 2e kwartaal;138.0;11.8
331;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 juli;125.0;9.6
332;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 augustus;94.0;9.2
333;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 september;145.0;13.5
334;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 3e kwartaal;121.0;11.0
335;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 oktober;152.0;11.0
336;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 november;142.0;0.6
337;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 december;163.0;5.2
338;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008 4e kwartaal;152.0;5.5
339;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2008;131.0;9.8
340;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 januari;88.0;2.4
341;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 februari;112.0;-4.5
342;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 maart;139.0;6.3
343;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 1e kwartaal;113.0;1.5
344;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 april;132.0;-3.0
345;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 mei;127.0;-2.2
346;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 juni;141.0;-5.4
347;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 2e kwartaal;133.0;-3.6
348;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 juli;129.0;3.2
349;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 augustus;85.0;-9.8
350;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 september;134.0;-7.6
351;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 3e kwartaal;116.0;-4.5
352;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 oktober;139.0;-8.7
353;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 november;133.0;-7.0
354;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 december;143.0;-12.3
355;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009 4e kwartaal;138.0;-9.4
356;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2009;125.0;-4.4
357;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2010 januari;73.0;-17.4
358;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2010 februari;87.0;-21.9
359;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2010 maart;121.0;-13.2
360;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2010 1e kwartaal;94.0;-17.2
361;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2010 april;120.0;-8.9
362;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2010 mei;112.0;-11.4
363;412-439 Bouw (geen projectontwikkeling);Alle bedrijven;2010 juni;134.0;-4.8
