ID;Persoonskenmerken;Perioden;ZeerTevreden_1;Tevreden_2;NietTevredenNietOntevreden_3;Ontevreden_4;ZeerOntevreden_5;PvdA_6;CDA_7;VVD_8;D66_9;GROENLINKS_10;SGPChristenUnie_11;SP_12;LeefbaarNederland_13;LijstPimFortuyn_14;AnderePartij_15;NietOfBlancoStemmer_16;WeetNiet_17;HeeftGestemd_18;PvdA_19;CDA_20;VVD_21;D66_22;GROENLINKS_23;SGPChristenUnie_24;SP_25;LeefbaarNederland_26;LijstPimFortuyn_27;AnderePartij_28;BlancoStemmer_29;WeetNiet_30;ZeerGeinteresseerd_31;TamelijkGeinteresseerd_32;WeinigGeinteresseerd_33;GeenInteresse_34;IsActiefInGesprek_35;Luistert_36;LuistertNiet_37;LidPolitiekePartij_38;BezVergaderingenPolPartij15Tot30_39;BandMetPolitiekePartij_40;ZeerSterkeBand_41;TamelijkSterkeBand_42;MatigSterkeBand_43;ZwakTotZeerZwakkeBand_44;IsLidVanEenVakStudentenbond_45;BezoektVergWerkgNemersorgVakbond_46;OnbeperktMogelijkZijn_47;BeperktWorden_48;VolledigGestoptWorden_49;OnbeperktMogelijkZijn_50;BeperktWorden_51;VolledigGestoptWorden_52;OnbeperktMogelijkZijn_53;BeperktWorden_54;VolledigGestoptWorden_55;VeelMoeilijkerMaken_56;MoeilijkerMaken_57;NietMoeilijkerNietMakkelijkerMaken_58;MakkelijkerMaken_59;VeelMakkelijkerMaken_60;EigenCultuurVolledigBehouden_61;EigenCultuurGrotendeelsBehouden_62;CultuurNietBehoudenNietAanpassen_63;GrotendeelsAanpassenAanNLCultuur_64;VolledigAanpassenAanNLCultuur_65;HelemaalMeeEens_66;MeeEens_67;NietEensNietOneens_68;MeeOneens_69;HelemaalMeeOneens_70;HelemaalMeeEens_71;MeeEens_72;NietEensNietOneens_73;MeeOneens_74;HelemaalMeeOneens_75;GezinEtnischeMinderheid_76;NederlandsGezin_77;MagGeenVerschilMaken_78;WerknemerMetGezin_79;WerknemerZonderGezin_80;MagGeenVerschilMaken_81;EenBuitenlander_82;EenNederlander_83;MagGeenVerschilMaken_84;EenMan_85;EenVrouw_86;MagGeenVerschilMaken_87;EenJongere_88;EenOudere_89;MagGeenVerschilMaken_90;EenBlanke_91;AndereHuidskleur_92;MagGeenVerschilMaken_93;Hinderlijk_94;NietHinderlijk_95;WeetNiet_96;Hinderlijk_97;NietHinderlijk_98;WeetNiet_99;HeelErgBelangrijk_100;ErgBelangrijk_101;Belangrijk_102;IsErOnzekerOver_103;Onbelangrijk_104;HeelErgBelangrijk_105;ErgBelangrijk_106;Belangrijk_107;IsErOnzekerOver_108;Onbelangrijk_109;HeelErgBelangrijk_110;ErgBelangrijk_111;Belangrijk_112;IsErOnzekerOver_113;Onbelangrijk_114;HeelErgBelangrijk_115;ErgBelangrijk_116;Belangrijk_117;IsErOnzekerOver_118;Onbelangrijk_119;HeelErgBelangrijk_120;ErgBelangrijk_121;Belangrijk_122;IsErOnzekerOver_123;Onbelangrijk_124;HeelErgBelangrijk_125;ErgBelangrijk_126;Belangrijk_127;IsErOnzekerOver_128;Onbelangrijk_129;HeelErgBelangrijk_130;ErgBelangrijk_131;Belangrijk_132;IsErOnzekerOver_133;Onbelangrijk_134;HeelErgBelangrijk_135;ErgBelangrijk_136;Belangrijk_137;IsErOnzekerOver_138;Onbelangrijk_139;HeelErgBelangrijk_140;ErgBelangrijk_141;Belangrijk_142;IsErOnzekerOver_143;Onbelangrijk_144;HeelErgBelangrijk_145;ErgBelangrijk_146;Belangrijk_147;IsErOnzekerOver_148;Onbelangrijk_149;HeelErgBelangrijk_150;ErgBelangrijk_151;Belangrijk_152;IsErOnzekerOver_153;Onbelangrijk_154;HeelErgBelangrijk_155;ErgBelangrijk_156;Belangrijk_157;IsErOnzekerOver_158;Onbelangrijk_159;HeelErgBelangrijk_160;ErgBelangrijk_161;Belangrijk_162;IsErOnzekerOver_163;Onbelangrijk_164;HeelErgBelangrijk_165;ErgBelangrijk_166;Belangrijk_167;IsErOnzekerOver_168;Onbelangrijk_169;HelemaalGrotendeelsMeeEens_170;NietMeeEensNietMeeOneens_171;HelemaalNietMeeEens_172;HelemaalGrotendeelsMeeEens_173;NietMeeEensNietMeeOneens_174;HelemaalNietMeeEens_175;HelemaalGrotendeelsMeeEens_176;NietMeeEensNietMeeOneens_177;HelemaalNietMeeEens_178;HelemaalGrotendeelsMeeEens_179;NietMeeEensNietMeeOneens_180;HelemaalNietMeeEens_181;HelemaalGrotendeelsMeeEens_182;NietMeeEensNietMeeOneens_183;HelemaalNietMeeEens_184;HelemaalGrotendeelsMeeEens_185;NietMeeEensNietMeeOneens_186;HelemaalNietMeeEens_187;OverspelIsBreekpuntInRelatie_188;OverspelIsFoutMaarRelatieNietStuk_189;OverspelMoetMogelijkZijn_190;GeenMeningWeetNietWeigert_191
102;15 tot 25 jarigen;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;6.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62.0;23.0;15.0;36.0;26.0;37.0;67.0;17.0;15.0;36.0;33.0;30.0;70.0;13.0;15.0;13.0;22.0;64.0;77.0;15.0;2.0;6.0
103;15 tot 25 jarigen;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;25 tot 45 jarigen;1997;1.0;36.0;49.0;12.0;2.0;19.0;11.0;20.0;11.0;6.0;3.0;2.0;;;1.0;14.0;13.0;;;;;;;;;;;;;;9.0;42.0;32.0;17.0;42.0;43.0;15.0;2.0;2.0;56.0;11.0;47.0;38.0;5.0;19.0;9.0;10.0;75.0;15.0;24.0;65.0;11.0;9.0;69.0;22.0;20.0;28.0;34.0;12.0;5.0;4.0;8.0;36.0;32.0;20.0;3.0;19.0;26.0;31.0;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62.0;28.0;2.0;9.0
105;25 tot 45 jarigen;1998;1.0;42.0;45.0;10.0;2.0;24.0;10.0;21.0;8.0;8.0;4.0;3.0;;;1.0;13.0;8.0;79.0;29.0;12.0;26.0;10.0;10.0;6.0;4.0;;;2.0;1.0;1.0;10.0;43.0;31.0;17.0;44.0;40.0;15.0;3.0;;56.0;13.0;50.0;32.0;4.0;;;11.0;76.0;13.0;28.0;63.0;9.0;12.0;69.0;18.0;19.0;29.0;33.0;14.0;5.0;3.0;10.0;37.0;32.0;17.0;2.0;20.0;25.0;32.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;25 tot 45 jarigen;1999;1.0;33.0;51.0;14.0;2.0;20.0;10.0;21.0;6.0;10.0;3.0;3.0;;;1.0;15.0;11.0;;;;;;;;;;;;;;9.0;41.0;31.0;18.0;44.0;42.0;14.0;3.0;;57.0;13.0;48.0;34.0;5.0;;;10.0;76.0;14.0;29.0;61.0;10.0;14.0;69.0;17.0;18.0;27.0;34.0;13.0;8.0;3.0;8.0;38.0;33.0;18.0;3.0;24.0;24.0;33.0;16.0;16.0;56.0;14.0;10.0;4.0;1.0;15.0;84.0;3.0;33.0;64.0;5.0;2.0;93.0;1.0;3.0;96.0;19.0;11.0;70.0;1.0;2.0;98.0;10.0;84.0;6.0;5.0;91.0;4.0;14.0;13.0;30.0;4.0;39.0;40.0;29.0;23.0;2.0;7.0;56.0;21.0;11.0;4.0;8.0;51.0;27.0;17.0;1.0;3.0;20.0;30.0;45.0;2.0;4.0;18.0;25.0;53.0;1.0;2.0;19.0;31.0;42.0;3.0;4.0;15.0;31.0;48.0;3.0;3.0;6.0;13.0;43.0;19.0;19.0;12.0;25.0;45.0;10.0;7.0;11.0;18.0;38.0;18.0;16.0;13.0;25.0;47.0;9.0;7.0;54.0;29.0;15.0;1.0;0.0;39.0;34.0;26.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;
107;25 tot 45 jarigen;2000;1.0;39.0;48.0;11.0;2.0;20.0;10.0;20.0;5.0;9.0;3.0;2.0;;;1.0;16.0;13.0;;;;;;;;;;;;;;9.0;40.0;31.0;20.0;43.0;41.0;15.0;3.0;;56.0;13.0;47.0;35.0;5.0;;;11.0;76.0;13.0;32.0;62.0;7.0;14.0;71.0;15.0;18.0;27.0;34.0;14.0;7.0;3.0;8.0;37.0;34.0;19.0;4.0;22.0;24.0;34.0;16.0;17.0;58.0;14.0;9.0;3.0;1.0;13.0;86.0;2.0;32.0;66.0;4.0;1.0;95.0;1.0;2.0;97.0;16.0;10.0;74.0;1.0;2.0;97.0;10.0;83.0;6.0;4.0;91.0;5.0;11.0;12.0;32.0;5.0;39.0;40.0;28.0;23.0;3.0;6.0;56.0;20.0;11.0;4.0;8.0;51.0;27.0;18.0;2.0;3.0;20.0;28.0;45.0;3.0;4.0;17.0;26.0;52.0;2.0;2.0;19.0;30.0;43.0;3.0;4.0;14.0;31.0;50.0;3.0;3.0;6.0;13.0;45.0;17.0;19.0;13.0;25.0;44.0;10.0;8.0;9.0;17.0;39.0;19.0;15.0;12.0;23.0;48.0;10.0;6.0;56.0;29.0;15.0;0.0;0.0;42.0;33.0;24.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;
108;25 tot 45 jarigen;2001;1.0;37.0;48.0;12.0;2.0;20.0;9.0;19.0;4.0;8.0;3.0;2.0;;;2.0;16.0;16.0;;;;;;;;;;;;;;9.0;42.0;31.0;18.0;48.0;40.0;12.0;2.0;2.0;53.0;11.0;47.0;37.0;5.0;19.0;9.0;9.0;78.0;13.0;29.0;65.0;6.0;14.0;72.0;14.0;18.0;28.0;35.0;14.0;5.0;3.0;7.0;36.0;37.0;18.0;3.0;20.0;25.0;34.0;17.0;16.0;56.0;15.0;9.0;4.0;1.0;14.0;85.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65.0;18.0;16.0;43.0;26.0;29.0;74.0;13.0;12.0;35.0;33.0;32.0;74.0;10.0;15.0;14.0;22.0;62.0;70.0;23.0;1.0;6.0
109;25 tot 45 jarigen;2002;1.0;23.0;46.0;24.0;6.0;13.0;19.0;16.0;4.0;7.0;3.0;6.0;3.0;4.0;1.0;9.0;15.0;88.0;17.0;28.0;16.0;7.0;10.0;5.0;6.0;2.0;9.0;1.0;0.0;0.0;14.0;45.0;27.0;14.0;53.0;37.0;10.0;3.0;;55.0;13.0;50.0;33.0;4.0;;;7.0;79.0;14.0;27.0;66.0;7.0;13.0;71.0;16.0;18.0;26.0;35.0;15.0;6.0;2.0;6.0;33.0;36.0;23.0;3.0;20.0;25.0;35.0;18.0;14.0;56.0;15.0;9.0;5.0;0.0;14.0;86.0;;;;;;;;;;;;;;;;;;;;;;14.0;15.0;29.0;5.0;36.0;42.0;30.0;21.0;2.0;4.0;60.0;20.0;11.0;3.0;6.0;54.0;30.0;14.0;1.0;2.0;19.0;29.0;46.0;3.0;4.0;17.0;26.0;53.0;2.0;2.0;19.0;32.0;41.0;4.0;4.0;14.0;32.0;49.0;3.0;2.0;5.0;12.0;43.0;19.0;21.0;11.0;24.0;46.0;10.0;9.0;11.0;18.0;40.0;17.0;14.0;11.0;25.0;47.0;10.0;6.0;55.0;29.0;15.0;1.0;0.0;42.0;36.0;21.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;
110;25 tot 45 jarigen;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;19.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64.0;17.0;18.0;41.0;26.0;32.0;72.0;15.0;13.0;37.0;32.0;30.0;75.0;10.0;14.0;15.0;22.0;63.0;71.0;22.0;1.0;5.0
111;25 tot 45 jarigen;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;45 tot 65 jarigen;1997;1.0;35.0;45.0;16.0;3.0;23.0;17.0;19.0;7.0;4.0;3.0;3.0;;;2.0;12.0;11.0;;;;;;;;;;;;;;13.0;44.0;26.0;16.0;45.0;41.0;15.0;7.0;;65.0;15.0;40.0;40.0;5.0;;;8.0;71.0;22.0;24.0;61.0;15.0;7.0;63.0;29.0;27.0;25.0;35.0;8.0;6.0;5.0;5.0;36.0;24.0;30.0;2.0;17.0;22.0;33.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;45 tot 65 jarigen;1998;1.0;40.0;42.0;14.0;3.0;28.0;16.0;20.0;6.0;6.0;3.0;3.0;;;1.0;10.0;7.0;87.0;30.0;19.0;24.0;9.0;6.0;4.0;4.0;;;2.0;1.0;1.0;15.0;45.0;26.0;15.0;48.0;38.0;14.0;6.0;;67.0;17.0;46.0;34.0;3.0;;;9.0;74.0;17.0;28.0;59.0;13.0;11.0;63.0;27.0;26.0;25.0;34.0;10.0;5.0;3.0;6.0;35.0;28.0;27.0;3.0;19.0;23.0;33.0;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;45 tot 65 jarigen;1999;1.0;32.0;46.0;18.0;4.0;23.0;16.0;19.0;4.0;8.0;3.0;3.0;;;1.0;12.0;9.0;;;;;;;;;;;;;;15.0;43.0;25.0;16.0;48.0;38.0;13.0;6.0;;65.0;16.0;43.0;35.0;5.0;;;8.0;75.0;17.0;29.0;60.0;11.0;9.0;66.0;25.0;24.0;24.0;34.0;12.0;7.0;3.0;6.0;38.0;27.0;26.0;3.0;20.0;23.0;34.0;20.0;17.0;58.0;11.0;10.0;6.0;1.0;22.0;77.0;4.0;38.0;58.0;10.0;3.0;87.0;2.0;6.0;92.0;18.0;16.0;66.0;1.0;3.0;95.0;13.0;79.0;8.0;7.0;88.0;5.0;17.0;16.0;36.0;4.0;27.0;36.0;29.0;30.0;2.0;3.0;54.0;24.0;16.0;1.0;5.0;46.0;29.0;21.0;1.0;2.0;13.0;23.0;52.0;4.0;8.0;16.0;23.0;57.0;2.0;2.0;13.0;28.0;49.0;5.0;5.0;17.0;28.0;50.0;3.0;2.0;8.0;16.0;44.0;17.0;16.0;13.0;23.0;44.0;12.0;8.0;12.0;18.0;38.0;20.0;12.0;13.0;23.0;47.0;10.0;6.0;43.0;28.0;27.0;1.0;1.0;25.0;33.0;38.0;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;
115;45 tot 65 jarigen;2000;1.0;36.0;44.0;16.0;3.0;23.0;15.0;19.0;4.0;7.0;3.0;3.0;;;1.0;13.0;12.0;;;;;;;;;;;;;;13.0;43.0;27.0;17.0;48.0;39.0;13.0;5.0;;64.0;13.0;42.0;40.0;5.0;;;8.0;74.0;18.0;32.0;59.0;9.0;10.0;67.0;23.0;23.0;24.0;36.0;11.0;6.0;3.0;6.0;34.0;29.0;28.0;2.0;25.0;22.0;34.0;17.0;18.0;56.0;10.0;11.0;5.0;1.0;17.0;83.0;4.0;38.0;58.0;10.0;2.0;88.0;1.0;5.0;94.0;17.0;13.0;69.0;1.0;3.0;96.0;11.0;83.0;6.0;6.0;89.0;5.0;16.0;15.0;37.0;3.0;29.0;36.0;31.0;29.0;2.0;2.0;57.0;23.0;15.0;2.0;3.0;47.0;30.0;20.0;1.0;2.0;13.0;23.0;51.0;3.0;10.0;15.0;24.0;57.0;2.0;2.0;13.0;27.0;49.0;4.0;7.0;15.0;31.0;50.0;2.0;2.0;8.0;17.0;46.0;15.0;14.0;13.0;23.0;45.0;11.0;7.0;13.0;18.0;40.0;18.0;11.0;14.0;26.0;45.0;10.0;5.0;45.0;30.0;25.0;0.0;0.0;30.0;32.0;35.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
116;45 tot 65 jarigen;2001;1.0;36.0;43.0;17.0;3.0;23.0;15.0;18.0;4.0;7.0;3.0;3.0;;;3.0;11.0;13.0;;;;;;;;;;;;;;15.0;44.0;26.0;16.0;51.0;37.0;12.0;6.0;;64.0;13.0;44.0;37.0;6.0;;;8.0;74.0;18.0;32.0;59.0;10.0;11.0;67.0;23.0;25.0;23.0;33.0;13.0;6.0;4.0;5.0;35.0;28.0;28.0;3.0;25.0;21.0;34.0;17.0;16.0;59.0;10.0;10.0;4.0;0.0;21.0;79.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;45 tot 65 jarigen;2002;1.0;23.0;42.0;28.0;6.0;17.0;23.0;14.0;4.0;6.0;3.0;6.0;2.0;4.0;1.0;7.0;13.0;90.0;17.0;28.0;16.0;7.0;7.0;3.0;6.0;2.0;13.0;0.0;0.0;1.0;19.0;48.0;22.0;12.0;56.0;34.0;10.0;5.0;;65.0;16.0;45.0;35.0;5.0;;;7.0;75.0;17.0;31.0;59.0;10.0;9.0;67.0;25.0;22.0;25.0;35.0;11.0;7.0;1.0;5.0;33.0;31.0;29.0;2.0;22.0;20.0;38.0;18.0;15.0;57.0;13.0;11.0;5.0;0.0;19.0;81.0;;;;;;;;;;;;;;;;;;;;;;16.0;14.0;37.0;4.0;28.0;39.0;30.0;26.0;2.0;3.0;57.0;23.0;15.0;1.0;4.0;48.0;30.0;19.0;1.0;2.0;14.0;23.0;52.0;4.0;7.0;17.0;23.0;57.0;2.0;1.0;14.0;29.0;48.0;4.0;5.0;15.0;30.0;50.0;3.0;1.0;6.0;13.0;49.0;17.0;15.0;12.0;22.0;48.0;11.0;7.0;11.0;18.0;42.0;19.0;10.0;12.0;24.0;45.0;13.0;6.0;46.0;30.0;23.0;1.0;0.0;32.0;31.0;34.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
118;45 tot 65 jarigen;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;45 tot 65 jarigen;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;65 jarigen of ouder;1997;1.0;36.0;43.0;17.0;3.0;22.0;27.0;14.0;2.0;2.0;4.0;2.0;;;3.0;14.0;10.0;;;;;;;;;;;;;;16.0;38.0;23.0;23.0;34.0;42.0;23.0;8.0;;65.0;22.0;39.0;33.0;5.0;;;4.0;70.0;25.0;16.0;64.0;20.0;5.0;61.0;34.0;31.0;22.0;35.0;8.0;4.0;5.0;5.0;31.0;21.0;39.0;1.0;10.0;22.0;37.0;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;65 jarigen of ouder;1998;2.0;38.0;41.0;15.0;4.0;26.0;27.0;15.0;3.0;3.0;4.0;2.0;;;2.0;12.0;7.0;84.0;31.0;32.0;18.0;5.0;2.0;4.0;3.0;;;3.0;1.0;0.0;16.0;39.0;23.0;22.0;39.0;39.0;23.0;10.0;;67.0;20.0;46.0;30.0;5.0;;;5.0;75.0;20.0;19.0;63.0;18.0;6.0;62.0;33.0;30.0;24.0;37.0;4.0;5.0;5.0;4.0;28.0;20.0;44.0;1.0;11.0;25.0;31.0;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;65 jarigen of ouder;1999;1.0;31.0;43.0;20.0;5.0;22.0;27.0;15.0;2.0;4.0;4.0;2.0;;;2.0;16.0;8.0;;;;;;;;;;;;;;16.0;38.0;24.0;23.0;39.0;40.0;21.0;9.0;;67.0;23.0;39.0;33.0;5.0;;;6.0;71.0;24.0;22.0;61.0;17.0;6.0;60.0;34.0;29.0;24.0;34.0;7.0;6.0;4.0;4.0;29.0;19.0;43.0;1.0;15.0;24.0;34.0;26.0;13.0;52.0;14.0;13.0;8.0;1.0;37.0;63.0;8.0;51.0;41.0;20.0;8.0;73.0;3.0;16.0;81.0;22.0;24.0;54.0;5.0;8.0;88.0;14.0;74.0;12.0;10.0;78.0;12.0;22.0;18.0;35.0;5.0;21.0;39.0;28.0;27.0;1.0;5.0;50.0;26.0;18.0;2.0;4.0;47.0;27.0;22.0;1.0;3.0;16.0;24.0;43.0;4.0;12.0;14.0;26.0;55.0;2.0;2.0;16.0;27.0;45.0;6.0;7.0;17.0;28.0;50.0;3.0;2.0;9.0;13.0;42.0;20.0;16.0;12.0;18.0;44.0;16.0;10.0;8.0;14.0;35.0;30.0;13.0;11.0;20.0;45.0;13.0;11.0;34.0;27.0;36.0;2.0;1.0;19.0;25.0;47.0;4.0;6.0;;;;;;;;;;;;;;;;;;;;;;
123;65 jarigen of ouder;2000;1.0;37.0;41.0;17.0;3.0;21.0;26.0;15.0;1.0;3.0;4.0;2.0;;;1.0;15.0;11.0;;;;;;;;;;;;;;14.0;36.0;26.0;24.0;38.0;40.0;22.0;6.0;;66.0;18.0;41.0;36.0;5.0;;;5.0;73.0;23.0;21.0;63.0;16.0;7.0;65.0;28.0;30.0;18.0;39.0;8.0;5.0;3.0;3.0;29.0;21.0;43.0;2.0;18.0;23.0;39.0;18.0;13.0;55.0;12.0;14.0;5.0;1.0;33.0;66.0;8.0;48.0;45.0;18.0;6.0;76.0;2.0;14.0;84.0;19.0;20.0;61.0;3.0;7.0;91.0;13.0;75.0;13.0;10.0;77.0;13.0;19.0;15.0;39.0;5.0;22.0;38.0;28.0;28.0;2.0;3.0;53.0;22.0;19.0;2.0;4.0;49.0;26.0;21.0;2.0;3.0;15.0;25.0;46.0;3.0;11.0;17.0;24.0;55.0;2.0;2.0;14.0;27.0;47.0;7.0;5.0;16.0;28.0;52.0;3.0;1.0;8.0;16.0;42.0;20.0;14.0;9.0;16.0;49.0;17.0;9.0;8.0;11.0;40.0;29.0;12.0;11.0;17.0;50.0;15.0;8.0;33.0;29.0;35.0;2.0;0.0;19.0;27.0;46.0;5.0;3.0;;;;;;;;;;;;;;;;;;;;;;
124;65 jarigen of ouder;2001;1.0;36.0;40.0;20.0;3.0;21.0;24.0;15.0;2.0;3.0;4.0;2.0;;;3.0;15.0;11.0;;;;;;;;;;;;;;17.0;38.0;24.0;21.0;41.0;41.0;18.0;6.0;;65.0;20.0;41.0;35.0;5.0;;;4.0;73.0;23.0;23.0;62.0;15.0;6.0;63.0;30.0;26.0;24.0;38.0;5.0;6.0;3.0;5.0;29.0;23.0;41.0;2.0;20.0;19.0;40.0;19.0;13.0;57.0;10.0;15.0;5.0;1.0;33.0;67.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;65 jarigen of ouder;2002;1.0;27.0;40.0;27.0;6.0;18.0;34.0;11.0;2.0;2.0;4.0;3.0;2.0;3.0;1.0;10.0;11.0;86.0;20.0;49.0;14.0;3.0;2.0;2.0;2.0;0.0;7.0;1.0;0.0;0.0;21.0;38.0;23.0;19.0;46.0;36.0;18.0;8.0;;65.0;23.0;44.0;29.0;4.0;;;5.0;76.0;20.0;20.0;64.0;16.0;4.0;65.0;31.0;26.0;18.0;41.0;8.0;7.0;3.0;3.0;31.0;22.0;41.0;2.0;19.0;23.0;40.0;17.0;10.0;56.0;15.0;12.0;6.0;1.0;32.0;67.0;;;;;;;;;;;;;;;;;;;;;;17.0;17.0;37.0;5.0;23.0;37.0;33.0;26.0;1.0;3.0;52.0;27.0;16.0;2.0;2.0;49.0;29.0;19.0;1.0;2.0;12.0;23.0;49.0;3.0;13.0;15.0;25.0;56.0;1.0;2.0;14.0;27.0;51.0;5.0;3.0;14.0;31.0;49.0;4.0;2.0;6.0;12.0;49.0;18.0;14.0;9.0;16.0;50.0;17.0;8.0;6.0;11.0;40.0;30.0;13.0;10.0;19.0;47.0;16.0;8.0;33.0;31.0;35.0;1.0;0.0;21.0;28.0;44.0;4.0;3.0;;;;;;;;;;;;;;;;;;;;;;
126;65 jarigen of ouder;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;65 jarigen of ouder;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;0 tot 15 jarigen;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.0;10.0;2.0;45.0
