ID;Services;Countries;Periods;ImportsOfServices_1;ExportsOfServices_2;NetServices_3
311;S Total Services;Bolivia;2020 2nd quarter;2.0;10.0;9.0
312;S Total Services;Bolivia;2020 3rd quarter;1.0;9.0;8.0
313;S Total Services;Bolivia;2020 4th quarter;2.0;11.0;9.0
314;S Total Services;Bolivia;2020;7.0;41.0;34.0
315;S Total Services;Bonaire, Sint Eustatius and Saba;2014 1st quarter;5.0;2.0;-3.0
316;S Total Services;Bonaire, Sint Eustatius and Saba;2014 2nd quarter;3.0;2.0;-1.0
317;S Total Services;Bonaire, Sint Eustatius and Saba;2014 3rd quarter;9.0;4.0;-5.0
318;S Total Services;Bonaire, Sint Eustatius and Saba;2014 4th quarter;9.0;2.0;-7.0
319;S Total Services;Bonaire, Sint Eustatius and Saba;2014;27.0;10.0;-17.0
320;S Total Services;Bonaire, Sint Eustatius and Saba;2015 1st quarter;18.0;4.0;-14.0
321;S Total Services;Bonaire, Sint Eustatius and Saba;2015 2nd quarter;13.0;5.0;-8.0
322;S Total Services;Bonaire, Sint Eustatius and Saba;2015 3rd quarter;24.0;6.0;-17.0
323;S Total Services;Bonaire, Sint Eustatius and Saba;2015 4th quarter;9.0;4.0;-5.0
324;S Total Services;Bonaire, Sint Eustatius and Saba;2015;64.0;19.0;-44.0
325;S Total Services;Bonaire, Sint Eustatius and Saba;2016 1st quarter;2.0;3.0;1.0
326;S Total Services;Bonaire, Sint Eustatius and Saba;2016 2nd quarter;6.0;4.0;-2.0
327;S Total Services;Bonaire, Sint Eustatius and Saba;2016 3rd quarter;10.0;6.0;-4.0
328;S Total Services;Bonaire, Sint Eustatius and Saba;2016 4th quarter;17.0;5.0;-12.0
329;S Total Services;Bonaire, Sint Eustatius and Saba;2016;35.0;18.0;-17.0
330;S Total Services;Bonaire, Sint Eustatius and Saba;2017 1st quarter;28.0;6.0;-23.0
331;S Total Services;Bonaire, Sint Eustatius and Saba;2017 2nd quarter;4.0;3.0;-1.0
332;S Total Services;Bonaire, Sint Eustatius and Saba;2017 3rd quarter;13.0;8.0;-5.0
333;S Total Services;Bonaire, Sint Eustatius and Saba;2017 4th quarter;11.0;5.0;-6.0
334;S Total Services;Bonaire, Sint Eustatius and Saba;2017;56.0;22.0;-35.0
335;S Total Services;Bonaire, Sint Eustatius and Saba;2018 1st quarter;22.0;6.0;-16.0
336;S Total Services;Bonaire, Sint Eustatius and Saba;2018 2nd quarter;7.0;5.0;-2.0
337;S Total Services;Bonaire, Sint Eustatius and Saba;2018 3rd quarter;11.0;7.0;-4.0
338;S Total Services;Bonaire, Sint Eustatius and Saba;2018 4th quarter;23.0;6.0;-17.0
339;S Total Services;Bonaire, Sint Eustatius and Saba;2018;63.0;24.0;-39.0
340;S Total Services;Bonaire, Sint Eustatius and Saba;2019 1st quarter;13.0;3.0;-10.0
341;S Total Services;Bonaire, Sint Eustatius and Saba;2019 2nd quarter;15.0;6.0;-10.0
342;S Total Services;Bonaire, Sint Eustatius and Saba;2019 3rd quarter;4.0;3.0;-1.0
343;S Total Services;Bonaire, Sint Eustatius and Saba;2019 4th quarter;22.0;17.0;-5.0
344;S Total Services;Bonaire, Sint Eustatius and Saba;2019;54.0;28.0;-26.0
345;S Total Services;Bonaire, Sint Eustatius and Saba;2020 1st quarter;15.0;4.0;-11.0
346;S Total Services;Bonaire, Sint Eustatius and Saba;2020 2nd quarter;1.0;3.0;2.0
347;S Total Services;Bonaire, Sint Eustatius and Saba;2020 3rd quarter;6.0;3.0;-2.0
348;S Total Services;Bonaire, Sint Eustatius and Saba;2020 4th quarter;2.0;4.0;2.0
349;S Total Services;Bonaire, Sint Eustatius and Saba;2020;24.0;14.0;-10.0
350;S Total Services;Brazil;2014 1st quarter;199.0;424.0;224.0
351;S Total Services;Brazil;2014 2nd quarter;170.0;379.0;208.0
352;S Total Services;Brazil;2014 3rd quarter;302.0;452.0;150.0
353;S Total Services;Brazil;2014 4th quarter;319.0;444.0;125.0
354;S Total Services;Brazil;2014;990.0;1699.0;708.0
355;S Total Services;Brazil;2015 1st quarter;411.0;440.0;29.0
356;S Total Services;Brazil;2015 2nd quarter;489.0;401.0;-87.0
357;S Total Services;Brazil;2015 3rd quarter;742.0;376.0;-366.0
358;S Total Services;Brazil;2015 4th quarter;559.0;406.0;-153.0
359;S Total Services;Brazil;2015;2201.0;1623.0;-578.0
360;S Total Services;Brazil;2016 1st quarter;473.0;426.0;-47.0
361;S Total Services;Brazil;2016 2nd quarter;234.0;400.0;166.0
362;S Total Services;Brazil;2016 3rd quarter;392.0;392.0;0.0
363;S Total Services;Brazil;2016 4th quarter;386.0;315.0;-70.0
364;S Total Services;Brazil;2016;1484.0;1533.0;49.0
365;S Total Services;Brazil;2017 1st quarter;418.0;381.0;-37.0
366;S Total Services;Brazil;2017 2nd quarter;436.0;431.0;-4.0
367;S Total Services;Brazil;2017 3rd quarter;404.0;431.0;27.0
368;S Total Services;Brazil;2017 4th quarter;331.0;447.0;116.0
369;S Total Services;Brazil;2017;1589.0;1691.0;102.0
370;S Total Services;Brazil;2018 1st quarter;446.0;373.0;-72.0
371;S Total Services;Brazil;2018 2nd quarter;470.0;349.0;-121.0
372;S Total Services;Brazil;2018 3rd quarter;583.0;357.0;-226.0
373;S Total Services;Brazil;2018 4th quarter;424.0;588.0;163.0
374;S Total Services;Brazil;2018;1924.0;1667.0;-256.0
375;S Total Services;Brazil;2019 1st quarter;418.0;344.0;-74.0
376;S Total Services;Brazil;2019 2nd quarter;274.0;377.0;103.0
377;S Total Services;Brazil;2019 3rd quarter;841.0;372.0;-469.0
378;S Total Services;Brazil;2019 4th quarter;642.0;607.0;-35.0
379;S Total Services;Brazil;2019;2175.0;1701.0;-475.0
380;S Total Services;Brazil;2020 1st quarter;324.0;581.0;257.0
381;S Total Services;Brazil;2020 2nd quarter;281.0;553.0;272.0
382;S Total Services;Brazil;2020 3rd quarter;196.0;424.0;228.0
383;S Total Services;Brazil;2020 4th quarter;236.0;372.0;137.0
384;S Total Services;Brazil;2020;1037.0;1930.0;893.0
385;S Total Services;Bulgaria;2014 1st quarter;49.0;41.0;-9.0
386;S Total Services;Bulgaria;2014 2nd quarter;45.0;32.0;-12.0
387;S Total Services;Bulgaria;2014 3rd quarter;52.0;38.0;-14.0
388;S Total Services;Bulgaria;2014 4th quarter;48.0;42.0;-6.0
389;S Total Services;Bulgaria;2014;194.0;153.0;-41.0
390;S Total Services;Bulgaria;2015 1st quarter;52.0;36.0;-16.0
391;S Total Services;Bulgaria;2015 2nd quarter;51.0;37.0;-14.0
392;S Total Services;Bulgaria;2015 3rd quarter;74.0;42.0;-33.0
393;S Total Services;Bulgaria;2015 4th quarter;66.0;38.0;-28.0
394;S Total Services;Bulgaria;2015;243.0;153.0;-90.0
395;S Total Services;Bulgaria;2016 1st quarter;59.0;36.0;-23.0
