ID;Landen;Jaren;Totaal_1;Mannen_2;Vrouwen_3;k_1524Jaar_4;k_2544Jaar_5;k_45Jaar_6;LandbouwVisserij_7;DelfstoffenwIndustrieOpNutsbedr_8;Bouwnijverheid_9;ReparatieHandel_10;Horeca_11;VervoerCommunicatie_12;FinancieleInstZakelijkeDienstv_13;OpenbaarBestuur_14;Onderwijs_15;GezondheidsEnWelzijnszorg_16;CultuurOvDienstverlHuishPersoneel_17
13;Totaal;1996;218;145;72;35;144;39;7.0;68.0;9.0;29.0;15.0;10.0;26.0;9.0;8.0;22.0;16.0
14;Totaal;1997;208;142;66;32;130;46;6.0;69.0;9.0;26.0;12.0;9.0;25.0;8.0;9.0;21.0;13.0
15;Totaal;1998;224;144;79;35;145;43;5.0;60.0;8.0;34.0;18.0;13.0;34.0;8.0;9.0;16.0;9.0
16;België;1979;25;16;9;6;13;5;;;;;;;;;;;
17;België;1981;24;15;9;6;13;5;;;;;;;;;;;
18;België;1983;22;14;8;4;12;5;;;;;;;;;;;
19;België;1985;22;14;8;4;13;5;;;;;;;;;;;
20;België;1987;24;15;9;5;14;5;;;;;;;;;;;
21;België;1988;25;16;9;5;15;5;;;;;;;;;;;
22;België;1989;24;15;9;4;15;5;;;;;;;;;;;
23;België;1990;24;15;9;4;15;5;;;;;;;;;;;
24;België;1991;24;14;10;4;15;5;;;;;;;;;;;
25;België;1992;24;14;10;3;15;5;;;;;;;;;;;
26;België;1993;23;14;9;3;14;5;;;;;;;;;;;
27;België;1994;22;13;9;3;14;5;;;;;;;;;;;
28;België;1995;22;13;9;1;16;6;;;;;;;;;;;
29;België;1996;23;14;9;2;15;6;0.0;14.0;0.0;2.0;1.0;0.0;1.0;1.0;1.0;2.0;1.0
30;België;1997;23;13;10;2;15;5;0.0;15.0;0.0;2.0;0.0;0.0;2.0;0.0;1.0;1.0;1.0
31;België;1998;24;12;12;3;16;5;0.0;8.0;1.0;3.0;1.0;1.0;3.0;1.0;1.0;4.0;1.0
32;Bondsrepubliek Duitsland;1979;15;12;3;2;11;2;;;;;;;;;;;
33;Bondsrepubliek Duitsland;1981;16;12;4;2;11;3;;;;;;;;;;;
34;Bondsrepubliek Duitsland;1983;16;12;4;2;10;2;;;;;;;;;;;
35;Bondsrepubliek Duitsland;1985;16;12;4;2;11;2;;;;;;;;;;;
36;Bondsrepubliek Duitsland;1987;17;12;5;3;11;4;;;;;;;;;;;
37;Bondsrepubliek Duitsland;1988;19;13;6;4;11;4;;;;;;;;;;;
38;Bondsrepubliek Duitsland;1989;19;13;6;4;12;5;;;;;;;;;;;
39;Bondsrepubliek Duitsland;1990;17;12;5;4;10;5;;;;;;;;;;;
40;Bondsrepubliek Duitsland;1991;18;11;7;3;11;4;;;;;;;;;;;
41;Bondsrepubliek Duitsland;1992;17;12;5;4;10;4;;;;;;;;;;;
42;Bondsrepubliek Duitsland;1993;15;11;4;1;9;5;;;;;;;;;;;
43;Bondsrepubliek Duitsland;1994;16;12;4;2;10;3;;;;;;;;;;;
44;Bondsrepubliek Duitsland;1995;16;11;5;2;9;3;;;;;;;;;;;
45;Bondsrepubliek Duitsland;1996;17;11;6;2;12;3;0.0;6.0;1.0;3.0;1.0;1.0;2.0;0.0;1.0;2.0;1.0
46;Bondsrepubliek Duitsland;1997;14;10;4;1;8;4;0.0;5.0;2.0;2.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
47;Bondsrepubliek Duitsland;1998;21;12;9;2;14;6;0.0;5.0;1.0;4.0;1.0;1.0;3.0;1.0;2.0;2.0;0.0
48;Verenigd Koninkrijk;1979;13;10;3;3;10;1;;;;;;;;;;;
49;Verenigd Koninkrijk;1981;15;12;3;3;11;1;;;;;;;;;;;
50;Verenigd Koninkrijk;1983;16;12;4;2;12;2;;;;;;;;;;;
51;Verenigd Koninkrijk;1985;15;11;4;2;11;2;;;;;;;;;;;
52;Verenigd Koninkrijk;1987;16;12;4;2;12;2;;;;;;;;;;;
53;Verenigd Koninkrijk;1988;16;12;4;2;12;2;;;;;;;;;;;
54;Verenigd Koninkrijk;1989;18;13;5;2;12;2;;;;;;;;;;;
55;Verenigd Koninkrijk;1990;18;13;5;2;13;3;;;;;;;;;;;
56;Verenigd Koninkrijk;1991;20;14;6;2;14;3;;;;;;;;;;;
57;Verenigd Koninkrijk;1992;21;15;6;2;15;3;;;;;;;;;;;
58;Verenigd Koninkrijk;1993;21;15;6;2;15;4;;;;;;;;;;;
59;Verenigd Koninkrijk;1994;21;15;6;2;15;4;;;;;;;;;;;
60;Verenigd Koninkrijk;1995;22;15;7;2;15;5;;;;;;;;;;;
61;Verenigd Koninkrijk;1996;20;13;7;2;12;6;0.0;4.0;1.0;4.0;0.0;1.0;3.0;1.0;2.0;3.0;1.0
62;Verenigd Koninkrijk;1997;23;15;8;1;12;9;0.0;5.0;1.0;4.0;1.0;1.0;3.0;1.0;2.0;3.0;2.0
63;Verenigd Koninkrijk;1998;22;16;6;2;13;6;0.0;5.0;2.0;3.0;1.0;1.0;4.0;1.0;2.0;1.0;1.0
64;Turkije;1979;39;33;6;7;27;4;1.0;25.0;2.0;2.0;0.0;4.0;0.0;1.0;0.0;1.0;1.0
65;Turkije;1981;42;35;7;11;25;5;1.0;26.0;4.0;3.0;1.0;4.0;0.0;1.0;0.0;1.0;1.0
66;Turkije;1983;36;30;6;10;21;6;1.0;24.0;2.0;2.0;0.0;3.0;0.0;1.0;0.0;1.0;1.0
67;Turkije;1985;35;29;6;10;18;7;1.0;19.0;2.0;2.0;1.0;3.0;3.0;1.0;0.0;1.0;2.0
68;Turkije;1987;34;28;6;10;18;6;1.0;18.0;5.0;4.0;1.0;3.0;0.0;1.0;0.0;1.0;2.0
69;Turkije;1988;33;27;6;9;18;5;1.0;16.0;5.0;4.0;1.0;3.0;0.0;1.0;0.0;1.0;2.0
70;Turkije;1989;36;29;7;10;20;5;1.0;15.0;4.0;4.0;1.0;3.0;3.0;2.0;0.0;1.0;2.0
71;Turkije;1990;40;32;8;13;22;5;2.0;17.0;4.0;5.0;1.0;3.0;3.0;2.0;0.0;1.0;2.0
72;Turkije;1991;45;35;10;14;26;5;2.0;21.0;2.0;5.0;1.0;3.0;4.0;2.0;0.0;2.0;2.0
73;Turkije;1992;49;37;12;14;29;6;2.0;20.0;4.0;8.0;2.0;3.0;3.0;2.0;0.0;2.0;3.0
74;Turkije;1993;44;33;11;14;25;4;2.0;18.0;4.0;6.0;2.0;3.0;3.0;2.0;0.0;2.0;2.0
75;Turkije;1994;41;31;10;13;24;4;2.0;17.0;2.0;6.0;2.0;3.0;3.0;2.0;0.0;2.0;2.0
76;Turkije;1995;39;32;7;10;24;6;2.0;17.0;2.0;6.0;2.0;3.0;3.0;2.0;0.0;1.0;2.0
77;Turkije;1996;33;27;6;9;21;3;2.0;14.0;2.0;5.0;1.0;2.0;3.0;1.0;0.0;1.0;1.0
78;Turkije;1997;29;25;4;9;18;3;1.0;12.0;2.0;4.0;1.0;2.0;2.0;1.0;0.0;1.0;1.0
79;Turkije;1998;26;19;7;6;18;3;1.0;11.0;1.0;3.0;3.0;2.0;3.0;0.0;1.0;1.0;0.0
80;Spanje;1979;11;8;3;1;8;2;;;;;;;;;;;
81;Spanje;1981;11;8;3;2;7;2;;;;;;;;;;;
82;Spanje;1983;9;6;3;2;5;3;;;;;;;;;;;
83;Spanje;1985;7;5;2;2;4;3;;;;;;;;;;;
84;Spanje;1987;8;5;3;2;4;3;;;;;;;;;;;
85;Spanje;1988;8;5;3;2;4;3;;;;;;;;;;;
86;Spanje;1989;8;5;3;2;4;2;;;;;;;;;;;
87;Spanje;1990;8;5;3;2;4;3;;;;;;;;;;;
88;Spanje;1991;8;5;3;2;4;3;;;;;;;;;;;
89;Spanje;1992;8;5;3;2;4;3;;;;;;;;;;;
90;Spanje;1993;8;5;3;2;3;3;;;;;;;;;;;
91;Spanje;1994;7;4;3;2;3;2;;;;;;;;;;;
92;Spanje;1995;8;5;3;1;5;2;;;;;;;;;;;
93;Spanje;1996;8;6;2;1;4;3;0.0;3.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0
94;Spanje;1997;11;8;2;2;6;3;0.0;4.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0
95;Spanje;1998;11;7;4;1;5;5;0.0;4.0;1.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0
96;Marokko;1979;29;26;3;4;21;3;2.0;18.0;3.0;2.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0
97;Marokko;1981;29;26;3;6;20;4;2.0;17.0;3.0;2.0;1.0;0.0;0.0;1.0;0.0;3.0;0.0
98;Marokko;1983;26;23;3;5;15;5;2.0;14.0;3.0;2.0;1.0;0.0;0.0;1.0;0.0;3.0;0.0
99;Marokko;1985;25;21;4;6;14;6;2.0;14.0;2.0;2.0;1.0;0.0;0.0;1.0;0.0;3.0;0.0
100;Marokko;1987;24;20;4;5;13;4;2.0;13.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;4.0;0.0
101;Marokko;1988;23;19;4;5;12;4;2.0;12.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;4.0;0.0
102;Marokko;1989;25;20;5;7;13;5;2.0;11.0;5.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;0.0
103;Marokko;1990;27;22;5;8;15;5;4.0;11.0;2.0;2.0;1.0;0.0;0.0;1.0;0.0;4.0;0.0
104;Marokko;1991;31;24;7;9;16;4;2.0;13.0;2.0;3.0;2.0;0.0;0.0;1.0;0.0;5.0;0.0
105;Marokko;1992;34;26;8;10;18;4;2.0;12.0;3.0;4.0;2.0;0.0;0.0;1.0;0.0;7.0;1.0
106;Marokko;1993;30;23;7;10;16;4;2.0;12.0;3.0;4.0;2.0;0.0;0.0;1.0;0.0;6.0;1.0
107;Marokko;1994;30;23;7;10;16;4;4.0;9.0;2.0;3.0;2.0;0.0;3.0;1.0;0.0;5.0;0.0
108;Marokko;1995;32;24;8;8;17;6;4.0;10.0;2.0;3.0;2.0;0.0;3.0;1.0;0.0;5.0;0.0
109;Marokko;1996;32;25;7;7;20;5;4.0;9.0;1.0;4.0;2.0;0.0;4.0;1.0;0.0;5.0;0.0
110;Marokko;1997;35;27;7;9;19;6;4.0;10.0;1.0;5.0;2.0;0.0;5.0;1.0;0.0;5.0;0.0
111;Marokko;1998;27;20;7;7;16;4;2.0;7.0;1.0;7.0;1.0;1.0;4.0;1.0;0.0;1.0;1.0
112;EU;1979;66;48;18;13;42;11;0.0;35.0;9.0;4.0;2.0;2.0;5.0;1.0;2.0;4.0;3.0
113;EU;1981;70;51;19;13;45;12;0.0;34.0;7.0;6.0;2.0;2.0;5.0;2.0;3.0;5.0;4.0
114;EU;1983;66;48;18;10;44;12;0.0;32.0;5.0;5.0;2.0;2.0;6.0;2.0;3.0;5.0;4.0
115;EU;1985;65;47;18;10;42;12;0.0;29.0;6.0;6.0;2.0;2.0;7.0;2.0;3.0;5.0;4.0
116;EU;1987;83;57;26;14;51;17;0.0;35.0;9.0;7.0;3.0;3.0;9.0;2.0;4.0;6.0;5.0
117;EU;1988;85;58;27;15;53;17;0.0;35.0;9.0;7.0;3.0;4.0;9.0;3.0;4.0;7.0;6.0
118;EU;1989;88;60;28;16;54;18;0.0;38.0;9.0;8.0;3.0;4.0;9.0;2.0;4.0;6.0;5.0
119;EU;1990;89;61;28;14;55;20;0.0;35.0;7.0;8.0;3.0;4.0;9.0;3.0;4.0;8.0;7.0
120;EU;1991;92;60;32;15;58;19;0.0;37.0;7.0;9.0;4.0;4.0;9.0;3.0;4.0;8.0;6.0
121;EU;1992;93;63;30;15;59;19;0.0;36.0;6.0;10.0;4.0;4.0;10.0;3.0;4.0;8.0;7.0
122;EU;1993;91;62;29;13;57;21;0.0;34.0;6.0;9.0;4.0;4.0;10.0;3.0;4.0;8.0;7.0
123;EU;1994;88;60;28;12;55;20;0.0;34.0;6.0;10.0;4.0;4.0;10.0;3.0;4.0;8.0;7.0
124;EU;1995;99;66;33;10;66;23;0.0;31.0;4.0;13.0;5.0;4.0;12.0;4.0;6.0;10.0;9.0
125;EU;1996;99;62;37;10;65;24;0.0;33.0;4.0;12.0;5.0;4.0;12.0;4.0;6.0;10.0;7.0
126;EU;1997;96;60;36;9;60;27;0.0;33.0;4.0;10.0;4.0;3.0;12.0;4.0;7.0;10.0;7.0
127;EU;1998;103;62;41;11;65;27;1.0;26.0;5.0;16.0;5.0;6.0;15.0;6.0;6.0;9.0;4.0
128;Middellandse Zee;1979;100;82;18;14;75;12;2.0;64.0;7.0;4.0;3.0;6.0;3.0;2.0;1.0;6.0;2.0
129;Middellandse Zee;1981;104;85;19;22;67;15;2.0;61.0;8.0;6.0;4.0;4.0;3.0;3.0;1.0;8.0;3.0
130;Middellandse Zee;1983;91;74;17;19;54;18;2.0;51.0;6.0;5.0;3.0;4.0;5.0;3.0;1.0;7.0;3.0
131;Middellandse Zee;1985;86;69;17;19;47;20;2.0;46.0;6.0;5.0;3.0;4.0;5.0;3.0;1.0;8.0;3.0
132;Middellandse Zee;1987;85;67;18;19;46;19;2.0;39.0;6.0;5.0;4.0;5.0;7.0;3.0;1.0;8.0;3.0
133;Middellandse Zee;1988;83;65;18;19;46;17;2.0;35.0;8.0;5.0;4.0;4.0;7.0;4.0;1.0;9.0;3.0
134;Middellandse Zee;1989;88;68;20;21;49;17;2.0;38.0;9.0;7.0;5.0;4.0;7.0;4.0;1.0;9.0;3.0
135;Middellandse Zee;1990;97;75;22;25;53;18;4.0;39.0;6.0;9.0;6.0;4.0;10.0;4.0;1.0;10.0;4.0
136;Middellandse Zee;1991;105;78;27;29;59;17;5.0;43.0;5.0;10.0;7.0;4.0;10.0;5.0;2.0;11.0;4.0
137;Middellandse Zee;1992;115;85;30;32;66;18;6.0;44.0;6.0;11.0;8.0;4.0;10.0;6.0;2.0;13.0;5.0
138;Middellandse Zee;1993;107;78;29;30;60;17;6.0;41.0;5.0;11.0;7.0;4.0;10.0;5.0;2.0;12.0;5.0
139;Middellandse Zee;1994;102;74;28;28;59;15;6.0;38.0;6.0;11.0;7.0;4.0;10.0;5.0;1.0;11.0;4.0
140;Middellandse Zee;1995;107;80;27;24;65;18;6.0;35.0;6.0;13.0;8.0;4.0;14.0;5.0;2.0;11.0;4.0
141;Middellandse Zee;1996;99;73;26;21;64;14;6.0;32.0;5.0;12.0;8.0;4.0;12.0;5.0;1.0;11.0;2.0
142;Middellandse Zee;1997;99;73;26;22;60;17;6.0;33.0;5.0;11.0;7.0;3.0;12.0;5.0;2.0;11.0;3.0
143;Middellandse Zee;1998;90;63;27;18;57;15;4.0;28.0;3.0;17.0;5.0;5.0;11.0;3.0;1.0;5.0;4.0
