ID;Sex;Periods;TotalPopulationAged1564_1;LabourForce_2;EmployedLabourForce_3;UnemployedLabourForce_4;GrossLabourParticipation_5;NetLabourParticipation_6;RegisteredUnemployed_7
95;Women;1991;5075.0;2277;2057;220;45.0;41.0;145
96;Women;1992;5099.0;2330;2105;225;46.0;41.0;141
97;Women;1993;5125.0;2407;2154;253;47.0;42.0;175
98;Women;1994;5156.0;2452;2172;280;48.0;42.0;203
99;Women;1995;5169.0;2529;2249;281;49.0;44.0;204
100;Women;1996;5191.0;2588;2315;273;50.0;45.0;201
101;Women;1997;5210.0;2692;2444;248;52.0;47.0;176
102;Women;1998;5238.0;2751;2551;201;53.0;49.0;132
103;Women;1999;5264.0;2836;2663;173;54.0;51.0;105
104;Women;2000;5295.0;2912;2755;157;55.0;52.0;90
105;Women;2001;5332.0;2980;2836;143;56.0;53.0;69
106;Women;2002;5366.0;3033;2878;155;57.0;54.0;79
107;Women;2003;5391.0;3099;2905;194;57.0;54.0;111
108;Women;2004;5409.0;3132;2899;233;58.0;54.0;141
109;Women;2005;5424.0;3182;2937;245;59.0;54.0;146
110;Women;2006;5441.0;3256;3034;222;60.0;56.0;127
