ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;UitzendenVanPersoneel_26;UitlenenEnDetacherenVanPersoneel_27;Arbeidsbemiddeling_28;TestenWervenEnSelecterenPersoneel_29;DetacherenVanGesubsidieerdPersoneel_30;OverigeDiensten_31;TotaalVerleendeDiensten_32;OntvangstenVoorUitleenEnSubsidie_33;TotaalPersoneelskosten_34;BrutoLonenEnSalarissen_35;SocialeLasten_36;Pensioenpremies_37;KostenUitzendkrachten_38;KostenIngeleendPersoneel_39;OverigePersoneelskosten_40;TotaalOverigeBedrijfslasten_41;TotaalHuisvestingskosten_42;BetaaldeHurenPachtenEDVanLeasing_43;OnroerendeZaakbelastingMilieuheffing_44;Energiekosten_45;ReparatieEnOnderhoudskosten_46;Verzekeringen_47;OverigeHuisvestingskosten_48;TotaalInventarisEnMachinekosten_49;BetaaldeHurenEnKostenVanOperLease_50;Onderhoudskosten_51;OverigeInventarisEnMachinekosten_52;TotaalAutokosten_53;BetaaldeHurenEnKostenVanOperLease_54;Brandstof_55;OverigeAutokosten_56;TotaalVerkoopkosten_57;ReclameEnAdvertentiekosten_58;ReisVerblijfsEnRepresentatiekosten_59;OverigeVerkoopkosten_60;TotaalAndereKosten_61;AccountantsEnAdviesdiensten_62;KantoorbenodigdhDrukwerkVakliteratuur_63;OverigeVerzekeringen_64;OverigeKostprijsverhogendeBelastingen_65;Communicatiekosten_66;Beheerskosten_67;OverigeAutomatiseringskosten_68;NogNietEerderGenoemdeBedrijfskosten_69;TotaalAantalWerkzamePersonen_70;WerknemersOpDeLoonlijst_71;WerknemersNietOpLoonlijst_72;OverigPersoneel_73;TotaalInvesteringen_74;TotaalMaterieleVasteActiva_75;Bedrijfsruimten_76;Vervoermiddelen_77;Computers_78;OverigeMachinesApparatenED_79;OverigeMaterieleVasteActiva_80;TotaalImmaterieleVasteActiva_81
10;1 000 000 tot 3 000 000 euro;1998;0.4;82.0;81.0;81.0;0.0;1.0;81.0;0.8;91.9;0.4;7.0;6.0;1.0;0.0;0.0;0.0;5.0;1.0;0.0;1.0;99.2;1.0;1.1;1.1;81.0;0.0;3.4;0.2;0.2;96.2;0.0;100.0;1.3;74.0;84.6;4.8;0.1;0.1;6.4;5.2;6.0;1.0;;;;;;;0.0;;;;0.0;;;;0.0;;;;5.0;;;;;;;;;65.0;97.6;0.1;2.3;1.0;95.4;38.4;2.6;23.3;11.0;20.2;4.6
11;1 000 000 tot 3 000 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;3 000 000 tot 5 000 000 euro;1996;0.3;95.0;95.0;94.0;0.0;0.0;93.0;0.4;91.1;0.7;7.8;7.0;1.0;0.0;0.0;0.0;6.0;2.0;0.0;2.0;99.6;2.3;2.2;0.1;95.0;0.0;0.0;0.0;0.0;99.4;0.2;99.6;0.0;85.0;87.5;3.0;0.1;0.1;4.5;4.8;7.0;1.0;52.2;2.6;8.0;22.3;1.1;13.8;0.0;3.4;29.2;67.4;0.0;0.0;0.0;100.0;0.0;17.1;65.1;17.8;6.0;14.7;2.8;0.1;0.0;2.4;66.1;1.7;12.1;84.0;98.6;0.0;1.4;0.0;83.7;2.4;0.0;50.6;8.6;22.0;16.3
13;3 000 000 tot 5 000 000 euro;1997;0.3;111.0;111.0;111.0;0.0;0.0;109.0;0.8;90.8;0.4;8.0;9.0;1.0;0.0;0.0;0.0;7.0;2.0;0.0;2.0;99.2;2.1;1.8;0.5;111.0;0.0;0.0;0.0;0.0;99.3;0.7;100.0;1.0;99.0;88.5;4.2;0.2;0.2;2.5;5.4;9.0;1.0;71.6;2.6;9.7;9.0;0.6;6.4;0.0;1.5;25.6;72.9;0.0;50.0;13.6;36.4;0.0;22.1;43.8;34.0;7.0;8.2;5.0;0.1;0.0;2.7;69.9;4.5;9.6;84.0;98.9;0.1;1.0;1.0;86.0;39.4;0.3;23.0;14.9;8.3;14.0
14;3 000 000 tot 5 000 000 euro;1998;0.3;110.0;110.0;110.0;0.0;0.0;107.0;0.6;90.5;0.4;8.4;9.0;1.0;0.0;0.0;0.0;7.0;3.0;-1.0;2.0;99.4;2.7;2.3;0.7;110.0;0.0;0.0;0.0;0.0;99.4;0.5;99.9;3.8;97.0;90.3;6.5;0.2;0.2;2.0;4.7;9.0;1.0;;;;;;;0.0;;;;0.0;;;;0.0;;;;7.0;;;;;;;;;85.0;98.8;0.4;0.8;1.0;94.0;23.1;4.6;19.1;27.0;20.1;6.0
15;3 000 000 tot 5 000 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;5 000 000 euro en meer;1996;0.3;414.0;413.0;413.0;0.0;1.0;405.0;0.3;94.9;0.5;4.3;18.0;4.0;1.0;0.0;1.0;12.0;9.0;-2.0;7.0;99.7;1.9;1.8;0.3;413.0;0.0;0.0;0.3;0.0;99.6;0.1;100.0;0.1;385.0;89.3;3.3;0.1;0.4;2.1;5.0;18.0;4.0;71.0;1.0;5.0;3.8;1.1;18.1;1.0;8.5;36.1;55.4;0.0;0.0;24.6;75.4;1.0;44.3;33.3;22.4;12.0;14.0;7.1;0.4;0.0;8.0;47.8;9.0;13.6;332.0;99.0;0.0;1.0;1.0;89.5;5.3;1.1;45.9;8.2;28.9;10.5
17;5 000 000 euro en meer;1997;0.4;453.0;451.0;451.0;1.0;2.0;453.0;0.4;93.1;0.4;6.1;27.0;5.0;1.0;0.0;1.0;21.0;0.0;0.0;0.0;99.6;0.0;0.0;0.7;451.0;0.0;0.0;0.4;0.0;99.4;0.0;99.8;1.7;422.0;90.9;3.0;0.2;0.6;1.5;5.5;27.0;5.0;66.3;1.3;4.5;7.0;0.7;20.2;1.0;3.3;41.9;54.8;0.0;2.6;20.1;77.3;1.0;31.3;35.9;32.8;21.0;12.8;5.3;0.3;0.3;6.0;55.4;4.3;15.6;341.0;99.2;0.1;0.7;3.0;82.0;12.3;2.3;44.1;4.4;18.9;18.0
18;5 000 000 euro en meer;1998;0.2;345.0;344.0;341.0;3.0;1.0;352.0;0.5;93.1;0.5;6.0;21.0;5.0;1.0;0.0;1.0;14.0;-7.0;0.0;-7.0;99.5;-1.9;-2.0;0.8;344.0;0.0;0.0;0.2;0.0;97.4;1.5;99.2;5.0;328.0;91.0;4.1;0.2;0.7;3.9;5.2;21.0;5.0;;;;;;;1.0;;;;0.0;;;;1.0;;;;14.0;;;;;;;;;260.0;98.4;0.0;1.5;3.0;91.9;12.5;3.5;26.4;23.7;25.9;8.1
19;5 000 000 euro en meer;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
