ID;Geslacht;Leeftijd;Perioden;BuitenlandGeborenWerknemersTotaal_1;BuitenlandGeborenWerknemersIngesc_2;BuitenlandGeborenWerknemersNietI_3
100;Totaal mannen en vrouwen;35 tot 45 jaar;2003, vrijdag 26 september;167.4;139.5;27.9
101;Totaal mannen en vrouwen;35 tot 45 jaar;2004, vrijdag 24 september;164.8;136.7;28.1
102;Totaal mannen en vrouwen;35 tot 45 jaar;2005, vrijdag 30 september;166.2;137.2;29.0
103;Totaal mannen en vrouwen;35 tot 45 jaar;2006, vrijdag 29 september;172.3;142.4;29.9
104;Totaal mannen en vrouwen;35 tot 45 jaar;2007, vrijdag 28 september;189.8;150.3;39.5
105;Totaal mannen en vrouwen;35 tot 45 jaar;2008, vrijdag 26 september;199.5;156.3;43.2
106;Totaal mannen en vrouwen;35 tot 45 jaar;2009, vrijdag 25 september;192.1;152.1;40.1
107;Totaal mannen en vrouwen;35 tot 45 jaar;2010, vrijdag 24 september;190.6;151.0;39.6
108;Totaal mannen en vrouwen;35 tot 45 jaar;2011, vrijdag 23 september;192.9;151.9;41.1
109;Totaal mannen en vrouwen;35 tot 45 jaar;2012, vrijdag 28 september;189.6;149.8;39.8
110;Totaal mannen en vrouwen;35 tot 45 jaar;2013, vrijdag 28 september;185.5;146.9;38.7
111;Totaal mannen en vrouwen;35 tot 45 jaar;2014, vrijdag 26 september;183.3;146.1;37.2
112;Totaal mannen en vrouwen;45 tot 55 jaar;1999, vrijdag 24 september;90.4;79.1;11.3
113;Totaal mannen en vrouwen;45 tot 55 jaar;2000, vrijdag 29 september;100.1;86.4;13.7
114;Totaal mannen en vrouwen;45 tot 55 jaar;2001, vrijdag 28 september;110.0;93.0;17.1
115;Totaal mannen en vrouwen;45 tot 55 jaar;2002, vrijdag 27 september;116.1;97.1;19.0
116;Totaal mannen en vrouwen;45 tot 55 jaar;2003, vrijdag 26 september;117.4;98.1;19.3
117;Totaal mannen en vrouwen;45 tot 55 jaar;2004, vrijdag 24 september;119.0;98.6;20.4
118;Totaal mannen en vrouwen;45 tot 55 jaar;2005, vrijdag 30 september;123.5;101.4;22.1
119;Totaal mannen en vrouwen;45 tot 55 jaar;2006, vrijdag 29 september;130.2;106.3;23.9
120;Totaal mannen en vrouwen;45 tot 55 jaar;2007, vrijdag 28 september;144.3;114.0;30.3
121;Totaal mannen en vrouwen;45 tot 55 jaar;2008, vrijdag 26 september;154.9;120.4;34.5
122;Totaal mannen en vrouwen;45 tot 55 jaar;2009, vrijdag 25 september;153.9;121.4;32.5
123;Totaal mannen en vrouwen;45 tot 55 jaar;2010, vrijdag 24 september;156.9;123.9;33.0
124;Totaal mannen en vrouwen;45 tot 55 jaar;2011, vrijdag 23 september;161.8;127.5;34.2
125;Totaal mannen en vrouwen;45 tot 55 jaar;2012, vrijdag 28 september;161.0;128.1;32.9
126;Totaal mannen en vrouwen;45 tot 55 jaar;2013, vrijdag 28 september;161.0;129.5;31.5
127;Totaal mannen en vrouwen;45 tot 55 jaar;2014, vrijdag 26 september;159.4;129.6;29.8
128;Totaal mannen en vrouwen;45 tot 75 jaar;1999, vrijdag 24 september;119.3;103.5;15.8
129;Totaal mannen en vrouwen;45 tot 75 jaar;2000, vrijdag 29 september;132.4;113.3;19.1
130;Totaal mannen en vrouwen;45 tot 75 jaar;2001, vrijdag 28 september;146.7;123.1;23.6
131;Totaal mannen en vrouwen;45 tot 75 jaar;2002, vrijdag 27 september;156.6;130.5;26.1
132;Totaal mannen en vrouwen;45 tot 75 jaar;2003, vrijdag 26 september;160.9;134.3;26.5
133;Totaal mannen en vrouwen;45 tot 75 jaar;2004, vrijdag 24 september;164.4;136.5;27.9
134;Totaal mannen en vrouwen;45 tot 75 jaar;2005, vrijdag 30 september;173.2;142.8;30.5
135;Totaal mannen en vrouwen;45 tot 75 jaar;2006, vrijdag 29 september;182.8;150.4;32.4
136;Totaal mannen en vrouwen;45 tot 75 jaar;2007, vrijdag 28 september;203.5;163.2;40.2
137;Totaal mannen en vrouwen;45 tot 75 jaar;2008, vrijdag 26 september;220.7;175.0;45.7
138;Totaal mannen en vrouwen;45 tot 75 jaar;2009, vrijdag 25 september;223.3;179.6;43.8
139;Totaal mannen en vrouwen;45 tot 75 jaar;2010, vrijdag 24 september;230.8;185.8;45.0
140;Totaal mannen en vrouwen;45 tot 75 jaar;2011, vrijdag 23 september;241.8;194.3;47.5
141;Totaal mannen en vrouwen;45 tot 75 jaar;2012, vrijdag 28 september;244.2;197.7;46.5
142;Totaal mannen en vrouwen;45 tot 75 jaar;2013, vrijdag 28 september;247.4;201.9;45.4
143;Totaal mannen en vrouwen;45 tot 75 jaar;2014, vrijdag 26 september;247.9;204.2;43.7
144;Totaal mannen en vrouwen;55 tot 65 jaar;1999, vrijdag 24 september;27.4;23.3;4.1
145;Totaal mannen en vrouwen;55 tot 65 jaar;2000, vrijdag 29 september;30.6;25.7;4.9
146;Totaal mannen en vrouwen;55 tot 65 jaar;2001, vrijdag 28 september;34.7;28.7;6.0
147;Totaal mannen en vrouwen;55 tot 65 jaar;2002, vrijdag 27 september;38.2;31.7;6.5
148;Totaal mannen en vrouwen;55 tot 65 jaar;2003, vrijdag 26 september;40.9;34.3;6.6
149;Totaal mannen en vrouwen;55 tot 65 jaar;2004, vrijdag 24 september;42.9;36.0;6.9
150;Totaal mannen en vrouwen;55 tot 65 jaar;2005, vrijdag 30 september;46.8;39.2;7.6
151;Totaal mannen en vrouwen;55 tot 65 jaar;2006, vrijdag 29 september;49.6;41.8;7.8
152;Totaal mannen en vrouwen;55 tot 65 jaar;2007, vrijdag 28 september;55.8;46.6;9.1
153;Totaal mannen en vrouwen;55 tot 65 jaar;2008, vrijdag 26 september;62.1;51.7;10.4
154;Totaal mannen en vrouwen;55 tot 65 jaar;2009, vrijdag 25 september;65.6;55.2;10.4
155;Totaal mannen en vrouwen;55 tot 65 jaar;2010, vrijdag 24 september;70.0;58.8;11.2
156;Totaal mannen en vrouwen;55 tot 65 jaar;2011, vrijdag 23 september;75.5;63.1;12.3
157;Totaal mannen en vrouwen;55 tot 65 jaar;2012, vrijdag 28 september;78.3;65.6;12.7
158;Totaal mannen en vrouwen;55 tot 65 jaar;2013, vrijdag 28 september;81.1;68.2;12.9
159;Totaal mannen en vrouwen;55 tot 65 jaar;2014, vrijdag 26 september;82.9;70.1;12.8
160;Totaal mannen en vrouwen;65 tot 75 jaar;1999, vrijdag 24 september;1.5;1.1;0.4
161;Totaal mannen en vrouwen;65 tot 75 jaar;2000, vrijdag 29 september;1.8;1.3;0.5
162;Totaal mannen en vrouwen;65 tot 75 jaar;2001, vrijdag 28 september;2.0;1.5;0.5
163;Totaal mannen en vrouwen;65 tot 75 jaar;2002, vrijdag 27 september;2.3;1.7;0.6
164;Totaal mannen en vrouwen;65 tot 75 jaar;2003, vrijdag 26 september;2.6;1.9;0.7
165;Totaal mannen en vrouwen;65 tot 75 jaar;2004, vrijdag 24 september;2.6;1.9;0.7
166;Totaal mannen en vrouwen;65 tot 75 jaar;2005, vrijdag 30 september;2.9;2.2;0.8
167;Totaal mannen en vrouwen;65 tot 75 jaar;2006, vrijdag 29 september;2.9;2.2;0.7
168;Totaal mannen en vrouwen;65 tot 75 jaar;2007, vrijdag 28 september;3.4;2.6;0.8
169;Totaal mannen en vrouwen;65 tot 75 jaar;2008, vrijdag 26 september;3.7;2.9;0.8
170;Totaal mannen en vrouwen;65 tot 75 jaar;2009, vrijdag 25 september;3.8;3.0;0.8
171;Totaal mannen en vrouwen;65 tot 75 jaar;2010, vrijdag 24 september;3.9;3.1;0.8
172;Totaal mannen en vrouwen;65 tot 75 jaar;2011, vrijdag 23 september;4.6;3.7;0.9
173;Totaal mannen en vrouwen;65 tot 75 jaar;2012, vrijdag 28 september;4.9;4.0;0.9
174;Totaal mannen en vrouwen;65 tot 75 jaar;2013, vrijdag 28 september;5.3;4.3;1.0
175;Totaal mannen en vrouwen;65 tot 75 jaar;2014, vrijdag 26 september;5.6;4.5;1.0
176;Totaal mannen en vrouwen;20 tot 25 jaar;1999, vrijdag 24 september;23.5;16.6;6.9
177;Totaal mannen en vrouwen;20 tot 25 jaar;2000, vrijdag 29 september;29.1;18.6;10.5
178;Totaal mannen en vrouwen;20 tot 25 jaar;2001, vrijdag 28 september;33.6;19.6;14.0
179;Totaal mannen en vrouwen;20 tot 25 jaar;2002, vrijdag 27 september;35.9;19.9;16.0
180;Totaal mannen en vrouwen;20 tot 25 jaar;2003, vrijdag 26 september;35.3;18.5;16.9
181;Totaal mannen en vrouwen;20 tot 25 jaar;2004, vrijdag 24 september;34.2;16.4;17.8
182;Totaal mannen en vrouwen;20 tot 25 jaar;2005, vrijdag 30 september;33.9;15.5;18.4
183;Totaal mannen en vrouwen;20 tot 25 jaar;2006, vrijdag 29 september;36.1;15.4;20.7
184;Totaal mannen en vrouwen;20 tot 25 jaar;2007, vrijdag 28 september;51.1;16.7;34.4
185;Totaal mannen en vrouwen;20 tot 25 jaar;2008, vrijdag 26 september;56.0;18.8;37.2
186;Totaal mannen en vrouwen;20 tot 25 jaar;2009, vrijdag 25 september;50.3;17.7;32.5
187;Totaal mannen en vrouwen;20 tot 25 jaar;2010, vrijdag 24 september;51.3;18.0;33.3
188;Totaal mannen en vrouwen;20 tot 25 jaar;2011, vrijdag 23 september;53.3;19.3;34.0
189;Totaal mannen en vrouwen;20 tot 25 jaar;2012, vrijdag 28 september;52.1;19.3;32.8
190;Totaal mannen en vrouwen;20 tot 25 jaar;2013, vrijdag 28 september;51.6;18.5;33.1
191;Totaal mannen en vrouwen;20 tot 25 jaar;2014, vrijdag 26 september;51.3;19.4;31.9
192;Totaal mannen en vrouwen;25 tot 30 jaar;1999, vrijdag 24 september;57.0;48.1;8.9
193;Totaal mannen en vrouwen;25 tot 30 jaar;2000, vrijdag 29 september;61.7;49.8;11.9
194;Totaal mannen en vrouwen;25 tot 30 jaar;2001, vrijdag 28 september;65.1;50.2;14.9
195;Totaal mannen en vrouwen;25 tot 30 jaar;2002, vrijdag 27 september;65.2;49.2;16.0
196;Totaal mannen en vrouwen;25 tot 30 jaar;2003, vrijdag 26 september;63.2;46.8;16.4
197;Totaal mannen en vrouwen;25 tot 30 jaar;2004, vrijdag 24 september;60.8;43.4;17.3
198;Totaal mannen en vrouwen;25 tot 30 jaar;2005, vrijdag 30 september;61.1;42.9;18.2
199;Totaal mannen en vrouwen;25 tot 30 jaar;2006, vrijdag 29 september;63.7;43.7;20.0
200;Totaal mannen en vrouwen;25 tot 30 jaar;2007, vrijdag 28 september;78.3;47.7;30.6
201;Totaal mannen en vrouwen;25 tot 30 jaar;2008, vrijdag 26 september;87.4;52.8;34.6
202;Totaal mannen en vrouwen;25 tot 30 jaar;2009, vrijdag 25 september;86.5;52.7;33.8
203;Totaal mannen en vrouwen;25 tot 30 jaar;2010, vrijdag 24 september;89.2;53.8;35.4
204;Totaal mannen en vrouwen;25 tot 30 jaar;2011, vrijdag 23 september;93.8;56.1;37.7
205;Totaal mannen en vrouwen;25 tot 30 jaar;2012, vrijdag 28 september;93.0;56.3;36.7
206;Totaal mannen en vrouwen;25 tot 30 jaar;2013, vrijdag 28 september;90.4;55.6;34.8
207;Totaal mannen en vrouwen;25 tot 30 jaar;2014, vrijdag 26 september;89.8;57.3;32.5
208;Totaal mannen en vrouwen;30 tot 35 jaar;1999, vrijdag 24 september;75.1;65.5;9.6
209;Totaal mannen en vrouwen;30 tot 35 jaar;2000, vrijdag 29 september;81.7;69.8;11.9
210;Totaal mannen en vrouwen;30 tot 35 jaar;2001, vrijdag 28 september;86.1;71.9;14.2
211;Totaal mannen en vrouwen;30 tot 35 jaar;2002, vrijdag 27 september;86.3;71.8;14.5
212;Totaal mannen en vrouwen;30 tot 35 jaar;2003, vrijdag 26 september;82.7;68.7;14.0
213;Totaal mannen en vrouwen;30 tot 35 jaar;2004, vrijdag 24 september;78.2;64.3;13.9
214;Totaal mannen en vrouwen;30 tot 35 jaar;2005, vrijdag 30 september;76.7;62.2;14.4
215;Totaal mannen en vrouwen;30 tot 35 jaar;2006, vrijdag 29 september;77.7;62.6;15.1
216;Totaal mannen en vrouwen;30 tot 35 jaar;2007, vrijdag 28 september;86.9;65.0;21.8
217;Totaal mannen en vrouwen;30 tot 35 jaar;2008, vrijdag 26 september;92.7;68.3;24.4
218;Totaal mannen en vrouwen;30 tot 35 jaar;2009, vrijdag 25 september;90.7;66.8;23.8
219;Totaal mannen en vrouwen;30 tot 35 jaar;2010, vrijdag 24 september;92.7;67.9;24.8
220;Totaal mannen en vrouwen;30 tot 35 jaar;2011, vrijdag 23 september;96.9;70.3;26.6
221;Totaal mannen en vrouwen;30 tot 35 jaar;2012, vrijdag 28 september;97.4;71.0;26.5
222;Totaal mannen en vrouwen;30 tot 35 jaar;2013, vrijdag 28 september;97.8;71.4;26.3
223;Totaal mannen en vrouwen;30 tot 35 jaar;2014, vrijdag 26 september;99.8;73.9;25.9
224;Totaal mannen en vrouwen;35 tot 40 jaar;1999, vrijdag 24 september;73.3;64.1;9.2
225;Totaal mannen en vrouwen;35 tot 40 jaar;2000, vrijdag 29 september;80.0;68.5;11.5
226;Totaal mannen en vrouwen;35 tot 40 jaar;2001, vrijdag 28 september;86.4;72.3;14.1
227;Totaal mannen en vrouwen;35 tot 40 jaar;2002, vrijdag 27 september;88.0;73.5;14.5
228;Totaal mannen en vrouwen;35 tot 40 jaar;2003, vrijdag 26 september;86.8;72.6;14.2
229;Totaal mannen en vrouwen;35 tot 40 jaar;2004, vrijdag 24 september;84.8;70.7;14.1
230;Totaal mannen en vrouwen;35 tot 40 jaar;2005, vrijdag 30 september;85.3;71.0;14.3
231;Totaal mannen en vrouwen;35 tot 40 jaar;2006, vrijdag 29 september;87.3;72.7;14.6
232;Totaal mannen en vrouwen;35 tot 40 jaar;2007, vrijdag 28 september;96.2;76.4;19.8
233;Totaal mannen en vrouwen;35 tot 40 jaar;2008, vrijdag 26 september;99.8;78.6;21.3
234;Totaal mannen en vrouwen;35 tot 40 jaar;2009, vrijdag 25 september;95.6;75.7;20.0
235;Totaal mannen en vrouwen;35 tot 40 jaar;2010, vrijdag 24 september;94.0;74.1;19.9
236;Totaal mannen en vrouwen;35 tot 40 jaar;2011, vrijdag 23 september;95.3;74.3;21.0
237;Totaal mannen en vrouwen;35 tot 40 jaar;2012, vrijdag 28 september;93.6;73.0;20.6
238;Totaal mannen en vrouwen;35 tot 40 jaar;2013, vrijdag 28 september;91.5;71.2;20.3
239;Totaal mannen en vrouwen;35 tot 40 jaar;2014, vrijdag 26 september;91.8;72.1;19.8
240;Totaal mannen en vrouwen;40 tot 45 jaar;1999, vrijdag 24 september;64.3;56.6;7.7
241;Totaal mannen en vrouwen;40 tot 45 jaar;2000, vrijdag 29 september;71.5;61.7;9.8
242;Totaal mannen en vrouwen;40 tot 45 jaar;2001, vrijdag 28 september;77.3;64.8;12.5
243;Totaal mannen en vrouwen;40 tot 45 jaar;2002, vrijdag 27 september;80.5;67.0;13.5
244;Totaal mannen en vrouwen;40 tot 45 jaar;2003, vrijdag 26 september;80.6;67.0;13.7
245;Totaal mannen en vrouwen;40 tot 45 jaar;2004, vrijdag 24 september;80.1;66.0;14.0
246;Totaal mannen en vrouwen;40 tot 45 jaar;2005, vrijdag 30 september;80.9;66.2;14.7
247;Totaal mannen en vrouwen;40 tot 45 jaar;2006, vrijdag 29 september;85.0;69.7;15.3
248;Totaal mannen en vrouwen;40 tot 45 jaar;2007, vrijdag 28 september;93.6;73.9;19.7
249;Totaal mannen en vrouwen;40 tot 45 jaar;2008, vrijdag 26 september;99.7;77.7;21.9
250;Totaal mannen en vrouwen;40 tot 45 jaar;2009, vrijdag 25 september;96.5;76.4;20.1
251;Totaal mannen en vrouwen;40 tot 45 jaar;2010, vrijdag 24 september;96.6;76.9;19.7
252;Totaal mannen en vrouwen;40 tot 45 jaar;2011, vrijdag 23 september;97.7;77.6;20.1
253;Totaal mannen en vrouwen;40 tot 45 jaar;2012, vrijdag 28 september;96.0;76.8;19.2
254;Totaal mannen en vrouwen;40 tot 45 jaar;2013, vrijdag 28 september;94.0;75.7;18.3
255;Totaal mannen en vrouwen;40 tot 45 jaar;2014, vrijdag 26 september;91.5;74.1;17.4
256;Totaal mannen en vrouwen;45 tot 50 jaar;1999, vrijdag 24 september;52.3;46.0;6.3
257;Totaal mannen en vrouwen;45 tot 50 jaar;2000, vrijdag 29 september;57.4;49.6;7.8
258;Totaal mannen en vrouwen;45 tot 50 jaar;2001, vrijdag 28 september;63.2;53.4;9.9
259;Totaal mannen en vrouwen;45 tot 50 jaar;2002, vrijdag 27 september;66.8;55.8;11.0
260;Totaal mannen en vrouwen;45 tot 50 jaar;2003, vrijdag 26 september;67.1;55.9;11.2
261;Totaal mannen en vrouwen;45 tot 50 jaar;2004, vrijdag 24 september;67.8;55.9;11.9
262;Totaal mannen en vrouwen;45 tot 50 jaar;2005, vrijdag 30 september;70.2;57.4;12.8
263;Totaal mannen en vrouwen;45 tot 50 jaar;2006, vrijdag 29 september;73.6;59.7;13.9
