ID;Populatie;Vervoerwijzen;Reismotieven;RegioS;Perioden;Verplaatsingen_1;Afstand_2;Reisduur_3;Afstand_4;ReisduurPerVerplaatsing_5;Verplaatsingen_6;Afstand_7;Reisduur_8
92;Totaal;Totaal;Totaal;Utrecht (PV);2014;2.82;34.31;68.93;12.18;24.48;980.0;11942.0;399.9
93;Totaal;Totaal;Totaal;Utrecht (PV);2015;2.67;31.2;62.77;11.7;23.54;930.0;10877.0;364.7
94;Totaal;Totaal;Totaal;Utrecht (PV);2016;2.55;30.67;60.08;12.03;23.58;891.0;10719.0;350.0
95;Totaal;Totaal;Totaal;Utrecht (PV);2017;2.54;31.07;58.34;12.23;22.95;882.0;10785.0;337.5
96;Totaal;Totaal;Totaal;Noord-Holland (PV);2010;2.71;28.74;64.92;10.59;23.91;944.0;9995.0;376.3
97;Totaal;Totaal;Totaal;Noord-Holland (PV);2011;2.69;30.63;65.84;11.38;24.46;936.0;10656.0;381.7
98;Totaal;Totaal;Totaal;Noord-Holland (PV);2012;2.71;27.81;64.04;10.25;23.6;948.0;9713.0;372.7
99;Totaal;Totaal;Totaal;Noord-Holland (PV);2013;2.66;28.91;63.85;10.86;23.98;927.0;10062.0;370.3
100;Totaal;Totaal;Totaal;Noord-Holland (PV);2014;2.71;29.16;64.71;10.76;23.88;943.0;10147.0;375.3
101;Totaal;Totaal;Totaal;Noord-Holland (PV);2015;2.62;27.83;62.98;10.63;24.05;913.0;9698.0;365.8
102;Totaal;Totaal;Totaal;Noord-Holland (PV);2016;2.58;27.36;62.42;10.59;24.16;903.0;9557.0;363.5
103;Totaal;Totaal;Totaal;Noord-Holland (PV);2017;2.47;27.4;61.99;11.07;25.05;858.0;9504.0;358.4
104;Totaal;Totaal;Totaal;Zuid-Holland (PV);2010;2.72;27.34;62.56;10.04;22.98;946.0;9500.0;362.3
105;Totaal;Totaal;Totaal;Zuid-Holland (PV);2011;2.6;27.86;62.53;10.73;24.08;904.0;9693.0;362.6
106;Totaal;Totaal;Totaal;Zuid-Holland (PV);2012;2.61;28.0;60.58;10.72;23.19;912.0;9773.0;352.3
107;Totaal;Totaal;Totaal;Zuid-Holland (PV);2013;2.59;27.69;61.57;10.7;23.79;901.0;9638.0;357.2
108;Totaal;Totaal;Totaal;Zuid-Holland (PV);2014;2.61;28.22;63.68;10.82;24.4;908.0;9824.0;369.4
109;Totaal;Totaal;Totaal;Zuid-Holland (PV);2015;2.51;27.29;60.83;10.88;24.25;874.0;9511.0;353.4
110;Totaal;Totaal;Totaal;Zuid-Holland (PV);2016;2.51;27.75;60.57;11.06;24.13;877.0;9691.0;352.6
111;Totaal;Totaal;Totaal;Zuid-Holland (PV);2017;2.43;27.02;59.24;11.1;24.35;843.0;9362.0;342.1
112;Totaal;Totaal;Totaal;Zeeland (PV);2010;2.7;32.72;58.54;12.14;21.71;937.0;11375.0;339.2
113;Totaal;Totaal;Totaal;Zeeland (PV);2011;2.51;31.8;55.38;12.67;22.07;872.0;11055.0;320.9
114;Totaal;Totaal;Totaal;Zeeland (PV);2012;2.59;32.88;58.38;12.67;22.5;904.0;11458.0;339.1
115;Totaal;Totaal;Totaal;Zeeland (PV);2013;2.54;33.65;61.39;13.22;24.12;885.0;11698.0;355.7
116;Totaal;Totaal;Totaal;Zeeland (PV);2014;2.64;30.87;59.7;11.72;22.65;917.0;10738.0;346.1
117;Totaal;Totaal;Totaal;Zeeland (PV);2015;2.5;28.17;56.47;11.26;22.57;871.0;9801.0;327.4
118;Totaal;Totaal;Totaal;Zeeland (PV);2016;2.46;29.84;51.59;12.11;20.95;860.0;10417.0;300.2
119;Totaal;Totaal;Totaal;Zeeland (PV);2017;2.42;28.68;52.16;11.87;21.59;837.0;9940.0;301.3
120;Totaal;Totaal;Totaal;Noord-Brabant (PV);2010;2.81;30.28;60.33;10.78;21.47;976.0;10523.0;349.5
121;Totaal;Totaal;Totaal;Noord-Brabant (PV);2011;2.76;32.01;60.36;11.6;21.87;960.0;11132.0;349.9
122;Totaal;Totaal;Totaal;Noord-Brabant (PV);2012;2.72;30.23;59.99;11.11;22.05;949.0;10541.0;348.6
123;Totaal;Totaal;Totaal;Noord-Brabant (PV);2013;2.77;32.33;61.54;11.66;22.2;964.0;11244.0;356.7
124;Totaal;Totaal;Totaal;Noord-Brabant (PV);2014;2.78;31.38;61.0;11.29;21.95;967.0;10916.0;353.7
125;Totaal;Totaal;Totaal;Noord-Brabant (PV);2015;2.66;29.88;58.94;11.24;22.18;926.0;10406.0;342.2
126;Totaal;Totaal;Totaal;Noord-Brabant (PV);2016;2.61;29.44;58.6;11.27;22.42;913.0;10288.0;341.3
127;Totaal;Totaal;Totaal;Noord-Brabant (PV);2017;2.55;29.29;56.27;11.5;22.08;883.0;10155.0;325.1
128;Totaal;Totaal;Totaal;Limburg (PV);2010;2.76;28.18;60.2;10.21;21.8;959.0;9789.0;348.6
129;Totaal;Totaal;Totaal;Limburg (PV);2011;2.58;28.54;55.8;11.05;21.6;899.0;9933.0;323.7
130;Totaal;Totaal;Totaal;Limburg (PV);2012;2.63;25.17;54.53;9.58;20.76;915.0;8768.0;316.6
131;Totaal;Totaal;Totaal;Limburg (PV);2013;2.63;28.87;57.41;10.99;21.85;914.0;10040.0;332.8
132;Totaal;Totaal;Totaal;Limburg (PV);2014;2.69;26.34;56.16;9.79;20.88;935.0;9154.0;325.4
133;Totaal;Totaal;Totaal;Limburg (PV);2015;2.58;26.97;54.5;10.46;21.14;897.0;9388.0;316.2
134;Totaal;Totaal;Totaal;Limburg (PV);2016;2.53;26.06;53.59;10.29;21.16;885.0;9104.0;312.1
135;Totaal;Totaal;Totaal;Limburg (PV);2017;2.55;28.69;54.79;11.27;21.52;882.0;9944.0;316.5
136;Totaal;Totaal;Totaal;Zeer sterk stedelijk;2010;2.71;27.54;66.56;10.17;24.58;942.0;9580.0;385.8
137;Totaal;Totaal;Totaal;Zeer sterk stedelijk;2011;2.66;29.4;67.28;11.06;25.32;925.0;10236.0;390.5
138;Totaal;Totaal;Totaal;Zeer sterk stedelijk;2012;2.65;28.03;65.01;10.58;24.54;925.0;9793.0;378.6
139;Totaal;Totaal;Totaal;Zeer sterk stedelijk;2013;2.6;28.84;66.05;11.09;25.41;906.0;10048.0;383.5
140;Totaal;Totaal;Totaal;Zeer sterk stedelijk;2014;2.65;27.86;65.87;10.52;24.88;922.0;9705.0;382.4
141;Totaal;Totaal;Totaal;Zeer sterk stedelijk;2015;2.55;26.56;64.22;10.42;25.19;889.0;9264.0;373.4
142;Totaal;Totaal;Totaal;Zeer sterk stedelijk;2016;2.53;27.1;63.44;10.7;25.05;886.0;9480.0;369.8
143;Totaal;Totaal;Totaal;Zeer sterk stedelijk;2017;2.44;26.78;62.61;10.95;25.61;848.0;9288.0;362.0
144;Totaal;Totaal;Totaal;Sterk stedelijk;2010;2.77;28.84;61.59;10.42;22.26;962.0;10028.0;356.9
145;Totaal;Totaal;Totaal;Sterk stedelijk;2011;2.7;30.16;61.05;11.16;22.59;940.0;10490.0;353.9
146;Totaal;Totaal;Totaal;Sterk stedelijk;2012;2.72;29.09;61.9;10.69;22.76;949.0;10149.0;360.0
147;Totaal;Totaal;Totaal;Sterk stedelijk;2013;2.72;30.33;60.71;11.17;22.36;945.0;10556.0;352.2
148;Totaal;Totaal;Totaal;Sterk stedelijk;2014;2.74;32.27;64.41;11.79;23.54;952.0;11229.0;373.6
149;Totaal;Totaal;Totaal;Sterk stedelijk;2015;2.62;29.39;59.67;11.21;22.77;913.0;10240.0;346.5
150;Totaal;Totaal;Totaal;Sterk stedelijk;2016;2.58;29.77;59.69;11.56;23.17;900.0;10398.0;347.4
151;Totaal;Totaal;Totaal;Sterk stedelijk;2017;2.49;29.36;58.5;11.8;23.5;863.0;10179.0;338.0
152;Totaal;Totaal;Totaal;Matig stedelijk;2010;2.87;30.96;61.28;10.8;21.38;996.0;10761.0;355.0
153;Totaal;Totaal;Totaal;Matig stedelijk;2011;2.73;30.86;60.33;11.32;22.13;948.0;10732.0;349.7
154;Totaal;Totaal;Totaal;Matig stedelijk;2012;2.77;29.4;59.18;10.62;21.38;965.0;10254.0;344.0
155;Totaal;Totaal;Totaal;Matig stedelijk;2013;2.72;30.04;60.52;11.04;22.24;946.0;10442.0;350.7
156;Totaal;Totaal;Totaal;Matig stedelijk;2014;2.73;31.21;61.8;11.42;22.61;951.0;10853.0;358.2
157;Totaal;Totaal;Totaal;Matig stedelijk;2015;2.66;29.58;57.68;11.12;21.68;927.0;10300.0;334.8
158;Totaal;Totaal;Totaal;Matig stedelijk;2016;2.6;28.12;56.79;10.82;21.86;907.0;9819.0;330.5
159;Totaal;Totaal;Totaal;Matig stedelijk;2017;2.57;30.08;57.02;11.7;22.17;891.0;10426.0;329.3
160;Totaal;Totaal;Totaal;Weinig stedelijk;2010;2.77;32.21;61.38;11.62;22.15;962.0;11185.0;355.3
161;Totaal;Totaal;Totaal;Weinig stedelijk;2011;2.64;30.37;58.39;11.52;22.14;916.0;10554.0;338.2
162;Totaal;Totaal;Totaal;Weinig stedelijk;2012;2.66;30.14;57.58;11.35;21.68;926.0;10508.0;334.5
163;Totaal;Totaal;Totaal;Weinig stedelijk;2013;2.7;31.38;58.84;11.63;21.8;939.0;10916.0;341.1
164;Totaal;Totaal;Totaal;Weinig stedelijk;2014;2.68;30.33;59.67;11.31;22.25;933.0;10549.0;346.0
165;Totaal;Totaal;Totaal;Weinig stedelijk;2015;2.59;31.16;58.04;12.03;22.41;902.0;10850.0;336.8
166;Totaal;Totaal;Totaal;Weinig stedelijk;2016;2.52;31.44;57.45;12.49;22.82;879.0;10977.0;334.3
167;Totaal;Totaal;Totaal;Weinig stedelijk;2017;2.53;30.26;56.31;11.96;22.25;876.0;10483.0;325.1
168;Totaal;Totaal;Totaal;Niet stedelijk;2010;2.72;33.78;62.42;12.41;22.93;946.0;11738.0;361.5
169;Totaal;Totaal;Totaal;Niet stedelijk;2011;2.56;34.74;59.14;13.55;23.07;892.0;12083.0;342.9
170;Totaal;Totaal;Totaal;Niet stedelijk;2012;2.53;31.12;56.5;12.29;22.31;882.0;10844.0;328.2
171;Totaal;Totaal;Totaal;Niet stedelijk;2013;2.63;33.08;59.42;12.6;22.63;912.0;11498.0;344.2
172;Totaal;Totaal;Totaal;Niet stedelijk;2014;2.61;32.37;60.32;12.4;23.11;907.0;11251.0;349.4
173;Totaal;Totaal;Totaal;Niet stedelijk;2015;2.57;32.64;58.63;12.69;22.8;895.0;11366.0;340.3
174;Totaal;Totaal;Totaal;Niet stedelijk;2016;2.47;31.76;57.82;12.88;23.45;861.0;11094.0;336.6
175;Totaal;Totaal;Totaal;Niet stedelijk;2017;2.44;29.93;53.5;12.26;21.92;845.0;10368.0;308.8
176;Totaal;Totaal;Van en naar werkadres;Nederland;2010;0.48;8.67;13.72;17.95;28.4;168.0;3012.0;79.5
177;Totaal;Totaal;Van en naar werkadres;Nederland;2011;0.48;8.76;13.48;18.2;27.99;167.0;3048.0;78.1
178;Totaal;Totaal;Van en naar werkadres;Nederland;2012;0.47;8.42;12.94;17.96;27.6;163.0;2936.0;75.2
179;Totaal;Totaal;Van en naar werkadres;Nederland;2013;0.46;8.59;13.05;18.59;28.23;161.0;2990.0;75.7
180;Totaal;Totaal;Van en naar werkadres;Nederland;2014;0.47;8.7;13.16;18.57;28.09;163.0;3027.0;76.3
181;Totaal;Totaal;Van en naar werkadres;Nederland;2015;0.46;8.63;12.97;18.8;28.25;160.0;3006.0;75.3
182;Totaal;Totaal;Van en naar werkadres;Nederland;2016;0.46;8.77;13.43;19.03;29.16;161.0;3062.0;78.2
183;Totaal;Totaal;Van en naar werkadres;Nederland;2017;0.46;8.71;13.65;18.8;29.47;161.0;3020.0;78.9
184;Totaal;Totaal;Van en naar werkadres;Noord-Nederland (LD);2010;0.45;8.57;11.72;18.97;25.96;157.0;2977.0;67.9
185;Totaal;Totaal;Van en naar werkadres;Noord-Nederland (LD);2011;0.47;9.05;11.86;19.4;25.41;162.0;3149.0;68.7
186;Totaal;Totaal;Van en naar werkadres;Noord-Nederland (LD);2012;0.46;9.09;12.2;19.83;26.6;160.0;3172.0;70.9
187;Totaal;Totaal;Van en naar werkadres;Noord-Nederland (LD);2013;0.45;8.62;11.31;19.3;25.31;155.0;2997.0;65.5
188;Totaal;Totaal;Van en naar werkadres;Noord-Nederland (LD);2014;0.42;8.79;11.21;21.08;26.9;145.0;3058.0;65.0
189;Totaal;Totaal;Van en naar werkadres;Noord-Nederland (LD);2015;0.43;9.19;11.98;21.34;27.81;150.0;3205.0;69.6
190;Totaal;Totaal;Van en naar werkadres;Noord-Nederland (LD);2016;0.44;9.01;11.5;20.47;26.13;154.0;3146.0;66.9
191;Totaal;Totaal;Van en naar werkadres;Noord-Nederland (LD);2017;0.45;8.72;12.54;19.28;27.73;157.0;3020.0;72.4
192;Totaal;Totaal;Van en naar werkadres;Oost-Nederland (LD);2010;0.48;9.35;13.33;19.41;27.68;167.0;3251.0;77.3
193;Totaal;Totaal;Van en naar werkadres;Oost-Nederland (LD);2011;0.5;9.76;13.7;19.64;27.59;173.0;3390.0;79.4
194;Totaal;Totaal;Van en naar werkadres;Oost-Nederland (LD);2012;0.45;8.35;11.81;18.45;26.08;158.0;2912.0;68.6
195;Totaal;Totaal;Van en naar werkadres;Oost-Nederland (LD);2013;0.46;9.05;12.23;19.65;26.55;160.0;3150.0;70.9
196;Totaal;Totaal;Van en naar werkadres;Oost-Nederland (LD);2014;0.45;8.84;12.39;19.43;27.23;158.0;3076.0;71.8
197;Totaal;Totaal;Van en naar werkadres;Oost-Nederland (LD);2015;0.45;9.11;12.14;20.34;27.11;156.0;3173.0;70.5
198;Totaal;Totaal;Van en naar werkadres;Oost-Nederland (LD);2016;0.46;9.27;13.11;20.14;28.49;161.0;3237.0;76.3
199;Totaal;Totaal;Van en naar werkadres;Oost-Nederland (LD);2017;0.45;9.04;12.86;20.09;28.56;156.0;3133.0;74.3
200;Totaal;Totaal;Van en naar werkadres;West-Nederland (LD);2010;0.49;8.47;14.78;17.17;29.96;171.0;2944.0;85.6
201;Totaal;Totaal;Van en naar werkadres;West-Nederland (LD);2011;0.48;8.31;14.4;17.32;30.01;167.0;2892.0;83.5
202;Totaal;Totaal;Van en naar werkadres;West-Nederland (LD);2012;0.48;8.54;14.18;17.83;29.59;167.0;2982.0;82.5
203;Totaal;Totaal;Van en naar werkadres;West-Nederland (LD);2013;0.46;8.47;14.25;18.41;30.97;160.0;2947.0;82.6
204;Totaal;Totaal;Van en naar werkadres;West-Nederland (LD);2014;0.47;8.6;14.22;18.17;30.04;165.0;2993.0;82.5
205;Totaal;Totaal;Van en naar werkadres;West-Nederland (LD);2015;0.47;8.38;13.97;18.01;30.01;162.0;2922.0;81.2
206;Totaal;Totaal;Van en naar werkadres;West-Nederland (LD);2016;0.46;8.59;14.34;18.65;31.12;161.0;3002.0;83.5
207;Totaal;Totaal;Van en naar werkadres;West-Nederland (LD);2017;0.47;8.69;14.98;18.43;31.78;163.0;3012.0;86.5
208;Totaal;Totaal;Van en naar werkadres;Zuid-Nederland (LD);2010;0.48;8.46;12.74;17.76;26.73;166.0;2941.0;73.8
209;Totaal;Totaal;Van en naar werkadres;Zuid-Nederland (LD);2011;0.48;8.63;12.0;18.1;25.17;166.0;3002.0;69.6
210;Totaal;Totaal;Van en naar werkadres;Zuid-Nederland (LD);2012;0.47;7.87;11.67;16.89;25.03;162.0;2744.0;67.8
211;Totaal;Totaal;Van en naar werkadres;Zuid-Nederland (LD);2013;0.48;8.4;12.04;17.65;25.32;165.0;2920.0;69.8
212;Totaal;Totaal;Van en naar werkadres;Zuid-Nederland (LD);2014;0.5;8.74;12.53;17.61;25.25;173.0;3038.0;72.6
213;Totaal;Totaal;Van en naar werkadres;Zuid-Nederland (LD);2015;0.47;8.43;12.01;17.98;25.61;163.0;2935.0;69.7
214;Totaal;Totaal;Van en naar werkadres;Zuid-Nederland (LD);2016;0.47;8.54;12.66;18.12;26.85;165.0;2984.0;73.7
