ID;SIC93;Destination;Periods;SalesDevelopment_1;Share_2
78;1500d Manufacturing industry total;Destination total;2001 September;-7;98
79;1500d Manufacturing industry total;Destination total;2001 3rd quarter;-2;98
80;1500d Manufacturing industry total;Destination total;2001 October;-4;98
81;1500d Manufacturing industry total;Destination total;2001 November;-10;98
82;1500d Manufacturing industry total;Destination total;2001 December;-10;97
83;1500d Manufacturing industry total;Destination total;2001 4th quarter;-8;97
84;1500d Manufacturing industry total;Destination total;2001;0;96
85;1500d Manufacturing industry total;Destination total;2002 January;-5;97
86;1500d Manufacturing industry total;Destination total;2002 February;-7;96
87;1500d Manufacturing industry total;Destination total;2002 March;-5;96
88;1500d Manufacturing industry total;Destination total;2002 1st quarter;-6;96
89;1500d Manufacturing industry total;Destination total;2002 April;1;96
90;1500d Manufacturing industry total;Destination total;2002 May;-6;96
91;1500d Manufacturing industry total;Destination total;2002 June;-6;95
92;1500d Manufacturing industry total;Destination total;2002 2nd quarter;-4;96
93;1500d Manufacturing industry total;Destination total;2002 July;-1;96
94;1500d Manufacturing industry total;Destination total;2002 August;-5;96
95;1500d Manufacturing industry total;Destination total;2002 September;3;95
96;1500d Manufacturing industry total;Destination total;2002 3rd quarter;-1;95
97;1500d Manufacturing industry total;Destination total;2002 October;2;94
98;1500d Manufacturing industry total;Destination total;2002 November;-1;93
99;1500d Manufacturing industry total;Destination total;2002 December;3;93
100;1500d Manufacturing industry total;Destination total;2002 4th quarter;1;93
101;1500d Manufacturing industry total;Destination total;2002;-2;94
102;1500d Manufacturing industry total;Destination total;2003 January;3;94
103;1500d Manufacturing industry total;Destination total;2003 February;4;94
104;1500d Manufacturing industry total;Destination total;2003 March;1;93
105;1500d Manufacturing industry total;Destination total;2003 1st quarter;3;93
106;1500d Manufacturing industry total;Destination total;2003 April;0;94
107;1500d Manufacturing industry total;Destination total;2003 May;-4;93
108;1500d Manufacturing industry total;Destination total;2003 June;-2;93
109;1500d Manufacturing industry total;Destination total;2003 2nd quarter;-2;93
110;1500d Manufacturing industry total;Destination total;2003 July;-1;93
111;1500d Manufacturing industry total;Destination total;2003 August;-6;93
112;1500d Manufacturing industry total;Destination total;2003 September;0;93
113;1500d Manufacturing industry total;Destination total;2003 3rd quarter;-2;93
114;1500d Manufacturing industry total;Destination total;2003 October;-2;93
115;1500d Manufacturing industry total;Destination total;2003 November;-5;93
116;1500d Manufacturing industry total;Destination total;2003 December;3;93
117;1500d Manufacturing industry total;Destination total;2003 4th quarter;-1;93
118;1500d Manufacturing industry total;Destination total;2003;-1;91
119;1500d Manufacturing industry total;Destination total;2004 January;-2;95
120;1500d Manufacturing industry total;Destination total;2004 February;0;94
121;1500d Manufacturing industry total;Destination total;2004 March;9;94
122;1500d Manufacturing industry total;Destination total;2004 1st quarter;3;93
123;1500d Manufacturing industry total;Destination total;2004 April;5;93
124;1500d Manufacturing industry total;Destination total;2004 May;1;92
125;1500d Manufacturing industry total;Destination total;2004 June;14;93
126;1500d Manufacturing industry total;Destination total;2004 2nd quarter;7;92
127;1500d Manufacturing industry total;Destination total;2004 July;8;93
128;1500d Manufacturing industry total;Destination total;2004 August;9;93
129;1500d Manufacturing industry total;Destination total;2004 September;9;94
130;1500d Manufacturing industry total;Destination total;2004 3rd quarter;9;93
131;1500d Manufacturing industry total;Destination total;2004 October;1;94
132;1500d Manufacturing industry total;Destination total;2004 November;15;94
133;1500d Manufacturing industry total;Destination total;2004 December;13;93
134;1500d Manufacturing industry total;Destination total;2004 4th quarter;9;93
135;1500d Manufacturing industry total;Destination total;2004;7;90
136;1500d Manufacturing industry total;Destination total;2005 January;6;95
137;1500d Manufacturing industry total;Destination total;2005 February;6;95
138;1500d Manufacturing industry total;Destination total;2005 March;3;95
139;1500d Manufacturing industry total;Destination total;2005 1st quarter;5;94
140;1500d Manufacturing industry total;Destination total;2005 April;6;96
141;1500d Manufacturing industry total;Destination total;2005 May;8;97
142;1500d Manufacturing industry total;Destination total;2005 June;8;96
143;1500d Manufacturing industry total;Destination total;2005 2nd quarter;8;96
144;1500d Manufacturing industry total;Destination total;2005 July;2;97
145;1500d Manufacturing industry total;Destination total;2005 August;11;97
146;1500d Manufacturing industry total;Destination total;2005 September;8;97
147;1500d Manufacturing industry total;Destination total;2005 3rd quarter;8;96
148;1500d Manufacturing industry total;Destination total;2005 October;6;96
149;1500d Manufacturing industry total;Destination total;2005 November;6;97
150;1500d Manufacturing industry total;Destination total;2005 December;3;96
151;1500d Manufacturing industry total;Destination total;2005 4th quarter;5;96
152;1500d Manufacturing industry total;Destination total;2005;6;92
153;1500d Manufacturing industry total;Destination total;2006 January;9;97
154;1500d Manufacturing industry total;Destination total;2006 February;9;96
155;1500d Manufacturing industry total;Netherlands;1997 January;8;95
156;1500d Manufacturing industry total;Netherlands;1997 February;6;95
157;1500d Manufacturing industry total;Netherlands;1997 March;4;96
158;1500d Manufacturing industry total;Netherlands;1997 1st quarter;6;95
159;1500d Manufacturing industry total;Netherlands;1997 April;13;95
160;1500d Manufacturing industry total;Netherlands;1997 May;3;95
161;1500d Manufacturing industry total;Netherlands;1997 June;10;95
162;1500d Manufacturing industry total;Netherlands;1997 2nd quarter;9;95
163;1500d Manufacturing industry total;Netherlands;1997 July;7;96
164;1500d Manufacturing industry total;Netherlands;1997 August;3;95
165;1500d Manufacturing industry total;Netherlands;1997 September;9;96
166;1500d Manufacturing industry total;Netherlands;1997 3rd quarter;6;95
167;1500d Manufacturing industry total;Netherlands;1997 October;5;96
168;1500d Manufacturing industry total;Netherlands;1997 November;5;96
169;1500d Manufacturing industry total;Netherlands;1997 December;9;96
170;1500d Manufacturing industry total;Netherlands;1997 4th quarter;6;95
171;1500d Manufacturing industry total;Netherlands;1997;7;94
172;1500d Manufacturing industry total;Netherlands;1998 January;7;94
173;1500d Manufacturing industry total;Netherlands;1998 February;9;94
174;1500d Manufacturing industry total;Netherlands;1998 March;11;94
175;1500d Manufacturing industry total;Netherlands;1998 1st quarter;9;93
176;1500d Manufacturing industry total;Netherlands;1998 April;1;94
177;1500d Manufacturing industry total;Netherlands;1998 May;2;94
178;1500d Manufacturing industry total;Netherlands;1998 June;3;94
179;1500d Manufacturing industry total;Netherlands;1998 2nd quarter;2;94
180;1500d Manufacturing industry total;Netherlands;1998 July;8;94
181;1500d Manufacturing industry total;Netherlands;1998 August;-5;94
182;1500d Manufacturing industry total;Netherlands;1998 September;0;94
183;1500d Manufacturing industry total;Netherlands;1998 3rd quarter;1;94
184;1500d Manufacturing industry total;Netherlands;1998 October;-4;94
185;1500d Manufacturing industry total;Netherlands;1998 November;-2;94
186;1500d Manufacturing industry total;Netherlands;1998 December;-2;94
187;1500d Manufacturing industry total;Netherlands;1998 4th quarter;-3;94
188;1500d Manufacturing industry total;Netherlands;1998;2;93
189;1500d Manufacturing industry total;Netherlands;1999 January;-8;97
190;1500d Manufacturing industry total;Netherlands;1999 February;-8;97
191;1500d Manufacturing industry total;Netherlands;1999 March;3;97
192;1500d Manufacturing industry total;Netherlands;1999 1st quarter;-4;96
193;1500d Manufacturing industry total;Netherlands;1999 April;-3;96
194;1500d Manufacturing industry total;Netherlands;1999 May;-4;96
195;1500d Manufacturing industry total;Netherlands;1999 June;7;96
196;1500d Manufacturing industry total;Netherlands;1999 2nd quarter;0;96
197;1500d Manufacturing industry total;Netherlands;1999 July;-2;96
198;1500d Manufacturing industry total;Netherlands;1999 August;8;95
199;1500d Manufacturing industry total;Netherlands;1999 September;5;96
200;1500d Manufacturing industry total;Netherlands;1999 3rd quarter;4;95
201;1500d Manufacturing industry total;Netherlands;1999 October;3;96
202;1500d Manufacturing industry total;Netherlands;1999 November;13;95
203;1500d Manufacturing industry total;Netherlands;1999 December;22;95
204;1500d Manufacturing industry total;Netherlands;1999 4th quarter;13;95
205;1500d Manufacturing industry total;Netherlands;1999;3;94
206;1500d Manufacturing industry total;Netherlands;2000 January;8;96
207;1500d Manufacturing industry total;Netherlands;2000 February;21;96
208;1500d Manufacturing industry total;Netherlands;2000 March;10;97
209;1500d Manufacturing industry total;Netherlands;2000 1st quarter;13;96
210;1500d Manufacturing industry total;Netherlands;2000 April;5;97
211;1500d Manufacturing industry total;Netherlands;2000 May;24;97
212;1500d Manufacturing industry total;Netherlands;2000 June;0;97
213;1500d Manufacturing industry total;Netherlands;2000 2nd quarter;10;97
214;1500d Manufacturing industry total;Netherlands;2000 July;4;97
215;1500d Manufacturing industry total;Netherlands;2000 August;20;97
216;1500d Manufacturing industry total;Netherlands;2000 September;8;97
217;1500d Manufacturing industry total;Netherlands;2000 3rd quarter;10;97
218;1500d Manufacturing industry total;Netherlands;2000 October;12;97
219;1500d Manufacturing industry total;Netherlands;2000 November;11;97
220;1500d Manufacturing industry total;Netherlands;2000 December;-2;97
221;1500d Manufacturing industry total;Netherlands;2000 4th quarter;7;97
222;1500d Manufacturing industry total;Netherlands;2000;10;94
223;1500d Manufacturing industry total;Netherlands;2001 January;11;97
224;1500d Manufacturing industry total;Netherlands;2001 February;3;97
225;1500d Manufacturing industry total;Netherlands;2001 March;-1;97
226;1500d Manufacturing industry total;Netherlands;2001 1st quarter;4;97
227;1500d Manufacturing industry total;Netherlands;2001 April;5;97
228;1500d Manufacturing industry total;Netherlands;2001 May;1;97
229;1500d Manufacturing industry total;Netherlands;2001 June;3;97
230;1500d Manufacturing industry total;Netherlands;2001 2nd quarter;3;97
231;1500d Manufacturing industry total;Netherlands;2001 July;2;97
232;1500d Manufacturing industry total;Netherlands;2001 August;-1;97
233;1500d Manufacturing industry total;Netherlands;2001 September;-9;97
234;1500d Manufacturing industry total;Netherlands;2001 3rd quarter;-3;97
235;1500d Manufacturing industry total;Netherlands;2001 October;-1;97
236;1500d Manufacturing industry total;Netherlands;2001 November;-8;97
237;1500d Manufacturing industry total;Netherlands;2001 December;-10;97
238;1500d Manufacturing industry total;Netherlands;2001 4th quarter;-6;96
239;1500d Manufacturing industry total;Netherlands;2001;0;95
240;1500d Manufacturing industry total;Netherlands;2002 January;-4;96
241;1500d Manufacturing industry total;Netherlands;2002 February;-8;96
242;1500d Manufacturing industry total;Netherlands;2002 March;-4;96
243;1500d Manufacturing industry total;Netherlands;2002 1st quarter;-5;96
244;1500d Manufacturing industry total;Netherlands;2002 April;-1;96
245;1500d Manufacturing industry total;Netherlands;2002 May;-5;96
246;1500d Manufacturing industry total;Netherlands;2002 June;-5;95
247;1500d Manufacturing industry total;Netherlands;2002 2nd quarter;-3;95
248;1500d Manufacturing industry total;Netherlands;2002 July;0;95
249;1500d Manufacturing industry total;Netherlands;2002 August;-5;95
250;1500d Manufacturing industry total;Netherlands;2002 September;4;95
251;1500d Manufacturing industry total;Netherlands;2002 3rd quarter;0;95
252;1500d Manufacturing industry total;Netherlands;2002 October;0;94
253;1500d Manufacturing industry total;Netherlands;2002 November;-1;94
254;1500d Manufacturing industry total;Netherlands;2002 December;2;93
255;1500d Manufacturing industry total;Netherlands;2002 4th quarter;0;93
256;1500d Manufacturing industry total;Netherlands;2002;-2;94
257;1500d Manufacturing industry total;Netherlands;2003 January;3;92
258;1500d Manufacturing industry total;Netherlands;2003 February;3;92
259;1500d Manufacturing industry total;Netherlands;2003 March;-2;91
260;1500d Manufacturing industry total;Netherlands;2003 1st quarter;1;91
261;1500d Manufacturing industry total;Netherlands;2003 April;1;92
262;1500d Manufacturing industry total;Netherlands;2003 May;-5;90
263;1500d Manufacturing industry total;Netherlands;2003 June;-1;90
264;1500d Manufacturing industry total;Netherlands;2003 2nd quarter;-2;90
265;1500d Manufacturing industry total;Netherlands;2003 July;-3;90
266;1500d Manufacturing industry total;Netherlands;2003 August;-7;90
267;1500d Manufacturing industry total;Netherlands;2003 September;-1;90
268;1500d Manufacturing industry total;Netherlands;2003 3rd quarter;-4;90
269;1500d Manufacturing industry total;Netherlands;2003 October;-1;91
270;1500d Manufacturing industry total;Netherlands;2003 November;-5;91
271;1500d Manufacturing industry total;Netherlands;2003 December;4;91
272;1500d Manufacturing industry total;Netherlands;2003 4th quarter;-1;91
273;1500d Manufacturing industry total;Netherlands;2003;-1;88
274;1500d Manufacturing industry total;Netherlands;2004 January;-4;93
275;1500d Manufacturing industry total;Netherlands;2004 February;-1;93
276;1500d Manufacturing industry total;Netherlands;2004 March;9;91
277;1500d Manufacturing industry total;Netherlands;2004 1st quarter;1;91
278;1500d Manufacturing industry total;Netherlands;2004 April;3;91
279;1500d Manufacturing industry total;Netherlands;2004 May;-1;91
280;1500d Manufacturing industry total;Netherlands;2004 June;10;92
281;1500d Manufacturing industry total;Netherlands;2004 2nd quarter;4;90
282;1500d Manufacturing industry total;Netherlands;2004 July;7;92
283;1500d Manufacturing industry total;Netherlands;2004 August;5;92
284;1500d Manufacturing industry total;Netherlands;2004 September;5;93
285;1500d Manufacturing industry total;Netherlands;2004 3rd quarter;6;92
286;1500d Manufacturing industry total;Netherlands;2004 October;-2;93
287;1500d Manufacturing industry total;Netherlands;2004 November;12;93
288;1500d Manufacturing industry total;Netherlands;2004 December;8;92
289;1500d Manufacturing industry total;Netherlands;2004 4th quarter;6;92
290;1500d Manufacturing industry total;Netherlands;2004;4;88
291;1500d Manufacturing industry total;Netherlands;2005 January;3;94
292;1500d Manufacturing industry total;Netherlands;2005 February;2;93
293;1500d Manufacturing industry total;Netherlands;2005 March;1;94
294;1500d Manufacturing industry total;Netherlands;2005 1st quarter;2;93
295;1500d Manufacturing industry total;Netherlands;2005 April;5;95
296;1500d Manufacturing industry total;Netherlands;2005 May;8;96
297;1500d Manufacturing industry total;Netherlands;2005 June;7;96
298;1500d Manufacturing industry total;Netherlands;2005 2nd quarter;7;95
299;1500d Manufacturing industry total;Netherlands;2005 July;2;96
300;1500d Manufacturing industry total;Netherlands;2005 August;13;96
301;1500d Manufacturing industry total;Netherlands;2005 September;7;96
302;1500d Manufacturing industry total;Netherlands;2005 3rd quarter;8;95
303;1500d Manufacturing industry total;Netherlands;2005 October;7;95
304;1500d Manufacturing industry total;Netherlands;2005 November;6;95
305;1500d Manufacturing industry total;Netherlands;2005 December;7;95
306;1500d Manufacturing industry total;Netherlands;2005 4th quarter;7;95
307;1500d Manufacturing industry total;Netherlands;2005;6;90
308;1500d Manufacturing industry total;Netherlands;2006 January;10;96
309;1500d Manufacturing industry total;Netherlands;2006 February;10;94
310;1500d Manufacturing industry total;Other countries;1997 January;6;97
311;1500d Manufacturing industry total;Other countries;1997 February;6;97
312;1500d Manufacturing industry total;Other countries;1997 March;5;96
313;1500d Manufacturing industry total;Other countries;1997 1st quarter;6;97
314;1500d Manufacturing industry total;Other countries;1997 April;13;97
315;1500d Manufacturing industry total;Other countries;1997 May;7;97
316;1500d Manufacturing industry total;Other countries;1997 June;16;97
317;1500d Manufacturing industry total;Other countries;1997 2nd quarter;12;97
318;1500d Manufacturing industry total;Other countries;1997 July;16;96
319;1500d Manufacturing industry total;Other countries;1997 August;10;96
320;1500d Manufacturing industry total;Other countries;1997 September;16;97
321;1500d Manufacturing industry total;Other countries;1997 3rd quarter;14;96
322;1500d Manufacturing industry total;Other countries;1997 October;16;96
323;1500d Manufacturing industry total;Other countries;1997 November;11;96
324;1500d Manufacturing industry total;Other countries;1997 December;21;96
325;1500d Manufacturing industry total;Other countries;1997 4th quarter;16;96
326;1500d Manufacturing industry total;Other countries;1997;12;95
327;1500d Manufacturing industry total;Other countries;1998 January;8;96
328;1500d Manufacturing industry total;Other countries;1998 February;8;96
329;1500d Manufacturing industry total;Other countries;1998 March;14;96
330;1500d Manufacturing industry total;Other countries;1998 1st quarter;10;96
331;1500d Manufacturing industry total;Other countries;1998 April;7;96
332;1500d Manufacturing industry total;Other countries;1998 May;2;96
333;1500d Manufacturing industry total;Other countries;1998 June;2;97
334;1500d Manufacturing industry total;Other countries;1998 2nd quarter;3;96
335;1500d Manufacturing industry total;Other countries;1998 July;2;97
336;1500d Manufacturing industry total;Other countries;1998 August;0;97
337;1500d Manufacturing industry total;Other countries;1998 September;-2;97
338;1500d Manufacturing industry total;Other countries;1998 3rd quarter;0;97
339;1500d Manufacturing industry total;Other countries;1998 October;-6;97
340;1500d Manufacturing industry total;Other countries;1998 November;-4;97
341;1500d Manufacturing industry total;Other countries;1998 December;-12;97
342;1500d Manufacturing industry total;Other countries;1998 4th quarter;-7;96
343;1500d Manufacturing industry total;Other countries;1998;1;95
344;1500d Manufacturing industry total;Other countries;1999 January;-7;98
345;1500d Manufacturing industry total;Other countries;1999 February;-8;97
346;1500d Manufacturing industry total;Other countries;1999 March;-1;97
347;1500d Manufacturing industry total;Other countries;1999 1st quarter;-5;97
348;1500d Manufacturing industry total;Other countries;1999 April;-7;97
349;1500d Manufacturing industry total;Other countries;1999 May;-2;97
350;1500d Manufacturing industry total;Other countries;1999 June;2;97
351;1500d Manufacturing industry total;Other countries;1999 2nd quarter;-3;97
352;1500d Manufacturing industry total;Other countries;1999 July;-3;97
353;1500d Manufacturing industry total;Other countries;1999 August;2;97
354;1500d Manufacturing industry total;Other countries;1999 September;4;96
355;1500d Manufacturing industry total;Other countries;1999 3rd quarter;1;96
356;1500d Manufacturing industry total;Other countries;1999 October;2;97
357;1500d Manufacturing industry total;Other countries;1999 November;15;96
358;1500d Manufacturing industry total;Other countries;1999 December;28;96
359;1500d Manufacturing industry total;Other countries;1999 4th quarter;15;96
360;1500d Manufacturing industry total;Other countries;1999;2;95
361;1500d Manufacturing industry total;Other countries;2000 January;13;97
362;1500d Manufacturing industry total;Other countries;2000 February;23;97
363;1500d Manufacturing industry total;Other countries;2000 March;10;97
364;1500d Manufacturing industry total;Other countries;2000 1st quarter;17;97
365;1500d Manufacturing industry total;Other countries;2000 April;11;98
366;1500d Manufacturing industry total;Other countries;2000 May;33;99
367;1500d Manufacturing industry total;Other countries;2000 June;15;98
368;1500d Manufacturing industry total;Other countries;2000 2nd quarter;19;98
369;1500d Manufacturing industry total;Other countries;2000 July;11;99
370;1500d Manufacturing industry total;Other countries;2000 August;28;99
371;1500d Manufacturing industry total;Other countries;2000 September;17;99
372;1500d Manufacturing industry total;Other countries;2000 3rd quarter;18;99
373;1500d Manufacturing industry total;Other countries;2000 October;21;99
374;1500d Manufacturing industry total;Other countries;2000 November;19;99
375;1500d Manufacturing industry total;Other countries;2000 December;4;99
376;1500d Manufacturing industry total;Other countries;2000 4th quarter;15;99
377;1500d Manufacturing industry total;Other countries;2000;18;97
378;1500d Manufacturing industry total;Other countries;2001 January;16;99
379;1500d Manufacturing industry total;Other countries;2001 February;5;99
380;1500d Manufacturing industry total;Other countries;2001 March;1;99
381;1500d Manufacturing industry total;Other countries;2001 1st quarter;6;99
382;1500d Manufacturing industry total;Other countries;2001 April;7;99
383;1500d Manufacturing industry total;Other countries;2001 May;1;99
384;1500d Manufacturing industry total;Other countries;2001 June;4;99
385;1500d Manufacturing industry total;Other countries;2001 2nd quarter;4;99
386;1500d Manufacturing industry total;Other countries;2001 July;5;99
387;1500d Manufacturing industry total;Other countries;2001 August;-2;99
388;1500d Manufacturing industry total;Other countries;2001 September;-7;98
389;1500d Manufacturing industry total;Other countries;2001 3rd quarter;-1;98
390;1500d Manufacturing industry total;Other countries;2001 October;-6;99
391;1500d Manufacturing industry total;Other countries;2001 November;-11;99
392;1500d Manufacturing industry total;Other countries;2001 December;-10;98
393;1500d Manufacturing industry total;Other countries;2001 4th quarter;-9;98
394;1500d Manufacturing industry total;Other countries;2001;0;97
395;1500d Manufacturing industry total;Other countries;2002 January;-6;97
396;1500d Manufacturing industry total;Other countries;2002 February;-6;96
397;1500d Manufacturing industry total;Other countries;2002 March;-6;96
398;1500d Manufacturing industry total;Other countries;2002 1st quarter;-6;97
399;1500d Manufacturing industry total;Other countries;2002 April;2;96
400;1500d Manufacturing industry total;Other countries;2002 May;-7;96
401;1500d Manufacturing industry total;Other countries;2002 June;-7;96
402;1500d Manufacturing industry total;Other countries;2002 2nd quarter;-4;96
403;1500d Manufacturing industry total;Other countries;2002 July;-1;97
404;1500d Manufacturing industry total;Other countries;2002 August;-6;96
405;1500d Manufacturing industry total;Other countries;2002 September;2;95
406;1500d Manufacturing industry total;Other countries;2002 3rd quarter;-2;96
407;1500d Manufacturing industry total;Other countries;2002 October;4;94
408;1500d Manufacturing industry total;Other countries;2002 November;-1;93
409;1500d Manufacturing industry total;Other countries;2002 December;3;93
410;1500d Manufacturing industry total;Other countries;2002 4th quarter;2;93
411;1500d Manufacturing industry total;Other countries;2002;-2;95
412;1500d Manufacturing industry total;Other countries;2003 January;3;96
413;1500d Manufacturing industry total;Other countries;2003 February;5;96
414;1500d Manufacturing industry total;Other countries;2003 March;4;96
415;1500d Manufacturing industry total;Other countries;2003 1st quarter;4;96
416;1500d Manufacturing industry total;Other countries;2003 April;-1;96
417;1500d Manufacturing industry total;Other countries;2003 May;-3;96
418;1500d Manufacturing industry total;Other countries;2003 June;-4;96
419;1500d Manufacturing industry total;Other countries;2003 2nd quarter;-3;96
420;1500d Manufacturing industry total;Other countries;2003 July;0;96
421;1500d Manufacturing industry total;Other countries;2003 August;-4;96
422;1500d Manufacturing industry total;Other countries;2003 September;1;95
423;1500d Manufacturing industry total;Other countries;2003 3rd quarter;-1;95
424;1500d Manufacturing industry total;Other countries;2003 October;-2;95
425;1500d Manufacturing industry total;Other countries;2003 November;-5;96
426;1500d Manufacturing industry total;Other countries;2003 December;2;95
427;1500d Manufacturing industry total;Other countries;2003 4th quarter;-2;95
428;1500d Manufacturing industry total;Other countries;2003;0;93
429;1500d Manufacturing industry total;Other countries;2004 January;0;96
430;1500d Manufacturing industry total;Other countries;2004 February;0;96
431;1500d Manufacturing industry total;Other countries;2004 March;10;96
432;1500d Manufacturing industry total;Other countries;2004 1st quarter;4;95
433;1500d Manufacturing industry total;Other countries;2004 April;8;94
434;1500d Manufacturing industry total;Other countries;2004 May;3;94
435;1500d Manufacturing industry total;Other countries;2004 June;18;94
436;1500d Manufacturing industry total;Other countries;2004 2nd quarter;10;93
437;1500d Manufacturing industry total;Other countries;2004 July;9;94
438;1500d Manufacturing industry total;Other countries;2004 August;12;94
439;1500d Manufacturing industry total;Other countries;2004 September;12;94
440;1500d Manufacturing industry total;Other countries;2004 3rd quarter;11;94
441;1500d Manufacturing industry total;Other countries;2004 October;3;95
442;1500d Manufacturing industry total;Other countries;2004 November;18;95
443;1500d Manufacturing industry total;Other countries;2004 December;17;95
444;1500d Manufacturing industry total;Other countries;2004 4th quarter;12;95
445;1500d Manufacturing industry total;Other countries;2004;10;91
446;1500d Manufacturing industry total;Other countries;2005 January;9;96
447;1500d Manufacturing industry total;Other countries;2005 February;10;96
448;1500d Manufacturing industry total;Other countries;2005 March;5;96
449;1500d Manufacturing industry total;Other countries;2005 1st quarter;8;96
450;1500d Manufacturing industry total;Other countries;2005 April;7;97
451;1500d Manufacturing industry total;Other countries;2005 May;9;98
452;1500d Manufacturing industry total;Other countries;2005 June;9;97
453;1500d Manufacturing industry total;Other countries;2005 2nd quarter;8;96
454;1500d Manufacturing industry total;Other countries;2005 July;3;98
455;1500d Manufacturing industry total;Other countries;2005 August;10;98
