ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;UitzendenVanPersoneel_26;UitlenenEnDetacherenVanPersoneel_27;TestenWervenEnSelecterenPersoneel_28;Arbeidsbemiddeling_29;DetacherenVanGesubsidieerdPersoneel_30;OverigeDiensten_31;TotaalVerleendeDiensten_32;OntvangstenVoorUitleenEnSubsidie_33;TotaalPersoneelskosten_34;BrutoLonenEnSalarissen_35;SocialeLasten_36;Pensioenpremies_37;KostenUitzendkrachten_38;KostenIngeleendPersoneel_39;OverigePersoneelskosten_40;TotaalOverigeBedrijfslasten_41;TotaalHuisvestingskosten_42;BetaaldeHurenPachtenEDVanLeasing_43;OnroerendeZaakbelastingMilieuheffing_44;Energiekosten_45;ReparatieEnOnderhoudskosten_46;Verzekeringen_47;OverigeHuisvestingskosten_48;TotaalInventarisEnMachinekosten_49;BetaaldeHurenEnKostenVanOperLease_50;Onderhoudskosten_51;OverigeInventarisEnMachinekosten_52;TotaalAutokosten_53;BetaaldeHurenEnKostenVanOperLease_54;Brandstof_55;OverigeAutokosten_56;TotaalVerkoopkosten_57;ReclameEnAdvertentiekosten_58;ReisVerblijfsEnRepresentatiekosten_59;OverigeVerkoopkosten_60;TotaalAndereKosten_61;AccountantsEnAdviesdiensten_62;KantoorbenodigdhDrukwerkVakliteratuur_63;OverigeVerzekeringen_64;OverigeKostprijsverhogendeBelastingen_65;Communicatiekosten_66;Beheerskosten_67;OverigeAutomatiseringskosten_68;NogNietEerderGenoemdeBedrijfskosten_69;TotaalAantalWerkzamePersonen_70;WerknemersOpDeLoonlijst_71;WerknemersNietOpLoonlijst_72;OverigPersoneel_73;AantalVte_74;TotaalInvesteringen_75;TotaalMaterieleVasteActiva_76;Bedrijfsruimten_77;Vervoermiddelen_78;Computers_79;OverigeMachinesApparatenED_80;OverigeMaterieleVasteActiva_81;TotaalImmaterieleVasteActiva_82
10;50 000 tot 250 000 euro;1998;4.1;60.0;59.0;59.0;0.0;1.0;47.0;19.5;42.9;3.1;34.5;16.0;3.0;0.0;2.0;3.0;8.0;13.0;3.0;16.0;84.6;26.2;26.5;6.7;59.0;8.3;3.5;31.6;45.8;0.9;9.6;99.5;3.2;20.0;78.8;8.1;3.0;0.7;6.9;5.7;16.0;3.0;;;;;;;0.0;;;;2.0;;;;3.0;;;;8.0;;;;;;;;;11.0;84.8;12.3;2.8;8.0;4.0;77.8;1.6;42.9;19.4;4.8;9.0;22.2
11;50 000 tot 250 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;250 000 tot 1 000 000 euro;1996;1.6;80.0;79.0;79.0;0.0;1.0;67.0;17.6;42.2;5.4;34.9;23.0;4.0;0.0;2.0;5.0;12.0;13.0;0.0;13.0;85.3;16.4;16.3;5.8;79.0;10.1;2.5;0.0;87.4;0.0;0.0;100.0;0.0;28.0;77.1;6.0;7.6;0.0;2.4;6.8;23.0;4.0;75.3;0.7;5.5;6.3;0.2;12.0;0.0;35.9;29.4;34.7;2.0;36.8;20.0;43.2;5.0;42.8;24.0;33.2;12.0;14.7;9.4;1.0;0.2;14.4;44.3;1.9;14.0;11.0;93.2;5.8;1.0;8.0;5.0;93.7;6.6;40.4;17.9;16.5;12.3;6.3
13;250 000 tot 1 000 000 euro;1997;1.9;98.0;98.0;98.0;0.0;0.0;83.0;15.0;39.0;5.1;40.9;34.0;5.0;1.0;2.0;6.0;21.0;16.0;-2.0;14.0;87.4;15.1;14.5;3.4;98.0;10.2;3.3;33.8;46.6;2.0;4.0;100.0;0.0;32.0;76.9;5.6;3.8;0.2;6.0;7.5;34.0;5.0;79.9;0.2;5.6;3.1;0.4;10.8;1.0;51.1;33.8;15.1;2.0;25.8;24.1;50.1;6.0;57.1;32.1;10.8;21.0;9.3;8.5;1.0;1.1;7.0;47.5;0.6;25.1;12.0;93.1;3.8;3.0;8.0;3.0;95.1;8.2;11.1;25.2;9.8;40.8;4.9
14;250 000 tot 1 000 000 euro;1998;1.9;97.0;97.0;97.0;0.0;0.0;80.0;17.5;43.1;4.8;34.6;28.0;5.0;1.0;3.0;4.0;15.0;17.0;1.0;18.0;85.5;18.1;18.3;18.3;97.0;12.6;5.0;40.5;36.8;0.2;4.7;99.9;1.0;34.0;75.6;7.8;3.5;0.6;7.8;5.6;28.0;5.0;;;;;;;1.0;;;;3.0;;;;4.0;;;;15.0;;;;;;;;;11.0;88.1;10.1;1.8;9.0;18.0;30.3;3.7;11.2;5.5;1.2;8.6;69.7
15;250 000 tot 1 000 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1 000 000 euro en meer;1996;0.2;698.0;697.0;697.0;0.0;1.0;550.0;1.8;59.7;8.8;29.6;163.0;60.0;1.0;5.0;12.0;85.0;148.0;-23.0;125.0;98.5;18.0;17.9;4.5;697.0;0.5;1.3;0.0;96.2;0.0;2.0;100.0;0.0;328.0;75.2;3.5;5.7;5.0;2.9;7.6;163.0;60.0;61.3;1.5;17.4;6.1;1.4;12.2;1.0;12.4;30.8;56.8;5.0;69.1;13.2;17.6;12.0;7.2;65.2;27.6;85.0;3.6;25.5;2.8;0.0;5.4;11.6;14.3;36.8;91.0;90.1;0.1;9.8;80.0;32.0;99.8;51.4;0.4;3.5;5.2;39.3;0.2
17;1 000 000 euro en meer;1997;0.4;678.0;677.0;677.0;0.0;1.0;654.0;3.7;57.9;5.9;32.5;213.0;63.0;1.0;6.0;20.0;123.0;24.0;-70.0;-46.0;96.4;4.6;-6.8;11.2;677.0;1.6;1.9;7.1;84.9;0.0;4.6;100.0;0.0;379.0;77.4;3.1;2.0;5.4;3.9;8.2;213.0;63.0;60.6;1.8;17.2;6.6;1.5;12.4;1.0;20.9;53.0;26.1;6.0;65.8;15.2;19.0;20.0;9.4;67.4;23.3;123.0;3.9;22.6;2.4;0.1;4.7;11.0;20.2;35.1;93.0;92.2;0.3;7.5;84.0;76.0;99.6;23.8;1.0;1.5;3.6;69.7;0.4
18;1 000 000 euro en meer;1998;0.8;920.0;852.0;852.0;0.0;68.0;880.0;4.8;59.5;6.9;28.7;253.0;77.0;1.0;7.0;24.0;144.0;40.0;11.0;51.0;95.0;-2.8;5.6;17.3;852.0;2.6;2.1;10.9;81.3;0.0;3.0;100.0;0.0;524.0;67.3;5.0;4.3;4.3;12.2;7.0;253.0;77.0;;;;;;;1.0;;;;7.0;;;;24.0;;;;144.0;;;;;;;;;124.0;93.3;0.1;6.6;109.0;159.0;98.6;55.7;0.2;17.4;21.3;4.1;1.4
19;1 000 000 euro en meer;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
