ID;KenmerkenInstallaties;Perioden;PerKgVerwijderdeBZVRekenkundig_1;PerKgVerwijderdeBZVLandelijk_2;PerIEAangevoerdRekenkundig_3;PerIEAangevoerdLandelijk_4;InstallatiesMetWarmeSlibgisting_5;CapaciteitMetWarmeSlibgisting_6;AsgehalteInAanvoer_7;Gistingstemperatuur_8;Verblijftijd_9;RendementDrogeStofVerwijdering_10;RendementOrganischeStofVerwijdering_11;BiogasproductiePerAangevoerdeKgDS_12;BiogasproductiePerVerwijderdeKgDS_13
19;Totaal alle installaties;2007;1.13;1.1;16.56;15.51;87.0;12514.0;33.0;34.0;26.0;34.0;50.0;328.0;1109.0
20;Totaal alle installaties;2008;1.13;1.06;16.41;15.68;81.0;12503.0;28.0;34.0;25.0;33.0;46.0;298.0;990.0
21;Totaal alle installaties;2009;1.09;1.03;15.52;15.04;82.0;12322.0;30.0;34.0;26.0;38.0;53.0;297.0;841.0
22;Totaal alle installaties;2010;1.04;0.99;16.04;15.35;;;;;;;;;
23;Totaal alle installaties;2011;1.02;0.98;16.16;15.47;78.0;12153.0;29.0;35.0;27.0;36.0;52.0;321.0;1051.0
24;Totaal alle installaties;2012;1.02;0.96;16.48;15.34;;;;;;;;;
25;Totaal alle installaties;2013;1.02;0.96;16.49;15.93;65.0;11164.0;28.0;35.0;27.0;36.0;50.0;314.0;918.0
26;Totaal alle installaties;2014;0.98;0.92;15.77;14.75;;;;;;;;;
27;Totaal alle installaties;2015;0.96;0.88;15.58;14.28;60.0;10836.0;25.0;35.0;27.0;37.0;49.0;365.0;1036.0
28;Totaal alle installaties;2016;0.93;0.84;14.88;13.87;;;;;;;;;
29;Totaal alle installaties;2017;;;;;;;;;;;;;
30;Totaal alle installaties;2018;0.92;0.83;16.06;14.04;52.0;9196.0;27.0;36.0;29.0;40.0;55.0;366.0;968.0
31;Totaal alle installaties;2019;;;;;;;;;;;;;
32;Totaal alle installaties;2020;0.93;0.85;14.4;12.93;59.0;10387.0;23.0;36.0;27.0;38.0;49.0;358.0;1022.0
33;Totaal alle installaties;2021;;;;;65.0;10901.0;23.0;36.0;23.0;39.0;51.0;353.0;934.0
34;Totaal alle installaties;2022;0.97;0.91;13.6;13.11;65.0;11169.0;22.0;36.0;24.0;37.0;48.0;339.0;989.0
35;Totaal alle installaties;2023;;;;;64.0;11080.0;22.0;37.0;24.0;39.0;50.0;327.0;896.0
36;Mechanische installaties;1981;2.02;1.79;5.99;9.25;2.0;60.0;36.0;32.0;37.0;0.0;0.0;287.0;0.0
37;Mechanische installaties;1985;2.02;0.35;8.3;10.81;2.0;59.0;31.0;30.0;106.0;0.0;0.0;0.0;0.0
38;Mechanische installaties;1990;2.13;1.44;6.91;6.57;1.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39;Mechanische installaties;1991;1.38;1.47;6.89;6.82;1.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;Mechanische installaties;1992;1.45;1.1;7.79;6.65;;;;;;;;;
41;Mechanische installaties;1993;1.64;1.44;7.54;6.36;1.0;40.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0
42;Mechanische installaties;1994;5.97;4.84;14.19;17.85;;;;;;;;;
43;Mechanische installaties;1995;6.33;2.31;8.75;12.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44;Mechanische installaties;1996;3.46;2.52;10.14;9.19;;;;;;;;;
45;Mechanische installaties;1997;1.31;1.47;9.36;10.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46;Mechanische installaties;1998;;;;;;;;;;;;;
47;Mechanische installaties;1999;;;;;;;;;;;;;
48;Mechanische installaties;2000;;;;;;;;;;;;;
49;Mechanische installaties;2001;;;;;;;;;;;;;
50;Mechanische installaties;2002;;;;;;;;;;;;;
51;Mechanische installaties;2003;;;;;;;;;;;;;
52;Mechanische installaties;2004;;;;;;;;;;;;;
53;Mechanische installaties;2005;;;;;;;;;;;;;
54;Mechanische installaties;2006;;;;;;;;;;;;;
55;Mechanische installaties;2007;;;;;;;;;;;;;
56;Mechanische installaties;2008;;;;;;;;;;;;;
57;Mechanische installaties;2009;;;;;;;;;;;;;
58;Mechanische installaties;2010;;;;;;;;;;;;;
59;Mechanische installaties;2011;;;;;;;;;;;;;
60;Mechanische installaties;2012;;;;;;;;;;;;;
61;Mechanische installaties;2013;;;;;;;;;;;;;
62;Mechanische installaties;2014;;;;;;;;;;;;;
63;Mechanische installaties;2015;;;;;;;;;;;;;
64;Mechanische installaties;2016;;;;;;;;;;;;;
65;Mechanische installaties;2017;;;;;;;;;;;;;
66;Mechanische installaties;2018;;;;;;;;;;;;;
67;Mechanische installaties;2019;;;;;;;;;;;;;
68;Mechanische installaties;2020;;;;;;;;;;;;;
69;Mechanische installaties;2021;;;;;;;;;;;;;
70;Mechanische installaties;2022;;;;;;;;;;;;;
71;Mechanische installaties;2023;;;;;;;;;;;;;
72;Oxidatiebedden;1981;0.82;0.77;11.3;11.64;47.0;1912.0;31.0;31.0;48.0;36.0;51.0;348.0;1089.0
73;Oxidatiebedden;1985;0.82;0.48;11.08;11.0;37.0;1679.0;30.0;32.0;52.0;43.0;56.0;329.0;927.0
74;Oxidatiebedden;1990;0.82;0.68;11.08;9.83;32.0;1592.0;34.0;33.0;41.0;34.0;41.0;296.0;1287.0
75;Oxidatiebedden;1991;0.83;0.74;11.27;10.6;31.0;1522.0;35.0;33.0;38.0;38.0;44.0;316.0;998.0
76;Oxidatiebedden;1992;0.84;0.71;10.75;10.11;;;;;;;;;
77;Oxidatiebedden;1993;0.8;0.7;11.36;10.31;25.0;1223.0;35.0;33.0;36.0;29.0;42.0;394.0;1250.0
78;Oxidatiebedden;1994;1.08;0.73;12.18;10.67;;;;;;;;;
79;Oxidatiebedden;1995;1.08;0.94;12.82;12.91;18.0;1007.0;39.0;33.0;25.0;31.0;44.0;557.0;862.0
80;Oxidatiebedden;1996;1.04;0.98;14.76;15.16;;;;;;;;;
81;Oxidatiebedden;1997;1.06;0.96;15.23;15.19;13.0;812.0;36.0;31.0;19.0;29.0;46.0;585.0;1056.0
82;Oxidatiebedden;1998;1.12;1.12;15.06;17.3;;;;;;;;;
83;Oxidatiebedden;1999;0.99;1.01;31.69;16.14;11.0;522.0;37.0;33.0;25.0;27.0;0.0;289.0;1124.0
84;Oxidatiebedden;2000;1.03;0.98;11.43;12.31;;;;;;;;;
85;Oxidatiebedden;2001;1.06;0.95;12.9;12.31;6.0;348.0;42.0;33.0;23.0;32.0;55.0;290.0;926.0
86;Oxidatiebedden;2002;0.97;0.99;12.7;14.22;;;;;;;;;
87;Oxidatiebedden;2003;1.04;0.86;15.12;14.76;5.0;328.0;0.0;33.0;21.0;34.0;0.0;308.0;899.0
88;Oxidatiebedden;2004;0.84;0.81;12.96;13.3;;;;;;;;;
89;Oxidatiebedden;2005;1.1;0.91;13.32;12.54;4.0;252.0;41.0;35.0;27.0;40.0;68.0;578.0;753.0
90;Oxidatiebedden;2006;1.08;1.1;15.03;15.94;;;;;;;;;
91;Oxidatiebedden;2007;0.87;0.8;11.06;10.11;4.0;252.0;0.0;34.0;27.0;33.0;0.0;479.0;1509.0
92;Oxidatiebedden;2008;1.11;0.95;12.4;11.43;;;;;;;;;
93;Oxidatiebedden;2009;1.65;1.3;14.22;14.55;3.0;197.0;43.0;34.0;31.0;36.0;63.0;321.0;996.0
94;Oxidatiebedden;2010;1.16;1.2;16.78;17.97;;;;;;;;;
95;Oxidatiebedden;2011;0.88;1.01;14.75;16.86;2.0;105.0;21.0;34.0;24.0;20.0;20.0;335.0;1927.0
96;Oxidatiebedden;2012;1.29;1.21;21.63;20.42;;;;;;;;;
97;Oxidatiebedden;2013;0.94;0.97;16.06;15.5;2.0;105.0;44.0;32.0;33.0;34.0;60.0;362.0;1071.0
98;Oxidatiebedden;2014;1.0;0.81;17.78;15.01;;;;;;;;;
99;Oxidatiebedden;2015;0.82;0.8;13.86;13.86;;;;;;;;;
100;Oxidatiebedden;2016;0.87;0.8;13.87;10.47;;;;;;;;;
101;Oxidatiebedden;2017;;;;;;;;;;;;;
102;Oxidatiebedden;2018;0.68;0.68;14.64;14.88;;;;;;;;;
103;Oxidatiebedden;2019;;;;;;;;;;;;;
104;Oxidatiebedden;2020;0.93;0.94;14.3;13.88;;;;;;;;;
105;Oxidatiebedden;2021;;;;;1.0;60.0;;;;27.0;;272.0;1010.0
106;Oxidatiebedden;2022;1.54;1.54;30.84;30.84;1.0;60.0;;;;27.0;;145.0;536.0
107;Oxidatiebedden;2023;;;;;1.0;60.0;;;;27.0;;140.0;518.0
108;Aeratietanks;1981;0.93;0.83;13.59;12.97;38.0;3691.0;28.0;32.0;40.0;43.0;63.0;514.0;2377.0
109;Aeratietanks;1985;0.86;0.93;13.81;14.99;46.0;5904.0;27.0;32.0;36.0;42.0;58.0;299.0;832.0
110;Aeratietanks;1990;1.01;1.05;16.33;16.13;48.0;7373.0;29.0;32.0;31.0;36.0;48.0;351.0;986.0
111;Aeratietanks;1991;1.03;0.96;16.51;15.81;48.0;7373.0;30.0;31.0;31.0;39.0;56.0;327.0;792.0
112;Aeratietanks;1992;1.21;1.02;17.52;15.32;;;;;;;;;
113;Aeratietanks;1993;1.04;1.0;15.61;15.12;45.0;6984.0;30.0;32.0;31.0;36.0;48.0;287.0;900.0
114;Aeratietanks;1994;1.07;0.98;15.59;14.63;;;;;;;;;
115;Aeratietanks;1995;1.11;1.16;16.07;17.08;42.0;7077.0;31.0;32.0;27.0;37.0;50.0;315.0;774.0
116;Aeratietanks;1996;1.12;1.18;17.24;18.69;;;;;;;;;
117;Aeratietanks;1997;1.03;1.04;17.58;17.98;44.0;7328.0;33.0;32.0;26.0;32.0;49.0;309.0;1063.0
118;Aeratietanks;1998;1.05;1.1;16.8;16.97;;;;;;;;;
119;Aeratietanks;1999;1.25;1.26;19.3;18.57;39.0;6807.0;36.0;32.0;28.0;34.0;43.0;336.0;1102.0
120;Aeratietanks;2000;1.05;1.06;15.68;14.29;;;;;;;;;
121;Aeratietanks;2001;1.09;1.13;15.46;14.47;40.0;6840.0;34.0;32.0;24.0;30.0;43.0;334.0;1341.0
122;Aeratietanks;2002;1.19;1.16;17.22;14.88;;;;;;;;;
123;Aeratietanks;2003;1.08;1.12;17.72;16.46;37.0;6260.0;35.0;33.0;23.0;32.0;53.0;291.0;1112.0
124;Aeratietanks;2004;1.01;0.99;16.07;14.96;;;;;;;;;
125;Aeratietanks;2005;1.03;1.04;16.0;15.33;42.0;7806.0;34.0;34.0;28.0;36.0;54.0;324.0;964.0
126;Aeratietanks;2006;1.12;1.16;16.98;16.13;;;;;;;;;
127;Aeratietanks;2007;0.98;1.03;14.45;14.22;43.0;7064.0;31.0;34.0;27.0;34.0;50.0;316.0;1028.0
128;Aeratietanks;2008;0.99;0.96;15.61;14.35;;;;;;;;;
129;Aeratietanks;2009;1.0;1.02;15.8;15.13;42.0;7029.0;30.0;35.0;26.0;37.0;53.0;303.0;861.0
130;Aeratietanks;2010;0.97;0.97;15.61;15.61;;;;;;;;;
131;Aeratietanks;2011;0.97;0.99;14.8;15.2;37.0;6547.0;28.0;35.0;26.0;36.0;50.0;323.0;1042.0
132;Aeratietanks;2012;0.93;0.95;14.7;14.51;;;;;;;;;
133;Aeratietanks;2013;0.95;0.94;16.47;16.29;27.0;5706.0;28.0;35.0;27.0;36.0;50.0;335.0;976.0
134;Aeratietanks;2014;0.96;0.9;15.2;14.78;;;;;;;;;
135;Aeratietanks;2015;0.92;0.88;14.42;14.24;28.0;5714.0;25.0;35.0;27.0;37.0;50.0;412.0;1045.0
136;Aeratietanks;2016;0.88;0.81;14.26;14.17;;;;;;;;;
137;Aeratietanks;2017;;;;;;;;;;;;;
138;Aeratietanks;2018;0.9;0.79;15.08;13.87;25.0;5218.0;29.0;37.0;26.0;41.0;59.0;361.0;878.0
139;Aeratietanks;2019;;;;;;;;;;;;;
140;Aeratietanks;2020;0.86;0.8;13.58;12.9;31.0;5918.0;25.0;35.0;28.0;39.0;51.0;323.0;972.0
141;Aeratietanks;2021;;;;;31.0;5899.0;24.0;35.0;24.0;39.0;52.0;326.0;859.0
142;Aeratietanks;2022;1.0;0.91;12.89;13.05;31.0;6082.0;23.0;36.0;23.0;38.0;50.0;350.0;993.0
143;Aeratietanks;2023;;;;;30.0;5736.0;23.0;36.0;23.0;37.0;49.0;331.0;938.0
144;Oxidatietanks;1981;1.5;1.25;22.63;20.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
145;Oxidatietanks;1985;1.03;0.73;15.98;16.66;1.0;65.0;20.0;30.0;38.0;19.0;24.0;223.0;1144.0
146;Oxidatietanks;1990;1.17;1.1;17.62;16.36;3.0;200.0;24.0;32.0;28.0;33.0;42.0;318.0;1047.0
147;Oxidatietanks;1991;1.1;1.09;17.23;17.05;3.0;188.0;27.0;33.0;27.0;31.0;42.0;294.0;884.0
148;Oxidatietanks;1992;1.11;1.07;17.34;16.5;;;;;;;;;
149;Oxidatietanks;1993;1.09;1.03;17.36;15.88;6.0;578.0;29.0;32.0;38.0;28.0;38.0;368.0;1275.0
150;Oxidatietanks;1994;1.1;0.96;17.93;16.21;;;;;;;;;
151;Oxidatietanks;1995;1.16;1.12;17.64;16.97;5.0;468.0;33.0;31.0;42.0;33.0;42.0;419.0;1010.0
152;Oxidatietanks;1996;1.09;1.06;17.78;17.35;;;;;;;;;
153;Oxidatietanks;1997;1.05;1.0;17.6;17.26;6.0;518.0;32.0;32.0;30.0;24.0;36.0;367.0;970.0
154;Oxidatietanks;1998;1.12;1.04;17.4;17.03;;;;;;;;;
155;Oxidatietanks;1999;1.1;0.97;16.95;15.79;8.0;753.0;30.0;33.0;34.0;34.0;48.0;291.0;859.0
156;Oxidatietanks;2000;1.01;0.94;16.2;15.21;;;;;;;;;
157;Oxidatietanks;2001;1.07;0.97;17.07;15.97;9.0;1053.0;34.0;34.0;25.0;23.0;30.0;301.0;1379.0
158;Oxidatietanks;2002;1.08;0.99;16.39;15.96;;;;;;;;;
159;Oxidatietanks;2003;1.06;1.04;16.35;15.05;12.0;1535.0;34.0;34.0;27.0;36.0;57.0;300.0;933.0
160;Oxidatietanks;2004;1.09;1.07;17.35;16.37;;;;;;;;;
161;Oxidatietanks;2005;1.17;1.23;16.91;17.12;11.0;1289.0;35.0;34.0;22.0;34.0;50.0;328.0;1053.0
162;Oxidatietanks;2006;1.13;1.15;16.36;16.48;;;;;;;;;
163;Oxidatietanks;2007;1.14;1.12;16.53;15.77;11.0;1253.0;34.0;34.0;23.0;33.0;49.0;341.0;1181.0
164;Oxidatietanks;2008;1.06;1.09;15.96;15.89;;;;;;;;;
165;Oxidatietanks;2009;1.02;0.98;14.61;13.84;11.0;1253.0;27.0;33.0;26.0;40.0;54.0;296.0;783.0
166;Oxidatietanks;2010;1.01;0.94;15.05;13.61;;;;;;;;;
167;Oxidatietanks;2011;1.02;0.97;15.83;14.61;11.0;1483.0;25.0;34.0;27.0;39.0;51.0;328.0;897.0
168;Oxidatietanks;2012;1.0;0.92;15.65;14.46;;;;;;;;;
169;Oxidatietanks;2013;1.0;0.93;15.67;14.81;8.0;1027.0;25.0;36.0;27.0;35.0;49.0;299.0;951.0
170;Oxidatietanks;2014;0.92;0.88;14.45;13.03;;;;;;;;;
171;Oxidatietanks;2015;0.89;0.75;14.67;12.16;9.0;1217.0;23.0;36.0;25.0;33.0;43.0;258.0;766.0
172;Oxidatietanks;2016;0.86;0.75;14.0;12.07;;;;;;;;;
173;Oxidatietanks;2017;;;;;;;;;;;;;
174;Oxidatietanks;2018;0.89;0.78;15.1;12.36;7.0;1143.0;25.0;36.0;25.0;40.0;52.0;331.0;825.0
175;Oxidatietanks;2019;;;;;;;;;;;;;
176;Oxidatietanks;2020;0.91;0.88;14.05;12.23;8.0;1298.0;21.0;37.0;22.0;38.0;45.0;459.0;1026.0
177;Oxidatietanks;2021;;;;;8.0;1298.0;23.0;37.0;19.0;39.0;50.0;357.0;926.0
178;Oxidatietanks;2022;0.92;0.87;13.25;11.46;8.0;1319.0;20.0;38.0;20.0;36.0;46.0;304.0;873.0
179;Oxidatietanks;2023;;;;;8.0;1319.0;20.0;37.0;26.0;40.0;50.0;353.0;925.0
180;Oxidatiesloten;1981;1.34;1.1;20.48;18.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
181;Oxidatiesloten;1985;1.01;0.48;16.07;16.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
182;Oxidatiesloten;1990;1.09;0.91;16.63;16.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
183;Oxidatiesloten;1991;1.01;0.96;17.74;18.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
184;Oxidatiesloten;1992;1.04;0.99;17.72;17.65;;;;;;;;;
185;Oxidatiesloten;1993;1.05;0.98;18.49;17.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
186;Oxidatiesloten;1994;1.09;0.91;19.31;18.66;;;;;;;;;
187;Oxidatiesloten;1995;1.11;1.0;19.02;17.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
188;Oxidatiesloten;1996;1.05;0.94;18.49;17.78;;;;;;;;;
189;Oxidatiesloten;1997;1.06;0.94;17.85;16.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
190;Oxidatiesloten;1998;1.13;1.03;20.27;17.13;;;;;;;;;
191;Oxidatiesloten;1999;1.08;1.08;18.57;18.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
192;Oxidatiesloten;2000;1.06;1.05;17.77;17.24;;;;;;;;;
193;Oxidatiesloten;2001;1.13;1.07;18.32;17.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
194;Oxidatiesloten;2002;1.14;1.05;18.88;19.07;;;;;;;;;
195;Oxidatiesloten;2003;1.17;1.05;18.08;17.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
196;Oxidatiesloten;2004;1.05;0.96;16.18;16.43;;;;;;;;;
197;Oxidatiesloten;2005;1.12;1.07;16.25;15.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
198;Oxidatiesloten;2006;1.22;1.15;17.28;17.53;;;;;;;;;
199;Oxidatiesloten;2007;1.29;1.23;19.49;15.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200;Oxidatiesloten;2008;1.28;1.18;18.1;18.3;;;;;;;;;
201;Oxidatiesloten;2009;1.2;1.14;17.41;17.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
202;Oxidatiesloten;2010;1.12;1.08;16.66;16.78;;;;;;;;;
203;Oxidatiesloten;2011;1.09;1.06;17.18;18.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
204;Oxidatiesloten;2012;1.1;1.05;17.55;17.54;;;;;;;;;
205;Oxidatiesloten;2013;1.1;1.03;18.05;18.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
206;Oxidatiesloten;2014;1.06;1.0;17.17;17.09;;;;;;;;;
207;Oxidatiesloten;2015;1.07;1.04;17.12;16.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
208;Oxidatiesloten;2016;1.01;1.02;17.4;17.15;;;;;;;;;
209;Oxidatiesloten;2017;;;;;;;;;;;;;
210;Oxidatiesloten;2018;1.0;0.96;20.71;22.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211;Oxidatiesloten;2019;;;;;;;;;;;;;
212;Oxidatiesloten;2020;0.97;0.97;16.03;15.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
213;Oxidatiesloten;2021;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
214;Oxidatiesloten;2022;1.0;1.21;14.91;18.13;;;;;;;;;
215;Oxidatiesloten;2023;;;;;;;;;;;;;
216;Carrousels;1981;1.12;1.03;18.61;18.56;1.0;68.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
217;Carrousels;1985;1.02;0.94;16.6;16.06;2.0;148.0;22.0;0.0;33.0;53.0;67.0;350.0;667.0
218;Carrousels;1990;1.1;1.1;18.23;18.44;8.0;797.0;32.0;32.0;33.0;38.0;63.0;298.0;774.0
219;Carrousels;1991;1.17;1.13;19.43;19.36;8.0;797.0;32.0;32.0;31.0;36.0;58.0;330.0;885.0
220;Carrousels;1992;1.11;1.13;18.29;19.12;;;;;;;;;
221;Carrousels;1993;1.1;1.09;18.68;18.55;8.0;807.0;32.0;32.0;22.0;27.0;45.0;263.0;1171.0
222;Carrousels;1994;1.18;0.84;19.22;18.96;;;;;;;;;
223;Carrousels;1995;1.22;1.21;18.95;18.36;13.0;1395.0;33.0;32.0;28.0;33.0;47.0;224.0;601.0
224;Carrousels;1996;1.15;1.17;19.12;19.04;;;;;;;;;
225;Carrousels;1997;1.16;1.24;19.28;19.65;14.0;1535.0;36.0;32.0;29.0;33.0;50.0;332.0;1182.0
226;Carrousels;1998;1.23;1.31;19.98;20.56;;;;;;;;;
227;Carrousels;1999;1.23;1.32;19.62;19.69;17.0;2074.0;37.0;32.0;29.0;34.0;63.0;281.0;914.0
228;Carrousels;2000;1.15;1.16;17.41;17.59;;;;;;;;;
229;Carrousels;2001;1.24;1.22;17.99;17.98;20.0;2340.0;28.0;33.0;27.0;37.0;61.0;267.0;826.0
230;Carrousels;2002;1.19;1.19;17.5;17.4;;;;;;;;;
231;Carrousels;2003;1.14;1.17;17.19;17.4;20.0;2085.0;33.0;34.0;26.0;30.0;45.0;286.0;1027.0
232;Carrousels;2004;1.16;1.19;17.59;17.49;;;;;;;;;
233;Carrousels;2005;1.18;1.19;16.81;17.13;21.0;2327.0;29.0;34.0;29.0;33.0;44.0;354.0;1320.0
234;Carrousels;2006;1.16;1.22;16.35;17.48;;;;;;;;;
235;Carrousels;2007;1.13;1.19;16.72;17.82;17.0;2007.0;34.0;33.0;26.0;35.0;50.0;348.0;1388.0
236;Carrousels;2008;1.16;1.17;16.49;17.39;;;;;;;;;
237;Carrousels;2009;1.13;1.1;14.98;15.59;16.0;1972.0;32.0;34.0;28.0;38.0;54.0;309.0;821.0
238;Carrousels;2010;1.07;1.06;16.49;16.41;;;;;;;;;
239;Carrousels;2011;1.02;1.0;16.77;16.2;18.0;2150.0;34.0;35.0;29.0;38.0;60.0;328.0;1126.0
240;Carrousels;2012;1.06;1.0;17.28;16.48;;;;;;;;;
241;Carrousels;2013;1.04;0.99;15.88;15.83;17.0;2058.0;30.0;36.0;26.0;38.0;53.0;292.0;801.0
242;Carrousels;2014;0.99;0.99;16.37;15.86;;;;;;;;;
243;Carrousels;2015;1.0;0.96;16.5;15.69;14.0;1792.0;26.0;36.0;27.0;41.0;57.0;323.0;1307.0
244;Carrousels;2016;0.95;0.91;14.92;14.19;;;;;;;;;
245;Carrousels;2017;;;;;;;;;;;;;
246;Carrousels;2018;0.96;0.93;15.69;15.08;12.0;1563.0;26.0;36.0;28.0;38.0;51.0;349.0;1007.0
247;Carrousels;2019;;;;;;;;;;;;;
248;Carrousels;2020;0.96;0.91;14.1;13.28;13.0;1683.0;21.0;37.0;27.0;37.0;46.0;390.0;1204.0
249;Carrousels;2021;;;;;15.0;1911.0;21.0;35.0;23.0;39.0;50.0;404.0;1079.0
250;Carrousels;2022;0.95;0.94;13.78;13.48;15.0;2023.0;20.0;36.0;24.0;36.0;43.0;325.0;1031.0
251;Carrousels;2023;;;;;14.0;1950.0;20.0;36.0;23.0;40.0;51.0;319.0;872.0
252;Discontinue systemen;1981;2.04;1.55;24.46;23.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
253;Discontinue systemen;1985;0.81;0.06;11.75;9.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
254;Discontinue systemen;1990;0.84;0.69;13.34;9.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
255;Discontinue systemen;1991;0.98;0.83;14.79;11.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
256;Discontinue systemen;1992;1.04;1.04;14.26;12.64;;;;;;;;;
257;Discontinue systemen;1993;1.15;0.86;17.18;11.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
258;Discontinue systemen;1994;1.32;1.16;16.8;14.02;;;;;;;;;
259;Discontinue systemen;1995;0.89;0.86;14.28;13.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
260;Discontinue systemen;1996;0.92;0.94;14.69;13.38;;;;;;;;;
261;Discontinue systemen;1997;0.89;0.74;13.87;12.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
262;Discontinue systemen;1998;2.47;1.42;34.13;20.48;;;;;;;;;
263;Discontinue systemen;1999;1.05;0.9;12.82;10.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
