ID;Achtergrondkenmerken;Perioden;DelictenSlachtofferAanwezigGetuige_1;DelictenMetGeweldTegenSlachtoffer_2;GeenLetsel_3;LetselTotaal_4;LichtLetselGeenMedischeHulp_5;LetselEenmaligeMedischeHulp_6;LetselVakerMedischeHulp_7;Ziekenhuisopname_8;GeenEmotioneleGevolgen_9;IkDenkErNogWelEensAan_10;EmotioneleGevolgenTotaal_11;IkMoetErVaakAanDenken_12;IkPiekerErSteedsOver_13;HetBeheerstMijnHeleDoenEnLaten_14;DelictenMetBeroepOpHulpverlening_15
122;Doorrijden na aanrijding;1999;72.5;;69.0;31.0;20.0;6.5;2.7;1.8;68.6;23.1;8.2;7.9;0.3;0.0;6.9
123;Doorrijden na aanrijding;2000;71.9;;62.6;37.4;27.3;3.9;3.6;2.5;70.1;19.8;10.1;9.2;0.9;0.0;5.2
124;Doorrijden na aanrijding;2001;72.3;;71.4;28.6;20.5;6.7;0.0;1.4;69.3;26.5;4.3;4.3;0.0;0.0;2.6
125;Doorrijden na aanrijding;2002;78.9;;71.0;29.0;20.2;3.2;3.5;2.1;61.3;28.6;10.1;6.6;3.5;0.0;5.1
126;Doorrijden na aanrijding;2003;79.4;;80.0;20.0;15.4;2.4;1.4;0.8;76.1;20.0;3.9;2.8;0.0;1.1;3.6
127;Doorrijden na aanrijding;2004;;;;;;;;;;;;;;;
128;Kwaadwillige telefoontjes;1997;;;;;;;;;62.5;27.8;9.7;6.6;2.6;0.6;2.3
129;Kwaadwillige telefoontjes;1998;;;;;;;;;65.2;27.1;7.7;5.5;1.7;0.5;2.7
130;Kwaadwillige telefoontjes;1999;;;;;;;;;68.6;24.7;6.7;3.7;2.0;1.0;1.2
131;Kwaadwillige telefoontjes;2000;;;;;;;;;68.3;23.8;7.9;5.5;1.7;0.6;1.7
132;Kwaadwillige telefoontjes;2001;;;;;;;;;67.8;23.5;8.7;6.7;1.5;0.5;1.7
133;Kwaadwillige telefoontjes;2002;;;;;;;;;66.4;24.9;8.8;6.4;1.3;1.0;2.0
134;Kwaadwillige telefoontjes;2003;;;;;;;;;70.1;21.1;8.8;4.8;2.1;2.0;1.9
135;Kwaadwillige telefoontjes;2004;;;;;;;;;;;;;;;
136;Overige delicten;1997;;7.8;;;;;;;33.5;36.0;30.4;24.3;1.2;4.9;6.5
137;Overige delicten;1998;;8.2;;;;;;;35.2;30.7;34.1;13.6;15.8;4.6;20.5
138;Overige delicten;1999;;12.4;;;;;;;24.9;45.4;29.7;17.7;7.9;4.1;7.2
139;Overige delicten;2000;;11.5;;;;;;;36.2;38.7;25.0;16.1;5.1;3.8;19.2
140;Overige delicten;2001;;9.4;;;;;;;36.2;35.7;28.0;21.5;5.6;0.9;10.0
141;Overige delicten;2002;;15.0;;;;;;;26.5;49.2;24.3;13.3;6.0;4.9;13.1
142;Overige delicten;2003;;3.2;;;;;;;35.2;42.8;22.0;7.4;9.3;5.3;12.7
143;Overige delicten;2004;;;;;;;;;;;;;;;
