ID;Perioden;AlleOndernemingen_1;GroteOndernemingen_2;AlleUitzenduren_3;UitzendurenFase12_4;UitzendurenFase34_5;AlleUitzenduren_6;UitzendurenFase12_7;UitzendurenFase34_8;AlleOndernemingen_9;GroteOndernemingen_10;AlleOndernemingen_11;GroteOndernemingen_12;AlleOndernemingen_13;CumulatiefAlleOndernemingen_14;GroteOndernemingen_15;CumulatiefGroteOndernemingen_16;AlleUitzenduren_17;UitzendurenFase12_18;UitzendurenFase34_19;CumulatiefAlleUitzenduren_20;CumulatiefUitzendurenFase12_21;CumulatiefUitzendurenFase34_22;AlleUitzenduren100Werknemers_23;UitzendurenFase12100Werkn_24;UitzendurenFase34100Werkn_25;CumulatiefAlleUitzenduren_26;AlleUitzendbanen_27;UitzendbanenFase12_28;UitzendbanenFase34_29;BanenSeizoengecorrigeerdFase12_30;KantoorEnAdministratief_31;MedischParamedischEnVerplegend_32;Industrieel_33;Technisch_34;Overig_35;KantoorEnAdministratief_36;MedischParamedischEnVerplegend_37;Industrieel_38;Technisch_39;Overig_40
10;1988 1e kwartaal;25;27;38.2;;;34.9;;;25.0;28.0;40.9;36.9;13.6;13.6;13.8;13.8;8.5;;;8.5;;;8.7;;;8.7;73;;;82;;;;;;;;;;
11;1988 2e kwartaal;27;30;42.8;;;39.1;;;26.0;29.0;41.9;38.0;14.4;14.0;15.5;14.7;10.9;;;9.8;;;12.4;;;10.6;82;;;83;;;;;;;;;;
12;1988 3e kwartaal;29;32;47.7;;;43.6;;;27.0;30.0;42.9;39.1;11.6;13.1;13.3;14.2;8.9;;;9.4;;;10.7;;;10.6;92;;;84;;;;;;;;;;
13;1988 4e kwartaal;29;32;45.2;;;41.7;;;27.0;30.0;43.5;39.8;7.2;11.5;9.3;12.9;5.6;;;8.4;;;8.0;;;9.9;87;;;85;;;;;;;;;;
14;1988;27;30;173.9;;;159.3;;;;;;;11.5;;12.9;;8.4;;;;;;9.9;;;;84;;;84;31.9;4.5;45.5;14.6;3.6;;;;;
15;1989 1e kwartaal;27;30;41.8;;;38.8;;;28.0;31.0;44.4;40.8;9.7;9.7;11.6;11.6;9.4;;;9.4;;;11.2;;;11.2;80;;;89;;;;;;;;;;
16;1989 2e kwartaal;31;34;48.6;;;44.9;;;29.0;32.0;45.8;42.3;13.4;11.6;14.9;13.3;13.6;;;11.6;;;14.8;;;13.1;93;;;95;;;;;;;;;;
17;1989 3e kwartaal;33;37;53.8;;;49.7;;;30.0;33.0;47.4;43.8;15.2;12.9;16.2;14.3;12.8;;;12.0;;;14.0;;;13.4;103;;;94;;;;;;;;;;
18;1989 4e kwartaal;33;37;51.0;;;47.2;;;31.0;35.0;48.8;45.2;15.4;13.6;15.5;14.6;12.8;;;12.2;;;13.2;;;13.4;98;;;97;;;;;;;;;;
19;1989;31;35;195.2;;;180.6;;;;;;;13.6;;14.6;;12.2;;;;;;13.4;;;;94;;;94;31.3;4.7;48.9;11.7;3.4;;;;;
20;1990 1e kwartaal;32;37;47.8;;;44.5;;;32.0;36.0;50.3;46.6;20.1;20.1;22.4;22.4;14.4;;;14.4;;;14.7;;;14.7;92;;;102;;;;;;;;;;
21;1990 2e kwartaal;35;40;51.9;;;48.1;;;33.0;38.0;51.1;47.4;13.4;16.6;16.5;19.3;6.8;;;10.3;;;7.1;;;10.6;100;;;102;;;;;;;;;;
22;1990 3e kwartaal;38;43;57.5;;;53.5;;;35.0;39.0;52.1;48.3;12.9;15.2;15.8;18.0;6.9;;;9.0;;;7.6;;;9.5;111;;;99;;;;;;;;;;
23;1990 4e kwartaal;36;41;51.5;;;47.8;;;35.0;40.0;52.2;48.5;9.3;13.6;11.7;16.3;1.0;;;6.9;;;1.3;;;7.4;99;;;98;;;;;;;;;;
24;1990;35;40;208.7;;;193.9;;;;;;;13.6;;16.3;;6.9;;;;;;7.4;;;;100;;;100;32.0;5.2;48.3;10.7;3.8;;;;;
25;1991 1e kwartaal;33;37;44.9;;;41.8;;;35.0;40.0;51.5;47.8;1.8;1.8;0.5;0.5;-6.1;;;-6.1;;;-6.1;;;-6.1;86;;;97;;;;;;;;;;
26;1991 2e kwartaal;35;39;48.3;;;44.7;;;35.0;40.0;50.6;47.0;0.1;0.9;-2.3;-1.0;-6.9;;;-6.5;;;-7.1;;;-6.6;93;;;95;;;;;;;;;;
27;1991 3e kwartaal;38;42;54.3;;;50.3;;;36.0;40.0;49.8;46.2;1.2;1.0;-0.9;-0.9;-5.6;;;-6.2;;;-6.0;;;-6.4;104;;;93;;;;;;;;;;
28;1991 4e kwartaal;36;40;47.5;;;43.8;;;35.0;40.0;48.8;45.2;-2.1;0.2;-4.3;-1.8;-7.8;;;-6.6;;;-8.4;;;-6.9;91;;;90;;;;;;;;;;
29;1991;35;40;195.0;;;180.6;;;;;;;0.2;;-1.8;;-6.6;;;;;;-6.9;;;;94;;;94;31.6;5.4;48.2;11.0;3.8;;;;;
30;1992 1e kwartaal;32;35;40.8;;;37.9;;;35.0;39.0;47.7;44.2;-4.2;-4.2;-4.6;-4.6;-9.1;;;-9.1;;;-9.3;;;-9.3;78;;;89;;;;;;;;;;
31;1992 2e kwartaal;34;38;44.0;;;40.7;;;35.0;39.0;46.7;43.2;-3.0;-3.6;-3.2;-3.9;-8.9;;;-9.0;;;-8.9;;;-9.1;85;;;87;;;;;;;;;;
32;1992 3e kwartaal;38;43;52.4;;;48.4;;;35.0;39.0;46.2;42.7;1.4;-1.8;0.9;-2.2;-3.5;;;-7.0;;;-3.8;;;-7.2;101;;;88;;;;;;;;;;
33;1992 4e kwartaal;36;41;45.9;;;42.5;;;35.0;39.0;45.8;42.4;2.0;-0.8;2.5;-1.0;-3.4;;;-6.1;;;-3.0;;;-6.1;88;;;87;;;;;;;;;;
34;1992;35;39;183.1;;;169.5;;;;;;;-0.8;;-1.0;;-6.1;;;;;;-6.1;;;;88;;;88;32.9;4.7;48.0;10.7;3.8;;;;;
35;1993 1e kwartaal;29;33;36.8;;;34.3;;;34.0;39.0;44.8;41.5;-7.7;-7.7;-7.5;-7.5;-9.7;;;-9.7;;;-9.6;;;-9.6;71;;;81;;;;;;;;;;
36;1993 2e kwartaal;31;35;40.3;;;37.2;;;34.0;38.0;43.9;40.6;-8.6;-8.2;-8.6;-8.1;-8.5;;;-9.1;;;-8.6;;;-9.1;77;;;80;;;;;;;;;;
37;1993 3e kwartaal;35;39;47.1;;;43.5;;;33.0;37.0;42.5;39.4;-9.7;-8.8;-9.6;-8.6;-10.1;;;-9.5;;;-10.2;;;-9.5;91;;;79;;;;;;;;;;
38;1993 4e kwartaal;32;35;40.5;;;37.3;;;32.0;35.0;41.2;38.1;-12.0;-9.6;-12.6;-9.7;-11.9;;;-10.1;;;-12.2;;;-10.2;78;;;77;;;;;;;;;;
39;1993;32;35;164.7;;;152.3;;;;;;;-9.6;;-9.7;;-10.1;;;;;;-10.2;;;;79;;;79;32.3;3.7;49.4;10.4;4.3;;;;;
40;1994 1e kwartaal;29;33;36.7;;;34.0;;;32.0;35.0;41.1;38.0;1.2;1.2;0.6;0.6;-0.3;;;-0.3;;;-0.9;;;-0.9;71;;;84;;;;;;;;;;
41;1994 2e kwartaal;36;40;46.0;;;42.3;;;33.0;37.0;42.6;39.3;16.4;9.0;15.8;8.4;14.4;;;7.4;;;13.8;;;6.8;89;;;92;;;;;;;;;;
42;1994 3e kwartaal;45;50;59.7;;;55.2;;;36.0;40.0;45.7;42.2;28.9;16.3;28.7;15.8;26.7;;;14.7;;;26.9;;;14.4;115;;;100;;;;;;;;;;
43;1994 4e kwartaal;45;50;55.5;;;51.1;;;39.0;43.0;49.5;45.6;41.3;22.6;41.0;22.1;37.3;;;20.2;;;36.9;;;19.9;107;;;105;;;;;;;;;;
44;1994;39;43;198.0;;;182.6;;;;;;;22.6;;22.1;;20.2;;;;;;19.9;;;;95;;;95;29.3;3.0;52.0;12.1;3.5;;;;;
45;1995 1e kwartaal;42;47;50.6;;;47.0;;;42.0;47.0;53.0;48.9;41.8;41.8;42.2;42.2;37.8;;;37.8;;;38.5;;;38.5;97;;;112;;;;;;;;;;
46;1995 2e kwartaal;48;54;59.0;;;54.4;;;45.0;50.0;56.2;51.9;32.9;36.9;33.4;37.4;28.1;;;32.4;;;28.6;;;33.0;113;;;117;;;;;;;;;;
47;1995 3e kwartaal;56;63;73.2;;;67.4;;;48.0;53.0;59.6;55.0;26.0;32.5;25.9;32.7;22.6;;;28.3;;;22.2;;;28.4;141;;;124;;;;;;;;;;
48;1995 4e kwartaal;57;64;69.8;;;64.3;;;51.0;57.0;63.2;58.3;26.8;30.8;26.9;31.0;25.7;;;27.6;;;25.7;;;27.7;134;;;132;;;;;;;;;;
49;1995;51;57;252.6;;;233.1;;;;;;;30.8;;31.0;;27.6;;;;;;27.7;;;;121;;;121;29.4;4.3;49.6;13.3;3.5;;;;;
50;1996 1e kwartaal;54;60;63.9;;;58.7;;;54.0;60.0;66.5;61.2;28.6;28.6;27.3;27.3;26.2;;;26.2;;;24.9;;;24.9;123;;;138;;;;;;;;;;
51;1996 2e kwartaal;61;67;73.9;;;67.0;;;57.0;63.0;70.2;64.3;27.7;28.1;25.8;26.5;25.3;;;25.7;;;23.1;;;23.9;142;;;146;;;;;;;;;;
52;1996 3e kwartaal;70;76;87.3;;;79.6;;;60.0;67.0;73.7;67.4;23.2;26.2;21.8;24.7;19.3;;;23.1;;;18.0;;;21.6;168;;;151;;;;;;;;;;
53;1996 4e kwartaal;69;75;81.1;;;73.1;;;63.0;70.0;76.5;69.6;20.3;24.6;18.2;22.9;16.1;;;21.2;;;13.8;;;19.4;156;;;153;;;;;;;;;;
54;1996;63;70;306.1;;;278.4;;;;;;;24.6;;22.9;;21.2;;;;;;19.4;;;;147;;;147;30.8;3.1;49.0;13.1;3.9;;;;;
55;1997 1e kwartaal;64;70;73.4;;;66.4;;;66.0;72.0;78.9;71.5;19.0;19.0;17.6;17.6;15.0;;;15.0;;;13.1;;;13.1;141;;;157;;;;;;;;;;
56;1997 2e kwartaal;74;80;85.5;;;76.8;;;69.0;76.0;81.8;74.0;20.1;19.6;19.3;18.5;15.7;;;15.3;;;14.6;;;13.9;164;;;168;;;;;;;;;;
57;1997 3e kwartaal;82;90;99.7;;;90.2;;;72.0;79.0;84.9;76.6;18.1;19.0;17.9;18.3;14.2;;;14.9;;;13.4;;;13.7;192;;;174;;;;;;;;;;
58;1997 4e kwartaal;84;93;93.9;;;84.8;;;76.0;83.0;88.1;79.6;22.8;20.1;23.2;19.6;15.8;;;15.1;;;16.0;;;14.3;181;;;178;;;;;;;;;;
59;1997;76;83;352.4;;;318.3;;;;;;;20.1;;19.6;;15.1;;;;;;14.3;;;;169;;;169;30.7;2.7;47.5;11.4;7.7;;;;;
60;1998 1e kwartaal;80;87;84.1;;;75.8;;;80.0;87.0;90.8;81.9;24.6;24.6;23.7;23.7;14.6;;;14.6;;;14.2;;;14.2;162;;;178;;;;;;;;;;
61;1998 2e kwartaal;88;94;91.4;;;80.9;;;83.0;91.0;92.3;83.0;19.2;21.7;17.2;20.2;7.0;;;10.5;;;5.4;;;9.5;176;;;180;;;;;;;;;;
62;1998 3e kwartaal;96;103;103.7;;;91.9;;;87.0;94.0;93.3;83.4;17.0;19.9;14.4;18.1;4.0;;;8.0;;;1.9;;;6.5;199;;;182;;;;;;;;;;
63;1998 4e kwartaal;97;103;95.2;;;83.3;;;90.0;97.0;93.6;83.0;14.3;18.4;10.9;16.1;1.4;;;6.2;;;-1.8;;;4.3;183;;;180;;;;;;;;;;
64;1998;90;97;374.4;;;332.0;;;;;;;18.4;;16.1;;6.2;;;;;;4.3;;;;180;;;180;32.3;2.4;51.3;9.7;4.3;;;;;
65;1999 1e kwartaal;87;92;88.6;75.2;13.5;78.2;66.0;12.2;92.0;98.0;94.7;83.6;8.7;8.7;5.3;5.3;5.4;;;5.4;;;3.1;;;3.1;170;145.0;26.0;160;;;;;;;;;;
66;1999 2e kwartaal;92;96;95.1;81.3;13.9;82.9;70.4;12.5;93.0;98.0;95.7;84.1;5.2;6.9;2.3;3.8;4.1;;;4.7;;;2.5;;;2.8;183;156.0;27.0;161;;;;;;;;;;
67;1999 3e kwartaal;99;103;104.6;89.2;15.4;91.5;77.8;13.7;94.0;98.0;95.9;84.0;2.9;5.5;0.1;2.4;1.0;;;3.3;;;-0.5;;;1.6;201;172.0;30.0;155;;;;;;;;;;
68;1999 4e kwartaal;101;104;99.3;81.7;17.6;86.0;70.3;15.7;95.0;99.0;96.9;84.6;4.2;5.1;1.3;2.1;4.3;;;3.6;;;3.2;;;2.0;191;157.0;34.0;155;;;;;;;;;;
69;1999;95;99;387.7;327.4;60.4;338.6;284.5;54.1;;;;;5.1;;2.1;;3.6;;;;;;2.0;;;;186;157.0;29.0;158;33.5;3.5;48.9;9.8;4.3;31.8;4.2;50.3;9.1;4.5
70;2000 1e kwartaal;93;95;88.1;68.3;19.8;75.7;58.0;17.7;96.0;100.0;96.8;84.0;6.9;6.9;4.2;4.2;-0.7;-9.2;46.7;-0.7;-9.2;46.7;-3.1;-12.0;44.8;-3.1;169;131.0;38.0;146;;;;;;;;;;
71;2000 2e kwartaal;99;99;93.4;70.1;23.3;78.4;57.9;20.6;98.0;100.0;96.3;82.9;7.0;7.0;3.1;3.6;-1.9;-13.7;67.6;-1.3;-11.5;57.3;-5.4;-17.8;64.5;-4.3;180;135.0;45.0;139;;;;;;;;;;
72;2000 3e kwartaal;105;104;104.1;79.7;24.3;86.9;65.6;21.3;99.0;101.0;96.2;81.8;6.0;6.6;1.1;2.7;-0.6;-10.7;57.8;-1.0;-11.2;57.5;-5.1;-15.7;54.9;-4.6;200;153.0;47.0;137;;;;;;;;;;
73;2000 4e kwartaal;104;101;94.8;67.9;26.9;77.3;53.8;23.5;100.0;100.0;95.1;79.6;3.2;5.7;-2.8;1.3;-4.5;-16.9;53.2;-1.9;-12.6;56.2;-10.1;-23.5;50.0;-6.0;182;131.0;52.0;129;;;;;;;;;;
74;2000;100;100;380.3;286.0;94.3;318.4;235.3;83.1;;;;;5.7;;1.3;;-1.9;-12.6;56.2;;;;-6.0;-17.3;53.4;;183;138.0;45.0;138;;;;;;;;;;
75;2001 1e kwartaal;100;97;87.7;61.6;26.2;71.6;48.6;23.0;102.0;100.0;95.0;78.6;7.7;7.7;1.9;1.9;-0.4;-9.8;32.2;-0.4;-9.8;32.2;-5.5;-16.2;29.9;-5.5;169;118.0;50.0;132;;;;;;;;;;
76;2001 2e kwartaal;104;100;91.5;64.2;27.3;73.2;49.6;23.5;103.0;101.0;94.5;77.2;5.2;6.4;0.4;1.1;-2.0;-8.5;17.5;-1.2;-9.1;24.2;-6.7;-14.2;14.3;-6.1;176;123.0;53.0;127;;;;;;;;;;
77;2001 3e kwartaal;112;107;100.3;71.9;28.4;80.5;56.1;24.4;105.0;101.0;93.6;75.6;6.4;6.4;2.9;1.8;-3.6;-9.8;16.8;-2.1;-9.4;21.6;-7.4;-14.5;14.8;-6.6;193;138.0;55.0;123;;;;;;;;;;
78;2001 4e kwartaal;108;103;91.4;61.2;30.3;72.7;46.6;26.1;106.0;102.0;92.7;74.5;4.1;5.8;2.0;1.8;-3.6;-9.9;12.5;-2.5;-9.5;19.0;-6.0;-13.4;11.0;-6.4;176;118.0;58.0;117;;;;;;;;;;
79;2001;106;102;371.0;258.8;112.2;297.9;200.9;97.0;;;;;5.8;;1.8;;-2.5;-9.5;19.0;;;;-6.4;-14.6;16.8;;178;124.0;54.0;125;;;;;;;;;;
80;2002 1e kwartaal;95;90;80.6;54.4;26.1;62.4;40.2;22.2;105.0;100.0;91.0;72.2;-4.2;-4.2;-7.6;-7.6;-8.2;-11.6;-0.1;-8.2;-11.6;-0.1;-12.9;-17.3;-3.5;-12.9;155;105.0;50.0;118;;;;;;;;;;
81;2002 2e kwartaal;103;94;88.0;60.5;27.4;65.7;42.8;22.9;105.0;98.0;90.1;70.3;-0.7;-2.4;-6.0;-6.8;-3.9;-5.7;0.4;-6.0;-8.6;0.2;-10.2;-13.7;-2.8;-11.5;169;116.0;53.0;118;;;;;;;;;;
82;2002 3e kwartaal;108;101;94.9;67.8;27.1;72.9;49.9;23.0;104.0;97.0;88.7;68.4;-3.1;-2.7;-5.7;-6.4;-5.4;-5.7;-4.7;-5.8;-7.5;-1.5;-9.4;-11.0;-5.7;-10.8;182;130.0;52.0;115;;;;;;;;;;
83;2002 4e kwartaal;102;95;88.2;59.2;29.0;67.3;42.2;25.1;102.0;95.0;87.9;67.1;-5.6;-3.4;-7.9;-6.8;-3.5;-3.2;-4.3;-5.2;-6.5;-2.2;-7.3;-9.3;-3.8;-9.9;170;114.0;56.0;114;;;;;;;;;;
84;2002;102;95;351.6;242.0;109.7;268.4;175.2;93.2;;;;;-3.4;;-6.8;;-5.2;-6.5;-2.2;;;;-9.9;-12.8;-4.0;;169;116.0;53.0;116;;;;;;;;;;
