ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;TotaleOppervlakte_4;TotaalVerkeersterrein_5;Spoorterrein_6;Wegverkeersterrein_7;Vliegveld_8;TotaalBebouwdTerrein_9;Woonterrein_10;TerreinVoorDetailhandelEnHoreca_11;TerreinVoorOpenbareVoorzieningen_12;TerreinVoorSociaalCultureleVoorz_13;Bedrijventerrein_14;TotaalSemiBebouwdTerrein_15;Stortplaats_16;Wrakkenopslagplaats_17;Begraafplaats_18;Delfstofwinplaats_19;Bouwterrein_20;SemiVerhardOverigTerrein_21;TotaalRecreatieterrein_22;ParkEnPlantsoen_23;Sportterrein_24;Volkstuin_25;DagrecreatiefTerrein_26;VerblijfsrecreatiefTerrein_27;TotaalAgrarischTerrein_28;TerreinVoorGlastuinbouw_29;OverigAgrarischTerrein_30;TotaalBosEnOpenNatuurlijkTerrein_31;Bos_32;OpenDroogNatuurlijkTerrein_33;OpenNatNatuurlijkTerrein_34;TotaalBinnenwater_35;IJsselmeerMarkermeer_36;AfgeslotenZeearm_37;RijnEnMaas_38;Randmeer_39;Spaarbekken_40;RecreatiefBinnenwater_41;BinnenwaterVoorDelfstofwinning_42;VloeiEnOfSlibveld_43;OverigBinnenwater_44;TotaalBuitenwater_45;WaddenzeeEemsDollard_46;Oosterschelde_47;Westerschelde_48;Noordzee_49
13;Zuidwolde;Bedum                                   ;Buurt     ;BU00050002;74;4;0;4;0;29;28;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;37;0;37;0;0;0;0;3;;;;;0;0;0;0;3;;;;;
14;Verspreide huizen Zuidwolde;Bedum                                   ;Buurt     ;BU00050003;699;16;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;0;606;0;606;67;66;0;1;6;;;;;0;0;0;0;6;;;;;
15;Onderdendam;Bedum                                   ;Buurt     ;BU00050004;60;4;0;4;0;16;13;0;0;0;2;0;0;0;0;0;0;0;5;0;3;0;0;1;28;0;28;3;3;0;0;4;;;;;0;0;0;0;4;;;;;
16;Verspreide huizen Onderdendam;Bedum                                   ;Buurt     ;BU00050005;540;13;0;13;0;3;0;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;515;0;515;2;2;0;0;6;;;;;0;0;0;0;6;;;;;
17;Noordwolde;Bedum                                   ;Buurt     ;BU00050006;24;1;0;1;0;4;3;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;18;0;18;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
18;Verspreide huizen Noordwolde;Bedum                                   ;Buurt     ;BU00050007;595;16;0;16;0;1;0;0;0;0;1;0;0;0;0;0;0;0;3;0;3;0;0;0;573;0;573;0;0;0;0;3;;;;;0;0;0;0;3;;;;;
19;Bellingwedde;Bellingwedde                            ;Gemeente  ;GM0007    ;11009;264;0;264;0;325;299;5;3;8;11;39;0;0;8;5;26;0;127;22;27;0;37;41;9431;0;9431;651;560;2;89;172;;;;;0;22;0;0;150;;;;;
20;Wijk 00 Bellingwolde;Bellingwedde                            ;Wijk      ;WK000700  ;4365;92;0;92;0;174;161;2;3;5;3;12;0;0;4;0;8;0;31;9;4;0;15;2;3686;0;3686;302;276;2;24;69;;;;;0;9;0;0;59;;;;;
21;Bellingwolde;Bellingwedde                            ;Buurt     ;BU00070000;451;16;0;16;0;100;94;0;0;5;0;5;0;0;2;0;2;0;11;9;0;0;1;0;256;0;256;58;58;0;0;6;;;;;0;0;0;0;6;;;;;
22;Vriescheloo;Bellingwedde                            ;Buurt     ;BU00070001;134;5;0;5;0;5;3;2;0;0;0;1;0;0;1;0;0;0;4;0;0;0;4;0;114;0;114;4;4;0;0;1;;;;;0;1;0;0;0;;;;;
23;Rhederweg-West;Bellingwedde                            ;Buurt     ;BU00070002;155;9;0;9;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;0;127;3;3;0;0;2;;;;;0;0;0;0;2;;;;;
24;Vriescheloo-Zuid;Bellingwedde                            ;Buurt     ;BU00070004;79;3;0;3;0;24;21;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;46;7;7;0;0;0;;;;;0;0;0;0;0;;;;;
25;Oudeschans;Bellingwedde                            ;Buurt     ;BU00070005;46;2;0;2;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;36;2;0;0;2;2;;;;;0;0;0;0;2;;;;;
26;Klein-Ulsda;Bellingwedde                            ;Buurt     ;BU00070006;25;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;21;0;0;0;0;2;;;;;0;0;0;0;2;;;;;
27;Verspr.h. ten Z.O. van Bellingwolde;Bellingwedde                            ;Buurt     ;BU00070007;434;12;0;12;0;24;22;0;0;0;1;3;0;0;0;0;3;0;6;0;4;0;0;2;360;0;360;24;24;0;0;4;;;;;0;0;0;0;4;;;;;
28;Verspr.h. ten zuidoosten van Vriescheloo;Bellingwedde                            ;Buurt     ;BU00070008;435;10;0;10;0;2;0;0;1;0;0;1;0;0;1;0;0;0;10;0;0;0;10;0;321;0;321;78;76;2;0;13;;;;;0;9;0;0;4;;;;;
29;Verspreide huizen Westerwoldse A;Bellingwedde                            ;Buurt     ;BU00070009;2605;34;0;34;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2405;0;2405;125;103;0;22;39;;;;;0;0;0;0;39;;;;;
30;Wijk 01 Oost;Bellingwedde                            ;Wijk      ;WK000701  ;2450;51;0;51;0;14;14;0;0;0;0;12;0;0;1;0;11;0;10;0;7;0;0;2;2167;0;2167;158;116;0;42;39;;;;;0;0;0;0;39;;;;;
31;Veelerveen;Bellingwedde                            ;Buurt     ;BU00070100;430;13;0;13;0;14;14;0;0;0;0;9;0;0;1;0;8;0;10;0;7;0;0;2;352;0;352;23;23;0;0;9;;;;;0;0;0;0;9;;;;;
32;Rhederbrug-Oost;Bellingwedde                            ;Buurt     ;BU00070101;197;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;0;190;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
33;Verspr.h. ten noordoosten van Rhederbrug;Bellingwedde                            ;Buurt     ;BU00070108;536;11;0;11;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;485;0;485;31;31;0;0;6;;;;;0;0;0;0;6;;;;;
34;Verspreide huizen Veelerveen;Bellingwedde                            ;Buurt     ;BU00070109;1287;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1140;0;1140;104;62;0;42;23;;;;;0;0;0;0;23;;;;;
35;Wijk 02 Blijham;Bellingwedde                            ;Wijk      ;WK000702  ;4194;122;0;122;0;138;124;3;0;3;8;15;0;0;3;5;7;0;87;13;16;0;21;37;3578;0;3578;191;169;0;23;64;;;;;0;12;0;0;52;;;;;
36;Blijham;Bellingwedde                            ;Buurt     ;BU00070200;237;13;0;13;0;82;79;0;0;3;0;2;0;0;1;0;0;0;24;13;11;0;0;0;103;0;103;12;12;0;0;2;;;;;0;0;0;0;2;;;;;
37;Morige;Bellingwedde                            ;Buurt     ;BU00070201;120;10;0;10;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0;93;5;5;0;0;0;;;;;0;0;0;0;0;;;;;
38;Wedde;Bellingwedde                            ;Buurt     ;BU00070202;72;3;0;3;0;29;26;3;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;37;0;37;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
39;Wedderheide;Bellingwedde                            ;Buurt     ;BU00070203;154;11;0;11;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;136;4;4;0;0;1;;;;;0;0;0;0;1;;;;;
40;Wedderveer;Bellingwedde                            ;Buurt     ;BU00070204;47;1;0;1;0;5;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;33;0;33;2;2;0;0;3;;;;;0;0;0;0;2;;;;;
41;Verspreide huizen in de polder Blijham;Bellingwedde                            ;Buurt     ;BU00070206;1792;36;0;36;0;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1666;0;1666;50;29;0;22;34;;;;;0;0;0;0;34;;;;;
42;Verspreide huizen ten westen van Blijham;Bellingwedde                            ;Buurt     ;BU00070207;385;16;0;16;0;4;0;0;0;0;4;10;0;0;0;3;7;0;0;0;0;0;0;0;337;0;337;16;16;0;0;1;;;;;0;0;0;0;1;;;;;
43;Verspreide huizen Hoorn;Bellingwedde                            ;Buurt     ;BU00070208;912;17;0;17;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;813;0;813;81;81;0;0;0;;;;;0;0;0;0;0;;;;;
44;Verspreide huizen in de Weddermarke;Bellingwedde                            ;Buurt     ;BU00070209;476;15;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;4;0;20;37;359;0;359;21;20;0;1;21;;;;;0;12;0;0;9;;;;;
45;Ten Boer;Ten Boer                                ;Gemeente  ;GM0009    ;4573;104;0;104;0;202;167;3;14;1;17;37;0;0;6;9;21;0;32;10;22;0;0;0;4109;0;4109;47;46;0;1;42;;;;;0;0;0;0;42;;;;;
46;Wijk 00 West;Ten Boer                                ;Wijk      ;WK000900  ;3095;60;0;60;0;155;132;3;14;1;6;26;0;0;4;1;21;0;27;10;17;0;0;0;2768;0;2768;31;30;0;1;28;;;;;0;0;0;0;28;;;;;
47;Ten Boer;Ten Boer                                ;Buurt     ;BU00090000;173;4;0;4;0;99;90;3;0;1;6;13;0;0;1;0;12;0;14;2;12;0;0;0;35;0;35;5;5;0;0;2;;;;;0;0;0;0;2;;;;;
48;Garmerwolde;Ten Boer                                ;Buurt     ;BU00090001;72;3;0;3;0;16;16;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;49;0;49;0;0;0;0;2;;;;;0;0;0;0;2;;;;;
49;Thesinge;Ten Boer                                ;Buurt     ;BU00090002;71;1;0;1;0;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;49;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
50;Sint-Annen;Ten Boer                                ;Buurt     ;BU00090003;53;1;0;1;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;46;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
51;Achter-Thesinge en Bovenrijge;Ten Boer                                ;Buurt     ;BU00090005;128;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122;0;122;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
52;Verspr.h. ten noorden van het Eemskanaal;Ten Boer                                ;Buurt     ;BU00090009;2599;45;0;45;0;15;0;0;14;0;1;12;0;0;2;1;9;0;12;8;4;0;0;0;2467;0;2467;26;25;0;1;22;;;;;0;0;0;0;22;;;;;
53;Wijk 01 Oost;Ten Boer                                ;Wijk      ;WK000901  ;1478;43;0;43;0;47;36;0;0;0;11;10;0;0;2;9;0;0;5;0;5;0;0;0;1341;0;1341;16;16;0;0;14;;;;;0;0;0;0;14;;;;;
54;Ten Post;Ten Boer                                ;Buurt     ;BU00090100;84;6;0;6;0;23;19;0;0;0;4;0;0;0;0;0;0;0;3;0;3;0;0;0;48;0;48;1;1;0;0;3;;;;;0;0;0;0;3;;;;;
55;Winneweer (gedeeltelijk);Ten Boer                                ;Buurt     ;BU00090101;17;1;0;1;0;7;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;2;2;0;0;1;;;;;0;0;0;0;1;;;;;
56;Woltersum;Ten Boer                                ;Buurt     ;BU00090102;38;1;0;1;0;15;15;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;19;0;19;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
57;Wittewierum;Ten Boer                                ;Buurt     ;BU00090104;47;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;43;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
58;Lellens;Ten Boer                                ;Buurt     ;BU00090106;28;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;27;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
59;Verspr.h. ten noorden van het Eemskanaal;Ten Boer                                ;Buurt     ;BU00090109;1264;31;0;31;0;3;0;0;0;0;3;9;0;0;1;9;0;0;0;0;0;0;0;0;1198;0;1198;13;13;0;0;10;;;;;0;0;0;0;10;;;;;
60;Delfzijl;Delfzijl                                ;Gemeente  ;GM0010    ;22750;390;29;361;0;1121;592;29;22;62;417;505;24;0;17;32;334;98;269;153;84;9;9;15;10347;0;10347;682;253;13;416;305;;;;;0;16;0;2;287;9132.0;9132.0;;;
61;Wijk 00 Stad;Delfzijl                                ;Wijk      ;WK001000  ;1027;57;11;46;0;520;334;26;8;34;119;117;0;0;7;0;78;31;148;114;30;2;2;0;81;0;81;12;4;3;6;92;;;;;0;13;0;0;79;0.0;0.0;;;
62;Delfzijl-Centrum;Delfzijl                                ;Buurt     ;BU00100000;90;8;3;5;0;44;3;16;2;0;23;28;0;0;0;0;0;28;0;0;0;0;0;0;2;0;2;3;0;3;0;5;;;;;0;5;0;0;0;0.0;0.0;;;
63;Farmsum;Delfzijl                                ;Buurt     ;BU00100001;261;9;0;9;0;150;53;5;5;1;86;31;0;0;3;0;28;0;8;6;0;0;2;0;5;0;5;4;4;0;0;52;;;;;0;1;0;0;51;;;;;
64;Delfzijl-Noord;Delfzijl                                ;Buurt     ;BU00100002;242;13;2;12;0;117;112;3;0;1;1;50;0;0;0;0;46;4;32;18;13;1;0;0;18;0;18;2;0;0;2;10;;;;;0;6;0;0;4;0.0;0.0;;;
65;Delfzijl-West;Delfzijl                                ;Buurt     ;BU00100003;165;11;4;7;0;95;77;0;1;17;1;4;0;0;4;0;0;0;47;38;7;1;0;0;0;0;0;0;0;0;0;8;;;;;0;0;0;0;8;;;;;
66;Fivelzigt;Delfzijl                                ;Buurt     ;BU00100004;85;7;2;5;0;36;33;0;0;0;2;0;0;0;0;0;0;0;25;25;0;0;0;0;11;0;11;0;0;0;0;6;;;;;0;0;0;0;6;;;;;
67;Tuikwerd;Delfzijl                                ;Buurt     ;BU00100005;185;8;0;8;0;77;56;1;0;14;6;4;0;0;0;0;4;0;36;27;10;0;0;0;45;0;45;4;0;0;4;11;;;;;0;0;0;0;11;;;;;
68;Wijk 01 Land;Delfzijl                                ;Wijk      ;WK001001  ;3828;131;17;113;0;330;23;0;12;0;295;303;24;0;2;19;237;22;41;10;25;6;0;0;2692;0;2692;230;29;0;201;100;;;;;0;0;0;2;98;0.0;0.0;;;
69;Meedhuizen;Delfzijl                                ;Buurt     ;BU00100103;58;2;0;2;0;19;19;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;32;0;32;0;0;0;0;2;;;;;0;0;0;0;2;;;;;
70;Uitwierde;Delfzijl                                ;Buurt     ;BU00100104;20;1;0;1;0;4;4;0;0;0;0;0;0;0;0;0;0;0;6;0;4;2;0;0;9;0;9;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
71;Verspr.h. Eemskanaal (ten zuiden);Delfzijl                                ;Buurt     ;BU00100107;2426;72;0;72;0;2;1;0;1;0;0;49;24;0;0;19;5;0;14;2;11;0;0;0;2183;0;2183;90;13;0;76;17;;;;;0;0;0;0;17;;;;;
72;Industrieterrein;Delfzijl                                ;Buurt     ;BU00100108;1110;51;17;34;0;306;0;0;11;0;295;252;0;0;1;0;232;20;3;3;0;0;0;0;299;0;299;120;3;0;118;79;;;;;0;0;0;2;77;0.0;0.0;;;
73;Verspreide huizen in het noorden;Delfzijl                                ;Buurt     ;BU00100109;215;5;1;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;17;4;9;4;0;0;169;0;169;20;13;0;7;2;;;;;0;0;0;0;2;;;;;
74;Wijk 02;Delfzijl                                ;Wijk      ;WK001002  ;4214;81;0;81;0;154;123;2;2;26;1;46;0;0;5;3;6;32;43;14;9;0;7;12;3375;0;3375;429;212;8;209;86;;;;;0;4;0;0;83;0.0;0.0;;;
75;Woldendorp;Delfzijl                                ;Buurt     ;BU00100200;125;4;0;4;0;35;35;0;0;0;0;1;0;0;1;0;0;0;6;2;4;0;0;0;78;0;78;1;1;0;0;0;;;;;0;0;0;0;0;;;;;
76;Termunten;Delfzijl                                ;Buurt     ;BU00100201;58;2;0;2;0;17;17;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;31;0;31;5;1;4;0;0;;;;;0;0;0;0;0;;;;;
77;Termunterzijl;Delfzijl                                ;Buurt     ;BU00100202;31;2;0;2;0;9;7;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;7;0;7;5;3;1;0;5;;;;;0;0;0;0;5;;;;;
78;Borgsweer;Delfzijl                                ;Buurt     ;BU00100203;46;2;0;2;0;5;5;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;33;0;33;5;5;0;1;0;;;;;0;0;0;0;0;;;;;
79;Wagenborgen;Delfzijl                                ;Buurt     ;BU00100205;180;3;0;3;0;79;60;0;0;20;0;2;0;0;1;0;0;0;8;1;3;0;3;0;65;0;65;21;21;0;0;2;;;;;0;2;0;0;0;;;;;
80;Verspreide huizen Wagenborgen;Delfzijl                                ;Buurt     ;BU00100207;948;16;0;16;0;8;0;0;2;5;1;2;0;0;0;1;2;0;7;0;0;0;4;3;802;0;802;101;100;0;0;11;;;;;0;1;0;0;10;;;;;
81;Verspreide huizen Termunten;Delfzijl                                ;Buurt     ;BU00100209;2827;51;0;51;0;2;0;0;0;2;0;38;0;0;0;2;4;32;19;11;2;0;0;7;2358;0;2358;291;81;2;208;67;;;;;0;0;0;0;67;0.0;0.0;;;
82;Wijk 03;Delfzijl                                ;Wijk      ;WK001003  ;4544;121;0;121;0;117;111;2;0;2;2;37;0;0;3;10;12;11;37;14;20;1;0;3;4199;0;4199;8;8;0;0;26;;;;;0;0;0;0;26;0.0;0.0;;;
83;Bierum;Delfzijl                                ;Buurt     ;BU00100300;77;3;0;3;0;18;18;0;0;0;0;1;0;0;1;0;0;0;6;4;1;1;0;0;47;0;47;3;3;0;0;0;;;;;0;0;0;0;0;;;;;
84;Spijk;Delfzijl                                ;Buurt     ;BU00100301;112;7;0;7;0;44;43;0;0;0;1;4;0;0;1;0;3;0;15;8;7;0;0;0;37;0;37;5;5;0;0;1;;;;;0;0;0;0;1;;;;;
85;Holwierde;Delfzijl                                ;Buurt     ;BU00100302;101;5;0;5;0;31;31;0;0;0;0;4;0;0;1;0;3;0;5;1;4;0;0;0;55;0;55;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
86;Godlinze;Delfzijl                                ;Buurt     ;BU00100303;37;2;0;2;0;12;10;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;22;0;22;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
87;Losdorp;Delfzijl                                ;Buurt     ;BU00100304;63;3;0;3;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;56;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
88;Krewerd;Delfzijl                                ;Buurt     ;BU00100305;37;1;0;1;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;31;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
89;Verspreide huizen Bierum;Delfzijl                                ;Buurt     ;BU00100309;4117;101;0;101;0;4;2;2;0;0;0;28;0;0;0;10;7;11;11;1;8;0;0;3;3952;0;3952;0;0;0;0;22;;;;;0;0;0;0;22;0.0;0.0;;;
90;Wijk 99 Groot water;Delfzijl                                ;Wijk      ;WK001099  ;9137;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;3;0;0;;;;;0;0;0;0;0;9131.0;9131.0;;;
91;Buitenwater;Delfzijl                                ;Buurt     ;BU00109998;9137;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;3;0;0;;;;;0;0;0;0;0;9131.0;9131.0;;;
92;Groningen;Groningen                               ;Gemeente  ;GM0014    ;8375;521;61;460;0;3096;1881;156;59;217;783;573;75;18;61;0;419;0;725;434;194;38;27;31;2680;1;2678;288;249;0;39;493;;;;;0;44;0;65;384;;;;;
93;Wijk 00 Binnenstad;Groningen                               ;Wijk      ;WK001400  ;171;7;0;7;0;139;77;49;4;8;1;7;0;0;0;0;7;0;6;6;0;0;0;0;0;0;0;0;0;0;0;11;;;;;0;0;0;0;11;;;;;
94;Stadscentrum;Groningen                               ;Buurt     ;BU00140000;27;1;0;1;0;25;12;11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
95;Binnenstad-Zuid;Groningen                               ;Buurt     ;BU00140001;61;1;0;1;0;52;20;29;0;2;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;6;;;;;0;0;0;0;6;;;;;
96;Binnenstad-Oost;Groningen                               ;Buurt     ;BU00140002;23;2;0;2;0;18;16;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;0;0;0;0;2;;;;;
97;Binnenstad-West;Groningen                               ;Buurt     ;BU00140003;12;0;0;0;0;10;6;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
98;Binnenstad-Noord;Groningen                               ;Buurt     ;BU00140004;47;3;0;3;0;34;23;4;2;4;1;6;0;0;0;0;6;0;4;4;0;0;0;0;0;0;0;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
99;Wijk 01 Schilders- en Zeeheldenwijk;Groningen                               ;Wijk      ;WK001401  ;368;30;8;22;0;270;169;28;6;21;46;5;0;0;0;0;5;0;48;25;23;0;0;0;0;0;0;0;0;0;0;15;;;;;0;1;0;0;14;;;;;
100;Schildersbuurt;Groningen                               ;Buurt     ;BU00140100;50;4;0;4;0;43;37;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;;;;;0;0;0;0;3;;;;;
101;Zeeheldenbuurt;Groningen                               ;Buurt     ;BU00140101;53;8;4;4;0;40;21;1;4;6;8;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;;;;;0;0;0;0;3;;;;;
102;Friesestraatweg;Groningen                               ;Buurt     ;BU00140102;17;1;0;1;0;12;0;0;0;0;12;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;0;0;0;0;2;;;;;
103;Kostverloren;Groningen                               ;Buurt     ;BU00140103;26;2;1;1;0;21;20;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;;;;;0;1;0;0;1;;;;;
