ID;LuchthavensCaribischNederland;Perioden;Vliegtuigbewegingen_1;TotaalPassagiersvervoer_2;AangekomenPassagiers_3;VertrokkenPassagiers_4
187;Totaal Caribisch Nederland;2023 januari;1910;46870;23500;23370
188;Totaal Caribisch Nederland;2023 februari;1810;43990;21780;22220
189;Totaal Caribisch Nederland;2023 maart;2010;46190;22050;24140
190;Totaal Caribisch Nederland;2023 1e kwartaal;5730;137050;67320;69730
191;Totaal Caribisch Nederland;2023 april;1990;43620;22020;21600
192;Totaal Caribisch Nederland;2023 mei;1980;41160;18810;22350
193;Totaal Caribisch Nederland;2023 juni;1810;36870;17830;19040
194;Totaal Caribisch Nederland;2023 2e kwartaal;5780;121640;58660;62980
195;Totaal Caribisch Nederland;2023 juli;2060;44040;21650;22390
196;Totaal Caribisch Nederland;2023 augustus;1920;39070;19510;19560
197;Totaal Caribisch Nederland;2023 september;1770;35920;18100;17820
198;Totaal Caribisch Nederland;2023 3e kwartaal;5740;119030;59260;59770
199;Totaal Caribisch Nederland;2023 oktober;1880;39420;19660;19760
200;Totaal Caribisch Nederland;2023 november;1900;40340;20480;19860
201;Totaal Caribisch Nederland;2023 december;1850;46490;22390;24100
202;Totaal Caribisch Nederland;2023 4e kwartaal;5630;126250;62530;63720
203;Totaal Caribisch Nederland;2023;22880;503970;247780;256200
204;Totaal Caribisch Nederland;2024 januari;1830;47620;24840;22780
205;Totaal Caribisch Nederland;2024 februari;1870;48440;23330;25110
206;Totaal Caribisch Nederland;2024 maart;1850;49270;24400;24870
207;Totaal Caribisch Nederland;2024 1e kwartaal;5560;145340;72570;72770
208;Totaal Caribisch Nederland;2024 april;1940;45600;23230;22370
209;Totaal Caribisch Nederland;2024 mei;1810;43310;19690;23630
210;Totaal Caribisch Nederland;2024 juni;1750;38730;18970;19750
211;Totaal Caribisch Nederland;2024 2e kwartaal;5490;127650;61900;65750
212;Totaal Caribisch Nederland;2024 juli;1900;43480;21400;22080
213;Totaal Caribisch Nederland;2024 augustus;1900;43090;21960;21130
214;Totaal Caribisch Nederland;2024 september;1690;34050;17970;16080
215;Totaal Caribisch Nederland;2024 3e kwartaal;5490;120620;61330;59290
216;Totaal Caribisch Nederland;2024 oktober;2010;42150;21280;20870
217;Totaal Caribisch Nederland;2024 november;1980;45890;23580;22310
218;Totaal Caribisch Nederland;2024 december;1970;50760;25880;24880
219;Totaal Caribisch Nederland;2024 4e kwartaal;5950;138810;70740;68060
220;Totaal Caribisch Nederland;2024;22490;532410;266530;265870
221;Flamingo Airport (Bonaire);2012 januari;1340;27310;14070;13240
222;Flamingo Airport (Bonaire);2012 februari;1250;23830;12090;11740
223;Flamingo Airport (Bonaire);2012 maart;1460;28160;13630;14530
224;Flamingo Airport (Bonaire);2012 1e kwartaal;4040;79310;39790;39510
225;Flamingo Airport (Bonaire);2012 april;1450;28200;14470;13720
226;Flamingo Airport (Bonaire);2012 mei;1450;26130;12370;13760
227;Flamingo Airport (Bonaire);2012 juni;1370;25880;12810;13070
228;Flamingo Airport (Bonaire);2012 2e kwartaal;4270;80200;39650;40550
229;Flamingo Airport (Bonaire);2012 juli;1510;32720;16510;16210
230;Flamingo Airport (Bonaire);2012 augustus;1590;30760;15430;15330
231;Flamingo Airport (Bonaire);2012 september;1320;22600;11490;11110
232;Flamingo Airport (Bonaire);2012 3e kwartaal;4420;86070;43430;42640
233;Flamingo Airport (Bonaire);2012 oktober;1420;28010;14740;13270
234;Flamingo Airport (Bonaire);2012 november;1330;26660;13660;13000
235;Flamingo Airport (Bonaire);2012 december;1260;28610;14190;14420
236;Flamingo Airport (Bonaire);2012 4e kwartaal;4010;83280;42590;40690
237;Flamingo Airport (Bonaire);2012;16740;328860;165470;163400
238;Flamingo Airport (Bonaire);2013 januari;1230;26860;13870;12980
239;Flamingo Airport (Bonaire);2013 februari;1250;26720;13660;13060
240;Flamingo Airport (Bonaire);2013 maart;1390;31300;15320;15970
