ID;Regions;Periods;TotalProducedByWaterCompanies_1;TotalDrinkingWater_2;ActualGroundwater_3;DuneWater_4;SurfaceWaterDirectlyProcessed_5;InfiltrationWater_6;SurfaceWaterSemiFiltrate_7;ProducedByOthers_8;Use_9
95;North-Netherlands;2003 May;11.243;10.582;10.003;0.067;0.328;0.184;0.661;0.0;11.085
96;North-Netherlands;2003 June;11.484;10.883;10.241;0.073;0.327;0.242;0.601;0.0;11.328
97;North-Netherlands;2003 July;12.13;11.451;10.761;0.101;0.339;0.25;0.679;0.0;11.974
98;North-Netherlands;2003 August;13.094;12.458;11.771;0.098;0.34;0.249;0.636;0.0;12.917
99;North-Netherlands;2003 September;10.884;10.285;9.664;0.054;0.325;0.242;0.599;0.0;10.733
100;North-Netherlands;2003 October;10.992;10.427;9.818;0.056;0.319;0.234;0.565;0.0;10.839
101;North-Netherlands;2003 November;10.762;10.061;9.636;0.036;0.3;0.089;0.701;0.0;10.612
102;North-Netherlands;2003 December;10.865;10.182;9.604;0.041;0.33;0.207;0.683;0.0;10.712
103;North-Netherlands;2003;136.341;127.552;121.536;0.696;3.103;2.217;8.789;0.0;134.46
104;East-Netherlands;2000 January;19.271;19.263;18.319;0.0;0.102;0.842;0.008;0.0;19.104
105;East-Netherlands;2000 February;18.274;18.274;17.306;0.0;0.071;0.897;0.0;0.0;17.979
106;East-Netherlands;2000 March;19.739;19.739;18.658;0.0;0.134;0.947;0.0;0.0;19.602
107;East-Netherlands;2000 April;19.893;19.893;18.937;0.0;0.136;0.82;0.0;0.0;19.72
108;East-Netherlands;2000 May;21.175;21.175;19.858;0.0;0.143;1.174;0.0;0.0;21.137
109;East-Netherlands;2000 June;20.702;20.702;19.424;0.0;0.13;1.148;0.0;0.0;20.643
110;East-Netherlands;2000 July;19.308;19.308;17.993;0.0;0.119;1.196;0.0;0.0;19.253
111;East-Netherlands;2000 August;19.549;19.549;18.381;0.0;0.094;1.074;0.0;0.0;19.478
112;East-Netherlands;2000 September;19.173;19.173;17.986;0.0;0.123;1.064;0.0;0.0;19.026
113;East-Netherlands;2000 October;19.453;19.453;18.056;0.0;0.131;1.266;0.0;0.0;19.297
114;East-Netherlands;2000 November;18.778;18.778;17.587;0.0;0.125;1.066;0.0;0.0;18.633
115;East-Netherlands;2000 December;19.244;19.244;18.124;0.0;0.105;1.015;0.0;0.0;19.092
116;East-Netherlands;2000;234.559;234.551;220.629;0.0;1.413;12.509;0.008;0.0;232.964
117;East-Netherlands;2001 January;18.956;18.948;17.86;0.0;0.138;0.95;0.008;0.146;18.954
118;East-Netherlands;2001 February;17.059;17.059;16.128;0.0;0.126;0.805;0.0;0.12;16.972
119;East-Netherlands;2001 March;19.212;19.212;18.089;0.0;0.111;1.012;0.0;0.145;19.205
120;East-Netherlands;2001 April;19.034;19.034;17.979;0.0;0.052;1.003;0.0;0.138;19.034
121;East-Netherlands;2001 May;20.804;20.804;19.421;0.0;0.123;1.26;0.0;0.17;20.826
122;East-Netherlands;2001 June;20.04;20.04;18.704;0.0;0.131;1.205;0.0;0.0;19.886
123;East-Netherlands;2001 July;19.681;19.681;18.288;0.0;0.128;1.265;0.0;0.151;19.691
124;East-Netherlands;2001 August;18.988;18.988;17.496;0.0;0.128;1.364;0.0;0.135;18.995
125;East-Netherlands;2001 September;18.498;18.498;17.4;0.0;0.122;0.976;0.0;0.115;18.477
126;East-Netherlands;2001 October;18.809;18.809;17.682;0.0;0.137;0.99;0.0;0.115;18.795
127;East-Netherlands;2001 November;18.255;18.255;17.229;0.0;0.141;0.885;0.0;0.107;18.245
128;East-Netherlands;2001 December;18.632;18.632;17.582;0.0;0.14;0.91;0.0;0.111;18.616
129;East-Netherlands;2001;227.968;227.96;213.858;0.0;1.477;12.625;0.008;1.453;227.696
130;East-Netherlands;2002 January;18.611;18.603;17.544;0.0;0.132;0.927;0.008;0.116;18.595
131;East-Netherlands;2002 February;16.865;16.865;15.913;0.0;0.131;0.821;0.0;0.134;16.746
132;East-Netherlands;2002 March;19.183;19.183;17.816;0.0;0.137;1.23;0.0;0.181;19.229
133;East-Netherlands;2002 April;19.101;19.101;17.83;0.0;0.126;1.145;0.0;0.176;19.146
134;East-Netherlands;2002 May;19.585;19.585;18.31;0.0;0.125;1.15;0.0;0.186;19.64
135;East-Netherlands;2002 June;19.478;19.478;18.106;0.0;0.124;1.248;0.0;0.182;19.528
136;East-Netherlands;2002 July;18.859;18.859;17.728;0.0;0.102;1.029;0.0;0.178;18.989
137;East-Netherlands;2002 August;19.513;19.513;18.162;0.0;0.118;1.233;0.0;0.181;19.68
138;East-Netherlands;2002 September;18.476;18.476;17.216;0.0;0.105;1.155;0.0;0.177;18.628
139;East-Netherlands;2002 October;18.915;18.915;17.609;0.0;0.092;1.214;0.0;0.184;19.067
140;East-Netherlands;2002 November;18.479;18.479;17.567;0.0;0.012;0.9;0.0;0.168;18.621
141;East-Netherlands;2002 December;18.621;18.621;17.389;0.0;0.054;1.178;0.0;0.159;18.747
142;East-Netherlands;2002;225.686;225.678;211.19;0.0;1.258;13.23;0.008;2.022;226.616
143;East-Netherlands;2003 January;19.02;19.012;18.068;0.0;0.051;0.893;0.008;0.157;19.252
144;East-Netherlands;2003 February;17.268;17.268;16.206;0.0;0.057;1.005;0.0;0.139;17.471
145;East-Netherlands;2003 March;19.479;19.479;18.367;0.0;0.095;1.017;0.0;0.153;19.703
146;East-Netherlands;2003 April;19.944;19.944;18.755;0.0;0.107;1.082;0.0;0.165;20.183
147;East-Netherlands;2003 May;19.981;19.981;18.742;0.0;0.101;1.138;0.0;0.155;20.195
148;East-Netherlands;2003 June;20.751;20.751;19.447;0.0;0.119;1.185;0.0;0.167;20.978
149;East-Netherlands;2003 July;19.951;19.951;18.673;0.0;0.123;1.155;0.0;0.146;20.163
150;East-Netherlands;2003 August;22.982;22.982;22.241;0.0;0.089;0.652;0.0;0.187;23.234
151;East-Netherlands;2003 September;18.748;18.748;17.991;0.0;0.0;0.757;0.0;0.155;18.968
152;East-Netherlands;2003 October;19.043;19.043;18.84;0.0;0.0;0.203;0.0;0.156;19.263
153;East-Netherlands;2003 November;18.329;18.329;18.151;0.0;0.0;0.178;0.0;0.168;18.562
154;East-Netherlands;2003 December;18.469;18.469;17.567;0.0;0.0;0.902;0.0;0.155;18.69
155;East-Netherlands;2003;233.965;233.957;223.048;0.0;0.742;10.167;0.008;1.903;236.662
156;West-Netherlands;2000 January;50.948;46.742;12.835;1.757;17.403;14.747;4.206;0.485;52.025
157;West-Netherlands;2000 February;47.63;43.272;11.693;0.992;15.177;15.41;4.358;0.477;48.646
158;West-Netherlands;2000 March;52.097;47.316;12.931;1.661;17.22;15.504;4.781;0.648;53.271
159;West-Netherlands;2000 April;50.836;45.989;12.512;1.541;16.454;15.482;4.847;0.511;51.941
160;West-Netherlands;2000 May;54.627;49.487;13.303;1.312;17.393;17.479;5.14;0.584;55.617
161;West-Netherlands;2000 June;54.67;49.168;13.116;1.153;18.032;16.867;5.502;0.535;55.756
162;West-Netherlands;2000 July;53.588;47.856;12.666;0.883;17.797;16.51;5.732;0.483;54.546
163;West-Netherlands;2000 August;54.687;48.925;12.95;1.138;18.579;16.258;5.762;0.547;55.899
164;West-Netherlands;2000 September;52.155;46.844;12.598;1.461;17.815;14.97;5.311;0.446;53.275
165;West-Netherlands;2000 October;53.084;47.726;12.695;1.301;18.295;15.435;5.358;0.594;54.276
166;West-Netherlands;2000 November;51.437;46.687;13.041;2.785;18.072;12.789;4.75;0.556;52.506
167;West-Netherlands;2000 December;51.147;46.537;12.617;1.779;17.659;14.482;4.61;0.575;52.239
168;West-Netherlands;2000;626.906;566.549;152.957;17.763;209.896;185.933;60.357;6.441;639.997
169;West-Netherlands;2001 January;51.358;46.843;12.671;2.424;17.459;14.289;4.515;0.23;52.358
170;West-Netherlands;2001 February;46.885;42.607;11.362;1.958;15.759;13.528;4.278;0.309;47.873
171;West-Netherlands;2001 March;51.61;47.054;12.886;2.032;17.208;14.928;4.556;0.28;52.69
172;West-Netherlands;2001 April;51.939;46.971;12.491;1.387;17.348;15.745;4.968;0.274;53.023
173;West-Netherlands;2001 May;55.364;50.344;13.602;1.372;18.63;16.74;5.02;0.209;56.439
174;West-Netherlands;2001 June;55.211;49.728;13.197;1.092;18.359;17.08;5.483;0.232;56.292
175;West-Netherlands;2001 July;56.495;51.428;14.653;1.166;18.654;16.955;6.233;0.301;57.704
176;West-Netherlands;2001 August;53.361;47.204;12.631;1.132;17.442;15.999;6.157;0.251;54.492
177;West-Netherlands;2001 September;51.298;45.871;12.39;1.586;17.097;14.798;5.427;0.33;52.328
178;West-Netherlands;2001 October;53.196;47.792;12.826;1.542;17.771;15.653;5.404;0.339;54.344
179;West-Netherlands;2001 November;51.441;46.426;12.808;2.647;17.023;13.948;5.015;0.556;52.695
180;West-Netherlands;2001 December;51.328;46.683;12.723;1.939;17.23;14.791;4.645;0.341;52.355
181;West-Netherlands;2001;629.486;568.951;154.24;20.277;209.98;184.454;61.701;3.652;642.593
182;West-Netherlands;2002 January;51.502;46.903;13.073;2.616;18.633;12.581;4.599;0.278;52.538
183;West-Netherlands;2002 February;46.207;42.039;11.08;0.941;17.227;12.791;4.168;0.248;47.18
184;West-Netherlands;2002 March;52.505;47.639;12.86;2.25;19.474;13.055;4.866;0.254;53.564
185;West-Netherlands;2002 April;52.078;47.427;12.673;1.347;19.216;14.191;4.651;0.242;53.106
186;West-Netherlands;2002 May;53.126;48.395;12.696;1.046;20.046;14.607;4.731;0.257;54.165
187;West-Netherlands;2002 June;53.811;47.975;12.512;1.057;19.681;14.725;5.836;0.204;54.854
188;West-Netherlands;2002 July;53.411;47.898;12.562;1.001;20.036;14.299;5.513;0.326;54.456
189;West-Netherlands;2002 August;52.981;47.287;12.289;1.163;19.475;14.36;5.694;0.184;53.888
190;West-Netherlands;2002 September;52.961;47.065;12.078;0.99;19.379;14.618;5.896;0.199;53.848
191;West-Netherlands;2002 October;52.802;47.423;12.705;1.359;19.168;14.191;5.379;0.202;53.715
192;West-Netherlands;2002 November;52.76;47.737;12.465;1.8;19.17;14.302;5.023;0.301;53.701
193;West-Netherlands;2002 December;51.099;46.513;12.021;0.8;19.124;14.568;4.586;0.381;52.083
194;West-Netherlands;2002;625.243;564.301;149.014;16.37;230.629;168.288;60.942;3.076;637.098
195;West-Netherlands;2003 January;51.888;47.09;12.826;2.333;19.22;12.711;4.798;0.38;52.825
196;West-Netherlands;2003 February;48.547;44.021;11.32;1.587;17.254;13.86;4.526;0.236;49.4
197;West-Netherlands;2003 March;52.694;47.673;12.588;1.384;18.743;14.958;5.021;0.305;53.685
198;West-Netherlands;2003 April;53.96;48.898;12.957;1.667;19.02;15.254;5.062;0.255;54.808
199;West-Netherlands;2003 May;53.246;48.096;12.702;0.921;19.544;14.929;5.15;0.249;54.099
200;West-Netherlands;2003 June;56.198;50.108;13.54;0.916;20.104;15.548;6.09;0.416;57.254
201;West-Netherlands;2003 July;54.881;48.832;13.071;0.855;19.892;15.014;6.049;0.383;55.933
202;West-Netherlands;2003 August;60.609;54.086;14.915;1.22;21.404;16.547;6.523;0.358;61.78
203;West-Netherlands;2003 September;52.505;46.518;11.887;0.696;18.374;15.561;5.987;0.308;53.279
204;West-Netherlands;2003 October;52.478;46.735;11.793;1.191;19.216;14.535;5.743;0.215;53.138
205;West-Netherlands;2003 November;50.508;45.318;11.718;0.779;18.665;14.156;5.19;0.202;51.171
206;West-Netherlands;2003 December;50.579;45.408;11.918;1.45;18.739;13.301;5.171;0.344;51.443
207;West-Netherlands;2003;638.093;572.783;151.235;14.999;230.175;176.374;65.31;3.651;648.815
208;South-Netherlands;2000 January;21.037;20.926;20.593;0.0;0.204;0.129;0.111;0.362;21.124
209;South-Netherlands;2000 February;20.546;20.418;19.875;0.0;0.392;0.151;0.128;0.308;20.61
210;South-Netherlands;2000 March;21.854;21.683;21.072;0.0;0.452;0.159;0.171;0.365;21.982
211;South-Netherlands;2000 April;22.635;22.481;21.87;0.0;0.413;0.198;0.154;0.338;22.702
212;South-Netherlands;2000 May;23.795;23.651;23.018;0.0;0.442;0.191;0.144;0.353;23.934
213;South-Netherlands;2000 June;23.504;23.348;22.643;0.0;0.505;0.2;0.156;0.388;23.551
214;South-Netherlands;2000 July;20.818;20.677;20.033;0.0;0.468;0.176;0.141;0.249;20.797
215;South-Netherlands;2000 August;22.862;22.723;22.038;0.0;0.475;0.21;0.139;0.384;22.881
216;South-Netherlands;2000 September;21.775;21.604;20.987;0.0;0.438;0.179;0.171;0.309;21.704
217;South-Netherlands;2000 October;21.83;21.641;20.683;0.0;0.48;0.478;0.189;0.425;21.965
218;South-Netherlands;2000 November;21.509;21.318;20.414;0.0;0.503;0.401;0.191;0.358;21.643
219;South-Netherlands;2000 December;21.454;21.28;20.722;0.0;0.469;0.089;0.174;0.303;21.541
220;South-Netherlands;2000;263.619;261.75;253.948;0.0;5.241;2.561;1.869;4.142;264.434
221;South-Netherlands;2001 January;21.745;21.56;20.919;0.0;0.494;0.147;0.185;0.596;21.87
222;South-Netherlands;2001 February;19.711;19.6;19.067;0.0;0.422;0.111;0.111;0.51;19.749
223;South-Netherlands;2001 March;22.014;21.839;21.251;0.0;0.466;0.122;0.175;0.586;22.101
224;South-Netherlands;2001 April;21.369;21.208;20.641;0.0;0.454;0.113;0.161;0.591;21.438
225;South-Netherlands;2001 May;24.929;24.756;24.116;0.0;0.522;0.118;0.173;0.582;24.954
226;South-Netherlands;2001 June;23.804;23.621;22.992;0.0;0.515;0.114;0.183;0.594;23.842
227;South-Netherlands;2001 July;22.668;22.479;21.776;0.0;0.556;0.147;0.189;0.52;22.577
228;South-Netherlands;2001 August;23.836;23.66;22.917;0.0;0.545;0.198;0.176;0.571;23.811
229;South-Netherlands;2001 September;21.497;21.362;20.757;0.0;0.418;0.187;0.135;0.491;21.571
230;South-Netherlands;2001 October;22.166;22.011;21.285;0.0;0.516;0.21;0.155;0.562;22.202
231;South-Netherlands;2001 November;21.047;20.894;20.247;0.0;0.493;0.154;0.153;0.53;21.153
232;South-Netherlands;2001 December;21.256;21.103;20.478;0.0;0.471;0.154;0.153;0.614;21.462
233;South-Netherlands;2001;266.042;264.093;256.446;0.0;5.872;1.775;1.949;6.747;266.73
234;South-Netherlands;2002 January;21.564;21.514;20.827;0.0;0.521;0.166;0.05;0.455;21.548
235;South-Netherlands;2002 February;19.085;18.993;18.372;0.0;0.481;0.14;0.092;0.468;19.081
236;South-Netherlands;2002 March;22.571;22.391;21.7;0.0;0.503;0.188;0.18;0.966;23.014
237;South-Netherlands;2002 April;21.966;21.798;21.054;0.0;0.503;0.241;0.168;0.994;22.457
238;South-Netherlands;2002 May;23.393;23.224;22.446;0.0;0.495;0.283;0.169;1.475;24.373
239;South-Netherlands;2002 June;22.765;22.601;21.701;0.0;0.495;0.405;0.164;0.611;22.82
240;South-Netherlands;2002 July;21.53;21.369;20.13;0.0;0.681;0.558;0.161;0.597;21.607
241;South-Netherlands;2002 August;22.412;22.258;21.039;0.0;0.659;0.56;0.154;0.707;22.581
242;South-Netherlands;2002 September;21.421;21.251;20.316;0.0;0.477;0.458;0.17;0.276;21.188
243;South-Netherlands;2002 October;21.494;21.339;20.403;0.0;0.485;0.451;0.155;0.503;21.481
244;South-Netherlands;2002 November;20.978;20.809;19.821;0.0;0.495;0.493;0.169;0.487;21.013
245;South-Netherlands;2002 December;20.826;20.65;19.636;0.0;0.481;0.533;0.176;0.496;20.914
246;South-Netherlands;2002;260.005;258.197;247.445;0.0;6.276;4.476;1.808;8.035;262.077
247;South-Netherlands;2003 January;20.92;20.759;19.532;0.0;0.694;0.533;0.161;0.495;20.944
248;South-Netherlands;2003 February;19.622;19.471;18.442;0.0;0.481;0.548;0.151;0.461;19.544
249;South-Netherlands;2003 March;21.566;21.401;19.995;0.0;0.548;0.858;0.165;0.515;21.484
250;South-Netherlands;2003 April;22.96;22.784;21.2;0.0;0.695;0.889;0.176;0.484;22.941
251;South-Netherlands;2003 May;22.531;22.365;20.893;0.0;0.542;0.93;0.166;0.504;22.53
252;South-Netherlands;2003 June;23.428;23.267;21.679;0.0;0.534;1.054;0.161;0.544;23.428
253;South-Netherlands;2003 July;24.365;24.194;22.4;0.0;0.735;1.059;0.171;0.569;24.355
254;South-Netherlands;2003 August;25.984;25.815;23.957;0.0;0.723;1.135;0.169;0.488;25.771
255;South-Netherlands;2003 September;20.804;20.673;19.498;0.0;0.566;0.609;0.131;0.46;20.884
256;South-Netherlands;2003 October;21.515;21.373;20.04;0.0;0.619;0.714;0.142;0.456;21.615
257;South-Netherlands;2003 November;20.526;20.35;19.012;0.0;0.528;0.81;0.176;0.456;20.606
258;South-Netherlands;2003 December;19.948;19.775;18.37;0.0;0.528;0.877;0.173;0.436;19.951
259;South-Netherlands;2003;264.169;262.227;245.018;0.0;7.193;10.016;1.942;5.868;264.053
260;Groningen;2000 January;5.017;3.841;3.297;0.0;0.282;0.262;1.176;0.0;4.836
261;Groningen;2000 February;4.719;3.695;3.238;0.0;0.211;0.246;1.024;0.0;4.547
262;Groningen;2000 March;5.068;4.064;3.551;0.0;0.251;0.262;1.004;0.0;4.882
263;Groningen;2000 April;4.596;3.986;3.474;0.0;0.279;0.233;0.61;0.0;4.406
264;Groningen;2000 May;4.869;4.203;3.66;0.0;0.303;0.24;0.666;0.0;4.661
265;Groningen;2000 June;4.665;3.965;3.437;0.0;0.296;0.232;0.7;0.0;4.47
266;Groningen;2000 July;4.623;3.924;3.367;0.0;0.317;0.24;0.699;0.0;4.422
267;Groningen;2000 August;4.475;3.785;3.22;0.0;0.325;0.24;0.69;0.0;4.283
268;Groningen;2000 September;4.559;3.903;3.449;0.0;0.224;0.23;0.656;0.0;4.375
269;Groningen;2000 October;4.617;3.957;3.557;0.0;0.16;0.24;0.66;0.0;4.448
270;Groningen;2000 November;4.699;3.9;3.399;0.0;0.269;0.232;0.799;0.0;4.515
