ID;Regions;Periods;MixedIncomeNet_1;TotalCompensationOfEmployees_2;TotalPropertyIncome_3;TotalPropertyIncome_4;PrimaryIncomeNet_5;PrimaryIncomeNet_6;TotalSocialBenefits_7;TotalOtherCurrentTransfers_8;TotalCurrentTaxesOnIncomeAndWealth_9;TotalSocialContributions_10;TotalOtherCurrentTransfers_11;DisposableIncomeNet_12;MixedIncomeNet_13;TotalCompensationOfEmployees_14;TotalPropertyIncome_15;TotalPropertyIncome_16;PrimaryIncomeNet_17;PrimaryIncomeNet_18;TotalSocialBenefits_19;TotalOtherCurrentTransfers_20;TotalCurrentTaxesOnIncomeAndWealth_21;TotalSocialContributions_22;TotalOtherCurrentTransfers_23;DisposableIncomeNet_24
10;Noord-Nederland (LD);2017;6547;29032;4496;720;39412;39412;13313;1595;5097;15767;1787;31670;3801;16857;2610;418;22884;22884;7730;926;2959;9155;1038;18388
11;Noord-Nederland (LD);2018;7163;30444;4679;965;41392;41392;13547;1583;5061;16627;1760;33085;4157;17668;2716;560;24022;24022;7862;919;2937;9650;1021;19201
12;Noord-Nederland (LD);2019;7204;31961;5213;712;43750;43750;14050;1556;5434;17668;1786;34498;4172;18510;3019;412;25338;25338;8137;901;3147;10232;1034;19980
13;Noord-Nederland (LD);2020;6601;33103;4540;366;44014;44014;14745;1760;5561;17524;1719;35721;3813;19120;2622;211;25422;25422;8517;1017;3212;10122;993;20632
14;Noord-Nederland (LD);2021;6683;34446;4652;613;45168;45168;15223;1655;5778;17684;1766;36818;3846;19825;2677;353;25995;25995;8761;952;3325;10178;1016;21190
15;Noord-Nederland (LD);2022;7701;36641;5325;1322;48345;48345;15922;2117;5955;19039;1682;39708;4401;20940;3043;756;27629;27629;9099;1210;3403;10881;961;22693
16;Oost-Nederland (LD);2015;9688;64226;10972;1808;83138;83138;25098;3126;11161;33219;3726;63166;2709;17958;3068;506;23247;23247;7018;874;3121;9288;1042;17662
17;Oost-Nederland (LD);2016;10615;66436;10441;1505;86015;86015;25640;3163;10576;35055;3776;65355;2954;18488;2905;419;23936;23936;7135;880;2943;9755;1051;18187
18;Oost-Nederland (LD);2017;12000;68561;10256;1645;89204;89204;26294;3169;12138;35232;3870;67424;3321;18974;2838;455;24687;24687;7277;877;3359;9751;1071;18660
19;Oost-Nederland (LD);2018;13218;72053;11005;2022;94294;94294;26875;3161;12131;37259;3844;71109;3637;19827;3028;556;25947;25947;7395;870;3338;10253;1058;19567
20;Oost-Nederland (LD);2019;13614;75893;12405;1452;100496;100496;27961;3097;13137;39643;3926;74885;3722;20746;3391;397;27472;27472;7643;847;3591;10837;1073;20471
21;Oost-Nederland (LD);2020;13092;78770;11106;944;102095;102095;29531;3529;13752;39583;3817;78037;3556;21397;3017;256;27733;27733;8022;959;3736;10752;1037;21198
22;Oost-Nederland (LD);2021;14600;82191;11011;1117;106685;106685;30584;3510;14297;40186;3867;82429;3941;22188;2973;302;28801;28801;8256;948;3860;10849;1044;22253
23;Oost-Nederland (LD);2022;17303;87969;12755;3241;114786;114786;32039;4448;14895;43393;3709;89276;4627;23521;3410;867;30692;30692;8567;1189;3983;11603;992;23871
24;West-Nederland (LD);2015;20467;165881;28289;3955;210519;210519;57895;7406;33186;82033;8867;151945;2548;20647;3521;492;26203;26203;7206;922;4131;10211;1104;18912
25;West-Nederland (LD);2016;22909;171632;29026;3360;220109;220109;58998;7488;31932;86980;9008;158786;2830;21205;3586;415;27194;27194;7289;925;3945;10746;1113;19618
26;West-Nederland (LD);2017;25744;177460;28599;3753;227961;227961;60517;7514;36825;87580;9259;162329;3156;21753;3506;460;27944;27944;7418;921;4514;10736;1135;19898
27;West-Nederland (LD);2018;28984;186695;29336;4266;240646;240646;61849;7486;36787;92227;9233;171707;3526;22709;3568;519;29271;29271;7523;911;4475;11218;1123;20886
28;West-Nederland (LD);2019;30135;197053;33039;2984;257138;257138;64027;7361;40453;97915;9473;180597;3635;23771;3986;360;31020;31020;7724;888;4880;11812;1143;21786
29;West-Nederland (LD);2020;29560;203825;29266;2300;260162;260162;67844;8380;42170;97833;9255;187087;3543;24428;3508;276;31180;31180;8131;1004;5054;11725;1109;22422
30;West-Nederland (LD);2021;35753;212591;29111;2070;275385;275385;69679;7973;44368;98956;8994;200719;4261;25336;3469;247;32820;32820;8304;950;5288;11793;1072;23921
31;West-Nederland (LD);2022;41089;228371;33979;7568;295871;295871;72495;10170;46249;106652;8618;217017;4846;26936;4008;893;34897;34897;8551;1200;5455;12579;1016;25597
32;Zuid-Nederland (LD);2015;9149;67306;11718;1788;86393;86393;26936;3291;12421;34949;3962;65245;2534;18640;3245;495;23926;23926;7460;911;3440;9679;1097;18069
33;Zuid-Nederland (LD);2016;10262;69673;11159;1495;89593;89593;27476;3321;11820;36931;4008;67613;2833;19233;3080;413;24732;24732;7585;917;3263;10195;1106;18665
34;Zuid-Nederland (LD);2017;11581;72195;11042;1654;93164;93164;28104;3322;13650;37139;4106;69695;3184;19846;3035;455;25610;25610;7726;913;3752;10209;1129;19159
35;Zuid-Nederland (LD);2018;12558;75577;11548;1980;97695;97695;28718;3310;13447;39055;4067;73157;3438;20688;3161;542;26742;26742;7861;906;3681;10691;1113;20025
36;Zuid-Nederland (LD);2019;13039;79441;13166;1406;104225;104225;29835;3247;14633;41463;4153;77079;3552;21643;3587;383;28395;28395;8128;885;3987;11296;1131;20999
37;Zuid-Nederland (LD);2020;12583;82114;11856;968;105567;105567;31461;3683;15194;41303;4026;80189;3415;22283;3217;263;28648;28648;8538;999;4123;11208;1093;21761
38;Zuid-Nederland (LD);2021;13027;85584;11501;1027;109085;109085;32559;3986;15660;41549;4316;84105;3520;23128;3108;278;29478;29478;8799;1077;4232;11228;1166;22728
39;Zuid-Nederland (LD);2022;15878;91494;13323;3319;117376;117376;34065;4993;16267;44807;4158;91202;4254;24510;3569;889;31444;31444;9126;1338;4358;12003;1114;24432
40;Groningen (PV);2015;1608;9430;1529;251;12328;12328;4271;633;1584;5063;585;9969;2754;16152;2619;430;21116;21116;7315;1084;2713;8672;1002;17075
41;Groningen (PV);2016;1913;9710;1472;205;12905;12905;4347;642;1537;5320;589;10434;3278;16637;2522;351;22111;22111;7448;1100;2633;9115;1009;17877
42;Groningen (PV);2017;2015;9932;1428;224;13160;13160;4424;640;1702;5299;600;10628;3455;17028;2448;384;22563;22563;7585;1097;2918;9085;1029;18222
43;Groningen (PV);2018;2126;10418;1458;289;13721;13721;4486;635;1700;5604;590;10959;3644;17855;2499;495;23516;23516;7689;1088;2914;9605;1011;18783
44;Groningen (PV);2019;2251;10920;1597;213;14571;14571;4656;630;1822;5948;598;11510;3848;18669;2730;364;24911;24911;7960;1077;3115;10169;1022;19678
45;Groningen (PV);2020;2064;11314;1398;115;14688;14688;4879;706;1862;5891;576;11951;3520;19294;2384;196;25048;25048;8320;1204;3175;10046;982;20380
46;Groningen (PV);2021;2088;11824;1551;175;15288;15288;5039;570;1946;6018;578;12355;3548;20090;2635;297;25976;25976;8562;968;3306;10225;982;20992
47;Groningen (PV);2022;2353;12535;1768;415;16241;16241;5279;734;1992;6458;549;13255;3967;21134;2981;700;27382;27382;8900;1238;3358;10888;926;22348
48;Fryslân (PV);2015;2276;9977;1834;323;13818;13818;4705;544;1694;5496;650;11194;3522;15441;2838;500;21385;21385;7282;842;2622;8506;1006;17324
49;Fryslân (PV);2016;2467;10317;1788;260;14352;14352;4779;548;1627;5768;655;11610;3816;15959;2766;402;22201;22201;7393;848;2517;8922;1013;17959
50;Fryslân (PV);2017;2728;10598;1651;276;14732;14732;4884;546;1825;5761;668;11904;4216;16378;2551;427;22767;22767;7548;844;2820;8903;1032;18397
51;Fryslân (PV);2018;3038;11112;1760;389;15562;15562;4968;541;1826;6083;658;12503;4692;17162;2718;601;24035;24035;7673;836;2820;9395;1016;19311
52;Fryslân (PV);2019;3000;11675;1966;288;16401;16401;5148;529;1960;6450;668;13003;4624;17994;3030;444;25278;25278;7934;815;3021;9941;1030;20041
53;Fryslân (PV);2020;2693;12081;1732;133;16450;16450;5414;603;2013;6408;643;13401;4139;18566;2662;204;25281;25281;8320;927;3094;9848;988;20595
54;Fryslân (PV);2021;2678;12549;1671;264;16634;16634;5590;613;2051;6462;674;13650;4103;19225;2560;404;25484;25484;8564;939;3142;9900;1033;20912
55;Fryslân (PV);2022;3180;13368;1924;495;17977;17977;5833;785;2143;6961;643;14848;4842;20354;2929;754;27371;27371;8881;1195;3263;10599;979;22607
56;Drenthe (PV);2015;1525;8085;1495;248;10886;10886;3825;404;1434;4506;504;8657;3121;16547;3060;508;22280;22280;7828;827;2935;9222;1032;17718
57;Drenthe (PV);2016;1608;8314;1515;202;11256;11256;3908;407;1399;4739;509;8920;3280;16960;3091;412;22962;22962;7972;830;2854;9667;1038;18196
58;Drenthe (PV);2017;1804;8502;1417;220;11520;11520;4005;409;1570;4707;519;9138;3667;17282;2880;447;23417;23417;8141;831;3191;9568;1055;18575
59;Drenthe (PV);2018;1999;8914;1461;287;12109;12109;4093;407;1535;4940;512;9623;4062;18113;2969;583;24605;24605;8317;827;3119;10038;1040;19554
60;Drenthe (PV);2019;1953;9366;1650;211;12778;12778;4246;397;1652;5270;520;9985;3962;19001;3347;428;25923;25923;8614;805;3351;10691;1055;20257
61;Drenthe (PV);2020;1844;9708;1410;118;12876;12876;4452;451;1686;5225;500;10369;3731;19643;2853;239;26053;26053;9008;913;3411;10572;1012;20980
62;Drenthe (PV);2021;1917;10073;1430;174;13246;13246;4594;472;1781;5204;514;10813;3863;20298;2882;351;26692;26692;9257;951;3589;10487;1036;21789
63;Drenthe (PV);2022;2168;10738;1633;412;14127;14127;4810;598;1820;5620;490;11605;4337;21480;3267;824;28260;28260;9622;1196;3641;11242;980;23215
64;Overijssel (PV);2015;3094;19676;3288;562;25519;25519;7907;984;3254;10228;1157;19729;2708;17222;2878;492;22337;22337;6921;861;2848;8953;1013;17269
65;Overijssel (PV);2016;3286;20374;3171;467;26373;26373;8080;991;3093;10770;1171;20385;2867;17779;2767;408;23013;23013;7051;865;2699;9398;1022;17788
66;Overijssel (PV);2017;3712;20990;3046;508;27250;27250;8264;992;3522;10819;1198;20965;3229;18259;2650;442;23704;23704;7189;863;3064;9411;1042;18237
67;Overijssel (PV);2018;4010;22062;3263;640;28706;28706;8424;991;3503;11436;1190;21996;3475;19118;2828;555;24876;24876;7300;859;3036;9910;1031;19061
68;Overijssel (PV);2019;4065;23242;3667;466;30508;30508;8759;974;3779;12163;1214;23103;3506;20046;3163;402;26313;26313;7555;840;3259;10491;1047;19926
69;Overijssel (PV);2020;3867;24157;3350;290;31091;31091;9240;1113;3991;12147;1177;24143;3321;20745;2877;249;26700;26700;7935;956;3427;10431;1011;20733
70;Overijssel (PV);2021;4363;25207;3379;360;32589;32589;9572;1102;4142;12381;1199;25541;3732;21559;2890;308;27872;27872;8187;943;3543;10589;1025;21844
71;Overijssel (PV);2022;5162;26966;3855;978;35005;35005;10007;1393;4284;13373;1152;27596;4382;22889;3272;830;29713;29713;8494;1182;3636;11351;978;23424
72;Flevoland (PV);2015;1177;7725;1014;238;9678;9678;2508;347;1216;3797;410;7095;2921;19172;2517;591;24019;24019;6224;861;3018;9423;1018;17609
73;Flevoland (PV);2016;1353;7992;985;197;10135;10135;2575;351;1176;4029;416;7431;3333;19687;2426;485;24967;24967;6343;865;2897;9925;1025;18306
74;Flevoland (PV);2017;1459;8238;957;209;10447;10447;2660;351;1332;4051;426;7649;3561;20105;2336;510;25496;25496;6492;857;3251;9887;1040;18668
75;Flevoland (PV);2018;1631;8686;1018;263;11072;11072;2737;348;1355;4313;423;8071;3939;20975;2458;635;26737;26737;6609;840;3272;10415;1021;19490
76;Flevoland (PV);2019;1732;9198;1149;187;11890;11890;2853;342;1467;4595;433;8598;4126;21911;2737;445;28324;28324;6796;815;3495;10946;1031;20482
77;Flevoland (PV);2020;1579;9540;1013;112;12022;12022;3059;394;1515;4625;425;8925;3710;22414;2380;263;28246;28246;7187;926;3559;10866;999;20969
78;Flevoland (PV);2021;1751;10045;1049;146;12699;12699;3210;401;1620;4789;429;9472;4058;23279;2431;338;29430;29430;7439;929;3754;11099;994;21951
79;Flevoland (PV);2022;2078;10967;1206;385;13866;13866;3360;500;1727;5241;408;10350;4726;24940;2743;876;31533;31533;7641;1137;3927;11919;928;23537
80;Gelderland (PV);2015;5417;36825;6670;1008;47941;47941;14683;1795;6691;19194;2159;36342;2667;18132;3284;496;23605;23605;7230;884;3294;9451;1063;17894
81;Gelderland (PV);2016;5976;38070;6285;841;49507;49507;14985;1821;6307;20256;2189;37539;2927;18647;3078;412;24249;24249;7340;892;3089;9922;1072;18387
82;Gelderland (PV);2017;6829;39333;6253;928;51507;51507;15370;1826;7284;20362;2246;38810;3325;19149;3044;452;25076;25076;7483;889;3546;9913;1093;18895
83;Gelderland (PV);2018;7577;41305;6724;1119;54516;54516;15714;1822;7273;21510;2231;41042;3667;19992;3255;542;26387;26387;7606;882;3520;10411;1080;19865
84;Gelderland (PV);2019;7817;43453;7589;799;58098;58098;16349;1781;7891;22885;2279;43184;3760;20901;3650;384;27946;27946;7864;857;3796;11008;1096;20772
85;Gelderland (PV);2020;7646;45073;6743;542;58982;58982;17232;2022;8246;22811;2215;44969;3656;21553;3224;259;28204;28204;8240;967;3943;10908;1059;21503
86;Gelderland (PV);2021;8486;46939;6583;611;61397;61397;17802;2007;8535;23016;2239;47416;4034;22314;3129;290;29187;29187;8463;954;4057;10942;1064;22541
87;Gelderland (PV);2022;10063;50036;7694;1878;65915;65915;18672;2555;8884;24779;2149;51330;4742;23579;3626;885;31061;31061;8799;1204;4186;11677;1013;24188
88;Utrecht (PV);2015;3167;27877;4723;682;35047;35047;8881;1192;5599;13532;1430;24608;2496;21975;3723;538;27627;27627;7001;940;4414;10667;1127;19398
89;Utrecht (PV);2016;3555;28898;5037;584;36884;36884;9048;1206;5401;14409;1456;25892;2779;22593;3938;457;28837;28837;7074;943;4223;11265;1138;20243
90;Utrecht (PV);2017;4033;29973;5014;654;38348;38348;9273;1201;6235;14533;1496;26556;3126;23235;3887;507;29727;29727;7188;931;4833;11266;1160;20586
91;Utrecht (PV);2018;4614;31433;4931;732;40223;40223;9488;1194;6203;15337;1499;27862;3546;24157;3790;563;30913;30913;7292;918;4767;11787;1152;21413
92;Utrecht (PV);2019;4990;33892;5642;520;43976;43976;10112;1202;6936;16681;1580;30082;3700;25133;4184;386;32611;32611;7499;891;5144;12370;1172;22308
93;Utrecht (PV);2020;4975;35340;5020;406;44880;44880;10701;1368;7308;16695;1550;31397;3663;26024;3697;299;33049;33049;7880;1007;5381;12294;1141;23120
94;Utrecht (PV);2021;6126;36927;4979;361;47671;47671;10961;1311;7694;16969;1521;33759;4486;27043;3646;264;34911;34911;8027;960;5635;12427;1114;24723
95;Utrecht (PV);2022;7100;39341;5812;1354;50899;50899;11473;1649;7961;18190;1455;36415;5150;28534;4215;982;36917;36917;8321;1196;5774;13193;1055;26411
96;Noord-Holland (PV);2015;7605;58918;10210;1407;75289;75289;20248;2606;12288;28753;3119;54092;2742;21244;3681;507;27147;27147;7301;940;4431;10367;1125;19504
97;Noord-Holland (PV);2016;8470;61227;10931;1209;79412;79412;20633;2634;11942;30583;3179;57031;3028;21889;3908;432;28390;28390;7376;942;4269;10934;1137;20389
98;Noord-Holland (PV);2017;9337;63569;10723;1350;82261;82261;21171;2648;13871;30853;3277;58068;3311;22540;3802;479;29167;29167;7507;939;4918;10939;1162;20589
99;Noord-Holland (PV);2018;10566;67104;10986;1529;87106;87106;21637;2634;13994;32495;3277;61583;3717;23609;3865;538;30647;30647;7613;927;4924;11433;1153;21667
100;Noord-Holland (PV);2019;10989;71084;12405;1082;93375;93375;22391;2586;15570;34460;3368;64873;3834;24799;4328;377;32575;32575;7811;902;5432;12022;1175;22632
101;Noord-Holland (PV);2020;10603;73427;10807;862;93903;93903;23843;2938;16219;34485;3293;66635;3676;25460;3747;299;32560;32560;8267;1019;5624;11957;1142;23105
102;Noord-Holland (PV);2021;13161;77098;11065;728;100596;100596;24552;2804;17418;34941;3184;72409;4540;26593;3817;251;34698;34698;8469;967;6008;12052;1098;24976
103;Noord-Holland (PV);2022;14781;83462;12836;2709;108370;108370;25343;3577;18167;37870;3048;78205;5043;28473;4379;924;36971;36971;8646;1220;6198;12920;1040;26680
104;Zuid-Holland (PV);2015;8358;72610;12086;1685;91252;91252;25892;3294;14046;36205;3915;66331;2314;20107;3347;467;25269;25269;7170;912;3890;10026;1084;18368
105;Zuid-Holland (PV);2016;9411;74859;11869;1421;94629;94629;26378;3330;13400;38269;3967;68739;2588;20587;3264;391;26024;26024;7254;916;3685;10524;1091;18904
106;Zuid-Holland (PV);2017;10788;77109;11722;1584;97965;97965;27071;3348;15364;38474;4071;70490;2943;21036;3198;432;26725;26725;7385;913;4191;10496;1111;19230
107;Zuid-Holland (PV);2018;12108;81058;12224;1789;103523;103523;27662;3343;15269;40511;4047;74706;3277;21937;3308;484;28016;28016;7486;905;4132;10963;1095;20218
108;Zuid-Holland (PV);2019;12425;84666;13680;1225;109464;109464;28348;3267;16547;42646;4110;77780;3366;22937;3706;332;29655;29655;7680;885;4483;11553;1113;21071
109;Zuid-Holland (PV);2020;12406;87405;12242;940;111007;111007;29959;3726;17213;42514;4014;80961;3337;23513;3293;253;29862;29862;8059;1002;4630;11437;1080;21779
110;Zuid-Holland (PV);2021;14854;90695;11897;847;116599;116599;30720;3488;17789;43023;3863;86132;3972;24250;3181;226;31176;31176;8214;933;4756;11503;1033;23030
111;Zuid-Holland (PV);2022;17333;97180;13909;3179;125243;125243;32069;4465;18593;46267;3708;93209;4586;25713;3680;841;33138;33138;8485;1181;4920;12242;981;24662
112;Zeeland (PV);2015;1337;6476;1270;181;8931;8931;2874;314;1253;3543;403;6914;3509;16998;3333;475;23442;23442;7544;824;3289;9299;1058;18148
113;Zeeland (PV);2016;1473;6648;1189;146;9184;9184;2939;318;1189;3719;406;7124;3862;17430;3117;383;24079;24079;7706;834;3117;9751;1064;18678
114;Zeeland (PV);2017;1586;6809;1140;165;9387;9387;3002;317;1355;3720;415;7215;4153;17828;2985;432;24577;24577;7860;830;3548;9740;1087;18891
115;Zeeland (PV);2018;1696;7100;1195;216;9794;9794;3062;315;1321;3884;410;7556;4432;18554;3123;564;25594;25594;8002;823;3452;10150;1071;19746
116;Zeeland (PV);2019;1731;7411;1312;157;10323;10323;3176;306;1400;4128;415;7862;4517;19337;3423;410;26935;26935;8287;798;3653;10771;1083;20513
117;Zeeland (PV);2020;1576;7653;1197;92;10372;10372;3341;348;1430;4139;398;8094;4099;19907;3114;239;26979;26979;8690;905;3720;10766;1035;21054
118;Zeeland (PV);2021;1612;7871;1170;134;10519;10519;3446;370;1467;4023;426;8419;4175;20387;3030;347;27245;27245;8926;958;3800;10420;1103;21806
119;Zeeland (PV);2022;1875;8388;1422;326;11359;11359;3610;479;1528;4325;407;9188;4821;21566;3656;838;29205;29205;9282;1232;3929;11120;1046;23623
120;Noord-Brabant (PV);2015;6270;48277;8306;1294;61551;61551;18039;2233;8983;24494;2772;45564;2514;19359;3331;519;24682;24682;7234;895;3602;9822;1112;18271
121;Noord-Brabant (PV);2016;7175;50072;7921;1082;64072;64072;18396;2256;8537;25950;2811;47415;2864;19984;3161;432;25571;25571;7342;900;3407;10357;1122;18923
122;Noord-Brabant (PV);2017;8109;51990;7911;1198;66807;66807;18853;2258;9946;26155;2886;48923;3217;20628;3139;475;26506;26506;7480;896;3946;10377;1145;19411
123;Noord-Brabant (PV);2018;8841;54487;8284;1432;70167;70167;19258;2257;9774;27523;2867;51509;3485;21481;3266;565;27662;27662;7592;890;3853;10851;1130;20307
124;Noord-Brabant (PV);2019;9243;57430;9521;1018;75157;75157;20004;2215;10685;29284;2937;54467;3619;22487;3728;399;29429;29429;7833;867;4184;11466;1150;21327
125;Noord-Brabant (PV);2020;8960;59513;8555;702;76297;76297;21120;2520;11167;29248;2861;56660;3488;23171;3331;273;29705;29705;8223;981;4348;11387;1114;22060
126;Noord-Brabant (PV);2021;9709;62223;8316;753;79495;79495;21844;2756;11556;29597;3044;59898;3758;24086;3219;291;30771;30771;8455;1067;4473;11457;1178;23186
127;Noord-Brabant (PV);2022;11786;66606;9681;2415;85658;85658;22889;3443;12047;31973;2933;65037;4517;25524;3710;925;32825;32825;8771;1319;4617;12252;1124;24923
128;Limburg (PV);2015;2879;19029;3412;494;24842;24842;8897;1058;3438;10455;1190;19681;2577;17034;3054;442;22238;22238;7964;947;3078;9359;1065;17618
129;Limburg (PV);2016;3087;19601;3238;413;25521;25521;9080;1065;3283;10981;1197;20198;2764;17549;2899;370;22850;22850;8130;954;2939;9832;1072;18084
130;Limburg (PV);2017;3472;20205;3131;456;26357;26357;9251;1064;3704;10984;1220;20772;3107;18083;2802;408;23588;23588;8279;952;3315;9830;1092;18590
131;Limburg (PV);2018;3717;21090;3264;548;27528;27528;9460;1053;3673;11532;1200;21648;3329;18887;2923;491;24652;24652;8472;943;3289;10327;1075;19386
132;Limburg (PV);2019;3796;22011;3645;388;29068;29068;9831;1032;3948;12179;1216;22612;3399;19711;3264;347;26031;26031;8804;924;3536;10907;1089;20250
133;Limburg (PV);2020;3623;22601;3301;266;29270;29270;10341;1163;4027;12055;1165;23529;3245;20242;2956;238;26215;26215;9262;1042;3607;10797;1043;21073
134;Limburg (PV);2021;3318;23361;3185;274;29590;29590;10715;1230;4104;11952;1272;24207;2970;20912;2851;245;26489;26489;9592;1101;3674;10699;1139;21670
135;Limburg (PV);2022;4092;24888;3642;904;31718;31718;11176;1550;4220;12834;1225;26165;3643;22155;3242;805;28236;28236;9949;1380;3757;11425;1091;23292
