ID;InstellingenProvinciesGemeentegrootte;Perioden;InstellingenKunstzinnigeVorming_1;TotaalLeerlingenEnCursisten_2;Jeugd_3;Volwassenen_4;MuziekleerlingenEnCursisten_5;DansleerlingenEnCursisten_6;LeerlingenEnCursistenBeeldendeKunst_7;LeerlingenEnCursistenOverigeKunst_8;GemiddeldPerInstelling_9;TotaalLeerlingen_10;Jeugd_11;Volwassenen_12;TotaalMuziekleerlingen_13;Jeugd_14;Volwassenen_15;TotaalDansleerlingen_16;Jeugd_17;Volwassenen_18;TotaalLeerlingenBeeldend_19;Jeugd_20;Volwassenen_21;TotaalLeerlingenOverig_22;Jeugd_23;Volwassenen_24;GemiddeldPerInstelling_25;TotaalCursisten_26;Jeugd_27;Volwassenen_28;TotaalMuziekcursisten_29;Jeugd_30;Volwassenen_31;TotaalDanscursisten_32;Jeugd_33;Volwassenen_34;TotaalCursistenBeeldendeKunst_35;Jeugd_36;Volwassenen_37;TotaalCursistenOverig_38;Jeugd_39;Volwassenen_40;GemiddeldPerInstelling_41;TotaalWerkzamePersonen_42;OnderwijzendPersoneel_43;OnderwijsondersteunendPersoneel_44;Steunfuncties_45;TotaalMensjarenPersoneel_46;MensjarenPersoneelInLoondienst_47;OnderwijzendPersoneel_48;OnderwijsondersteunendPersoneel_49;Steunfuncties_50;TotaalBaten_51;GemeentelijkeSubsidies_52;ProvincialeSubsidies_53;LesEnCursusgelden_54;OverigeBaten_55;TotaalLasten_56;Personeelskosten_57;Huisvestingskosten_58;OverigeLasten_59
10;Muziekscholen;1997;129.0;174.0;81.0;19.0;95.0;5.0;;;1351.0;158.0;84.0;16.0;;;;;;;;;;;;;1226.0;16.0;56.0;44.0;;;;;;;;;;;;;124.0;4.9;85.0;14.0;1.0;2220.0;2125.0;78.0;20.0;1.0;98.6;67.0;0.0;31.0;2.0;98.9;79.0;9.0;12.0
11;Muziekscholen;1999;119.0;166.0;81.0;19.0;96.0;4.0;;;1396.0;145.0;84.0;16.0;;;;;;;;;;;;;1215.0;22.0;61.0;39.0;;;;;;;;;;;;;181.0;4.7;85.0;14.0;1.0;2160.0;2055.0;77.0;23.0;1.0;98.2;67.0;0.0;29.0;4.0;98.2;75.0;10.0;15.0
12;Muziekscholen;2001;109.0;152.0;79.0;21.0;95.0;5.0;;;1392.0;133.0;82.0;18.0;;;;;;;;;;;;;1220.0;19.0;60.0;40.0;;;;;;;;;;;;;172.0;4.9;82.0;14.0;4.0;1884.0;1753.0;73.0;23.0;4.0;96.8;64.0;1.0;31.0;4.0;96.8;77.0;9.0;14.0
13;Muziekscholen;2003;109.0;163.0;77.0;23.0;95.0;5.0;;;1491.0;136.0;81.0;19.0;;;;;;;;;;;;;1243.0;27.0;58.0;42.0;;;;;;;;;;;;;248.0;4.4;84.0;15.0;1.0;1768.0;1668.0;75.0;23.0;2.0;96.7;63.0;0.0;31.0;6.0;96.7;78.0;9.0;13.0
14;Muziekscholen;2005;107.0;173.0;79.0;21.0;95.0;5.0;;;1616.0;138.0;82.0;18.0;;;;;;;;;;;;;1293.0;34.0;59.0;41.0;;;;;;;;;;;;;322.0;4.5;85.0;14.0;1.0;1744.0;1659.0;72.0;27.0;1.0;104.9;65.0;1.0;29.0;6.0;104.9;78.0;10.0;13.0
15;Muziekscholen;2007;108.0;175.0;76.0;24.0;94.0;6.0;;;1623.0;139.0;78.0;22.0;;;;;;;;;;;;;1288.0;36.0;57.0;42.0;;;;;;;;;;;;;334.0;4.8;85.0;14.0;1.0;1833.0;1750.0;72.0;27.0;2.0;108.1;63.0;1.0;30.0;6.0;108.1;77.0;10.0;13.0
16;Creativiteitscentra;1993;66.0;61.0;20.0;80.0;;8.0;72.0;20.0;921.0;40.0;21.0;79.0;;;;;;;;;;;;;609.0;21.0;18.0;82.0;;;;;;;;;;;;;312.0;2.1;83.0;17.0;0.0;515.0;;54.0;39.0;8.0;22.5;55.0;9.0;31.0;5.0;22.2;31.0;18.0;51.0
17;Creativiteitscentra;1995;63.0;58.0;20.0;80.0;;10.0;61.0;29.0;921.0;35.0;24.0;76.0;;;;;;;;;;;;;557.0;23.0;13.0;87.0;;;;;;;;;;;;;365.0;;;;;525.0;;40.0;;;22.5;54.0;8.0;31.0;7.0;22.2;62.0;14.0;24.0
18;Creativiteitscentra;1997;63.0;56.0;22.0;78.0;;11.0;63.0;26.0;886.0;33.0;29.0;71.0;;;;;;;;;;;;;517.0;23.0;12.0;88.0;;;;;;;;;;;;;369.0;2.1;76.0;18.0;6.0;500.0;410.0;41.0;46.0;13.0;22.5;56.0;5.0;29.0;10.0;22.8;64.0;14.0;22.0
19;Creativiteitscentra;1999;65.0;59.0;24.0;76.0;;12.0;60.0;28.0;911.0;42.0;28.0;72.0;;;;;;;;;;;;;641.0;18.0;14.0;86.0;;;;;;;;;;;;;269.0;2.2;74.0;24.0;2.0;413.0;359.0;44.0;52.0;3.0;21.1;60.0;3.0;29.0;8.0;21.1;69.0;12.0;19.0
20;Creativiteitscentra;2001;58.0;58.0;31.0;69.0;;13.0;53.0;33.0;1006.0;31.0;31.0;69.0;;;;;;;;;;;;;541.0;27.0;31.0;69.0;;;;;;;;;;;;;466.0;1.8;74.0;20.0;6.0;475.0;395.0;50.0;43.0;7.0;22.0;56.0;1.0;31.0;12.0;22.0;67.0;16.0;17.0
21;Creativiteitscentra;2003;58.0;56.0;34.0;66.0;;12.0;62.0;26.0;957.0;30.0;31.0;69.0;;;;;;;;;;;;;517.0;26.0;37.0;63.0;;;;;;;;;;;;;418.0;1.8;80.0;20.0;0.0;296.0;275.0;52.0;48.0;0.0;18.7;53.0;1.0;30.0;16.0;18.7;64.0;15.0;21.0
22;Creativiteitscentra;2005;58.0;53.0;41.0;59.0;;14.0;57.0;29.0;919.0;29.0;34.0;66.0;;;;;;;;;;;;;494.0;25.0;42.0;58.0;;;;;;;;;;;;;425.0;1.9;75.0;20.0;4.0;401.0;347.0;44.0;53.0;3.0;27.5;54.0;2.0;26.0;18.0;27.5;64.0;18.0;18.0
23;Creativiteitscentra;2007;58.0;63.0;33.0;67.0;;16.0;51.0;33.0;1079.0;31.0;41.0;59.0;;;;;;;;;;;;;570.0;31.0;38.0;62.0;;;;;;;;;;;;;508.0;1.8;75.0;20.0;5.0;389.0;339.0;44.0;52.0;4.0;24.5;55.0;2.0;28.0;15.0;24.5;62.0;17.0;21.0
24;Gecombineerde instellingen;1993;46.0;135.0;59.0;41.0;54.0;10.0;18.0;18.0;2936.0;107.0;61.0;39.0;;;;;;;;;;;;;2330.0;28.0;51.0;49.0;;;;;;;;;;;;;607.0;3.5;83.0;17.0;0.0;1440.0;;68.0;29.0;3.0;67.5;69.0;1.0;25.0;5.0;67.4;47.0;10.0;43.0
25;Gecombineerde instellingen;1995;47.0;134.0;63.0;37.0;57.0;10.0;17.0;16.0;2861.0;100.0;67.0;33.0;;;;;;;;;;;;;2125.0;35.0;51.0;49.0;;;;;;;;;;;;;736.0;;;;;1476.0;;68.0;;;67.7;69.0;2.0;26.0;3.0;67.6;74.0;12.0;14.0
26;Gecombineerde instellingen;1997;52.0;149.0;62.0;38.0;58.0;11.0;17.0;14.0;2869.0;116.0;67.0;33.0;;;;;;;;;;;;;2232.0;33.0;47.0;53.0;;;;;;;;;;;;;637.0;4.3;79.0;18.0;3.0;1655.0;1560.0;68.0;30.0;2.0;81.6;68.0;2.0;25.0;5.0;81.2;72.0;12.0;16.0
27;Gecombineerde instellingen;1999;56.0;159.0;62.0;38.0;54.0;12.0;17.0;17.0;2834.0;109.0;65.0;35.0;;;;;;;;;;;;;1941.0;50.0;56.0;44.0;;;;;;;;;;;;;893.0;5.0;79.0;19.0;2.0;1833.0;1726.0;67.0;31.0;2.0;92.7;66.0;2.0;26.0;6.0;92.7;74.0;10.0;16.0
28;Gecombineerde instellingen;2001;68.0;202.0;57.0;43.0;49.0;13.0;22.0;17.0;2972.0;136.0;60.0;40.0;;;;;;;;;;;;;1993.0;67.0;49.0;51.0;;;;;;;;;;;;;980.0;5.8;80.0;16.0;3.0;2140.0;1986.0;67.0;29.0;4.0;122.7;61.0;2.0;25.0;12.0;122.7;67.0;10.0;23.0
29;Gecombineerde instellingen;2003;68.0;212.0;55.0;45.0;55.0;13.0;19.0;13.0;3118.0;142.0;62.0;38.0;;;;;;;;;;;;;2088.0;71.0;40.0;60.0;;;;;;;;;;;;;985.0;6.2;76.0;21.0;4.0;2542.0;2423.0;63.0;31.0;6.0;150.8;58.0;6.0;26.0;10.0;150.8;70.0;12.0;18.0
30;Gecombineerde instellingen;2005;72.0;222.0;62.0;38.0;54.0;12.0;14.0;19.0;3078.0;148.0;65.0;35.0;;;;;;;;;;;;;2053.0;74.0;50.0;50.0;;;;;;;;;;;;;1025.0;6.8;77.0;19.0;4.0;2433.0;2324.0;59.0;35.0;5.0;163.3;60.0;4.0;27.0;9.0;163.3;70.0;13.0;18.0
31;Gecombineerde instellingen;2007;79.0;238.0;63.0;37.0;49.0;14.0;15.0;21.0;3010.0;148.0;66.0;34.0;;;;;;;;;;;;;1905.0;93.0;47.0;53.0;;;;;;;;;;;;;1104.0;6.3;76.0;21.0;3.0;2455.0;2368.0;62.0;34.0;4.0;176.6;61.0;4.0;25.0;10.0;176.6;69.0;14.0;18.0
32;Nederland;1993;262.0;390.0;63.0;37.0;66.0;8.0;17.0;9.0;1489.0;332.0;68.0;32.0;242.0;80.0;20.0;27.0;71.0;29.0;49.0;15.0;85.0;14.0;44.0;56.0;1269.0;58.0;38.0;62.0;15.0;49.0;51.0;3.0;36.0;64.0;19.0;18.0;82.0;21.0;48.0;52.0;220.0;11.0;85.0;15.0;0.0;4550.0;;75.0;23.0;2.0;189.6;67.0;2.0;28.0;3.0;189.9;54.0;11.0;35.0
33;Nederland;1995;250.0;380.0;65.0;35.0;67.0;8.0;15.0;10.0;1519.0;309.0;72.0;28.0;232.0;82.0;18.0;27.0;75.0;25.0;36.0;17.0;83.0;14.0;36.0;64.0;1235.0;71.0;38.0;62.0;22.0;43.0;57.0;3.0;7.0;93.0;22.0;11.0;89.0;24.0;17.0;83.0;284.0;;;;;4276.0;;70.0;;;189.3;67.0;2.0;28.0;3.0;189.2;76.0;10.0;14.0
34;Nederland;1997;244.0;379.0;65.0;35.0;66.0;8.0;16.0;10.0;1554.0;307.0;72.0;28.0;227.0;81.0;19.0;28.0;73.0;27.0;38.0;23.0;77.0;13.0;44.0;56.0;1258.0;72.0;38.0;62.0;24.0;54.0;46.0;4.0;28.0;72.0;22.0;12.0;88.0;23.0;46.0;54.0;297.0;11.3;81.0;16.0;3.0;4375.0;4095.0;70.0;27.0;3.0;202.7;66.0;1.0;28.0;5.0;202.9;75.0;11.0;14.0
35;Nederland;1999;240.0;384.0;64.0;36.0;65.0;9.0;14.0;11.0;1600.0;295.0;69.0;31.0;213.0;81.0;19.0;27.0;72.0;28.0;35.0;16.0;84.0;15.0;54.0;46.0;1229.0;89.0;49.0;51.0;39.0;64.0;36.0;7.0;55.0;45.0;20.0;13.0;87.0;28.0;36.0;64.0;371.0;12.0;81.0;18.0;1.0;4407.0;4140.0;70.0;29.0;1.0;212.0;65.0;1.0;28.0;6.0;212.0;74.0;10.0;16.0
36;Nederland;2001;235.0;412.0;61.0;39.0;59.0;10.0;18.0;13.0;1754.0;300.0;67.0;33.0;210.0;77.0;23.0;31.0;70.0;30.0;41.0;15.0;85.0;16.0;55.0;45.0;1275.0;112.0;46.0;54.0;38.0;61.0;39.0;9.0;49.0;51.0;32.0;25.0;75.0;32.0;51.0;49.0;478.0;12.5;80.0;16.0;4.0;4499.0;4134.0;68.0;28.0;4.0;241.5;62.0;2.0;28.0;8.0;241.5;71.0;10.0;19.0
37;Nederland;2003;235.0;430.0;61.0;39.0;63.0;10.0;16.0;11.0;1830.0;308.0;67.0;33.0;217.0;76.0;24.0;33.0;70.0;30.0;39.0;15.0;85.0;19.0;56.0;44.0;1309.0;123.0;43.0;57.0;50.0;58.0;42.0;10.0;58.0;42.0;30.0;26.0;74.0;34.0;28.0;72.0;521.0;12.3;79.0;19.0;2.0;4606.0;4366.0;67.0;29.0;4.0;266.1;59.0;3.0;28.0;10.0;266.1;73.0;11.0;16.0
38;Nederland;2005;237.0;448.0;65.0;35.0;63.0;10.0;14.0;13.0;1890.0;315.0;70.0;30.0;223.0;78.0;22.0;34.0;73.0;27.0;36.0;25.0;75.0;22.0;60.0;40.0;1329.0;133.0;51.0;49.0;61.0;62.0;38.0;10.0;53.0;47.0;27.0;25.0;75.0;35.0;40.0;60.0;561.0;13.2;80.0;17.0;3.0;4579.0;4330.0;61.0;35.0;4.0;295.8;61.0;3.0;27.0;9.0;295.8;72.0;12.0;16.0
39;Nederland;2007;245.0;476.0;64.0;36.0;59.0;12.0;14.0;15.0;1941.0;323.0;68.0;32.0;221.0;75.0;25.0;39.0;68.0;32.0;38.0;34.0;66.0;24.0;70.0;30.0;1317.0;153.0;48.0;52.0;60.0;63.0;37.0;16.0;49.0;51.0;30.0;25.0;75.0;47.0;41.0;59.0;624.0;12.8;79.0;18.0;3.0;4676.0;4456.0;63.0;34.0;3.0;309.1;61.0;3.0;27.0;9.0;309.1;71.0;13.0;16.0
40;Noord-Nederland;1993;34.0;57.0;;;;;;;1677.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;525.0;;;;;21.0;;;;;21.0;;;
41;Noord-Nederland;1995;33.0;58.0;;;;;;;1758.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;552.0;;;;;22.5;;;;;22.6;;;
42;Noord-Nederland;1997;32.0;59.0;;;;;;;1844.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;570.0;;;;;25.3;;;;;25.5;;;
43;Noord-Nederland;1999;31.0;60.0;;;;;;;1935.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;665.0;;;;;28.6;;;;;28.6;;;
44;Noord-Nederland;2001;30.0;62.0;;;;;;;2066.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;614.0;;;;;28.7;;;;;28.7;;;
45;Noord-Nederland;2003;30.0;66.0;;;;;;;2183.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;650.0;;;;;33.3;;;;;33.3;;;
46;Noord-Nederland;2005;31.0;69.0;;;;;;;2238.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;614.0;;;;;33.4;;;;;33.4;;;
47;Noord-Nederland;2007;32.0;63.0;;;;;;;1973.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;594.0;;;;;37.0;;;;;37.0;;;
48;Oost-Nederland;1993;56.0;81.0;;;;;;;1446.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;915.0;;;;;40.5;;;;;40.4;;;
49;Oost-Nederland;1995;57.0;77.0;;;;;;;1351.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;970.0;;;;;42.4;;;;;42.3;;;
50;Oost-Nederland;1997;56.0;78.0;;;;;;;1393.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;955.0;;;;;45.5;;;;;45.7;;;
51;Oost-Nederland;1999;55.0;88.0;;;;;;;1600.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1048.0;;;;;52.2;;;;;52.2;;;
52;Oost-Nederland;2001;55.0;85.0;;;;;;;1545.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;972.0;;;;;52.9;;;;;52.9;;;
53;Oost-Nederland;2003;55.0;87.0;;;;;;;1582.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1020.0;;;;;65.2;;;;;65.2;;;
54;Oost-Nederland;2005;54.0;89.0;;;;;;;1641.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1047.0;;;;;70.7;;;;;70.7;;;
55;Oost-Nederland;2007;56.0;95.0;;;;;;;1695.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1127.0;;;;;71.6;;;;;71.6;;;
56;West-Nederland;1993;108.0;151.0;;;;;;;1398.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1945.0;;;;;84.2;;;;;84.2;;;
57;West-Nederland;1995;97.0;143.0;;;;;;;1474.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1653.0;;;;;78.4;;;;;78.3;;;
58;West-Nederland;1997;96.0;136.0;;;;;;;1417.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1710.0;;;;;80.9;;;;;81.1;;;
59;West-Nederland;1999;97.0;144.0;;;;;;;1485.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1717.0;;;;;86.1;;;;;86.1;;;
60;West-Nederland;2001;94.0;156.0;;;;;;;1659.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1784.0;;;;;103.0;;;;;103.0;;;
61;West-Nederland;2003;94.0;169.0;;;;;;;1793.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1811.0;;;;;104.3;;;;;104.3;;;
62;West-Nederland;2005;95.0;181.0;;;;;;;1903.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1772.0;;;;;122.3;;;;;122.3;;;
63;West-Nederland;2007;96.0;198.0;;;;;;;2059.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1724.0;;;;;126.9;;;;;126.9;;;
64;Zuid-Nederland;1993;64.0;102.0;;;;;;;1594.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1165.0;;;;;44.0;;;;;44.2;;;
65;Zuid-Nederland;1995;63.0;102.0;;;;;;;1619.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1099.0;;;;;46.0;;;;;46.0;;;
66;Zuid-Nederland;1997;60.0;105.0;;;;;;;1750.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1140.0;;;;;50.9;;;;;50.6;;;
67;Zuid-Nederland;1999;57.0;91.0;;;;;;;1597.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;976.0;;;;;45.1;;;;;45.2;;;
68;Zuid-Nederland;2001;56.0;108.0;;;;;;;1929.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1131.0;;;;;56.9;;;;;56.9;;;
69;Zuid-Nederland;2003;56.0;109.0;;;;;;;1938.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1126.0;;;;;63.3;;;;;63.3;;;
70;Zuid-Nederland;2005;57.0;109.0;;;;;;;1914.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1145.0;;;;;69.4;;;;;69.4;;;
71;Zuid-Nederland;2007;61.0;120.0;;;;;;;1965.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1232.0;;;;;73.7;;;;;73.7;;;
72;Groningen;1993;13.0;24.0;;;43.0;5.0;12.0;39.0;1846.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170.0;;75.0;;;7.0;74.0;2.0;22.0;2.0;7.0;59.0;10.0;31.0
73;Groningen;1995;13.0;14.0;;;67.0;4.0;18.0;11.0;1077.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;210.0;;64.0;;;8.3;65.0;10.0;22.0;3.0;8.4;77.0;8.0;15.0
74;Groningen;1997;13.0;15.0;;;69.0;4.0;21.0;6.0;1154.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200.0;;67.0;;;9.1;62.0;8.0;24.0;6.0;9.2;75.0;9.0;16.0
75;Groningen;1999;11.0;20.0;;;88.0;12.0;0.0;0.0;1818.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;262.0;;61.0;;;11.1;74.0;1.0;22.0;3.0;11.1;79.0;8.0;13.0
76;Groningen;2001;13.0;23.0;;;50.0;8.0;27.0;15.0;1769.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;226.0;;66.0;;;10.3;56.0;8.0;30.0;6.0;10.3;79.0;6.0;15.0
77;Groningen;2003;13.0;22.0;;;58.0;6.0;18.0;18.0;1692.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;234.0;;62.0;;;11.6;47.0;8.0;22.0;23.0;11.6;74.0;7.0;19.0
78;Groningen;2005;12.0;21.0;;;59.0;13.0;20.0;8.0;1738.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;177.0;;57.0;;;8.3;49.0;1.0;28.0;21.0;8.3;73.0;8.0;19.0
79;Groningen;2007;13.0;23.0;;;46.0;9.0;19.0;25.0;1798.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;185.0;;57.0;;;10.7;56.0;2.0;25.0;17.0;10.7;74.0;9.0;17.0
80;Friesland;1993;15.0;19.0;;;80.0;5.0;14.0;2.0;1267.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215.0;;76.0;;;8.7;62.0;11.0;26.0;1.0;8.7;62.0;7.0;31.0
81;Friesland;1995;14.0;21.0;;;81.0;5.0;11.0;2.0;1500.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184.0;;80.0;;;8.3;69.0;0.0;27.0;4.0;8.3;79.0;8.0;13.0
