ID;ExpenditureCategories;Periods;HICP_1;HICPCT_2;MonthOnMonthChangeHICP_3;MonthOnMonthChangeHICPCT_4;YearOnYearChangeHICP_5;YearOnYearChangeHICPCT_6;WeightingCoefficient_7
45;000000 All items;1999 July;72.35;;-0.6;;1.8;;100000
46;000000 All items;1999 August;72.83;;0.7;;2.5;;100000
47;000000 All items;1999 September;73.17;;0.5;;2.0;;100000
48;000000 All items;1999 October;73.24;;0.1;;1.8;;100000
49;000000 All items;1999 November;73.38;;0.2;;2.0;;100000
50;000000 All items;1999 December;73.04;;-0.5;;1.9;;100000
51;000000 All items;1999;72.81;;;;2.0;;100000
52;000000 All items;2000 January;72.83;;-0.3;;1.6;;100000
53;000000 All items;2000 February;73.24;;0.6;;1.5;;100000
54;000000 All items;2000 March;74.07;;1.1;;1.6;;100000
55;000000 All items;2000 April;74.34;;0.4;;1.7;;100000
56;000000 All items;2000 May;74.55;;0.3;;2.0;;100000
57;000000 All items;2000 June;74.55;;0.0;;2.5;;100000
58;000000 All items;2000 July;74.34;;-0.3;;2.8;;100000
59;000000 All items;2000 August;74.62;;0.4;;2.5;;100000
60;000000 All items;2000 September;75.31;;0.9;;2.9;;100000
61;000000 All items;2000 October;75.58;;0.4;;3.2;;100000
62;000000 All items;2000 November;75.51;;-0.1;;2.9;;100000
63;000000 All items;2000 December;75.17;;-0.5;;2.9;;100000
64;000000 All items;2000;74.51;;;;2.3;;100000
65;000000 All items;2001 January;76.21;;1.4;;4.6;;100000
66;000000 All items;2001 February;76.89;;0.9;;5.0;;100000
67;000000 All items;2001 March;77.77;;1.1;;5.0;;100000
68;000000 All items;2001 April;78.37;;0.8;;5.4;;100000
69;000000 All items;2001 May;78.63;;0.3;;5.5;;100000
70;000000 All items;2001 June;78.34;;-0.4;;5.1;;100000
71;000000 All items;2001 July;78.29;;-0.1;;5.3;;100000
72;000000 All items;2001 August;78.51;;0.3;;5.2;;100000
73;000000 All items;2001 September;79.33;;1.0;;5.3;;100000
74;000000 All items;2001 October;79.36;;0.0;;5.0;;100000
75;000000 All items;2001 November;79.14;;-0.3;;4.8;;100000
76;000000 All items;2001 December;79.04;;-0.1;;5.1;;100000
77;000000 All items;2001;78.32;;;;5.1;;100000
78;000000 All items;2002 January;79.91;83.05;1.1;;4.9;;100000
79;000000 All items;2002 February;80.32;83.49;0.5;0.5;4.5;;100000
80;000000 All items;2002 March;81.17;84.39;1.1;1.1;4.4;;100000
81;000000 All items;2002 April;81.68;84.94;0.6;0.7;4.2;;100000
82;000000 All items;2002 May;81.6;84.84;-0.1;-0.1;3.8;;100000
83;000000 All items;2002 June;81.31;84.52;-0.4;-0.4;3.8;;100000
84;000000 All items;2002 July;81.22;84.42;-0.1;-0.1;3.7;;100000
85;000000 All items;2002 August;81.38;84.59;0.2;0.2;3.7;;100000
86;000000 All items;2002 September;82.17;85.43;1.0;1.0;3.6;;100000
87;000000 All items;2002 October;82.09;85.38;-0.1;-0.1;3.4;;100000
88;000000 All items;2002 November;81.72;84.99;-0.5;-0.5;3.3;;100000
89;000000 All items;2002 December;81.58;84.85;-0.2;-0.2;3.2;;100000
90;000000 All items;2002;81.35;84.57;;;3.9;;100000
91;000000 All items;2003 January;82.07;85.08;0.6;0.3;2.7;2.4;100000
92;000000 All items;2003 February;82.65;85.69;0.7;0.7;2.9;2.6;100000
93;000000 All items;2003 March;83.4;86.47;0.9;0.9;2.7;2.5;100000
94;000000 All items;2003 April;83.48;86.56;0.1;0.1;2.2;1.9;100000
95;000000 All items;2003 May;83.43;86.51;-0.1;-0.1;2.2;2.0;100000
96;000000 All items;2003 June;83.04;86.11;-0.5;-0.5;2.1;1.9;100000
97;000000 All items;2003 July;82.95;86.11;-0.1;0.0;2.1;2.0;100000
98;000000 All items;2003 August;83.16;86.33;0.3;0.3;2.2;2.1;100000
99;000000 All items;2003 September;83.85;87.05;0.8;0.8;2.0;1.9;100000
100;000000 All items;2003 October;83.67;86.86;-0.2;-0.2;1.9;1.7;100000
101;000000 All items;2003 November;83.39;86.57;-0.3;-0.3;2.0;1.9;100000
102;000000 All items;2003 December;82.87;86.03;-0.6;-0.6;1.6;1.4;100000
103;000000 All items;2003;83.16;86.28;;;2.2;2.0;100000
104;000000 All items;2004 January;83.29;86.31;0.5;0.3;1.5;1.4;100000
105;000000 All items;2004 February;83.77;86.8;0.6;0.6;1.4;1.3;100000
106;000000 All items;2004 March;84.45;87.41;0.8;0.7;1.3;1.1;100000
107;000000 All items;2004 April;84.74;87.6;0.3;0.2;1.5;1.2;100000
108;000000 All items;2004 May;84.88;87.74;0.2;0.2;1.7;1.4;100000
109;000000 All items;2004 June;84.27;87.14;-0.7;-0.7;1.5;1.2;100000
110;000000 All items;2004 July;83.97;86.77;-0.4;-0.4;1.2;0.8;100000
111;000000 All items;2004 August;84.12;86.93;0.2;0.2;1.2;0.7;100000
112;000000 All items;2004 September;84.83;87.66;0.8;0.8;1.2;0.7;100000
113;000000 All items;2004 October;84.93;87.77;0.1;0.1;1.5;1.0;100000
114;000000 All items;2004 November;84.62;87.45;-0.4;-0.4;1.5;1.0;100000
115;000000 All items;2004 December;83.92;86.72;-0.8;-0.8;1.3;0.8;100000
116;000000 All items;2004;84.32;87.19;;;1.4;1.1;100000
117;000000 All items;2005 January;84.34;86.98;0.5;0.3;1.3;0.8;100000
118;000000 All items;2005 February;84.99;87.65;0.8;0.8;1.5;1.0;100000
119;000000 All items;2005 March;85.73;88.42;0.9;0.9;1.5;1.2;100000
120;000000 All items;2005 April;85.83;88.52;0.1;0.1;1.3;1.1;100000
121;000000 All items;2005 May;85.76;88.45;-0.1;-0.1;1.0;0.8;100000
122;000000 All items;2005 June;85.48;88.17;-0.3;-0.3;1.4;1.2;100000
123;000000 All items;2005 July;85.2;87.88;-0.3;-0.3;1.5;1.3;100000
124;000000 All items;2005 August;85.52;88.21;0.4;0.4;1.7;1.5;100000
125;000000 All items;2005 September;86.23;88.94;0.8;0.8;1.7;1.5;100000
126;000000 All items;2005 October;86.22;88.93;0.0;0.0;1.5;1.3;100000
127;000000 All items;2005 November;85.99;88.69;-0.3;-0.3;1.6;1.4;100000
128;000000 All items;2005 December;85.6;88.29;-0.5;-0.5;2.0;1.8;100000
129;000000 All items;2005;85.57;88.26;;;1.5;1.2;100000
130;000000 All items;2006 January;85.81;88.47;0.2;0.2;1.7;1.7;100000
131;000000 All items;2006 February;86.24;88.92;0.5;0.5;1.5;1.4;100000
132;000000 All items;2006 March;86.93;89.64;0.8;0.8;1.4;1.4;100000
133;000000 All items;2006 April;87.34;90.06;0.5;0.5;1.8;1.7;100000
134;000000 All items;2006 May;87.3;90.01;0.0;-0.1;1.8;1.8;100000
135;000000 All items;2006 June;87.01;89.69;-0.3;-0.4;1.8;1.7;100000
136;000000 All items;2006 July;86.71;89.4;-0.3;-0.3;1.8;1.7;100000
137;000000 All items;2006 August;87.12;89.8;0.5;0.4;1.9;1.8;100000
138;000000 All items;2006 September;87.54;90.23;0.5;0.5;1.5;1.5;100000
139;000000 All items;2006 October;87.39;90.07;-0.2;-0.2;1.4;1.3;100000
140;000000 All items;2006 November;87.37;90.05;0.0;0.0;1.6;1.5;100000
141;000000 All items;2006 December;87.07;89.74;-0.3;-0.3;1.7;1.6;100000
142;000000 All items;2006;86.99;89.67;;;1.6;1.6;100000
143;000000 All items;2007 January;86.86;89.43;-0.2;-0.3;1.2;1.1;100000
144;000000 All items;2007 February;87.42;90.01;0.6;0.6;1.4;1.2;100000
145;000000 All items;2007 March;88.55;91.17;1.3;1.3;1.9;1.7;100000
146;000000 All items;2007 April;89.04;91.68;0.6;0.6;1.9;1.8;100000
147;000000 All items;2007 May;89.07;91.71;0.0;0.0;2.0;1.9;100000
148;000000 All items;2007 June;88.61;91.23;-0.5;-0.5;1.8;1.7;100000
149;000000 All items;2007 July;87.94;90.55;-0.8;-0.7;1.4;1.3;100000
150;000000 All items;2007 August;88.05;90.66;0.1;0.1;1.1;1.0;100000
151;000000 All items;2007 September;88.66;91.29;0.7;0.7;1.3;1.2;100000
152;000000 All items;2007 October;88.79;91.43;0.1;0.2;1.6;1.5;100000
153;000000 All items;2007 November;88.93;91.57;0.2;0.2;1.8;1.7;100000
154;000000 All items;2007 December;88.45;91.07;-0.5;-0.5;1.6;1.5;100000
155;000000 All items;2007;88.36;90.98;;;1.6;1.5;100000
156;000000 All items;2008 January;88.42;90.95;0.0;-0.1;1.8;1.7;100000
157;000000 All items;2008 February;89.17;91.76;0.8;0.9;2.0;1.9;100000
158;000000 All items;2008 March;90.23;92.85;1.2;1.2;1.9;1.8;100000
159;000000 All items;2008 April;90.55;93.18;0.4;0.4;1.7;1.6;100000
160;000000 All items;2008 May;90.92;93.56;0.4;0.4;2.1;2.0;100000
161;000000 All items;2008 June;90.66;93.27;-0.3;-0.3;2.3;2.2;100000
162;000000 All items;2008 July;90.55;93.1;-0.1;-0.2;3.0;2.8;100000
163;000000 All items;2008 August;90.67;93.23;0.1;0.1;3.0;2.8;100000
164;000000 All items;2008 September;91.13;93.7;0.5;0.5;2.8;2.6;100000
165;000000 All items;2008 October;90.98;93.54;-0.2;-0.2;2.5;2.3;100000
166;000000 All items;2008 November;90.61;92.97;-0.4;-0.6;1.9;1.5;100000
167;000000 All items;2008 December;89.91;92.22;-0.8;-0.8;1.7;1.3;100000
168;000000 All items;2008;90.32;92.86;;;2.2;2.1;100000
169;000000 All items;2009 January;89.95;92.19;0.0;0.0;1.7;1.4;100000
170;000000 All items;2009 February;90.83;93.1;1.0;1.0;1.9;1.5;100000
171;000000 All items;2009 March;91.89;94.19;1.2;1.2;1.8;1.4;100000
172;000000 All items;2009 April;92.21;94.51;0.3;0.3;1.8;1.4;100000
173;000000 All items;2009 May;92.31;94.62;0.1;0.1;1.5;1.1;100000
174;000000 All items;2009 June;91.9;94.23;-0.4;-0.4;1.4;1.0;100000
175;000000 All items;2009 July;90.43;92.73;-1.6;-1.6;-0.1;-0.4;100000
176;000000 All items;2009 August;90.61;92.92;0.2;0.2;-0.1;-0.3;100000
177;000000 All items;2009 September;91.11;93.42;0.6;0.5;0.0;-0.3;100000
178;000000 All items;2009 October;91.35;93.68;0.3;0.3;0.4;0.1;100000
179;000000 All items;2009 November;91.21;93.54;-0.2;-0.1;0.7;0.6;100000
180;000000 All items;2009 December;90.56;92.88;-0.7;-0.7;0.7;0.7;100000
181;000000 All items;2009;91.2;93.5;;;1.0;0.7;100000
182;000000 All items;2010 January;90.3;92.49;-0.3;-0.4;0.4;0.3;100000
183;000000 All items;2010 February;91.15;93.35;0.9;0.9;0.4;0.3;100000
184;000000 All items;2010 March;92.49;94.73;1.5;1.5;0.7;0.6;100000
185;000000 All items;2010 April;92.81;95.04;0.3;0.3;0.7;0.6;100000
186;000000 All items;2010 May;92.72;94.94;-0.1;-0.1;0.4;0.3;100000
187;000000 All items;2010 June;92.11;94.32;-0.7;-0.7;0.2;0.1;100000
188;000000 All items;2010 July;91.57;93.77;-0.6;-0.6;1.3;1.1;100000
189;000000 All items;2010 August;91.7;93.9;0.1;0.1;1.2;1.1;100000
190;000000 All items;2010 September;92.39;94.61;0.8;0.8;1.4;1.3;100000
191;000000 All items;2010 October;92.61;94.86;0.2;0.3;1.4;1.3;100000
192;000000 All items;2010 November;92.47;94.73;-0.2;-0.1;1.4;1.3;100000
193;000000 All items;2010 December;92.23;94.48;-0.3;-0.3;1.8;1.7;100000
194;000000 All items;2010;92.05;94.27;;;0.9;0.8;100000
195;000000 All items;2011 January;92.01;94.21;-0.2;-0.3;1.9;1.9;100000
196;000000 All items;2011 February;92.93;95.16;1.0;1.0;2.0;1.9;100000
197;000000 All items;2011 March;94.2;96.43;1.4;1.3;1.8;1.8;100000
198;000000 All items;2011 April;94.77;96.97;0.6;0.6;2.1;2.0;100000
199;000000 All items;2011 May;94.84;96.99;0.1;0.0;2.3;2.2;100000
200;000000 All items;2011 June;94.23;96.36;-0.6;-0.6;2.3;2.2;100000
201;000000 All items;2011 July;94.54;96.62;0.3;0.3;3.2;3.0;100000
202;000000 All items;2011 August;94.65;96.71;0.1;0.1;3.2;3.0;100000
203;000000 All items;2011 September;95.12;97.18;0.5;0.5;3.0;2.7;100000
204;000000 All items;2011 October;95.22;97.28;0.1;0.1;2.8;2.6;100000
205;000000 All items;2011 November;94.84;96.9;-0.4;-0.4;2.6;2.3;100000
206;000000 All items;2011 December;94.54;96.59;-0.3;-0.3;2.5;2.2;100000
207;000000 All items;2011;94.32;96.45;;;2.5;2.3;100000
208;000000 All items;2012 January;94.66;96.62;0.1;0.0;2.9;2.6;100000
209;000000 All items;2012 February;95.6;97.59;1.0;1.0;2.9;2.6;100000
210;000000 All items;2012 March;96.93;98.94;1.4;1.4;2.9;2.6;100000
211;000000 All items;2012 April;97.39;99.42;0.5;0.5;2.8;2.5;100000
212;000000 All items;2012 May;97.17;99.2;-0.2;-0.2;2.5;2.3;100000
213;000000 All items;2012 June;96.59;98.61;-0.6;-0.6;2.5;2.3;100000
214;000000 All items;2012 July;97.0;98.92;0.4;0.3;2.6;2.4;100000
215;000000 All items;2012 August;97.07;98.99;0.1;0.1;2.6;2.4;100000
216;000000 All items;2012 September;97.54;99.47;0.5;0.5;2.5;2.4;100000
217;000000 All items;2012 October;98.33;99.39;0.8;-0.1;3.3;2.2;100000
218;000000 All items;2012 November;97.85;98.91;-0.5;-0.5;3.2;2.1;100000
219;000000 All items;2012 December;97.73;98.8;-0.1;-0.1;3.4;2.3;100000
220;000000 All items;2012;96.99;98.74;;;2.8;2.4;100000
221;000000 All items;2013 January;97.7;98.22;0.0;-0.6;3.2;1.7;100000
222;000000 All items;2013 February;98.7;99.19;1.0;1.0;3.2;1.6;100000
223;000000 All items;2013 March;100.02;100.51;1.3;1.3;3.2;1.6;100000
224;000000 All items;2013 April;100.1;100.54;0.1;0.0;2.8;1.1;100000
225;000000 All items;2013 May;100.14;100.59;0.0;0.0;3.1;1.4;100000
226;000000 All items;2013 June;99.65;100.09;-0.5;-0.5;3.2;1.5;100000
227;000000 All items;2013 July;100.0;100.45;0.4;0.4;3.1;1.5;100000
228;000000 All items;2013 August;99.78;100.23;-0.2;-0.2;2.8;1.3;100000
229;000000 All items;2013 September;99.86;100.31;0.1;0.1;2.4;0.8;100000
230;000000 All items;2013 October;99.61;100.05;-0.3;-0.3;1.3;0.7;100000
231;000000 All items;2013 November;99.02;99.48;-0.6;-0.6;1.2;0.6;100000
232;000000 All items;2013 December;99.1;99.56;0.1;0.1;1.4;0.8;100000
233;000000 All items;2013;99.47;99.94;;;2.6;1.2;100000
234;000000 All items;2014 January;98.48;98.64;-0.6;-0.9;0.8;0.4;100000
235;000000 All items;2014 February;99.07;99.24;0.6;0.6;0.4;0.1;100000
236;000000 All items;2014 March;100.16;100.33;1.1;1.1;0.1;-0.2;100000
237;000000 All items;2014 April;100.74;100.92;0.6;0.6;0.6;0.4;100000
238;000000 All items;2014 May;100.28;100.46;-0.5;-0.5;0.1;-0.1;100000
239;000000 All items;2014 June;99.92;100.13;-0.4;-0.3;0.3;0.0;100000
240;000000 All items;2014 July;100.26;100.49;0.3;0.4;0.3;0.0;100000
241;000000 All items;2014 August;100.14;100.37;-0.1;-0.1;0.4;0.1;100000
242;000000 All items;2014 September;100.12;100.35;0.0;0.0;0.3;0.0;100000
243;000000 All items;2014 October;100.0;100.24;-0.1;-0.1;0.4;0.2;100000
244;000000 All items;2014 November;99.27;99.51;-0.7;-0.7;0.3;0.0;100000
245;000000 All items;2014 December;99.04;99.28;-0.2;-0.2;-0.1;-0.3;100000
246;000000 All items;2014;99.79;100.0;;;0.3;0.1;100000
247;000000 All items;2015 January;97.82;97.83;-1.2;-1.5;-0.7;-0.8;100000
248;000000 All items;2015 February;98.62;98.63;0.8;0.8;-0.5;-0.6;100000
249;000000 All items;2015 March;99.88;99.88;1.3;1.3;-0.3;-0.4;100000
250;000000 All items;2015 April;100.71;100.71;0.8;0.8;0.0;-0.2;100000
251;000000 All items;2015 May;100.97;100.97;0.3;0.3;0.7;0.5;100000
252;000000 All items;2015 June;100.4;100.4;-0.6;-0.6;0.5;0.3;100000
253;000000 All items;2015 July;101.07;101.07;0.7;0.7;0.8;0.6;100000
254;000000 All items;2015 August;100.58;100.58;-0.5;-0.5;0.4;0.2;100000
255;000000 All items;2015 September;100.4;100.4;-0.2;-0.2;0.3;0.0;100000
256;000000 All items;2015 October;100.4;100.39;0.0;0.0;0.4;0.1;100000
257;000000 All items;2015 November;99.64;99.63;-0.8;-0.8;0.4;0.1;100000
258;000000 All items;2015 December;99.53;99.52;-0.1;-0.1;0.5;0.2;100000
259;000000 All items;2015;100.0;100.0;;;0.2;0.0;100000
260;000000 All items;2016 January;98.03;97.98;-1.5;-1.5;0.2;0.2;100000
261;000000 All items;2016 February;98.94;98.89;0.9;0.9;0.3;0.3;100000
262;000000 All items;2016 March;100.4;100.34;1.5;1.5;0.5;0.5;100000
263;000000 All items;2016 April;100.51;100.42;0.1;0.1;-0.2;-0.3;100000
264;000000 All items;2016 May;100.75;100.66;0.2;0.2;-0.2;-0.3;100000
265;000000 All items;2016 June;100.2;100.11;-0.5;-0.5;-0.2;-0.3;100000
266;000000 All items;2016 July;100.5;100.41;0.3;0.3;-0.6;-0.7;100000
267;000000 All items;2016 August;100.67;100.58;0.2;0.2;0.1;0.0;100000
268;000000 All items;2016 September;100.31;100.22;-0.4;-0.4;-0.1;-0.2;100000
269;000000 All items;2016 October;100.67;100.58;0.4;0.4;0.3;0.2;100000
270;000000 All items;2016 November;100.02;99.95;-0.6;-0.6;0.4;0.3;100000
271;000000 All items;2016 December;100.27;100.2;0.2;0.3;0.7;0.7;100000
272;000000 All items;2016;100.11;100.03;;;0.1;0.0;100000
273;000000 All items;2017 January;99.64;99.5;-0.6;-0.7;1.6;1.6;100000
274;000000 All items;2017 February;100.58;100.44;0.9;0.9;1.7;1.6;100000
275;000000 All items;2017 March;101.03;100.88;0.4;0.4;0.6;0.5;100000
276;000000 All items;2017 April;101.94;101.8;0.9;0.9;1.4;1.4;100000
277;000000 All items;2017 May;101.49;101.34;-0.4;-0.5;0.7;0.7;100000
278;000000 All items;2017 June;101.17;101.09;-0.3;-0.2;1.0;1.0;100000
279;000000 All items;2017 July;102.0;101.92;0.8;0.8;1.5;1.5;100000
280;000000 All items;2017 August;102.18;102.1;0.2;0.2;1.5;1.5;100000
281;000000 All items;2017 September;101.75;101.67;-0.4;-0.4;1.4;1.4;100000
282;000000 All items;2017 October;101.97;101.89;0.2;0.2;1.3;1.3;100000
283;000000 All items;2017 November;101.57;101.47;-0.4;-0.4;1.5;1.5;100000
284;000000 All items;2017 December;101.49;101.4;-0.1;-0.1;1.2;1.2;100000
285;000000 All items;2017;101.4;101.29;;;1.3;1.3;100000
286;000000 All items;2018 January;101.12;100.76;-0.4;-0.6;1.5;1.3;100000
287;000000 All items;2018 February;101.84;101.47;0.7;0.7;1.3;1.0;100000
288;000000 All items;2018 March;102.06;101.68;0.2;0.2;1.0;0.8;100000
289;000000 All items;2018 April;102.99;102.5;0.9;0.8;1.0;0.7;100000
290;000000 All items;2018 May;103.41;102.88;0.4;0.4;1.9;1.5;100000
291;000000 All items;2018 June;102.85;102.3;-0.5;-0.6;1.7;1.2;100000
292;000000 All items;2018 July;103.96;103.41;1.1;1.1;1.9;1.5;100000
293;000000 All items;2018 August;104.09;103.51;0.1;0.1;1.9;1.4;100000
294;000000 All items;2018 September;103.36;102.78;-0.7;-0.7;1.6;1.1;100000
295;000000 All items;2018 October;103.89;103.29;0.5;0.5;1.9;1.4;100000
296;000000 All items;2018 November;103.37;102.77;-0.5;-0.5;1.8;1.3;100000
297;000000 All items;2018 December;103.35;102.75;0.0;0.0;1.8;1.3;100000
298;000000 All items;2018;103.02;102.51;;;1.6;1.2;100000
299;000000 All items;2019 January;103.13;101.28;-0.2;-1.4;2.0;0.5;100000
300;000000 All items;2019 February;104.44;102.57;1.3;1.3;2.6;1.1;100000
301;000000 All items;2019 March;104.98;103.09;0.5;0.5;2.9;1.4;100000
302;000000 All items;2019 April;106.11;104.2;1.1;1.1;3.0;1.7;100000
303;000000 All items;2019 May;105.82;103.91;-0.3;-0.3;2.3;1.0;100000
304;000000 All items;2019 June;105.67;103.76;-0.1;-0.1;2.7;1.4;100000
305;000000 All items;2019 July;106.67;104.73;0.9;0.9;2.6;1.3;100000
306;000000 All items;2019 August;107.32;105.38;0.6;0.6;3.1;1.8;100000
307;000000 All items;2019 September;106.16;104.25;-1.1;-1.1;2.7;1.4;100000
308;000000 All items;2019 October;106.82;104.91;0.6;0.6;2.8;1.6;100000
309;000000 All items;2019 November;106.01;104.13;-0.8;-0.7;2.6;1.3;100000
310;000000 All items;2019 December;106.24;104.35;0.2;0.2;2.8;1.6;100000
311;000000 All items;2019;105.78;103.88;;;2.7;1.3;100000
312;000000 All items;2020 January;104.85;103.22;-1.3;-1.1;1.7;1.9;100000
313;000000 All items;2020 February;105.77;104.11;0.9;0.9;1.3;1.5;100000
314;000000 All items;2020 March;106.09;104.41;0.3;0.3;1.1;1.3;100000
315;000000 All items;2020 April;107.14;105.43;1.0;1.0;1.0;1.2;100000
316;000000 All items;2020 May;106.94;105.08;-0.2;-0.3;1.1;1.1;100000
317;000000 All items;2020 June;107.45;105.44;0.5;0.3;1.7;1.6;100000
318;000000 All items;2020 July;108.42;106.41;0.9;0.9;1.6;1.6;100000
319;000000 All items;2020 August;107.65;105.66;-0.7;-0.7;0.3;0.3;100000
320;000000 All items;2020 September;107.19;105.21;-0.4;-0.4;1.0;0.9;100000
321;000000 All items;2020 October;108.05;106.06;0.8;0.8;1.2;1.1;100000
322;000000 All items;2020 November;106.72;104.76;-1.2;-1.2;0.7;0.6;100000
323;000000 All items;2020 December;107.22;105.26;0.5;0.5;0.9;0.9;100000
324;000000 All items;2020;106.96;105.09;;;1.1;1.2;100000
325;000000 All items;2021 January;106.51;104.45;-0.7;-0.8;1.6;1.2;100000
326;000000 All items;2021 February;107.76;105.66;1.2;1.2;1.9;1.5;100000
327;000000 All items;2021 March;108.09;105.97;0.3;0.3;1.9;1.5;100000
328;000000 All items;2021 April;108.95;106.81;0.8;0.8;1.7;1.3;100000
329;000000 All items;2021 May;109.11;106.97;0.1;0.1;2.0;1.8;100000
330;000000 All items;2021 June;109.27;107.12;0.1;0.1;1.7;1.6;100000
331;000000 All items;2021 July;109.96;107.8;0.6;0.6;1.4;1.3;100000
332;000000 All items;2021 August;110.54;108.37;0.5;0.5;2.7;2.6;100000
333;000000 All items;2021 September;110.37;108.2;-0.2;-0.2;3.0;2.8;100000
334;000000 All items;2021 October;112.1;109.9;1.6;1.6;3.7;3.6;100000
335;000000 All items;2021 November;113.02;110.81;0.8;0.8;5.9;5.8;100000
336;000000 All items;2021 December;114.09;111.85;0.9;0.9;6.4;6.3;100000
337;000000 All items;2021;109.98;107.83;;;2.8;2.6;100000
338;000000 All items;2022 January;114.61;113.64;0.5;1.6;7.6;8.8;100000
339;000000 All items;2022 February;115.58;114.58;0.8;0.8;7.3;8.4;100000
340;000000 All items;2022 March;120.7;119.6;4.4;4.4;11.7;12.9;100000
341;000000 All items;2022 April;121.16;120.52;0.4;0.8;11.2;12.8;100000
342;000000 All items;2022 May;120.21;119.59;-0.8;-0.8;10.2;11.8;100000
343;000000 All items;2022 June;120.13;119.52;-0.1;-0.1;9.9;11.6;100000
344;000000 All items;2022 July;122.74;123.23;2.2;3.1;11.6;14.3;100000
345;000000 All items;2022 August;125.63;126.32;2.4;2.5;13.7;16.6;100000
346;000000 All items;2022 September;129.2;130.19;2.8;3.1;17.1;20.3;100000
347;000000 All items;2022 October;130.92;131.88;1.3;1.3;16.8;20.0;100000
348;000000 All items;2022 November;125.81;126.41;-3.9;-4.1;11.3;14.1;100000
349;000000 All items;2022 December;126.64;127.23;0.7;0.6;11.0;13.8;100000
350;000000 All items;2022;122.78;122.73;;;11.6;13.8;100000
351;000000 All items;2023 January;124.23;123.32;-1.9;-3.1;8.4;8.5;100000
352;000000 All items;2023 February;125.9;125.02;1.3;1.4;8.9;9.1;100000
353;000000 All items;2023 March;126.16;125.3;0.2;0.2;4.5;4.8;100000
354;000000 All items;2023 April;128.17;127.32;1.6;1.6;5.8;5.6;100000
355;000000 All items;2023 May;128.41;127.56;0.2;0.2;6.8;6.7;100000
356;000000 All items;2023 June;127.78;126.85;-0.5;-0.6;6.4;6.1;100000
357;000000 All items;2023 July;129.25;127.92;1.2;0.8;5.3;3.8;100000
358;000000 All items;2023 August;129.9;128.53;0.5;0.5;3.4;1.7;100000
359;000000 All items;2023 September;128.81;127.44;-0.8;-0.8;-0.3;-2.1;100000
360;000000 All items;2023 October;129.56;128.19;0.6;0.6;-1.0;-2.8;100000
361;000000 All items;2023 November;127.63;126.25;-1.5;-1.5;1.4;-0.1;100000
