ID;EnvironmentalDomains;IndustriesSIC2008;Periods;LabourInputOfEmployedPersons_1;OutputAtBasicPrices_2;GrossValueAddedAtBasicPrices_3;ExportAtBasicPrices_4
125;Environmental domains, total;D Energy supply;2021;5.0;2947.0;2079.0;13.0
126;Environmental domains, total;E Water supply and waste management;2001;23.7;4916.0;1754.0;
127;Environmental domains, total;E Water supply and waste management;2002;24.7;5260.0;1881.0;
128;Environmental domains, total;E Water supply and waste management;2003;25.6;5555.0;2044.0;
129;Environmental domains, total;E Water supply and waste management;2004;24.6;5655.0;1995.0;
130;Environmental domains, total;E Water supply and waste management;2005;24.4;5585.0;1941.0;
131;Environmental domains, total;E Water supply and waste management;2006;23.9;5944.0;2154.0;
132;Environmental domains, total;E Water supply and waste management;2007;24.2;6289.0;2318.0;
133;Environmental domains, total;E Water supply and waste management;2008;24.3;6975.0;2547.0;
134;Environmental domains, total;E Water supply and waste management;2009;25.4;6669.0;2340.0;
135;Environmental domains, total;E Water supply and waste management;2010;25.2;6957.0;2305.0;
136;Environmental domains, total;E Water supply and waste management;2011;25.7;7806.0;2500.0;
137;Environmental domains, total;E Water supply and waste management;2012;24.9;7698.0;2446.0;
138;Environmental domains, total;E Water supply and waste management;2013;24.9;7893.0;2521.0;
139;Environmental domains, total;E Water supply and waste management;2014;25.8;8517.0;2731.0;1061.0
140;Environmental domains, total;E Water supply and waste management;2015;24.7;8248.0;2713.0;986.0
141;Environmental domains, total;E Water supply and waste management;2016;25.3;8415.0;2748.0;926.0
142;Environmental domains, total;E Water supply and waste management;2017;26.5;8898.0;2859.0;1031.0
143;Environmental domains, total;E Water supply and waste management;2018;27.8;9539.0;3058.0;1155.0
144;Environmental domains, total;E Water supply and waste management;2019;28.5;9964.0;3000.0;1197.0
145;Environmental domains, total;E Water supply and waste management;2020;28.6;9767.0;3073.0;1167.0
146;Environmental domains, total;E Water supply and waste management;2021;29.6;11487.0;3794.0;1548.0
147;Environmental domains, total;F Construction;2001;25.7;2754.0;1225.0;
148;Environmental domains, total;F Construction;2002;24.0;2634.0;1179.0;
149;Environmental domains, total;F Construction;2003;20.3;2358.0;1047.0;
150;Environmental domains, total;F Construction;2004;17.7;2117.0;927.0;
151;Environmental domains, total;F Construction;2005;16.6;2051.0;892.0;
152;Environmental domains, total;F Construction;2006;18.9;2526.0;1027.0;
153;Environmental domains, total;F Construction;2007;20.1;2795.0;1142.0;
154;Environmental domains, total;F Construction;2008;20.1;3016.0;1252.0;
155;Environmental domains, total;F Construction;2009;20.5;3115.0;1255.0;
156;Environmental domains, total;F Construction;2010;21.8;3126.0;1232.0;
157;Environmental domains, total;F Construction;2011;27.5;3970.0;1529.0;
158;Environmental domains, total;F Construction;2012;25.8;3405.0;1332.0;
159;Environmental domains, total;F Construction;2013;27.9;3603.0;1413.0;
160;Environmental domains, total;F Construction;2014;28.3;4022.0;1607.0;290.0
161;Environmental domains, total;F Construction;2015;30.6;4077.0;1715.0;370.0
162;Environmental domains, total;F Construction;2016;34.7;4596.0;1888.0;266.0
163;Environmental domains, total;F Construction;2017;37.7;5291.0;2213.0;256.0
164;Environmental domains, total;F Construction;2018;39.7;4745.0;1964.0;215.0
165;Environmental domains, total;F Construction;2019;45.1;4763.0;1848.0;185.0
166;Environmental domains, total;F Construction;2020;54.3;5498.0;2279.0;178.0
167;Environmental domains, total;F Construction;2021;56.1;5949.0;2406.0;177.0
168;Environmental domains, total;G-I Trade, transport, hotels, catering;2001;2.4;496.0;213.0;
169;Environmental domains, total;G-I Trade, transport, hotels, catering;2002;2.5;531.0;226.0;
170;Environmental domains, total;G-I Trade, transport, hotels, catering;2003;2.7;573.0;254.0;
171;Environmental domains, total;G-I Trade, transport, hotels, catering;2004;2.5;538.0;247.0;
172;Environmental domains, total;G-I Trade, transport, hotels, catering;2005;2.6;553.0;255.0;
173;Environmental domains, total;G-I Trade, transport, hotels, catering;2006;3.0;576.0;285.0;
174;Environmental domains, total;G-I Trade, transport, hotels, catering;2007;3.2;637.0;330.0;
175;Environmental domains, total;G-I Trade, transport, hotels, catering;2008;3.5;731.0;397.0;
176;Environmental domains, total;G-I Trade, transport, hotels, catering;2009;3.5;602.0;301.0;
177;Environmental domains, total;G-I Trade, transport, hotels, catering;2010;3.8;747.0;390.0;
178;Environmental domains, total;G-I Trade, transport, hotels, catering;2011;3.7;731.0;368.0;
179;Environmental domains, total;G-I Trade, transport, hotels, catering;2012;3.6;1245.0;413.0;
180;Environmental domains, total;G-I Trade, transport, hotels, catering;2013;3.6;667.0;364.0;
181;Environmental domains, total;G-I Trade, transport, hotels, catering;2014;3.4;681.0;355.0;1535.0
182;Environmental domains, total;G-I Trade, transport, hotels, catering;2015;3.3;708.0;393.0;1635.0
183;Environmental domains, total;G-I Trade, transport, hotels, catering;2016;3.9;816.0;443.0;1837.0
184;Environmental domains, total;G-I Trade, transport, hotels, catering;2017;4.0;926.0;455.0;1223.0
185;Environmental domains, total;G-I Trade, transport, hotels, catering;2018;4.5;997.0;526.0;990.0
186;Environmental domains, total;G-I Trade, transport, hotels, catering;2019;4.6;1169.0;634.0;1138.0
187;Environmental domains, total;G-I Trade, transport, hotels, catering;2020;5.0;1295.0;687.0;1052.0
188;Environmental domains, total;G-I Trade, transport, hotels, catering;2021;5.3;1498.0;782.0;1447.0
189;Environmental domains, total;J Information and communication;2001;0.1;34.0;13.0;
190;Environmental domains, total;J Information and communication;2002;0.1;41.0;16.0;
191;Environmental domains, total;J Information and communication;2003;0.1;41.0;15.0;
192;Environmental domains, total;J Information and communication;2004;0.1;42.0;15.0;
193;Environmental domains, total;J Information and communication;2005;0.1;41.0;15.0;
194;Environmental domains, total;J Information and communication;2006;0.1;45.0;17.0;
195;Environmental domains, total;J Information and communication;2007;0.1;45.0;17.0;
196;Environmental domains, total;J Information and communication;2008;0.1;58.0;22.0;
197;Environmental domains, total;J Information and communication;2009;0.2;58.0;11.0;
198;Environmental domains, total;J Information and communication;2010;0.2;70.0;27.0;
199;Environmental domains, total;J Information and communication;2011;0.2;78.0;29.0;
200;Environmental domains, total;J Information and communication;2012;0.2;89.0;26.0;
201;Environmental domains, total;J Information and communication;2013;0.3;96.0;29.0;
202;Environmental domains, total;J Information and communication;2014;0.3;101.0;33.0;7.0
203;Environmental domains, total;J Information and communication;2015;0.3;90.0;25.0;7.0
204;Environmental domains, total;J Information and communication;2016;0.4;83.0;33.0;8.0
205;Environmental domains, total;J Information and communication;2017;0.3;81.0;37.0;10.0
206;Environmental domains, total;J Information and communication;2018;0.4;96.0;40.0;14.0
207;Environmental domains, total;J Information and communication;2019;0.4;111.0;43.0;18.0
208;Environmental domains, total;J Information and communication;2020;0.4;144.0;45.0;12.0
209;Environmental domains, total;J Information and communication;2021;0.5;149.0;54.0;15.0
210;Environmental domains, total;K Financial institutions;2001;0.1;24.0;9.0;
211;Environmental domains, total;K Financial institutions;2002;0.1;27.0;10.0;
212;Environmental domains, total;K Financial institutions;2003;0.1;27.0;9.0;
213;Environmental domains, total;K Financial institutions;2004;0.1;29.0;10.0;
214;Environmental domains, total;K Financial institutions;2005;0.1;26.0;9.0;
215;Environmental domains, total;K Financial institutions;2006;0.1;25.0;10.0;
216;Environmental domains, total;K Financial institutions;2007;0.1;28.0;11.0;
217;Environmental domains, total;K Financial institutions;2008;0.3;90.0;43.0;
218;Environmental domains, total;K Financial institutions;2009;0.3;82.0;29.0;
219;Environmental domains, total;K Financial institutions;2010;0.3;93.0;43.0;
220;Environmental domains, total;K Financial institutions;2011;0.3;99.0;51.0;
221;Environmental domains, total;K Financial institutions;2012;0.6;168.0;88.0;
222;Environmental domains, total;K Financial institutions;2013;0.4;107.0;54.0;
223;Environmental domains, total;K Financial institutions;2014;1.1;313.0;169.0;16.0
224;Environmental domains, total;K Financial institutions;2015;1.7;482.0;263.0;13.0
225;Environmental domains, total;K Financial institutions;2016;1.0;317.0;159.0;38.0
226;Environmental domains, total;K Financial institutions;2017;1.3;391.0;197.0;2.0
227;Environmental domains, total;K Financial institutions;2018;2.2;643.0;334.0;22.0
228;Environmental domains, total;K Financial institutions;2019;3.2;932.0;492.0;24.0
229;Environmental domains, total;K Financial institutions;2020;3.2;921.0;493.0;2.0
230;Environmental domains, total;K Financial institutions;2021;3.2;949.0;505.0;0.0
231;Environmental domains, total;L Renting, buying, selling real estate;2001;;;;
232;Environmental domains, total;L Renting, buying, selling real estate;2002;;;;
233;Environmental domains, total;L Renting, buying, selling real estate;2003;;;;
234;Environmental domains, total;L Renting, buying, selling real estate;2004;;;;
235;Environmental domains, total;L Renting, buying, selling real estate;2005;;;;
236;Environmental domains, total;L Renting, buying, selling real estate;2006;;;;
237;Environmental domains, total;L Renting, buying, selling real estate;2007;;;;
238;Environmental domains, total;L Renting, buying, selling real estate;2008;;;;
239;Environmental domains, total;L Renting, buying, selling real estate;2009;;;;
240;Environmental domains, total;L Renting, buying, selling real estate;2010;;;;
241;Environmental domains, total;L Renting, buying, selling real estate;2011;;;;
242;Environmental domains, total;L Renting, buying, selling real estate;2012;;;;
243;Environmental domains, total;L Renting, buying, selling real estate;2013;;;;
244;Environmental domains, total;L Renting, buying, selling real estate;2014;;;;
245;Environmental domains, total;L Renting, buying, selling real estate;2015;;;;
246;Environmental domains, total;L Renting, buying, selling real estate;2016;;;;
247;Environmental domains, total;L Renting, buying, selling real estate;2017;;;;
248;Environmental domains, total;L Renting, buying, selling real estate;2018;;;;
249;Environmental domains, total;L Renting, buying, selling real estate;2019;;;;
250;Environmental domains, total;L Renting, buying, selling real estate;2020;;;;
251;Environmental domains, total;L Renting, buying, selling real estate;2021;;;;
252;Environmental domains, total;M-N Business services;2001;10.4;1208.0;508.0;
253;Environmental domains, total;M-N Business services;2002;10.9;1330.0;563.0;
254;Environmental domains, total;M-N Business services;2003;10.2;1265.0;537.0;
255;Environmental domains, total;M-N Business services;2004;11.1;1438.0;611.0;
256;Environmental domains, total;M-N Business services;2005;11.5;1527.0;624.0;
257;Environmental domains, total;M-N Business services;2006;11.6;1571.0;769.0;
258;Environmental domains, total;M-N Business services;2007;12.0;1662.0;824.0;
259;Environmental domains, total;M-N Business services;2008;13.6;1940.0;958.0;
260;Environmental domains, total;M-N Business services;2009;13.9;1807.0;820.0;
261;Environmental domains, total;M-N Business services;2010;13.0;1840.0;981.0;
262;Environmental domains, total;M-N Business services;2011;12.0;1684.0;910.0;
263;Environmental domains, total;M-N Business services;2012;12.1;1749.0;933.0;
264;Environmental domains, total;M-N Business services;2013;11.6;1836.0;918.0;
265;Environmental domains, total;M-N Business services;2014;11.2;1747.0;874.0;750.0
266;Environmental domains, total;M-N Business services;2015;11.4;1717.0;885.0;730.0
267;Environmental domains, total;M-N Business services;2016;12.7;2085.0;1082.0;794.0
268;Environmental domains, total;M-N Business services;2017;13.6;2305.0;1182.0;596.0
269;Environmental domains, total;M-N Business services;2018;14.6;2729.0;1263.0;938.0
270;Environmental domains, total;M-N Business services;2019;15.1;3071.0;1423.0;1035.0
271;Environmental domains, total;M-N Business services;2020;16.2;3391.0;1549.0;1007.0
272;Environmental domains, total;M-N Business services;2021;16.2;4097.0;1720.0;1047.0
273;Environmental domains, total;O-Q Government and care;2001;43.4;5577.0;3190.0;
274;Environmental domains, total;O-Q Government and care;2002;44.6;5823.0;3372.0;
275;Environmental domains, total;O-Q Government and care;2003;47.1;6211.0;3661.0;
276;Environmental domains, total;O-Q Government and care;2004;46.0;6539.0;3778.0;
277;Environmental domains, total;O-Q Government and care;2005;43.4;6604.0;3808.0;
278;Environmental domains, total;O-Q Government and care;2006;46.8;6951.0;4063.0;
279;Environmental domains, total;O-Q Government and care;2007;46.1;7195.0;4276.0;
280;Environmental domains, total;O-Q Government and care;2008;43.4;7484.0;4441.0;
281;Environmental domains, total;O-Q Government and care;2009;45.7;7947.0;4699.0;
282;Environmental domains, total;O-Q Government and care;2010;46.6;8458.0;5009.0;
283;Environmental domains, total;O-Q Government and care;2011;45.9;8540.0;5177.0;
284;Environmental domains, total;O-Q Government and care;2012;44.2;8721.0;5272.0;
285;Environmental domains, total;O-Q Government and care;2013;45.3;9243.0;5507.0;
286;Environmental domains, total;O-Q Government and care;2014;44.7;9527.0;5622.0;5.0
287;Environmental domains, total;O-Q Government and care;2015;43.4;9628.0;5706.0;5.0
288;Environmental domains, total;O-Q Government and care;2016;45.2;11016.0;6060.0;10.0
289;Environmental domains, total;O-Q Government and care;2017;47.3;11314.0;6315.0;12.0
290;Environmental domains, total;O-Q Government and care;2018;48.6;11779.0;6618.0;10.0
291;Environmental domains, total;O-Q Government and care;2019;51.0;12600.0;7272.0;4.0
292;Environmental domains, total;O-Q Government and care;2020;51.0;12740.0;7092.0;3.0
293;Environmental domains, total;O-Q Government and care;2021;50.5;12152.0;7022.0;3.0
294;Environmental domains, total;R-U Culture, recreation, other services;2001;;;;
295;Environmental domains, total;R-U Culture, recreation, other services;2002;;;;
296;Environmental domains, total;R-U Culture, recreation, other services;2003;;;;
297;Environmental domains, total;R-U Culture, recreation, other services;2004;;;;
298;Environmental domains, total;R-U Culture, recreation, other services;2005;;;;
299;Environmental domains, total;R-U Culture, recreation, other services;2006;;;;
300;Environmental domains, total;R-U Culture, recreation, other services;2007;;;;
301;Environmental domains, total;R-U Culture, recreation, other services;2008;;;;
302;Environmental domains, total;R-U Culture, recreation, other services;2009;;;;
303;Environmental domains, total;R-U Culture, recreation, other services;2010;;;;
304;Environmental domains, total;R-U Culture, recreation, other services;2011;;;;
305;Environmental domains, total;R-U Culture, recreation, other services;2012;;;;
306;Environmental domains, total;R-U Culture, recreation, other services;2013;;;;
307;Environmental domains, total;R-U Culture, recreation, other services;2014;;;;
308;Environmental domains, total;R-U Culture, recreation, other services;2015;;;;
309;Environmental domains, total;R-U Culture, recreation, other services;2016;;;;
310;Environmental domains, total;R-U Culture, recreation, other services;2017;;;;
311;Environmental domains, total;R-U Culture, recreation, other services;2018;;;;
312;Environmental domains, total;R-U Culture, recreation, other services;2019;;;;
313;Environmental domains, total;R-U Culture, recreation, other services;2020;;;;
314;Environmental domains, total;R-U Culture, recreation, other services;2021;;;;
315;1. Total environmental protection;A-U All economic activities;2001;78.2;11783.0;5474.0;
316;1. Total environmental protection;A-U All economic activities;2002;80.7;12436.0;5801.0;
317;1. Total environmental protection;A-U All economic activities;2003;82.6;12887.0;6135.0;
318;1. Total environmental protection;A-U All economic activities;2004;80.9;13041.0;6145.0;
319;1. Total environmental protection;A-U All economic activities;2005;78.6;13077.0;6099.0;
320;1. Total environmental protection;A-U All economic activities;2006;82.4;13768.0;6687.0;
321;1. Total environmental protection;A-U All economic activities;2007;81.9;14433.0;7138.0;
322;1. Total environmental protection;A-U All economic activities;2008;81.0;15473.0;7664.0;
323;1. Total environmental protection;A-U All economic activities;2009;84.9;15571.0;7589.0;
324;1. Total environmental protection;A-U All economic activities;2010;88.2;17194.0;8405.0;
325;1. Total environmental protection;A-U All economic activities;2011;86.7;17568.0;8508.0;
326;1. Total environmental protection;A-U All economic activities;2012;83.4;17450.0;8418.0;
327;1. Total environmental protection;A-U All economic activities;2013;82.7;18115.0;8639.0;
328;1. Total environmental protection;A-U All economic activities;2014;80.1;18548.0;8759.0;1892.0
329;1. Total environmental protection;A-U All economic activities;2015;79.0;18937.0;8952.0;1758.0
330;1. Total environmental protection;A-U All economic activities;2016;83.4;20731.0;9425.0;2147.0
331;1. Total environmental protection;A-U All economic activities;2017;88.8;21873.0;9999.0;1920.0
332;1. Total environmental protection;A-U All economic activities;2018;91.6;23108.0;10368.0;2144.0
333;1. Total environmental protection;A-U All economic activities;2019;95.9;24701.0;11200.0;2218.0
334;1. Total environmental protection;A-U All economic activities;2020;97.2;24808.0;11229.0;2096.0
335;1. Total environmental protection;A-U All economic activities;2021;98.3;25464.0;11928.0;2602.0
336;1. Total environmental protection;A Agriculture, forestry and fishing;2001;1.6;362.0;152.0;
337;1. Total environmental protection;A Agriculture, forestry and fishing;2002;1.7;389.0;158.0;
338;1. Total environmental protection;A Agriculture, forestry and fishing;2003;1.9;391.0;159.0;
339;1. Total environmental protection;A Agriculture, forestry and fishing;2004;1.9;383.0;146.0;
340;1. Total environmental protection;A Agriculture, forestry and fishing;2005;1.9;396.0;154.0;
341;1. Total environmental protection;A Agriculture, forestry and fishing;2006;2.1;437.0;173.0;
342;1. Total environmental protection;A Agriculture, forestry and fishing;2007;1.8;476.0;176.0;
343;1. Total environmental protection;A Agriculture, forestry and fishing;2008;2.0;507.0;166.0;
344;1. Total environmental protection;A Agriculture, forestry and fishing;2009;2.1;482.0;149.0;
345;1. Total environmental protection;A Agriculture, forestry and fishing;2010;3.0;839.0;297.0;
346;1. Total environmental protection;A Agriculture, forestry and fishing;2011;3.4;875.0;262.0;
347;1. Total environmental protection;A Agriculture, forestry and fishing;2012;3.5;947.0;280.0;
348;1. Total environmental protection;A Agriculture, forestry and fishing;2013;3.7;1023.0;325.0;
349;1. Total environmental protection;A Agriculture, forestry and fishing;2014;3.7;1042.0;352.0;123.0
350;1. Total environmental protection;A Agriculture, forestry and fishing;2015;3.4;1060.0;366.0;123.0
351;1. Total environmental protection;A Agriculture, forestry and fishing;2016;3.2;841.0;299.0;134.0
352;1. Total environmental protection;A Agriculture, forestry and fishing;2017;3.7;990.0;370.0;163.0
353;1. Total environmental protection;A Agriculture, forestry and fishing;2018;4.2;1010.0;341.0;164.0
354;1. Total environmental protection;A Agriculture, forestry and fishing;2019;4.6;1114.0;383.0;182.0
355;1. Total environmental protection;A Agriculture, forestry and fishing;2020;4.7;1130.0;370.0;183.0
356;1. Total environmental protection;A Agriculture, forestry and fishing;2021;5.1;1315.0;415.0;215.0
357;1. Total environmental protection;B-E Industry (no construction), energy;2001;;;;
358;1. Total environmental protection;B-E Industry (no construction), energy;2002;;;;
359;1. Total environmental protection;B-E Industry (no construction), energy;2003;;;;
360;1. Total environmental protection;B-E Industry (no construction), energy;2004;;;;
361;1. Total environmental protection;B-E Industry (no construction), energy;2005;;;;
362;1. Total environmental protection;B-E Industry (no construction), energy;2006;;;;
363;1. Total environmental protection;B-E Industry (no construction), energy;2007;;;;
364;1. Total environmental protection;B-E Industry (no construction), energy;2008;;;;
365;1. Total environmental protection;B-E Industry (no construction), energy;2009;;;;
366;1. Total environmental protection;B-E Industry (no construction), energy;2010;;;;
367;1. Total environmental protection;B-E Industry (no construction), energy;2011;;;;
368;1. Total environmental protection;B-E Industry (no construction), energy;2012;;;;
369;1. Total environmental protection;B-E Industry (no construction), energy;2013;;;;
370;1. Total environmental protection;B-E Industry (no construction), energy;2014;;;;
