ID;EnergySourcesTechniques;EnergyApplication;Periods;AvoidedEnergy_1;AvoidedEnergyRelative_2;AvoidedEmission_3;AvoidedEmissionRelative_4
139;Hydro power;Total energy applications;1993;975.0;0.03;67.0;0.04
140;Hydro power;Total energy applications;1994;972.0;0.03;68.0;0.04
141;Hydro power;Total energy applications;1995;945.0;0.03;67.0;0.04
142;Hydro power;Total energy applications;1996;898.0;0.03;63.0;0.03
143;Hydro power;Total energy applications;1997;856.0;0.03;62.0;0.04
144;Hydro power;Total energy applications;1998;871.0;0.03;62.0;0.03
145;Hydro power;Total energy applications;1999;867.0;0.03;60.0;0.04
146;Hydro power;Total energy applications;2000;911.0;0.03;65.0;0.04
147;Hydro power;Total energy applications;2001;938.0;0.03;66.0;0.04
148;Hydro power;Total energy applications;2002;946.0;0.03;67.0;0.04
149;Hydro power;Total energy applications;2003;921.0;0.03;65.0;0.04
150;Hydro power;Total energy applications;2004;904.0;0.03;63.0;0.03
151;Hydro power;Total energy applications;2005;904.0;0.03;62.0;0.04
152;Hydro power;Total energy applications;2006;885.0;0.03;62.0;0.04
153;Hydro power;Total energy applications;2007;871.0;0.03;60.0;0.03
154;Hydro power;Total energy applications;2008;890.0;0.03;61.0;0.03
155;Hydro power;Total energy applications;2009;872.0;0.03;60.0;0.03
156;Hydro power;Total energy applications;2010;861.0;0.02;58.0;0.03
157;Hydro power;Total energy applications;2011;826.0;0.03;56.0;0.03
158;Hydro power;Total energy applications;2012;863.0;0.03;61.0;0.04
159;Hydro power;Total energy applications;2013;854.0;0.03;63.0;0.04
160;Hydro power;Total energy applications;2014;885.0;0.03;65.0;0.04
161;Hydro power;Total energy applications;2015;858.0;0.03;67.0;0.04
162;Hydro power;Total energy applications;2016;821.0;0.03;61.0;0.04
163;Hydro power;Total energy applications;2017;761.0;0.02;56.0;0.03
164;Hydro power;Total energy applications;2018;748.0;0.02;53.0;0.03
165;Hydro power;Total energy applications;2019;713.0;0.02;46.0;0.03
166;Hydro power;Total energy applications;2020;676.0;0.02;38.0;0.03
167;Hydro power;Total energy applications;2021;721.0;0.02;46.0;0.03
168;Hydro power;Total energy applications;2022;705.0;0.02;45.0;0.03
169;Hydro power;Total energy applications;2023;681.0;0.02;40.0;0.03
170;Hydro power;Electricity;1990;818.0;0.03;59.0;0.04
171;Hydro power;Electricity;1991;910.0;0.03;63.0;0.04
172;Hydro power;Electricity;1992;994.0;0.03;68.0;0.04
173;Hydro power;Electricity;1993;975.0;0.03;67.0;0.04
174;Hydro power;Electricity;1994;972.0;0.03;68.0;0.04
175;Hydro power;Electricity;1995;945.0;0.03;67.0;0.04
176;Hydro power;Electricity;1996;898.0;0.03;63.0;0.03
177;Hydro power;Electricity;1997;856.0;0.03;62.0;0.04
178;Hydro power;Electricity;1998;871.0;0.03;62.0;0.03
179;Hydro power;Electricity;1999;867.0;0.03;60.0;0.04
180;Hydro power;Electricity;2000;911.0;0.03;65.0;0.04
181;Hydro power;Electricity;2001;938.0;0.03;66.0;0.04
182;Hydro power;Electricity;2002;946.0;0.03;67.0;0.04
183;Hydro power;Electricity;2003;921.0;0.03;65.0;0.04
184;Hydro power;Electricity;2004;904.0;0.03;63.0;0.03
185;Hydro power;Electricity;2005;904.0;0.03;62.0;0.04
186;Hydro power;Electricity;2006;885.0;0.03;62.0;0.04
187;Hydro power;Electricity;2007;871.0;0.03;60.0;0.03
188;Hydro power;Electricity;2008;890.0;0.03;61.0;0.03
189;Hydro power;Electricity;2009;872.0;0.03;60.0;0.03
190;Hydro power;Electricity;2010;861.0;0.02;58.0;0.03
191;Hydro power;Electricity;2011;826.0;0.03;56.0;0.03
192;Hydro power;Electricity;2012;863.0;0.03;61.0;0.04
193;Hydro power;Electricity;2013;854.0;0.03;63.0;0.04
194;Hydro power;Electricity;2014;885.0;0.03;65.0;0.04
195;Hydro power;Electricity;2015;858.0;0.03;67.0;0.04
196;Hydro power;Electricity;2016;821.0;0.03;61.0;0.04
197;Hydro power;Electricity;2017;761.0;0.02;56.0;0.03
198;Hydro power;Electricity;2018;748.0;0.02;53.0;0.03
199;Hydro power;Electricity;2019;713.0;0.02;46.0;0.03
200;Hydro power;Electricity;2020;676.0;0.02;38.0;0.03
201;Hydro power;Electricity;2021;721.0;0.02;46.0;0.03
202;Hydro power;Electricity;2022;705.0;0.02;45.0;0.03
203;Hydro power;Electricity;2023;681.0;0.02;40.0;0.03
204;Hydro power;Heat;1990;;;;
205;Hydro power;Heat;1991;;;;
206;Hydro power;Heat;1992;;;;
207;Hydro power;Heat;1993;;;;
208;Hydro power;Heat;1994;;;;
209;Hydro power;Heat;1995;;;;
210;Hydro power;Heat;1996;;;;
211;Hydro power;Heat;1997;;;;
212;Hydro power;Heat;1998;;;;
213;Hydro power;Heat;1999;;;;
214;Hydro power;Heat;2000;;;;
215;Hydro power;Heat;2001;;;;
216;Hydro power;Heat;2002;;;;
217;Hydro power;Heat;2003;;;;
218;Hydro power;Heat;2004;;;;
219;Hydro power;Heat;2005;;;;
220;Hydro power;Heat;2006;;;;
221;Hydro power;Heat;2007;;;;
222;Hydro power;Heat;2008;;;;
223;Hydro power;Heat;2009;;;;
224;Hydro power;Heat;2010;;;;
225;Hydro power;Heat;2011;;;;
226;Hydro power;Heat;2012;;;;
227;Hydro power;Heat;2013;;;;
228;Hydro power;Heat;2014;;;;
229;Hydro power;Heat;2015;;;;
230;Hydro power;Heat;2016;;;;
231;Hydro power;Heat;2017;;;;
232;Hydro power;Heat;2018;;;;
233;Hydro power;Heat;2019;;;;
234;Hydro power;Heat;2020;;;;
235;Hydro power;Heat;2021;;;;
236;Hydro power;Heat;2022;;;;
237;Hydro power;Heat;2023;;;;
238;Hydro power;Transport;1990;;;;
239;Hydro power;Transport;1991;;;;
240;Hydro power;Transport;1992;;;;
241;Hydro power;Transport;1993;;;;
242;Hydro power;Transport;1994;;;;
243;Hydro power;Transport;1995;;;;
244;Hydro power;Transport;1996;;;;
245;Hydro power;Transport;1997;;;;
246;Hydro power;Transport;1998;;;;
247;Hydro power;Transport;1999;;;;
248;Hydro power;Transport;2000;;;;
249;Hydro power;Transport;2001;;;;
250;Hydro power;Transport;2002;;;;
251;Hydro power;Transport;2003;;;;
252;Hydro power;Transport;2004;;;;
253;Hydro power;Transport;2005;;;;
254;Hydro power;Transport;2006;;;;
255;Hydro power;Transport;2007;;;;
256;Hydro power;Transport;2008;;;;
257;Hydro power;Transport;2009;;;;
258;Hydro power;Transport;2010;;;;
259;Hydro power;Transport;2011;;;;
260;Hydro power;Transport;2012;;;;
261;Hydro power;Transport;2013;;;;
262;Hydro power;Transport;2014;;;;
263;Hydro power;Transport;2015;;;;
264;Hydro power;Transport;2016;;;;
265;Hydro power;Transport;2017;;;;
266;Hydro power;Transport;2018;;;;
267;Hydro power;Transport;2019;;;;
268;Hydro power;Transport;2020;;;;
269;Hydro power;Transport;2021;;;;
270;Hydro power;Transport;2022;;;;
271;Hydro power;Transport;2023;;;;
272;Wind energy, total;Total energy applications;1990;539.0;0.02;39.0;0.02
273;Wind energy, total;Total energy applications;1991;847.0;0.03;59.0;0.03
274;Wind energy, total;Total energy applications;1992;1319.0;0.05;90.0;0.05
275;Wind energy, total;Total energy applications;1993;1686.0;0.06;115.0;0.07
276;Wind energy, total;Total energy applications;1994;2140.0;0.07;150.0;0.09
277;Wind energy, total;Total energy applications;1995;3025.0;0.1;215.0;0.12
278;Wind energy, total;Total energy applications;1996;4093.0;0.13;287.0;0.16
279;Wind energy, total;Total energy applications;1997;4403.0;0.14;318.0;0.18
280;Wind energy, total;Total energy applications;1998;5128.0;0.16;365.0;0.21
281;Wind energy, total;Total energy applications;1999;5780.0;0.19;401.0;0.23
282;Wind energy, total;Total energy applications;2000;6745.0;0.22;481.0;0.28
283;Wind energy, total;Total energy applications;2001;7565.0;0.24;536.0;0.3
284;Wind energy, total;Total energy applications;2002;9416.0;0.29;666.0;0.38
285;Wind energy, total;Total energy applications;2003;12479.0;0.37;877.0;0.49
286;Wind energy, total;Total energy applications;2004;15946.0;0.47;1110.0;0.61
287;Wind energy, total;Total energy applications;2005;18348.0;0.55;1264.0;0.71
288;Wind energy, total;Total energy applications;2006;22414.0;0.68;1567.0;0.91
289;Wind energy, total;Total energy applications;2007;27728.0;0.84;1913.0;1.11
290;Wind energy, total;Total energy applications;2008;34890.0;1.07;2404.0;1.37
291;Wind energy, total;Total energy applications;2009;39058.0;1.21;2668.0;1.57
292;Wind energy, total;Total energy applications;2010;38320.0;1.1;2583.0;1.42
293;Wind energy, total;Total energy applications;2011;39367.0;1.22;2653.0;1.57
294;Wind energy, total;Total energy applications;2012;42378.0;1.3;3013.0;1.81
295;Wind energy, total;Total energy applications;2013;45298.0;1.43;3334.0;2.01
296;Wind energy, total;Total energy applications;2014;50020.0;1.65;3676.0;2.31
297;Wind energy, total;Total energy applications;2015;60218.0;1.93;4691.0;2.81
298;Wind energy, total;Total energy applications;2016;73216.0;2.32;5462.0;3.27
299;Wind energy, total;Total energy applications;2017;82374.0;2.6;6022.0;3.65
300;Wind energy, total;Total energy applications;2018;82553.0;2.65;5836.0;3.63
301;Wind energy, total;Total energy applications;2019;84017.0;2.74;5377.0;3.5
302;Wind energy, total;Total energy applications;2020;108777.0;3.66;6168.0;4.47
303;Wind energy, total;Total energy applications;2021;151090.0;4.9;9548.0;6.61
304;Wind energy, total;Total energy applications;2022;174341.0;5.89;11046.0;7.87
305;Wind energy, total;Total energy applications;2023;216757.0;7.5;12595.0;9.78
306;Wind energy, total;Electricity;1990;539.0;0.02;39.0;0.02
307;Wind energy, total;Electricity;1991;847.0;0.03;59.0;0.03
308;Wind energy, total;Electricity;1992;1319.0;0.05;90.0;0.05
309;Wind energy, total;Electricity;1993;1686.0;0.06;115.0;0.07
310;Wind energy, total;Electricity;1994;2140.0;0.07;150.0;0.09
311;Wind energy, total;Electricity;1995;3025.0;0.1;215.0;0.12
312;Wind energy, total;Electricity;1996;4093.0;0.13;287.0;0.16
313;Wind energy, total;Electricity;1997;4403.0;0.14;318.0;0.18
314;Wind energy, total;Electricity;1998;5128.0;0.16;365.0;0.21
315;Wind energy, total;Electricity;1999;5780.0;0.19;401.0;0.23
316;Wind energy, total;Electricity;2000;6745.0;0.22;481.0;0.28
317;Wind energy, total;Electricity;2001;7565.0;0.24;536.0;0.3
318;Wind energy, total;Electricity;2002;9416.0;0.29;666.0;0.38
319;Wind energy, total;Electricity;2003;12479.0;0.37;877.0;0.49
320;Wind energy, total;Electricity;2004;15946.0;0.47;1110.0;0.61
321;Wind energy, total;Electricity;2005;18348.0;0.55;1264.0;0.71
322;Wind energy, total;Electricity;2006;22414.0;0.68;1567.0;0.91
323;Wind energy, total;Electricity;2007;27728.0;0.84;1913.0;1.11
324;Wind energy, total;Electricity;2008;34890.0;1.07;2404.0;1.37
325;Wind energy, total;Electricity;2009;39058.0;1.21;2668.0;1.57
326;Wind energy, total;Electricity;2010;38320.0;1.1;2583.0;1.42
327;Wind energy, total;Electricity;2011;39367.0;1.22;2653.0;1.57
328;Wind energy, total;Electricity;2012;42378.0;1.3;3013.0;1.81
329;Wind energy, total;Electricity;2013;45298.0;1.43;3334.0;2.01
330;Wind energy, total;Electricity;2014;50020.0;1.65;3676.0;2.31
331;Wind energy, total;Electricity;2015;60218.0;1.93;4691.0;2.81
332;Wind energy, total;Electricity;2016;73216.0;2.32;5462.0;3.27
333;Wind energy, total;Electricity;2017;82374.0;2.6;6022.0;3.65
334;Wind energy, total;Electricity;2018;82553.0;2.65;5836.0;3.63
335;Wind energy, total;Electricity;2019;84017.0;2.74;5377.0;3.5
336;Wind energy, total;Electricity;2020;108777.0;3.66;6168.0;4.47
337;Wind energy, total;Electricity;2021;151090.0;4.9;9548.0;6.61
338;Wind energy, total;Electricity;2022;174341.0;5.89;11046.0;7.87
339;Wind energy, total;Electricity;2023;216757.0;7.5;12595.0;9.78
340;Wind energy, total;Heat;1990;;;;
341;Wind energy, total;Heat;1991;;;;
342;Wind energy, total;Heat;1992;;;;
343;Wind energy, total;Heat;1993;;;;
344;Wind energy, total;Heat;1994;;;;
345;Wind energy, total;Heat;1995;;;;
346;Wind energy, total;Heat;1996;;;;
347;Wind energy, total;Heat;1997;;;;
348;Wind energy, total;Heat;1998;;;;
349;Wind energy, total;Heat;1999;;;;
350;Wind energy, total;Heat;2000;;;;
351;Wind energy, total;Heat;2001;;;;
352;Wind energy, total;Heat;2002;;;;
353;Wind energy, total;Heat;2003;;;;
354;Wind energy, total;Heat;2004;;;;
355;Wind energy, total;Heat;2005;;;;
356;Wind energy, total;Heat;2006;;;;
357;Wind energy, total;Heat;2007;;;;
358;Wind energy, total;Heat;2008;;;;
359;Wind energy, total;Heat;2009;;;;
360;Wind energy, total;Heat;2010;;;;
361;Wind energy, total;Heat;2011;;;;
362;Wind energy, total;Heat;2012;;;;
363;Wind energy, total;Heat;2013;;;;
364;Wind energy, total;Heat;2014;;;;
365;Wind energy, total;Heat;2015;;;;
366;Wind energy, total;Heat;2016;;;;
367;Wind energy, total;Heat;2017;;;;
368;Wind energy, total;Heat;2018;;;;
369;Wind energy, total;Heat;2019;;;;
370;Wind energy, total;Heat;2020;;;;
371;Wind energy, total;Heat;2021;;;;
372;Wind energy, total;Heat;2022;;;;
373;Wind energy, total;Heat;2023;;;;
374;Wind energy, total;Transport;1990;;;;
375;Wind energy, total;Transport;1991;;;;
376;Wind energy, total;Transport;1992;;;;
377;Wind energy, total;Transport;1993;;;;
378;Wind energy, total;Transport;1994;;;;
379;Wind energy, total;Transport;1995;;;;
380;Wind energy, total;Transport;1996;;;;
381;Wind energy, total;Transport;1997;;;;
382;Wind energy, total;Transport;1998;;;;
383;Wind energy, total;Transport;1999;;;;
384;Wind energy, total;Transport;2000;;;;
385;Wind energy, total;Transport;2001;;;;
386;Wind energy, total;Transport;2002;;;;
387;Wind energy, total;Transport;2003;;;;
388;Wind energy, total;Transport;2004;;;;
389;Wind energy, total;Transport;2005;;;;
390;Wind energy, total;Transport;2006;;;;
391;Wind energy, total;Transport;2007;;;;
392;Wind energy, total;Transport;2008;;;;
393;Wind energy, total;Transport;2009;;;;
394;Wind energy, total;Transport;2010;;;;
395;Wind energy, total;Transport;2011;;;;
396;Wind energy, total;Transport;2012;;;;
397;Wind energy, total;Transport;2013;;;;
398;Wind energy, total;Transport;2014;;;;
399;Wind energy, total;Transport;2015;;;;
400;Wind energy, total;Transport;2016;;;;
401;Wind energy, total;Transport;2017;;;;
402;Wind energy, total;Transport;2018;;;;
403;Wind energy, total;Transport;2019;;;;
404;Wind energy, total;Transport;2020;;;;
405;Wind energy, total;Transport;2021;;;;
406;Wind energy, total;Transport;2022;;;;
407;Wind energy, total;Transport;2023;;;;
408;Wind energy on shore;Total energy applications;1990;539.0;0.02;39.0;0.02
409;Wind energy on shore;Total energy applications;1991;847.0;0.03;59.0;0.03
410;Wind energy on shore;Total energy applications;1992;1319.0;0.05;90.0;0.05
411;Wind energy on shore;Total energy applications;1993;1686.0;0.06;115.0;0.07
412;Wind energy on shore;Total energy applications;1994;2140.0;0.07;150.0;0.09
413;Wind energy on shore;Total energy applications;1995;3025.0;0.1;215.0;0.12
414;Wind energy on shore;Total energy applications;1996;4093.0;0.13;287.0;0.16
415;Wind energy on shore;Total energy applications;1997;4403.0;0.14;318.0;0.18
416;Wind energy on shore;Total energy applications;1998;5128.0;0.16;365.0;0.21
417;Wind energy on shore;Total energy applications;1999;5780.0;0.19;401.0;0.23
418;Wind energy on shore;Total energy applications;2000;6745.0;0.22;481.0;0.28
419;Wind energy on shore;Total energy applications;2001;7565.0;0.24;536.0;0.3
420;Wind energy on shore;Total energy applications;2002;9416.0;0.29;666.0;0.38
421;Wind energy on shore;Total energy applications;2003;12479.0;0.37;877.0;0.49
422;Wind energy on shore;Total energy applications;2004;15946.0;0.47;1110.0;0.61
423;Wind energy on shore;Total energy applications;2005;18348.0;0.55;1264.0;0.71
424;Wind energy on shore;Total energy applications;2006;21855.0;0.66;1528.0;0.88
425;Wind energy on shore;Total energy applications;2007;25071.0;0.76;1730.0;1.0
426;Wind energy on shore;Total energy applications;2008;30009.0;0.92;2068.0;1.18
427;Wind energy on shore;Total energy applications;2009;32792.0;1.01;2240.0;1.31
428;Wind energy on shore;Total energy applications;2010;31808.0;0.92;2144.0;1.18
429;Wind energy on shore;Total energy applications;2011;33180.0;1.03;2236.0;1.32
430;Wind energy on shore;Total energy applications;2012;35847.0;1.1;2549.0;1.53
431;Wind energy on shore;Total energy applications;2013;38887.0;1.22;2862.0;1.72
432;Wind energy on shore;Total energy applications;2014;43446.0;1.43;3193.0;2.01
433;Wind energy on shore;Total energy applications;2015;51264.0;1.65;3993.0;2.39
434;Wind energy on shore;Total energy applications;2016;53907.0;1.71;4021.0;2.41
435;Wind energy on shore;Total energy applications;2017;54196.0;1.71;3962.0;2.4
436;Wind energy on shore;Total energy applications;2018;54381.0;1.74;3845.0;2.39
437;Wind energy on shore;Total energy applications;2019;56519.0;1.84;3617.0;2.35
438;Wind energy on shore;Total energy applications;2020;63132.0;2.12;3580.0;2.59
439;Wind energy on shore;Total energy applications;2021;83319.0;2.7;5265.0;3.65
440;Wind energy on shore;Total energy applications;2022;105537.0;3.57;6687.0;4.77
441;Wind energy on shore;Total energy applications;2023;127268.0;4.41;7395.0;5.74
442;Wind energy on shore;Electricity;1990;539.0;0.02;39.0;0.02
443;Wind energy on shore;Electricity;1991;847.0;0.03;59.0;0.03
444;Wind energy on shore;Electricity;1992;1319.0;0.05;90.0;0.05
445;Wind energy on shore;Electricity;1993;1686.0;0.06;115.0;0.07
446;Wind energy on shore;Electricity;1994;2140.0;0.07;150.0;0.09
447;Wind energy on shore;Electricity;1995;3025.0;0.1;215.0;0.12
448;Wind energy on shore;Electricity;1996;4093.0;0.13;287.0;0.16
449;Wind energy on shore;Electricity;1997;4403.0;0.14;318.0;0.18
450;Wind energy on shore;Electricity;1998;5128.0;0.16;365.0;0.21
451;Wind energy on shore;Electricity;1999;5780.0;0.19;401.0;0.23
452;Wind energy on shore;Electricity;2000;6745.0;0.22;481.0;0.28
453;Wind energy on shore;Electricity;2001;7565.0;0.24;536.0;0.3
454;Wind energy on shore;Electricity;2002;9416.0;0.29;666.0;0.38
455;Wind energy on shore;Electricity;2003;12479.0;0.37;877.0;0.49
