ID;RegioS;Inkomensverdeling;AantalHuishoudensAbsoluut_1;AantalHuishoudens_2
186;Noord-Holland;"6e 10%-groep; 25 700 tot 29 800 euro";104.4;9.0
187;Noord-Holland;"7e 10%-groep; 29 800 tot 34 300 euro";104.2;9.0
188;Noord-Holland;"8e 10%-groep; 34 300 tot 40 100 euro";107.1;9.0
189;Noord-Holland;"9e 10%-groep; 40 100 tot 49 800 euro";111.1;10.0
190;Noord-Holland;"10e 10%-groep; meer dan 49 800  euro";123.4;11.0
191;Noord-Holland;"1e 10%-groep; minder dan 12 400 euro";135.2;12.0
192;Noord-Holland;"2e-4e 10%-groep; 12 400 tot 22 000 euro";343.6;30.0
193;Noord-Holland;"5e-8e 10%-groep; 22 000 tot 40 100 euro";426.9;37.0
194;Noord-Holland;"9e-10e 10%-groep; meer dan 40 100 euro";234.6;21.0
195;Zuid-Holland;Totaal particulier huishouden;1462.2;100.0
196;Zuid-Holland;"1e 10%-groep; minder dan 12 400 euro";157.1;11.0
197;Zuid-Holland;"2e 10%-groep; 12 400 tot 15 600 euro";153.1;10.0
198;Zuid-Holland;"3e 10%-groep; 15 600 tot 18 700 euro";148.0;10.0
199;Zuid-Holland;"4e 10%-groep; 18 700 tot 22 000 euro";147.9;10.0
200;Zuid-Holland;"5e 10%-groep; 22 000 tot 25 700 euro";140.5;10.0
201;Zuid-Holland;"6e 10%-groep; 25 700 tot 29 800 euro";138.2;9.0
202;Zuid-Holland;"7e 10%-groep; 29 800 tot 34 300 euro";137.7;9.0
203;Zuid-Holland;"8e 10%-groep; 34 300 tot 40 100 euro";140.1;10.0
204;Zuid-Holland;"9e 10%-groep; 40 100 tot 49 800 euro";144.7;10.0
205;Zuid-Holland;"10e 10%-groep; meer dan 49 800  euro";154.8;11.0
206;Zuid-Holland;"1e 10%-groep; minder dan 12 400 euro";157.1;11.0
207;Zuid-Holland;"2e-4e 10%-groep; 12 400 tot 22 000 euro";449.1;31.0
208;Zuid-Holland;"5e-8e 10%-groep; 22 000 tot 40 100 euro";556.5;38.0
209;Zuid-Holland;"9e-10e 10%-groep; meer dan 40 100 euro";299.5;20.0
210;Zeeland;Totaal particulier huishouden;157.1;100.0
211;Zeeland;"1e 10%-groep; minder dan 12 400 euro";15.0;10.0
212;Zeeland;"2e 10%-groep; 12 400 tot 15 600 euro";16.0;10.0
213;Zeeland;"3e 10%-groep; 15 600 tot 18 700 euro";15.8;10.0
214;Zeeland;"4e 10%-groep; 18 700 tot 22 000 euro";16.3;10.0
215;Zeeland;"5e 10%-groep; 22 000 tot 25 700 euro";16.5;11.0
216;Zeeland;"6e 10%-groep; 25 700 tot 29 800 euro";16.7;11.0
217;Zeeland;"7e 10%-groep; 29 800 tot 34 300 euro";16.5;10.0
218;Zeeland;"8e 10%-groep; 34 300 tot 40 100 euro";16.1;10.0
219;Zeeland;"9e 10%-groep; 40 100 tot 49 800 euro";14.9;9.0
220;Zeeland;"10e 10%-groep; meer dan 49 800  euro";13.2;8.0
221;Zeeland;"1e 10%-groep; minder dan 12 400 euro";15.0;10.0
222;Zeeland;"2e-4e 10%-groep; 12 400 tot 22 000 euro";48.1;31.0
223;Zeeland;"5e-8e 10%-groep; 22 000 tot 40 100 euro";65.8;42.0
224;Zeeland;"9e-10e 10%-groep; meer dan 40 100 euro";28.1;18.0
225;Noord-Brabant;Totaal particulier huishouden;963.4;100.0
226;Noord-Brabant;"1e 10%-groep; minder dan 12 400 euro";81.9;8.0
227;Noord-Brabant;"2e 10%-groep; 12 400 tot 15 600 euro";88.5;9.0
228;Noord-Brabant;"3e 10%-groep; 15 600 tot 18 700 euro";92.0;10.0
229;Noord-Brabant;"4e 10%-groep; 18 700 tot 22 000 euro";92.6;10.0
230;Noord-Brabant;"5e 10%-groep; 22 000 tot 25 700 euro";95.3;10.0
231;Noord-Brabant;"6e 10%-groep; 25 700 tot 29 800 euro";98.6;10.0
232;Noord-Brabant;"7e 10%-groep; 29 800 tot 34 300 euro";102.6;11.0
233;Noord-Brabant;"8e 10%-groep; 34 300 tot 40 100 euro";105.0;11.0
234;Noord-Brabant;"9e 10%-groep; 40 100 tot 49 800 euro";106.3;11.0
235;Noord-Brabant;"10e 10%-groep; meer dan 49 800  euro";100.7;10.0
236;Noord-Brabant;"1e 10%-groep; minder dan 12 400 euro";81.9;8.0
237;Noord-Brabant;"2e-4e 10%-groep; 12 400 tot 22 000 euro";273.1;28.0
238;Noord-Brabant;"5e-8e 10%-groep; 22 000 tot 40 100 euro";401.5;42.0
239;Noord-Brabant;"9e-10e 10%-groep; meer dan 40 100 euro";207.0;21.0
240;Limburg;Totaal particulier huishouden;472.5;100.0
241;Limburg;"1e 10%-groep; minder dan 12 400 euro";46.0;10.0
242;Limburg;"2e 10%-groep; 12 400 tot 15 600 euro";49.9;11.0
243;Limburg;"3e 10%-groep; 15 600 tot 18 700 euro";47.9;10.0
244;Limburg;"4e 10%-groep; 18 700 tot 22 000 euro";47.9;10.0
245;Limburg;"5e 10%-groep; 22 000 tot 25 700 euro";49.2;10.0
246;Limburg;"6e 10%-groep; 25 700 tot 29 800 euro";49.8;11.0
247;Limburg;"7e 10%-groep; 29 800 tot 34 300 euro";48.8;10.0
248;Limburg;"8e 10%-groep; 34 300 tot 40 100 euro";47.7;10.0
249;Limburg;"9e 10%-groep; 40 100 tot 49 800 euro";45.3;10.0
250;Limburg;"10e 10%-groep; meer dan 49 800  euro";40.0;8.0
251;Limburg;"1e 10%-groep; minder dan 12 400 euro";46.0;10.0
252;Limburg;"2e-4e 10%-groep; 12 400 tot 22 000 euro";145.7;31.0
253;Limburg;"5e-8e 10%-groep; 22 000 tot 40 100 euro";195.6;41.0
254;Limburg;"9e-10e 10%-groep; meer dan 40 100 euro";85.3;18.0
255;Oost-Groningen;Totaal particulier huishouden;65.1;100.0
256;Oost-Groningen;"1e 10%-groep; minder dan 12 400 euro";7.4;11.0
257;Oost-Groningen;"2e 10%-groep; 12 400 tot 15 600 euro";8.6;13.0
258;Oost-Groningen;"3e 10%-groep; 15 600 tot 18 700 euro";7.8;12.0
259;Oost-Groningen;"4e 10%-groep; 18 700 tot 22 000 euro";7.3;11.0
260;Oost-Groningen;"5e 10%-groep; 22 000 tot 25 700 euro";6.9;11.0
261;Oost-Groningen;"6e 10%-groep; 25 700 tot 29 800 euro";7.0;11.0
262;Oost-Groningen;"7e 10%-groep; 29 800 tot 34 300 euro";6.6;10.0
263;Oost-Groningen;"8e 10%-groep; 34 300 tot 40 100 euro";5.5;8.0
264;Oost-Groningen;"9e 10%-groep; 40 100 tot 49 800 euro";4.6;7.0
265;Oost-Groningen;"10e 10%-groep; meer dan 49 800  euro";3.4;5.0
266;Oost-Groningen;"1e 10%-groep; minder dan 12 400 euro";7.4;11.0
267;Oost-Groningen;"2e-4e 10%-groep; 12 400 tot 22 000 euro";23.7;36.0
268;Oost-Groningen;"5e-8e 10%-groep; 22 000 tot 40 100 euro";26.0;40.0
269;Oost-Groningen;"9e-10e 10%-groep; meer dan 40 100 euro";8.0;12.0
270;Delfzijl en omgeving;Totaal particulier huishouden;22.1;100.0
271;Delfzijl en omgeving;"1e 10%-groep; minder dan 12 400 euro";2.3;10.0
272;Delfzijl en omgeving;"2e 10%-groep; 12 400 tot 15 600 euro";2.5;11.0
273;Delfzijl en omgeving;"3e 10%-groep; 15 600 tot 18 700 euro";2.5;11.0
274;Delfzijl en omgeving;"4e 10%-groep; 18 700 tot 22 000 euro";2.4;11.0
275;Delfzijl en omgeving;"5e 10%-groep; 22 000 tot 25 700 euro";2.5;11.0
276;Delfzijl en omgeving;"6e 10%-groep; 25 700 tot 29 800 euro";2.4;11.0
277;Delfzijl en omgeving;"7e 10%-groep; 29 800 tot 34 300 euro";2.3;10.0
278;Delfzijl en omgeving;"8e 10%-groep; 34 300 tot 40 100 euro";2.0;9.0
279;Delfzijl en omgeving;"9e 10%-groep; 40 100 tot 49 800 euro";1.8;8.0
280;Delfzijl en omgeving;"10e 10%-groep; meer dan 49 800  euro";1.3;6.0
281;Delfzijl en omgeving;"1e 10%-groep; minder dan 12 400 euro";2.3;10.0
282;Delfzijl en omgeving;"2e-4e 10%-groep; 12 400 tot 22 000 euro";7.5;34.0
283;Delfzijl en omgeving;"5e-8e 10%-groep; 22 000 tot 40 100 euro";9.3;42.0
284;Delfzijl en omgeving;"9e-10e 10%-groep; meer dan 40 100 euro";3.1;14.0
285;Overig Groningen;Totaal particulier huishouden;152.6;100.0
286;Overig Groningen;"1e 10%-groep; minder dan 12 400 euro";19.0;12.0
287;Overig Groningen;"2e 10%-groep; 12 400 tot 15 600 euro";18.2;12.0
288;Overig Groningen;"3e 10%-groep; 15 600 tot 18 700 euro";17.2;11.0
289;Overig Groningen;"4e 10%-groep; 18 700 tot 22 000 euro";17.0;11.0
290;Overig Groningen;"5e 10%-groep; 22 000 tot 25 700 euro";15.9;10.0
291;Overig Groningen;"6e 10%-groep; 25 700 tot 29 800 euro";14.9;10.0
292;Overig Groningen;"7e 10%-groep; 29 800 tot 34 300 euro";14.1;9.0
293;Overig Groningen;"8e 10%-groep; 34 300 tot 40 100 euro";13.1;9.0
294;Overig Groningen;"9e 10%-groep; 40 100 tot 49 800 euro";12.3;8.0
295;Overig Groningen;"10e 10%-groep; meer dan 49 800  euro";11.0;7.0
296;Overig Groningen;"1e 10%-groep; minder dan 12 400 euro";19.0;12.0
297;Overig Groningen;"2e-4e 10%-groep; 12 400 tot 22 000 euro";52.3;34.0
298;Overig Groningen;"5e-8e 10%-groep; 22 000 tot 40 100 euro";58.0;38.0
299;Overig Groningen;"9e-10e 10%-groep; meer dan 40 100 euro";23.3;15.0
300;Noord-Friesland;Totaal particulier huishouden;134.5;100.0
301;Noord-Friesland;"1e 10%-groep; minder dan 12 400 euro";15.1;11.0
302;Noord-Friesland;"2e 10%-groep; 12 400 tot 15 600 euro";14.7;11.0
303;Noord-Friesland;"3e 10%-groep; 15 600 tot 18 700 euro";14.5;11.0
304;Noord-Friesland;"4e 10%-groep; 18 700 tot 22 000 euro";14.8;11.0
305;Noord-Friesland;"5e 10%-groep; 22 000 tot 25 700 euro";15.4;11.0
306;Noord-Friesland;"6e 10%-groep; 25 700 tot 29 800 euro";14.6;11.0
307;Noord-Friesland;"7e 10%-groep; 29 800 tot 34 300 euro";13.1;10.0
308;Noord-Friesland;"8e 10%-groep; 34 300 tot 40 100 euro";12.6;9.0
309;Noord-Friesland;"9e 10%-groep; 40 100 tot 49 800 euro";11.0;8.0
310;Noord-Friesland;"10e 10%-groep; meer dan 49 800  euro";8.6;6.0
311;Noord-Friesland;"1e 10%-groep; minder dan 12 400 euro";15.1;11.0
312;Noord-Friesland;"2e-4e 10%-groep; 12 400 tot 22 000 euro";44.1;33.0
313;Noord-Friesland;"5e-8e 10%-groep; 22 000 tot 40 100 euro";55.7;41.0
314;Noord-Friesland;"9e-10e 10%-groep; meer dan 40 100 euro";19.7;15.0
315;Zuidwest-Friesland;Totaal particulier huishouden;42.7;100.0
316;Zuidwest-Friesland;"1e 10%-groep; minder dan 12 400 euro";4.8;11.0
317;Zuidwest-Friesland;"2e 10%-groep; 12 400 tot 15 600 euro";4.7;11.0
318;Zuidwest-Friesland;"3e 10%-groep; 15 600 tot 18 700 euro";4.6;11.0
319;Zuidwest-Friesland;"4e 10%-groep; 18 700 tot 22 000 euro";4.5;10.0
320;Zuidwest-Friesland;"5e 10%-groep; 22 000 tot 25 700 euro";4.4;10.0
321;Zuidwest-Friesland;"6e 10%-groep; 25 700 tot 29 800 euro";4.7;11.0
322;Zuidwest-Friesland;"7e 10%-groep; 29 800 tot 34 300 euro";4.5;11.0
323;Zuidwest-Friesland;"8e 10%-groep; 34 300 tot 40 100 euro";4.2;10.0
324;Zuidwest-Friesland;"9e 10%-groep; 40 100 tot 49 800 euro";3.4;8.0
325;Zuidwest-Friesland;"10e 10%-groep; meer dan 49 800  euro";3.0;7.0
326;Zuidwest-Friesland;"1e 10%-groep; minder dan 12 400 euro";4.8;11.0
327;Zuidwest-Friesland;"2e-4e 10%-groep; 12 400 tot 22 000 euro";13.7;32.0
328;Zuidwest-Friesland;"5e-8e 10%-groep; 22 000 tot 40 100 euro";17.8;42.0
329;Zuidwest-Friesland;"9e-10e 10%-groep; meer dan 40 100 euro";6.4;15.0
330;Zuidoost-Friesland;Totaal particulier huishouden;84.0;100.0
331;Zuidoost-Friesland;"1e 10%-groep; minder dan 12 400 euro";8.2;10.0
332;Zuidoost-Friesland;"2e 10%-groep; 12 400 tot 15 600 euro";9.2;11.0
333;Zuidoost-Friesland;"3e 10%-groep; 15 600 tot 18 700 euro";9.0;11.0
