ID;Afzetgebieden;AlleProdComCoderingen;Perioden;ProducentenprijsindexPPI_1;MaandmutatiePPI_2;JaarmutatiePPI_3
218;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 juli;;;
219;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 augustus;;;
220;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 september;;;
221;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 oktober;;;
222;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 november;;;
223;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 december;;;
224;Totaal afzetprijzen;05 Steenkool en bruinkool;2020;;;
225;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 januari;;;
226;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 februari;;;
227;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 maart;;;
228;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 april;;;
229;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 mei;;;
230;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 juni;;;
231;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 juli;;;
232;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 augustus;;;
233;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 september;;;
234;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 oktober;;;
235;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 november;;;
236;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 december;;;
237;Totaal afzetprijzen;05 Steenkool en bruinkool;2021;;;
238;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 januari;;;
239;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 februari;;;
240;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 maart;;;
241;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 april;;;
242;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 mei;;;
243;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 juni;;;
244;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 juli;;;
245;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 augustus;;;
246;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 september;;;
247;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 oktober;;;
248;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 november;;;
249;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 december ;;;
250;Totaal afzetprijzen;05 Steenkool en bruinkool;2022;;;
251;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 januari;;;
252;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 februari;;;
253;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 maart;;;
254;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 april;;;
255;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 mei;;;
256;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 juni;;;
257;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 juli;;;
258;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 augustus;;;
259;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 september;;;
260;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 oktober;;;
261;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 november;;;
262;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 december;;;
263;Totaal afzetprijzen;05 Steenkool en bruinkool;2023;;;
264;Totaal afzetprijzen;05 Steenkool en bruinkool;2024 januari;;;
265;Totaal afzetprijzen;05 Steenkool en bruinkool;2024 februari;;;
266;Totaal afzetprijzen;05 Steenkool en bruinkool;2024 maart;;;
267;Totaal afzetprijzen;05 Steenkool en bruinkool;2024 april;;;
268;Totaal afzetprijzen;05 Steenkool en bruinkool;2024 mei;;;
269;Totaal afzetprijzen;05 Steenkool en bruinkool;2024  juni;;;
270;Totaal afzetprijzen;05 Steenkool en bruinkool;2024 juli;;;
271;Totaal afzetprijzen;05 Steenkool en bruinkool;2024 augustus;;;
272;Totaal afzetprijzen;05 Steenkool en bruinkool;2024 september;;;
273;Totaal afzetprijzen;05 Steenkool en bruinkool;2024 oktober;;;
274;Totaal afzetprijzen;05 Steenkool en bruinkool;2024 november;;;
275;Totaal afzetprijzen;05 Steenkool en bruinkool;2024 december;;;
276;Totaal afzetprijzen;05 Steenkool en bruinkool;2024;;;
277;Totaal afzetprijzen;05 Steenkool en bruinkool;2025 januari;;;
278;Totaal afzetprijzen;05 Steenkool en bruinkool;2025 februari;;;
279;Totaal afzetprijzen;051 Steenkool;2018 januari;;;
280;Totaal afzetprijzen;051 Steenkool;2018 februari;;;
281;Totaal afzetprijzen;051 Steenkool;2018 maart;;;
282;Totaal afzetprijzen;051 Steenkool;2018 april;;;
283;Totaal afzetprijzen;051 Steenkool;2018 mei;;;
284;Totaal afzetprijzen;051 Steenkool;2018 juni;;;
285;Totaal afzetprijzen;051 Steenkool;2018 juli;;;
286;Totaal afzetprijzen;051 Steenkool;2018 augustus;;;
287;Totaal afzetprijzen;051 Steenkool;2018 september;;;
288;Totaal afzetprijzen;051 Steenkool;2018 oktober;;;
289;Totaal afzetprijzen;051 Steenkool;2018 november;;;
290;Totaal afzetprijzen;051 Steenkool;2018 december;;;
291;Totaal afzetprijzen;051 Steenkool;2018;;;
292;Totaal afzetprijzen;051 Steenkool;2019 januari;;;
293;Totaal afzetprijzen;051 Steenkool;2019 februari;;;
294;Totaal afzetprijzen;051 Steenkool;2019 maart;;;
295;Totaal afzetprijzen;051 Steenkool;2019 april;;;
296;Totaal afzetprijzen;051 Steenkool;2019 mei;;;
297;Totaal afzetprijzen;051 Steenkool;2019 juni;;;
298;Totaal afzetprijzen;051 Steenkool;2019 juli;;;
299;Totaal afzetprijzen;051 Steenkool;2019 augustus;;;
300;Totaal afzetprijzen;051 Steenkool;2019 september;;;
301;Totaal afzetprijzen;051 Steenkool;2019 oktober;;;
302;Totaal afzetprijzen;051 Steenkool;2019 november;;;
303;Totaal afzetprijzen;051 Steenkool;2019 december;;;
304;Totaal afzetprijzen;051 Steenkool;2019;;;
