ID;AfzetInvoerEnVerbruik;ProductenPRODCOM;Perioden;ProducentenprijsindexPPI_1;OntwikkelingTOVEenJaarEerder_2;OntwikkelingTOVEenMaandEerder_3
31;Totaal afzetprijzen;B Winning van delfstoffen;2007 juni;99.0;-5.1;-1.8
32;Totaal afzetprijzen;B Winning van delfstoffen;2007 juli;103.8;0.3;4.9
33;Totaal afzetprijzen;B Winning van delfstoffen;2007 augustus;102.9;-0.6;-0.9
34;Totaal afzetprijzen;B Winning van delfstoffen;2007 september;101.0;-3.3;-1.8
35;Totaal afzetprijzen;B Winning van delfstoffen;2007 oktober;102.8;-1.0;1.8
36;Totaal afzetprijzen;B Winning van delfstoffen;2007 november;103.0;0.1;0.1
37;Totaal afzetprijzen;B Winning van delfstoffen;2007 december;104.0;0.8;1.0
38;Totaal afzetprijzen;B Winning van delfstoffen;2007;102.5;0.8;
39;Totaal afzetprijzen;B Winning van delfstoffen;2008 januari;108.8;4.3;4.6
40;Totaal afzetprijzen;B Winning van delfstoffen;2008 februari;111.7;9.0;2.7
41;Totaal afzetprijzen;B Winning van delfstoffen;2008 maart;114.4;11.1;2.4
42;Totaal afzetprijzen;B Winning van delfstoffen;2008 april;119.5;16.8;4.4
43;Totaal afzetprijzen;B Winning van delfstoffen;2008 mei;127.4;26.3;6.6
44;Totaal afzetprijzen;B Winning van delfstoffen;2008 juni;134.0;35.4;5.2
45;Totaal afzetprijzen;B Winning van delfstoffen;2008 juli;146.2;40.8;9.0
46;Totaal afzetprijzen;B Winning van delfstoffen;2008 augustus;148.7;44.5;1.7
47;Totaal afzetprijzen;B Winning van delfstoffen;2008 september;144.4;42.9;-2.9
48;Totaal afzetprijzen;B Winning van delfstoffen;2008 oktober;147.7;43.6;2.3
49;Totaal afzetprijzen;B Winning van delfstoffen;2008 november;142.2;38.1;-3.7
50;Totaal afzetprijzen;B Winning van delfstoffen;2008 december;142.0;36.6;-0.1
51;Totaal afzetprijzen;B Winning van delfstoffen;2008;132.3;29.1;
52;Totaal afzetprijzen;B Winning van delfstoffen;2009 januari;128.1;17.8;-9.8
53;Totaal afzetprijzen;B Winning van delfstoffen;2009 februari;124.4;11.3;-2.9
54;Totaal afzetprijzen;B Winning van delfstoffen;2009 maart;119.1;4.1;-4.2
55;Totaal afzetprijzen;B Winning van delfstoffen;2009 april;101.0;-15.5;-15.2
56;Totaal afzetprijzen;B Winning van delfstoffen;2009 mei;95.8;-24.8;-5.2
57;Totaal afzetprijzen;B Winning van delfstoffen;2009 juni;93.0;-30.7;-2.9
58;Totaal afzetprijzen;B Winning van delfstoffen;2009 juli;86.1;-41.1;-7.4
59;Totaal afzetprijzen;B Winning van delfstoffen;2009 augustus;83.7;-43.7;-2.8
60;Totaal afzetprijzen;B Winning van delfstoffen;2009 september;83.9;-41.9;0.2
61;Totaal afzetprijzen;B Winning van delfstoffen;2009 oktober;88.0;-40.4;4.9
62;Totaal afzetprijzen;B Winning van delfstoffen;2009 november;91.0;-36.0;3.3
63;Totaal afzetprijzen;B Winning van delfstoffen;2009 december;90.5;-36.3;-0.5
64;Totaal afzetprijzen;B Winning van delfstoffen;2009;98.7;-25.4;
65;Totaal afzetprijzen;B Winning van delfstoffen;2010 januari;88.4;-30.9;-2.3
66;Totaal afzetprijzen;B Winning van delfstoffen;2010 februari;90.6;-27.2;2.4
67;Totaal afzetprijzen;B Winning van delfstoffen;2010 maart;92.0;-22.8;1.6
68;Totaal afzetprijzen;B Winning van delfstoffen;2010 april;94.1;-6.9;2.2
69;Totaal afzetprijzen;B Winning van delfstoffen;2010 mei;94.6;-1.2;0.6
70;Totaal afzetprijzen;B Winning van delfstoffen;2010 juni;100.0;7.5;5.6
71;Totaal afzetprijzen;B Winning van delfstoffen;2010 juli;108.2;25.7;8.3
72;Totaal afzetprijzen;B Winning van delfstoffen;2010 augustus;108.6;29.7;0.3
73;Totaal afzetprijzen;B Winning van delfstoffen;2010 september;106.0;26.3;-2.4
74;Totaal afzetprijzen;B Winning van delfstoffen;2010 oktober;105.3;19.6;-0.7
75;Totaal afzetprijzen;B Winning van delfstoffen;2010 november;107.7;18.3;2.3
76;Totaal afzetprijzen;B Winning van delfstoffen;2010 december;104.6;15.6;-2.8
77;Totaal afzetprijzen;B Winning van delfstoffen;2010;100.0;1.3;
78;Totaal afzetprijzen;B Winning van delfstoffen;2011 januari;110.8;25.2;5.9
79;Totaal afzetprijzen;B Winning van delfstoffen;2011 februari;111.1;22.7;0.3
80;Totaal afzetprijzen;B Winning van delfstoffen;2011 maart;111.8;21.5;0.6
81;Totaal afzetprijzen;B Winning van delfstoffen;2011 april;118.8;26.3;6.3
82;Totaal afzetprijzen;B Winning van delfstoffen;2011 mei;118.1;24.7;-0.6
83;Totaal afzetprijzen;B Winning van delfstoffen;2011 juni;119.6;19.6;1.3
84;Totaal afzetprijzen;B Winning van delfstoffen;2011 juli;120.7;11.6;1.0
85;Totaal afzetprijzen;B Winning van delfstoffen;2011 augustus;119.2;9.8;-1.3
86;Totaal afzetprijzen;B Winning van delfstoffen;2011 september;123.8;16.9;3.9
87;Totaal afzetprijzen;B Winning van delfstoffen;2011 oktober;131.9;25.3;6.5
88;Totaal afzetprijzen;B Winning van delfstoffen;2011 november;132.8;23.3;0.7
89;Totaal afzetprijzen;B Winning van delfstoffen;2011 december;132.5;26.6;-0.2
90;Totaal afzetprijzen;B Winning van delfstoffen;2011;120.9;20.9;
91;Totaal afzetprijzen;B Winning van delfstoffen;2012 januari;127.8;15.3;-3.6
92;Totaal afzetprijzen;B Winning van delfstoffen;2012 februari;128.1;15.3;0.3
93;Totaal afzetprijzen;B Winning van delfstoffen;2012 maart;129.0;15.4;0.6
94;Totaal afzetprijzen;B Winning van delfstoffen;2012 april;133.0;11.9;3.1
95;Totaal afzetprijzen;B Winning van delfstoffen;2012 mei;135.1;14.4;1.6
96;Totaal afzetprijzen;B Winning van delfstoffen;2012 juni;131.4;9.9;-2.7
97;Totaal afzetprijzen;B Winning van delfstoffen;2012 juli;130.5;8.1;-0.7
98;Totaal afzetprijzen;B Winning van delfstoffen;2012 augustus;132.8;11.5;1.8
99;Totaal afzetprijzen;B Winning van delfstoffen;2012 september;132.5;7.0;-0.2
100;Totaal afzetprijzen;B Winning van delfstoffen;2012 oktober;135.8;2.9;2.4
101;Totaal afzetprijzen;B Winning van delfstoffen;2012 november;141.2;6.3;4.0
102;Totaal afzetprijzen;B Winning van delfstoffen;2012 december;135.8;2.5;-3.8
103;Totaal afzetprijzen;B Winning van delfstoffen;2012;132.7;9.8;
104;Totaal afzetprijzen;B Winning van delfstoffen;2013 januari;132.9;4.0;-2.1
105;Totaal afzetprijzen;B Winning van delfstoffen;2013 februari;130.4;1.7;-1.9
106;Totaal afzetprijzen;B Winning van delfstoffen;2013 maart;130.6;1.3;0.2
107;Totaal afzetprijzen;B Winning van delfstoffen;2013 april;129.8;-2.4;-0.6
108;Totaal afzetprijzen;B Winning van delfstoffen;2013 mei;128.5;-4.9;-1.0
109;Totaal afzetprijzen;B Winning van delfstoffen;2013 juni;128.0;-2.6;-0.4
110;Totaal afzetprijzen;B Winning van delfstoffen;2013 juli;128.0;-1.9;0.0
111;Totaal afzetprijzen;B Winning van delfstoffen;2013 augustus;127.4;-4.1;-0.5
112;Totaal afzetprijzen;B Winning van delfstoffen;2013 september;126.2;-4.8;-1.0
113;Totaal afzetprijzen;B Winning van delfstoffen;2013 oktober;127.9;-5.8;1.3
114;Totaal afzetprijzen;B Winning van delfstoffen;2013 november;129.5;-8.3;1.3
115;Totaal afzetprijzen;B Winning van delfstoffen;2013 december;130.3;-4.1;0.6
116;Totaal afzetprijzen;B Winning van delfstoffen;2013;129.1;-2.7;
117;Totaal afzetprijzen;B Winning van delfstoffen;2014 januari;130.2;-2.1;-0.1
118;Totaal afzetprijzen;B Winning van delfstoffen;2014 februari;125.8;-3.5;-3.4
119;Totaal afzetprijzen;B Winning van delfstoffen;2014 maart;120.5;-7.7;-4.2
120;Totaal afzetprijzen;B Winning van delfstoffen;2014 april;113.3;-12.8;-6.0
121;Totaal afzetprijzen;B Winning van delfstoffen;2014 mei;107.7;-16.2;-4.9
122;Totaal afzetprijzen;B Winning van delfstoffen;2014 juni;105.9;-17.3;-1.7
123;Totaal afzetprijzen;B Winning van delfstoffen;2014 juli;101.1;-21.0;-4.5
124;Totaal afzetprijzen;B Winning van delfstoffen;2014 augustus;101.3;-20.5;0.2
125;Totaal afzetprijzen;B Winning van delfstoffen;2014 september;105.6;-16.3;4.3
126;Totaal afzetprijzen;B Winning van delfstoffen;2014 oktober;112.7;-11.9;6.7
127;Totaal afzetprijzen;B Winning van delfstoffen;2014 november;114.4;-11.6;1.5
128;Totaal afzetprijzen;B Winning van delfstoffen;2014 december;115.0;-11.8;0.5
129;Totaal afzetprijzen;B Winning van delfstoffen;2014;112.8;-12.7;
130;Totaal afzetprijzen;B Winning van delfstoffen;2015 januari;107.5;-17.4;-6.5
131;Totaal afzetprijzen;B Winning van delfstoffen;2015 februari;104.0;-17.3;-3.3
132;Totaal afzetprijzen;B Winning van delfstoffen;2015 maart;109.0;-9.6;4.8
133;Totaal afzetprijzen;B Winning van delfstoffen;2015 april;106.2;-6.2;-2.6
134;Totaal afzetprijzen;B Winning van delfstoffen;2015 mei;103.0;-4.4;-3.0
135;Totaal afzetprijzen;B Winning van delfstoffen;2015 juni;101.2;-4.4;-1.7
136;Totaal afzetprijzen;B Winning van delfstoffen;2015 juli;101.0;0.0;-0.2
137;Totaal afzetprijzen;B Winning van delfstoffen;2015 augustus;100.4;-0.9;-0.6
138;Totaal afzetprijzen;B Winning van delfstoffen;2015 september;101.3;-4.1;0.9
139;Totaal afzetprijzen;B Winning van delfstoffen;2015 oktober;94.3;-16.3;-6.9
140;Totaal afzetprijzen;B Winning van delfstoffen;2015 november;90.5;-20.9;-4.0
141;Totaal afzetprijzen;B Winning van delfstoffen;2015 december;87.9;-23.5;-2.8
142;Totaal afzetprijzen;B Winning van delfstoffen;2015;100.5;-10.9;
143;Totaal afzetprijzen;B Winning van delfstoffen;2016 januari;82.4;-23.4;-6.3
144;Totaal afzetprijzen;B Winning van delfstoffen;2016 februari;76.7;-26.3;-6.9
145;Totaal afzetprijzen;B Winning van delfstoffen;2016 maart;74.2;-31.9;-3.2
146;Totaal afzetprijzen;B Winning van delfstoffen;2016 april;64.8;-38.9;-12.6
147;Totaal afzetprijzen;B Winning van delfstoffen;2016 mei;69.1;-32.8;6.6
148;Totaal afzetprijzen;B Winning van delfstoffen;2016 juni;75.2;-25.7;8.8
149;Totaal afzetprijzen;B Winning van delfstoffen;2016 juli;78.2;-22.6;4.0
150;Totaal afzetprijzen;B Winning van delfstoffen;2016 augustus;76.9;-23.4;-1.7
151;Totaal afzetprijzen;B Winning van delfstoffen;2016 september;71.0;-29.9;-7.7
152;Totaal afzetprijzen;B Winning van delfstoffen;2016 oktober;70.2;-25.5;-1.0
153;Totaal afzetprijzen;B Winning van delfstoffen;2016 november;79.8;-11.8;13.6
154;Totaal afzetprijzen;B Winning van delfstoffen;2016 december;84.6;-3.8;6.1
155;Totaal afzetprijzen;B Winning van delfstoffen;2016;75.3;-25.1;
156;Totaal afzetprijzen;B Winning van delfstoffen;2017 januari;82.8;0.5;-2.2
157;Totaal afzetprijzen;B Winning van delfstoffen;2017 februari;88.6;15.6;7.1
158;Totaal afzetprijzen;B Winning van delfstoffen;2017 maart;93.8;26.4;5.9
159;Totaal afzetprijzen;B Winning van delfstoffen;2017 april;79.2;22.1;-15.6
160;Totaal afzetprijzen;B Winning van delfstoffen;2017 mei;79.4;14.8;0.3
161;Totaal afzetprijzen;B Winning van delfstoffen;2017 juni;81.3;8.1;2.4
162;Totaal afzetprijzen;B Winning van delfstoffen;2017 juli;78.8;0.7;-3.2
163;Totaal afzetprijzen;B Winning van delfstoffen;2017 augustus;75.3;-2.2;-4.5
164;Totaal afzetprijzen;B Winning van delfstoffen;2017 september;78.6;10.8;4.5
165;Totaal afzetprijzen;B Winning van delfstoffen;2017 oktober;83.3;18.6;6.0
166;Totaal afzetprijzen;B Winning van delfstoffen;2017 november;85.2;6.8;2.2
167;Totaal afzetprijzen;B Winning van delfstoffen;2017 december;89.2;5.4;4.7
168;Totaal afzetprijzen;B Winning van delfstoffen;2017;83.0;10.2;
169;Totaal afzetprijzen;05 Steenkool en bruinkool;2005 januari;;;
170;Totaal afzetprijzen;05 Steenkool en bruinkool;2005 februari;;;
171;Totaal afzetprijzen;05 Steenkool en bruinkool;2005 maart;;;
172;Totaal afzetprijzen;05 Steenkool en bruinkool;2005 april;;;
173;Totaal afzetprijzen;05 Steenkool en bruinkool;2005 mei;;;
174;Totaal afzetprijzen;05 Steenkool en bruinkool;2005 juni;;;
175;Totaal afzetprijzen;05 Steenkool en bruinkool;2005 juli;;;
176;Totaal afzetprijzen;05 Steenkool en bruinkool;2005 augustus;;;
177;Totaal afzetprijzen;05 Steenkool en bruinkool;2005 september;;;
178;Totaal afzetprijzen;05 Steenkool en bruinkool;2005 oktober;;;
179;Totaal afzetprijzen;05 Steenkool en bruinkool;2005 november;;;
180;Totaal afzetprijzen;05 Steenkool en bruinkool;2005 december;;;
181;Totaal afzetprijzen;05 Steenkool en bruinkool;2005;;;
182;Totaal afzetprijzen;05 Steenkool en bruinkool;2006 januari;;;
183;Totaal afzetprijzen;05 Steenkool en bruinkool;2006 februari;;;
184;Totaal afzetprijzen;05 Steenkool en bruinkool;2006 maart;;;
185;Totaal afzetprijzen;05 Steenkool en bruinkool;2006 april;;;
186;Totaal afzetprijzen;05 Steenkool en bruinkool;2006 mei;;;
187;Totaal afzetprijzen;05 Steenkool en bruinkool;2006 juni;;;
188;Totaal afzetprijzen;05 Steenkool en bruinkool;2006 juli;;;
189;Totaal afzetprijzen;05 Steenkool en bruinkool;2006 augustus;;;
190;Totaal afzetprijzen;05 Steenkool en bruinkool;2006 september;;;
191;Totaal afzetprijzen;05 Steenkool en bruinkool;2006 oktober;;;
192;Totaal afzetprijzen;05 Steenkool en bruinkool;2006 november;;;
193;Totaal afzetprijzen;05 Steenkool en bruinkool;2006 december;;;
194;Totaal afzetprijzen;05 Steenkool en bruinkool;2006;;;
195;Totaal afzetprijzen;05 Steenkool en bruinkool;2007 januari;;;
196;Totaal afzetprijzen;05 Steenkool en bruinkool;2007 februari;;;
197;Totaal afzetprijzen;05 Steenkool en bruinkool;2007 maart;;;
198;Totaal afzetprijzen;05 Steenkool en bruinkool;2007 april;;;
199;Totaal afzetprijzen;05 Steenkool en bruinkool;2007 mei;;;
200;Totaal afzetprijzen;05 Steenkool en bruinkool;2007 juni;;;
201;Totaal afzetprijzen;05 Steenkool en bruinkool;2007 juli;;;
202;Totaal afzetprijzen;05 Steenkool en bruinkool;2007 augustus;;;
203;Totaal afzetprijzen;05 Steenkool en bruinkool;2007 september;;;
204;Totaal afzetprijzen;05 Steenkool en bruinkool;2007 oktober;;;
205;Totaal afzetprijzen;05 Steenkool en bruinkool;2007 november;;;
206;Totaal afzetprijzen;05 Steenkool en bruinkool;2007 december;;;
207;Totaal afzetprijzen;05 Steenkool en bruinkool;2007;;;
208;Totaal afzetprijzen;05 Steenkool en bruinkool;2008 januari;;;
209;Totaal afzetprijzen;05 Steenkool en bruinkool;2008 februari;;;
210;Totaal afzetprijzen;05 Steenkool en bruinkool;2008 maart;;;
211;Totaal afzetprijzen;05 Steenkool en bruinkool;2008 april;;;
212;Totaal afzetprijzen;05 Steenkool en bruinkool;2008 mei;;;
213;Totaal afzetprijzen;05 Steenkool en bruinkool;2008 juni;;;
214;Totaal afzetprijzen;05 Steenkool en bruinkool;2008 juli;;;
215;Totaal afzetprijzen;05 Steenkool en bruinkool;2008 augustus;;;
216;Totaal afzetprijzen;05 Steenkool en bruinkool;2008 september;;;
217;Totaal afzetprijzen;05 Steenkool en bruinkool;2008 oktober;;;
218;Totaal afzetprijzen;05 Steenkool en bruinkool;2008 november;;;
219;Totaal afzetprijzen;05 Steenkool en bruinkool;2008 december;;;
220;Totaal afzetprijzen;05 Steenkool en bruinkool;2008;;;
221;Totaal afzetprijzen;05 Steenkool en bruinkool;2009 januari;;;
222;Totaal afzetprijzen;05 Steenkool en bruinkool;2009 februari;;;
223;Totaal afzetprijzen;05 Steenkool en bruinkool;2009 maart;;;
224;Totaal afzetprijzen;05 Steenkool en bruinkool;2009 april;;;
225;Totaal afzetprijzen;05 Steenkool en bruinkool;2009 mei;;;
226;Totaal afzetprijzen;05 Steenkool en bruinkool;2009 juni;;;
227;Totaal afzetprijzen;05 Steenkool en bruinkool;2009 juli;;;
228;Totaal afzetprijzen;05 Steenkool en bruinkool;2009 augustus;;;
229;Totaal afzetprijzen;05 Steenkool en bruinkool;2009 september;;;
230;Totaal afzetprijzen;05 Steenkool en bruinkool;2009 oktober;;;
231;Totaal afzetprijzen;05 Steenkool en bruinkool;2009 november;;;
232;Totaal afzetprijzen;05 Steenkool en bruinkool;2009 december;;;
233;Totaal afzetprijzen;05 Steenkool en bruinkool;2009;;;
234;Totaal afzetprijzen;05 Steenkool en bruinkool;2010 januari;;;
235;Totaal afzetprijzen;05 Steenkool en bruinkool;2010 februari;;;
236;Totaal afzetprijzen;05 Steenkool en bruinkool;2010 maart;;;
237;Totaal afzetprijzen;05 Steenkool en bruinkool;2010 april;;;
238;Totaal afzetprijzen;05 Steenkool en bruinkool;2010 mei;;;
239;Totaal afzetprijzen;05 Steenkool en bruinkool;2010 juni;;;
240;Totaal afzetprijzen;05 Steenkool en bruinkool;2010 juli;;;
241;Totaal afzetprijzen;05 Steenkool en bruinkool;2010 augustus;;;
242;Totaal afzetprijzen;05 Steenkool en bruinkool;2010 september;;;
243;Totaal afzetprijzen;05 Steenkool en bruinkool;2010 oktober;;;
244;Totaal afzetprijzen;05 Steenkool en bruinkool;2010 november;;;
245;Totaal afzetprijzen;05 Steenkool en bruinkool;2010 december;;;
246;Totaal afzetprijzen;05 Steenkool en bruinkool;2010;;;
247;Totaal afzetprijzen;05 Steenkool en bruinkool;2011 januari;;;
248;Totaal afzetprijzen;05 Steenkool en bruinkool;2011 februari;;;
249;Totaal afzetprijzen;05 Steenkool en bruinkool;2011 maart;;;
250;Totaal afzetprijzen;05 Steenkool en bruinkool;2011 april;;;
251;Totaal afzetprijzen;05 Steenkool en bruinkool;2011 mei;;;
252;Totaal afzetprijzen;05 Steenkool en bruinkool;2011 juni;;;
253;Totaal afzetprijzen;05 Steenkool en bruinkool;2011 juli;;;
254;Totaal afzetprijzen;05 Steenkool en bruinkool;2011 augustus;;;
255;Totaal afzetprijzen;05 Steenkool en bruinkool;2011 september;;;
256;Totaal afzetprijzen;05 Steenkool en bruinkool;2011 oktober;;;
257;Totaal afzetprijzen;05 Steenkool en bruinkool;2011 november;;;
258;Totaal afzetprijzen;05 Steenkool en bruinkool;2011 december;;;
259;Totaal afzetprijzen;05 Steenkool en bruinkool;2011;;;
260;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 januari;;;
261;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 februari;;;
262;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 maart;;;
263;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 april;;;
264;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 mei;;;
265;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 juni;;;
266;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 juli;;;
267;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 augustus;;;
268;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 september;;;
269;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 oktober;;;
270;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 november;;;
271;Totaal afzetprijzen;05 Steenkool en bruinkool;2012 december;;;
272;Totaal afzetprijzen;05 Steenkool en bruinkool;2012;;;
273;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 januari;;;
274;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 februari;;;
275;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 maart;;;
276;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 april;;;
277;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 mei;;;
278;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 juni;;;
279;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 juli;;;
280;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 augustus;;;
281;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 september;;;
282;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 oktober;;;
283;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 november;;;
284;Totaal afzetprijzen;05 Steenkool en bruinkool;2013 december;;;
285;Totaal afzetprijzen;05 Steenkool en bruinkool;2013;;;
286;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 januari;;;
287;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 februari;;;
288;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 maart;;;
289;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 april;;;
290;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 mei;;;
291;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 juni;;;
292;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 juli;;;
293;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 augustus;;;
294;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 september;;;
295;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 oktober;;;
296;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 november;;;
297;Totaal afzetprijzen;05 Steenkool en bruinkool;2014 december;;;
298;Totaal afzetprijzen;05 Steenkool en bruinkool;2014;;;
299;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 januari;;;
300;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 februari;;;
301;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 maart;;;
302;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 april;;;
303;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 mei;;;
304;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 juni;;;
305;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 juli;;;
306;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 augustus;;;
307;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 september;;;
308;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 oktober;;;
309;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 november;;;
310;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 december;;;
311;Totaal afzetprijzen;05 Steenkool en bruinkool;2015;;;
312;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 januari;;;
313;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 februari;;;
314;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 maart;;;
315;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 april;;;
316;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 mei;;;
317;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 juni;;;
318;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 juli;;;
319;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 augustus;;;
320;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 september;;;
321;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 oktober;;;
322;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 november;;;
323;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 december;;;
324;Totaal afzetprijzen;05 Steenkool en bruinkool;2016;;;
325;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 januari;;;
326;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 februari;;;
327;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 maart;;;
328;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 april;;;
329;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 mei;;;
330;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 juni;;;
331;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 juli;;;
332;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 augustus;;;
333;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 september;;;
334;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 oktober;;;
335;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 november;;;
336;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 december;;;
337;Totaal afzetprijzen;05 Steenkool en bruinkool;2017;;;
338;Totaal afzetprijzen;051 Steenkool;2005 januari;;;
339;Totaal afzetprijzen;051 Steenkool;2005 februari;;;
340;Totaal afzetprijzen;051 Steenkool;2005 maart;;;
341;Totaal afzetprijzen;051 Steenkool;2005 april;;;
342;Totaal afzetprijzen;051 Steenkool;2005 mei;;;
