ID;BedrijfstakkenBrancheSBI93;Perioden;VerwachteGroeiInvesteringen_1
79;DF Aardolie- en steenkoolverwerkende ..;2001 (voorjaarsenquête 2000);
80;DF Aardolie- en steenkoolverwerkende ..;2001 (najaarsenquête 2000);-24.0
81;DF Aardolie- en steenkoolverwerkende ..;2001 (voorjaarsenquête 2001);-31.0
82;DF Aardolie- en steenkoolverwerkende ..;2001 (najaarsenquête 2001);-44.0
83;DF Aardolie- en steenkoolverwerkende ..;2002 (voorjaarsenquête 2001);
84;DF Aardolie- en steenkoolverwerkende ..;2002 (najaarsenquête 2001);189.0
85;DF Aardolie- en steenkoolverwerkende ..;2002 (voorjaarsenquête 2002);105.0
86;DF Aardolie- en steenkoolverwerkende ..;2002 (najaarsenquête 2002);116.0
87;DF Aardolie- en steenkoolverwerkende ..;2003 (voorjaarsenquête 2002);
88;DF Aardolie- en steenkoolverwerkende ..;2003 (najaarsenquête 2002);10.0
89;DF Aardolie- en steenkoolverwerkende ..;2003 (voorjaarsenquête 2003);-18.0
90;DF Aardolie- en steenkoolverwerkende ..;2003 (najaarsenquête 2003);-33.0
91;DF Aardolie- en steenkoolverwerkende ..;2004 (voorjaarsenquête 2003);
92;DF Aardolie- en steenkoolverwerkende ..;2004 (najaarsenquête 2003);102.0
93;DF Aardolie- en steenkoolverwerkende ..;2004 (voorjaarsenquête 2004);31.0
94;DF Aardolie- en steenkoolverwerkende ..;2004 (najaarsenquête 2004);54.0
95;DF Aardolie- en steenkoolverwerkende ..;2005 (voorjaarsenquête 2004);
96;DF Aardolie- en steenkoolverwerkende ..;2005 (najaarsenquête 2004);-23.0
97;DF Aardolie- en steenkoolverwerkende ..;2005 (voorjaarsenquête 2005);53.0
98;DF Aardolie- en steenkoolverwerkende ..;2005 (najaarsenquête 2005);55.0
99;DF Aardolie- en steenkoolverwerkende ..;2006 (voorjaarsenquête 2005);
100;DF Aardolie- en steenkoolverwerkende ..;2006 (najaarsenquête 2005);0.0
101;DF Aardolie- en steenkoolverwerkende ..;2006 (voorjaarsenquête 2006);7.0
102;DF Aardolie- en steenkoolverwerkende ..;2006 (najaarsenquête 2006);24.0
103;DF Aardolie- en steenkoolverwerkende ..;2007 (najaarsenquête 2006);25.0
104;DF Aardolie- en steenkoolverwerkende ..;2007 (voorjaarsenquête 2007);13.0
105;DF Aardolie- en steenkoolverwerkende ..;2007 (najaarsenquête 2007);57.0
106;DF Aardolie- en steenkoolverwerkende ..;2008 (najaarsenquête 2007);8.0
107;DF Aardolie- en steenkoolverwerkende ..;2008 (voorjaarsenquête 2008);-32.0
108;DF Aardolie- en steenkoolverwerkende ..;2008 (najaarsenquête 2008);15.0
109;DF Aardolie- en steenkoolverwerkende ..;2009 (najaarsenquête 2008);-3.0
110;DF Aardolie- en steenkoolverwerkende ..;2009 (voorjaarsenquête 2009);-13.0
111;DF Aardolie- en steenkoolverwerkende ..;2009 (najaarsenquête 2009);-23.0
112;DF Aardolie- en steenkoolverwerkende ..;2010 (najaarsenquête 2009);
113;DF Aardolie- en steenkoolverwerkende ..;2010 (voorjaarsenquête 2010);38.0
114;DG Vervaardiging van chemische producten;2000 (najaarsenquête 1999);-21.0
115;DG Vervaardiging van chemische producten;2000 (voorjaarsenquête 2000);25.0
116;DG Vervaardiging van chemische producten;2000 (najaarsenquête 2000);15.0
117;DG Vervaardiging van chemische producten;2001 (voorjaarsenquête 2000);
118;DG Vervaardiging van chemische producten;2001 (najaarsenquête 2000);-2.0
119;DG Vervaardiging van chemische producten;2001 (voorjaarsenquête 2001);35.0
120;DG Vervaardiging van chemische producten;2001 (najaarsenquête 2001);33.0
121;DG Vervaardiging van chemische producten;2002 (voorjaarsenquête 2001);
122;DG Vervaardiging van chemische producten;2002 (najaarsenquête 2001);7.0
123;DG Vervaardiging van chemische producten;2002 (voorjaarsenquête 2002);76.0
124;DG Vervaardiging van chemische producten;2002 (najaarsenquête 2002);56.0
125;DG Vervaardiging van chemische producten;2003 (voorjaarsenquête 2002);
126;DG Vervaardiging van chemische producten;2003 (najaarsenquête 2002);5.0
127;DG Vervaardiging van chemische producten;2003 (voorjaarsenquête 2003);5.0
128;DG Vervaardiging van chemische producten;2003 (najaarsenquête 2003);6.0
129;DG Vervaardiging van chemische producten;2004 (voorjaarsenquête 2003);
130;DG Vervaardiging van chemische producten;2004 (najaarsenquête 2003);-29.0
131;DG Vervaardiging van chemische producten;2004 (voorjaarsenquête 2004);-37.0
132;DG Vervaardiging van chemische producten;2004 (najaarsenquête 2004);-43.0
133;DG Vervaardiging van chemische producten;2005 (voorjaarsenquête 2004);
134;DG Vervaardiging van chemische producten;2005 (najaarsenquête 2004);1.0
135;DG Vervaardiging van chemische producten;2005 (voorjaarsenquête 2005);17.0
136;DG Vervaardiging van chemische producten;2005 (najaarsenquête 2005);20.0
137;DG Vervaardiging van chemische producten;2006 (voorjaarsenquête 2005);
138;DG Vervaardiging van chemische producten;2006 (najaarsenquête 2005);0.0
139;DG Vervaardiging van chemische producten;2006 (voorjaarsenquête 2006);13.0
140;DG Vervaardiging van chemische producten;2006 (najaarsenquête 2006);11.0
141;DG Vervaardiging van chemische producten;2007 (najaarsenquête 2006);29.0
142;DG Vervaardiging van chemische producten;2007 (voorjaarsenquête 2007);7.0
143;DG Vervaardiging van chemische producten;2007 (najaarsenquête 2007);-4.0
144;DG Vervaardiging van chemische producten;2008 (najaarsenquête 2007);8.0
145;DG Vervaardiging van chemische producten;2008 (voorjaarsenquête 2008);42.0
146;DG Vervaardiging van chemische producten;2008 (najaarsenquête 2008);34.0
147;DG Vervaardiging van chemische producten;2009 (najaarsenquête 2008);2.0
148;DG Vervaardiging van chemische producten;2009 (voorjaarsenquête 2009);-6.0
149;DG Vervaardiging van chemische producten;2009 (najaarsenquête 2009);-7.0
150;DG Vervaardiging van chemische producten;2010 (najaarsenquête 2009);-16.0
151;DG Vervaardiging van chemische producten;2010 (voorjaarsenquête 2010);-1.0
152;1700b Industrie, geen food, chemie ..;2000 (najaarsenquête 1999);-1.0
153;1700b Industrie, geen food, chemie ..;2000 (voorjaarsenquête 2000);9.0
154;1700b Industrie, geen food, chemie ..;2000 (najaarsenquête 2000);0.0
155;1700b Industrie, geen food, chemie ..;2001 (voorjaarsenquête 2000);
156;1700b Industrie, geen food, chemie ..;2001 (najaarsenquête 2000);16.0
157;1700b Industrie, geen food, chemie ..;2001 (voorjaarsenquête 2001);25.0
158;1700b Industrie, geen food, chemie ..;2001 (najaarsenquête 2001);7.0
159;1700b Industrie, geen food, chemie ..;2002 (voorjaarsenquête 2001);
160;1700b Industrie, geen food, chemie ..;2002 (najaarsenquête 2001);17.0
161;1700b Industrie, geen food, chemie ..;2002 (voorjaarsenquête 2002);11.0
162;1700b Industrie, geen food, chemie ..;2002 (najaarsenquête 2002);-1.0
163;1700b Industrie, geen food, chemie ..;2003 (voorjaarsenquête 2002);
164;1700b Industrie, geen food, chemie ..;2003 (najaarsenquête 2002);-16.0
165;1700b Industrie, geen food, chemie ..;2003 (voorjaarsenquête 2003);-11.0
166;1700b Industrie, geen food, chemie ..;2003 (najaarsenquête 2003);-18.0
167;1700b Industrie, geen food, chemie ..;2004 (voorjaarsenquête 2003);
168;1700b Industrie, geen food, chemie ..;2004 (najaarsenquête 2003);11.0
169;1700b Industrie, geen food, chemie ..;2004 (voorjaarsenquête 2004);14.0
170;1700b Industrie, geen food, chemie ..;2004 (najaarsenquête 2004);-3.0
171;1700b Industrie, geen food, chemie ..;2005 (voorjaarsenquête 2004);
172;1700b Industrie, geen food, chemie ..;2005 (najaarsenquête 2004);16.0
173;1700b Industrie, geen food, chemie ..;2005 (voorjaarsenquête 2005);18.0
174;1700b Industrie, geen food, chemie ..;2005 (najaarsenquête 2005);11.0
175;1700b Industrie, geen food, chemie ..;2006 (voorjaarsenquête 2005);
176;1700b Industrie, geen food, chemie ..;2006 (najaarsenquête 2005);-8.0
177;1700b Industrie, geen food, chemie ..;2006 (voorjaarsenquête 2006);8.0
178;1700b Industrie, geen food, chemie ..;2006 (najaarsenquête 2006);-7.0
179;1700b Industrie, geen food, chemie ..;2007 (najaarsenquête 2006);3.0
180;1700b Industrie, geen food, chemie ..;2007 (voorjaarsenquête 2007);10.0
181;1700b Industrie, geen food, chemie ..;2007 (najaarsenquête 2007);-5.0
182;1700b Industrie, geen food, chemie ..;2008 (najaarsenquête 2007);9.0
183;1700b Industrie, geen food, chemie ..;2008 (voorjaarsenquête 2008);3.0
184;1700b Industrie, geen food, chemie ..;2008 (najaarsenquête 2008);-6.0
185;1700b Industrie, geen food, chemie ..;2009 (najaarsenquête 2008);5.0
186;1700b Industrie, geen food, chemie ..;2009 (voorjaarsenquête 2009);-7.0
187;1700b Industrie, geen food, chemie ..;2009 (najaarsenquête 2009);-18.0
188;1700b Industrie, geen food, chemie ..;2010 (najaarsenquête 2009);
189;1700b Industrie, geen food, chemie ..;2010 (voorjaarsenquête 2010);-4.0
190;2700b Metaal(producten), machine- en ..;2000 (najaarsenquête 1999);17.0
191;2700b Metaal(producten), machine- en ..;2000 (voorjaarsenquête 2000);30.0
192;2700b Metaal(producten), machine- en ..;2000 (najaarsenquête 2000);21.0
193;2700b Metaal(producten), machine- en ..;2001 (voorjaarsenquête 2000);
194;2700b Metaal(producten), machine- en ..;2001 (najaarsenquête 2000);-3.0
195;2700b Metaal(producten), machine- en ..;2001 (voorjaarsenquête 2001);-1.0
196;2700b Metaal(producten), machine- en ..;2001 (najaarsenquête 2001);-30.0
197;2700b Metaal(producten), machine- en ..;2002 (voorjaarsenquête 2001);
198;2700b Metaal(producten), machine- en ..;2002 (najaarsenquête 2001);3.0
199;2700b Metaal(producten), machine- en ..;2002 (voorjaarsenquête 2002);-4.0
200;2700b Metaal(producten), machine- en ..;2002 (najaarsenquête 2002);-18.0
201;2700b Metaal(producten), machine- en ..;2003 (voorjaarsenquête 2002);
202;2700b Metaal(producten), machine- en ..;2003 (najaarsenquête 2002);14.0
203;2700b Metaal(producten), machine- en ..;2003 (voorjaarsenquête 2003);24.0
204;2700b Metaal(producten), machine- en ..;2003 (najaarsenquête 2003);12.0
205;2700b Metaal(producten), machine- en ..;2004 (voorjaarsenquête 2003);
206;2700b Metaal(producten), machine- en ..;2004 (najaarsenquête 2003);-12.0
207;2700b Metaal(producten), machine- en ..;2004 (voorjaarsenquête 2004);23.0
208;2700b Metaal(producten), machine- en ..;2004 (najaarsenquête 2004);-10.0
209;2700b Metaal(producten), machine- en ..;2005 (voorjaarsenquête 2004);
210;2700b Metaal(producten), machine- en ..;2005 (najaarsenquête 2004);20.0
211;2700b Metaal(producten), machine- en ..;2005 (voorjaarsenquête 2005);34.0
212;2700b Metaal(producten), machine- en ..;2005 (najaarsenquête 2005);16.0
213;2700b Metaal(producten), machine- en ..;2006 (voorjaarsenquête 2005);
214;2700b Metaal(producten), machine- en ..;2006 (najaarsenquête 2005);12.0
215;2700b Metaal(producten), machine- en ..;2006 (voorjaarsenquête 2006);26.0
216;2700b Metaal(producten), machine- en ..;2006 (najaarsenquête 2006);15.0
217;2700b Metaal(producten), machine- en ..;2007 (najaarsenquête 2006);10.0
218;2700b Metaal(producten), machine- en ..;2007 (voorjaarsenquête 2007);35.0
219;2700b Metaal(producten), machine- en ..;2007 (najaarsenquête 2007);18.0
220;2700b Metaal(producten), machine- en ..;2008 (najaarsenquête 2007);2.0
221;2700b Metaal(producten), machine- en ..;2008 (voorjaarsenquête 2008);17.0
222;2700b Metaal(producten), machine- en ..;2008 (najaarsenquête 2008);-16.0
223;2700b Metaal(producten), machine- en ..;2009 (najaarsenquête 2008);1.0
224;2700b Metaal(producten), machine- en ..;2009 (voorjaarsenquête 2009);-14.0
225;2700b Metaal(producten), machine- en ..;2009 (najaarsenquête 2009);-5.0
226;2700b Metaal(producten), machine- en ..;2010 (najaarsenquête 2009);-22.0
227;2700b Metaal(producten), machine- en ..;2010 (voorjaarsenquête 2010);-13.0
