ID;EconomicActivityNCEA2008;Periods;TotalNumberOfEnterprises_1;k_1PersonEmployed_2;k_2PersonsEmployed_3;k_3To5PersonsEmployed_4;k_5To10PersonsEmployed_5;k_10To20PersonsEmployed_6;k_20To50PersonsEmployed_7;k_50To100PersonsEmployed_8;k_100PersonsEmployedOrMore_9;PrivateLegalForms_10;PublicLegalForms_11
628;1393 Manufacture of carpets and rugs;2009;70;15;10;10;10;5;10;5;10;25;45
629;1393 Manufacture of carpets and rugs;2010;65;10;10;5;10;5;10;5;10;20;45
630;1394 Manufacture of cordage, rope, twine;2006;35;15;5;5;10;5;0;0;0;20;10
631;1394 Manufacture of cordage, rope, twine;2007;35;10;5;0;5;5;0;0;0;20;15
632;1394 Manufacture of cordage, rope, twine;2008;30;10;0;0;10;5;5;0;0;15;15
633;1394 Manufacture of cordage, rope, twine;2009;30;15;5;0;10;0;5;0;0;20;10
634;1394 Manufacture of cordage, rope, twine;2010;30;15;0;0;10;0;0;0;0;20;10
635;1395 Manufacture of non-wovens;2006;10;0;0;0;0;0;5;0;5;0;10
636;1395 Manufacture of non-wovens;2007;15;0;0;0;0;0;5;0;5;0;15
637;1395 Manufacture of non-wovens;2008;10;5;0;0;0;5;0;0;5;0;10
638;1395 Manufacture of non-wovens;2009;10;0;0;0;0;0;0;0;5;0;10
639;1395 Manufacture of non-wovens;2010;15;0;0;0;0;0;0;0;5;0;15
640;1396 Manufacture of technical textiles;2006;10;0;0;0;0;5;0;0;0;0;5
641;1396 Manufacture of technical textiles;2007;5;0;0;0;0;0;0;0;0;0;5
642;1396 Manufacture of technical textiles;2008;5;0;0;0;0;0;5;0;0;0;5
643;1396 Manufacture of technical textiles;2009;5;0;0;0;0;0;5;0;0;0;5
644;1396 Manufacture of technical textiles;2010;5;0;0;0;0;0;5;0;0;0;5
645;1399 Manufacture of other textiles n.e.c;2006;135;95;20;5;5;5;5;0;0;110;20
646;1399 Manufacture of other textiles n.e.c;2007;160;120;15;10;5;5;5;0;0;135;25
647;1399 Manufacture of other textiles n.e.c;2008;205;155;20;10;5;5;5;5;0;175;30
648;1399 Manufacture of other textiles n.e.c;2009;250;195;25;10;5;5;5;5;0;220;30
649;1399 Manufacture of other textiles n.e.c;2010;275;220;25;10;5;5;5;5;0;245;30
650;14 Manufacture of wearing apparel;2006;1310;840;255;85;55;40;25;0;0;1095;210
651;14 Manufacture of wearing apparel;2007;1345;930;190;85;65;45;25;0;0;1135;210
652;14 Manufacture of wearing apparel;2008;1340;985;170;70;55;45;20;0;0;1130;210
653;14 Manufacture of wearing apparel;2009;1385;1020;175;70;60;35;20;0;0;1175;205
654;14 Manufacture of wearing apparel;2010;1360;1000;185;70;55;30;15;0;0;1155;205
655;141 Manufacture of apparel (no fur);2006;1260;820;245;80;55;35;25;0;0;1060;200
656;141 Manufacture of apparel (no fur);2007;1295;910;180;80;60;40;25;0;0;1100;200
657;141 Manufacture of apparel (no fur);2008;1300;965;160;65;50;40;15;0;0;1100;200
658;141 Manufacture of apparel (no fur);2009;1345;1000;165;65;60;35;20;0;0;1145;195
659;141 Manufacture of apparel (no fur);2010;1320;975;180;65;55;30;15;0;0;1130;195
660;1411 Manufacture of leather clothes;2006;30;15;10;0;0;0;0;0;0;25;0
661;1411 Manufacture of leather clothes;2007;30;20;10;0;0;0;0;0;0;25;5
662;1411 Manufacture of leather clothes;2008;30;20;5;0;0;0;0;0;0;25;5
663;1411 Manufacture of leather clothes;2009;30;20;10;0;0;0;0;0;0;25;5
664;1411 Manufacture of leather clothes;2010;25;15;10;0;0;0;0;0;0;20;5
665;1412 Manufacture of work wear;2006;60;20;10;10;10;5;0;0;0;30;35
666;1412 Manufacture of work wear;2007;60;25;10;10;10;5;0;0;0;30;30
667;1412 Manufacture of work wear;2008;65;30;10;5;10;5;0;0;0;35;30
668;1412 Manufacture of work wear;2009;60;30;10;10;10;5;0;0;0;30;30
669;1412 Manufacture of work wear;2010;60;25;10;10;10;5;0;0;0;25;35
670;1413 Manufacture of other outerwear;2006;965;660;190;50;30;25;15;0;0;855;115
671;1413 Manufacture of other outerwear;2007;990;725;135;50;35;25;15;0;0;870;115
672;1413 Manufacture of other outerwear;2008;990;770;120;40;25;25;10;0;0;870;120
673;1413 Manufacture of other outerwear;2009;1030;800;125;40;35;20;10;0;0;920;110
674;1413 Manufacture of other outerwear;2010;1020;785;135;40;35;15;5;0;0;910;110
675;1414 Manufacture of underwear;2006;25;15;0;5;0;5;0;0;0;15;10
676;1414 Manufacture of underwear;2007;30;20;0;0;5;5;0;0;0;20;10
677;1414 Manufacture of underwear;2008;25;20;0;0;0;0;0;0;0;20;10
678;1414 Manufacture of underwear;2009;25;20;0;0;0;0;0;0;0;20;10
679;1414 Manufacture of underwear;2010;20;15;0;0;0;0;0;0;0;15;5
680;1419 Manufacture of other clothing;2006;175;105;35;15;10;5;5;0;0;135;40
681;1419 Manufacture of other clothing;2007;190;120;25;15;15;5;5;0;0;150;40
682;1419 Manufacture of other clothing;2008;190;130;25;10;10;10;5;0;0;150;35
683;1419 Manufacture of other clothing;2009;195;135;25;10;10;5;5;0;0;150;40
684;1419 Manufacture of other clothing;2010;195;135;25;15;10;5;5;0;0;155;45
685;142 Manufacture of articles of fur;2006;5;5;0;0;0;0;0;0;0;5;0
686;142 Manufacture of articles of fur;2007;5;5;0;0;0;0;0;0;0;5;0
687;142 Manufacture of articles of fur;2008;5;5;0;0;0;0;0;0;0;5;0
688;142 Manufacture of articles of fur;2009;5;5;0;0;0;0;0;0;0;5;0
689;142 Manufacture of articles of fur;2010;5;5;0;0;0;0;0;0;0;5;0
690;1420 Manufacture of articles of fur;2006;5;5;0;0;0;0;0;0;0;5;0
691;1420 Manufacture of articles of fur;2007;5;5;0;0;0;0;0;0;0;5;0
692;1420 Manufacture of articles of fur;2008;5;5;0;0;0;0;0;0;0;5;0
693;1420 Manufacture of articles of fur;2009;5;5;0;0;0;0;0;0;0;5;0
694;1420 Manufacture of articles of fur;2010;5;5;0;0;0;0;0;0;0;5;0
695;143 Knitting and crocheting apparel;2006;45;20;10;5;5;5;0;0;0;30;15
696;143 Knitting and crocheting apparel;2007;40;20;10;10;5;5;0;0;0;30;10
697;143 Knitting and crocheting apparel;2008;35;15;5;5;5;0;0;0;0;25;10
698;143 Knitting and crocheting apparel;2009;35;15;5;5;0;0;0;0;0;25;10
699;143 Knitting and crocheting apparel;2010;35;15;5;5;0;0;0;0;0;25;10
700;1431 Knitting and crocheting hosiery;2006;5;5;0;0;0;0;0;0;0;5;5
701;1431 Knitting and crocheting hosiery;2007;10;5;0;0;0;0;0;0;0;5;5
702;1431 Knitting and crocheting hosiery;2008;5;5;0;0;0;0;0;0;0;5;0
703;1431 Knitting and crocheting hosiery;2009;5;5;0;0;0;0;0;0;0;5;0
704;1431 Knitting and crocheting hosiery;2010;5;5;0;0;0;0;0;0;0;5;0
705;1439 Knitting, crocheting other apparel;2006;35;15;10;5;0;5;0;0;0;25;10
706;1439 Knitting, crocheting other apparel;2007;35;15;5;5;0;5;0;0;0;25;10
707;1439 Knitting, crocheting other apparel;2008;30;10;5;5;5;0;0;0;0;20;10
708;1439 Knitting, crocheting other apparel;2009;30;15;5;5;0;0;0;0;0;20;10
709;1439 Knitting, crocheting other apparel;2010;30;15;5;5;0;0;0;0;0;20;10
710;15 Manufacture of leather and footwear;2006;310;125;75;35;30;20;10;0;5;195;110
711;15 Manufacture of leather and footwear;2007;310;140;55;40;35;25;10;0;5;200;115
712;15 Manufacture of leather and footwear;2008;300;140;55;30;35;25;5;0;5;185;115
713;15 Manufacture of leather and footwear;2009;310;150;60;30;30;20;10;5;5;195;115
714;15 Manufacture of leather and footwear;2010;315;160;55;30;30;20;10;5;5;200;115
715;151 Manufacture of leather products;2006;200;85;50;20;20;15;5;0;0;135;65
716;151 Manufacture of leather products;2007;205;95;35;25;25;15;5;0;0;140;65
717;151 Manufacture of leather products;2008;200;95;40;20;25;15;5;0;0;135;70
718;151 Manufacture of leather products;2009;210;105;40;20;20;15;5;0;0;140;70
719;151 Manufacture of leather products;2010;215;115;35;20;20;15;5;0;0;145;70
720;1511 Tanning and dressing of leather;2006;40;10;10;5;5;5;0;0;0;15;25
721;1511 Tanning and dressing of leather;2007;40;10;10;5;5;5;5;0;0;15;25
722;1511 Tanning and dressing of leather;2008;35;15;5;5;5;5;0;0;0;10;25
723;1511 Tanning and dressing of leather;2009;40;15;5;0;5;5;5;0;0;15;25
724;1511 Tanning and dressing of leather;2010;40;15;5;0;5;5;5;0;0;15;25
725;1512 Manufacture of luggage, handbags;2006;165;75;45;15;15;10;5;0;0;120;40
726;1512 Manufacture of luggage, handbags;2007;170;85;30;20;20;10;5;0;0;125;40
727;1512 Manufacture of luggage, handbags;2008;165;80;35;15;20;10;0;0;0;120;45
728;1512 Manufacture of luggage, handbags;2009;170;90;35;20;15;10;5;0;0;130;45
729;1512 Manufacture of luggage, handbags;2010;175;100;30;20;15;10;5;0;0;130;45
730;152 Manufacture of footwear;2006;105;40;25;15;10;5;5;0;5;60;45
731;152 Manufacture of footwear;2007;105;45;15;15;10;10;0;0;0;60;45
732;152 Manufacture of footwear;2008;100;45;15;15;10;5;0;0;0;55;45
733;152 Manufacture of footwear;2009;100;45;20;10;10;5;0;5;0;55;45
734;152 Manufacture of footwear;2010;100;45;20;10;10;5;0;5;0;55;45
735;1520 Manufacture of footwear;2006;105;40;25;15;10;5;5;0;5;60;45
736;1520 Manufacture of footwear;2007;105;45;15;15;10;10;0;0;0;60;45
737;1520 Manufacture of footwear;2008;100;45;15;15;10;5;0;0;0;55;45
738;1520 Manufacture of footwear;2009;100;45;20;10;10;5;0;5;0;55;45
739;1520 Manufacture of footwear;2010;100;45;20;10;10;5;0;5;0;55;45
740;16 Manufacture of wood products;2006;1830;655;405;200;210;155;135;45;25;1120;710
741;16 Manufacture of wood products;2007;1880;735;325;200;230;165;155;45;25;1160;720
742;16 Manufacture of wood products;2008;1910;800;300;225;215;165;130;55;20;1175;735
743;16 Manufacture of wood products;2009;1960;830;330;205;215;160;150;45;30;1220;740
744;16 Manufacture of wood products;2010;1935;855;320;195;205;150;140;50;25;1200;735
745;161 Sawmilling and planing of wood;2006;200;75;40;30;30;15;10;0;0;100;100
746;161 Sawmilling and planing of wood;2007;215;80;40;25;35;20;15;5;0;110;105
747;161 Sawmilling and planing of wood;2008;220;90;30;30;35;20;5;5;0;115;105
748;161 Sawmilling and planing of wood;2009;225;90;40;25;35;15;10;5;0;120;105
749;161 Sawmilling and planing of wood;2010;225;90;40;25;35;15;10;5;0;115;110
750;16101 Sawmilling and planing of wood;2006;155;60;35;20;20;15;5;0;0;85;70
751;16101 Sawmilling and planing of wood;2007;165;60;30;20;25;15;10;5;0;90;70
752;16101 Sawmilling and planing of wood;2008;170;75;25;20;30;15;5;5;0;95;70
753;16101 Sawmilling and planing of wood;2009;170;70;30;20;25;10;10;5;0;100;70
754;16101 Sawmilling and planing of wood;2010;165;65;30;15;25;10;5;5;0;95;65
755;16102 Impregnation of wood;2006;45;15;5;10;10;5;5;0;0;15;30
756;16102 Impregnation of wood;2007;50;15;10;10;10;5;5;0;0;20;35
757;16102 Impregnation of wood;2008;50;20;5;10;10;5;0;0;0;15;35
758;16102 Impregnation of wood;2009;55;20;10;5;10;5;5;0;0;20;35
759;16102 Impregnation of wood;2010;60;25;10;5;10;5;5;0;0;20;40
760;162 Manufacture of products of wood;2006;1630;585;365;170;180;140;125;45;25;1020;610
761;162 Manufacture of products of wood;2007;1665;660;285;175;195;145;140;45;25;1050;615
762;162 Manufacture of products of wood;2008;1690;705;270;195;175;145;125;50;20;1060;630
763;162 Manufacture of products of wood;2009;1735;740;285;180;180;140;135;40;25;1100;635
764;162 Manufacture of products of wood;2010;1710;765;280;170;170;135;130;45;25;1085;625
765;1621 Manufacture of veneer sheets;2006;25;0;5;5;5;5;5;0;0;10;15
766;1621 Manufacture of veneer sheets;2007;25;5;5;5;5;0;5;0;0;10;15
767;1621 Manufacture of veneer sheets;2008;20;5;5;5;0;0;5;0;0;10;15
768;1621 Manufacture of veneer sheets;2009;25;5;5;5;0;5;5;0;0;10;15
769;1621 Manufacture of veneer sheets;2010;25;5;5;5;0;0;5;0;0;10;15
770;1622 Manufacture of panels for parquet;2006;85;15;15;10;10;15;15;10;0;25;65
771;1622 Manufacture of panels for parquet;2007;90;15;10;10;15;15;15;10;5;25;65
772;1622 Manufacture of panels for parquet;2008;90;20;5;5;15;15;15;10;5;20;70
773;1622 Manufacture of panels for parquet;2009;90;20;5;10;10;15;15;5;5;20;70
774;1622 Manufacture of panels for parquet;2010;90;20;5;10;10;15;15;5;5;20;70
775;16231 Manufacture of wooden windows etc.;2006;715;215;150;75;95;70;70;20;15;410;300
776;16231 Manufacture of wooden windows etc.;2007;720;235;110;80;100;75;85;20;10;415;300
777;16231 Manufacture of wooden windows etc.;2008;730;260;100;95;85;80;75;25;10;425;305
778;16231 Manufacture of wooden windows etc.;2009;755;285;105;85;95;70;80;20;15;445;310
779;16231 Manufacture of wooden windows etc.;2010;735;290;110;80;90;65;75;20;10;430;305
780;16239 Manufacture of other carpentry;2006;195;70;40;25;20;15;10;5;5;120;80
781;16239 Manufacture of other carpentry;2007;220;95;40;20;25;20;10;5;5;135;85
782;16239 Manufacture of other carpentry;2008;245;115;40;30;25;10;10;5;0;150;95
783;16239 Manufacture of other carpentry;2009;270;130;50;30;25;15;10;5;5;175;95
784;16239 Manufacture of other carpentry;2010;275;135;50;25;25;15;15;5;5;175;100
785;1624 Manufacture of wooden containers;2006;140;35;20;10;25;20;15;5;5;60;80
786;1624 Manufacture of wooden containers;2007;140;40;15;20;25;20;15;5;0;65;80
787;1624 Manufacture of wooden containers;2008;145;35;25;20;20;25;15;10;0;65;80
788;1624 Manufacture of wooden containers;2009;135;40;15;20;20;20;20;5;0;55;80
789;1624 Manufacture of wooden containers;2010;130;40;10;20;15;20;15;5;0;50;75
790;1629 Manufacture other wooden products;2006;465;240;130;45;25;15;10;5;0;395;70
791;1629 Manufacture other wooden products;2007;475;265;110;40;25;20;10;5;0;400;70
792;1629 Manufacture other wooden products;2008;460;275;95;35;30;15;5;5;0;395;70
793;1629 Manufacture other wooden products;2009;460;270;105;35;25;15;10;5;0;395;65
794;1629 Manufacture other wooden products;2010;460;280;100;30;25;15;5;5;0;395;60
795;17 Manufacture of paper;2006;425;75;40;40;45;50;65;45;65;85;340
796;17 Manufacture of paper;2007;420;80;25;45;50;45;65;45;70;85;335
797;17 Manufacture of paper;2008;405;80;30;45;40;50;65;40;55;85;320
798;17 Manufacture of paper;2009;400;85;25;35;40;45;60;50;55;80;320
799;17 Manufacture of paper;2010;350;70;25;35;35;40;55;45;55;70;285
800;171 Manufacture of pulp, paper,  -board;2006;100;25;10;10;10;10;5;5;20;20;80
801;171 Manufacture of pulp, paper,  -board;2007;100;25;5;10;15;15;5;5;20;20;80
802;171 Manufacture of pulp, paper,  -board;2008;95;25;10;15;15;10;5;5;15;15;75
803;171 Manufacture of pulp, paper,  -board;2009;95;25;10;10;15;10;5;5;15;20;75
804;171 Manufacture of pulp, paper,  -board;2010;30;5;0;5;0;0;0;5;15;0;30
805;1711 Manufacture of pulp;2006;10;5;0;5;0;0;0;0;0;5;5
806;1711 Manufacture of pulp;2007;10;5;0;0;5;0;0;0;0;5;5
807;1711 Manufacture of pulp;2008;10;5;0;5;0;0;0;0;0;5;5
808;1711 Manufacture of pulp;2009;10;5;0;0;0;0;0;0;0;5;10
809;1711 Manufacture of pulp;2010;5;0;0;0;0;0;0;0;0;0;5
810;17121 Manufacturing of printing paper;2006;25;0;5;5;5;5;0;0;10;5;25
811;17121 Manufacturing of printing paper;2007;25;0;0;5;5;5;0;0;10;0;25
812;17121 Manufacturing of printing paper;2008;30;0;5;5;5;5;0;0;10;5;30
813;17121 Manufacturing of printing paper;2009;30;5;5;5;5;5;0;0;5;5;25
814;17121 Manufacturing of printing paper;2010;15;0;0;0;0;0;0;0;5;0;10
815;17122 Manufacture of paper for packaging;2006;30;10;0;0;5;5;0;0;10;0;25
816;17122 Manufacture of paper for packaging;2007;30;10;0;5;5;5;0;0;10;5;25
817;17122 Manufacture of paper for packaging;2008;25;10;0;0;5;5;0;0;5;5;25
818;17122 Manufacture of paper for packaging;2009;25;10;0;0;5;5;0;0;5;0;25
819;17122 Manufacture of paper for packaging;2010;10;0;0;0;0;0;0;0;5;0;10
820;17129 Manufacturing other paper(board);2006;30;10;5;5;0;0;5;0;0;10;20
821;17129 Manufacturing other paper(board);2007;30;15;0;5;5;0;0;5;0;10;20
822;17129 Manufacturing other paper(board);2008;25;10;5;5;5;0;0;0;0;5;20
823;17129 Manufacturing other paper(board);2009;25;10;0;5;5;0;0;0;0;10;20
824;17129 Manufacturing other paper(board);2010;5;0;0;0;0;0;0;0;0;0;5
825;172 Manufacture of articles of paper;2006;325;50;30;30;35;40;60;40;45;65;260
826;172 Manufacture of articles of paper;2007;320;50;20;30;35;30;65;40;50;65;255
827;172 Manufacture of articles of paper;2008;310;55;20;30;25;40;60;35;40;70;245
828;172 Manufacture of articles of paper;2009;305;60;15;25;25;35;55;45;40;65;240
829;172 Manufacture of articles of paper;2010;320;65;20;30;30;35;55;40;40;65;255
830;17211 Manufacture paperboard containers;2006;160;25;10;15;15;25;30;15;20;30;130
831;17211 Manufacture paperboard containers;2007;165;25;10;20;20;15;35;15;20;35;130
832;17211 Manufacture paperboard containers;2008;155;25;10;15;15;20;35;15;15;30;120
833;17211 Manufacture paperboard containers;2009;145;25;10;10;15;20;30;15;20;25;120
834;17211 Manufacture paperboard containers;2010;150;30;10;15;20;20;25;15;20;25;125
835;17212 Manufacture corrugated paperboard;2006;25;0;0;0;5;0;10;5;5;0;25
836;17212 Manufacture corrugated paperboard;2007;25;0;0;0;0;0;10;5;5;0;25
837;17212 Manufacture corrugated paperboard;2008;25;0;0;0;5;0;5;5;5;0;20
838;17212 Manufacture corrugated paperboard;2009;25;0;0;0;0;5;5;5;5;0;25
839;17212 Manufacture corrugated paperboard;2010;25;0;0;0;0;5;5;5;5;0;25
840;1722 Manufacture of household paper;2006;15;0;0;5;0;0;0;0;5;0;15
841;1722 Manufacture of household paper;2007;10;0;0;0;0;5;0;0;5;0;10
842;1722 Manufacture of household paper;2008;10;0;0;0;0;5;0;0;5;0;10
843;1722 Manufacture of household paper;2009;10;5;0;0;0;5;0;0;5;0;10
844;1722 Manufacture of household paper;2010;15;0;0;5;0;5;0;0;5;0;10
845;1723 Manufacture of paper stationery;2006;35;5;5;5;5;5;0;5;5;10;25
846;1723 Manufacture of paper stationery;2007;30;5;5;5;5;0;5;5;5;10;25
847;1723 Manufacture of paper stationery;2008;30;5;5;5;0;5;0;5;5;10;25
848;1723 Manufacture of paper stationery;2009;30;5;0;5;0;5;0;5;5;5;25
849;1723 Manufacture of paper stationery;2010;30;5;5;5;0;5;0;5;5;10;25
850;1724 Manufacture of wallpaper;2006;5;0;0;0;0;0;0;0;0;0;5
851;1724 Manufacture of wallpaper;2007;5;0;0;0;0;0;0;0;0;0;5
852;1724 Manufacture of wallpaper;2008;5;0;0;5;0;0;0;0;0;0;5
853;1724 Manufacture of wallpaper;2009;5;0;0;0;0;0;0;0;0;0;5
854;1724 Manufacture of wallpaper;2010;5;0;0;0;0;0;0;0;0;0;5
855;1729 Manufacture of other paper products;2006;85;15;15;5;10;10;20;15;5;25;65
856;1729 Manufacture of other paper products;2007;85;15;5;5;5;10;15;15;10;25;60
857;1729 Manufacture of other paper products;2008;85;20;10;5;5;10;20;15;5;30;60
858;1729 Manufacture of other paper products;2009;85;20;5;5;10;5;15;20;5;30;60
859;1729 Manufacture of other paper products;2010;95;25;5;5;10;5;20;15;5;30;65
860;18 Printing and reproduction;2006;3885;1215;830;545;505;365;300;70;45;2220;1660
861;18 Printing and reproduction;2007;3860;1305;630;555;555;390;295;75;45;2210;1645
862;18 Printing and reproduction;2008;3850;1435;630;505;530;365;270;75;35;2190;1660
863;18 Printing and reproduction;2009;3915;1510;645;490;530;365;255;75;40;2285;1630
864;18 Printing and reproduction;2010;3820;1505;635;480;510;350;235;65;35;2245;1575
865;181 Printing and services for printing;2006;3680;1085;795;535;500;365;295;70;45;2070;1610
866;181 Printing and services for printing;2007;3640;1160;600;540;545;385;290;70;45;2045;1595
867;181 Printing and services for printing;2008;3595;1255;600;490;520;360;265;70;35;1990;1605
868;181 Printing and services for printing;2009;3620;1310;605;470;515;360;255;70;40;2055;1565
869;181 Printing and services for printing;2010;3520;1295;595;460;500;340;230;65;35;2010;1510
870;1811 Printing of newspapers;2006;70;15;20;5;10;10;5;0;0;35;35
871;1811 Printing of newspapers;2007;65;15;15;10;10;10;5;0;0;30;30
872;1811 Printing of newspapers;2008;65;15;15;5;10;10;5;0;0;30;35
873;1811 Printing of newspapers;2009;60;15;15;5;10;5;5;5;0;25;30
874;1811 Printing of newspapers;2010;55;15;15;5;10;5;5;5;0;25;30
875;18121 Printing of books;2006;190;30;40;30;30;30;10;5;5;80;110
876;18121 Printing of books;2007;180;45;30;25;30;30;10;5;5;75;110
877;18121 Printing of books;2008;185;55;30;30;25;30;10;5;5;70;115
878;18121 Printing of books;2009;185;55;20;35;25;30;10;5;5;70;115
879;18121 Printing of books;2010;175;55;15;30;25;25;5;5;5;70;105
880;18122 Printing of magazines;2006;60;15;15;0;5;10;5;5;10;20;40
881;18122 Printing of magazines;2007;60;15;10;5;5;5;10;5;10;20;40
882;18122 Printing of magazines;2008;60;15;10;5;10;5;5;5;10;20;40
883;18122 Printing of magazines;2009;55;15;10;5;10;5;5;0;10;25;35
884;18122 Printing of magazines;2010;55;15;10;5;10;5;5;0;5;20;30
885;18123 Printing of advertising;2006;775;255;155;90;100;75;85;15;5;430;345
886;18123 Printing of advertising;2007;760;275;120;90;90;80;85;15;5;420;340
887;18123 Printing of advertising;2008;755;300;105;80;95;85;80;15;5;420;335
888;18123 Printing of advertising;2009;760;315;110;65;85;75;85;15;5;435;325
889;18123 Printing of advertising;2010;745;300;115;70;85;70;75;15;5;435;310
890;18124 Printing of packing;2006;25;5;5;5;5;5;5;0;0;10;15
891;18124 Printing of packing;2007;25;10;5;0;0;5;5;0;0;10;15
892;18124 Printing of packing;2008;30;5;5;0;5;5;5;0;0;10;20
893;18124 Printing of packing;2009;35;10;5;0;5;5;5;0;0;10;20
894;18124 Printing of packing;2010;25;5;5;0;5;5;5;0;0;10;20
895;18125 Printing of forms;2006;60;10;5;10;5;5;15;5;0;20;40
896;18125 Printing of forms;2007;60;5;5;10;10;10;10;5;0;20;40
897;18125 Printing of forms;2008;60;10;5;10;10;10;15;0;0;15;45
898;18125 Printing of forms;2009;60;10;5;10;10;10;15;5;0;15;45
899;18125 Printing of forms;2010;60;10;5;10;10;10;15;5;0;15;45
900;18129 Other printing n.e.c.;2006;1660;405;390;310;255;165;105;20;15;965;695
901;18129 Other printing n.e.c.;2007;1650;420;305;320;290;185;95;20;10;950;700
902;18129 Other printing n.e.c.;2008;1595;440;310;290;275;160;90;25;10;900;695
903;18129 Other printing n.e.c.;2009;1585;440;305;280;275;165;85;25;15;905;680
904;18129 Other printing n.e.c.;2010;1545;430;315;270;270;155;75;20;10;880;665
905;1813 Prepress- and premedia activities;2006;465;215;95;55;50;30;15;5;0;310;160
906;1813 Prepress- and premedia activities;2007;475;245;65;55;55;30;15;5;0;325;150
907;1813 Prepress- and premedia activities;2008;495;275;75;45;55;25;15;5;0;335;160
908;1813 Prepress- and premedia activities;2009;535;305;80;50;45;30;15;5;0;375;160
909;1813 Prepress- and premedia activities;2010;530;310;75;50;45;25;15;5;0;370;160
910;1814 Graphic finishing;2006;370;135;65;25;45;30;45;15;5;200;170
911;1814 Graphic finishing;2007;360;130;50;35;45;30;45;15;5;195;165
912;1814 Graphic finishing;2008;350;135;50;30;40;35;40;15;5;190;160
913;1814 Graphic finishing;2009;350;145;50;25;45;35;35;15;5;190;155
914;1814 Graphic finishing;2010;335;145;45;25;45;30;30;10;5;190;150
915;182 Reproduction of recorded media;2006;205;130;35;10;10;5;10;5;0;155;50
916;182 Reproduction of recorded media;2007;220;145;30;15;10;5;5;5;0;165;50
917;182 Reproduction of recorded media;2008;255;180;30;20;10;5;5;5;0;200;55
918;182 Reproduction of recorded media;2009;295;205;40;20;15;10;5;5;0;230;65
919;182 Reproduction of recorded media;2010;300;210;40;20;10;5;5;5;0;235;65
920;1820 Reproduction of recorded media;2006;205;130;35;10;10;5;10;5;0;155;50
921;1820 Reproduction of recorded media;2007;220;145;30;15;10;5;5;5;0;165;50
922;1820 Reproduction of recorded media;2008;255;180;30;20;10;5;5;5;0;200;55
923;1820 Reproduction of recorded media;2009;295;205;40;20;15;10;5;5;0;230;65
924;1820 Reproduction of recorded media;2010;300;210;40;20;10;5;5;5;0;235;65
925;19 Manufacture of coke and petroleum;2006;30;5;0;5;0;5;5;5;5;5;25
926;19 Manufacture of coke and petroleum;2007;30;5;0;5;5;5;5;5;5;5;25
927;19 Manufacture of coke and petroleum;2008;35;10;0;5;5;5;5;0;10;5;30
928;19 Manufacture of coke and petroleum;2009;35;10;0;5;5;5;5;5;5;5;35
929;19 Manufacture of coke and petroleum;2010;40;10;0;5;5;5;5;5;5;5;35
930;191 Manufacture of coke oven products;2006;0;0;0;0;0;0;0;0;0;0;0
931;191 Manufacture of coke oven products;2007;0;0;0;0;0;0;0;0;0;0;0
932;191 Manufacture of coke oven products;2008;0;0;0;0;0;0;0;0;0;0;0
933;191 Manufacture of coke oven products;2009;0;0;0;0;0;0;0;0;0;0;0
934;191 Manufacture of coke oven products;2010;0;0;0;0;0;0;0;0;0;0;0
935;1910 Manufacture of coke oven products;2006;0;0;0;0;0;0;0;0;0;0;0
936;1910 Manufacture of coke oven products;2007;0;0;0;0;0;0;0;0;0;0;0
937;1910 Manufacture of coke oven products;2008;0;0;0;0;0;0;0;0;0;0;0
938;1910 Manufacture of coke oven products;2009;0;0;0;0;0;0;0;0;0;0;0
939;1910 Manufacture of coke oven products;2010;0;0;0;0;0;0;0;0;0;0;0
940;192 Manufacture of refined petroleum;2006;30;5;0;5;0;5;5;5;5;5;25
941;192 Manufacture of refined petroleum;2007;30;5;0;5;5;5;5;5;5;5;25
942;192 Manufacture of refined petroleum;2008;35;10;0;5;5;5;5;0;10;5;30
943;192 Manufacture of refined petroleum;2009;35;10;0;5;5;5;5;5;5;5;35
944;192 Manufacture of refined petroleum;2010;40;10;0;5;5;5;5;5;5;5;35
945;19201 Refining of petroleum;2006;10;0;0;0;0;0;0;0;5;0;10
946;19201 Refining of petroleum;2007;10;0;0;0;0;0;0;0;5;0;10
947;19201 Refining of petroleum;2008;15;5;0;0;0;0;0;0;5;0;15
948;19201 Refining of petroleum;2009;15;5;0;0;0;0;0;0;5;0;15
949;19201 Refining of petroleum;2010;15;5;0;0;0;0;0;0;5;0;15
950;19202 Processing petroleum (no refining);2006;20;5;0;0;0;5;5;5;0;0;20
951;19202 Processing petroleum (no refining);2007;20;5;0;0;5;5;5;5;0;0;20
952;19202 Processing petroleum (no refining);2008;20;5;0;0;5;0;5;0;5;5;20
953;19202 Processing petroleum (no refining);2009;25;5;0;5;5;5;0;5;0;0;20
954;19202 Processing petroleum (no refining);2010;25;5;0;5;5;5;5;5;0;0;20
955;20 Manufacture of chemicals;2006;730;165;80;40;70;85;95;70;115;135;595
956;20 Manufacture of chemicals;2007;745;155;80;60;70;85;100;75;120;135;605
957;20 Manufacture of chemicals;2008;755;195;65;60;85;70;105;65;110;130;620
958;20 Manufacture of chemicals;2009;765;200;80;60;65;85;90;75;115;145;620
959;20 Manufacture of chemicals;2010;750;205;80;55;65;80;85;70;105;140;610
960;201 Manufacture of basic chemicals;2006;300;50;35;20;30;35;40;30;65;50;250
