ID;VAT;Periods;TransportRate_1;FixedDeliveryRate_2;VariableDeliveryRateContractPrices_3;VariableDeliveryRateWithPriceCap_4;ODELevySustainableEnergySurcharge_5;EnergyTax_6;TransportRate_7;FixedDeliveryRate_8;VariableDeliveryRateContractPrices_9;VariableDeliveryRateWithPriceCap_10;ODELevySustainableEnergySurcharge_11;EnergyTax_12;EnergyTaxRefund_13
51;Including VAT;2024;232.39;78.73;0.6236;;;0.70544;415.67;95.9;0.171;;;0.13165;-631.35
52;Including VAT;2025 January;247.55;84.79;0.6332;;;0.69957;467.17;104.76;0.1589;;;0.12286;-635.19
53;Including VAT;2025 February;247.55;87.56;0.6454;;;0.69957;467.17;106.31;0.1584;;;0.12286;-635.19
54;Including VAT;2025 March;247.55;87.8;0.6494;;;0.69957;467.17;106.6;0.156;;;0.12286;-635.19
55;Excluding VAT;2021 January;155.25;55.77;0.2298;;0.0851;0.34856;212.69;55.78;0.0546;;0.03;0.09428;-461.62
56;Excluding VAT;2021 February;155.25;55.97;0.2283;;0.0851;0.34856;212.69;55.98;0.0543;;0.03;0.09428;-461.62
57;Excluding VAT;2021 March;155.25;56.16;0.2275;;0.0851;0.34856;212.69;56.16;0.0543;;0.03;0.09428;-461.62
58;Excluding VAT;2021 April;155.25;56.41;0.2276;;0.0851;0.34856;212.69;56.41;0.0545;;0.03;0.09428;-461.62
59;Excluding VAT;2021 May;155.25;56.66;0.2284;;0.0851;0.34856;212.69;56.66;0.0548;;0.03;0.09428;-461.62
60;Excluding VAT;2021 June;155.25;56.91;0.2297;;0.0851;0.34856;212.69;56.89;0.0554;;0.03;0.09428;-461.62
61;Excluding VAT;2021 July;155.25;57.28;0.2421;;0.0851;0.34856;212.69;57.3;0.0607;;0.03;0.09428;-461.62
62;Excluding VAT;2021 August;155.25;57.47;0.2445;;0.0851;0.34856;212.69;57.49;0.0616;;0.03;0.09428;-461.62
63;Excluding VAT;2021 September;155.25;57.63;0.2473;;0.0851;0.34856;212.69;57.65;0.0624;;0.03;0.09428;-461.62
64;Excluding VAT;2021 October;155.25;57.81;0.2526;;0.0851;0.34856;212.69;57.83;0.0639;;0.03;0.09428;-461.62
65;Excluding VAT;2021 November;155.25;58.01;0.2737;;0.0851;0.34856;212.69;58.03;0.0686;;0.03;0.09428;-461.62
66;Excluding VAT;2021 December;155.25;58.25;0.2946;;0.0851;0.34856;212.69;58.27;0.0735;;0.03;0.09428;-461.62
67;Excluding VAT;2021;155.25;57.03;0.2438;;0.0851;0.34856;212.69;57.04;0.0599;;0.03;0.09428;-461.62
68;Excluding VAT;2022 January;158.12;58.77;0.4162;;0.0865;0.36322;220.76;58.77;0.1038;;0.0305;0.03679;-681.63
69;Excluding VAT;2022 February;158.12;59.25;0.4539;;0.0865;0.36322;220.76;59.23;0.1138;;0.0305;0.03679;-681.63
70;Excluding VAT;2022 March;158.12;59.48;0.4708;;0.0865;0.36322;220.76;59.45;0.1166;;0.0305;0.03679;-681.63
71;Excluding VAT;2022 April;158.12;59.66;0.5212;;0.0865;0.36322;220.76;59.63;0.1278;;0.0305;0.03679;-681.63
72;Excluding VAT;2022 May;158.12;59.86;0.5551;;0.0865;0.36322;220.76;59.83;0.1351;;0.0305;0.03679;-681.63
73;Excluding VAT;2022 June;158.12;60.02;0.5725;;0.0865;0.36322;220.76;59.99;0.1398;;0.0305;0.03679;-681.63
74;Excluding VAT;2022 July;158.12;60.16;0.7062;;0.0865;0.36322;220.76;60.1;0.1645;;0.0305;0.03679;-681.63
75;Excluding VAT;2022 August;158.12;60.29;0.7316;;0.0865;0.36322;220.76;60.22;0.1727;;0.0305;0.03679;-681.63
76;Excluding VAT;2022 September;158.12;59.66;0.8124;;0.0865;0.36322;220.76;60.31;0.1923;;0.0305;0.03679;-681.63
77;Excluding VAT;2022 October;158.12;60.45;0.9987;;0.0865;0.36322;220.76;60.37;0.2378;;0.0305;0.03679;-681.63
78;Excluding VAT;2022 November;158.12;60.57;1.3742;;0.0865;0.36322;220.76;60.47;0.347;;0.0305;0.03679;-681.63
79;Excluding VAT;2022 December;158.12;60.62;1.391;;0.0865;0.36322;220.76;60.73;0.3695;;0.0305;0.03679;-681.63
80;Excluding VAT;2022;158.12;59.9;0.7503;;0.0865;0.36322;220.76;59.93;0.1851;;0.0305;0.03679;-681.63
81;Excluding VAT;2023 January;179.91;60.72;1.6497;0.7632;;0.4898;282.78;60.5;0.4256;0.2164;;0.12599;-493.27
82;Excluding VAT;2023 February;179.91;60.77;1.5262;0.7471;;0.4898;282.78;60.55;0.392;0.2114;;0.12599;-493.27
83;Excluding VAT;2023 March;179.91;60.82;1.4222;0.7335;;0.4898;282.78;60.6;0.356;0.2057;;0.12599;-493.27
84;Excluding VAT;2023 April;179.91;60.89;0.979;0.6672;;0.4898;282.78;60.66;0.2462;0.1867;;0.12599;-493.27
85;Excluding VAT;2023 May;179.91;60.95;0.7868;0.6285;;0.4898;282.78;60.71;0.2072;0.1791;;0.12599;-493.27
86;Excluding VAT;2023 June;179.91;61.0;0.7357;0.616;;0.4898;282.78;60.75;0.1936;0.176;;0.12599;-493.27
87;Excluding VAT;2023 July;179.91;61.71;0.5745;0.5629;;0.4898;282.78;61.53;0.1667;0.1637;;0.12599;-493.27
88;Excluding VAT;2023 August;179.91;62.0;0.5535;0.5468;;0.4898;282.78;61.8;0.1622;0.1604;;0.12599;-493.27
89;Excluding VAT;2023 September;179.91;62.34;0.5523;0.5463;;0.4898;282.78;62.16;0.1623;0.1608;;0.12599;-493.27
90;Excluding VAT;2023 October;179.91;62.09;0.5462;0.5406;;0.4898;282.78;64.48;0.1588;0.1574;;0.12599;-493.27
91;Excluding VAT;2023 November;179.91;61.33;0.5648;0.5601;;0.4898;282.78;67.46;0.163;0.1618;;0.12599;-493.27
92;Excluding VAT;2023 December;179.91;61.67;0.5725;0.5688;;0.4898;282.78;67.73;0.1648;0.1638;;0.12599;-493.27
93;Excluding VAT;2023;179.91;61.36;0.872;0.6234;;0.4898;282.78;62.41;0.2332;0.1786;;0.12599;-493.27
94;Excluding VAT;2024 January;192.06;61.03;0.5769;;;0.58301;343.53;73.72;0.1651;;;0.1088;-521.78
95;Excluding VAT;2024 February;192.06;61.5;0.57;;;0.58301;343.53;74.13;0.1643;;;0.1088;-521.78
96;Excluding VAT;2024 March;192.06;62.17;0.5594;;;0.58301;343.53;75.17;0.16;;;0.1088;-521.78
97;Excluding VAT;2024 April;192.06;62.69;0.5274;;;0.58301;343.53;76.26;0.1507;;;0.1088;-521.78
98;Excluding VAT;2024 May;192.06;64.32;0.488;;;0.58301;343.53;79.22;0.1429;;;0.1088;-521.78
99;Excluding VAT;2024 June;192.06;64.87;0.4842;;;0.58301;343.53;80.45;0.1407;;;0.1088;-521.78
100;Excluding VAT;2024 July;192.06;65.81;0.4754;;;0.58301;343.53;81.19;0.1298;;;0.1088;-521.78
101;Excluding VAT;2024 August;192.06;67.05;0.4851;;;0.58301;343.53;80.75;0.1252;;;0.1088;-521.78
102;Excluding VAT;2024 September;192.06;67.35;0.486;;;0.58301;343.53;81.53;0.1249;;;0.1088;-521.78
103;Excluding VAT;2024 October;192.06;67.65;0.5039;;;0.58301;343.53;82.29;0.1299;;;0.1088;-521.78
104;Excluding VAT;2024 November;192.06;68.0;0.5144;;;0.58301;343.53;82.88;0.1318;;;0.1088;-521.78
105;Excluding VAT;2024 December;192.06;68.33;0.5142;;;0.58301;343.53;83.52;0.1309;;;0.1088;-521.78
106;Excluding VAT;2024;192.06;65.07;0.5154;;;0.58301;343.53;79.26;0.1414;;;0.1088;-521.78
107;Excluding VAT;2025 January;204.59;70.08;0.5233;;;0.57816;386.09;86.58;0.1313;;;0.10154;-524.95
108;Excluding VAT;2025 February;204.59;72.36;0.5334;;;0.57816;386.09;87.86;0.1309;;;0.10154;-524.95
109;Excluding VAT;2025 March;204.59;72.57;0.5367;;;0.57816;386.09;88.1;0.1289;;;0.10154;-524.95
