ID;Vogelsoorten;Perioden;Index_1;TrendGehelePeriode_2;TrendLaatste10Jaar_3
317;2060;1992;125.0;.                             ;.                             
318;2060;1993;104.0;.                             ;.                             
319;2060;1994;127.0;.                             ;.                             
320;2060;1995;147.0;.                             ;.                             
321;2060;1996;127.0;.                             ;.                             
322;2060;1997;89.0;.                             ;.                             
323;2060;1998;113.0;.                             ;.                             
324;2060;1999;88.0;.                             ;.                             
325;2060;2000;100.0;.                             ;.                             
326;2060;2001;95.0;.                             ;.                             
327;2060;2002;80.0;.                             ;.                             
328;2060;2003;117.0;.                             ;.                             
329;2060;2004;102.0;stabiel                       ;stabiel                       
330;90;1975;156.0;.                             ;.                             
331;90;1976;128.0;.                             ;.                             
332;90;1977;106.0;.                             ;.                             
333;90;1978;98.0;.                             ;.                             
334;90;1979;44.0;.                             ;.                             
335;90;1980;77.0;.                             ;.                             
336;90;1981;56.0;.                             ;.                             
337;90;1982;72.0;.                             ;.                             
338;90;1983;92.0;.                             ;.                             
339;90;1984;75.0;.                             ;.                             
340;90;1985;73.0;.                             ;.                             
341;90;1986;76.0;.                             ;.                             
342;90;1987;72.0;.                             ;.                             
343;90;1988;76.0;.                             ;.                             
344;90;1989;79.0;.                             ;.                             
345;90;1990;99.0;.                             ;.                             
346;90;1991;101.0;.                             ;.                             
347;90;1992;118.0;.                             ;.                             
348;90;1993;126.0;.                             ;.                             
349;90;1994;115.0;.                             ;.                             
350;90;1995;138.0;.                             ;.                             
351;90;1996;93.0;.                             ;.                             
352;90;1997;111.0;.                             ;.                             
353;90;1998;102.0;.                             ;.                             
354;90;1999;106.0;.                             ;.                             
355;90;2000;100.0;.                             ;.                             
356;90;2001;96.0;.                             ;.                             
357;90;2002;106.0;.                             ;.                             
358;90;2003;97.0;.                             ;.                             
359;90;2004;83.0;Matige afname                 ;Matige afname                 
360;120;1975;;.                             ;.                             
361;120;1976;;.                             ;.                             
362;120;1977;;.                             ;.                             
363;120;1978;;.                             ;.                             
364;120;1979;8.0;.                             ;.                             
365;120;1980;11.0;.                             ;.                             
366;120;1981;8.0;.                             ;.                             
