ID;Perioden;TotaalSocialePremies_1;AlgemeenArbeidsongeschiktheidsfonds_2;Arbeidsongeschiktheidsfonds_3;ArbeidsongeschiktheidsfondsZelfst_4;Werkhervattingskas_5;Arbeidsongeschiktheidskas_6;AlgemeenWerkloosheidsfonds_7;Sectorfondsen_8;UitvoeringsfondsVoorDeOverheid_9;WetKinderopvang_10;Ziekengeldkassen_11;AlgemeneKas_12;Zorgverzekeringsfonds_13;AlgemeenOuderdomsfonds_14;AlgemeenNabestaandenfonds_15;AlgemeenKinderbijslagfonds_16;AlgemeenFondsBijzondereZiektekosten_17;TotaalSocialePremiesTLVWerkgevers_18;AlgemeenArbeidsongeschiktheidsfonds_19;Arbeidsongeschiktheidsfonds_20;Werkhervattingskas_21;Arbeidsongeschiktheidskas_22;AlgemeenWerkloosheidsfonds_23;Sectorfondsen_24;UitvoeringsfondsVoorDeOverheid_25;WetKinderopvang_26;Ziekengeldkassen_27;AlgemeneKas_28;Zorgverzekeringsfonds_29;AlgemeenKinderbijslagfonds_30;AlgemeenFondsBijzondereZiektekosten_31;TotaalSocPremiesNietTLVWerkg_32;AlgemeenArbeidsongeschiktheidsfonds_33;Arbeidsongeschiktheidsfonds_34;ArbeidsongeschiktheidsfondsZelfst_35;AlgemeenWerkloosheidsfonds_36;Sectorfondsen_37;Ziekengeldkassen_38;AlgemeneKas_39;Zorgverzekeringsfonds_40;AlgemeenOuderdomsfonds_41;AlgemeenNabestaandenfonds_42;AlgemeenKinderbijslagfonds_43;AlgemeenFondsBijzondereZiektekosten_44
10;1997;51653;6738.0;3639;;;;4624;615;;;;6966.0;;16200;2020;;10851;5985;;0.0;;;2246;289;;;;3450.0;;;;45668;6738.0;3639.0;;2378.0;326.0;;3516.0;;16200;2020;;10851
11;1998;54256;-31.0;9266;363.0;;326.0;4834;820;;;;7615.0;;18333;1634;;11096;16363;;9266.0;;326.0;1817;820;;;;4134.0;;;;37893;-31.0;0.0;363.0;3017.0;0.0;;3481.0;;18333;1634;;11096
12;1999;59938;22.0;9165;599.0;;1009.0;4862;869;;;;9207.0;;19798;1745;;12662;17152;;9165.0;;1009.0;1844;869;;;;4265.0;;;;42786;22.0;0.0;599.0;3018.0;;;4942.0;;19798;1745;;12662
13;2000;64467;-69.0;8746;842.0;;1946.0;5290;1125;;;;10511.0;;20569;1701;;13806;18671;;8746.0;;1946.0;1963;1125;;;;4891.0;;;;45796;-69.0;0.0;842.0;3327.0;;;5620.0;;20569;1701;;13806
14;2001;61269;3.0;9148;829.0;;2219.0;5155;754;283.0;;;10636.0;;18586;1488;;12168;19444;;9148.0;;2219.0;2113;754;283.0;;;4927.0;;;;41825;3.0;0.0;829.0;3042.0;;;5709.0;;18586;1488;;12168
15;2002 1e kwartaal;16621;;2524;313.0;;774.0;1348;248;88.0;;;3153.0;;4710;375;;3088;5447;;2524.0;;774.0;474;248;88.0;;;1339.0;;;;11174;;;313.0;874.0;;;1814.0;;4710;375;;3088
16;2002 2e kwartaal;15175;;2226;169.0;;732.0;1214;325;56.0;;;2640.0;;4490;360;;2963;4973;;2226.0;;732.0;453;325;56.0;;;1181.0;;;;10202;;;169.0;761.0;;;1459.0;;4490;360;;2963
17;2002 3e kwartaal;14977;;2357;170.0;;648.0;1231;245;85.0;;;2532.0;;4429;355;;2925;4908;;2357.0;;648.0;453;245;85.0;;;1120.0;;;;10069;;;170.0;778.0;;;1412.0;;4429;355;;2925
18;2002 4e kwartaal;14945;;2188;230.0;;793.0;1188;194;81.0;;;2423.0;;4507;362;;2979;4897;;2188.0;;793.0;478;194;81.0;;;1163.0;;;;10048;;;230.0;710.0;;;1260.0;;4507;362;;2979
19;2002;61718;;9295;882.0;;2947.0;4981;1012;310.0;;;10748.0;;18136;1452;;11955;20225;;9295.0;;2947.0;1858;1012;310.0;;;4803.0;;;;41493;;0.0;882.0;3123.0;;;5945.0;;18136;1452;;11955
20;2003 1e kwartaal;17503;;1972;262.0;;907.0;1181;426;100.0;;;3804.0;;4788;384;;3679;5332;;1972.0;;907.0;329;426;100.0;;;1598.0;;;;12171;;;262.0;852.0;;;2206.0;;4788;384;;3679
21;2003 2e kwartaal;16632;;2099;163.0;;990.0;1095;460;124.0;;;3158.0;;4557;366;;3620;5520;;2099.0;;990.0;354;460;124.0;;;1493.0;;;;11112;;;163.0;741.0;;;1665.0;;4557;366;;3620
22;2003 3e kwartaal;15672;;1873;159.0;;817.0;1227;399;78.0;;;3188.0;;4225;338;;3368;4705;;1873.0;;817.0;308;399;78.0;;;1230.0;;;;10967;;;159.0;919.0;;;1958.0;;4225;338;;3368
23;2003 4e kwartaal;16015;;2164;283.0;;843.0;1089;400;117.0;;;2930.0;;4365;349;;3475;5072;;2164.0;;843.0;307;400;117.0;;;1241.0;;;;10943;;;283.0;782.0;;;1689.0;;4365;349;;3475
24;2003;65822;;8108;867.0;;3557.0;4592;1685;419.0;;;13080.0;;17935;1437;;14142;20629;;8108.0;;3557.0;1298;1685;419.0;;;5562.0;;;;45193;;0.0;867.0;3294.0;;;7518.0;;17935;1437;;14142
25;2004 1e kwartaal;17647;;2193;;;927.0;1099;633;129.0;;;3077.0;;4973;402;;4214;5483;;2133.0;;927.0;225;633;129.0;;;1436.0;;;;12164;;60.0;;874.0;;;1641.0;;4973;402;;4214
26;2004 2e kwartaal;16056;;1974;;;841.0;1081;580;119.0;;;3043.0;;4268;349;;3801;4989;;1914.0;;841.0;202;580;119.0;;;1333.0;;;;11067;;60.0;;879.0;;;1710.0;;4268;349;;3801
27;2004 3e kwartaal;16143;;2177;;;848.0;1150;492;122.0;;;2925.0;;4353;355;;3721;5016;;2107.0;;848.0;205;492;122.0;;;1242.0;;;;11127;;70.0;;945.0;;;1683.0;;4353;355;;3721
28;2004 4e kwartaal;18486;;2402;;;918.0;1117;648;134.0;;;3076.0;;5413;410;;4368;5744;;2339.0;;918.0;236;648;134.0;;;1469.0;;;;12742;;63.0;;881.0;;;1607.0;;5413;410;;4368
29;2004;68332;;8746;;;3534.0;4447;2353;504.0;;;12121.0;;19007;1516;;16104;21232;;8493.0;;3534.0;868;2353;504.0;;;5480.0;;;;47100;;253.0;;3579.0;;;6641.0;;19007;1516;;16104
30;2005 1e kwartaal;17415;;2361;;;621.0;1250;595;109.0;;;2889.0;;4937;399;;4254;5395;;2318.0;;621.0;363;595;109.0;;;1389.0;;;;12020;;43.0;;887.0;;;1500.0;;4937;399;;4254
31;2005 2e kwartaal;16339;;2136;;;538.0;1294;552;104.0;;;3134.0;;4367;359;;3855;5062;;2092.0;;538.0;349;552;104.0;;;1427.0;;;;11277;;44.0;;945.0;;;1707.0;;4367;359;;3855
32;2005 3e kwartaal;15825;;2118;;;560.0;1281;555;95.0;;;2839.0;;4292;348;;3737;4903;;2075.0;;560.0;340;555;95.0;;;1278.0;;;;10922;;43.0;;941.0;;;1561.0;;4292;348;;3737
33;2005 4e kwartaal;16898;;2376;;;435.0;1433;584;150.0;;;2955.0;;4348;328;;4289;5235;;2328.0;;435.0;388;584;150.0;;;1350.0;;;;11663;;48.0;;1045.0;;;1605.0;;4348;328;;4289
34;2005;66477;;8991;;;2154.0;5258;2286;458.0;;;11817.0;;17944;1434;;16135;20595;;8813.0;;2154.0;1440;2286;458.0;;;5444.0;;;;45882;;178.0;;3818.0;;;6373.0;;17944;1434;;16135
35;2006 1e kwartaal;19969;;2437;;;333.0;1239;502;138.0;;;;6044.0;4921;393;;3962;6520;;2426.0;;333.0;518;502;138.0;;;;2603.0;;;13449;;11.0;;721.0;;;;3441.0;4921;393;;3962
36;2006 2e kwartaal;18346;;2125;;;292.0;1251;447;139.0;;;;6447.0;4088;335;;3222;5990;;2114.0;;292.0;474;447;139.0;;;;2524.0;;;12356;;11.0;;777.0;;;;3923.0;4088;335;;3222
37;2006 3e kwartaal;18531;;2319;;;339.0;1336;537;122.0;;;;5777.0;4301;346;;3454;6051;;2308.0;;339.0;502;537;122.0;;;;2243.0;;;12480;;11.0;;834.0;;;;3534.0;4301;346;;3454
38;2006 4e kwartaal;18764;;2251;;;316.0;1338;495;116.0;;;;6404.0;4067;288;;3489;6127;;2240.0;;316.0;498;495;116.0;;;;2462.0;;;12637;;11.0;;840.0;;;;3942.0;4067;288;;3489
39;2006;75610;;9132;;;1280.0;5164;1981;515.0;;;;24672.0;17377;1362;;14127;24688;;9088.0;;1280.0;1992;1981;515.0;;;;9832.0;;;50922;;44.0;;3172.0;;;;14840.0;17377;1362;;14127
40;2007 1e kwartaal;20920;;2458;;224.0;195.0;1278;338;138.0;138.0;;;6601.0;5214;410;;3926;7038;;2454.0;224.0;195.0;723;338;138.0;138.0;;;2828.0;;;13882;;4.0;;555.0;;;;3773.0;5214;410;;3926
41;2007 2e kwartaal;18198;;2142;;213.0;180.0;1503;360;119.0;127.0;;;6754.0;3711;298;;2791;6122;;2138.0;213.0;180.0;706;360;119.0;127.0;;;2279.0;;;12076;;4.0;;797.0;;;;4475.0;3711;298;;2791
42;2007 3e kwartaal;18683;;2176;;227.0;136.0;1194;357;118.0;126.0;;;6580.0;4227;335;;3207;6285;;2172.0;227.0;136.0;622;357;118.0;126.0;;;2527.0;;;12398;;4.0;;572.0;;;;4053.0;4227;335;;3207
43;2007 4e kwartaal;19262;;2279;;215.0;158.0;1376;389;107.0;131.0;;;6625.0;4485;331;;3166;6480;;2275.0;215.0;158.0;705;389;107.0;131.0;;;2500.0;;;12782;;4.0;;671.0;;;;4125.0;4485;331;;3166
44;2007;77063;;9055;;879.0;669.0;5351;1444;482.0;522.0;;;26560.0;17637;1374;;13090;25925;;9039.0;879.0;669.0;2756;1444;482.0;522.0;;;10134.0;;;51138;;16.0;;2595.0;;;;16426.0;17637;1374;;13090
45;2008 1e kwartaal;22462;;2515;;169.0;41.0;1254;351;95.0;172.0;;;7557.0;5355;375;;4578;7414;;2513.0;169.0;41.0;768;351;95.0;172.0;;;3305.0;;;15048;;2.0;;486.0;;;;4252.0;5355;375;;4578
46;2008 2e kwartaal;22031;;2628;;155.0;79.0;1744;403;98.0;168.0;;;7883.0;5520;387;;2966;7271;;2627.0;155.0;79.0;924;403;98.0;168.0;;;2817.0;;;14760;;1.0;;820.0;;;;5066.0;5520;387;;2966
47;2008 3e kwartaal;19329;;2272;;88.0;89.0;1220;349;124.0;154.0;;;6899.0;4191;291;;3652;6380;;2271.0;88.0;89.0;679;349;124.0;154.0;;;2626.0;;;12949;;1.0;;541.0;;;;4273.0;4191;291;;3652
48;2008 4e kwartaal;22442;;2619;;133.0;69.0;1426;397;137.0;178.0;;;7420.0;5222;366;;4475;7407;;2618.0;133.0;69.0;835;397;137.0;178.0;;;3040.0;;;15035;;1.0;;591.0;;;;4380.0;5222;366;;4475
49;2008;86264;;10034;;545.0;278.0;5644;1500;454.0;672.0;;;29759.0;20288;1419;;15671;28472;;10029.0;545.0;278.0;3206;1500;454.0;672.0;;;11788.0;;;57792;;5.0;;2438.0;;;;17971.0;20288;1419;;15671
50;2009 1e kwartaal;21657;;2926;;98.0;62.0;748;376;133.0;189.0;;;7080.0;5512;376;;4157;7752;;2925.0;98.0;62.0;748;376;133.0;189.0;;;3221.0;;;13905;;1.0;;;;;;3859.0;5512;376;;4157
51;2009 2e kwartaal;18264;;2528;;80.0;65.0;729;365;105.0;162.0;;;7769.0;3438;255;;2768;6539;;2527.0;80.0;65.0;729;365;105.0;162.0;;;2506.0;;;11725;;1.0;;;;;;5263.0;3438;255;;2768
52;2009 3e kwartaal;19365;;2609;;78.0;68.0;640;380;115.0;159.0;;;7250.0;4360;310;;3396;6933;;2608.0;78.0;68.0;640;380;115.0;159.0;;;2885.0;;;12432;;1.0;;;;;;4365.0;4360;310;;3396
53;2009 4e kwartaal;19902;;2761;;52.0;81.0;695;377;119.0;176.0;;;7341.0;4573;293;;3434;7124;;2761.0;52.0;81.0;695;377;119.0;176.0;;;2863.0;;;12778;;0.0;;;;;;4478.0;4573;293;;3434
54;2009;79188;;10824;;308.0;276.0;2812;1498;472.0;686.0;;;29440.0;17883;1234;;13755;28348;;10821.0;308.0;276.0;2812;1498;472.0;686.0;;;11475.0;;;50840;;3.0;;;;;;17965.0;17883;1234;;13755
55;2010 1e kwartaal;22491;;2911;;153.0;32.0;712;548;135.0;195.0;;;7644.0;5436;393;;4332;8012;;2911.0;153.0;32.0;712;548;135.0;195.0;;;3326.0;;;14479;;;;;;;;4318.0;5436;393;;4332
56;2010 2e kwartaal;19555;;2640;;144.0;28.0;747;513;126.0;166.0;;;7960.0;3584;305;;3342;6967;;2640.0;144.0;28.0;747;513;126.0;166.0;;;2603.0;;;12588;;;;;;;;5357.0;3584;305;;3342
57;2010 3e kwartaal;19691;;2588;;141.0;33.0;603;514;126.0;173.0;;;7103.0;4590;318;;3502;7014;;2588.0;141.0;33.0;603;514;126.0;173.0;;;2836.0;;;12677;;;;;;;;4267.0;4590;318;;3502
58;2010 4e kwartaal;21372;;2852;;140.0;32.0;725;564;139.0;175.0;;;8048.0;4747;310;;3640;7614;;2852.0;140.0;32.0;725;564;139.0;175.0;;;2987.0;;;13758;;;;;;;;5061.0;4747;310;;3640
59;2010;83109;;10991;;578.0;125.0;2787;2139;526.0;709.0;;;30755.0;18357;1326;;14816;29607;;10991.0;578.0;125.0;2787;2139;526.0;709.0;;;11752.0;;;53502;;;;;;;;19003.0;18357;1326;;14816
60;2011 1e kwartaal;22922;;2236;;112.0;;609;594;124.0;159.0;;;8340.0;5749;415;;4584;6860;;2236.0;112.0;;609;594;124.0;159.0;;;3026.0;;;16062;;0.0;;;;;;5314.0;5749;415;;4584
61;2011 2e kwartaal;19565;;2843;;146.0;;889;805;136.0;203.0;;;8911.0;3466;180;;1986;8853;;2842.0;146.0;;889;805;136.0;203.0;;;3832.0;;;10712;;1.0;;;;;;5079.0;3466;180;;1986
62;2011 3e kwartaal;20997;;2269;;110.0;;599;664;118.0;160.0;;;8303.0;4797;330;;3647;7050;;2269.0;110.0;;599;664;118.0;160.0;;;3130.0;;;13947;;0.0;;;;;;5173.0;4797;330;;3647
63;2011 4e kwartaal;25279;;2476;;105.0;;735;733;186.0;188.0;;;8627.0;6747;464;;5018;7533;;2476.0;105.0;;735;733;186.0;188.0;;;3110.0;;;17746;;0.0;;;;;;5517.0;6747;464;;5018
64;2011;88763;;9824;;473.0;;2832;2796;564.0;710.0;;;34181.0;20759;1389;;15235;30296;;9823.0;473.0;;2832;2796;564.0;710.0;;;13098.0;;;58467;;1.0;;;;;;21083.0;20759;1389;;15235
65;2012 1e kwartaal;23797;;2254;;101.0;;681;743;143.0;238.0;;;8882.0;5741;416;;4598;7569;;2254.0;101.0;;681;743;143.0;238.0;;;3409.0;;;16228;;;;;;;;5473.0;5741;416;;4598
66;2012 2e kwartaal;21111;;2782;;130.0;;974;971;153.0;295.0;;;9647.0;3695;205;;2259;9011;;2782.0;130.0;;974;971;153.0;295.0;;;3706.0;;;12100;;;;;;;;5941.0;3695;205;;2259
67;2012 3e kwartaal;21131;;2266;;94.0;;691;823;137.0;246.0;;;8636.0;4511;310;;3417;7575;;2266.0;94.0;;691;823;137.0;246.0;;;3318.0;;;13556;;;;;;;;5318.0;4511;310;;3417
68;2012 4e kwartaal;29741;;2559;;117.0;;820;909;146.0;273.0;;;9471.0;8620;565;;6261;8453;;2559.0;117.0;;820;909;146.0;273.0;;;3629.0;;;21288;;;;;;;;5842.0;8620;565;;6261
69;2012;95780;;9861;;442.0;;3166;3446;579.0;1052.0;;;36636.0;22567;1496;;16535;32608;;9861.0;442.0;;3166;3446;579.0;1052.0;;;14062.0;;;63172;;;;;;;;22574.0;22567;1496;;16535
70;2013 1e kwartaal;24665;;2096;;104.0;;613;891;154.0;245.0;;;9123.0;6025;255;;5159;7606;;2096.0;104.0;;613;891;154.0;245.0;;;3503.0;;;17059;;;;;;;;5620.0;6025;255;;5159
71;2013 2e kwartaal;22768;;2578;;133.0;;734;1132;168.0;296.0;;;9960.0;4444;53;;3270;8866;;2578.0;133.0;;734;1132;168.0;296.0;;;3825.0;;;13902;;;;;;;;6135.0;4444;53;;3270
72;2013 3e kwartaal;22435;;2133;;121.0;;640;949;153.0;251.0;;;8959.0;4980;206;;4043;7687;;2133.0;121.0;;640;949;153.0;251.0;;;3440.0;;;14748;;;;;;;;5519.0;4980;206;;4043
73;2013 4e kwartaal;28491;;1001;;119.0;;699;1038;158.0;281.0;;;9771.0;8734;366;;6324;7048;;1001.0;119.0;;699;1038;158.0;281.0;;;3752.0;;;21443;;;;;;;;6019.0;8734;366;;6324
74;2013;98359;;7808;;477.0;;2686;4010;633.0;1073.0;;;37813.0;24183;880;;18796;31207;;7808.0;477.0;;2686;4010;633.0;1073.0;;;14520.0;;;67152;;;;;;;;23293.0;24183;880;;18796
