ID;Geslacht;LeeftijdPersoon;Persoonskenmerken;HemelsbredeAfstandTotOuder;GeslachtInNederlandWonendeOuder;RegioS;PersonenVan18JaarOfOuder_1
47;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Zeeuwsch-Vlaanderen (CR);86660
48;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Overig Zeeland (CR);217850
49;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;West-Noord-Brabant (CR);500490
50;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Midden-Noord-Brabant (CR);372580
51;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Noordoost-Noord-Brabant (CR);510280
52;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Zuidoost-Noord-Brabant (CR);599930
53;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Noord-Limburg (CR);225420
54;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Midden-Limburg (CR);192830
55;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Zuid-Limburg (CR);506910
56;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Flevoland (CR);301490
57;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Aa en Hunze;20450
58;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Aalburg;9690
59;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Aalsmeer;23630
60;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Aalten;21260
61;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Achtkarspelen;21630
62;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Alblasserdam;15070
63;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Albrandswaard;19330
64;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Alkmaar;76480
65;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Almelo;56810
66;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Almere;148150
67;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Alphen aan den Rijn;83460
68;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Alphen-Chaam;7780
69;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Ameland;2790
70;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Amersfoort;114620
71;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Amstelveen;67960
72;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Amsterdam;663520
73;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Apeldoorn;125360
74;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Appingedam;9810
75;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Arnhem;121150
76;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Assen;52320
77;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Asten;13080
78;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Baarle-Nassau;5530
79;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Baarn;19530
80;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Barendrecht;35650
81;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Barneveld;39740
82;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bedum;8280
83;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Beek (L.);13480
84;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Beemster;7090
85;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Beesel;10940
86;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bellingwedde;7410
87;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bergambacht;7670
88;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bergeijk;14490
89;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bergen (L.);10730
90;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bergen (NH.);24800
91;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bergen op Zoom;53640
92;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Berkelland;35470
93;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bernheze;23000
94;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bernisse;10040
95;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Best;22320
96;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Beuningen;20030
97;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Beverwijk;31850
98;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;het Bildt;8290
99;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;De Bilt;33190
100;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Binnenmaas;23050
101;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bladel;15690
102;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Blaricum;7290
103;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bloemendaal;17220
104;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bodegraven-Reeuwijk;25410
105;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Boekel;7770
106;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Ten Boer;5680
107;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Borger-Odoorn;20630
108;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Borne;17080
109;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Borsele;17430
110;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Boxmeer;22410
111;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Boxtel;24010
112;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Breda;144320
113;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Brielle;13280
114;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bronckhorst;29580
115;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Brummen;17010
116;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Brunssum;24020
117;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bunnik;11400
118;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bunschoten;15470
119;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Buren;20390
120;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Bussum;25150
121;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Capelle aan den IJssel;52770
122;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Castricum;27520
123;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Coevorden;28480
124;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Cranendonck;16440
125;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Cromstrijen;10240
126;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Cuijk;19620
127;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Culemborg;21260
128;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Dalfsen;21420
129;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Dantumadiel;14920
130;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Delft;84710
131;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Delfzijl;20920
132;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Deurne;25290
133;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Deventer;77190
134;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Diemen;21160
135;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Dinkelland;20130
136;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Doesburg;9150
137;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Doetinchem;44720
138;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Dongen;20150
139;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Dongeradeel;18830
140;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Dordrecht;94430
141;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Drechterland;15080
142;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Drimmelen;21490
143;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Dronten;31090
144;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Druten;14150
145;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Duiven;19820
146;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Echt-Susteren;26660
147;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Edam-Volendam;22430
148;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Ede;85410
149;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Eemnes;6770
150;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Eemsmond;12690
151;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Eersel;14640
152;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Eijsden-Margraten;20350
153;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Eindhoven;181100
154;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Elburg;17270
155;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Emmen;86590
156;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Enkhuizen;14700
157;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Enschede;128100
158;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Epe;25980
159;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Ermelo;20800
160;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Etten-Leur;33480
161;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Ferwerderadiel;6750
162;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Franekeradeel;16100
163;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;De Friese Meren;40110
164;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Geertruidenberg;17190
165;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Geldermalsen;20180
166;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Geldrop-Mierlo;30970
167;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Gemert-Bakel;23200
168;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Gennep;13830
169;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Giessenlanden;11140
170;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Gilze en Rijen;20550
171;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Goeree-Overflakkee;37990
172;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Goes;29890
173;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Goirle;18330
174;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Gorinchem;27750
175;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Gouda;55440
176;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Graft-De Rijp;5070
177;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Grave;10110
178;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;'s-Gravenhage (gemeente);403280
179;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Groesbeek;15610
180;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Groningen (gemeente);168920
181;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Grootegast;9280
182;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Gulpen-Wittem;12250
183;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Haaksbergen;19240
184;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Haaren;10810
185;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Haarlem;124170
186;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Haarlemmerliede en Spaarnwoude;4430
187;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Haarlemmermeer;110720
188;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Halderberge;23850
189;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hardenberg;45620
190;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Harderwijk;35270
191;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hardinxveld-Giessendam;13470
192;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Haren;14920
193;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Harlingen;12570
194;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hattem;9150
195;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Heemskerk;31420
196;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Heemstede;20690
197;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Heerde;14670
198;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Heerenveen;39410
199;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Heerhugowaard;40750
200;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Heerlen;74000
201;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Heeze-Leende;12370
202;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Heiloo;18030
203;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Den Helder;46070
204;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hellendoorn;27970
205;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hellevoetsluis;31270
206;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Helmond;69270
207;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hendrik-Ido-Ambacht;21830
208;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hengelo (O.);63890
209;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;'s-Hertogenbosch;115250
210;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Heumen;12840
211;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Heusden;34200
212;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hillegom;16760
213;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hilvarenbeek;11930
214;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hilversum;68900
215;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hof van Twente;27790
216;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hollands Kroon;37290
217;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hoogeveen;42810
218;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hoogezand-Sappemeer;27530
219;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hoorn;56210
220;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Horst aan de Maas;33100
221;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Houten;36220
222;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Huizen;32820
223;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Hulst;22400
224;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;IJsselstein;26090
225;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Kaag en Braassem;20350
226;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Kampen;38460
227;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Kapelle;9540
228;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Katwijk;48090
229;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Kerkrade;39580
230;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Koggenland;17390
231;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Kollumerland en Nieuwkruisland;10050
232;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Korendijk;8350
233;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Krimpen aan den IJssel;22570
234;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Laarbeek;17260
235;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Landerd;11950
236;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Landgraaf;31400
237;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Landsmeer;8350
238;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Langedijk;20870
239;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Lansingerland;41980
240;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Laren (NH.);8770
241;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Leek;15370
242;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Leerdam;16080
243;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Leeuwarden;87190
244;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Leeuwarderadeel;8150
245;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Leiden;100830
246;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Leiderdorp;21160
247;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Leidschendam-Voorburg;59460
248;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Lelystad;58710
249;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Leudal;29350
250;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Leusden;22750
251;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Lingewaal;8670
252;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Lingewaard;35740
253;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Lisse;17770
254;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Littenseradiel;8320
255;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Lochem;26670
256;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Loon op Zand;18590
257;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Lopik;10580
258;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Loppersum;8090
259;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Losser;17960
260;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Maasdonk;8830
261;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Maasdriel;18980
262;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Maasgouw;19910
263;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Maassluis;25820
264;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Maastricht;105470
265;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;De Marne;8260
266;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Marum;8060
267;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Medemblik;33840
268;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Meerssen;15830
269;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Menameradiel;10650
270;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Menterwolde;9870
271;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Meppel;25590
272;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Middelburg (Z.);37860
273;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Midden-Delfland;14280
274;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Midden-Drenthe;26550
275;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Mill en Sint Hubert;8680
276;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Millingen aan de Rijn;4700
277;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Moerdijk;29230
278;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Molenwaard;21360
279;Totaal mannen en vrouwen;20300;Totaal personen;Totaal;Vrouwen;Montferland;28140
