ID;SBI93;Perioden;Bedrijven_1;AantalWerkzamePersonenEindSeptember_2;TotWerkzamePersonenFTEEindSeptember_3;AantalWerknemersVanDeEigenLoonlijst_4;AantalFTEWerknemersOpEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaalNettoOmzet_7;TotaalDetailhandelsomzet_8;VerkoopInWinkel_9;VerkoopNietInWinkel_10;OverigeNettoOmzet_11;OverigeBedrijfsopbrengsten_12;TotaleBedrijfslasten_13;InkoopwaardeOmzet_14;TotaalArbeidskosten_15;BrutoLonenEnSalarissen_16;PensioenLasten_17;SocialeLasten_18;AfschrijvingenOpVasteActiva_19;TotaalOverigeKosten_20;AnderePersoneelskosten_21;Verkoopkosten_22;HuisvestingskostenInclEnergieverbruik_23;KostenVanDienstverleningDoorDerden_24;KostenInventaris_25;KostenVervoermiddelen_26;OverigeBedrijfslastenNEG_27;Bedrijfsresultaat_28;FinancieleBaten_29;FinancieleLasten_30;FinancieelResultaat_31;OnttrekkingenVrijvalVanVoorzieningen_32;ToevoegingenAanVoorzieningen_33;SaldoVoorzieningen_34;BuitengewoneBaten_35;BuitengewoneLasten_36;SaldoBuitengewoneBatenMinusLasten_37;ResultaatVoorBelastingen_38;Brutowinst_39
10;5210c Detailhandel in winkel;2001;66485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;5210c Detailhandel in winkel;2002;62265;718.2;446.4;631.5;367.4;74992.0;74287.0;71891.0;65871.0;2072.0;2397.0;704.0;70645.0;49491.0;9507.0;7763.0;429.0;1316.0;1944.0;9704.0;731.0;1884.0;3848.0;707.0;365.0;557.0;1612.0;4346.0;241.0;714.0;-472.0;79.0;156.0;-78.0;220.0;152.0;68.0;3864.0;24796.0
12;5211a Winkels in voedings-/genotmiddelen;2000;15305;282.4;140.6;264.0;126.1;25568.0;25386.0;24970.0;24599.0;371.0;415.0;182.0;24610.0;18777.0;2740.0;2273.0;81.0;385.0;616.0;2477.0;220.0;439.0;906.0;124.0;138.0;201.0;450.0;958.0;53.0;164.0;-110.0;46.0;98.0;-52.0;108.0;42.0;67.0;863.0;6609.0
13;5211a Winkels in voedings-/genotmiddelen;2001;14865;277.0;141.6;257.0;124.5;26904.0;26610.0;26287.0;25659.0;628.0;323.0;293.0;25884.0;19634.0;2960.0;2430.0;108.0;422.0;672.0;2618.0;247.0;473.0;941.0;170.0;150.0;203.0;434.0;1020.0;89.0;202.0;-113.0;84.0;37.0;47.0;82.0;149.0;-66.0;888.0;6976.0
14;5211a Winkels in voedings-/genotmiddelen;2002;13395;279.7;145.2;256.5;124.2;28623.0;28350.0;27836.0;27395.0;441.0;514.0;275.0;27425.0;20783.0;3160.0;2563.0;136.0;461.0;626.0;2856.0;245.0;488.0;990.0;185.0;159.0;228.0;561.0;1199.0;70.0;184.0;-113.0;30.0;71.0;-40.0;64.0;74.0;-9.0;1036.0;7566.0
15;5211 Supermarkten e.d.;2000;3575;225.8;102.9;218.6;98.9;20706.0;20565.0;20351.0;20105.0;245.0;214.0;141.0;20098.0;15502.0;2195.0;1824.0;60.0;310.0;467.0;1933.0;196.0;330.0;694.0;90.0;107.0;161.0;354.0;608.0;30.0;111.0;-82.0;45.0;97.0;-52.0;85.0;35.0;49.0;525.0;5063.0
16;5211 Supermarkten e.d.;2001;3435;221.4;103.3;213.7;98.5;21974.0;21713.0;21614.0;21314.0;300.0;99.0;260.0;21366.0;16286.0;2433.0;2000.0;86.0;346.0;547.0;2102.0;223.0;379.0;734.0;133.0;124.0;167.0;344.0;606.0;70.0;155.0;-86.0;76.0;33.0;43.0;70.0;139.0;-69.0;495.0;5428.0
17;5211 Supermarkten e.d.;2002;3080;222.1;106.2;214.0;99.7;23623.0;23383.0;23143.0;23051.0;93.0;240.0;240.0;22850.0;17406.0;2617.0;2120.0;114.0;384.0;504.0;2323.0;216.0;398.0;774.0;150.0;129.0;186.0;467.0;773.0;59.0;137.0;-78.0;29.0;68.0;-40.0;55.0;67.0;-12.0;643.0;5977.0
18;5221 Winkels in agf;2000;2040;9.8;6.4;7.5;4.2;630.0;627.0;626.0;593.0;33.0;2.0;3.0;565.0;387.0;76.0;64.0;1.0;10.0;20.0;81.0;3.0;13.0;29.0;6.0;5.0;8.0;18.0;65.0;1.0;5.0;-3.0;0.0;0.0;0.0;1.0;1.0;0.0;62.0;242.0
19;5221 Winkels in agf;2001;1930;9.0;5.9;6.8;3.9;589.0;588.0;586.0;498.0;88.0;2.0;1.0;529.0;380.0;67.0;56.0;1.0;9.0;17.0;63.0;4.0;11.0;25.0;4.0;4.0;7.0;10.0;62.0;4.0;8.0;-4.0;0.0;0.0;0.0;2.0;1.0;1.0;59.0;208.0
20;5221 Winkels in agf;2002;1655;7.6;5.1;5.5;3.1;574.0;572.0;566.0;486.0;80.0;6.0;2.0;515.0;371.0;68.0;57.0;1.0;10.0;17.0;59.0;2.0;9.0;21.0;5.0;5.0;8.0;9.0;60.0;1.0;7.0;-6.0;1.0;0.0;1.0;1.0;0.0;0.0;54.0;202.0
21;52221 Winkels in vlees en vleeswaren;2000;3370;18.0;11.9;14.7;8.9;1285.0;1274.0;1256.0;1234.0;21.0;19.0;11.0;1167.0;765.0;195.0;153.0;10.0;31.0;43.0;164.0;7.0;38.0;55.0;10.0;14.0;11.0;30.0;119.0;4.0;12.0;-8.0;0.0;0.0;0.0;5.0;0.0;4.0;115.0;509.0
22;52221 Winkels in vlees en vleeswaren;2001;3265;17.7;12.3;14.5;8.8;1289.0;1280.0;1266.0;1192.0;74.0;14.0;10.0;1150.0;767.0;190.0;149.0;9.0;33.0;39.0;153.0;8.0;33.0;52.0;11.0;11.0;10.0;27.0;139.0;9.0;18.0;-9.0;0.0;2.0;-2.0;2.0;1.0;1.0;129.0;513.0
23;52221 Winkels in vlees en vleeswaren;2002;2840;20.4;13.8;16.0;9.2;1330.0;1319.0;1304.0;1227.0;78.0;15.0;11.0;1186.0;774.0;202.0;161.0;7.0;35.0;44.0;167.0;8.0;31.0;61.0;13.0;13.0;11.0;30.0;144.0;8.0;16.0;-8.0;0.0;0.0;0.0;1.0;1.0;-1.0;135.0;546.0
24;52222 Winkels in wild en gevogelte;2000;305;1.4;1.0;1.0;0.7;106.0;105.0;92.0;86.0;6.0;12.0;0.0;95.0;68.0;10.0;8.0;0.0;1.0;4.0;13.0;0.0;3.0;5.0;0.0;1.0;1.0;2.0;11.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;37.0
25;52222 Winkels in wild en gevogelte;2001;285;1.1;0.9;0.8;0.5;98.0;98.0;98.0;85.0;13.0;0.0;1.0;86.0;63.0;9.0;8.0;0.0;1.0;3.0;11.0;0.0;2.0;4.0;1.0;1.0;1.0;1.0;12.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;35.0
26;52222 Winkels in wild en gevogelte;2002;255;1.1;0.8;0.7;0.3;94.0;94.0;94.0;55.0;39.0;0.0;0.0;80.0;54.0;9.0;8.0;0.0;1.0;2.0;14.0;0.0;2.0;6.0;0.0;1.0;1.0;3.0;15.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;40.0
27;5223 Winkels in vis;2000;670;3.2;2.0;2.5;1.4;202.0;202.0;200.0;188.0;11.0;2.0;0.0;179.0;113.0;25.0;21.0;1.0;4.0;11.0;30.0;1.0;5.0;13.0;1.0;1.0;3.0;5.0;24.0;0.0;2.0;-2.0;0.0;0.0;0.0;0.0;1.0;0.0;22.0;90.0
28;5223 Winkels in vis;2001;665;2.9;2.0;2.0;1.1;207.0;207.0;205.0;183.0;22.0;2.0;0.0;179.0;120.0;20.0;17.0;1.0;3.0;9.0;29.0;1.0;6.0;12.0;1.0;1.0;2.0;4.0;29.0;0.0;2.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;87.0
29;5223 Winkels in vis;2002;625;3.2;2.1;2.2;1.3;204.0;203.0;201.0;170.0;31.0;2.0;0.0;182.0;116.0;25.0;21.0;1.0;3.0;9.0;31.0;3.0;5.0;13.0;1.0;1.0;3.0;4.0;23.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;87.0
30;52242 Winkels in chocolade en suikerwerk;2000;395;2.0;1.3;1.6;0.8;113.0;111.0;109.0;107.0;1.0;3.0;1.0;103.0;58.0;18.0;16.0;0.0;2.0;3.0;23.0;1.0;3.0;13.0;1.0;2.0;1.0;3.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;53.0
31;52242 Winkels in chocolade en suikerwerk;2001;385;2.0;1.3;1.7;1.0;117.0;116.0;114.0;104.0;10.0;2.0;0.0;110.0;60.0;21.0;17.0;2.0;3.0;4.0;25.0;2.0;3.0;13.0;2.0;1.0;1.0;3.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;6.0;56.0
32;52242 Winkels in chocolade en suikerwerk;2002;370;1.9;1.4;1.4;0.8;99.0;99.0;99.0;97.0;2.0;0.0;0.0;90.0;57.0;13.0;11.0;1.0;2.0;3.0;18.0;0.0;2.0;11.0;1.0;1.0;1.0;1.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;42.0
33;5225 Winkels in dranken;2000;1005;6.8;4.8;5.8;3.8;1007.0;995.0;855.0;855.0;0.0;141.0;12.0;1016.0;800.0;96.0;79.0;5.0;11.0;33.0;87.0;5.0;20.0;36.0;6.0;3.0;6.0;13.0;-9.0;2.0;8.0;-6.0;1.0;1.0;0.0;3.0;2.0;1.0;-14.0;195.0
34;5225 Winkels in dranken;2001;1005;6.0;4.3;4.9;3.2;1053.0;1042.0;864.0;809.0;56.0;177.0;11.0;1016.0;822.0;88.0;72.0;6.0;11.0;17.0;90.0;5.0;17.0;34.0;8.0;2.0;5.0;18.0;36.0;1.0;6.0;-5.0;7.0;1.0;6.0;2.0;2.0;0.0;37.0;220.0
35;5225 Winkels in dranken;2002;960;5.9;4.1;4.5;2.8;1065.0;1054.0;848.0;813.0;35.0;206.0;11.0;1038.0;850.0;86.0;71.0;6.0;10.0;16.0;85.0;5.0;12.0;37.0;8.0;4.0;5.0;17.0;28.0;0.0;6.0;-5.0;0.0;1.0;0.0;4.0;2.0;2.0;24.0;205.0
36;5226 Winkels in tabaksprodukten;2000;1425;3.9;3.0;2.6;1.7;651.0;643.0;630.0;629.0;1.0;11.0;8.0;601.0;527.0;26.0;23.0;1.0;2.0;12.0;36.0;1.0;6.0;15.0;2.0;1.0;2.0;8.0;49.0;13.0;17.0;-4.0;0.0;0.0;0.0;4.0;0.0;4.0;49.0;115.0
37;5226 Winkels in tabaksprodukten;2001;1380;4.0;3.1;2.5;1.5;691.0;685.0;675.0;675.0;0.0;11.0;6.0;645.0;575.0;22.0;19.0;0.0;3.0;10.0;38.0;0.0;6.0;19.0;2.0;1.0;3.0;7.0;46.0;0.0;4.0;-4.0;0.0;0.0;0.0;1.0;2.0;-1.0;42.0;110.0
38;5226 Winkels in tabaksprodukten;2002;1270;4.8;3.5;2.8;1.8;715.0;708.0;694.0;694.0;0.0;14.0;7.0;657.0;585.0;28.0;23.0;1.0;4.0;9.0;35.0;3.0;8.0;16.0;1.0;1.0;1.0;7.0;57.0;0.0;6.0;-5.0;0.0;0.0;0.0;0.0;1.0;-1.0;51.0;123.0
39;52271 Winkels in kaas;2000;540;2.9;2.0;2.6;1.8;233.0;232.0;223.0;205.0;18.0;9.0;2.0;214.0;156.0;29.0;25.0;1.0;4.0;4.0;26.0;2.0;6.0;11.0;1.0;1.0;1.0;4.0;19.0;1.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;76.0
40;52271 Winkels in kaas;2001;530;2.6;1.7;2.0;1.2;204.0;204.0;191.0;173.0;18.0;12.0;0.0;189.0;140.0;23.0;19.0;1.0;4.0;4.0;21.0;0.0;5.0;10.0;2.0;2.0;1.0;2.0;15.0;2.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;17.0;64.0
41;52271 Winkels in kaas;2002;485;2.7;1.8;2.2;1.3;204.0;204.0;194.0;176.0;18.0;10.0;0.0;184.0;134.0;23.0;19.0;1.0;3.0;5.0;22.0;4.0;4.0;8.0;1.0;1.0;1.0;1.0;20.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;23.0;70.0
42;52272 Winkels in natuurvoed.,reformart.;2000;365;2.1;1.2;1.8;1.0;187.0;186.0;186.0;185.0;1.0;0.0;1.0;177.0;132.0;20.0;17.0;0.0;3.0;4.0;21.0;0.0;6.0;7.0;1.0;1.0;0.0;6.0;11.0;0.0;1.0;-1.0;0.0;0.0;0.0;4.0;0.0;4.0;14.0;54.0
43;52272 Winkels in natuurvoed.,reformart.;2001;380;2.6;1.6;2.1;1.1;206.0;205.0;204.0;199.0;4.0;0.0;2.0;191.0;141.0;22.0;19.0;1.0;3.0;5.0;22.0;1.0;4.0;10.0;2.0;1.0;1.0;4.0;15.0;0.0;2.0;-2.0;1.0;0.0;0.0;0.0;0.0;0.0;13.0;64.0
44;52272 Winkels in natuurvoed.,reformart.;2002;390;2.1;1.6;1.5;1.0;188.0;187.0;187.0;187.0;1.0;0.0;0.0;174.0;128.0;18.0;14.0;0.0;3.0;4.0;25.0;0.0;6.0;9.0;1.0;0.0;1.0;6.0;14.0;0.0;2.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;61.0
45;5212a Winkels in non-food,geen apotheek;2000;49615;390.3;270.0;340.9;226.6;39531.0;39208.0;37261.0;35960.0;1301.0;1948.0;321.0;36715.0;24532.0;5253.0;4343.0;191.0;720.0;1054.0;5877.0;423.0;1318.0;2390.0;425.0;171.0;299.0;850.0;2816.0;147.0;416.0;-269.0;31.0;71.0;-39.0;200.0;126.0;73.0;2581.0;14678.0
46;5212a Winkels in non-food,geen apotheek;2001;50200;410.6;287.1;353.2;234.4;41398.0;41025.0;39355.0;38331.0;1025.0;1670.0;372.0;38497.0;25637.0;5581.0;4618.0;217.0;745.0;1112.0;6168.0;430.0;1305.0;2576.0;454.0;172.0;291.0;939.0;2900.0;159.0;473.0;-313.0;18.0;35.0;-17.0;152.0;66.0;87.0;2656.0;15389.0
47;5212a Winkels in non-food,geen apotheek;2002;47620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;5212b Winkels in non-food artikelen;2000;51050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;5212b Winkels in non-food artikelen;2001;51620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;5212b Winkels in non-food artikelen;2002;48870;438.5;301.2;374.9;243.2;46368.0;45938.0;44055.0;38475.0;1631.0;1883.0;430.0;43221.0;28708.0;6347.0;5199.0;293.0;855.0;1318.0;6848.0;486.0;1396.0;2858.0;521.0;206.0;330.0;1051.0;3147.0;171.0;530.0;-359.0;48.0;86.0;-37.0;154.0;78.0;77.0;2828.0;17230.0
51;5231 Apotheken;2000;1435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;5231 Apotheken;2001;1420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;5231 Apotheken;2002;1250;20.8;14.7;20.3;13.9;3981.0;3957.0;3948.0;;;9.0;24.0;3656.0;2775.0;468.0;382.0;29.0;57.0;155.0;257.0;38.0;12.0;66.0;31.0;22.0;9.0;78.0;325.0;12.0;52.0;-40.0;5.0;1.0;3.0;8.0;5.0;3.0;291.0;1182.0
54;52321 Winkels in drogisterijartikelen;2000;1560;21.9;13.8;20.0;12.0;2157.0;2140.0;2029.0;2028.0;1.0;111.0;17.0;2028.0;1461.0;253.0;194.0;9.0;50.0;55.0;260.0;22.0;54.0;117.0;16.0;10.0;5.0;37.0;129.0;1.0;22.0;-20.0;11.0;15.0;-4.0;3.0;2.0;1.0;104.0;679.0
55;52321 Winkels in drogisterijartikelen;2001;1565;24.7;14.8;22.9;13.4;2356.0;2347.0;2215.0;2197.0;18.0;132.0;9.0;2230.0;1591.0;280.0;219.0;8.0;52.0;63.0;295.0;23.0;59.0;132.0;21.0;6.0;4.0;49.0;126.0;4.0;23.0;-18.0;1.0;1.0;0.0;7.0;1.0;7.0;113.0;756.0
56;52321 Winkels in drogisterijartikelen;2002;1385;26.0;15.9;23.7;14.5;2550.0;2532.0;2405.0;2392.0;14.0;127.0;19.0;2441.0;1716.0;317.0;258.0;11.0;49.0;66.0;341.0;26.0;81.0;155.0;16.0;11.0;5.0;45.0;109.0;1.0;15.0;-13.0;0.0;5.0;-5.0;9.0;3.0;6.0;97.0;816.0
57;5233 Winkels in parfums en cosmetica;2000;275;3.1;2.0;3.0;1.9;308.0;296.0;296.0;295.0;1.0;0.0;11.0;281.0;180.0;42.0;35.0;1.0;6.0;10.0;49.0;5.0;14.0;18.0;2.0;1.0;1.0;6.0;27.0;2.0;4.0;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;116.0
58;5233 Winkels in parfums en cosmetica;2001;270;3.6;2.4;3.5;2.2;352.0;350.0;348.0;344.0;4.0;1.0;2.0;325.0;203.0;53.0;44.0;1.0;8.0;14.0;55.0;7.0;9.0;25.0;4.0;0.0;1.0;8.0;27.0;1.0;4.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;147.0
59;5233 Winkels in parfums en cosmetica;2002;255;3.8;2.2;3.6;2.1;379.0;377.0;374.0;373.0;1.0;1.0;2.0;353.0;218.0;57.0;46.0;3.0;8.0;15.0;62.0;5.0;9.0;29.0;4.0;2.0;0.0;13.0;25.0;1.0;3.0;-2.0;0.0;1.0;0.0;1.0;0.0;0.0;23.0;157.0
60;5241 Winkels in stoffen, huishoudtextiel;2000;885;2.4;1.6;1.7;1.1;139.0;138.0;136.0;129.0;7.0;3.0;1.0;127.0;77.0;19.0;17.0;0.0;2.0;4.0;26.0;0.0;5.0;12.0;2.0;0.0;2.0;5.0;12.0;0.0;1.0;-1.0;0.0;0.0;0.0;2.0;0.0;2.0;12.0;61.0
61;5241 Winkels in stoffen, huishoudtextiel;2001;775;2.0;1.4;1.4;0.8;131.0;129.0;128.0;125.0;3.0;1.0;1.0;115.0;70.0;18.0;15.0;0.0;2.0;3.0;23.0;0.0;4.0;12.0;1.0;1.0;1.0;3.0;16.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;59.0
62;5241 Winkels in stoffen, huishoudtextiel;2002;685;2.4;1.7;1.4;0.7;121.0;120.0;119.0;110.0;10.0;2.0;1.0;109.0;66.0;15.0;12.0;0.0;2.0;3.0;26.0;0.0;4.0;11.0;1.0;1.0;1.0;7.0;12.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;54.0
63;5242a Winkels in bovenkleding;2000;7135;70.6;45.7;64.0;40.1;6133.0;6076.0;5887.0;5808.0;80.0;189.0;56.0;5723.0;3515.0;915.0;763.0;35.0;116.0;197.0;1095.0;65.0;197.0;539.0;81.0;25.0;41.0;149.0;410.0;33.0;71.0;-38.0;3.0;24.0;-21.0;79.0;46.0;34.0;384.0;2561.0
64;5242a Winkels in bovenkleding;2001;7275;71.6;46.8;65.5;41.2;6503.0;6411.0;6229.0;6113.0;116.0;181.0;93.0;6044.0;3666.0;970.0;803.0;40.0;127.0;214.0;1194.0;67.0;217.0;569.0;85.0;26.0;39.0;192.0;459.0;36.0;95.0;-59.0;5.0;7.0;-2.0;52.0;14.0;38.0;436.0;2745.0
65;5242a Winkels in bovenkleding;2002;6975;74.4;47.2;66.6;39.4;6601.0;6529.0;6396.0;6178.0;218.0;134.0;72.0;6186.0;3642.0;1031.0;845.0;47.0;139.0;228.0;1283.0;66.0;220.0;653.0;80.0;23.0;44.0;197.0;415.0;45.0;88.0;-44.0;2.0;5.0;-3.0;40.0;18.0;22.0;392.0;2887.0
66;52421 Winkels in herenbovenkleding;2000;920;4.6;3.3;3.8;2.7;538.0;535.0;532.0;523.0;9.0;2.0;3.0;485.0;309.0;72.0;60.0;3.0;9.0;19.0;86.0;5.0;19.0;39.0;3.0;3.0;4.0;14.0;53.0;4.0;6.0;-3.0;0.0;0.0;0.0;2.0;1.0;2.0;52.0;226.0
67;52421 Winkels in herenbovenkleding;2001;1005;5.0;3.7;4.4;3.1;575.0;573.0;572.0;559.0;12.0;2.0;1.0;530.0;334.0;78.0;65.0;2.0;10.0;16.0;101.0;6.0;22.0;45.0;7.0;1.0;5.0;16.0;45.0;1.0;6.0;-5.0;0.0;0.0;0.0;1.0;1.0;0.0;41.0;240.0
68;52421 Winkels in herenbovenkleding;2002;960;5.1;3.6;4.3;2.9;630.0;628.0;628.0;573.0;55.0;0.0;2.0;582.0;358.0;90.0;72.0;5.0;12.0;22.0;113.0;6.0;22.0;52.0;9.0;3.0;5.0;16.0;48.0;10.0;14.0;-3.0;0.0;0.0;0.0;2.0;2.0;-1.0;44.0;270.0
69;52422 Winkels in damesbovenkleding;2000;2675;21.5;14.0;18.8;11.8;1879.0;1860.0;1771.0;1742.0;28.0;89.0;18.0;1738.0;1085.0;266.0;220.0;10.0;36.0;61.0;327.0;20.0;57.0;165.0;23.0;6.0;12.0;43.0;141.0;12.0;22.0;-9.0;0.0;1.0;0.0;4.0;5.0;-1.0;131.0;775.0
70;52422 Winkels in damesbovenkleding;2001;2940;22.3;14.6;20.3;12.7;2122.0;2106.0;1995.0;1922.0;74.0;111.0;18.0;1944.0;1210.0;308.0;254.0;13.0;41.0;67.0;359.0;19.0;56.0;179.0;26.0;6.0;13.0;59.0;178.0;10.0;29.0;-18.0;0.0;1.0;-1.0;22.0;4.0;18.0;177.0;896.0
71;52422 Winkels in damesbovenkleding;2002;2730;24.0;15.2;20.9;12.0;2006.0;1998.0;1954.0;1873.0;81.0;44.0;8.0;1865.0;1101.0;314.0;258.0;14.0;42.0;67.0;381.0;22.0;64.0;197.0;23.0;6.0;14.0;56.0;142.0;13.0;19.0;-5.0;0.0;2.0;-2.0;15.0;2.0;14.0;148.0;897.0
72;52423 Winkels in baby- en kinderkleding;2000;725;1.9;1.3;1.4;0.8;164.0;163.0;162.0;156.0;6.0;1.0;0.0;155.0;102.0;15.0;12.0;0.0;3.0;5.0;33.0;1.0;6.0;15.0;4.0;1.0;2.0;5.0;8.0;2.0;6.0;-4.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;60.0
73;52423 Winkels in baby- en kinderkleding;2001;800;2.5;1.4;1.8;0.8;183.0;183.0;182.0;180.0;2.0;1.0;0.0;172.0;114.0;19.0;16.0;0.0;3.0;5.0;33.0;0.0;7.0;14.0;1.0;1.0;1.0;8.0;12.0;1.0;3.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;69.0
74;52423 Winkels in baby- en kinderkleding;2002;810;3.0;1.9;1.8;0.9;228.0;227.0;227.0;218.0;8.0;0.0;0.0;217.0;142.0;21.0;17.0;0.0;3.0;6.0;49.0;1.0;13.0;20.0;2.0;1.0;1.0;11.0;11.0;2.0;3.0;-1.0;0.0;1.0;-1.0;0.0;1.0;0.0;8.0;87.0
75;52424 Winkels in kleding alg assortiment;2000;2815;42.6;27.0;40.0;24.8;3553.0;3518.0;3422.0;3385.0;37.0;96.0;34.0;3345.0;2019.0;563.0;472.0;21.0;69.0;114.0;650.0;40.0;116.0;321.0;49.0;15.0;23.0;87.0;208.0;14.0;36.0;-23.0;3.0;23.0;-21.0;72.0;38.0;33.0;197.0;1499.0
76;52424 Winkels in kleding alg assortiment;2001;2530;41.7;27.1;39.1;24.6;3622.0;3549.0;3481.0;3452.0;29.0;68.0;74.0;3399.0;2007.0;564.0;468.0;23.0;73.0;125.0;701.0;41.0;133.0;331.0;50.0;17.0;20.0;109.0;224.0;22.0;58.0;-35.0;4.0;5.0;0.0;30.0;9.0;20.0;208.0;1541.0
