ID;RegioS;Perioden;AUAlleEconomischeActiviteiten_1;ALandbouwBosbouwEnVisserij_2;BENijverheidGeenBouwEnEnergie_3;BDelfstoffenwinning_4;CIndustrie_5;DEnergievoorziening_6;EWaterbedrijvenEnAfvalbeheer_7;FBouwnijverheid_8;GIHandelVervoerEnHoreca_9;JInformatieEnCommunicatie_10;KFinancieleDienstverlening_11;LVerhuurEnHandelVanOnroerendGoed_12;MNZakelijkeDienstverlening_13;OQOverheidEnZorg_14;RUCultuurRecreatieOverigeDiensten_15
31;Friesland (PV);2011;3243;285;781;341;296;87.0;56.0;57;267;33;141;890;118;633;39
32;Drenthe (PV);2008;2940;160;505;63;359;58.0;24.0;42;242;24;124;967;183;659;34
33;Drenthe (PV);2009;2459;149;418;91;189;104.0;34.0;47;215;17;80;807;99;598;27
34;Drenthe (PV);2010;2172;157;436;138;174;99.0;26.0;29;170;23;59;631;125;512;29
35;Drenthe (PV);2011;2032;158;376;121;193;31.0;31.0;43;199;15;65;567;100;478;31
36;Overijssel (PV);2008;7343;386;1062;3;760;187.0;112.0;154;811;96;220;2647;427;1455;86
37;Overijssel (PV);2009;6152;368;1071;7;756;100.0;208.0;140;610;83;179;2060;245;1321;76
38;Overijssel (PV);2010;5677;410;697;5;595;53.0;44.0;115;522;180;159;1747;215;1561;72
39;Overijssel (PV);2011;6657;497;843;5;725;33.0;80.0;136;706;354;171;2013;314;1547;74
40;Flevoland (PV);2008;2747;179;291;0;143;123.0;25.0;25;229;46;61;985;407;499;25
41;Flevoland (PV);2009;3003;176;257;0;102;97.0;58.0;25;220;47;44;989;818;408;20
42;Flevoland (PV);2010;4404;184;787;0;85;658.0;44.0;34;212;72;50;950;1655;437;24
43;Flevoland (PV);2011;3686;218;172;0;86;68.0;17.0;57;260;74;44;759;1710;371;21
44;Gelderland (PV);2008;13424;667;1428;26;1034;249.0;119.0;260;1231;217;671;5246;784;2746;173
45;Gelderland (PV);2009;12978;670;1349;7;791;191.0;359.0;260;1099;152;1172;4742;517;2876;142
46;Gelderland (PV);2010;11228;676;1313;6;694;249.0;364.0;163;1017;168;631;3902;423;2783;152
47;Gelderland (PV);2011;12731;745;1790;11;768;602.0;408.0;186;1528;127;1017;4046;481;2663;147
48;Utrecht (PV);2008;10817;160;481;0;356;65.0;60.0;183;1698;435;703;2945;1905;2174;134
49;Utrecht (PV);2009;9559;144;460;5;299;106.0;50.0;131;1109;341;692;2773;1247;2546;117
50;Utrecht (PV);2010;9965;164;437;7;270;98.0;62.0;99;1470;580;449;2417;1259;2969;121
51;Utrecht (PV);2011;10494;160;369;6;229;59.0;75.0;125;1015;867;709;2702;1193;3220;135
52;Noord-Holland (PV);2008;20918;397;1450;8;991;91.0;359.0;382;2933;1614;1257;6608;2457;3528;292
53;Noord-Holland (PV);2009;19604;302;2498;645;1195;421.0;236.0;268;3136;1214;822;5759;1621;3736;250
54;Noord-Holland (PV);2010;17520;319;1815;222;875;313.0;405.0;176;2724;959;1024;5270;1451;3530;251
55;Noord-Holland (PV);2011;17316;302;1730;277;778;84.0;590.0;247;3066;668;1642;4804;1442;3163;252
56;Zuid-Holland (PV);2008;27755;803;2181;15;1720;162.0;284.0;693;4566;794;1216;9126;2213;5825;337
57;Zuid-Holland (PV);2009;24404;577;2358;403;1471;215.0;269.0;588;3028;749;811;8231;1416;6346;299
58;Zuid-Holland (PV);2010;23562;560;2715;479;1392;522.0;323.0;736;3805;709;658;7020;1162;5894;302
59;Zuid-Holland (PV);2011;23456;656;3058;607;1501;626.0;324.0;737;3800;732;941;6137;1478;5620;296
60;Zeeland (PV);2008;2874;161;747;1;370;326.0;50.0;38;382;18;73;983;60;386;25
61;Zeeland (PV);2009;2653;163;563;1;468;73.0;21.0;39;488;52;52;820;58;393;24
62;Zeeland (PV);2010;2526;192;565;4;258;250.0;54.0;24;416;29;56;758;34;422;28
63;Zeeland (PV);2011;3008;201;679;6;612;20.0;41.0;45;751;10;60;810;51;375;26
64;Noord-Brabant (PV);2008;18197;819;2592;10;2119;268.0;194.0;421;1918;284;665;6438;1330;3523;207
65;Noord-Brabant (PV);2009;16325;861;2523;3;1922;234.0;364.0;338;1399;233;461;5892;799;3627;191
66;Noord-Brabant (PV);2010;15207;1080;2298;5;1892;97.0;304.0;214;1294;314;521;5085;657;3564;179
67;Noord-Brabant (PV);2011;16207;1131;2807;4;1959;436.0;408.0;289;1665;195;670;4763;1283;3223;183
68;Limburg (PV);2008;7227;388;1376;11;928;153.0;284.0;111;829;263;242;2592;393;944;87
69;Limburg (PV);2009;5877;382;984;8;696;67.0;213.0;74;752;83;170;2035;238;1097;61
70;Limburg (PV);2010;5167;514;859;9;568;106.0;177.0;45;570;72;185;1597;186;1064;74
71;Limburg (PV);2011;5458;566;958;10;705;199.0;43.0;71;594;178;222;1510;273;1004;82
72;Oost-Groningen (CR);2008;1001;41;447;6;67;;;17;65;4;16;251;23;129;7
73;Oost-Groningen (CR);2009;596;39;97;1;87;;;12;39;2;13;203;15;171;6
74;Oost-Groningen (CR);2010;502;48;63;2;60;;;6;53;2;10;152;9;153;5
75;Oost-Groningen (CR);2011;516;46;67;7;56;;;10;64;3;14;141;14;154;5
76;Delfzijl en omgeving (CR);2008;349;16;161;0;146;;;3;59;3;6;40;3;55;2
77;Delfzijl en omgeving (CR);2009;480;16;206;0;187;;;3;133;1;18;51;3;48;2
78;Delfzijl en omgeving (CR);2010;482;12;270;6;81;;;3;95;0;5;49;3;42;2
79;Delfzijl en omgeving (CR);2011;271;15;85;7;68;;;3;53;0;6;49;3;56;1
80;Overig Groningen (CR);2008;2669;74;356;12;196;;;48;297;64;161;945;103;594;25
81;Overig Groningen (CR);2009;2571;76;433;31;134;;;35;190;345;56;759;80;573;24
82;Overig Groningen (CR);2010;2111;83;438;91;131;;;31;159;190;57;574;55;500;24
83;Overig Groningen (CR);2011;1857;103;340;101;142;;;24;118;67;52;609;70;450;25
84;Noord-Friesland (CR);2008;1979;141;165;1;117;;;38;175;61;129;736;56;455;24
85;Noord-Friesland (CR);2009;1702;124;162;5;81;;;35;136;34;92;565;52;483;19
86;Noord-Friesland (CR);2010;1618;143;324;208;79;;;21;123;44;71;397;32;445;17
87;Noord-Friesland (CR);2011;1794;151;519;339;114;;;27;126;24;98;449;37;344;19
88;Zuidwest-Friesland (CR);2008;622;40;63;0;60;;;16;81;7;19;256;26;106;8
89;Zuidwest-Friesland (CR);2009;580;38;121;0;36;;;12;45;3;12;206;18;110;17
90;Zuidwest-Friesland (CR);2010;471;45;54;0;49;;;6;47;2;13;179;17;94;15
91;Zuidwest-Friesland (CR);2011;404;43;80;0;54;;;11;52;2;15;123;12;60;6
92;Zuidoost-Friesland (CR);2008;1374;84;100;0;80;;;34;141;13;252;464;42;224;19
93;Zuidoost-Friesland (CR);2009;1375;83;167;2;137;;;20;92;5;260;407;66;261;14
94;Zuidoost-Friesland (CR);2010;1017;81;127;4;96;;;15;108;7;59;308;68;228;16
95;Zuidoost-Friesland (CR);2011;1045;91;181;2;128;;;19;89;7;28;318;69;229;14
96;Noord-Drenthe (CR);2008;1259;52;130;58;54;;;13;92;8;63;457;124;306;14
97;Noord-Drenthe (CR);2009;967;52;134;69;39;;;17;64;8;31;363;55;232;12
98;Noord-Drenthe (CR);2010;844;48;155;95;38;;;8;69;4;22;218;92;213;14
99;Noord-Drenthe (CR);2011;888;62;182;81;67;;;12;80;5;26;263;54;189;15
100;Zuidoost-Drenthe (CR);2008;890;62;238;5;211;;;17;78;7;24;260;35;158;11
101;Zuidoost-Drenthe (CR);2009;741;59;168;20;90;;;16;57;5;15;221;22;168;10
102;Zuidoost-Drenthe (CR);2010;674;72;127;40;79;;;12;53;4;15;205;21;156;9
103;Zuidoost-Drenthe (CR);2011;636;56;130;36;71;;;18;64;5;15;169;26;147;7
104;Zuidwest-Drenthe (CR);2008;792;46;136;0;94;;;12;73;9;37;251;24;195;9
105;Zuidwest-Drenthe (CR);2009;750;39;116;2;60;;;15;94;5;33;223;22;198;6
106;Zuidwest-Drenthe (CR);2010;655;37;154;3;57;;;9;47;15;22;208;13;144;6
107;Zuidwest-Drenthe (CR);2011;508;41;64;4;56;;;13;55;6;24;134;21;142;8
108;Noord-Overijssel (CR);2008;2744;150;271;0;174;;;49;393;42;98;997;88;630;26
109;Noord-Overijssel (CR);2009;2094;141;208;0;157;;;47;161;28;76;760;66;578;29
110;Noord-Overijssel (CR);2010;2217;142;148;0;109;;;50;194;82;67;644;42;826;24
111;Noord-Overijssel (CR);2011;2382;180;192;1;134;;;46;238;24;70;768;69;771;23
112;Zuidwest-Overijssel (CR);2008;876;55;95;0;85;;;13;74;17;22;223;206;156;14
113;Zuidwest-Overijssel (CR);2009;602;49;71;0;65;;;9;83;16;25;203;38;98;12
114;Zuidwest-Overijssel (CR);2010;568;69;64;0;60;;;10;63;18;15;161;69;88;12
115;Zuidwest-Overijssel (CR);2011;692;72;75;0;70;;;9;99;9;16;206;68;126;11
116;Twente (CR);2008;3724;181;696;3;502;;;92;344;37;100;1427;133;669;45
117;Twente (CR);2009;3456;178;792;6;534;;;84;366;40;77;1097;141;645;35
118;Twente (CR);2010;2892;199;485;5;426;;;55;264;80;78;942;105;647;35
119;Twente (CR);2011;3583;245;576;4;521;;;81;369;320;85;1039;177;650;40
120;Veluwe (CR);2008;4573;219;358;0;309;;;112;430;71;181;1893;214;1036;58
121;Veluwe (CR);2009;4768;197;295;0;252;;;111;342;78;884;1568;149;1094;51
122;Veluwe (CR);2010;4097;220;353;2;226;;;59;335;73;394;1327;157;1125;53
123;Veluwe (CR);2011;4673;272;438;3;272;;;80;556;52;624;1399;163;1041;49
124;Achterhoek (CR);2008;2439;164;342;1;279;;;44;223;35;293;849;104;363;22
125;Achterhoek (CR);2009;2458;203;480;1;186;;;36;225;17;126;856;47;444;23
126;Achterhoek (CR);2010;2140;183;397;1;185;;;25;178;17;60;770;33;451;25
127;Achterhoek (CR);2011;2212;193;378;2;188;;;32;192;13;187;694;53;449;20
128;Arnhem/Nijmegen (CR);2008;4549;102;622;25;343;;;55;363;89;159;1979;187;933;60
129;Arnhem/Nijmegen (CR);2009;4111;86;441;6;238;;;44;323;41;135;1831;188;972;51
130;Arnhem/Nijmegen (CR);2010;3456;112;325;3;212;;;50;360;61;142;1350;150;851;55
131;Arnhem/Nijmegen (CR);2011;4254;109;834;6;226;;;40;609;46;166;1427;177;785;60
132;Zuidwest-Gelderland (CR);2008;1863;182;107;0;102;;;49;215;22;39;524;279;414;33
133;Zuidwest-Gelderland (CR);2009;1641;184;133;0;115;;;69;208;16;27;487;133;366;18
134;Zuidwest-Gelderland (CR);2010;1536;162;237;0;70;;;28;144;17;34;455;83;356;19
135;Zuidwest-Gelderland (CR);2011;1592;171;140;1;81;;;34;170;16;39;526;88;388;18
136;Utrecht (CR);2008;10817;160;481;0;356;;;183;1698;435;703;2945;1905;2174;134
137;Utrecht (CR);2009;9559;144;460;5;299;;;131;1109;341;692;2773;1247;2546;117
138;Utrecht (CR);2010;9965;164;437;7;270;;;99;1470;580;449;2417;1259;2969;121
139;Utrecht (CR);2011;10494;160;369;6;229;;;125;1015;867;709;2702;1193;3220;135
140;Kop van Noord-Holland (CR);2008;2361;236;163;5;122;;;73;247;17;69;794;75;663;24
141;Kop van Noord-Holland (CR);2009;2067;179;141;33;78;;;51;204;11;56;692;62;644;26
142;Kop van Noord-Holland (CR);2010;1827;183;222;118;66;;;38;172;8;51;544;55;532;21
143;Kop van Noord-Holland (CR);2011;1904;180;283;151;87;;;50;213;17;47;538;62;486;28
144;Alkmaar en omgeving (CR);2008;1334;30;118;1;60;;;28;129;22;68;530;127;261;23
145;Alkmaar en omgeving (CR);2009;1157;23;120;12;45;;;26;102;22;52;424;64;307;16
146;Alkmaar en omgeving (CR);2010;1353;24;135;36;44;;;13;97;76;159;422;53;361;13
147;Alkmaar en omgeving (CR);2011;1804;25;324;43;46;;;20;127;18;548;365;69;292;16
148;IJmond (CR);2008;1121;11;329;1;265;;;33;117;10;27;342;57;184;11
149;IJmond (CR);2009;1348;9;579;15;506;;;22;152;4;17;316;43;197;8
150;IJmond (CR);2010;854;11;206;19;141;;;15;114;4;19;229;35;211;9
151;IJmond (CR);2011;757;10;150;14;115;;;28;100;6;27;204;45;179;9
152;Agglomeratie Haarlem (CR);2008;913;2;110;0;106;;;15;96;31;43;289;55;251;23
153;Agglomeratie Haarlem (CR);2009;981;1;74;0;61;;;12;91;22;28;395;65;272;21
154;Agglomeratie Haarlem (CR);2010;1149;1;89;0;38;;;7;72;44;33;560;43;275;25
155;Agglomeratie Haarlem (CR);2011;1201;1;73;0;50;;;10;86;49;42;479;175;264;20
156;Zaanstreek (CR);2008;1138;7;89;0;85;;;22;98;5;23;490;24;372;8
157;Zaanstreek (CR);2009;1078;7;85;0;82;;;17;84;5;15;412;38;408;8
158;Zaanstreek (CR);2010;862;5;158;0;146;;;16;105;6;17;325;17;205;7
159;Zaanstreek (CR);2011;728;5;108;0;103;;;20;116;5;15;268;26;161;6
160;Groot-Amsterdam (CR);2008;12862;107;553;2;291;;;184;2124;1432;975;3702;2011;1597;178
161;Groot-Amsterdam (CR);2009;11860;77;1426;585;367;;;100;2373;1059;618;3105;1273;1685;147
162;Groot-Amsterdam (CR);2010;10370;88;953;49;400;;;76;2037;731;703;2698;1205;1726;153
163;Groot-Amsterdam (CR);2011;9728;74;724;69;324;;;103;2181;470;914;2517;971;1624;149
164;Het Gooi en Vechtstreek (CR);2008;1188;5;88;0;62;;;28;122;97;51;462;109;200;26
165;Het Gooi en Vechtstreek (CR);2009;1113;7;73;0;56;;;40;130;91;35;414;77;222;24
166;Het Gooi en Vechtstreek (CR);2010;1106;7;52;0;40;;;11;126;89;42;492;43;221;23
167;Het Gooi en Vechtstreek (CR);2011;1193;7;69;0;52;;;15;242;103;48;431;95;157;25
168;Agglomeratie Leiden en Bollenstreek (CR);2008;2507;58;170;4;150;;;56;216;36;74;1127;296;443;31
169;Agglomeratie Leiden en Bollenstreek (CR);2009;2084;50;219;50;139;;;27;171;18;70;922;153;430;24
170;Agglomeratie Leiden en Bollenstreek (CR);2010;2156;55;194;70;98;;;46;179;45;69;877;164;504;23
171;Agglomeratie Leiden en Bollenstreek (CR);2011;2520;58;190;58;108;;;53;189;151;180;973;153;548;25
172;Agglomeratie 's-Gravenhage (CR);2008;6800;71;138;4;105;;;74;343;439;552;2807;613;1655;108
173;Agglomeratie 's-Gravenhage (CR);2009;5982;60;525;336;86;;;56;286;527;233;2089;369;1735;102
174;Agglomeratie 's-Gravenhage (CR);2010;5022;50;438;313;77;;;51;423;458;177;1503;305;1510;108
175;Agglomeratie 's-Gravenhage (CR);2011;4387;54;531;419;66;;;47;292;350;176;1163;424;1253;96
176;Delft en Westland (CR);2008;1545;316;97;0;69;;;44;205;33;43;400;143;244;20
177;Delft en Westland (CR);2009;1396;183;145;0;87;;;35;163;22;24;410;184;217;12
178;Delft en Westland (CR);2010;1363;176;101;26;44;;;27;128;31;30;494;141;223;12
179;Delft en Westland (CR);2011;1295;215;135;40;43;;;26;181;25;31;347;122;201;12
180;Oost-Zuid-Holland (CR);2008;2266;100;133;0;95;;;55;279;34;54;729;416;441;24
181;Oost-Zuid-Holland (CR);2009;1964;88;109;0;94;;;52;212;23;44;774;145;486;32
182;Oost-Zuid-Holland (CR);2010;1636;77;106;2;67;;;36;164;18;40;636;140;396;23
183;Oost-Zuid-Holland (CR);2011;1854;95;95;3;58;;;42;187;29;49;668;188;469;30
184;Groot-Rijnmond (CR);2008;11651;213;1391;3;1092;;;226;3071;227;433;3311;631;2026;122
185;Groot-Rijnmond (CR);2009;9888;153;1117;15;853;;;183;1856;137;392;3162;484;2303;101
186;Groot-Rijnmond (CR);2010;10590;147;1628;67;898;;;427;2626;119;280;2764;360;2125;113
187;Groot-Rijnmond (CR);2011;10761;173;1853;85;996;;;444;2608;138;316;2428;509;2178;113
188;Zuidoost-Zuid-Holland (CR);2008;2986;45;252;4;209;;;238;453;25;60;752;113;1017;31
189;Zuidoost-Zuid-Holland (CR);2009;3090;43;244;1;212;;;235;341;22;48;874;81;1174;27
190;Zuidoost-Zuid-Holland (CR);2010;2795;55;248;0;208;;;151;285;38;62;746;53;1135;22
191;Zuidoost-Zuid-Holland (CR);2011;2638;60;252;1;230;;;124;342;40;189;558;81;970;21
192;Zeeuwsch-Vlaanderen (CR);2008;811;42;223;1;207;;;11;170;3;22;216;17;100;8
193;Zeeuwsch-Vlaanderen (CR);2009;864;49;261;0;249;;;12;252;1;17;156;12;98;5
194;Zeeuwsch-Vlaanderen (CR);2010;829;64;163;1;146;;;6;280;1;23;168;10;105;8
195;Zeeuwsch-Vlaanderen (CR);2011;1466;56;488;2;473;;;8;527;2;20;234;18;110;5
196;Overig Zeeland (CR);2008;2063;119;524;1;163;;;27;212;15;51;768;43;287;17
197;Overig Zeeland (CR);2009;1789;113;303;0;219;;;27;236;51;34;664;46;296;19
198;Overig Zeeland (CR);2010;1697;128;402;3;112;;;18;136;28;33;590;25;317;20
199;Overig Zeeland (CR);2011;1542;145;191;4;139;;;37;225;8;41;576;33;265;21
200;West-Noord-Brabant (CR);2008;4545;175;948;4;669;;;93;523;44;152;1390;193;979;48
201;West-Noord-Brabant (CR);2009;4208;167;711;1;496;;;81;409;68;95;1402;140;1079;57
202;West-Noord-Brabant (CR);2010;3830;180;661;2;532;;;74;401;32;99;1124;108;1115;36
203;West-Noord-Brabant (CR);2011;4694;177;605;2;427;;;68;658;37;181;1193;749;984;43
204;Midden-Noord-Brabant (CR);2008;3167;112;275;0;243;;;75;339;31;140;1058;346;755;37
205;Midden-Noord-Brabant (CR);2009;2726;116;309;0;286;;;66;262;15;108;924;199;695;33
206;Midden-Noord-Brabant (CR);2010;2519;192;241;0;203;;;33;214;16;78;875;212;614;42
207;Midden-Noord-Brabant (CR);2011;2506;178;385;0;348;;;42;261;22;88;820;183;485;43
208;Noordoost-Noord-Brabant (CR);2008;4834;282;546;4;444;;;144;427;77;163;1791;371;986;48
209;Noordoost-Noord-Brabant (CR);2009;4413;306;652;1;407;;;112;340;47;114;1524;232;1040;47
210;Noordoost-Noord-Brabant (CR);2010;4188;375;543;2;347;;;56;317;67;182;1391;157;1055;45
211;Noordoost-Noord-Brabant (CR);2011;4743;433;889;2;298;;;111;483;64;195;1298;162;1056;51
212;Zuidoost-Noord-Brabant (CR);2008;5651;251;823;2;763;;;109;629;133;209;2200;420;803;74
213;Zuidoost-Noord-Brabant (CR);2009;4978;272;852;0;734;;;79;388;103;144;2042;229;813;55
214;Zuidoost-Noord-Brabant (CR);2010;4671;333;853;0;810;;;50;362;199;162;1695;179;781;56
215;Zuidoost-Noord-Brabant (CR);2011;4265;343;929;0;885;;;68;263;73;206;1451;188;698;46
216;Noord-Limburg (CR);2008;1785;251;282;4;254;;;26;221;13;40;641;76;211;24
217;Noord-Limburg (CR);2009;1596;250;192;4;165;;;20;288;9;27;521;59;214;17
218;Noord-Limburg (CR);2010;1454;298;174;3;148;;;12;163;9;30;487;36;223;22
219;Noord-Limburg (CR);2011;1668;337;216;2;203;;;14;195;117;32;479;50;202;25
220;Midden-Limburg (CR);2008;1697;99;516;1;182;;;27;165;14;34;543;46;240;14
221;Midden-Limburg (CR);2009;1345;91;289;1;100;;;17;121;8;23;468;36;279;13
222;Midden-Limburg (CR);2010;1404;166;310;1;114;;;10;99;11;51;414;25;299;19
223;Midden-Limburg (CR);2011;1634;185;321;1;165;;;21;129;8;97;470;43;347;13
224;Zuid-Limburg (CR);2008;3744;39;578;6;492;;;59;443;236;168;1408;271;494;48
225;Zuid-Limburg (CR);2009;2936;41;504;4;430;;;37;343;66;120;1045;144;604;31
226;Zuid-Limburg (CR);2010;2309;50;376;6;306;;;23;309;53;104;697;124;542;32
227;Zuid-Limburg (CR);2011;2156;44;421;7;337;;;36;270;53;93;562;179;455;44
228;Flevoland (CR);2008;2747;179;291;0;143;;;25;229;46;61;985;407;499;25
229;Flevoland (CR);2009;3003;176;257;0;102;;;25;220;47;44;989;818;408;20
230;Flevoland (CR);2010;4404;184;787;0;85;;;34;212;72;50;950;1655;437;24
231;Flevoland (CR);2011;3686;218;172;0;86;;;57;260;74;44;759;1710;371;21
232;Utrecht-West (CP);2008;914;54;56;0;54;;;33;112;16;41;345;85;158;15
233;Utrecht-West (CP);2009;781;51;51;0;50;;;25;129;11;26;264;41;173;9
234;Utrecht-West (CP);2010;782;65;43;0;42;;;19;89;17;24;290;36;191;10
235;Utrecht-West (CP);2011;719;53;44;0;41;;;23;97;16;25;263;49;139;10
236;Stadsgewest Amersfoort (CP);2008;2180;23;97;0;83;;;35;169;61;76;883;252;559;24
237;Stadsgewest Amersfoort (CP);2009;1692;22;80;0;73;;;28;167;57;85;528;118;588;20
238;Stadsgewest Amersfoort (CP);2010;1484;21;96;0;61;;;16;127;71;70;458;209;396;21
239;Stadsgewest Amersfoort (CP);2011;1539;29;105;0;54;;;27;141;53;71;455;219;412;28
240;Stadsgewest Utrecht (CP);2008;6901;49;274;0;171;;;101;1317;344;567;1317;1529;1321;83
241;Stadsgewest Utrecht (CP);2009;6413;46;287;5;136;;;67;734;258;563;1702;1055;1627;74
242;Stadsgewest Utrecht (CP);2010;7082;46;254;7;124;;;56;1198;480;335;1470;989;2177;77
243;Stadsgewest Utrecht (CP);2011;7466;52;168;6;87;;;63;685;780;582;1711;890;2454;80
244;Zuidoost-Utrecht (CP);2008;822;35;54;0;48;;;14;100;14;19;401;38;135;12
245;Zuidoost-Utrecht (CP);2009;673;26;42;0;40;;;11;80;15;17;279;33;157;14
246;Zuidoost-Utrecht (CP);2010;617;32;45;0;43;;;8;57;14;20;198;26;206;13
247;Zuidoost-Utrecht (CP);2011;770;26;52;0;46;;;11;93;18;31;273;36;214;17
248;Amsterdam (CP);2008;6786;6;332;2;99;;;124;804;703;822;2367;601;883;146
249;Amsterdam (CP);2009;5907;4;452;3;106;;;34;638;516;507;2052;549;1039;117
250;Amsterdam (CP);2010;5719;4;543;5;102;;;29;775;392;593;1813;427;1023;121
251;Amsterdam (CP);2011;5724;3;392;6;101;;;45;818;313;792;1753;477;1016;113
252;Overig Agglomeratie Amsterdam (CP);2008;1093;13;94;0;93;;;14;136;129;93;374;67;165;8
253;Overig Agglomeratie Amsterdam (CP);2009;1402;12;63;0;24;;;8;112;371;70;364;247;149;8
254;Overig Agglomeratie Amsterdam (CP);2010;1416;11;247;0;231;;;6;383;97;64;388;66;147;6
255;Overig Agglomeratie Amsterdam (CP);2011;803;9;25;0;21;;;9;84;41;70;365;79;112;8
256;Edam-Volendam en omgeving (CP);2008;575;16;42;0;29;;;21;61;7;16;243;23;138;7
257;Edam-Volendam en omgeving (CP);2009;545;18;57;0;19;;;23;48;5;10;208;15;156;6
258;Edam-Volendam en omgeving (CP);2010;631;20;47;0;16;;;23;43;5;13;234;92;147;6
259;Edam-Volendam en omgeving (CP);2011;560;18;27;0;19;;;28;49;5;14;257;16;139;8
260;Haarlemmermeer en omgeving (CP);2008;4409;72;85;0;70;;;26;1123;593;44;717;1319;412;17
261;Haarlemmermeer en omgeving (CP);2009;4005;43;854;582;218;;;34;1575;167;30;481;462;342;16
262;Haarlemmermeer en omgeving (CP);2010;2604;54;117;44;51;;;17;836;237;33;263;619;409;19
263;Haarlemmermeer en omgeving (CP);2011;2641;44;280;62;183;;;21;1230;110;38;142;399;356;20
264;Aggl.'s-Gravenhage excl. Zoetermeer (CP);2008;6165;69;108;3;76;;;59;297;410;499;2492;588;1551;92
265;Aggl.'s-Gravenhage excl. Zoetermeer (CP);2009;5453;59;466;331;57;;;49;249;495;211;1867;344;1623;91
266;Aggl.'s-Gravenhage excl. Zoetermeer (CP);2010;4370;47;272;179;47;;;45;376;423;159;1266;282;1404;95
