ID;Vakantiekenmerken;Perioden;TotaalAantalLangeVakantiesNederland_1;AutoKampeerauto_2;Trein_3;OverigeVervoermiddelen_4
97;Hollands-Utrechtse meren (TR);2009;92.0;89.0;0.0;3.0
98;Hollands-Utrechtse meren (TR);2010;57.0;53.0;0.0;4.0
99;Hollands-Utrechtse meren (TR);2011;31.0;28.0;0.0;4.0
100;Hollands-Utrechtse meren (TR);2012;43.0;;;
101;Hollands-Utrechtse meren (TR);2013;;;;
102;Hollands-Utrechtse meren (TR);2014;;;;
103;Hollands-Utrechtse meren (TR);2015;;;;
104;Hollands-Utrechtse meren (TR);2016;;;;
105;Utrechtse Heuvelrug en 't Gooi (TR);2002;318.0;293.0;8.0;18.0
106;Utrechtse Heuvelrug en 't Gooi (TR);2003;168.0;149.0;5.0;14.0
107;Utrechtse Heuvelrug en 't Gooi (TR);2004;230.0;187.0;7.0;36.0
108;Utrechtse Heuvelrug en 't Gooi (TR);2005;192.0;173.0;3.0;15.0
109;Utrechtse Heuvelrug en 't Gooi (TR);2006;236.0;203.0;3.0;30.0
110;Utrechtse Heuvelrug en 't Gooi (TR);2007;173.0;158.0;4.0;11.0
111;Utrechtse Heuvelrug en 't Gooi (TR);2008;172.0;162.0;2.0;8.0
112;Utrechtse Heuvelrug en 't Gooi (TR);2009;110.0;95.0;3.0;12.0
113;Utrechtse Heuvelrug en 't Gooi (TR);2010;134.0;120.0;8.0;6.0
114;Utrechtse Heuvelrug en 't Gooi (TR);2011;121.0;113.0;1.0;7.0
115;Utrechtse Heuvelrug en 't Gooi (TR);2012;116.0;;;
116;Utrechtse Heuvelrug en 't Gooi (TR);2013;;;;
117;Utrechtse Heuvelrug en 't Gooi (TR);2014;;;;
118;Utrechtse Heuvelrug en 't Gooi (TR);2015;;;;
119;Utrechtse Heuvelrug en 't Gooi (TR);2016;;;;
120;Veluwe en Veluwerand (TR);2002;996.0;925.0;28.0;43.0
121;Veluwe en Veluwerand (TR);2003;1128.0;1051.0;43.0;34.0
122;Veluwe en Veluwerand (TR);2004;1076.0;997.0;41.0;37.0
123;Veluwe en Veluwerand (TR);2005;937.0;882.0;36.0;18.0
124;Veluwe en Veluwerand (TR);2006;973.0;912.0;28.0;33.0
125;Veluwe en Veluwerand (TR);2007;880.0;826.0;30.0;23.0
126;Veluwe en Veluwerand (TR);2008;978.0;907.0;32.0;40.0
127;Veluwe en Veluwerand (TR);2009;983.0;917.0;27.0;39.0
128;Veluwe en Veluwerand (TR);2010;904.0;855.0;27.0;22.0
129;Veluwe en Veluwerand (TR);2011;826.0;776.0;19.0;31.0
130;Veluwe en Veluwerand (TR);2012;914.0;877.0;19.0;18.0
131;Veluwe en Veluwerand (TR);2013;915.0;866.0;22.0;27.0
132;Veluwe en Veluwerand (TR);2014;815.0;764.0;22.0;30.0
133;Veluwe en Veluwerand (TR);2015;939.0;882.0;29.0;29.0
134;Veluwe en Veluwerand (TR);2016;848.0;826.0;13.0;10.0
135;Gelders Rivierengebied (TR);2002;82.0;70.0;2.0;11.0
136;Gelders Rivierengebied (TR);2003;56.0;56.0;0.0;0.0
137;Gelders Rivierengebied (TR);2004;56.0;54.0;0.0;2.0
138;Gelders Rivierengebied (TR);2005;73.0;71.0;0.0;2.0
139;Gelders Rivierengebied (TR);2006;59.0;59.0;0.0;0.0
140;Gelders Rivierengebied (TR);2007;64.0;56.0;0.0;8.0
141;Gelders Rivierengebied (TR);2008;78.0;64.0;0.0;14.0
142;Gelders Rivierengebied (TR);2009;77.0;73.0;2.0;2.0
143;Gelders Rivierengebied (TR);2010;86.0;84.0;0.0;2.0
144;Gelders Rivierengebied (TR);2011;80.0;70.0;2.0;8.0
145;Gelders Rivierengebied (TR);2012;57.0;;;
146;Gelders Rivierengebied (TR);2013;;;;
147;Gelders Rivierengebied (TR);2014;;;;
148;Gelders Rivierengebied (TR);2015;;;;
149;Gelders Rivierengebied (TR);2016;;;;
150;Achterhoek (TR);2002;309.0;282.0;15.0;12.0
151;Achterhoek (TR);2003;348.0;318.0;15.0;15.0
152;Achterhoek (TR);2004;341.0;305.0;23.0;13.0
153;Achterhoek (TR);2005;361.0;329.0;30.0;3.0
154;Achterhoek (TR);2006;367.0;347.0;13.0;7.0
155;Achterhoek (TR);2007;312.0;288.0;12.0;12.0
156;Achterhoek (TR);2008;376.0;357.0;8.0;11.0
157;Achterhoek (TR);2009;306.0;297.0;2.0;7.0
158;Achterhoek (TR);2010;302.0;286.0;8.0;8.0
159;Achterhoek (TR);2011;291.0;278.0;3.0;10.0
160;Achterhoek (TR);2012;297.0;287.0;7.0;4.0
161;Achterhoek (TR);2013;342.0;335.0;3.0;3.0
162;Achterhoek (TR);2014;328.0;303.0;4.0;21.0
163;Achterhoek (TR);2015;289.0;282.0;0.0;7.0
164;Achterhoek (TR);2016;299.0;278.0;6.0;15.0
165;Twente, Salland en Vechtstreek (TR);2002;735.0;675.0;24.0;35.0
166;Twente, Salland en Vechtstreek (TR);2003;798.0;750.0;20.0;29.0
167;Twente, Salland en Vechtstreek (TR);2004;739.0;683.0;26.0;30.0
168;Twente, Salland en Vechtstreek (TR);2005;740.0;702.0;20.0;17.0
169;Twente, Salland en Vechtstreek (TR);2006;688.0;639.0;24.0;25.0
170;Twente, Salland en Vechtstreek (TR);2007;696.0;640.0;30.0;26.0
171;Twente, Salland en Vechtstreek (TR);2008;714.0;649.0;43.0;23.0
172;Twente, Salland en Vechtstreek (TR);2009;650.0;585.0;20.0;46.0
173;Twente, Salland en Vechtstreek (TR);2010;720.0;677.0;15.0;29.0
174;Twente, Salland en Vechtstreek (TR);2011;748.0;707.0;13.0;28.0
175;Twente, Salland en Vechtstreek (TR);2012;697.0;680.0;13.0;4.0
176;Twente, Salland en Vechtstreek (TR);2013;640.0;618.0;11.0;11.0
177;Twente, Salland en Vechtstreek (TR);2014;660.0;626.0;6.0;28.0
178;Twente, Salland en Vechtstreek (TR);2015;628.0;596.0;15.0;17.0
179;Twente, Salland en Vechtstreek (TR);2016;727.0;661.0;17.0;49.0
180;Groningse, Friese en Drentse Zandgronden;2002;928.0;855.0;16.0;57.0
181;Groningse, Friese en Drentse Zandgronden;2003;876.0;821.0;30.0;25.0
182;Groningse, Friese en Drentse Zandgronden;2004;1047.0;973.0;45.0;28.0
183;Groningse, Friese en Drentse Zandgronden;2005;961.0;930.0;3.0;28.0
184;Groningse, Friese en Drentse Zandgronden;2006;989.0;919.0;24.0;46.0
185;Groningse, Friese en Drentse Zandgronden;2007;925.0;883.0;17.0;26.0
186;Groningse, Friese en Drentse Zandgronden;2008;951.0;915.0;18.0;18.0
187;Groningse, Friese en Drentse Zandgronden;2009;1074.0;1020.0;31.0;22.0
188;Groningse, Friese en Drentse Zandgronden;2010;1013.0;967.0;21.0;26.0
189;Groningse, Friese en Drentse Zandgronden;2011;1038.0;1001.0;25.0;12.0
190;Groningse, Friese en Drentse Zandgronden;2012;1023.0;996.0;15.0;12.0
191;Groningse, Friese en Drentse Zandgronden;2013;986.0;950.0;16.0;19.0
192;Groningse, Friese en Drentse Zandgronden;2014;903.0;884.0;14.0;5.0
193;Groningse, Friese en Drentse Zandgronden;2015;862.0;844.0;8.0;11.0
194;Groningse, Friese en Drentse Zandgronden;2016;987.0;928.0;19.0;40.0
195;West- en Midden-Brabant (TR);2002;882.0;808.0;11.0;63.0
196;West- en Midden-Brabant (TR);2003;718.0;661.0;20.0;37.0
197;West- en Midden-Brabant (TR);2004;772.0;705.0;28.0;39.0
198;West- en Midden-Brabant (TR);2005;711.0;664.0;13.0;35.0
199;West- en Midden-Brabant (TR);2006;784.0;722.0;20.0;42.0
200;West- en Midden-Brabant (TR);2007;756.0;705.0;15.0;36.0
201;West- en Midden-Brabant (TR);2008;768.0;721.0;23.0;24.0
202;West- en Midden-Brabant (TR);2009;697.0;657.0;13.0;27.0
203;West- en Midden-Brabant (TR);2010;683.0;638.0;12.0;34.0
204;West- en Midden-Brabant (TR);2011;630.0;600.0;9.0;21.0
205;West- en Midden-Brabant (TR);2012;694.0;643.0;22.0;28.0
206;West- en Midden-Brabant (TR);2013;720.0;664.0;33.0;24.0
207;West- en Midden-Brabant (TR);2014;620.0;571.0;20.0;29.0
208;West- en Midden-Brabant (TR);2015;653.0;613.0;13.0;27.0
209;West- en Midden-Brabant (TR);2016;664.0;606.0;22.0;36.0
210;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2002;862.0;792.0;36.0;34.0
211;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2003;775.0;710.0;26.0;38.0
212;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2004;1058.0;1003.0;32.0;23.0
213;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2005;888.0;842.0;20.0;26.0
214;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2006;897.0;845.0;27.0;25.0
215;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2007;865.0;820.0;26.0;19.0
216;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2008;884.0;817.0;35.0;31.0
217;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2009;958.0;928.0;18.0;12.0
218;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2010;843.0;812.0;9.0;22.0
219;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2011;914.0;889.0;23.0;2.0
220;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2012;909.0;859.0;30.0;20.0
221;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2013;830.0;802.0;20.0;7.0
222;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2014;812.0;784.0;22.0;6.0
223;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2015;841.0;807.0;14.0;19.0
224;O.-Brabant, N.-M.-Limburg, Nijmegen (TR);2016;839.0;812.0;9.0;18.0
225;Zuid-Limburg (TR);2002;474.0;401.0;62.0;11.0
226;Zuid-Limburg (TR);2003;414.0;352.0;47.0;14.0
227;Zuid-Limburg (TR);2004;357.0;303.0;30.0;24.0
228;Zuid-Limburg (TR);2005;394.0;328.0;46.0;21.0
229;Zuid-Limburg (TR);2006;376.0;343.0;15.0;17.0
230;Zuid-Limburg (TR);2007;470.0;424.0;36.0;10.0
231;Zuid-Limburg (TR);2008;445.0;401.0;26.0;18.0
232;Zuid-Limburg (TR);2009;417.0;370.0;35.0;12.0
233;Zuid-Limburg (TR);2010;394.0;363.0;26.0;5.0
234;Zuid-Limburg (TR);2011;466.0;430.0;34.0;2.0
235;Zuid-Limburg (TR);2012;373.0;342.0;20.0;12.0
236;Zuid-Limburg (TR);2013;401.0;374.0;15.0;12.0
237;Zuid-Limburg (TR);2014;425.0;395.0;22.0;7.0
238;Zuid-Limburg (TR);2015;377.0;362.0;12.0;4.0
239;Zuid-Limburg (TR);2016;384.0;349.0;31.0;4.0
240;4 grote steden excl. Noordzeebadplaatsen;2002;121.0;68.0;23.0;30.0
241;4 grote steden excl. Noordzeebadplaatsen;2003;71.0;51.0;14.0;6.0
242;4 grote steden excl. Noordzeebadplaatsen;2004;58.0;37.0;13.0;8.0
243;4 grote steden excl. Noordzeebadplaatsen;2005;55.0;42.0;5.0;8.0
244;4 grote steden excl. Noordzeebadplaatsen;2006;100.0;47.0;49.0;4.0
245;4 grote steden excl. Noordzeebadplaatsen;2007;76.0;54.0;9.0;13.0
246;4 grote steden excl. Noordzeebadplaatsen;2008;91.0;55.0;13.0;23.0
247;4 grote steden excl. Noordzeebadplaatsen;2009;113.0;81.0;21.0;12.0
248;4 grote steden excl. Noordzeebadplaatsen;2010;133.0;89.0;26.0;18.0
249;4 grote steden excl. Noordzeebadplaatsen;2011;114.0;63.0;26.0;25.0
250;4 grote steden excl. Noordzeebadplaatsen;2012;71.0;;;
251;4 grote steden excl. Noordzeebadplaatsen;2013;;;;
252;4 grote steden excl. Noordzeebadplaatsen;2014;;;;
253;4 grote steden excl. Noordzeebadplaatsen;2015;;;;
254;4 grote steden excl. Noordzeebadplaatsen;2016;;;;
255;Overig Nederland;2002;563.0;464.0;37.0;62.0
256;Overig Nederland;2003;513.0;419.0;21.0;73.0
257;Overig Nederland;2004;439.0;389.0;27.0;23.0
258;Overig Nederland;2005;435.0;341.0;29.0;65.0
259;Overig Nederland;2006;471.0;371.0;41.0;60.0
260;Overig Nederland;2007;485.0;432.0;13.0;40.0
261;Overig Nederland;2008;463.0;382.0;24.0;57.0
262;Overig Nederland;2009;403.0;346.0;27.0;30.0
263;Overig Nederland;2010;519.0;431.0;20.0;69.0
264;Overig Nederland;2011;450.0;394.0;25.0;31.0
265;Overig Nederland;2012;416.0;365.0;21.0;30.0
266;Overig Nederland;2013;443.0;345.0;54.0;44.0
267;Overig Nederland;2014;305.0;254.0;23.0;29.0
268;Overig Nederland;2015;397.0;349.0;10.0;38.0
269;Overig Nederland;2016;406.0;344.0;16.0;45.0
270;Groningen (PV);2002;148.0;118.0;9.0;21.0
271;Groningen (PV);2003;155.0;137.0;8.0;10.0
272;Groningen (PV);2004;140.0;121.0;8.0;10.0
273;Groningen (PV);2005;152.0;129.0;11.0;12.0
274;Groningen (PV);2006;191.0;145.0;25.0;21.0
275;Groningen (PV);2007;153.0;144.0;4.0;4.0
276;Groningen (PV);2008;218.0;193.0;11.0;13.0
277;Groningen (PV);2009;172.0;149.0;7.0;17.0
278;Groningen (PV);2010;209.0;189.0;8.0;12.0
279;Groningen (PV);2011;180.0;169.0;6.0;5.0
280;Groningen (PV);2012;175.0;;;
281;Groningen (PV);2013;;;;
282;Groningen (PV);2014;;;;
283;Groningen (PV);2015;;;;
284;Groningen (PV);2016;;;;
285;Friesland (PV);2002;785.0;570.0;72.0;143.0
286;Friesland (PV);2003;785.0;650.0;56.0;79.0
287;Friesland (PV);2004;716.0;606.0;34.0;76.0
288;Friesland (PV);2005;738.0;597.0;57.0;84.0
289;Friesland (PV);2006;743.0;605.0;38.0;100.0
290;Friesland (PV);2007;698.0;560.0;37.0;101.0
291;Friesland (PV);2008;626.0;490.0;39.0;97.0
292;Friesland (PV);2009;710.0;598.0;51.0;60.0
293;Friesland (PV);2010;709.0;573.0;29.0;107.0
294;Friesland (PV);2011;632.0;501.0;39.0;93.0
295;Friesland (PV);2012;615.0;496.0;25.0;93.0
296;Friesland (PV);2013;652.0;511.0;47.0;93.0
297;Friesland (PV);2014;602.0;464.0;37.0;101.0
298;Friesland (PV);2015;578.0;478.0;31.0;69.0
299;Friesland (PV);2016;689.0;569.0;42.0;78.0
300;Drenthe (PV);2002;848.0;786.0;16.0;46.0
301;Drenthe (PV);2003;804.0;754.0;30.0;21.0
302;Drenthe (PV);2004;922.0;858.0;35.0;28.0
303;Drenthe (PV);2005;857.0;827.0;1.0;28.0
304;Drenthe (PV);2006;878.0;820.0;24.0;34.0
305;Drenthe (PV);2007;842.0;807.0;17.0;18.0
306;Drenthe (PV);2008;860.0;831.0;15.0;14.0
307;Drenthe (PV);2009;964.0;913.0;29.0;22.0
308;Drenthe (PV);2010;909.0;870.0;13.0;26.0
309;Drenthe (PV);2011;942.0;907.0;25.0;10.0
310;Drenthe (PV);2012;938.0;916.0;15.0;7.0
311;Drenthe (PV);2013;887.0;858.0;15.0;15.0
312;Drenthe (PV);2014;817.0;801.0;12.0;4.0
313;Drenthe (PV);2015;794.0;776.0;8.0;11.0
314;Drenthe (PV);2016;905.0;847.0;19.0;40.0
315;Overijssel (PV);2002;814.0;747.0;24.0;43.0
316;Overijssel (PV);2003;854.0;801.0;22.0;31.0
317;Overijssel (PV);2004;796.0;733.0;29.0;35.0
318;Overijssel (PV);2005;802.0;762.0;20.0;20.0
319;Overijssel (PV);2006;810.0;754.0;26.0;30.0
320;Overijssel (PV);2007;821.0;732.0;42.0;47.0
321;Overijssel (PV);2008;788.0;722.0;43.0;23.0
322;Overijssel (PV);2009;723.0;658.0;20.0;46.0
323;Overijssel (PV);2010;821.0;778.0;15.0;29.0
324;Overijssel (PV);2011;823.0;771.0;13.0;38.0
325;Overijssel (PV);2012;752.0;731.0;16.0;5.0
326;Overijssel (PV);2013;758.0;723.0;15.0;21.0
327;Overijssel (PV);2014;754.0;711.0;7.0;36.0
328;Overijssel (PV);2015;699.0;658.0;17.0;24.0
329;Overijssel (PV);2016;781.0;706.0;24.0;51.0
330;Flevoland (PV);2002;115.0;94.0;9.0;13.0
331;Flevoland (PV);2003;180.0;162.0;9.0;10.0
332;Flevoland (PV);2004;163.0;139.0;4.0;21.0
333;Flevoland (PV);2005;138.0;121.0;12.0;5.0
334;Flevoland (PV);2006;158.0;144.0;11.0;3.0
335;Flevoland (PV);2007;168.0;152.0;5.0;11.0
336;Flevoland (PV);2008;174.0;153.0;8.0;12.0
337;Flevoland (PV);2009;184.0;167.0;5.0;12.0
338;Flevoland (PV);2010;131.0;124.0;6.0;1.0
339;Flevoland (PV);2011;209.0;196.0;6.0;8.0
340;Flevoland (PV);2012;219.0;201.0;2.0;15.0
341;Flevoland (PV);2013;;;;
342;Flevoland (PV);2014;;;;
343;Flevoland (PV);2015;;;;
344;Flevoland (PV);2016;260.0;236.0;2.0;22.0
345;Gelderland (PV);2002;1536.0;1407.0;55.0;75.0
346;Gelderland (PV);2003;1619.0;1502.0;63.0;53.0
347;Gelderland (PV);2004;1601.0;1467.0;72.0;63.0
348;Gelderland (PV);2005;1473.0;1359.0;76.0;37.0
349;Gelderland (PV);2006;1490.0;1401.0;45.0;44.0
350;Gelderland (PV);2007;1349.0;1255.0;46.0;48.0
351;Gelderland (PV);2008;1557.0;1431.0;47.0;79.0
352;Gelderland (PV);2009;1473.0;1390.0;33.0;50.0
353;Gelderland (PV);2010;1431.0;1347.0;43.0;41.0
354;Gelderland (PV);2011;1329.0;1246.0;27.0;56.0
355;Gelderland (PV);2012;1335.0;1277.0;31.0;27.0
356;Gelderland (PV);2013;1435.0;1367.0;31.0;37.0
357;Gelderland (PV);2014;1305.0;1216.0;32.0;56.0
358;Gelderland (PV);2015;1441.0;1358.0;34.0;48.0
359;Gelderland (PV);2016;1353.0;1284.0;25.0;44.0
360;Utrecht (PV);2002;372.0;341.0;8.0;24.0
361;Utrecht (PV);2003;257.0;228.0;21.0;8.0
362;Utrecht (PV);2004;275.0;213.0;20.0;42.0
363;Utrecht (PV);2005;232.0;211.0;6.0;14.0
364;Utrecht (PV);2006;269.0;239.0;3.0;27.0
365;Utrecht (PV);2007;200.0;182.0;4.0;14.0
366;Utrecht (PV);2008;219.0;202.0;2.0;15.0
367;Utrecht (PV);2009;176.0;156.0;6.0;13.0
368;Utrecht (PV);2010;190.0;175.0;8.0;6.0
369;Utrecht (PV);2011;167.0;152.0;4.0;10.0
370;Utrecht (PV);2012;158.0;;;
371;Utrecht (PV);2013;221.0;207.0;0.0;13.0
372;Utrecht (PV);2014;;;;
373;Utrecht (PV);2015;217.0;190.0;7.0;21.0
374;Utrecht (PV);2016;;;;
375;Noord-Holland (PV);2002;850.0;692.0;51.0;108.0
376;Noord-Holland (PV);2003;859.0;770.0;16.0;72.0
377;Noord-Holland (PV);2004;865.0;748.0;37.0;79.0
378;Noord-Holland (PV);2005;830.0;743.0;29.0;57.0
379;Noord-Holland (PV);2006;953.0;844.0;72.0;37.0
380;Noord-Holland (PV);2007;978.0;862.0;45.0;71.0
381;Noord-Holland (PV);2008;899.0;750.0;74.0;75.0
382;Noord-Holland (PV);2009;917.0;794.0;58.0;66.0
383;Noord-Holland (PV);2010;886.0;732.0;81.0;73.0
384;Noord-Holland (PV);2011;802.0;708.0;49.0;45.0
385;Noord-Holland (PV);2012;684.0;604.0;22.0;58.0
386;Noord-Holland (PV);2013;867.0;724.0;87.0;56.0
387;Noord-Holland (PV);2014;859.0;740.0;63.0;56.0
388;Noord-Holland (PV);2015;890.0;804.0;38.0;49.0
389;Noord-Holland (PV);2016;791.0;682.0;34.0;75.0
390;Zuid-Holland (PV);2002;617.0;558.0;27.0;32.0
391;Zuid-Holland (PV);2003;609.0;515.0;22.0;71.0
392;Zuid-Holland (PV);2004;567.0;524.0;24.0;19.0
393;Zuid-Holland (PV);2005;527.0;481.0;14.0;33.0
394;Zuid-Holland (PV);2006;523.0;453.0;48.0;23.0
395;Zuid-Holland (PV);2007;502.0;429.0;32.0;41.0
396;Zuid-Holland (PV);2008;429.0;363.0;30.0;36.0
397;Zuid-Holland (PV);2009;546.0;486.0;33.0;28.0
398;Zuid-Holland (PV);2010;528.0;452.0;12.0;63.0
399;Zuid-Holland (PV);2011;513.0;451.0;18.0;44.0
400;Zuid-Holland (PV);2012;473.0;412.0;21.0;39.0
401;Zuid-Holland (PV);2013;446.0;396.0;21.0;29.0
402;Zuid-Holland (PV);2014;363.0;311.0;28.0;23.0
403;Zuid-Holland (PV);2015;388.0;340.0;28.0;20.0
404;Zuid-Holland (PV);2016;414.0;369.0;25.0;20.0
405;Zeeland (PV);2002;969.0;905.0;18.0;46.0
406;Zeeland (PV);2003;1035.0;973.0;30.0;32.0
