ID;RegioS;Perioden;AantalNieuweWoninghypotheken_1;BedragNieuweWoninghypotheken_2
85;Nederland;1998 januari;28117;2750
86;Nederland;1998 februari;34971;3451
87;Nederland;1998 maart;45032;4330
88;Nederland;1998 1e kwartaal;108120;10531
89;Nederland;1998 april;46027;4560
90;Nederland;1998 mei;49202;4976
91;Nederland;1998 juni;49431;4986
92;Nederland;1998 2e kwartaal;144660;14522
93;Nederland;1998 juli;54493;5893
94;Nederland;1998 augustus;43468;4716
95;Nederland;1998 september;44448;4751
96;Nederland;1998 3e kwartaal;142409;15360
97;Nederland;1998 oktober;49477;5304
98;Nederland;1998 november;51458;5420
99;Nederland;1998 december;81117;8900
100;Nederland;1998 4e kwartaal;182052;19624
101;Nederland;1998;577241;60037
102;Nederland;1999 januari;34086;3723
103;Nederland;1999 februari;43363;4663
104;Nederland;1999 maart;59438;6342
105;Nederland;1999 1e kwartaal;136887;14728
106;Nederland;1999 april;58228;6416
107;Nederland;1999 mei;56060;6211
108;Nederland;1999 juni;61278;6973
109;Nederland;1999 2e kwartaal;175566;19600
110;Nederland;1999 juli;65842;7963
111;Nederland;1999 augustus;60163;7249
112;Nederland;1999 september;56675;6841
113;Nederland;1999 3e kwartaal;182680;22053
114;Nederland;1999 oktober;51918;6437
115;Nederland;1999 november;52038;6553
116;Nederland;1999 december;66053;8665
117;Nederland;1999 4e kwartaal;170009;21655
118;Nederland;1999;665142;78036
119;Nederland;2000 januari;31308;3906
120;Nederland;2000 februari;38424;4898
121;Nederland;2000 maart;44134;5674
122;Nederland;2000 1e kwartaal;113866;14478
123;Nederland;2000 april;38377;4969
124;Nederland;2000 mei;47763;6397
125;Nederland;2000 juni;38821;5224
126;Nederland;2000 2e kwartaal;124961;16590
127;Nederland;2000 juli;43883;6140
128;Nederland;2000 augustus;41429;5753
129;Nederland;2000 september;39198;5520
130;Nederland;2000 3e kwartaal;124510;17413
131;Nederland;2000 oktober;42368;5881
132;Nederland;2000 november;42372;5869
133;Nederland;2000 december;61962;9363
134;Nederland;2000 4e kwartaal;146702;21113
135;Nederland;2000;510039;69594
136;Nederland;2001 januari;29337;4033
137;Nederland;2001 februari;32191;4616
138;Nederland;2001 maart;38436;5457
139;Nederland;2001 1e kwartaal;99964;14106
140;Nederland;2001 april;36712;5495
141;Nederland;2001 mei;43291;6340
142;Nederland;2001 juni;40208;6080
143;Nederland;2001 2e kwartaal;120211;17915
144;Nederland;2001 juli;45202;7100
145;Nederland;2001 augustus;42025;6493
146;Nederland;2001 september;36498;5570
147;Nederland;2001 3e kwartaal;123725;19163
148;Nederland;2001 oktober;42478;6377
149;Nederland;2001 november;42279;6559
150;Nederland;2001 december;51883;8489
151;Nederland;2001 4e kwartaal;136640;21425
152;Nederland;2001;480540;72609
153;Nederland;2002 januari;32317;4895
154;Nederland;2002 februari;37055;5775
155;Nederland;2002 maart;45239;7158
156;Nederland;2002 1e kwartaal;114611;17828
157;Nederland;2002 april;41096;6303
158;Nederland;2002 mei;44511;7111
159;Nederland;2002 juni;41045;6631
160;Nederland;2002 2e kwartaal;126652;20045
161;Nederland;2002 juli;46444;7792
162;Nederland;2002 augustus;39333;6509
163;Nederland;2002 september;37923;6301
164;Nederland;2002 3e kwartaal;123700;20602
165;Nederland;2002 oktober;41471;6841
166;Nederland;2002 november;40852;6836
167;Nederland;2002 december;52108;9233
168;Nederland;2002 4e kwartaal;134431;22910
169;Nederland;2002;499394;81385
170;Nederland;2003 januari;31676;5317
171;Nederland;2003 februari;35326;6034
172;Nederland;2003 maart;38990;6560
173;Nederland;2003 1e kwartaal;105992;17911
174;Nederland;2003 april;43019;7383
175;Nederland;2003 mei;48170;8283
176;Nederland;2003 juni;43250;7440
177;Nederland;2003 2e kwartaal;134439;23106
178;Nederland;2003 juli;48073;8616
179;Nederland;2003 augustus;42646;7686
180;Nederland;2003 september;47982;8735
181;Nederland;2003 3e kwartaal;138701;25037
182;Nederland;2003 oktober;51082;9295
183;Nederland;2003 november;44483;8053
184;Nederland;2003 december;65690;12597
185;Nederland;2003 4e kwartaal;161255;29945
186;Nederland;2003;540387;95999
187;Oost-Groningen;1993 januari;116;7
188;Oost-Groningen;1993 februari;166;8
189;Oost-Groningen;1993 maart;219;11
190;Oost-Groningen;1993 1e kwartaal;501;26
191;Oost-Groningen;1993 april;256;13
192;Oost-Groningen;1993 mei;200;11
193;Oost-Groningen;1993 juni;302;16
194;Oost-Groningen;1993 2e kwartaal;758;40
195;Oost-Groningen;1993 juli;320;18
196;Oost-Groningen;1993 augustus;304;16
197;Oost-Groningen;1993 september;325;18
198;Oost-Groningen;1993 3e kwartaal;949;52
199;Oost-Groningen;1993 oktober;315;16
200;Oost-Groningen;1993 november;392;21
201;Oost-Groningen;1993 december;525;28
202;Oost-Groningen;1993 4e kwartaal;1232;65
203;Oost-Groningen;1993;3440;183
204;Oost-Groningen;1994 januari;301;17
205;Oost-Groningen;1994 februari;370;22
206;Oost-Groningen;1994 maart;500;26
207;Oost-Groningen;1994 1e kwartaal;1171;65
208;Oost-Groningen;1994 april;432;23
209;Oost-Groningen;1994 mei;451;24
210;Oost-Groningen;1994 juni;447;24
211;Oost-Groningen;1994 2e kwartaal;1330;71
212;Oost-Groningen;1994 juli;462;25
213;Oost-Groningen;1994 augustus;314;17
214;Oost-Groningen;1994 september;342;19
215;Oost-Groningen;1994 3e kwartaal;1118;61
216;Oost-Groningen;1994 oktober;283;15
217;Oost-Groningen;1994 november;320;19
218;Oost-Groningen;1994 december;351;20
219;Oost-Groningen;1994 4e kwartaal;954;54
220;Oost-Groningen;1994;4573;251
221;Oost-Groningen;1995 januari;173;10
222;Oost-Groningen;1995 februari;210;10
223;Oost-Groningen;1995 maart;264;13
224;Oost-Groningen;1995 1e kwartaal;647;33
225;Oost-Groningen;1995 april;265;15
226;Oost-Groningen;1995 mei;293;15
227;Oost-Groningen;1995 juni;337;19
228;Oost-Groningen;1995 2e kwartaal;895;49
229;Oost-Groningen;1995 juli;316;18
230;Oost-Groningen;1995 augustus;289;15
231;Oost-Groningen;1995 september;330;19
232;Oost-Groningen;1995 3e kwartaal;935;52
233;Oost-Groningen;1995 oktober;366;22
234;Oost-Groningen;1995 november;445;24
235;Oost-Groningen;1995 december;509;29
236;Oost-Groningen;1995 4e kwartaal;1320;75
237;Oost-Groningen;1995;3797;209
238;Oost-Groningen;1996 januari;288;17
239;Oost-Groningen;1996 februari;409;21
240;Oost-Groningen;1996 maart;488;25
241;Oost-Groningen;1996 1e kwartaal;1185;63
242;Oost-Groningen;1996 april;516;29
243;Oost-Groningen;1996 mei;514;35
244;Oost-Groningen;1996 juni;491;29
245;Oost-Groningen;1996 2e kwartaal;1521;93
246;Oost-Groningen;1996 juli;470;29
247;Oost-Groningen;1996 augustus;390;24
248;Oost-Groningen;1996 september;393;24
249;Oost-Groningen;1996 3e kwartaal;1253;77
250;Oost-Groningen;1996 oktober;430;23
251;Oost-Groningen;1996 november;411;23
252;Oost-Groningen;1996 december;606;40
253;Oost-Groningen;1996 4e kwartaal;1447;86
254;Oost-Groningen;1996;5406;319
255;Oost-Groningen;1997 januari;290;16
256;Oost-Groningen;1997 februari;381;25
257;Oost-Groningen;1997 maart;456;29
258;Oost-Groningen;1997 1e kwartaal;1127;70
259;Oost-Groningen;1997 april;565;37
260;Oost-Groningen;1997 mei;590;35
261;Oost-Groningen;1997 juni;555;37
262;Oost-Groningen;1997 2e kwartaal;1710;109
263;Oost-Groningen;1997 juli;581;37
264;Oost-Groningen;1997 augustus;505;36
265;Oost-Groningen;1997 september;490;32
266;Oost-Groningen;1997 3e kwartaal;1576;105
267;Oost-Groningen;1997 oktober;545;35
268;Oost-Groningen;1997 november;460;29
269;Oost-Groningen;1997 december;725;49
270;Oost-Groningen;1997 4e kwartaal;1730;113
271;Oost-Groningen;1997;6143;397
272;Oost-Groningen;1998 januari;300;19
273;Oost-Groningen;1998 februari;425;27
274;Oost-Groningen;1998 maart;537;36
275;Oost-Groningen;1998 1e kwartaal;1262;82
276;Oost-Groningen;1998 april;596;41
277;Oost-Groningen;1998 mei;628;44
278;Oost-Groningen;1998 juni;668;48
279;Oost-Groningen;1998 2e kwartaal;1892;133
280;Oost-Groningen;1998 juli;677;51
281;Oost-Groningen;1998 augustus;542;41
282;Oost-Groningen;1998 september;534;40
283;Oost-Groningen;1998 3e kwartaal;1753;132
284;Oost-Groningen;1998 oktober;621;44
285;Oost-Groningen;1998 november;639;44
286;Oost-Groningen;1998 december;933;72
287;Oost-Groningen;1998 4e kwartaal;2193;160
288;Oost-Groningen;1998;7100;507
289;Oost-Groningen;1999 januari;408;30
290;Oost-Groningen;1999 februari;532;40
291;Oost-Groningen;1999 maart;718;52
292;Oost-Groningen;1999 1e kwartaal;1658;122
293;Oost-Groningen;1999 april;679;52
294;Oost-Groningen;1999 mei;701;52
295;Oost-Groningen;1999 juni;717;53
296;Oost-Groningen;1999 2e kwartaal;2097;157
297;Oost-Groningen;1999 juli;818;68
298;Oost-Groningen;1999 augustus;664;56
299;Oost-Groningen;1999 september;707;63
300;Oost-Groningen;1999 3e kwartaal;2189;187
301;Oost-Groningen;1999 oktober;705;60
302;Oost-Groningen;1999 november;613;54
303;Oost-Groningen;1999 december;752;69
304;Oost-Groningen;1999 4e kwartaal;2070;183
305;Oost-Groningen;1999;8014;649
306;Oost-Groningen;2000 januari;360;33
307;Oost-Groningen;2000 februari;459;41
308;Oost-Groningen;2000 maart;541;42
309;Oost-Groningen;2000 1e kwartaal;1360;116
310;Oost-Groningen;2000 april;458;40
311;Oost-Groningen;2000 mei;571;52
312;Oost-Groningen;2000 juni;473;39
313;Oost-Groningen;2000 2e kwartaal;1502;131
314;Oost-Groningen;2000 juli;572;53
315;Oost-Groningen;2000 augustus;496;43
316;Oost-Groningen;2000 september;470;45
317;Oost-Groningen;2000 3e kwartaal;1538;141
318;Oost-Groningen;2000 oktober;512;48
319;Oost-Groningen;2000 november;498;39
320;Oost-Groningen;2000 december;658;61
321;Oost-Groningen;2000 4e kwartaal;1668;148
322;Oost-Groningen;2000;6068;536
323;Oost-Groningen;2001 januari;317;27
324;Oost-Groningen;2001 februari;360;31
325;Oost-Groningen;2001 maart;435;39
326;Oost-Groningen;2001 1e kwartaal;1112;97
327;Oost-Groningen;2001 april;375;34
328;Oost-Groningen;2001 mei;490;47
329;Oost-Groningen;2001 juni;421;41
330;Oost-Groningen;2001 2e kwartaal;1286;122
331;Oost-Groningen;2001 juli;533;57
332;Oost-Groningen;2001 augustus;518;52
333;Oost-Groningen;2001 september;411;37
334;Oost-Groningen;2001 3e kwartaal;1462;146
335;Oost-Groningen;2001 oktober;466;42
336;Oost-Groningen;2001 november;478;46
337;Oost-Groningen;2001 december;594;63
338;Oost-Groningen;2001 4e kwartaal;1538;151
339;Oost-Groningen;2001;5398;516
340;Oost-Groningen;2002 januari;406;38
341;Oost-Groningen;2002 februari;419;41
342;Oost-Groningen;2002 maart;536;57
343;Oost-Groningen;2002 1e kwartaal;1361;136
344;Oost-Groningen;2002 april;502;49
345;Oost-Groningen;2002 mei;489;49
346;Oost-Groningen;2002 juni;497;50
347;Oost-Groningen;2002 2e kwartaal;1488;148
348;Oost-Groningen;2002 juli;495;51
349;Oost-Groningen;2002 augustus;439;47
350;Oost-Groningen;2002 september;430;46
351;Oost-Groningen;2002 3e kwartaal;1364;144
352;Oost-Groningen;2002 oktober;512;58
353;Oost-Groningen;2002 november;508;56
354;Oost-Groningen;2002 december;569;70
355;Oost-Groningen;2002 4e kwartaal;1589;184
356;Oost-Groningen;2002;5802;612
357;Oost-Groningen;2003 januari;364;42
358;Oost-Groningen;2003 februari;370;46
359;Oost-Groningen;2003 maart;499;58
360;Oost-Groningen;2003 1e kwartaal;1233;146
361;Oost-Groningen;2003 april;472;57
362;Oost-Groningen;2003 mei;613;72
363;Oost-Groningen;2003 juni;487;60
364;Oost-Groningen;2003 2e kwartaal;1572;189
365;Oost-Groningen;2003 juli;542;67
366;Oost-Groningen;2003 augustus;464;56
367;Oost-Groningen;2003 september;512;65
368;Oost-Groningen;2003 3e kwartaal;1518;188
369;Oost-Groningen;2003 oktober;593;75
370;Oost-Groningen;2003 november;517;62
371;Oost-Groningen;2003 december;678;90
372;Oost-Groningen;2003 4e kwartaal;1788;227
373;Oost-Groningen;2003;6111;750
374;Delfzijl e.o.;1993 januari;26;1
375;Delfzijl e.o.;1993 februari;51;3
376;Delfzijl e.o.;1993 maart;59;3
377;Delfzijl e.o.;1993 1e kwartaal;136;7
378;Delfzijl e.o.;1993 april;72;4
379;Delfzijl e.o.;1993 mei;44;2
380;Delfzijl e.o.;1993 juni;92;5
381;Delfzijl e.o.;1993 2e kwartaal;208;11
382;Delfzijl e.o.;1993 juli;105;6
383;Delfzijl e.o.;1993 augustus;96;5
384;Delfzijl e.o.;1993 september;78;5
385;Delfzijl e.o.;1993 3e kwartaal;279;16
386;Delfzijl e.o.;1993 oktober;100;5
387;Delfzijl e.o.;1993 november;86;5
388;Delfzijl e.o.;1993 december;134;9
389;Delfzijl e.o.;1993 4e kwartaal;320;19
390;Delfzijl e.o.;1993;943;53
391;Delfzijl e.o.;1994 januari;66;4
392;Delfzijl e.o.;1994 februari;97;5
393;Delfzijl e.o.;1994 maart;122;7
394;Delfzijl e.o.;1994 1e kwartaal;285;16
395;Delfzijl e.o.;1994 april;109;5
396;Delfzijl e.o.;1994 mei;129;8
397;Delfzijl e.o.;1994 juni;89;5
398;Delfzijl e.o.;1994 2e kwartaal;327;18
399;Delfzijl e.o.;1994 juli;118;6
400;Delfzijl e.o.;1994 augustus;93;5
401;Delfzijl e.o.;1994 september;109;6
402;Delfzijl e.o.;1994 3e kwartaal;320;17
403;Delfzijl e.o.;1994 oktober;88;6
404;Delfzijl e.o.;1994 november;77;5
405;Delfzijl e.o.;1994 december;103;5
406;Delfzijl e.o.;1994 4e kwartaal;268;16
407;Delfzijl e.o.;1994;1200;67
408;Delfzijl e.o.;1995 januari;45;2
409;Delfzijl e.o.;1995 februari;52;2
410;Delfzijl e.o.;1995 maart;79;5
411;Delfzijl e.o.;1995 1e kwartaal;176;9
412;Delfzijl e.o.;1995 april;67;3
413;Delfzijl e.o.;1995 mei;76;5
414;Delfzijl e.o.;1995 juni;97;5
415;Delfzijl e.o.;1995 2e kwartaal;240;13
416;Delfzijl e.o.;1995 juli;87;5
417;Delfzijl e.o.;1995 augustus;85;5
418;Delfzijl e.o.;1995 september;100;6
419;Delfzijl e.o.;1995 3e kwartaal;272;16
420;Delfzijl e.o.;1995 oktober;128;7
421;Delfzijl e.o.;1995 november;138;8
422;Delfzijl e.o.;1995 december;187;10
423;Delfzijl e.o.;1995 4e kwartaal;453;25
424;Delfzijl e.o.;1995;1141;63
425;Delfzijl e.o.;1996 januari;75;4
426;Delfzijl e.o.;1996 februari;112;6
427;Delfzijl e.o.;1996 maart;135;7
428;Delfzijl e.o.;1996 1e kwartaal;322;17
429;Delfzijl e.o.;1996 april;125;6
430;Delfzijl e.o.;1996 mei;134;8
431;Delfzijl e.o.;1996 juni;116;6
432;Delfzijl e.o.;1996 2e kwartaal;375;20
433;Delfzijl e.o.;1996 juli;129;8
434;Delfzijl e.o.;1996 augustus;122;8
435;Delfzijl e.o.;1996 september;107;6
436;Delfzijl e.o.;1996 3e kwartaal;358;22
437;Delfzijl e.o.;1996 oktober;122;7
438;Delfzijl e.o.;1996 november;142;8
439;Delfzijl e.o.;1996 december;161;10
440;Delfzijl e.o.;1996 4e kwartaal;425;25
441;Delfzijl e.o.;1996;1480;84
442;Delfzijl e.o.;1997 januari;90;5
443;Delfzijl e.o.;1997 februari;110;5
444;Delfzijl e.o.;1997 maart;115;7
445;Delfzijl e.o.;1997 1e kwartaal;315;17
446;Delfzijl e.o.;1997 april;165;10
447;Delfzijl e.o.;1997 mei;136;8
448;Delfzijl e.o.;1997 juni;170;11
449;Delfzijl e.o.;1997 2e kwartaal;471;29
450;Delfzijl e.o.;1997 juli;100;7
451;Delfzijl e.o.;1997 augustus;115;8
452;Delfzijl e.o.;1997 september;132;11
453;Delfzijl e.o.;1997 3e kwartaal;347;26
454;Delfzijl e.o.;1997 oktober;145;8
455;Delfzijl e.o.;1997 november;125;10
456;Delfzijl e.o.;1997 december;220;15
457;Delfzijl e.o.;1997 4e kwartaal;490;33
458;Delfzijl e.o.;1997;1623;105
459;Delfzijl e.o.;1998 januari;84;5
460;Delfzijl e.o.;1998 februari;90;5
461;Delfzijl e.o.;1998 maart;144;8
462;Delfzijl e.o.;1998 1e kwartaal;318;18
463;Delfzijl e.o.;1998 april;169;11
464;Delfzijl e.o.;1998 mei;146;11
465;Delfzijl e.o.;1998 juni;167;11
466;Delfzijl e.o.;1998 2e kwartaal;482;33
467;Delfzijl e.o.;1998 juli;203;14
468;Delfzijl e.o.;1998 augustus;146;10
469;Delfzijl e.o.;1998 september;147;11
470;Delfzijl e.o.;1998 3e kwartaal;496;35
471;Delfzijl e.o.;1998 oktober;170;12
472;Delfzijl e.o.;1998 november;193;13
473;Delfzijl e.o.;1998 december;255;19
474;Delfzijl e.o.;1998 4e kwartaal;618;44
475;Delfzijl e.o.;1998;1914;130
476;Delfzijl e.o.;1999 januari;100;8
477;Delfzijl e.o.;1999 februari;128;10
478;Delfzijl e.o.;1999 maart;192;13
479;Delfzijl e.o.;1999 1e kwartaal;420;31
480;Delfzijl e.o.;1999 april;183;13
481;Delfzijl e.o.;1999 mei;208;16
482;Delfzijl e.o.;1999 juni;239;20
483;Delfzijl e.o.;1999 2e kwartaal;630;49
484;Delfzijl e.o.;1999 juli;194;15
485;Delfzijl e.o.;1999 augustus;208;17
486;Delfzijl e.o.;1999 september;182;15
487;Delfzijl e.o.;1999 3e kwartaal;584;47
488;Delfzijl e.o.;1999 oktober;186;16
489;Delfzijl e.o.;1999 november;193;15
490;Delfzijl e.o.;1999 december;223;20
491;Delfzijl e.o.;1999 4e kwartaal;602;51
492;Delfzijl e.o.;1999;2236;178
493;Delfzijl e.o.;2000 januari;99;7
494;Delfzijl e.o.;2000 februari;130;12
495;Delfzijl e.o.;2000 maart;166;13
496;Delfzijl e.o.;2000 1e kwartaal;395;32
497;Delfzijl e.o.;2000 april;145;12
498;Delfzijl e.o.;2000 mei;146;13
499;Delfzijl e.o.;2000 juni;135;12
500;Delfzijl e.o.;2000 2e kwartaal;426;37
501;Delfzijl e.o.;2000 juli;147;14
502;Delfzijl e.o.;2000 augustus;127;12
503;Delfzijl e.o.;2000 september;140;14
504;Delfzijl e.o.;2000 3e kwartaal;414;40
505;Delfzijl e.o.;2000 oktober;119;10
506;Delfzijl e.o.;2000 november;169;14
507;Delfzijl e.o.;2000 december;220;20
508;Delfzijl e.o.;2000 4e kwartaal;508;44
509;Delfzijl e.o.;2000;1743;153
510;Delfzijl e.o.;2001 januari;84;7
511;Delfzijl e.o.;2001 februari;105;9
512;Delfzijl e.o.;2001 maart;117;9
513;Delfzijl e.o.;2001 1e kwartaal;306;25
514;Delfzijl e.o.;2001 april;97;8
515;Delfzijl e.o.;2001 mei;155;12
516;Delfzijl e.o.;2001 juni;139;11
517;Delfzijl e.o.;2001 2e kwartaal;391;31
518;Delfzijl e.o.;2001 juli;154;14
519;Delfzijl e.o.;2001 augustus;119;11
520;Delfzijl e.o.;2001 september;124;11
521;Delfzijl e.o.;2001 3e kwartaal;397;36
522;Delfzijl e.o.;2001 oktober;152;14
523;Delfzijl e.o.;2001 november;141;13
524;Delfzijl e.o.;2001 december;178;16
525;Delfzijl e.o.;2001 4e kwartaal;471;43
526;Delfzijl e.o.;2001;1565;135
527;Delfzijl e.o.;2002 januari;96;9
528;Delfzijl e.o.;2002 februari;140;12
529;Delfzijl e.o.;2002 maart;149;13
530;Delfzijl e.o.;2002 1e kwartaal;385;34
531;Delfzijl e.o.;2002 april;140;12
532;Delfzijl e.o.;2002 mei;153;14
533;Delfzijl e.o.;2002 juni;173;16
534;Delfzijl e.o.;2002 2e kwartaal;466;42
535;Delfzijl e.o.;2002 juli;151;15
536;Delfzijl e.o.;2002 augustus;140;15
537;Delfzijl e.o.;2002 september;119;14
538;Delfzijl e.o.;2002 3e kwartaal;410;44
539;Delfzijl e.o.;2002 oktober;155;15
540;Delfzijl e.o.;2002 november;133;15
541;Delfzijl e.o.;2002 december;179;21
542;Delfzijl e.o.;2002 4e kwartaal;467;51
543;Delfzijl e.o.;2002;1728;171
544;Delfzijl e.o.;2003 januari;88;9
545;Delfzijl e.o.;2003 februari;92;10
546;Delfzijl e.o.;2003 maart;113;13
547;Delfzijl e.o.;2003 1e kwartaal;293;32
548;Delfzijl e.o.;2003 april;154;16
549;Delfzijl e.o.;2003 mei;147;15
550;Delfzijl e.o.;2003 juni;128;13
551;Delfzijl e.o.;2003 2e kwartaal;429;44
552;Delfzijl e.o.;2003 juli;139;16
553;Delfzijl e.o.;2003 augustus;151;17
554;Delfzijl e.o.;2003 september;184;21
555;Delfzijl e.o.;2003 3e kwartaal;474;54
556;Delfzijl e.o.;2003 oktober;188;21
557;Delfzijl e.o.;2003 november;154;16
558;Delfzijl e.o.;2003 december;212;28
559;Delfzijl e.o.;2003 4e kwartaal;554;65
560;Delfzijl e.o.;2003;1750;195
561;Overig Groningen;1993 januari;244;15
562;Overig Groningen;1993 februari;418;23
563;Overig Groningen;1993 maart;468;23
564;Overig Groningen;1993 1e kwartaal;1130;61
565;Overig Groningen;1993 april;542;29
566;Overig Groningen;1993 mei;458;25
567;Overig Groningen;1993 juni;776;49
568;Overig Groningen;1993 2e kwartaal;1776;103
569;Overig Groningen;1993 juli;681;43
570;Overig Groningen;1993 augustus;672;40
571;Overig Groningen;1993 september;593;40
572;Overig Groningen;1993 3e kwartaal;1946;123
573;Overig Groningen;1993 oktober;606;36
574;Overig Groningen;1993 november;633;38
575;Overig Groningen;1993 december;858;56
576;Overig Groningen;1993 4e kwartaal;2097;130
577;Overig Groningen;1993;6949;417
578;Overig Groningen;1994 januari;481;30
579;Overig Groningen;1994 februari;605;39
580;Overig Groningen;1994 maart;865;56
581;Overig Groningen;1994 1e kwartaal;1951;125
582;Overig Groningen;1994 april;742;48
583;Overig Groningen;1994 mei;783;48
584;Overig Groningen;1994 juni;840;52
585;Overig Groningen;1994 2e kwartaal;2365;148
586;Overig Groningen;1994 juli;789;53
587;Overig Groningen;1994 augustus;713;48
588;Overig Groningen;1994 september;742;49
589;Overig Groningen;1994 3e kwartaal;2244;150
590;Overig Groningen;1994 oktober;558;34
591;Overig Groningen;1994 november;574;37
592;Overig Groningen;1994 december;783;49
593;Overig Groningen;1994 4e kwartaal;1915;120
594;Overig Groningen;1994;8475;543
595;Overig Groningen;1995 januari;384;27
596;Overig Groningen;1995 februari;463;26
597;Overig Groningen;1995 maart;563;34
598;Overig Groningen;1995 1e kwartaal;1410;87
599;Overig Groningen;1995 april;499;29
600;Overig Groningen;1995 mei;579;33
601;Overig Groningen;1995 juni;688;41
602;Overig Groningen;1995 2e kwartaal;1766;103
603;Overig Groningen;1995 juli;628;41
604;Overig Groningen;1995 augustus;677;45
605;Overig Groningen;1995 september;676;46
606;Overig Groningen;1995 3e kwartaal;1981;132
607;Overig Groningen;1995 oktober;836;53
608;Overig Groningen;1995 november;801;51
609;Overig Groningen;1995 december;1074;68
610;Overig Groningen;1995 4e kwartaal;2711;172
611;Overig Groningen;1995;7868;494
612;Overig Groningen;1996 januari;585;37
613;Overig Groningen;1996 februari;791;53
614;Overig Groningen;1996 maart;919;58
615;Overig Groningen;1996 1e kwartaal;2295;148
616;Overig Groningen;1996 april;889;56
617;Overig Groningen;1996 mei;921;61
618;Overig Groningen;1996 juni;792;50
619;Overig Groningen;1996 2e kwartaal;2602;167
620;Overig Groningen;1996 juli;837;55
621;Overig Groningen;1996 augustus;866;59
622;Overig Groningen;1996 september;796;55
623;Overig Groningen;1996 3e kwartaal;2499;169
624;Overig Groningen;1996 oktober;895;60
625;Overig Groningen;1996 november;914;62
626;Overig Groningen;1996 december;1296;90
627;Overig Groningen;1996 4e kwartaal;3105;212
628;Overig Groningen;1996;10501;696
629;Overig Groningen;1997 januari;700;42
630;Overig Groningen;1997 februari;735;49
631;Overig Groningen;1997 maart;902;57
632;Overig Groningen;1997 1e kwartaal;2337;148
633;Overig Groningen;1997 april;1086;70
634;Overig Groningen;1997 mei;1196;85
