ID;Geslacht;Leeftijd;BurgerlijkeStaat;Perioden;OverledenenLeeftijdBijOverlijden_1;OverledenenLeeftijdOp31December_2
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2004;136553.0;136553.0
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2005;136402.0;136402.0
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2006;135372.0;135372.0
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2007;133022.0;133022.0
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2008;135136.0;135136.0
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2009;134235.0;134235.0
60;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2010;136058.0;136058.0
61;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2011;135741.0;135741.0
62;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2012;140813.0;140813.0
63;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2013;141245.0;141245.0
64;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2014;139223.0;139223.0
65;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2015;147134.0;147134.0
66;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2016;148997.0;148997.0
67;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2017;150214.0;150214.0
68;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2018;153363.0;153363.0
69;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2019;151885.0;151885.0
70;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2020;168678.0;168678.0
71;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2021;170972.0;170972.0
72;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2022;170112.0;170112.0
73;Totaal mannen en vrouwen;Totaal leeftijd;Totaal burgerlijke staat;2023;169521.0;169521.0
74;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1950;18268.0;18268.0
75;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1951;18391.0;18391.0
76;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1952;17233.0;17233.0
77;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1953;18171.0;18171.0
78;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1954;16932.0;16932.0
79;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1955;16722.0;16722.0
80;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1956;16693.0;16693.0
81;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1957;16389.0;16389.0
82;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1958;16400.0;16400.0
83;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1959;16860.0;16860.0
84;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1960;16580.0;16580.0
85;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1961;16122.0;16122.0
86;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1962;16956.0;16956.0
87;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1963;16775.0;16775.0
88;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1964;16168.0;16168.0
89;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1965;16287.0;16287.0
90;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1966;16774.0;16774.0
91;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1967;16215.0;16215.0
92;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1968;16808.0;16808.0
93;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1969;16943.0;16943.0
94;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1970;16961.0;16961.0
95;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1971;16598.0;16598.0
96;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1972;16851.0;16851.0
97;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1973;16106.0;16106.0
98;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1974;15479.0;15479.0
99;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1975;15597.0;15597.0
100;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1976;15474.0;15474.0
101;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1977;14813.0;14813.0
102;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1978;15258.0;15258.0
103;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1979;14574.0;14574.0
104;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1980;14762.0;14762.0
105;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1981;14710.0;14710.0
106;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1982;14810.0;14810.0
107;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1983;14632.0;14632.0
108;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1984;14857.0;14857.0
109;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1985;15047.0;15047.0
110;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1986;15450.0;15450.0
111;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1987;15147.0;15147.0
112;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1988;15049.0;15049.0
113;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1989;15679.0;15679.0
114;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1990;15594.0;15594.0
115;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1991;15823.0;15823.0
116;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1992;15713.0;15713.0
117;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1993;16545.0;16545.0
118;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1994;15838.0;15838.0
119;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1995;16029.0;16029.0
120;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1996;16185.0;16185.0
121;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1997;15098.0;15098.0
122;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1998;15717.0;15717.0
123;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;1999;16343.0;16343.0
124;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2000;16308.0;16308.0
125;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2001;16396.0;16396.0
126;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2002;16895.0;16895.0
127;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2003;16248.0;16248.0
128;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2004;15117.0;15117.0
129;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2005;15322.0;15322.0
130;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2006;14942.0;14942.0
131;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2007;14678.0;14678.0
132;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2008;15106.0;15106.0
133;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2009;15060.0;15060.0
134;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2010;14827.0;14827.0
135;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2011;14439.0;14439.0
136;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2012;15211.0;15211.0
137;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2013;15166.0;15166.0
138;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2014;15071.0;15071.0
139;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2015;15866.0;15866.0
140;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2016;16278.0;16278.0
141;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2017;16519.0;16519.0
142;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2018;16888.0;16888.0
143;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2019;16698.0;16698.0
144;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2020;18552.0;18552.0
145;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2021;19247.0;19247.0
146;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2022;19770.0;19770.0
147;Totaal mannen en vrouwen;Totaal leeftijd;Ongehuwd;2023;19969.0;19969.0
148;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1950;33284.0;33284.0
149;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1951;34243.0;34243.0
150;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1952;34471.0;34471.0
151;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1953;36545.0;36545.0
152;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1954;36323.0;36323.0
153;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1955;37479.0;37479.0
154;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1956;39298.0;39298.0
155;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1957;38673.0;38673.0
156;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1958;39506.0;39506.0
157;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1959;40472.0;40472.0
158;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1960;41600.0;41600.0
159;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1961;42712.0;42712.0
160;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1962;45100.0;45100.0
161;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1963;46422.0;46422.0
162;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1964;46291.0;46291.0
163;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1965;48775.0;48775.0
164;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1966;49538.0;49538.0
165;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1967;50252.0;50252.0
166;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1968;52222.0;52222.0
167;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1969;53932.0;53932.0
168;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1970;54968.0;54968.0
169;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1971;54832.0;54832.0
170;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1972;56800.0;56800.0
171;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1973;54985.0;54985.0
172;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1974;54372.0;54372.0
173;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1975;56792.0;56792.0
174;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1976;56401.0;56401.0
175;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1977;54989.0;54989.0
176;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1978;56341.0;56341.0
177;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1979;55373.0;55373.0
178;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1980;55769.0;55769.0
179;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1981;56007.0;56007.0
180;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1982;56274.0;56274.0
181;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1983;56393.0;56393.0
182;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1984;56338.0;56338.0
183;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1985;57435.0;57435.0
184;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1986;58044.0;58044.0
185;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1987;56463.0;56463.0
186;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1988;56856.0;56856.0
187;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1989;57856.0;57856.0
188;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1990;57397.0;57397.0
189;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1991;57630.0;57630.0
190;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1992;57416.0;57416.0
191;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1993;60132.0;60132.0
192;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1994;58422.0;58422.0
193;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1995;58369.0;58369.0
194;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1996;59269.0;59269.0
195;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1997;57964.0;57964.0
196;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1998;58314.0;58314.0
197;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;1999;58824.0;58824.0
198;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2000;58953.0;58953.0
199;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2001;58471.0;58471.0
200;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2002;58525.0;58525.0
201;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2003;58291.0;58291.0
202;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2004;56681.0;56681.0
203;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2005;56273.0;56273.0
204;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2006;55141.0;55141.0
205;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2007;54756.0;54756.0
206;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2008;54743.0;54743.0
207;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2009;54918.0;54918.0
208;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2010;56022.0;56022.0
209;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2011;55645.0;55645.0
210;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2012;57166.0;57166.0
211;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2013;57331.0;57331.0
212;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2014;56585.0;56585.0
213;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2015;58927.0;58927.0
214;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2016;59506.0;59506.0
215;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2017;59640.0;59640.0
216;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2018;61127.0;61127.0
217;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2019;61020.0;61020.0
218;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2020;67649.0;67649.0
219;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2021;68721.0;68721.0
220;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2022;66507.0;66507.0
221;Totaal mannen en vrouwen;Totaal leeftijd;Gehuwd;2023;65908.0;65908.0
222;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1950;23465.0;23465.0
223;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1951;24044.0;24044.0
224;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1952;23699.0;23699.0
225;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1953;25224.0;25224.0
226;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1954;25356.0;25356.0
227;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1955;26412.0;26412.0
228;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1956;27633.0;27633.0
229;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1957;26752.0;26752.0
230;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1958;27382.0;27382.0
231;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1959;27488.0;27488.0
232;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1960;28372.0;28372.0
233;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1961;28163.0;28163.0
234;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1962;30508.0;30508.0
235;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1963;30982.0;30982.0
236;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1964;29419.0;29419.0
237;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1965;31382.0;31382.0
238;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1966;32585.0;32585.0
239;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1967;31632.0;31632.0
240;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1968;34173.0;34173.0
241;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1969;34835.0;34835.0
242;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1970;35583.0;35583.0
243;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1971;36731.0;36731.0
244;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1972;37589.0;37589.0
245;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1973;37150.0;37150.0
246;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1974;36884.0;36884.0
247;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1975;38517.0;38517.0
248;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1976;39365.0;39365.0
249;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1977;37126.0;37126.0
250;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1978;39457.0;39457.0
251;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1979;38968.0;38968.0
252;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1980;39884.0;39884.0
253;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1981;40916.0;40916.0
254;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1982;41835.0;41835.0
255;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1983;42281.0;42281.0
256;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1984;43777.0;43777.0
257;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1985;45106.0;45106.0
258;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1986;46281.0;46281.0
259;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1987;45009.0;45009.0
260;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1988;46333.0;46333.0
261;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1989;48861.0;48861.0
262;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1990;48166.0;48166.0
263;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1991;49655.0;49655.0
264;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1992;49688.0;49688.0
265;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1993;53536.0;53536.0
266;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1994;51462.0;51462.0
267;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1995;53120.0;53120.0
268;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1996;53499.0;53499.0
269;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1997;53881.0;53881.0
270;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1998;54369.0;54369.0
271;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;1999;55655.0;55655.0
272;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2000;55207.0;55207.0
273;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2001;55435.0;55435.0
274;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2002;56297.0;56297.0
275;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2003;56443.0;56443.0
276;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2004;53990.0;53990.0
277;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2005;53764.0;53764.0
278;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2006;54135.0;54135.0
279;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2007;52405.0;52405.0
280;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2008;53519.0;53519.0
281;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2009;52309.0;52309.0
282;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2010;52879.0;52879.0
283;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2011;54870.0;54870.0
284;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2012;55059.0;55059.0
285;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2013;55062.0;55062.0
286;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2014;53884.0;53884.0
287;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2015;57246.0;57246.0
288;Totaal mannen en vrouwen;Totaal leeftijd;Verweduwd;2016;57621.0;57621.0
