ID;Kenmerken;Perioden;TotaalParen_1;TotaalFulltimeFulltime_2;TotaalFulltimeParttime_3;Man35UurOfMeerPartner20Tot35Uur_4;Man35UurOfMeerPartner12Tot20Uur_5;Vrouw35UurOfMeerPartner20Tot35U_6;Vrouw35UurOfMeerPartner12Tot20U_7;TotaalParttimeParttime_8;Beiden20Tot35Uur_9;Beiden12Tot20Uur_10;Man20Tot35UurPartner12Tot20Uur_11;Vrouw20Tot35UurPartner12Tot20U_12;TotaalFulltime_13;Man35UurOfMeer_14;Vrouw35UurOfMeer_15;Man35UurOfMeerPartner0Tot12Uur_16;Vrouw35UurOfMeerPartner0Tot12U_17;TotaalParttime_18;Man20Tot35UurPartnerWerktNiet_19;Man12Tot20UurPartnerWerktNiet_20;Vrouw20Tot35UurPartnerWerktNiet_21;Vrouw12Tot20UurPartnerWerktNiet_22;Man20Tot35UurPartner0Tot12Uur_23;Man12Tot20UurPartner0Tot12Uur_24;Vrouw20Tot35UurPartner0Tot12Uur_25;Vrouw12Tot20UurPartner0Tot12Uur_26;TotaalGeenWerkenden_27;Man0Tot12UurPartnerWerktNiet_28;Vrouw0Tot12UurPartnerWerktNiet_29;BeidenGeenWerk_30;Beiden0Tot12Uur_31
36;Paren met jongste kind 0-5 jaar;1998;788.0;41.0;300.0;184.0;110.0;5.0;;37.0;28.0;;7.0;;351.0;262.0;6.0;82.0;;25.0;12.0;;6.0;2.0;3.0;;;;34.0;2.0;;30.0;
37;Paren met jongste kind 0-5 jaar;1999;782.0;38.0;315.0;190.0;119.0;6.0;;41.0;32.0;;6.0;2.0;332.0;245.0;6.0;80.0;;27.0;14.0;;7.0;;3.0;;;;29.0;2.0;;26.0;
38;Paren met jongste kind 0-5 jaar;2000;828.0;44.0;349.0;213.0;127.0;8.0;2.0;44.0;34.0;;8.0;2.0;334.0;241.0;6.0;87.0;;22.0;10.0;;6.0;2.0;3.0;;;;33.0;;2.0;30.0;
39;Paren met jongste kind 0-5 jaar;2001;820.0;43.0;355.0;218.0;130.0;7.0;;39.0;29.0;;8.0;;322.0;230.0;6.0;85.0;;27.0;13.0;;6.0;2.0;4.0;;;;33.0;;;32.0;
40;Paren met jongste kind 0-5 jaar;2002;837.0;41.0;362.0;220.0;132.0;8.0;;50.0;38.0;;10.0;2.0;311.0;222.0;6.0;82.0;;34.0;14.0;3.0;10.0;2.0;4.0;;;;37.0;2.0;2.0;33.0;
41;Paren met jongste kind 0-5 jaar;2003;822.0;45.0;362.0;227.0;129.0;6.0;;54.0;41.0;;11.0;;291.0;208.0;8.0;75.0;;30.0;13.0;;10.0;2.0;3.0;;;;39.0;;2.0;36.0;
42;Paren met jongste kind 0-5 jaar;2004;837.0;43.0;374.0;237.0;129.0;8.0;;51.0;39.0;;9.0;2.0;289.0;203.0;9.0;76.0;;35.0;13.0;2.0;12.0;4.0;3.0;2.0;;;44.0;2.0;3.0;39.0;
43;Paren met jongste kind 0-5 jaar;2005;811.0;46.0;372.0;241.0;122.0;7.0;;57.0;43.0;;12.0;;260.0;186.0;8.0;65.0;2.0;35.0;13.0;2.0;11.0;4.0;4.0;;;;40.0;2.0;2.0;36.0;
44;Paren met jongste kind 0-5 jaar;2006;801.0;47.0;388.0;251.0;129.0;7.0;2.0;55.0;44.0;;9.0;;247.0;175.0;7.0;63.0;2.0;31.0;12.0;;11.0;2.0;3.0;2.0;;;33.0;3.0;;29.0;
45;Paren met jongste kind 6-11 jaar;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Paren met jongste kind 6-11 jaar;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Paren met jongste kind 6-11 jaar;1994;416.0;17.0;118.0;73.0;44.0;;;10.0;7.0;;2.0;;225.0;159.0;6.0;60.0;;16.0;7.0;;4.0;;2.0;;;;30.0;;3.0;26.0;
48;Paren met jongste kind 6-11 jaar;1995;412.0;19.0;121.0;71.0;46.0;3.0;;9.0;5.0;;3.0;;220.0;151.0;4.0;65.0;;17.0;7.0;;4.0;2.0;2.0;;;;27.0;;2.0;23.0;
49;Paren met jongste kind 6-11 jaar;1996;429.0;19.0;128.0;75.0;49.0;3.0;;10.0;7.0;;2.0;;232.0;163.0;4.0;65.0;;16.0;7.0;;5.0;2.0;2.0;;;;23.0;;2.0;20.0;
50;Paren met jongste kind 6-11 jaar;1997;436.0;21.0;142.0;86.0;53.0;3.0;;11.0;8.0;;3.0;;223.0;153.0;4.0;65.0;;17.0;7.0;;5.0;2.0;2.0;;;;21.0;;2.0;19.0;
51;Paren met jongste kind 6-11 jaar;1998;442.0;24.0;150.0;88.0;58.0;4.0;;15.0;12.0;;3.0;;218.0;150.0;5.0;62.0;;15.0;6.0;;4.0;;2.0;;;;20.0;;;17.0;
52;Paren met jongste kind 6-11 jaar;1999;462.0;27.0;172.0;102.0;67.0;2.0;;19.0;15.0;;3.0;;209.0;136.0;5.0;67.0;;17.0;7.0;;4.0;;3.0;;;;19.0;;2.0;16.0;
53;Paren met jongste kind 6-11 jaar;2000;455.0;26.0;181.0;110.0;66.0;4.0;;17.0;11.0;;5.0;;193.0;122.0;4.0;66.0;;16.0;6.0;;4.0;2.0;2.0;;;;22.0;;2.0;19.0;
54;Paren met jongste kind 6-11 jaar;2001;457.0;27.0;192.0;113.0;76.0;3.0;;22.0;16.0;;4.0;;180.0;112.0;5.0;62.0;;19.0;7.0;;6.0;2.0;4.0;;;;17.0;;;14.0;
55;Paren met jongste kind 6-11 jaar;2002;466.0;24.0;202.0;117.0;82.0;2.0;;27.0;21.0;;5.0;;173.0;113.0;5.0;54.0;;19.0;8.0;;6.0;2.0;2.0;;;;20.0;;2.0;18.0;
56;Paren met jongste kind 6-11 jaar;2003;467.0;26.0;204.0;118.0;82.0;3.0;;26.0;19.0;;5.0;;166.0;107.0;5.0;54.0;;22.0;6.0;;10.0;3.0;2.0;;;;22.0;2.0;2.0;18.0;
57;Paren met jongste kind 6-11 jaar;2004;438.0;25.0;197.0;115.0;79.0;3.0;;25.0;19.0;;4.0;;151.0;96.0;4.0;51.0;;20.0;5.0;;10.0;3.0;;;;;20.0;;2.0;17.0;
58;Paren met jongste kind 6-11 jaar;2005;456.0;25.0;208.0;123.0;79.0;5.0;;26.0;20.0;;5.0;;158.0;96.0;5.0;56.0;;20.0;6.0;;6.0;3.0;4.0;;;;18.0;;2.0;16.0;
59;Paren met jongste kind 6-11 jaar;2006;457.0;27.0;220.0;127.0;86.0;6.0;;27.0;20.0;;6.0;;146.0;92.0;5.0;49.0;;17.0;5.0;;6.0;2.0;2.0;;;;20.0;;2.0;17.0;
60;Paren met jongste kind 12-17 jaar;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Paren met jongste kind 12-17 jaar;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;Paren met jongste kind 12-17 jaar;1994;412.0;31.0;124.0;85.0;36.0;;;7.0;5.0;;;;198.0;142.0;4.0;52.0;;21.0;9.0;;5.0;2.0;3.0;;;;31.0;;4.0;26.0;
63;Paren met jongste kind 12-17 jaar;1995;407.0;29.0;134.0;88.0;43.0;;;7.0;5.0;;2.0;;187.0;136.0;3.0;48.0;;20.0;8.0;;5.0;3.0;2.0;;;;29.0;;3.0;24.0;
64;Paren met jongste kind 12-17 jaar;1996;400.0;27.0;132.0;90.0;40.0;2.0;;8.0;5.0;;2.0;;182.0;131.0;4.0;47.0;;21.0;6.0;;8.0;3.0;2.0;;;;30.0;;3.0;25.0;
65;Paren met jongste kind 12-17 jaar;1997;392.0;33.0;130.0;86.0;40.0;3.0;;10.0;6.0;;3.0;;178.0;123.0;4.0;50.0;;17.0;6.0;;6.0;2.0;2.0;;;;25.0;;2.0;21.0;
66;Paren met jongste kind 12-17 jaar;1998;397.0;34.0;151.0;100.0;46.0;4.0;;12.0;8.0;;3.0;;165.0;115.0;4.0;46.0;;15.0;6.0;;3.0;;3.0;;;;21.0;;2.0;18.0;
67;Paren met jongste kind 12-17 jaar;1999;395.0;37.0;152.0;101.0;46.0;5.0;;10.0;7.0;;3.0;;159.0;111.0;3.0;44.0;;13.0;4.0;;5.0;;2.0;;;;23.0;;2.0;20.0;
68;Paren met jongste kind 12-17 jaar;2000;380.0;30.0;157.0;107.0;47.0;3.0;;17.0;11.0;;5.0;;142.0;94.0;6.0;43.0;;14.0;6.0;;4.0;;;;;;21.0;;2.0;18.0;
69;Paren met jongste kind 12-17 jaar;2001;389.0;39.0;166.0;113.0;48.0;4.0;;13.0;10.0;;3.0;;135.0;91.0;5.0;38.0;;19.0;7.0;;8.0;2.0;2.0;;;;16.0;;2.0;14.0;
70;Paren met jongste kind 12-17 jaar;2002;380.0;34.0;171.0;114.0;53.0;3.0;;15.0;11.0;;3.0;;124.0;83.0;6.0;35.0;;17.0;6.0;;5.0;2.0;3.0;;;;18.0;;2.0;15.0;
71;Paren met jongste kind 12-17 jaar;2003;397.0;35.0;177.0;118.0;55.0;3.0;;17.0;11.0;;4.0;;125.0;80.0;5.0;39.0;;22.0;6.0;;8.0;2.0;5.0;;;;20.0;;2.0;17.0;
72;Paren met jongste kind 12-17 jaar;2004;405.0;29.0;183.0;118.0;60.0;4.0;;17.0;12.0;;4.0;;123.0;79.0;5.0;39.0;;27.0;9.0;;12.0;3.0;2.0;;;;25.0;;2.0;21.0;
73;Paren met jongste kind 12-17 jaar;2005;405.0;31.0;184.0;123.0;56.0;4.0;;19.0;13.0;;5.0;;125.0;81.0;5.0;38.0;;23.0;5.0;;12.0;4.0;;;;;22.0;;3.0;18.0;
74;Paren met jongste kind 12-17 jaar;2006;408.0;35.0;189.0;122.0;63.0;3.0;;20.0;15.0;;4.0;;124.0;80.0;5.0;38.0;;21.0;4.0;;10.0;2.0;2.0;2.0;;;19.0;;;16.0;
75;Paren zonder minderjarige kinderen;1992;1753.0;395.0;371.0;280.0;70.0;20.0;2.0;29.0;21.0;2.0;4.0;2.0;507.0;395.0;31.0;75.0;5.0;101.0;33.0;8.0;32.0;15.0;4.0;4.0;2.0;2.0;351.0;15.0;19.0;312.0;4.0
76;Paren zonder minderjarige kinderen;1993;1785.0;391.0;382.0;285.0;68.0;25.0;3.0;33.0;24.0;;5.0;3.0;505.0;387.0;37.0;76.0;5.0;106.0;37.0;9.0;37.0;15.0;3.0;4.0;2.0;;368.0;12.0;23.0;329.0;4.0
77;Paren zonder minderjarige kinderen;1994;1814.0;382.0;389.0;294.0;69.0;21.0;4.0;36.0;26.0;;5.0;4.0;508.0;384.0;39.0;81.0;4.0;125.0;38.0;7.0;46.0;18.0;6.0;5.0;3.0;2.0;374.0;16.0;24.0;330.0;4.0
78;Paren zonder minderjarige kinderen;1995;1826.0;384.0;423.0;321.0;73.0;24.0;4.0;42.0;30.0;2.0;6.0;3.0;495.0;370.0;41.0;80.0;4.0;121.0;42.0;8.0;39.0;18.0;7.0;4.0;;2.0;363.0;13.0;25.0;321.0;4.0
79;Paren zonder minderjarige kinderen;1996;1840.0;401.0;427.0;320.0;75.0;28.0;3.0;43.0;31.0;;7.0;3.0;500.0;369.0;39.0;87.0;5.0;120.0;34.0;7.0;45.0;19.0;8.0;3.0;2.0;2.0;350.0;14.0;23.0;309.0;3.0
80;Paren zonder minderjarige kinderen;1997;1846.0;418.0;445.0;333.0;82.0;26.0;4.0;43.0;33.0;;6.0;3.0;481.0;357.0;38.0;81.0;5.0;120.0;39.0;6.0;40.0;17.0;9.0;5.0;3.0;2.0;338.0;12.0;26.0;297.0;3.0
81;Paren zonder minderjarige kinderen;1998;1874.0;435.0;474.0;352.0;90.0;29.0;4.0;47.0;31.0;2.0;10.0;4.0;481.0;361.0;35.0;81.0;4.0;118.0;39.0;6.0;41.0;16.0;8.0;4.0;2.0;;319.0;14.0;20.0;282.0;3.0
82;Paren zonder minderjarige kinderen;1999;1878.0;444.0;477.0;360.0;87.0;25.0;5.0;49.0;35.0;2.0;9.0;4.0;477.0;358.0;34.0;82.0;3.0;123.0;35.0;8.0;43.0;20.0;9.0;5.0;2.0;2.0;309.0;14.0;19.0;272.0;4.0
83;Paren zonder minderjarige kinderen;2000;1861.0;425.0;497.0;369.0;92.0;32.0;4.0;56.0;39.0;3.0;10.0;4.0;460.0;339.0;34.0;84.0;4.0;126.0;45.0;6.0;43.0;17.0;11.0;4.0;2.0;2.0;293.0;13.0;22.0;254.0;3.0
84;Paren zonder minderjarige kinderen;2001;1847.0;416.0;485.0;360.0;96.0;26.0;4.0;60.0;44.0;2.0;10.0;4.0;456.0;335.0;35.0;80.0;6.0;136.0;46.0;10.0;46.0;21.0;10.0;5.0;2.0;2.0;289.0;13.0;22.0;250.0;3.0
85;Paren zonder minderjarige kinderen;2002;1817.0;373.0;503.0;376.0;95.0;29.0;3.0;69.0;48.0;2.0;13.0;5.0;447.0;330.0;33.0;79.0;5.0;137.0;38.0;10.0;52.0;23.0;10.0;4.0;2.0;3.0;285.0;16.0;21.0;243.0;5.0
86;Paren zonder minderjarige kinderen;2003;1827.0;374.0;511.0;375.0;100.0;32.0;4.0;69.0;51.0;;12.0;5.0;430.0;308.0;40.0;77.0;5.0;142.0;46.0;10.0;53.0;19.0;8.0;6.0;;3.0;296.0;16.0;24.0;250.0;6.0
87;Paren zonder minderjarige kinderen;2004;1812.0;348.0;509.0;376.0;101.0;29.0;3.0;67.0;47.0;2.0;10.0;8.0;442.0;306.0;47.0;83.0;6.0;146.0;38.0;11.0;59.0;21.0;11.0;7.0;3.0;2.0;292.0;16.0;22.0;249.0;5.0
88;Paren zonder minderjarige kinderen;2005;1787.0;342.0;500.0;373.0;95.0;28.0;4.0;74.0;49.0;3.0;15.0;7.0;418.0;282.0;42.0;87.0;7.0;152.0;40.0;10.0;62.0;25.0;9.0;8.0;3.0;3.0;293.0;15.0;25.0;249.0;4.0
89;Paren zonder minderjarige kinderen;2006;1775.0;356.0;507.0;373.0;98.0;30.0;6.0;79.0;52.0;4.0;16.0;7.0;396.0;270.0;39.0;80.0;7.0;165.0;44.0;11.0;65.0;22.0;11.0;7.0;3.0;2.0;273.0;14.0;21.0;234.0;4.0
90;Paren met jongste kind 18 jaar of ouder;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Paren met jongste kind 18 jaar of ouder;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Paren met jongste kind 18 jaar of ouder;1994;437.0;24.0;89.0;60.0;28.0;;;6.0;4.0;;1.0;;200.0;159.0;4.0;37.0;;28.0;10.0;2.0;9.0;4.0;2.0;;;;89.0;4.0;7.0;78.0;
93;Paren met jongste kind 18 jaar of ouder;1995;423.0;23.0;91.0;63.0;27.0;;;7.0;5.0;;;;190.0;149.0;5.0;35.0;;33.0;14.0;2.0;8.0;6.0;2.0;;;;79.0;2.0;8.0;69.0;
94;Paren met jongste kind 18 jaar of ouder;1996;402.0;25.0;90.0;60.0;28.0;2.0;;7.0;4.0;;2.0;;174.0;134.0;5.0;35.0;;31.0;11.0;2.0;10.0;4.0;2.0;;;;76.0;3.0;7.0;65.0;
95;Paren met jongste kind 18 jaar of ouder;1997;394.0;27.0;99.0;64.0;31.0;2.0;;9.0;6.0;;2.0;;167.0;127.0;5.0;35.0;;27.0;10.0;2.0;8.0;4.0;3.0;;;;65.0;2.0;6.0;56.0;
96;Paren met jongste kind 18 jaar of ouder;1998;361.0;27.0;97.0;60.0;35.0;;;7.0;4.0;;2.0;;154.0;119.0;5.0;29.0;;25.0;9.0;;8.0;3.0;3.0;;;;51.0;2.0;5.0;44.0;
97;Paren met jongste kind 18 jaar of ouder;1999;356.0;25.0;103.0;70.0;30.0;2.0;;9.0;5.0;;3.0;1.0;144.0;108.0;6.0;30.0;;28.0;11.0;;7.0;5.0;3.0;;;;48.0;2.0;4.0;41.0;
98;Paren met jongste kind 18 jaar of ouder;2000;357.0;29.0;105.0;71.0;30.0;4.0;;7.0;3.0;;3.0;;144.0;108.0;4.0;31.0;;25.0;11.0;;7.0;3.0;2.0;;;;47.0;2.0;5.0;40.0;
99;Paren met jongste kind 18 jaar of ouder;2001;369.0;34.0;116.0;80.0;34.0;2.0;;10.0;7.0;;2.0;;143.0;106.0;4.0;32.0;;26.0;9.0;2.0;6.0;4.0;4.0;;;;39.0;2.0;4.0;33.0;
100;Paren met jongste kind 18 jaar of ouder;2002;376.0;27.0;123.0;84.0;35.0;3.0;;14.0;9.0;;3.0;;138.0;102.0;4.0;32.0;;29.0;8.0;2.0;10.0;6.0;2.0;2.0;;;44.0;2.0;5.0;37.0;
101;Paren met jongste kind 18 jaar of ouder;2003;353.0;27.0;120.0;77.0;40.0;2.0;;13.0;8.0;;4.0;;120.0;88.0;4.0;28.0;;25.0;9.0;;9.0;3.0;;;;;45.0;2.0;5.0;38.0;
102;Paren met jongste kind 18 jaar of ouder;2004;361.0;28.0;125.0;83.0;39.0;3.0;;12.0;8.0;;3.0;;124.0;86.0;9.0;29.0;;28.0;8.0;2.0;11.0;3.0;3.0;2.0;;;43.0;2.0;6.0;35.0;
103;Paren met jongste kind 18 jaar of ouder;2005;364.0;30.0;126.0;89.0;34.0;3.0;;16.0;9.0;;5.0;;123.0;84.0;6.0;32.0;;28.0;9.0;2.0;12.0;4.0;2.0;;;;42.0;;4.0;35.0;
