ID;Geslacht;Leeftijd;Geboorteland;CaribischNederland;Perioden;Immigratie_1;EmigratieInclusiefAdministratieveC_2;MigratiesaldoInclusiefAdministratie_3
30;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2015;170;849;-679
31;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2016;170;110;60
32;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2017;232;141;91
33;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2018;169;386;-217
34;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2019;201;213;-12
35;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2020;115;146;-31
36;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2021;180;117;63
37;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2022;166;119;47
38;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2023;168;269;-101
39;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2011;406;253;153
40;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2012;468;422;46
41;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2013;303;431;-128
42;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2014;353;391;-38
43;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2015;325;204;121
44;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2016;338;275;63
45;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2017;288;150;138
46;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2018;229;472;-243
47;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2019;228;243;-15
48;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2020;134;154;-20
49;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2021;195;178;17
50;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2022;248;134;114
51;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2023;246;186;60
52;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2011;2006;1042;964
53;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2012;2052;1160;892
54;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2013;1943;1154;789
55;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2014;1537;1368;169
56;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2015;1581;1716;-135
57;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2016;1617;1834;-217
58;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2017;1728;1192;536
59;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2018;1552;1506;46
60;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2019;1766;1017;749
61;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2020;1522;851;671
62;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2021;1814;980;834
63;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2022;2536;892;1644
64;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2023;2158;1147;1011
65;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2011;1357;658;699
66;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2012;1355;643;712
67;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2013;1342;508;834
68;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2014;1043;706;337
69;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2015;1121;696;425
70;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2016;1152;1487;-335
71;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2017;1245;929;316
72;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2018;1174;714;460
73;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2019;1361;594;767
74;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2020;1298;580;718
75;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2021;1471;718;753
76;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2022;2140;676;1464
77;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2023;1772;746;1026
78;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2011;257;148;109
79;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2012;240;106;134
80;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2013;313;228;85
81;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2014;152;281;-129
82;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2015;147;819;-672
83;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2016;137;87;50
84;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2017;202;119;83
85;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2018;153;329;-176
86;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2019;182;188;-6
87;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2020;97;127;-30
88;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2021;157;91;66
89;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2022;153;91;62
90;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2023;145;222;-77
91;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2011;392;236;156
92;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2012;457;411;46
93;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2013;288;418;-130
94;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2014;342;381;-39
95;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2015;313;201;112
96;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2016;328;260;68
97;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2017;281;144;137
98;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2018;225;463;-238
99;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2019;223;235;-12
100;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2020;127;144;-17
101;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2021;186;171;15
102;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2022;243;125;118
103;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Saba;2023;241;179;62
104;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Caribisch Nederland;2011;1726;786;940
105;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Caribisch Nederland;2012;1701;909;792
106;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Caribisch Nederland;2013;1551;936;615
107;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Caribisch Nederland;2014;1209;1135;74
108;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Caribisch Nederland;2015;1256;1505;-249
109;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Caribisch Nederland;2016;1314;1624;-310
110;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Caribisch Nederland;2017;1447;943;504
111;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Caribisch Nederland;2018;1238;1227;11
112;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Caribisch Nederland;2019;1420;802;618
113;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Caribisch Nederland;2020;1098;676;422
114;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Caribisch Nederland;2021;1415;761;654
115;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Caribisch Nederland;2022;2060;650;1410
116;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Caribisch Nederland;2023;1812;854;958
117;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Bonaire;2011;1129;451;678
118;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Bonaire;2012;1041;439;602
119;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Bonaire;2013;1012;351;661
120;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Bonaire;2014;766;522;244
121;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Bonaire;2015;836;526;310
122;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Bonaire;2016;896;1319;-423
123;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Bonaire;2017;1022;714;308
124;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Bonaire;2018;917;519;398
125;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Bonaire;2019;1043;427;616
126;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Bonaire;2020;903;438;465
127;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Bonaire;2021;1130;535;595
128;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Bonaire;2022;1711;478;1233
129;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Bonaire;2023;1477;533;944
130;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Sint Eustatius;2011;222;119;103
131;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Sint Eustatius;2012;209;75;134
132;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Sint Eustatius;2013;267;177;90
133;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Sint Eustatius;2014;122;247;-125
134;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Sint Eustatius;2015;115;785;-670
135;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Sint Eustatius;2016;107;59;48
136;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Sint Eustatius;2017;163;99;64
137;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Sint Eustatius;2018;116;269;-153
138;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Sint Eustatius;2019;161;157;4
139;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Sint Eustatius;2020;77;104;-27
140;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Sint Eustatius;2021;117;70;47
141;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Sint Eustatius;2022;122;62;60
142;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Sint Eustatius;2023;114;158;-44
143;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Saba;2011;375;216;159
144;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Saba;2012;451;395;56
145;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Saba;2013;272;408;-136
146;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Saba;2014;321;366;-45
147;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Saba;2015;305;194;111
148;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Saba;2016;311;246;65
149;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Saba;2017;262;130;132
150;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Saba;2018;205;439;-234
151;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Saba;2019;216;218;-2
152;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Saba;2020;118;134;-16
153;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Saba;2021;168;156;12
154;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Saba;2022;227;110;117
155;Totaal mannen en vrouwen;Totaal;Buiten Nederlandse Cariben geboren;Saba;2023;221;163;58
156;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2011;1129;543;586
157;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2012;1217;653;564
158;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2013;972;638;334
159;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2014;743;782;-39
160;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2015;775;1104;-329
161;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2016;803;1236;-433
162;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2017;910;554;356
163;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2018;736;802;-66
164;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2019;883;451;432
165;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2020;513;291;222
166;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2021;842;388;454
167;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2022;1174;211;963
168;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Caribisch Nederland;2023;1234;377;857
169;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2011;602;253;349
170;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2012;619;219;400
171;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2013;529;90;439
172;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2014;367;214;153
173;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2015;407;182;225
174;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2016;436;981;-545
175;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2017;535;365;170
176;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2018;468;146;322
177;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2019;548;135;413
178;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2020;377;94;283
179;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2021;611;233;378
180;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2022;872;88;784
181;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Bonaire;2023;938;112;826
182;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2011;171;81;90
183;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2012;167;50;117
184;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2013;195;156;39
185;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2014;87;214;-127
186;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2015;92;744;-652
187;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2016;80;27;53
188;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2017;131;73;58
189;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2018;80;232;-152
190;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2019;128;125;3
191;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2020;44;83;-39
192;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2021;89;22;67
193;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2022;93;42;51
194;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Sint Eustatius;2023;95;119;-24
195;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2011;356;209;147
196;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2012;431;384;47
197;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2013;248;392;-144
198;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2014;289;354;-65
199;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2015;276;178;98
200;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2016;287;228;59
201;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2017;244;116;128
202;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2018;188;424;-236
203;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2019;207;191;16
204;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2020;92;114;-22
205;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2021;142;133;9
206;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2022;209;81;128
207;Totaal mannen en vrouwen;Totaal;Buiten Koninkrijk der Nederlanden gebo..;Saba;2023;201;146;55
208;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2011;37;19;18
209;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2012;54;18;36
210;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2013;22;24;-2
211;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2014;17;28;-11
212;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2015;28;40;-12
213;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2016;23;63;-40
214;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2017;28;28;0
215;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2018;15;27;-12
216;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2019;16;14;2
217;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2020;10;7;3
218;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2021;7;17;-10
219;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2022;25;6;19
220;Totaal mannen en vrouwen;Totaal;Afrika;Caribisch Nederland;2023;25;15;10
221;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2011;22;10;12
222;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2012;26;3;23
223;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2013;14;1;13
224;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2014;6;8;-2
225;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2015;7;8;-1
226;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2016;7;45;-38
227;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2017;6;17;-11
228;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2018;9;5;4
229;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2019;6;5;1
230;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2020;4;1;3
231;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2021;3;5;-2
232;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2022;6;2;4
233;Totaal mannen en vrouwen;Totaal;Afrika;Bonaire;2023;15;5;10
234;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2011;5;6;-1
235;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2012;6;2;4
236;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2013;1;4;-3
237;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2014;1;7;-6
238;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2015;1;27;-26
239;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2016;0;0;0
240;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2017;1;0;1
241;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2018;0;1;-1
242;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2019;0;1;-1
243;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2020;4;0;4
244;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2021;0;2;-2
245;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2022;4;0;4
246;Totaal mannen en vrouwen;Totaal;Afrika;Sint Eustatius;2023;3;2;1
247;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2011;10;3;7
248;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2012;22;13;9
249;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2013;7;19;-12
250;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2014;10;13;-3
251;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2015;20;5;15
252;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2016;16;18;-2
253;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2017;21;11;10
254;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2018;6;21;-15
255;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2019;10;8;2
256;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2020;2;6;-4
257;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2021;4;10;-6
258;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2022;15;4;11
259;Totaal mannen en vrouwen;Totaal;Afrika;Saba;2023;7;8;-1
260;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2011;1246;841;405
261;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2012;1368;888;480
262;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2013;1311;836;475
263;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2014;1063;890;173
264;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2015;1026;1236;-210
265;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2016;1070;1263;-193
266;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2017;1148;883;265
267;Totaal mannen en vrouwen;Totaal;Amerika;Caribisch Nederland;2018;1013;1059;-46
