ID;Geslacht;Geboorteland;Herkomstland;Postcode;Perioden;Bevolking_1
101;Totaal mannen en vrouwen;Totaal;Totaal;1051;2024;13170.0
102;Totaal mannen en vrouwen;Totaal;Totaal;1052;2022;12215.0
103;Totaal mannen en vrouwen;Totaal;Totaal;1052;2023;11920.0
104;Totaal mannen en vrouwen;Totaal;Totaal;1052;2024;11980.0
105;Totaal mannen en vrouwen;Totaal;Totaal;1053;2022;16535.0
106;Totaal mannen en vrouwen;Totaal;Totaal;1053;2023;16455.0
107;Totaal mannen en vrouwen;Totaal;Totaal;1053;2024;16495.0
108;Totaal mannen en vrouwen;Totaal;Totaal;1054;2022;17115.0
109;Totaal mannen en vrouwen;Totaal;Totaal;1054;2023;17300.0
110;Totaal mannen en vrouwen;Totaal;Totaal;1054;2024;17300.0
111;Totaal mannen en vrouwen;Totaal;Totaal;1055;2022;20905.0
112;Totaal mannen en vrouwen;Totaal;Totaal;1055;2023;20760.0
113;Totaal mannen en vrouwen;Totaal;Totaal;1055;2024;20940.0
114;Totaal mannen en vrouwen;Totaal;Totaal;1056;2022;20690.0
115;Totaal mannen en vrouwen;Totaal;Totaal;1056;2023;20225.0
116;Totaal mannen en vrouwen;Totaal;Totaal;1056;2024;20270.0
117;Totaal mannen en vrouwen;Totaal;Totaal;1057;2022;17345.0
118;Totaal mannen en vrouwen;Totaal;Totaal;1057;2023;17225.0
119;Totaal mannen en vrouwen;Totaal;Totaal;1057;2024;17290.0
120;Totaal mannen en vrouwen;Totaal;Totaal;1058;2022;15700.0
121;Totaal mannen en vrouwen;Totaal;Totaal;1058;2023;15645.0
122;Totaal mannen en vrouwen;Totaal;Totaal;1058;2024;15750.0
123;Totaal mannen en vrouwen;Totaal;Totaal;1059;2022;7065.0
124;Totaal mannen en vrouwen;Totaal;Totaal;1059;2023;7090.0
125;Totaal mannen en vrouwen;Totaal;Totaal;1059;2024;7110.0
126;Totaal mannen en vrouwen;Totaal;Totaal;1060;2022;9930.0
127;Totaal mannen en vrouwen;Totaal;Totaal;1060;2023;10010.0
128;Totaal mannen en vrouwen;Totaal;Totaal;1060;2024;9925.0
129;Totaal mannen en vrouwen;Totaal;Totaal;1061;2022;16710.0
130;Totaal mannen en vrouwen;Totaal;Totaal;1061;2023;16985.0
131;Totaal mannen en vrouwen;Totaal;Totaal;1061;2024;16995.0
132;Totaal mannen en vrouwen;Totaal;Totaal;1062;2022;14250.0
133;Totaal mannen en vrouwen;Totaal;Totaal;1062;2023;15290.0
134;Totaal mannen en vrouwen;Totaal;Totaal;1062;2024;15585.0
135;Totaal mannen en vrouwen;Totaal;Totaal;1063;2022;12445.0
136;Totaal mannen en vrouwen;Totaal;Totaal;1063;2023;12440.0
137;Totaal mannen en vrouwen;Totaal;Totaal;1063;2024;12455.0
138;Totaal mannen en vrouwen;Totaal;Totaal;1064;2022;16655.0
139;Totaal mannen en vrouwen;Totaal;Totaal;1064;2023;16660.0
140;Totaal mannen en vrouwen;Totaal;Totaal;1064;2024;16815.0
141;Totaal mannen en vrouwen;Totaal;Totaal;1065;2022;11975.0
142;Totaal mannen en vrouwen;Totaal;Totaal;1065;2023;12095.0
143;Totaal mannen en vrouwen;Totaal;Totaal;1065;2024;12135.0
144;Totaal mannen en vrouwen;Totaal;Totaal;1066;2022;19005.0
145;Totaal mannen en vrouwen;Totaal;Totaal;1066;2023;19075.0
146;Totaal mannen en vrouwen;Totaal;Totaal;1066;2024;19130.0
147;Totaal mannen en vrouwen;Totaal;Totaal;1067;2022;20120.0
148;Totaal mannen en vrouwen;Totaal;Totaal;1067;2023;20210.0
149;Totaal mannen en vrouwen;Totaal;Totaal;1067;2024;20425.0
150;Totaal mannen en vrouwen;Totaal;Totaal;1068;2022;17425.0
151;Totaal mannen en vrouwen;Totaal;Totaal;1068;2023;17640.0
152;Totaal mannen en vrouwen;Totaal;Totaal;1068;2024;18330.0
153;Totaal mannen en vrouwen;Totaal;Totaal;1069;2022;26095.0
154;Totaal mannen en vrouwen;Totaal;Totaal;1069;2023;26245.0
155;Totaal mannen en vrouwen;Totaal;Totaal;1069;2024;26255.0
156;Totaal mannen en vrouwen;Totaal;Totaal;1071;2022;12625.0
157;Totaal mannen en vrouwen;Totaal;Totaal;1071;2023;12640.0
158;Totaal mannen en vrouwen;Totaal;Totaal;1071;2024;12735.0
159;Totaal mannen en vrouwen;Totaal;Totaal;1072;2022;13630.0
160;Totaal mannen en vrouwen;Totaal;Totaal;1072;2023;13795.0
161;Totaal mannen en vrouwen;Totaal;Totaal;1072;2024;13835.0
162;Totaal mannen en vrouwen;Totaal;Totaal;1073;2022;13150.0
163;Totaal mannen en vrouwen;Totaal;Totaal;1073;2023;13220.0
164;Totaal mannen en vrouwen;Totaal;Totaal;1073;2024;13395.0
165;Totaal mannen en vrouwen;Totaal;Totaal;1074;2022;8220.0
166;Totaal mannen en vrouwen;Totaal;Totaal;1074;2023;8335.0
