ID;SectorBranchesSIC2008;Periods;Value_1;Volume_2;Value_3;Volume_4;Value_5;Volume_6;Value_7;Volume_8
38;Hotels, restaurants and bars;2012 4th quarter;87.4;91.9;-0.9;-2.9;88.0;92.2;-0.4;-1.0
39;Hotels, restaurants and bars;2012;88.6;93.8;1.1;-0.8;88.6;93.8;1.1;-0.8
40;Hotels, restaurants and bars;2013 1st quarter;74.4;77.8;-3.2;-5.6;87.4;90.7;-0.7;-1.6
41;Hotels, restaurants and bars;2013 2nd quarter;95.7;99.1;0.8;-1.2;89.4;93.1;2.3;2.6
42;Hotels, restaurants and bars;2013 3rd quarter;97.6;100.6;2.7;0.1;90.3;93.3;1.1;0.2
43;Hotels, restaurants and bars;2013 4th quarter;90.4;93.4;3.5;1.7;90.8;93.8;0.6;0.5
44;Hotels, restaurants and bars;2013;89.5;92.7;1.1;-1.1;89.5;92.7;1.0;-1.2
45;Hotels, restaurants and bars;2014 1st quarter;79.6;82.2;7.0;5.7;93.6;95.9;3.0;2.2
46;Hotels, restaurants and bars;2014 2nd quarter;100.4;101.9;4.9;2.8;93.7;95.7;0.1;-0.1
47;Hotels, restaurants and bars;2014 3rd quarter;102.1;103.6;4.5;2.9;94.3;96.0;0.7;0.3
48;Hotels, restaurants and bars;2014 4th quarter;95.4;96.8;5.6;3.6;95.9;97.2;1.7;1.2
49;Hotels, restaurants and bars;2014;94.4;96.1;5.4;3.7;94.4;96.2;5.5;3.7
50;Hotels, restaurants and bars;2015 1st quarter;82.5;84.1;3.6;2.3;97.1;98.0;1.2;0.9
51;Hotels, restaurants and bars;2015 2nd quarter;106.8;106.5;6.3;4.5;99.6;100.1;2.5;2.1
52;Hotels, restaurants and bars;2015 3rd quarter;108.5;107.6;6.3;3.9;100.1;99.8;0.5;-0.3
53;Hotels, restaurants and bars;2015 4th quarter;102.2;101.7;7.1;5.1;102.9;102.1;2.8;2.3
54;Hotels, restaurants and bars;2015;100.0;100.0;6.0;4.0;99.9;100.0;5.9;4.0
55;Hotels, restaurants and bars;2016 1st quarter;88.3;87.8;7.1;4.3;103.6;101.7;0.7;-0.4
56;Hotels, restaurants and bars;2016 2nd quarter;112.0;108.6;4.9;2.0;104.3;102.2;0.6;0.5
57;Hotels, restaurants and bars;2016 3rd quarter;117.6;113.5;8.4;5.5;108.4;105.3;3.9;3.1
58;Hotels, restaurants and bars;2016 4th quarter;108.0;104.9;5.6;3.2;108.9;105.3;0.5;0.0
59;Hotels, restaurants and bars;2016;106.5;103.7;6.5;3.7;106.3;103.6;6.4;3.6
60;Hotels, restaurants and bars;2017 1st quarter;94.9;92.4;7.4;5.3;111.9;107.4;2.7;1.9
61;Hotels, restaurants and bars;2017 2nd quarter;122.3;115.5;9.3;6.3;113.8;108.7;1.8;1.2
62;Hotels, restaurants and bars;2017 3rd quarter;125.0;117.2;6.2;3.2;115.0;108.8;1.0;0.1
63;Hotels, restaurants and bars;2017 4th quarter;115.6;109.8;7.1;4.7;116.9;110.2;1.6;1.3
64;Hotels, restaurants and bars;2017;114.5;108.7;7.5;4.8;114.4;108.8;7.6;5.0
65;Hotels, restaurants and bars;2018 1st quarter;101.1;95.6;6.5;3.4;119.0;110.7;1.7;0.4
66;Hotels, restaurants and bars;2018 2nd quarter;130.7;120.2;6.8;4.1;122.0;113.0;2.5;2.1
67;Hotels, restaurants and bars;2018 3rd quarter;132.1;120.8;5.7;3.1;122.3;112.7;0.3;-0.3
68;Hotels, restaurants and bars;2018 4th quarter;124.5;115.5;7.7;5.1;124.7;114.8;1.9;1.8
69;Hotels, restaurants and bars;2018;122.1;113.0;6.7;4.0;122.0;112.8;6.6;3.7
70;Hotels, restaurants and bars;2019 1st quarter;105.6;98.5;4.4;3.0;124.1;113.8;-0.5;-0.8
71;Hotels, restaurants and bars;2019 2nd quarter;135.7;121.9;3.8;1.4;126.1;114.1;1.6;0.3
72;Hotels, restaurants and bars;2019 3rd quarter;136.1;121.7;3.0;0.8;126.7;114.3;0.5;0.2
73;Hotels, restaurants and bars;2019 4th quarter;129.1;117.6;3.8;1.8;129.3;116.7;2.1;2.0
74;Hotels, restaurants and bars;2019;126.6;114.9;3.7;1.7;126.6;114.7;3.7;1.7
75;Hotels, restaurants and bars;2020 1st quarter;93.4;85.2;-11.5;-13.5;108.9;97.5;-15.8;-16.4
76;Hotels, restaurants and bars;2020 2nd quarter;55.0;;-59.5;;51.4;;-52.8;
77;Hotels, restaurants and bars;2020 3rd quarter;119.2;104.5;-12.4;-14.1;111.4;98.9;116.6;
78;Hotels, restaurants and bars;2020 4th quarter;56.1;49.9;-56.5;-57.5;56.5;49.7;-49.3;-49.7
79;Hotels, restaurants and bars;2020;80.9;;-36.1;;82.1;;-35.2;
80;Hotels, restaurants and bars;2021 1st quarter;44.4;;-52.5;;51.6;;-8.6;
81;Hotels, restaurants and bars;2021 2nd quarter;83.8;72.1;52.4;;78.3;68.2;51.5;
82;Hotels, restaurants and bars;2021 3rd quarter;136.0;115.1;14.1;10.1;127.0;109.0;62.3;60.0
83;Hotels, restaurants and bars;2021 4th quarter;99.5;85.6;77.3;71.5;99.9;84.8;-21.4;-22.2
84;Hotels, restaurants and bars;2021;90.9;;12.4;;89.2;;8.7;
85;Hotels, restaurants and bars;2022 1st quarter;95.7;81.0;115.4;;111.6;92.5;11.8;9.1
86;Hotels, restaurants and bars;2022 2nd quarter;161.0;128.8;92.2;78.7;150.0;120.9;34.4;30.7
87;Hotels, restaurants and bars;2022 3rd quarter;164.2;127.6;20.7;10.9;152.5;120.2;1.7;-0.7
88;Hotels, restaurants and bars;2022 4th quarter;151.6;119.2;52.3;39.2;152.6;118.9;0.0;-1.1
89;Hotels, restaurants and bars;2022;143.1;114.1;57.4;;141.7;113.1;58.9;47.2
90;Hotels, restaurants and bars;2023 1st quarter;133.3;103.3;39.3;27.6;157.6;119.8;3.3;0.8
91;Hotels, restaurants and bars;2023 2nd quarter;177.4;131.7;10.2;2.2;162.4;121.5;3.1;1.4
92;Hotels, restaurants and bars;2023 3rd quarter;175.7;128.5;7.0;0.7;162.8;120.4;0.2;-0.9
93;Hotels, restaurants and bars;2023 4th quarter;160.2;118.9;5.6;-0.3;163.2;119.5;0.3;-0.7
94;Hotels, restaurants and bars;2023;161.6;120.6;12.9;5.7;161.5;120.3;14.0;6.3
95;I Accommodation and food serving;2005 1st quarter;69.0;92.8;;;79.4;104.5;;
96;I Accommodation and food serving;2005 2nd quarter;83.8;109.9;;;79.3;104.7;-0.2;0.1
97;I Accommodation and food serving;2005 3rd quarter;87.5;113.0;;;81.4;107.5;2.7;2.7
98;I Accommodation and food serving;2005 4th quarter;82.0;108.6;;;82.1;107.6;0.8;0.1
99;I Accommodation and food serving;2005;80.6;106.1;;;80.6;106.1;;
100;I Accommodation and food serving;2006 1st quarter;71.5;94.6;3.5;1.9;82.5;106.6;0.6;-0.9
101;I Accommodation and food serving;2006 2nd quarter;88.3;112.9;5.3;2.8;84.0;107.4;1.8;0.8
102;I Accommodation and food serving;2006 3rd quarter;91.8;115.5;5.0;2.2;85.2;109.9;1.4;2.3
103;I Accommodation and food serving;2006 4th quarter;86.2;110.8;5.1;2.1;86.0;109.7;0.9;-0.2
104;I Accommodation and food serving;2006;84.4;108.5;4.8;2.3;84.4;108.4;4.8;2.2
105;I Accommodation and food serving;2007 1st quarter;76.6;97.6;7.2;3.2;87.1;110.1;1.3;0.3
106;I Accommodation and food serving;2007 2nd quarter;94.7;117.3;7.3;3.9;89.5;111.7;2.7;1.4
107;I Accommodation and food serving;2007 3rd quarter;95.0;115.5;3.4;0.0;89.2;110.1;-0.3;-1.4
108;I Accommodation and food serving;2007 4th quarter;89.9;112.0;4.4;1.1;90.4;110.8;1.3;0.6
109;I Accommodation and food serving;2007;89.0;110.6;5.5;2.0;89.0;110.6;5.5;2.1
110;I Accommodation and food serving;2008 1st quarter;79.6;97.5;3.8;-0.1;90.6;109.6;0.2;-1.0
111;I Accommodation and food serving;2008 2nd quarter;95.4;113.1;0.7;-3.6;89.8;107.6;-0.9;-1.9
112;I Accommodation and food serving;2008 3rd quarter;94.1;108.7;-0.9;-5.9;88.2;103.6;-1.8;-3.7
113;I Accommodation and food serving;2008 4th quarter;87.5;104.0;-2.7;-7.1;88.0;103.0;-0.2;-0.5
114;I Accommodation and food serving;2008;89.1;105.8;0.1;-4.3;89.1;105.9;0.1;-4.3
115;I Accommodation and food serving;2009 1st quarter;75.8;89.1;-4.7;-8.6;86.9;100.5;-1.3;-2.5
116;I Accommodation and food serving;2009 2nd quarter;90.5;102.2;-5.1;-9.7;85.5;97.2;-1.6;-3.3
117;I Accommodation and food serving;2009 3rd quarter;90.5;99.0;-3.8;-8.9;84.4;94.0;-1.2;-3.3
118;I Accommodation and food serving;2009 4th quarter;82.7;94.3;-5.5;-9.3;82.7;93.6;-2.0;-0.4
119;I Accommodation and food serving;2009;84.9;96.2;-4.8;-9.1;84.9;96.3;-4.8;-9.1
120;I Accommodation and food serving;2010 1st quarter;72.5;82.5;-4.3;-7.5;83.8;93.1;1.3;-0.5
121;I Accommodation and food serving;2010 2nd quarter;87.7;97.3;-3.1;-4.8;82.6;92.4;-1.4;-0.8
122;I Accommodation and food serving;2010 3rd quarter;91.9;100.8;1.5;1.8;85.1;95.6;3.1;3.4
123;I Accommodation and food serving;2010 4th quarter;85.9;95.5;3.9;1.3;86.5;95.0;1.6;-0.6
124;I Accommodation and food serving;2010;84.5;94.0;-0.4;-2.2;84.5;94.0;-0.4;-2.4
125;I Accommodation and food serving;2011 1st quarter;75.6;83.8;4.2;1.6;87.0;95.0;0.6;0.1
126;I Accommodation and food serving;2011 2nd quarter;93.4;100.9;6.5;3.7;87.7;95.6;0.8;0.6
127;I Accommodation and food serving;2011 3rd quarter;94.1;100.4;2.4;-0.4;87.9;94.9;0.1;-0.7
128;I Accommodation and food serving;2011 4th quarter;88.1;95.6;2.6;0.1;88.5;95.3;0.7;0.4
129;I Accommodation and food serving;2011;87.8;95.2;3.9;1.2;87.8;95.2;3.9;1.3
130;I Accommodation and food serving;2012 1st quarter;77.6;84.5;2.7;0.8;89.0;95.7;0.6;0.5
131;I Accommodation and food serving;2012 2nd quarter;95.2;100.7;1.9;-0.2;89.5;95.3;0.6;-0.5
132;I Accommodation and food serving;2012 3rd quarter;95.1;99.2;1.1;-1.2;88.8;93.7;-0.8;-1.6
133;I Accommodation and food serving;2012 4th quarter;87.5;92.8;-0.7;-2.9;88.2;92.6;-0.6;-1.2
134;I Accommodation and food serving;2012;88.9;94.3;1.2;-0.9;88.9;94.3;1.2;-0.9
135;I Accommodation and food serving;2013 1st quarter;75.1;80.0;-3.2;-5.3;87.4;91.3;-0.9;-1.4
136;I Accommodation and food serving;2013 2nd quarter;95.5;99.4;0.3;-1.4;89.6;93.8;2.4;2.8
137;I Accommodation and food serving;2013 3rd quarter;98.1;100.5;3.1;1.3;90.8;94.6;1.4;0.9
138;I Accommodation and food serving;2013 4th quarter;90.6;94.5;3.5;1.8;91.1;94.5;0.4;-0.2
139;I Accommodation and food serving;2013;89.8;93.6;1.1;-0.8;89.7;93.6;0.9;-0.8
140;I Accommodation and food serving;2014 1st quarter;80.2;84.7;6.8;5.9;93.6;96.7;2.7;2.3
141;I Accommodation and food serving;2014 2nd quarter;100.1;101.9;4.8;2.5;93.8;96.2;0.3;-0.5
142;I Accommodation and food serving;2014 3rd quarter;102.3;102.6;4.3;2.1;94.5;96.6;0.7;0.4
143;I Accommodation and food serving;2014 4th quarter;95.3;97.6;5.2;3.3;95.9;97.5;1.5;1.0
144;I Accommodation and food serving;2014;94.5;96.7;5.2;3.3;94.4;96.8;5.3;3.4
145;I Accommodation and food serving;2015 1st quarter;83.1;86.0;3.5;1.5;97.1;98.2;1.2;0.6
146;I Accommodation and food serving;2015 2nd quarter;106.1;105.6;6.1;3.6;99.5;99.9;2.5;1.7
147;I Accommodation and food serving;2015 3rd quarter;109.0;106.3;6.5;3.6;100.3;100.0;0.8;0.1
148;I Accommodation and food serving;2015 4th quarter;101.9;102.1;6.9;4.6;102.8;102.0;2.4;2.0
149;I Accommodation and food serving;2015;100.0;100.0;5.9;3.4;99.9;100.0;5.8;3.3
150;I Accommodation and food serving;2016 1st quarter;88.9;89.6;7.0;4.2;103.6;101.9;0.8;-0.1
151;I Accommodation and food serving;2016 2nd quarter;111.2;108.4;4.8;2.6;104.2;102.6;0.5;0.8
152;I Accommodation and food serving;2016 3rd quarter;117.8;112.0;8.1;5.3;108.2;105.2;3.8;2.5
153;I Accommodation and food serving;2016 4th quarter;107.0;104.8;5.1;2.7;108.3;104.8;0.1;-0.4
154;I Accommodation and food serving;2016;106.2;103.7;6.2;3.7;106.1;103.6;6.2;3.6
155;I Accommodation and food serving;2017 1st quarter;94.4;92.7;6.2;3.4;110.5;105.7;2.1;0.9
156;I Accommodation and food serving;2017 2nd quarter;120.4;112.7;8.2;4.0;112.6;106.8;1.8;1.0
157;I Accommodation and food serving;2017 3rd quarter;124.2;113.8;5.5;1.6;113.9;106.9;1.2;0.1
158;I Accommodation and food serving;2017 4th quarter;113.8;108.2;6.4;3.2;115.5;108.1;1.4;1.1
159;I Accommodation and food serving;2017;113.2;106.9;6.6;3.0;113.1;106.9;6.7;3.1
160;I Accommodation and food serving;2018 1st quarter;100.4;95.6;6.4;3.1;117.8;109.0;2.0;0.8
161;I Accommodation and food serving;2018 2nd quarter;128.7;117.4;6.9;4.2;120.8;111.2;2.5;2.0
162;I Accommodation and food serving;2018 3rd quarter;131.6;117.3;6.0;3.1;121.1;110.7;0.2;-0.4
163;I Accommodation and food serving;2018 4th quarter;122.9;113.3;8.0;4.8;123.5;112.5;2.0;1.6
164;I Accommodation and food serving;2018;120.9;110.9;6.8;3.8;120.8;110.9;6.8;3.7
165;I Accommodation and food serving;2019 1st quarter;104.5;97.6;4.0;2.2;122.6;111.4;-0.7;-1.0
166;I Accommodation and food serving;2019 2nd quarter;133.8;118.6;4.0;1.0;125.0;111.9;2.0;0.5
167;I Accommodation and food serving;2019 3rd quarter;136.0;118.4;3.3;0.9;125.7;112.3;0.6;0.3
168;I Accommodation and food serving;2019 4th quarter;127.6;115.4;3.8;1.8;128.1;114.4;1.9;1.9
169;I Accommodation and food serving;2019;125.5;112.5;3.8;1.4;125.4;112.5;3.8;1.5
170;I Accommodation and food serving;2020 1st quarter;93.8;85.9;-10.3;-12.1;109.7;97.2;-14.4;-15.1
171;I Accommodation and food serving;2020 2nd quarter;56.8;;-57.6;;53.1;;-51.6;
172;I Accommodation and food serving;2020 3rd quarter;118.5;100.7;-12.9;-15.0;109.4;95.5;106.0;
173;I Accommodation and food serving;2020 4th quarter;60.6;52.9;-52.5;-54.2;61.3;52.7;-44.0;-44.8
174;I Accommodation and food serving;2020;82.4;;-34.3;;83.4;;-33.5;
175;I Accommodation and food serving;2021 1st quarter;49.9;;-46.8;;59.0;;-3.7;
176;I Accommodation and food serving;2021 2nd quarter;86.0;72.7;51.5;;81.0;69.0;37.3;
177;I Accommodation and food serving;2021 3rd quarter;135.2;111.1;14.1;10.4;124.3;105.2;53.4;52.5
178;I Accommodation and food serving;2021 4th quarter;101.2;85.6;67.0;61.9;102.3;85.2;-17.7;-19.1
179;I Accommodation and food serving;2021;93.1;;12.9;;91.7;;9.9;
180;I Accommodation and food serving;2022 1st quarter;95.3;80.3;91.0;;112.1;90.9;9.5;6.8
181;I Accommodation and food serving;2022 2nd quarter;157.7;123.5;83.4;69.9;147.5;116.8;31.6;28.5
182;I Accommodation and food serving;2022 3rd quarter;163.1;123.4;20.7;11.1;150.1;116.7;1.7;-0.1
183;I Accommodation and food serving;2022 4th quarter;149.2;116.3;47.4;35.8;150.6;115.7;0.3;-0.8
184;I Accommodation and food serving;2022;141.3;110.9;51.8;;140.1;110.1;52.8;42.2
185;I Accommodation and food serving;2023 1st quarter;131.1;101.2;37.6;25.9;155.3;116.4;3.2;0.6
186;I Accommodation and food serving;2023 2nd quarter;173.9;126.6;10.3;2.6;159.9;118.2;3.0;1.5
187;I Accommodation and food serving;2023 3rd quarter;174.5;123.7;7.0;0.3;160.4;116.7;0.3;-1.2
188;I Accommodation and food serving;2023 4th quarter;158.0;116.2;5.9;0.0;161.3;116.4;0.5;-0.3
189;I Accommodation and food serving;2023;159.4;116.9;12.8;5.5;159.2;116.9;13.7;6.3
190;55 Accommodation;2005 1st quarter;64.2;82.7;;;76.8;93.2;;
191;55 Accommodation;2005 2nd quarter;82.4;101.5;;;74.9;93.1;-2.4;-0.1
192;55 Accommodation;2005 3rd quarter;84.4;99.4;;;76.6;96.5;2.2;3.7
193;55 Accommodation;2005 4th quarter;75.2;96.0;;;78.0;96.8;1.9;0.3
194;55 Accommodation;2005;76.6;94.9;;;76.6;94.9;;
195;55 Accommodation;2006 1st quarter;65.7;84.6;2.3;2.3;77.9;95.4;-0.2;-1.5
196;55 Accommodation;2006 2nd quarter;89.4;107.5;8.5;5.9;81.2;98.5;4.2;3.2
197;55 Accommodation;2006 3rd quarter;88.8;100.6;5.1;1.3;81.4;98.0;0.2;-0.4
198;55 Accommodation;2006 4th quarter;78.4;96.8;4.3;0.9;81.8;97.4;0.5;-0.6
199;55 Accommodation;2006;80.6;97.4;5.2;2.6;80.6;97.3;5.2;2.5
200;55 Accommodation;2007 1st quarter;69.9;86.3;6.4;2.0;82.9;97.6;1.4;0.1
201;55 Accommodation;2007 2nd quarter;93.7;109.0;4.8;1.4;85.2;99.9;2.8;2.4
202;55 Accommodation;2007 3rd quarter;92.8;101.3;4.5;0.7;85.7;99.0;0.5;-0.9
203;55 Accommodation;2007 4th quarter;84.0;99.5;7.1;2.7;86.7;99.7;1.2;0.7
204;55 Accommodation;2007;85.1;99.0;5.6;1.7;85.1;99.0;5.6;1.7
205;55 Accommodation;2008 1st quarter;74.4;88.6;6.4;2.6;88.8;100.1;2.4;0.4
206;55 Accommodation;2008 2nd quarter;97.4;109.0;4.0;0.1;88.4;100.2;-0.4;0.1
207;55 Accommodation;2008 3rd quarter;93.9;96.7;1.2;-4.6;85.7;94.4;-3.0;-5.8
208;55 Accommodation;2008 4th quarter;82.6;95.3;-1.6;-4.2;85.4;95.4;-0.4;1.1
209;55 Accommodation;2008;87.1;97.4;2.3;-1.6;87.1;97.5;2.3;-1.5
210;55 Accommodation;2009 1st quarter;71.2;82.4;-4.3;-6.9;85.0;93.0;-0.5;-2.5
211;55 Accommodation;2009 2nd quarter;90.9;95.0;-6.7;-12.9;83.1;87.7;-2.2;-5.6
212;55 Accommodation;2009 3rd quarter;91.9;87.1;-2.1;-9.9;84.1;84.4;1.2;-3.9
213;55 Accommodation;2009 4th quarter;77.2;85.8;-6.5;-9.9;78.9;86.0;-6.2;1.9
214;55 Accommodation;2009;82.8;87.6;-4.9;-10.1;82.8;87.8;-4.9;-10.0
215;55 Accommodation;2010 1st quarter;68.9;77.4;-3.3;-6.1;84.0;87.7;6.5;2.1
216;55 Accommodation;2010 2nd quarter;89.6;95.4;-1.4;0.4;81.9;88.2;-2.5;0.6
217;55 Accommodation;2010 3rd quarter;94.3;97.9;2.6;12.4;84.7;93.9;3.4;6.4
218;55 Accommodation;2010 4th quarter;85.0;92.7;10.1;8.0;87.2;93.1;3.0;-0.8
219;55 Accommodation;2010;84.4;90.8;2.0;3.7;84.4;90.7;2.0;3.4
220;55 Accommodation;2011 1st quarter;70.6;78.4;2.5;1.3;86.3;89.9;-1.0;-3.4
221;55 Accommodation;2011 2nd quarter;95.4;100.1;6.5;5.0;87.0;92.5;0.7;2.9
222;55 Accommodation;2011 3rd quarter;96.2;98.2;1.9;0.3;86.1;93.2;-1.0;0.7
223;55 Accommodation;2011 4th quarter;84.7;91.7;-0.4;-1.0;87.5;92.8;1.6;-0.5
224;55 Accommodation;2011;86.7;92.1;2.7;1.4;86.7;92.1;2.7;1.5
225;55 Accommodation;2012 1st quarter;72.5;81.6;2.7;4.1;88.4;94.0;1.0;1.3
226;55 Accommodation;2012 2nd quarter;99.2;102.2;4.0;2.0;90.0;94.2;1.8;0.3
227;55 Accommodation;2012 3rd quarter;98.0;97.0;1.9;-1.2;88.7;91.5;-1.4;-2.8
228;55 Accommodation;2012 4th quarter;83.8;88.8;-1.0;-3.2;86.4;90.3;-2.6;-1.3
229;55 Accommodation;2012;88.4;92.4;1.9;0.3;88.4;92.5;1.9;0.4
230;55 Accommodation;2013 1st quarter;69.4;77.1;-4.2;-5.5;86.4;89.4;-0.1;-1.1
231;55 Accommodation;2013 2nd quarter;98.0;101.4;-1.2;-0.7;88.7;93.5;2.7;4.6
232;55 Accommodation;2013 3rd quarter;103.5;103.2;5.7;6.3;91.7;96.9;3.4;3.7
233;55 Accommodation;2013 4th quarter;87.8;93.4;4.7;5.2;91.0;95.1;-0.8;-1.9
234;55 Accommodation;2013;89.7;93.8;1.5;1.5;89.4;93.7;1.2;1.3
235;55 Accommodation;2014 1st quarter;73.7;83.5;6.1;8.3;92.1;96.4;1.3;1.4
236;55 Accommodation;2014 2nd quarter;102.9;103.6;5.0;2.2;93.2;95.7;1.2;-0.7
237;55 Accommodation;2014 3rd quarter;107.7;104.3;4.0;1.1;94.8;97.8;1.7;2.2
238;55 Accommodation;2014 4th quarter;91.5;95.1;4.2;1.8;95.1;96.7;0.3;-1.1
239;55 Accommodation;2014;93.9;96.6;4.8;3.0;93.8;96.7;4.9;3.2
240;55 Accommodation;2015 1st quarter;76.9;85.3;4.4;2.1;96.4;98.1;1.3;1.5
241;55 Accommodation;2015 2nd quarter;109.1;106.9;6.0;3.2;98.8;99.2;2.5;1.1
242;55 Accommodation;2015 3rd quarter;116.7;108.4;8.4;3.9;102.4;101.9;3.6;2.7
243;55 Accommodation;2015 4th quarter;97.3;99.4;6.4;4.6;101.7;100.8;-0.7;-1.1
244;55 Accommodation;2015;100.0;100.0;6.5;3.5;99.8;100.0;6.4;3.5
245;55 Accommodation;2016 1st quarter;81.9;86.7;6.5;1.7;102.7;99.3;1.0;-1.4
246;55 Accommodation;2016 2nd quarter;113.7;108.3;4.3;1.3;102.9;101.0;0.2;1.6
247;55 Accommodation;2016 3rd quarter;122.7;109.3;5.1;0.8;107.3;103.3;4.3;2.3
248;55 Accommodation;2016 4th quarter;101.8;101.8;4.7;2.4;106.9;102.8;-0.4;-0.5
249;55 Accommodation;2016;105.0;101.5;5.0;1.5;104.9;101.6;5.1;1.6
250;55 Accommodation;2017 1st quarter;88.0;90.9;7.4;4.7;110.1;103.6;3.0;0.8
251;55 Accommodation;2017 2nd quarter;125.5;111.3;10.3;2.8;113.4;104.0;2.9;0.4
252;55 Accommodation;2017 3rd quarter;131.0;108.5;6.8;-0.7;114.8;103.2;1.2;-0.8
253;55 Accommodation;2017 4th quarter;110.8;105.0;8.8;3.2;116.4;105.1;1.4;1.9
254;55 Accommodation;2017;113.8;103.9;8.4;2.4;113.7;104.0;8.3;2.4
255;55 Accommodation;2018 1st quarter;94.7;92.2;7.6;1.5;119.6;105.5;2.7;0.4
256;55 Accommodation;2018 2nd quarter;134.8;114.7;7.4;3.0;123.5;107.5;3.2;1.9
257;55 Accommodation;2018 3rd quarter;140.7;111.3;7.4;2.5;122.8;106.6;-0.6;-0.8
258;55 Accommodation;2018 4th quarter;121.9;111.1;10.1;5.9;125.1;109.1;1.9;2.3
259;55 Accommodation;2018;123.0;107.3;8.1;3.3;122.8;107.2;8.0;3.0
