ID;BedrijfstakkenBranchesSBI93;Perioden;Totaal_1;GrondEnTerreinen_2;Bedrijfsruimten_3;GrondWaterEnWegenbouwkundigeWerken_4;Vervoermiddelen_5;ComputersEnRandapparatuur_6;MachinesEnInstallaties_7;OverigeMaterieleVasteActiva_8;NieuweVasteActiva_9;TweedehandseVasteActiva_10;FinancialLease_11;InvesteringenViaOperationalLeaseHuur_12;OpbrengstenVerkoopVasteActiva_13
117;DA Voedings- en genotmiddelenindustrie;2000;1487.6;25.7;260.3;10.9;53.2;52.2;920.3;165.0;1414.7;72.9;18.9;42.9;137.9
118;DA Voedings- en genotmiddelenindustrie;2001;1517.6;12.3;210.3;55.2;56.0;60.4;954.3;169.0;1456.0;61.6;12.6;47.5;145.2
119;DA Voedings- en genotmiddelenindustrie;2002;1571.6;20.7;279.0;12.2;54.9;53.4;1020.4;131.0;1485.8;85.8;20.0;59.1;98.5
120;DA Voedings- en genotmiddelenindustrie;2003;1479.1;9.8;231.7;13.7;51.9;50.7;1022.1;99.2;1435.8;43.2;22.4;56.3;62.6
121;DA Voedings- en genotmiddelenindustrie;2004;1581.8;36.5;326.8;11.1;38.8;46.7;983.6;138.4;1518.3;63.6;38.6;32.1;109.6
122;DA Voedings- en genotmiddelenindustrie;2005;1626.2;9.2;270.7;16.9;44.0;43.8;1119.6;122.1;1590.1;36.2;26.2;45.1;74.8
123;DA Voedings- en genotmiddelenindustrie;2006;1411.7;13.3;198.9;15.8;38.7;40.3;998.6;106.1;1364.2;47.6;14.5;29.7;72.1
124;DA Voedings- en genotmiddelenindustrie;2007;1641.8;14.0;226.7;12.0;45.4;30.9;1194.1;118.7;1568.5;73.3;42.7;47.5;95.7
125;DA Voedings- en genotmiddelenindustrie;2008;1538.2;17.9;237.0;7.8;52.4;31.9;1068.9;122.2;1463.7;74.5;;;97.4
126;15 Voedingsmiddelen- en drankenindustrie;2000;1422.2;25.7;250.8;10.6;51.6;48.1;873.4;162.1;1350.0;72.3;17.7;41.7;115.3
127;15 Voedingsmiddelen- en drankenindustrie;2001;1441.6;12.3;198.4;54.9;55.3;55.3;901.8;163.7;1380.0;61.6;12.6;45.2;141.0
128;15 Voedingsmiddelen- en drankenindustrie;2002;1490.7;20.7;270.8;12.0;54.4;49.7;959.0;124.1;1404.8;85.8;20.0;45.8;96.0
129;15 Voedingsmiddelen- en drankenindustrie;2003;1403.7;9.8;220.6;13.2;50.3;45.8;966.9;97.1;1361.1;42.6;22.4;54.7;54.7
130;15 Voedingsmiddelen- en drankenindustrie;2004;;;;;;;;;;;;;
131;15 Voedingsmiddelen- en drankenindustrie;2005;1596.2;9.2;268.0;16.8;43.8;40.5;1101.1;116.7;1560.0;36.2;26.2;42.5;72.7
132;15 Voedingsmiddelen- en drankenindustrie;2006;1346.1;13.3;197.5;15.7;38.2;36.6;943.1;101.7;1298.6;47.5;14.5;28.4;71.0
133;15 Voedingsmiddelen- en drankenindustrie;2007;1561.4;13.9;220.6;12.0;45.3;30.4;1128.9;110.4;1488.2;73.2;42.7;47.5;91.5
134;15 Voedingsmiddelen- en drankenindustrie;2008;1416.1;17.5;220.4;7.8;52.3;30.1;970.3;117.7;1348.5;67.6;;;94.4
135;151 Slachterijen en vleesverwerkende ind;2000;169.1;1.8;35.1;1.3;8.8;6.5;107.9;7.7;164.1;5.0;1.1;3.7;8.0
136;151 Slachterijen en vleesverwerkende ind;2001;199.4;1.2;33.3;1.8;10.2;10.2;127.4;15.3;186.8;12.7;3.5;5.9;28.5
137;151 Slachterijen en vleesverwerkende ind;2002;211.1;2.3;50.2;2.0;8.4;8.1;128.2;11.9;198.6;12.5;1.8;5.0;8.0
138;151 Slachterijen en vleesverwerkende ind;2003;119.5;1.6;21.0;0.7;6.5;3.8;80.0;5.9;113.9;5.6;0.7;3.9;3.7
139;151 Slachterijen en vleesverwerkende ind;2004;134.8;0.0;31.6;1.8;6.7;5.3;81.3;8.1;132.6;2.2;2.3;2.5;4.9
140;151 Slachterijen en vleesverwerkende ind;2005;174.6;1.9;45.2;0.7;9.6;4.3;105.5;7.4;169.5;5.1;5.1;3.0;6.4
141;151 Slachterijen en vleesverwerkende ind;2006;104.0;1.0;15.9;0.7;7.4;4.3;65.7;9.0;100.7;3.3;1.3;2.9;8.1
142;151 Slachterijen en vleesverwerkende ind;2007;142.8;0.3;30.6;1.4;5.7;2.6;95.9;6.4;139.4;3.4;0.9;2.2;7.0
143;151 Slachterijen en vleesverwerkende ind;2008;149.3;4.3;21.1;0.3;8.7;3.5;99.1;12.2;136.1;13.2;;;12.4
144;1513 Vleesverwerkende industrie;2000;90.5;0.2;19.5;0.4;3.1;3.1;60.3;3.9;89.2;1.3;0.7;2.7;3.5
145;1513 Vleesverwerkende industrie;2001;109.7;0.9;18.8;0.8;3.6;5.8;72.6;7.1;106.0;3.7;1.0;5.2;2.4
146;1513 Vleesverwerkende industrie;2002;92.4;2.3;18.1;0.5;2.7;3.8;59.9;5.0;83.0;9.4;0.7;3.0;4.7
147;1513 Vleesverwerkende industrie;2003;73.4;0.2;13.2;0.1;2.5;2.3;51.9;3.0;70.8;2.6;0.3;3.3;1.8
148;1513 Vleesverwerkende industrie;2004;78.6;0.0;20.2;1.1;2.3;3.2;47.8;4.0;77.5;1.1;0.3;1.6;2.3
149;1513 Vleesverwerkende industrie;2005;89.7;0.4;24.2;0.1;3.6;2.7;53.7;4.9;87.0;2.7;4.1;2.1;2.3
150;1513 Vleesverwerkende industrie;2006;60.3;0.1;8.5;0.1;2.7;3.0;40.1;5.8;59.6;0.7;0.4;2.1;2.6
151;1513 Vleesverwerkende industrie;2007;72.9;0.1;10.5;1.4;1.9;1.9;54.9;2.3;70.1;2.8;0.3;1.8;2.5
152;1513 Vleesverwerkende industrie;2008;88.9;4.2;11.0;0.0;2.1;2.5;67.2;1.9;77.0;11.9;;;5.5
153;153 Groente- en fruitverwerkende ind.;2000;132.3;1.1;21.7;0.9;3.3;3.9;93.8;7.6;130.6;1.8;6.7;2.7;39.5
154;153 Groente- en fruitverwerkende ind.;2001;123.8;2.3;19.0;0.5;4.8;3.2;86.1;7.9;121.1;2.7;0.5;6.1;3.0
155;153 Groente- en fruitverwerkende ind.;2002;166.0;8.5;38.3;0.2;2.3;5.4;104.8;6.5;152.7;13.3;5.7;4.0;5.8
156;153 Groente- en fruitverwerkende ind.;2003;135.6;1.8;25.6;0.2;2.8;5.6;93.8;5.8;127.5;8.0;6.3;3.0;3.3
157;153 Groente- en fruitverwerkende ind.;2004;113.6;2.5;24.7;0.4;2.0;6.8;71.5;5.6;110.8;2.8;3.4;3.7;13.9
158;153 Groente- en fruitverwerkende ind.;2005;144.8;0.3;26.1;0.7;2.2;6.6;104.0;5.0;144.0;0.8;5.8;7.7;0.4
159;153 Groente- en fruitverwerkende ind.;2006;173.9;7.1;21.4;2.3;1.2;4.5;133.4;4.1;162.4;11.5;2.5;3.2;7.5
160;153 Groente- en fruitverwerkende ind.;2007;131.5;3.0;14.8;1.4;1.6;5.0;99.4;6.2;127.3;4.2;2.3;0.6;5.9
161;153 Groente- en fruitverwerkende ind.;2008;164.7;5.4;38.4;2.5;2.1;3.4;108.4;4.6;149.7;15.0;;;14.6
162;1531 Aardappelproductenindustrie;2000;;;;;;;;;;;;;
163;1531 Aardappelproductenindustrie;2001;;;;;;;;;;;;;
164;1531 Aardappelproductenindustrie;2002;;;;;;;;;;;;;
165;1531 Aardappelproductenindustrie;2003;;;;;;;;;;;;;
166;1531 Aardappelproductenindustrie;2004;64.4;0.9;10.1;0.2;1.0;5.7;43.9;2.6;63.5;0.9;1.6;1.6;10.3
167;1531 Aardappelproductenindustrie;2005;;;;;;;;;;;;;
168;1531 Aardappelproductenindustrie;2006;78.8;3.5;11.2;0.6;0.4;1.7;60.6;0.8;73.3;5.5;2.1;0.5;0.4
169;1531 Aardappelproductenindustrie;2007;51.5;0.0;4.7;0.4;0.7;2.4;41.8;1.6;51.3;0.2;0.2;0.3;0.1
170;1531 Aardappelproductenindustrie;2008;;;;;;;;;;;;;
171;156 Meelindustrie;2000;73.9;0.0;7.0;2.1;1.7;3.3;48.0;11.7;73.8;0.0;0.4;1.3;1.8
172;156 Meelindustrie;2001;;;;;;;;;;;;;
173;156 Meelindustrie;2002;121.3;0.1;8.7;0.9;0.8;0.9;99.9;10.1;121.2;0.1;0.7;0.8;0.5
174;156 Meelindustrie;2003;84.5;0.0;4.7;0.4;0.6;2.7;67.9;8.1;84.0;0.4;0.0;1.5;5.8
175;156 Meelindustrie;2004;;;;;;;;;;;;;
176;156 Meelindustrie;2005;99.7;0.0;11.7;0.3;1.8;2.1;79.1;4.7;99.7;0.0;0.9;0.7;0.7
177;156 Meelindustrie;2006;63.8;0.0;5.0;0.7;0.6;7.2;43.4;6.9;63.6;0.2;0.0;2.0;0.2
178;156 Meelindustrie;2007;46.0;0.0;3.9;0.0;0.7;1.9;36.8;2.5;45.9;0.0;0.0;1.1;0.0
179;156 Meelindustrie;2008;73.5;0.0;7.8;0.2;0.8;1.3;60.4;2.9;73.4;0.1;;;1.1
180;1561 Meelindustrie (geen zetmeel);2000;;;;;;;;;;;;;
181;1561 Meelindustrie (geen zetmeel);2001;15.9;0.2;0.7;0.1;0.2;0.5;13.8;0.4;15.7;0.2;0.0;0.1;0.4
182;1561 Meelindustrie (geen zetmeel);2002;;;;;;;;;;;;;
183;1561 Meelindustrie (geen zetmeel);2003;21.4;0.0;1.2;0.0;0.3;0.6;18.9;0.5;21.1;0.3;0.0;1.0;0.2
184;1561 Meelindustrie (geen zetmeel);2004;17.3;0.0;2.4;0.4;0.5;1.0;12.8;0.3;16.1;1.2;0.0;1.0;0.0
185;1561 Meelindustrie (geen zetmeel);2005;36.5;0.0;5.0;0.0;0.9;0.6;28.6;1.4;36.5;0.0;0.0;0.7;0.0
186;1561 Meelindustrie (geen zetmeel);2006;24.4;0.0;3.0;0.1;0.6;1.1;14.8;4.9;24.2;0.2;0.0;1.1;0.2
187;1561 Meelindustrie (geen zetmeel);2007;24.4;0.0;2.4;0.0;0.7;0.7;18.6;1.9;24.3;0.0;0.0;0.4;0.0
188;1561 Meelindustrie (geen zetmeel);2008;26.2;0.0;4.0;0.1;0.8;0.4;19.8;1.1;26.0;0.1;;;0.7
189;1562 Zetmeelindustrie;2000;;;;;;;;;;;;;
190;1562 Zetmeelindustrie;2001;;;;;;;;;;;;;
191;1562 Zetmeelindustrie;2002;;;;;;;;;;;;;
192;1562 Zetmeelindustrie;2003;63.0;0.0;3.6;0.4;0.3;2.1;49.0;7.7;62.9;0.1;0.0;0.5;5.6
193;1562 Zetmeelindustrie;2004;;;;;;;;;;;;;
194;1562 Zetmeelindustrie;2005;63.2;0.0;6.7;0.3;0.9;1.5;50.5;3.3;63.2;0.0;0.9;0.0;0.7
195;1562 Zetmeelindustrie;2006;39.4;0.0;2.0;0.6;0.0;6.1;28.6;2.0;39.4;0.0;0.0;0.9;0.0
196;1562 Zetmeelindustrie;2007;21.6;0.0;1.5;0.0;0.0;1.3;18.2;0.6;21.6;0.0;0.0;0.7;0.0
197;1562 Zetmeelindustrie;2008;47.4;0.0;3.8;0.1;0.1;0.8;40.7;1.9;47.4;0.0;;;0.4
198;158 Overige voedingsmiddelenindustrie;2000;465.2;6.7;98.2;3.0;15.1;14.4;294.4;33.4;432.0;33.2;2.0;15.7;23.8
199;158 Overige voedingsmiddelenindustrie;2001;420.1;5.4;62.4;1.0;14.6;9.8;292.5;34.3;392.9;27.2;5.3;18.0;26.4
200;158 Overige voedingsmiddelenindustrie;2002;451.7;5.8;69.7;1.1;17.9;19.0;313.6;24.5;428.6;23.1;7.3;19.5;23.4
201;158 Overige voedingsmiddelenindustrie;2003;502.1;1.8;70.0;0.8;20.2;12.8;370.6;26.0;489.5;12.6;9.5;33.8;11.3
202;158 Overige voedingsmiddelenindustrie;2004;467.9;1.5;71.7;0.9;15.2;8.9;326.4;43.4;447.1;20.8;18.7;13.0;37.0
203;158 Overige voedingsmiddelenindustrie;2005;;;;;;;;;;;;;
204;158 Overige voedingsmiddelenindustrie;2006;;;;;;;;;;;;;
205;158 Overige voedingsmiddelenindustrie;2007;;;;;;;;;;;;;
206;158 Overige voedingsmiddelenindustrie;2008;;;;;;;;;;;;;
207;1583 Suikerindustrie;2000;;;;;;;;;;;;;
208;1583 Suikerindustrie;2001;;;;;;;;;;;;;
209;1583 Suikerindustrie;2002;;;;;;;;;;;;;
210;1583 Suikerindustrie;2003;;;;;;;;;;;;;
211;1583 Suikerindustrie;2004;;;;;;;;;;;;;
212;1583 Suikerindustrie;2005;;;;;;;;;;;;;
213;1583 Suikerindustrie;2006;;;;;;;;;;;;;
214;1583 Suikerindustrie;2007;;;;;;;;;;;;;
215;1583 Suikerindustrie;2008;;;;;;;;;;;;;
216;1586 Koffiebranderijen en theepakkerijen;2000;;;;;;;;;;;;;
217;1586 Koffiebranderijen en theepakkerijen;2001;22.1;0.1;6.6;0.0;0.9;0.6;11.8;2.0;19.5;2.7;0.3;0.8;3.7
218;1586 Koffiebranderijen en theepakkerijen;2002;;;;;;;;;;;;;
219;1586 Koffiebranderijen en theepakkerijen;2003;;;;;;;;;;;;;
220;1586 Koffiebranderijen en theepakkerijen;2004;49.1;0.0;12.2;0.0;0.6;0.2;35.3;0.7;49.1;0.0;0.0;0.1;0.7
221;1586 Koffiebranderijen en theepakkerijen;2005;34.5;0.0;1.8;0.0;1.0;0.3;30.9;0.5;34.4;0.1;0.0;1.3;0.3
222;1586 Koffiebranderijen en theepakkerijen;2006;24.8;0.0;3.1;0.3;0.6;0.5;18.9;1.4;24.4;0.5;0.2;1.1;0.6
223;1586 Koffiebranderijen en theepakkerijen;2007;25.3;0.1;3.2;0.0;0.9;0.7;18.1;2.3;23.8;1.5;0.3;2.8;0.8
