ID;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
119;462-469 Wholesale;2009;91.7;-9.4
120;462-469 Wholesale;2010 1st quarter;94.4;5.4
121;462-469 Wholesale;2010 2nd quarter;101.1;10.7
122;462-469 Wholesale;2010 3rd quarter;97.6;9.5
123;462-469 Wholesale;2010 4th quarter;108.6;12.2
124;462-469 Wholesale;2010;100.4;9.5
125;462-469 Wholesale;2011 1st quarter;107.3;13.7
126;462-469 Wholesale;2011 2nd quarter;109.9;8.7
127;462-469 Wholesale;2011 3rd quarter;107.0;9.6
128;462-469 Wholesale;2011 4th quarter;108.7;0.1
129;462-469 Wholesale;2011;108.2;7.8
130;462-469 Wholesale;2012 1st quarter;107.0;-0.2
131;462-469 Wholesale;2012 2nd quarter;107.9;-1.8
132;462-469 Wholesale;2012 3rd quarter;107.5;0.5
133;462-469 Wholesale;2012 4th quarter;108.9;0.2
134;462-469 Wholesale;2012;107.8;-0.4
135;462-469 Wholesale;2013 1st quarter;102.9;-3.9
136;462-469 Wholesale;2013 2nd quarter;104.8;-2.9
137;462-469 Wholesale;2013 3rd quarter;103.2;-4.0
138;462-469 Wholesale;2013 4th quarter;104.0;-4.5
139;462-469 Wholesale;2013;103.7;-3.8
140;462-469 Wholesale;2014 1st quarter;99.8;-3.1
141;462-469 Wholesale;2014 2nd quarter;102.8;-1.9
142;462-469 Wholesale;2014 3rd quarter;99.9;-3.2
143;462-469 Wholesale;2014 4th quarter;100.3;-3.6
144;462-469 Wholesale;2014;100.7;-2.9
145;462-469 Wholesale;2015 1st quarter;96.3;-3.5
146;462-469 Wholesale;2015 2nd quarter;101.0;-1.8
147;462-469 Wholesale;2015 3rd quarter;100.2;0.3
148;462-469 Wholesale;2015 4th quarter;102.6;2.3
149;462-469 Wholesale;2015;100.0;-0.7
150;462-469 Wholesale;2016 1st quarter;97.0;0.7
151;462-469 Wholesale;2016 2nd quarter;103.1;2.1
152;462-469 Wholesale;2016 3rd quarter;102.9;2.7
153;462-469 Wholesale;2016 4th quarter;109.7;6.9
154;462-469 Wholesale;2016;103.2;3.2
155;462-469 Wholesale;2017 1st quarter;109.1;12.5
156;462-469 Wholesale;2017 2nd quarter;110.4;7.1
157;462-469 Wholesale;2017 3rd quarter;107.5;4.5
158;462-469 Wholesale;2017 4th quarter;114.0;3.9
159;462-469 Wholesale;2017;110.2;6.9
160;462-469 Wholesale;2018 1st quarter;111.4;2.1
161;462-469 Wholesale;2018 2nd quarter;116.7;5.7
162;462-469 Wholesale;2018 3rd quarter;114.4;6.5
163;462-469 Wholesale;2018 4th quarter;120.1;5.4
164;462-469 Wholesale;2018;115.7;4.9
165;462-469 Wholesale;2019 1st quarter;114.9;3.1
166;462-469 Wholesale;2019 2nd quarter;119.5;2.4
167;462-469 Wholesale;2019 3rd quarter;118.4;3.5
168;462-469 Wholesale;2019 4th quarter;122.1;1.7
169;462-469 Wholesale;2019;118.7;2.6
170;462-469 Wholesale;2020 1st quarter;118.0;2.8
171;462-469 Wholesale;2020 2nd quarter;108.3;-9.4
172;462-469 Wholesale;2020 3rd quarter;116.4;-1.7
173;462-469 Wholesale;2020 4th quarter;120.1;-1.7
174;462-469 Wholesale;2020;115.7;-2.5
175;462-469 Wholesale;2021 1st quarter;122.4;3.7
176;462-469 Wholesale;2021 2nd quarter;137.6;27.0
177;462-469 Wholesale;2021 3rd quarter;136.9;17.6
178;462-469 Wholesale;2021 4th quarter;148.0;23.3
179;462-469 Wholesale;2021;136.2;17.7
180;462-469 Wholesale;2022 1st quarter;149.2;21.9
181;462-469 Wholesale;2022 2nd quarter;167.3;21.6
182;462-469 Wholesale;2022 3rd quarter;164.7;20.3
183;462-469 Wholesale;2022 4th quarter;168.0;13.5
184;462-469 Wholesale;2022;162.3;19.2
185;462-469 Wholesale;2023 1st quarter;160.8;7.7
186;462-469 Wholesale;2023 2nd quarter;159.2;-4.9
187;462-469 Wholesale;2023 3rd quarter;153.7;-6.7
188;462-469 Wholesale;2023;157.5;-3.0
189;462-469 Wholesale;2023 4th quarter;156.2;-7.0
190;462 Wholesale of agricultural products;2005 1st quarter;46.5;
191;462 Wholesale of agricultural products;2005 2nd quarter;45.0;
192;462 Wholesale of agricultural products;2005 3rd quarter;42.3;
193;462 Wholesale of agricultural products;2005 4th quarter;49.1;
194;462 Wholesale of agricultural products;2005;45.7;
195;462 Wholesale of agricultural products;2006 1st quarter;50.5;8.7
196;462 Wholesale of agricultural products;2006 2nd quarter;47.3;5.1
197;462 Wholesale of agricultural products;2006 3rd quarter;43.1;2.0
198;462 Wholesale of agricultural products;2006 4th quarter;48.7;-0.9
199;462 Wholesale of agricultural products;2006;47.4;3.7
200;462 Wholesale of agricultural products;2007 1st quarter;62.5;23.8
201;462 Wholesale of agricultural products;2007 2nd quarter;60.7;28.4
202;462 Wholesale of agricultural products;2007 3rd quarter;63.2;46.5
203;462 Wholesale of agricultural products;2007 4th quarter;84.4;73.6
204;462 Wholesale of agricultural products;2007;67.7;42.9
205;462 Wholesale of agricultural products;2008 1st quarter;83.8;34.1
206;462 Wholesale of agricultural products;2008 2nd quarter;81.3;34.1
207;462 Wholesale of agricultural products;2008 3rd quarter;91.7;45.1
208;462 Wholesale of agricultural products;2008 4th quarter;72.5;-14.1
209;462 Wholesale of agricultural products;2008;82.3;21.6
210;462 Wholesale of agricultural products;2009 1st quarter;78.1;-6.8
211;462 Wholesale of agricultural products;2009 2nd quarter;74.2;-8.8
212;462 Wholesale of agricultural products;2009 3rd quarter;68.2;-25.7
213;462 Wholesale of agricultural products;2009 4th quarter;73.2;1.0
214;462 Wholesale of agricultural products;2009;73.4;-10.8
215;462 Wholesale of agricultural products;2010 1st quarter;76.2;-2.4
216;462 Wholesale of agricultural products;2010 2nd quarter;80.0;7.9
217;462 Wholesale of agricultural products;2010 3rd quarter;77.5;13.7
218;462 Wholesale of agricultural products;2010 4th quarter;88.7;21.1
219;462 Wholesale of agricultural products;2010;80.6;9.8
220;462 Wholesale of agricultural products;2011 1st quarter;93.8;23.1
221;462 Wholesale of agricultural products;2011 2nd quarter;91.9;14.9
222;462 Wholesale of agricultural products;2011 3rd quarter;84.6;9.2
223;462 Wholesale of agricultural products;2011 4th quarter;90.7;2.2
224;462 Wholesale of agricultural products;2011;90.3;12.0
225;462 Wholesale of agricultural products;2012 1st quarter;98.0;4.4
226;462 Wholesale of agricultural products;2012 2nd quarter;106.0;15.4
227;462 Wholesale of agricultural products;2012 3rd quarter;103.1;21.8
228;462 Wholesale of agricultural products;2012 4th quarter;103.5;14.1
229;462 Wholesale of agricultural products;2012;102.6;13.7
230;462 Wholesale of agricultural products;2013 1st quarter;108.8;11.0
231;462 Wholesale of agricultural products;2013 2nd quarter;108.6;2.4
232;462 Wholesale of agricultural products;2013 3rd quarter;94.6;-8.2
233;462 Wholesale of agricultural products;2013 4th quarter;97.1;-6.2
234;462 Wholesale of agricultural products;2013;102.3;-0.4
235;462 Wholesale of agricultural products;2014 1st quarter;97.4;-10.5
236;462 Wholesale of agricultural products;2014 2nd quarter;100.6;-7.3
237;462 Wholesale of agricultural products;2014 3rd quarter;90.7;-4.1
238;462 Wholesale of agricultural products;2014 4th quarter;97.4;0.4
239;462 Wholesale of agricultural products;2014;96.5;-5.6
240;462 Wholesale of agricultural products;2015 1st quarter;102.8;5.6
241;462 Wholesale of agricultural products;2015 2nd quarter;100.3;-0.3
242;462 Wholesale of agricultural products;2015 3rd quarter;93.5;3.0
243;462 Wholesale of agricultural products;2015 4th quarter;103.5;6.2
244;462 Wholesale of agricultural products;2015;100.0;3.6
245;462 Wholesale of agricultural products;2016 1st quarter;100.7;-2.0
246;462 Wholesale of agricultural products;2016 2nd quarter;102.8;2.5
247;462 Wholesale of agricultural products;2016 3rd quarter;96.7;3.5
248;462 Wholesale of agricultural products;2016 4th quarter;110.9;7.2
249;462 Wholesale of agricultural products;2016;102.8;2.8
250;462 Wholesale of agricultural products;2017 1st quarter;107.4;6.7
251;462 Wholesale of agricultural products;2017 2nd quarter;103.6;0.8
252;462 Wholesale of agricultural products;2017 3rd quarter;92.5;-4.3
253;462 Wholesale of agricultural products;2017 4th quarter;93.9;-15.3
254;462 Wholesale of agricultural products;2017;99.4;-3.3
255;462 Wholesale of agricultural products;2018 1st quarter;97.0;-9.7
256;462 Wholesale of agricultural products;2018 2nd quarter;101.7;-1.8
257;462 Wholesale of agricultural products;2018 3rd quarter;96.3;4.1
258;462 Wholesale of agricultural products;2018 4th quarter;101.5;8.1
259;462 Wholesale of agricultural products;2018;99.1;-0.3
260;462 Wholesale of agricultural products;2019 1st quarter;103.8;7.0
261;462 Wholesale of agricultural products;2019 2nd quarter;99.6;-2.1
262;462 Wholesale of agricultural products;2019 3rd quarter;95.8;-0.5
263;462 Wholesale of agricultural products;2019 4th quarter;95.6;-5.8
264;462 Wholesale of agricultural products;2019;98.7;-0.5
265;462 Wholesale of agricultural products;2020 1st quarter;102.2;-1.5
266;462 Wholesale of agricultural products;2020 2nd quarter;122.3;22.8
267;462 Wholesale of agricultural products;2020 3rd quarter;106.0;10.7
268;462 Wholesale of agricultural products;2020 4th quarter;107.9;12.9
269;462 Wholesale of agricultural products;2020;109.6;11.1
270;462 Wholesale of agricultural products;2021 1st quarter;123.9;21.2
271;462 Wholesale of agricultural products;2021 2nd quarter;146.6;19.9
272;462 Wholesale of agricultural products;2021 3rd quarter;134.6;27.0
273;462 Wholesale of agricultural products;2021 4th quarter;135.9;25.9
274;462 Wholesale of agricultural products;2021;135.2;23.4
275;462 Wholesale of agricultural products;2022 1st quarter;147.4;19.0
276;462 Wholesale of agricultural products;2022 2nd quarter;178.3;21.6
277;462 Wholesale of agricultural products;2022 3rd quarter;170.4;26.7
278;462 Wholesale of agricultural products;2022 4th quarter;170.5;25.5
279;462 Wholesale of agricultural products;2022;166.6;23.2
280;462 Wholesale of agricultural products;2023 1st quarter;168.9;14.6
281;462 Wholesale of agricultural products;2023 2nd quarter;170.1;-4.6
282;462 Wholesale of agricultural products;2023 3rd quarter;;
283;462 Wholesale of agricultural products;2023;158.0;-5.2
284;462 Wholesale of agricultural products;2023 4th quarter;;
285;4621 Wholesale of grain, seeds etc.;2005 1st quarter;29.2;
286;4621 Wholesale of grain, seeds etc.;2005 2nd quarter;28.2;
287;4621 Wholesale of grain, seeds etc.;2005 3rd quarter;27.8;
288;4621 Wholesale of grain, seeds etc.;2005 4th quarter;33.6;
289;4621 Wholesale of grain, seeds etc.;2005;29.7;
290;4621 Wholesale of grain, seeds etc.;2006 1st quarter;32.3;10.7
291;4621 Wholesale of grain, seeds etc.;2006 2nd quarter;28.9;2.7
292;4621 Wholesale of grain, seeds etc.;2006 3rd quarter;27.3;-1.9
293;4621 Wholesale of grain, seeds etc.;2006 4th quarter;34.6;3.1
294;4621 Wholesale of grain, seeds etc.;2006;30.8;3.7
295;4621 Wholesale of grain, seeds etc.;2007 1st quarter;49.0;51.6
296;4621 Wholesale of grain, seeds etc.;2007 2nd quarter;48.5;67.6
297;4621 Wholesale of grain, seeds etc.;2007 3rd quarter;55.0;101.5
298;4621 Wholesale of grain, seeds etc.;2007 4th quarter;81.8;136.7
299;4621 Wholesale of grain, seeds etc.;2007;58.6;90.3
300;4621 Wholesale of grain, seeds etc.;2008 1st quarter;73.7;50.5
301;4621 Wholesale of grain, seeds etc.;2008 2nd quarter;75.2;55.0
302;4621 Wholesale of grain, seeds etc.;2008 3rd quarter;94.2;71.2
303;4621 Wholesale of grain, seeds etc.;2008 4th quarter;63.1;-22.9
304;4621 Wholesale of grain, seeds etc.;2008;76.5;30.7
305;4621 Wholesale of grain, seeds etc.;2009 1st quarter;66.6;-9.6
306;4621 Wholesale of grain, seeds etc.;2009 2nd quarter;62.1;-17.3
307;4621 Wholesale of grain, seeds etc.;2009 3rd quarter;61.4;-34.8
308;4621 Wholesale of grain, seeds etc.;2009 4th quarter;66.2;5.0
309;4621 Wholesale of grain, seeds etc.;2009;64.1;-16.2
310;4621 Wholesale of grain, seeds etc.;2010 1st quarter;65.2;-2.2
311;4621 Wholesale of grain, seeds etc.;2010 2nd quarter;71.4;14.9
312;4621 Wholesale of grain, seeds etc.;2010 3rd quarter;75.2;22.4
313;4621 Wholesale of grain, seeds etc.;2010 4th quarter;89.7;35.4
314;4621 Wholesale of grain, seeds etc.;2010;75.4;17.6
315;4621 Wholesale of grain, seeds etc.;2011 1st quarter;90.4;38.7
316;4621 Wholesale of grain, seeds etc.;2011 2nd quarter;88.0;23.3
317;4621 Wholesale of grain, seeds etc.;2011 3rd quarter;83.9;11.5
318;4621 Wholesale of grain, seeds etc.;2011 4th quarter;90.0;0.3
319;4621 Wholesale of grain, seeds etc.;2011;88.1;16.8
320;4621 Wholesale of grain, seeds etc.;2012 1st quarter;94.6;4.7
321;4621 Wholesale of grain, seeds etc.;2012 2nd quarter;107.4;22.0
322;4621 Wholesale of grain, seeds etc.;2012 3rd quarter;109.8;30.9
323;4621 Wholesale of grain, seeds etc.;2012 4th quarter;107.9;19.9
324;4621 Wholesale of grain, seeds etc.;2012;104.9;19.1
325;4621 Wholesale of grain, seeds etc.;2013 1st quarter;108.9;15.2
326;4621 Wholesale of grain, seeds etc.;2013 2nd quarter;109.2;1.7
327;4621 Wholesale of grain, seeds etc.;2013 3rd quarter;97.6;-11.1
328;4621 Wholesale of grain, seeds etc.;2013 4th quarter;97.4;-9.7
329;4621 Wholesale of grain, seeds etc.;2013;103.3;-1.5
330;4621 Wholesale of grain, seeds etc.;2014 1st quarter;92.5;-15.1
331;4621 Wholesale of grain, seeds etc.;2014 2nd quarter;98.9;-9.5
332;4621 Wholesale of grain, seeds etc.;2014 3rd quarter;91.4;-6.3
333;4621 Wholesale of grain, seeds etc.;2014 4th quarter;98.2;0.9
334;4621 Wholesale of grain, seeds etc.;2014;95.3;-7.8
335;4621 Wholesale of grain, seeds etc.;2015 1st quarter;99.5;7.6
336;4621 Wholesale of grain, seeds etc.;2015 2nd quarter;98.1;-0.8
337;4621 Wholesale of grain, seeds etc.;2015 3rd quarter;96.0;5.0
338;4621 Wholesale of grain, seeds etc.;2015 4th quarter;106.4;8.3
339;4621 Wholesale of grain, seeds etc.;2015;100.0;5.0
340;4621 Wholesale of grain, seeds etc.;2016 1st quarter;96.6;-3.0
341;4621 Wholesale of grain, seeds etc.;2016 2nd quarter;99.9;1.9
342;4621 Wholesale of grain, seeds etc.;2016 3rd quarter;98.0;2.1
343;4621 Wholesale of grain, seeds etc.;2016 4th quarter;114.3;7.5
344;4621 Wholesale of grain, seeds etc.;2016;102.2;2.2
345;4621 Wholesale of grain, seeds etc.;2017 1st quarter;103.3;6.9
346;4621 Wholesale of grain, seeds etc.;2017 2nd quarter;99.3;-0.6
347;4621 Wholesale of grain, seeds etc.;2017 3rd quarter;90.4;-7.7
348;4621 Wholesale of grain, seeds etc.;2017 4th quarter;89.8;-21.5
349;4621 Wholesale of grain, seeds etc.;2017;95.7;-6.4
350;4621 Wholesale of grain, seeds etc.;2018 1st quarter;87.9;-14.8
351;4621 Wholesale of grain, seeds etc.;2018 2nd quarter;96.1;-3.3
352;4621 Wholesale of grain, seeds etc.;2018 3rd quarter;97.0;7.3
353;4621 Wholesale of grain, seeds etc.;2018 4th quarter;99.2;10.5
354;4621 Wholesale of grain, seeds etc.;2018;95.1;-0.7
355;4621 Wholesale of grain, seeds etc.;2019 1st quarter;95.7;8.8
356;4621 Wholesale of grain, seeds etc.;2019 2nd quarter;91.0;-5.3
357;4621 Wholesale of grain, seeds etc.;2019 3rd quarter;94.3;-2.8
358;4621 Wholesale of grain, seeds etc.;2019 4th quarter;88.3;-11.0
359;4621 Wholesale of grain, seeds etc.;2019;92.3;-2.9
360;4621 Wholesale of grain, seeds etc.;2020 1st quarter;95.5;-0.2
361;4621 Wholesale of grain, seeds etc.;2020 2nd quarter;128.5;41.2
362;4621 Wholesale of grain, seeds etc.;2020 3rd quarter;108.3;14.8
363;4621 Wholesale of grain, seeds etc.;2020 4th quarter;108.3;22.7
364;4621 Wholesale of grain, seeds etc.;2020;110.1;19.3
365;4621 Wholesale of grain, seeds etc.;2021 1st quarter;120.8;26.6
366;4621 Wholesale of grain, seeds etc.;2021 2nd quarter;151.3;17.7
367;4621 Wholesale of grain, seeds etc.;2021 3rd quarter;144.6;33.5
368;4621 Wholesale of grain, seeds etc.;2021 4th quarter;140.2;29.4
369;4621 Wholesale of grain, seeds etc.;2021;139.2;26.4
370;4621 Wholesale of grain, seeds etc.;2022 1st quarter;151.1;25.1
371;4621 Wholesale of grain, seeds etc.;2022 2nd quarter;194.6;28.6
372;4621 Wholesale of grain, seeds etc.;2022 3rd quarter;193.6;33.9
373;4621 Wholesale of grain, seeds etc.;2022 4th quarter;188.1;34.2
374;4621 Wholesale of grain, seeds etc.;2022;181.8;30.6
375;4621 Wholesale of grain, seeds etc.;2023 1st quarter;179.5;18.8
376;4621 Wholesale of grain, seeds etc.;2023 2nd quarter;180.2;-7.4
377;4621 Wholesale of grain, seeds etc.;2023 3rd quarter;158.1;-18.3
378;4621 Wholesale of grain, seeds etc.;2023;166.4;-8.5
379;4621 Wholesale of grain, seeds etc.;2023 4th quarter;147.9;-21.4
380;4622 Wholesale of flowers and plants;2005 1st quarter;88.6;
381;4622 Wholesale of flowers and plants;2005 2nd quarter;82.6;
382;4622 Wholesale of flowers and plants;2005 3rd quarter;67.6;
383;4622 Wholesale of flowers and plants;2005 4th quarter;77.0;
384;4622 Wholesale of flowers and plants;2005;78.9;
385;4622 Wholesale of flowers and plants;2006 1st quarter;91.2;3.0
386;4622 Wholesale of flowers and plants;2006 2nd quarter;86.3;4.5
387;4622 Wholesale of flowers and plants;2006 3rd quarter;70.2;3.9
388;4622 Wholesale of flowers and plants;2006 4th quarter;78.4;1.7
389;4622 Wholesale of flowers and plants;2006;81.5;3.3
390;4622 Wholesale of flowers and plants;2007 1st quarter;98.6;8.0
391;4622 Wholesale of flowers and plants;2007 2nd quarter;90.1;4.3
392;4622 Wholesale of flowers and plants;2007 3rd quarter;79.3;13.0
393;4622 Wholesale of flowers and plants;2007 4th quarter;90.9;16.1
394;4622 Wholesale of flowers and plants;2007;89.7;10.1
395;4622 Wholesale of flowers and plants;2008 1st quarter;116.4;18.0
396;4622 Wholesale of flowers and plants;2008 2nd quarter;99.4;10.4
397;4622 Wholesale of flowers and plants;2008 3rd quarter;80.9;1.9
398;4622 Wholesale of flowers and plants;2008 4th quarter;93.1;2.4
399;4622 Wholesale of flowers and plants;2008;97.5;8.6
400;4622 Wholesale of flowers and plants;2009 1st quarter;110.1;-5.4
401;4622 Wholesale of flowers and plants;2009 2nd quarter;104.5;5.1
402;4622 Wholesale of flowers and plants;2009 3rd quarter;77.6;-4.1
403;4622 Wholesale of flowers and plants;2009 4th quarter;88.2;-5.2
404;4622 Wholesale of flowers and plants;2009;95.1;-2.4
405;4622 Wholesale of flowers and plants;2010 1st quarter;107.6;-2.2
406;4622 Wholesale of flowers and plants;2010 2nd quarter;102.2;-2.2
407;4622 Wholesale of flowers and plants;2010 3rd quarter;78.0;0.6
408;4622 Wholesale of flowers and plants;2010 4th quarter;82.2;-6.9
409;4622 Wholesale of flowers and plants;2010;92.5;-2.7
410;4622 Wholesale of flowers and plants;2011 1st quarter;105.1;-2.4
411;4622 Wholesale of flowers and plants;2011 2nd quarter;102.5;0.3
412;4622 Wholesale of flowers and plants;2011 3rd quarter;83.3;6.7
