ID;EnergyCommoditiesTechniques;Periods;ExtractionOfGeothermalHeat_1;ExtractionOfGeothermalCold_2
79;Total shallow geothermal energy;2001;244.0;371.0
80;Total shallow geothermal energy;2002;310.0;485.0
81;Total shallow geothermal energy;2003;389.0;579.0
82;Total shallow geothermal energy;2004;539.0;645.0
83;Total shallow geothermal energy;2005;736.0;780.0
84;Total shallow geothermal energy;2006;973.0;944.0
85;Total shallow geothermal energy;2007;1280.0;1011.0
86;Total shallow geothermal energy;2008;1652.0;1200.0
87;Total shallow geothermal energy;2009;2020.0;1389.0
88;Total shallow geothermal energy;2010;2385.0;1660.0
89;Total shallow geothermal energy;2011;2710.0;1646.0
90;Total shallow geothermal energy;2012;3032.0;1830.0
91;Total shallow geothermal energy;2013;3332.0;1909.0
92;Total shallow geothermal energy;2014;3573.0;1850.0
93;Total shallow geothermal energy;2015;3796.0;1793.0
94;Total shallow geothermal energy;2016;4036.0;1998.0
95;Total shallow geothermal energy;2017;4257.0;2163.0
96;Total shallow geothermal energy;2018;4568.0;2275.0
97;Total shallow geothermal energy;2019;4886.0;2026.0
98;Total shallow geothermal energy;2020;5292.0;2374.0
99;Total shallow geothermal energy;2021;5714.0;2403.0
100;Total shallow geothermal energy;2022;6182.0;2491.0
101;Total shallow geothermal energy;2023;6855.0;2507.0
102;Shallow geothermal heat, total;1990;;
103;Shallow geothermal heat, total;1991;;
104;Shallow geothermal heat, total;1992;;
105;Shallow geothermal heat, total;1993;;
106;Shallow geothermal heat, total;1994;33.0;
107;Shallow geothermal heat, total;1995;38.0;
108;Shallow geothermal heat, total;1996;47.0;
109;Shallow geothermal heat, total;1997;73.0;
110;Shallow geothermal heat, total;1998;115.0;
111;Shallow geothermal heat, total;1999;151.0;
112;Shallow geothermal heat, total;2000;200.0;
113;Shallow geothermal heat, total;2001;244.0;
114;Shallow geothermal heat, total;2002;310.0;
115;Shallow geothermal heat, total;2003;389.0;
116;Shallow geothermal heat, total;2004;539.0;
117;Shallow geothermal heat, total;2005;736.0;
118;Shallow geothermal heat, total;2006;973.0;
119;Shallow geothermal heat, total;2007;1280.0;
120;Shallow geothermal heat, total;2008;1652.0;
121;Shallow geothermal heat, total;2009;2020.0;
122;Shallow geothermal heat, total;2010;2385.0;
123;Shallow geothermal heat, total;2011;2710.0;
124;Shallow geothermal heat, total;2012;3032.0;
125;Shallow geothermal heat, total;2013;3332.0;
126;Shallow geothermal heat, total;2014;3573.0;
127;Shallow geothermal heat, total;2015;3796.0;
128;Shallow geothermal heat, total;2016;4036.0;
129;Shallow geothermal heat, total;2017;4257.0;
130;Shallow geothermal heat, total;2018;4568.0;
131;Shallow geothermal heat, total;2019;4886.0;
132;Shallow geothermal heat, total;2020;5292.0;
133;Shallow geothermal heat, total;2021;5714.0;
134;Shallow geothermal heat, total;2022;6182.0;
135;Shallow geothermal heat, total;2023;6855.0;
136;Shallow geothermal heat, heat pumps;1990;;
137;Shallow geothermal heat, heat pumps;1991;;
138;Shallow geothermal heat, heat pumps;1992;;
139;Shallow geothermal heat, heat pumps;1993;;
140;Shallow geothermal heat, heat pumps;1994;28.0;
141;Shallow geothermal heat, heat pumps;1995;31.0;
142;Shallow geothermal heat, heat pumps;1996;36.0;
143;Shallow geothermal heat, heat pumps;1997;56.0;
144;Shallow geothermal heat, heat pumps;1998;90.0;
145;Shallow geothermal heat, heat pumps;1999;117.0;
146;Shallow geothermal heat, heat pumps;2000;156.0;
147;Shallow geothermal heat, heat pumps;2001;187.0;
148;Shallow geothermal heat, heat pumps;2002;244.0;
149;Shallow geothermal heat, heat pumps;2003;311.0;
150;Shallow geothermal heat, heat pumps;2004;452.0;
151;Shallow geothermal heat, heat pumps;2005;628.0;
152;Shallow geothermal heat, heat pumps;2006;840.0;
153;Shallow geothermal heat, heat pumps;2007;1141.0;
154;Shallow geothermal heat, heat pumps;2008;1488.0;
155;Shallow geothermal heat, heat pumps;2009;1841.0;
156;Shallow geothermal heat, heat pumps;2010;2183.0;
157;Shallow geothermal heat, heat pumps;2011;2538.0;
158;Shallow geothermal heat, heat pumps;2012;2852.0;
159;Shallow geothermal heat, heat pumps;2013;3147.0;
160;Shallow geothermal heat, heat pumps;2014;3404.0;
161;Shallow geothermal heat, heat pumps;2015;3634.0;
162;Shallow geothermal heat, heat pumps;2016;3855.0;
163;Shallow geothermal heat, heat pumps;2017;4081.0;
164;Shallow geothermal heat, heat pumps;2018;4383.0;
165;Shallow geothermal heat, heat pumps;2019;4715.0;
166;Shallow geothermal heat, heat pumps;2020;5098.0;
167;Shallow geothermal heat, heat pumps;2021;5520.0;
168;Shallow geothermal heat, heat pumps;2022;5984.0;
169;Shallow geothermal heat, heat pumps;2023;6657.0;
170;Shal geothermal heat, without heat pumps;1990;1.0;
171;Shal geothermal heat, without heat pumps;1991;1.0;
172;Shal geothermal heat, without heat pumps;1992;2.0;
173;Shal geothermal heat, without heat pumps;1993;4.0;
174;Shal geothermal heat, without heat pumps;1994;5.0;
175;Shal geothermal heat, without heat pumps;1995;7.0;
176;Shal geothermal heat, without heat pumps;1996;11.0;
177;Shal geothermal heat, without heat pumps;1997;17.0;
178;Shal geothermal heat, without heat pumps;1998;25.0;
179;Shal geothermal heat, without heat pumps;1999;35.0;
180;Shal geothermal heat, without heat pumps;2000;44.0;
181;Shal geothermal heat, without heat pumps;2001;56.0;
182;Shal geothermal heat, without heat pumps;2002;66.0;
183;Shal geothermal heat, without heat pumps;2003;78.0;
184;Shal geothermal heat, without heat pumps;2004;87.0;
185;Shal geothermal heat, without heat pumps;2005;108.0;
186;Shal geothermal heat, without heat pumps;2006;133.0;
187;Shal geothermal heat, without heat pumps;2007;139.0;
188;Shal geothermal heat, without heat pumps;2008;164.0;
189;Shal geothermal heat, without heat pumps;2009;179.0;
190;Shal geothermal heat, without heat pumps;2010;202.0;
191;Shal geothermal heat, without heat pumps;2011;172.0;
192;Shal geothermal heat, without heat pumps;2012;180.0;
193;Shal geothermal heat, without heat pumps;2013;185.0;
194;Shal geothermal heat, without heat pumps;2014;169.0;
195;Shal geothermal heat, without heat pumps;2015;162.0;
196;Shal geothermal heat, without heat pumps;2016;180.0;
197;Shal geothermal heat, without heat pumps;2017;176.0;
198;Shal geothermal heat, without heat pumps;2018;185.0;
199;Shal geothermal heat, without heat pumps;2019;171.0;
200;Shal geothermal heat, without heat pumps;2020;193.0;
201;Shal geothermal heat, without heat pumps;2021;194.0;
202;Shal geothermal heat, without heat pumps;2022;198.0;
203;Shal geothermal heat, without heat pumps;2023;198.0;
204;Shallow geothermal cold;1990;;8.0
205;Shallow geothermal cold;1991;;8.0
206;Shallow geothermal cold;1992;;13.0
207;Shallow geothermal cold;1993;;19.0
208;Shallow geothermal cold;1994;;23.0
209;Shallow geothermal cold;1995;;47.0
210;Shallow geothermal cold;1996;;81.0
211;Shallow geothermal cold;1997;;123.0
212;Shallow geothermal cold;1998;;179.0
213;Shallow geothermal cold;1999;;238.0
214;Shallow geothermal cold;2000;;292.0
215;Shallow geothermal cold;2001;;371.0
216;Shallow geothermal cold;2002;;485.0
217;Shallow geothermal cold;2003;;579.0
218;Shallow geothermal cold;2004;;645.0
219;Shallow geothermal cold;2005;;780.0
220;Shallow geothermal cold;2006;;944.0
221;Shallow geothermal cold;2007;;1011.0
222;Shallow geothermal cold;2008;;1200.0
223;Shallow geothermal cold;2009;;1389.0
224;Shallow geothermal cold;2010;;1660.0
225;Shallow geothermal cold;2011;;1646.0
226;Shallow geothermal cold;2012;;1830.0
227;Shallow geothermal cold;2013;;1909.0
228;Shallow geothermal cold;2014;;1850.0
229;Shallow geothermal cold;2015;;1793.0
230;Shallow geothermal cold;2016;;1998.0
231;Shallow geothermal cold;2017;;2163.0
232;Shallow geothermal cold;2018;;2275.0
233;Shallow geothermal cold;2019;;2026.0
234;Shallow geothermal cold;2020;;2374.0
235;Shallow geothermal cold;2021;;2403.0
236;Shallow geothermal cold;2022;;2491.0
237;Shallow geothermal cold;2023;;2507.0
