ID;Plantdichtheid;Leeftijd;Perioden;AppelsTotaal_1;Elstar_2;Jonagold_3;Jonagored_4;Cox_5;GoldenDelicious_6;SchoneVanBoskoop_7;Delcorf_8;Gala_9;OverigeAppelrassen_10;PerenTotaal_11;HandperenTotaal_12;Conference_13;DoyenneDuComice_14;BeurreAlexandreLucas_15;BeurreHardy_16;TriompheDeVienne_17;OverigeHandperen_18;StoofperenTotaal_19;GieserWilderman_20;SaintRemy_21;OverigeStoofperen_22;OppervlaktePruimen_23;OppervlakteZoeteKersen_24
10;Alle plantdichtheidsklassen;25 jaar en ouder;1997;143.0;;;;5.0;22.0;78.0;;;32.0;1763.0;1652.0;768.0;562.0;;124.0;68.0;130.0;111.0;59.0;39.0;13.0;;
11;Alle plantdichtheidsklassen;25 jaar en ouder;2002;80.0;13.0;15.0;;;6.0;26.0;;;15.0;1347.0;1264.0;657.0;420.0;27.0;;45.0;115.0;82.0;50.0;;33.0;37.0;31.0
12;0-400 bomen per ha;Alle leeftijdsklassen;1997;83.0;8.0;4.0;;4.0;6.0;33.0;;;27.0;69.0;48.0;15.0;12.0;;4.0;;15.0;21.0;9.0;9.0;3.0;;
13;0-400 bomen per ha;Alle leeftijdsklassen;2002;117.0;25.0;11.0;;4.0;6.0;20.0;2.0;;41.0;80.0;59.0;39.0;9.0;;;;10.0;22.0;8.0;;14.0;71.0;88.0
14;0-400 bomen per ha;0 t/m 4 jaar;1997;9.0;4.0;;;;;;;;2.0;7.0;5.0;;;;;;;2.0;2.0;;;;
15;0-400 bomen per ha;0 t/m 4 jaar;2002;41.0;22.0;;;;6.0;;;;10.0;22.0;18.0;13.0;;;;;;5.0;;;;22.0;6.0
16;0-400 bomen per ha;5 t/m 9 jaar;1997;25.0;;;;;;6.0;;;9.0;5.0;4.0;;;;;;;;;;;;
17;0-400 bomen per ha;5 t/m 9 jaar;2002;31.0;;;;;;;;;16.0;10.0;9.0;;;;;;;;;;;19.0;13.0
18;0-400 bomen per ha;10 t/m 14 jaar;1997;9.0;;;;;;;;;;8.0;7.0;;;;;;;;;;;;
19;0-400 bomen per ha;10 t/m 14 jaar;2002;9.0;;;;;;;;;;22.0;13.0;12.0;;;;;;9.0;;;;17.0;6.0
20;0-400 bomen per ha;15 t/m 24 jaar;1997;3.0;;;;;;;;;;11.0;5.0;;;;;;;6.0;;;;;
21;0-400 bomen per ha;15 t/m 24 jaar;2002;3.0;;;;;;;;;;6.0;5.0;;;;;;;;;;;8.0;35.0
22;0-400 bomen per ha;25 jaar en ouder;1997;36.0;;;;;;23.0;;;12.0;38.0;27.0;6.0;6.0;;;;13.0;11.0;2.0;8.0;2.0;;
23;0-400 bomen per ha;25 jaar en ouder;2002;33.0;;;;;;19.0;;;13.0;20.0;14.0;7.0;0.0;;;;7.0;6.0;;;4.0;5.0;29.0
24;400-800 bomen per ha;Alle leeftijdsklassen;1997;78.0;20.0;9.0;;7.0;3.0;21.0;;;14.0;252.0;215.0;100.0;58.0;;23.0;11.0;23.0;37.0;12.0;19.0;5.0;;
25;400-800 bomen per ha;Alle leeftijdsklassen;2002;33.0;8.0;4.0;;;4.0;4.0;3.0;;7.0;144.0;127.0;57.0;43.0;3.0;;9.0;15.0;17.0;10.0;;6.0;228.0;14.0
26;400-800 bomen per ha;0 t/m 4 jaar;1997;6.0;2.0;;;;;;;;;8.0;6.0;;;;;;;;;;;;
27;400-800 bomen per ha;0 t/m 4 jaar;2002;8.0;;;;;;;;;;8.0;8.0;;;;;;;;;;;60.0;
28;400-800 bomen per ha;5 t/m 9 jaar;1997;27.0;14.0;3.0;;2.0;;;;;;14.0;9.0;;;;;;;4.0;2.0;;;;
29;400-800 bomen per ha;5 t/m 9 jaar;2002;6.0;;;;;;;;;;13.0;13.0;;;;;;;;;;;29.0;7.0
30;400-800 bomen per ha;10 t/m 14 jaar;1997;15.0;4.0;;;;;;;;;14.0;11.0;4.0;5.0;;;;;3.0;1.0;;;;
31;400-800 bomen per ha;10 t/m 14 jaar;2002;14.0;;;;;;;;;;13.0;8.0;5.0;2.0;;;;;5.0;2.0;;;54.0;
32;400-800 bomen per ha;15 t/m 24 jaar;1997;10.0;;;;;;5.0;;;;34.0;27.0;13.0;10.0;;;;;7.0;;6.0;;;
33;400-800 bomen per ha;15 t/m 24 jaar;2002;;;;;;;;;;;11.0;9.0;4.0;3.0;;;;;;;;;70.0;
34;400-800 bomen per ha;25 jaar en ouder;1997;20.0;;;;;2.0;11.0;;;7.0;182.0;161.0;79.0;37.0;;21.0;5.0;20.0;21.0;6.0;11.0;4.0;;
35;400-800 bomen per ha;25 jaar en ouder;2002;;;;;;;;;;0.0;100.0;90.0;36.0;34.0;2.0;;5.0;14.0;10.0;7.0;;3.0;14.0;
36;800- 1600 bomen per ha;Alle leeftijdsklassen;1997;453.0;102.0;62.0;18.0;50.0;34.0;113.0;6.0;;68.0;2328.0;2115.0;1178.0;584.0;;124.0;85.0;144.0;213.0;135.0;63.0;15.0;;
37;800- 1600 bomen per ha;Alle leeftijdsklassen;2002;230.0;85.0;33.0;19.0;18.0;10.0;30.0;5.0;;30.0;1595.0;1444.0;817.0;409.0;50.0;;62.0;105.0;151.0;106.0;;45.0;110.0;73.0
38;800- 1600 bomen per ha;0 t/m 4 jaar;1997;72.0;17.0;14.0;;7.0;6.0;11.0;5.0;;12.0;190.0;168.0;104.0;36.0;;8.0;12.0;9.0;22.0;18.0;;;;
39;800- 1600 bomen per ha;0 t/m 4 jaar;2002;42.0;14.0;;5.0;;;;;;16.0;112.0;96.0;73.0;10.0;8.0;;;;16.0;16.0;;;35.0;45.0
40;800- 1600 bomen per ha;5 t/m 9 jaar;1997;144.0;51.0;21.0;;16.0;6.0;13.0;;;29.0;318.0;276.0;179.0;42.0;;15.0;9.0;31.0;42.0;22.0;18.0;;;
41;800- 1600 bomen per ha;5 t/m 9 jaar;2002;41.0;17.0;9.0;;3.0;;3.0;3.0;;4.0;125.0;108.0;58.0;18.0;13.0;;10.0;9.0;17.0;9.0;;8.0;25.0;5.0
42;800- 1600 bomen per ha;10 t/m 14 jaar;1997;123.0;29.0;23.0;;17.0;13.0;21.0;;;10.0;216.0;178.0;120.0;37.0;;5.0;7.0;8.0;38.0;24.0;13.0;;;
43;800- 1600 bomen per ha;10 t/m 14 jaar;2002;91.0;33.0;14.0;12.0;11.0;4.0;8.0;;;8.0;133.0;107.0;61.0;28.0;6.0;;7.0;5.0;26.0;21.0;;5.0;25.0;21.0
44;800- 1600 bomen per ha;15 t/m 24 jaar;1997;81.0;5.0;4.0;;6.0;6.0;47.0;;;13.0;460.0;407.0;286.0;80.0;;12.0;13.0;16.0;53.0;32.0;17.0;4.0;;
45;800- 1600 bomen per ha;15 t/m 24 jaar;2002;44.0;18.0;;;4.0;;14.0;;;1.0;429.0;382.0;262.0;91.0;4.0;;16.0;9.0;47.0;29.0;;18.0;17.0;
46;800- 1600 bomen per ha;25 jaar en ouder;1997;32.0;;;;3.0;;21.0;;;4.0;1144.0;1086.0;489.0;389.0;;85.0;43.0;81.0;58.0;38.0;15.0;5.0;;
47;800- 1600 bomen per ha;25 jaar en ouder;2002;12.0;;;;;;;;;1.0;796.0;751.0;363.0;262.0;19.0;;27.0;80.0;45.0;31.0;;14.0;9.0;
48;1600-2400 bomen per ha;Alle leeftijdsklassen;1997;3480.0;1076.0;713.0;141.0;403.0;377.0;409.0;45.0;5.0;310.0;2108.0;1925.0;1281.0;421.0;;44.0;85.0;95.0;183.0;141.0;36.0;6.0;;
49;1600-2400 bomen per ha;Alle leeftijdsklassen;2002;1905.0;665.0;392.0;130.0;140.0;176.0;226.0;58.0;;118.0;2485.0;2272.0;1580.0;405.0;95.0;;99.0;94.0;213.0;147.0;;66.0;15.0;26.0
50;1600-2400 bomen per ha;0 t/m 4 jaar;1997;504.0;130.0;125.0;55.0;35.0;41.0;75.0;18.0;3.0;22.0;518.0;474.0;344.0;67.0;;9.0;18.0;37.0;44.0;41.0;3.0;;;
51;1600-2400 bomen per ha;0 t/m 4 jaar;2002;487.0;243.0;91.0;34.0;10.0;20.0;44.0;21.0;;24.0;424.0;393.0;302.0;39.0;31.0;;13.0;10.0;31.0;29.0;;3.0;5.0;21.0
52;1600-2400 bomen per ha;5 t/m 9 jaar;1997;1421.0;522.0;266.0;67.0;177.0;110.0;142.0;22.0;;113.0;599.0;549.0;377.0;114.0;;11.0;18.0;29.0;50.0;40.0;8.0;2.0;;
53;1600-2400 bomen per ha;5 t/m 9 jaar;2002;497.0;119.0;127.0;42.0;41.0;49.0;75.0;25.0;;20.0;604.0;539.0;387.0;92.0;18.0;;25.0;16.0;65.0;41.0;;;;
54;1600-2400 bomen per ha;10 t/m 14 jaar;1997;1221.0;386.0;240.0;18.0;158.0;168.0;113.0;;;134.0;386.0;347.0;248.0;68.0;;8.0;16.0;7.0;39.0;30.0;9.0;;;
55;1600-2400 bomen per ha;10 t/m 14 jaar;2002;689.0;239.0;129.0;43.0;72.0;71.0;76.0;11.0;;48.0;546.0;501.0;343.0;81.0;30.0;;30.0;18.0;45.0;32.0;;13.0;;
56;1600-2400 bomen per ha;15 t/m 24 jaar;1997;314.0;38.0;82.0;;32.0;56.0;65.0;;;37.0;293.0;261.0;170.0;65.0;;3.0;15.0;8.0;32.0;19.0;11.0;;;
57;1600-2400 bomen per ha;15 t/m 24 jaar;2002;231.0;64.0;45.0;10.0;17.0;36.0;31.0;;;26.0;551.0;499.0;340.0;94.0;10.0;;19.0;37.0;52.0;35.0;;17.0;;
58;1600-2400 bomen per ha;25 jaar en ouder;1997;20.0;;;;;;13.0;;;3.0;312.0;294.0;142.0;108.0;;13.0;18.0;14.0;18.0;11.0;5.0;2.0;;
59;1600-2400 bomen per ha;25 jaar en ouder;2002;;;;;;;;;;0.0;360.0;339.0;208.0;99.0;6.0;;12.0;13.0;21.0;10.0;;11.0;;
60;2400-3200 bomen per ha;Alle leeftijdsklassen;1997;8175.0;2931.0;1893.0;635.0;838.0;644.0;512.0;122.0;49.0;553.0;1021.0;937.0;695.0;155.0;;14.0;28.0;44.0;84.0;71.0;10.0;2.0;;
61;2400-3200 bomen per ha;Alle leeftijdsklassen;2002;6206.0;2496.0;1358.0;621.0;396.0;450.0;386.0;171.0;;326.0;1451.0;1397.0;1112.0;167.0;47.0;;33.0;37.0;54.0;49.0;;5.0;3.0;18.0
62;2400-3200 bomen per ha;0 t/m 4 jaar;1997;1994.0;554.0;569.0;284.0;138.0;134.0;154.0;76.0;21.0;64.0;427.0;398.0;309.0;51.0;;4.0;12.0;22.0;30.0;27.0;;2.0;;
63;2400-3200 bomen per ha;0 t/m 4 jaar;2002;2250.0;1185.0;400.0;257.0;57.0;117.0;65.0;77.0;;93.0;650.0;640.0;565.0;34.0;25.0;;13.0;4.0;11.0;10.0;;;;12.0
64;2400-3200 bomen per ha;5 t/m 9 jaar;1997;3788.0;1517.0;817.0;294.0;412.0;220.0;208.0;40.0;25.0;256.0;273.0;245.0;184.0;37.0;;3.0;8.0;12.0;28.0;28.0;;;;
65;2400-3200 bomen per ha;5 t/m 9 jaar;2002;1852.0;535.0;504.0;194.0;135.0;142.0;200.0;67.0;;76.0;369.0;352.0;264.0;50.0;11.0;;9.0;19.0;18.0;16.0;;1.0;;
66;2400-3200 bomen per ha;10 t/m 14 jaar;1997;2121.0;814.0;466.0;56.0;251.0;220.0;113.0;6.0;;193.0;106.0;101.0;69.0;27.0;;;3.0;;5.0;4.0;;;;
67;2400-3200 bomen per ha;10 t/m 14 jaar;2002;1741.0;648.0;399.0;144.0;170.0;137.0;99.0;26.0;;117.0;227.0;213.0;157.0;30.0;9.0;;9.0;8.0;14.0;13.0;;1.0;;
68;2400-3200 bomen per ha;15 t/m 24 jaar;1997;247.0;44.0;40.0;;36.0;62.0;27.0;;;37.0;131.0;112.0;81.0;19.0;;;5.0;6.0;19.0;11.0;8.0;;;
69;2400-3200 bomen per ha;15 t/m 24 jaar;2002;341.0;125.0;44.0;27.0;31.0;50.0;22.0;;;40.0;164.0;153.0;102.0;42.0;;;2.0;5.0;11.0;10.0;;;;
70;2400-3200 bomen per ha;25 jaar en ouder;1997;25.0;;;;;9.0;10.0;;;3.0;84.0;82.0;52.0;21.0;;4.0;;4.0;2.0;;;;;
71;2400-3200 bomen per ha;25 jaar en ouder;2002;23.0;;;;;4.0;;;;0.0;41.0;39.0;25.0;12.0;;;1.0;;;;;;;
72;3200-4000 bomen per ha;Alle leeftijdsklassen;1997;2221.0;773.0;571.0;271.0;162.0;96.0;123.0;24.0;34.0;166.0;146.0;141.0;95.0;31.0;;6.0;;;5.0;5.0;;;;
73;3200-4000 bomen per ha;Alle leeftijdsklassen;2002;1975.0;826.0;478.0;234.0;78.0;89.0;102.0;46.0;;121.0;283.0;264.0;202.0;53.0;4.0;;4.0;1.0;19.0;19.0;;;;
74;3200-4000 bomen per ha;0 t/m 4 jaar;1997;668.0;193.0;179.0;138.0;30.0;25.0;49.0;15.0;15.0;24.0;78.0;77.0;64.0;;;;;;;;;;;
75;3200-4000 bomen per ha;0 t/m 4 jaar;2002;962.0;498.0;171.0;109.0;18.0;37.0;32.0;28.0;;70.0;103.0;100.0;85.0;;;;3.0;;3.0;3.0;;;;
76;3200-4000 bomen per ha;5 t/m 9 jaar;1997;996.0;387.0;254.0;100.0;80.0;35.0;50.0;10.0;19.0;63.0;40.0;38.0;15.0;23.0;;;;;;;;;;
77;3200-4000 bomen per ha;5 t/m 9 jaar;2002;568.0;156.0;206.0;69.0;19.0;33.0;39.0;11.0;;35.0;92.0;79.0;66.0;10.0;;;;;13.0;13.0;;;;
78;3200-4000 bomen per ha;10 t/m 14 jaar;1997;516.0;191.0;121.0;33.0;46.0;28.0;23.0;;;73.0;16.0;15.0;8.0;;;;;;;;;;;
79;3200-4000 bomen per ha;10 t/m 14 jaar;2002;391.0;154.0;81.0;53.0;36.0;17.0;29.0;7.0;;12.0;45.0;44.0;23.0;;;;;;;;;;;
80;3200-4000 bomen per ha;15 t/m 24 jaar;1997;31.0;;17.0;;6.0;;;;;;10.0;9.0;8.0;;;;;;;;;;;
81;3200-4000 bomen per ha;15 t/m 24 jaar;2002;48.0;10.0;20.0;;5.0;;;;;;40.0;37.0;27.0;;;;;;2.0;;;;;
82;3200-4000 bomen per ha;25 jaar en ouder;1997;9.0;;;;;;;;;;;;;;;;;;;;;;;
83;3200-4000 bomen per ha;25 jaar en ouder;2002;7.0;;;;;;;;;;;;;;;;;;;;;;;
84;4000 of meer bomen per ha;Alle leeftijdsklassen;1997;701.0;215.0;188.0;91.0;38.0;31.0;71.0;11.0;21.0;34.0;102.0;97.0;82.0;12.0;;;;2.0;6.0;4.0;;;;
85;4000 of meer bomen per ha;Alle leeftijdsklassen;2002;710.0;270.0;191.0;66.0;27.0;27.0;40.0;32.0;;58.0;290.0;279.0;228.0;32.0;;;5.0;9.0;12.0;12.0;;;;5.0
86;4000 of meer bomen per ha;0 t/m 4 jaar;1997;368.0;91.0;100.0;62.0;17.0;15.0;52.0;6.0;9.0;17.0;53.0;50.0;41.0;9.0;;;;;3.0;;;;;
87;4000 of meer bomen per ha;0 t/m 4 jaar;2002;338.0;166.0;69.0;27.0;;16.0;5.0;20.0;;34.0;153.0;148.0;127.0;11.0;;;;8.0;5.0;5.0;;;;4.0
88;4000 of meer bomen per ha;5 t/m 9 jaar;1997;269.0;108.0;69.0;27.0;11.0;11.0;14.0;6.0;12.0;12.0;28.0;27.0;23.0;;;;;;;;;;;
89;4000 of meer bomen per ha;5 t/m 9 jaar;2002;247.0;59.0;100.0;23.0;8.0;7.0;27.0;7.0;;17.0;82.0;78.0;70.0;;;;;;4.0;4.0;;;;
90;4000 of meer bomen per ha;10 t/m 14 jaar;1997;54.0;14.0;16.0;;10.0;4.0;5.0;;;;;;;;;;;;;;;;;
91;4000 of meer bomen per ha;10 t/m 14 jaar;2002;114.0;39.0;21.0;16.0;15.0;3.0;7.0;5.0;;;20.0;;11.0;;;;;;;;;;;
92;4000 of meer bomen per ha;15 t/m 24 jaar;1997;10.0;;;;;;;;;;20.0;;;;;;;;;;;;;
93;4000 of meer bomen per ha;15 t/m 24 jaar;2002;11.0;;;;;;1.0;;;;8.0;;;;;;;;;;;;;
94;4000 of meer bomen per ha;25 jaar en ouder;1997;;;;;;;;;;;;;;;;;;;;;;;;
95;4000 of meer bomen per ha;25 jaar en ouder;2002;;;;;;;;;;;27.0;;;;;;;;;;;;;
