ID;Voertuigsoort;KenmerkenVrachtautoSEnTrekkers;BedrijfstakkenBranchesSBI2008;Perioden;VoertuigenInGebruik_1;KilometersNederlandseVoertuigen_2;GemiddeldJaarkilometrage_3
95;Vrachtauto's en trekkers voor oplegger;Totaal;J Informatie en communicatie;2023;309.0;4.2;13493.0
96;Vrachtauto's en trekkers voor oplegger;Totaal;K Financiële dienstverlening;2018;1837.0;74.2;40376.0
97;Vrachtauto's en trekkers voor oplegger;Totaal;K Financiële dienstverlening;2019;1646.0;69.9;42475.0
98;Vrachtauto's en trekkers voor oplegger;Totaal;K Financiële dienstverlening;2020;1585.0;65.0;41004.0
99;Vrachtauto's en trekkers voor oplegger;Totaal;K Financiële dienstverlening;2021;1570.0;63.7;40592.0
100;Vrachtauto's en trekkers voor oplegger;Totaal;K Financiële dienstverlening;2022;1838.0;75.4;41044.0
101;Vrachtauto's en trekkers voor oplegger;Totaal;K Financiële dienstverlening;2023;1859.0;78.8;42404.0
102;Vrachtauto's en trekkers voor oplegger;Totaal;L Verhuur en handel van onroerend goed;2018;397.0;14.5;36448.0
103;Vrachtauto's en trekkers voor oplegger;Totaal;L Verhuur en handel van onroerend goed;2019;450.0;15.9;35444.0
104;Vrachtauto's en trekkers voor oplegger;Totaal;L Verhuur en handel van onroerend goed;2020;414.0;15.6;37587.0
105;Vrachtauto's en trekkers voor oplegger;Totaal;L Verhuur en handel van onroerend goed;2021;402.0;14.7;36567.0
106;Vrachtauto's en trekkers voor oplegger;Totaal;L Verhuur en handel van onroerend goed;2022;483.0;17.7;36559.0
107;Vrachtauto's en trekkers voor oplegger;Totaal;L Verhuur en handel van onroerend goed;2023;442.0;15.9;35996.0
108;Vrachtauto's en trekkers voor oplegger;Totaal;M Specialistische zakelijke diensten;2018;2404.0;83.6;34764.0
109;Vrachtauto's en trekkers voor oplegger;Totaal;M Specialistische zakelijke diensten;2019;2240.0;70.0;31252.0
110;Vrachtauto's en trekkers voor oplegger;Totaal;M Specialistische zakelijke diensten;2020;2154.0;70.8;32892.0
111;Vrachtauto's en trekkers voor oplegger;Totaal;M Specialistische zakelijke diensten;2021;2211.0;76.8;34742.0
112;Vrachtauto's en trekkers voor oplegger;Totaal;M Specialistische zakelijke diensten;2022;2670.0;111.8;41866.0
113;Vrachtauto's en trekkers voor oplegger;Totaal;M Specialistische zakelijke diensten;2023;2374.0;72.7;30637.0
114;Vrachtauto's en trekkers voor oplegger;Totaal;N Verhuur en overige zakelijke diensten;2018;7131.0;270.0;37864.0
115;Vrachtauto's en trekkers voor oplegger;Totaal;N Verhuur en overige zakelijke diensten;2019;7636.0;283.2;37084.0
116;Vrachtauto's en trekkers voor oplegger;Totaal;N Verhuur en overige zakelijke diensten;2020;7664.0;263.5;34377.0
117;Vrachtauto's en trekkers voor oplegger;Totaal;N Verhuur en overige zakelijke diensten;2021;7401.0;275.2;37182.0
118;Vrachtauto's en trekkers voor oplegger;Totaal;N Verhuur en overige zakelijke diensten;2022;7141.0;227.1;31798.0
