ID;Perioden;BenzineEuro95_1;Diesel_2;Lpg_3
51;2006 dinsdag 21 februari;1.326;1.023;0.547
52;2006 woensdag 22 februari;1.33;1.026;0.54
53;2006 donderdag 23 februari;1.329;1.024;0.539
54;2006 vrijdag 24 februari;1.324;1.02;0.539
55;2006 zaterdag 25 februari;1.325;1.023;0.537
56;2006 zondag 26 februari;1.323;1.023;0.536
57;2006 maandag 27 februari;1.323;1.025;0.538
58;2006 dinsdag 28 februari;1.324;1.026;0.542
59;2006 woensdag 1 maart;1.322;1.026;0.535
60;2006 donderdag 2 maart;1.324;1.031;0.532
61;2006 vrijdag 3 maart;1.329;1.043;0.53
62;2006 zaterdag 4 maart;1.333;1.053;0.525
63;2006 zondag 5 maart;1.333;1.052;0.528
64;2006 maandag 6 maart;1.334;1.053;0.527
65;2006 dinsdag 7 maart;1.335;1.055;0.527
66;2006 woensdag 8 maart;1.329;1.049;0.523
67;2006 donderdag 9 maart;1.326;1.047;0.522
68;2006 vrijdag 10 maart;1.331;1.044;0.525
69;2006 zaterdag 11 maart;1.349;1.041;0.522
70;2006 zondag 12 maart;1.349;1.041;0.523
71;2006 maandag 13 maart;1.35;1.041;0.524
72;2006 dinsdag 14 maart;1.351;1.038;0.518
73;2006 woensdag 15 maart;1.364;1.041;0.519
74;2006 donderdag 16 maart;1.366;1.043;0.517
75;2006 vrijdag 17 maart;1.368;1.044;0.52
76;2006 zaterdag 18 maart;1.373;1.046;0.522
77;2006 zondag 19 maart;1.372;1.045;0.524
78;2006 maandag 20 maart;1.372;1.045;0.522
79;2006 dinsdag 21 maart;1.372;1.043;0.518
80;2006 woensdag 22 maart;1.365;1.038;0.518
81;2006 donderdag 23 maart;1.362;1.036;0.519
82;2006 vrijdag 24 maart;1.361;1.038;0.52
83;2006 zaterdag 25 maart;1.374;1.047;0.518
84;2006 zondag 26 maart;1.373;1.047;0.518
85;2006 maandag 27 maart;1.373;1.049;0.52
86;2006 dinsdag 28 maart;1.376;1.052;0.522
87;2006 woensdag 29 maart;1.38;1.052;0.519
88;2006 donderdag 30 maart;1.394;1.056;0.517
89;2006 vrijdag 31 maart;1.403;1.06;0.519
90;2006 zaterdag 1 april;1.407;1.062;0.517
91;2006 zondag 2 april;1.405;1.062;0.517
92;2006 maandag 3 april;1.406;1.062;0.519
93;2006 dinsdag 4 april;1.406;1.063;0.521
94;2006 woensdag 5 april;1.407;1.063;0.529
95;2006 donderdag 6 april;1.407;1.061;0.53
96;2006 vrijdag 7 april;1.419;1.059;0.528
97;2006 zaterdag 8 april;1.421;1.057;0.528
98;2006 zondag 9 april;1.421;1.056;0.53
99;2006 maandag 10 april;1.421;1.058;0.532
100;2006 dinsdag 11 april;1.425;1.062;0.53
101;2006 woensdag 12 april;1.434;1.075;0.526
102;2006 donderdag 13 april;1.436;1.077;0.526
103;2006 vrijdag 14 april;1.438;1.08;0.525
104;2006 zaterdag 15 april;1.437;1.081;0.521
105;2006 zondag 16 april;1.436;1.079;0.524
106;2006 maandag 17 april;1.437;1.08;0.525
107;2006 dinsdag 18 april;1.439;1.081;0.523
108;2006 woensdag 19 april;1.443;1.085;0.523
109;2006 donderdag 20 april;1.443;1.088;0.522
110;2006 vrijdag 21 april;1.45;1.095;0.52
111;2006 zaterdag 22 april;1.449;1.099;0.523
112;2006 zondag 23 april;1.448;1.099;0.524
113;2006 maandag 24 april;1.448;1.101;0.521
114;2006 dinsdag 25 april;1.447;1.1;0.523
115;2006 woensdag 26 april;1.448;1.101;0.515
116;2006 donderdag 27 april;1.449;1.101;0.514
117;2006 vrijdag 28 april;1.446;1.096;0.516
118;2006 zaterdag 29 april;1.434;1.083;0.513
119;2006 zondag 30 april;1.433;1.082;0.511
120;2006 maandag 1 mei;1.432;1.083;0.51
121;2006 dinsdag 2 mei;1.437;1.084;0.51
122;2006 woensdag 3 mei;1.449;1.086;0.506
123;2006 donderdag 4 mei;1.455;1.089;0.503
124;2006 vrijdag 5 mei;1.456;1.087;0.504
125;2006 zaterdag 6 mei;1.441;1.075;0.5
126;2006 zondag 7 mei;1.441;1.072;0.501
127;2006 maandag 8 mei;1.44;1.073;0.503
128;2006 dinsdag 9 mei;1.437;1.069;0.502
129;2006 woensdag 10 mei;1.43;1.066;0.501
130;2006 donderdag 11 mei;1.428;1.067;0.502
131;2006 vrijdag 12 mei;1.444;1.081;0.503
132;2006 zaterdag 13 mei;1.451;1.084;0.502
133;2006 zondag 14 mei;1.451;1.083;0.5
134;2006 maandag 15 mei;1.452;1.084;0.501
135;2006 dinsdag 16 mei;1.445;1.076;0.502
136;2006 woensdag 17 mei;1.433;1.069;0.498
137;2006 donderdag 18 mei;1.426;1.068;0.501
138;2006 vrijdag 19 mei;1.416;1.062;0.498
139;2006 zaterdag 20 mei;1.419;1.067;0.496
140;2006 zondag 21 mei;1.417;1.067;0.497
141;2006 maandag 22 mei;1.418;1.068;0.497
142;2006 dinsdag 23 mei;1.414;1.064;0.5
143;2006 woensdag 24 mei;1.418;1.065;0.497
144;2006 donderdag 25 mei;1.422;1.066;0.496
145;2006 vrijdag 26 mei;1.421;1.066;0.493
146;2006 zaterdag 27 mei;1.423;1.066;0.494
147;2006 zondag 28 mei;1.423;1.065;0.495
148;2006 maandag 29 mei;1.423;1.067;0.496
149;2006 dinsdag 30 mei;1.43;1.071;0.494
150;2006 woensdag 31 mei;1.435;1.075;0.49
151;2006 donderdag 1 juni;1.437;1.075;0.492
152;2006 vrijdag 2 juni;1.436;1.076;0.495
153;2006 zaterdag 3 juni;1.446;1.074;0.491
154;2006 zondag 4 juni;1.446;1.073;0.49
155;2006 maandag 5 juni;1.446;1.073;0.491
156;2006 dinsdag 6 juni;1.447;1.074;0.493
157;2006 woensdag 7 juni;1.453;1.081;0.49
158;2006 donderdag 8 juni;1.454;1.082;0.493
159;2006 vrijdag 9 juni;1.449;1.078;0.492
160;2006 zaterdag 10 juni;1.45;1.077;0.488
161;2006 zondag 11 juni;1.449;1.078;0.49
162;2006 maandag 12 juni;1.45;1.079;0.49
163;2006 dinsdag 13 juni;1.457;1.093;0.494
164;2006 woensdag 14 juni;1.454;1.091;0.494
165;2006 donderdag 15 juni;1.442;1.087;0.499
166;2006 vrijdag 16 juni;1.437;1.082;0.498
167;2006 zaterdag 17 juni;1.436;1.078;0.499
168;2006 zondag 18 juni;1.437;1.081;0.497
169;2006 maandag 19 juni;1.437;1.081;0.501
170;2006 dinsdag 20 juni;1.432;1.076;0.497
171;2006 woensdag 21 juni;1.43;1.074;0.497
172;2006 donderdag 22 juni;1.427;1.069;0.499
173;2006 vrijdag 23 juni;1.436;1.074;0.495
174;2006 zaterdag 24 juni;1.438;1.074;0.494
175;2006 zondag 25 juni;1.437;1.074;0.493
176;2006 maandag 26 juni;1.438;1.075;0.498
177;2006 dinsdag 27 juni;1.446;1.077;0.499
178;2006 woensdag 28 juni;1.456;1.083;0.502
179;2006 donderdag 29 juni;1.456;1.084;0.506
180;2006 vrijdag 30 juni;1.458;1.085;0.505
181;2006 zaterdag 1 juli;1.459;1.086;0.503
182;2006 zondag 2 juli;1.459;1.085;0.505
183;2006 maandag 3 juli;1.459;1.086;0.505
184;2006 dinsdag 4 juli;1.461;1.086;0.504
185;2006 woensdag 5 juli;1.463;1.086;0.506
186;2006 donderdag 6 juli;1.462;1.085;0.51
187;2006 vrijdag 7 juli;1.469;1.086;0.509
188;2006 zaterdag 8 juli;1.475;1.088;0.507
189;2006 zondag 9 juli;1.474;1.088;0.508
190;2006 maandag 10 juli;1.474;1.088;0.511
191;2006 dinsdag 11 juli;1.47;1.081;0.509
192;2006 woensdag 12 juli;1.468;1.077;0.508
193;2006 donderdag 13 juli;1.468;1.076;0.513
194;2006 vrijdag 14 juli;1.477;1.082;0.51
195;2006 zaterdag 15 juli;1.484;1.089;0.512
196;2006 zondag 16 juli;1.484;1.089;0.507
197;2006 maandag 17 juli;1.482;1.089;0.512
198;2006 dinsdag 18 juli;1.49;1.096;0.517
199;2006 woensdag 19 juli;1.49;1.096;0.518
200;2006 donderdag 20 juli;1.488;1.094;0.521
201;2006 vrijdag 21 juli;1.482;1.086;0.52
202;2006 zaterdag 22 juli;1.479;1.082;0.522
203;2006 zondag 23 juli;1.477;1.081;0.52
204;2006 maandag 24 juli;1.478;1.081;0.523
205;2006 dinsdag 25 juli;1.477;1.077;0.521
206;2006 woensdag 26 juli;1.483;1.08;0.526
207;2006 donderdag 27 juli;1.484;1.081;0.532
208;2006 vrijdag 28 juli;1.483;1.08;0.53
209;2006 zaterdag 29 juli;1.484;1.08;0.529
210;2006 zondag 30 juli;1.484;1.081;0.529
211;2006 maandag 31 juli;1.484;1.081;0.528
212;2006 dinsdag 1 augustus;1.475;1.081;0.533
213;2006 woensdag 2 augustus;1.475;1.088;0.534
214;2006 donderdag 3 augustus;1.474;1.092;0.532
215;2006 vrijdag 4 augustus;1.484;1.099;0.536
216;2006 zaterdag 5 augustus;1.486;1.1;0.532
217;2006 zondag 6 augustus;1.487;1.1;0.534
218;2006 maandag 7 augustus;1.487;1.101;0.534
219;2006 dinsdag 8 augustus;1.487;1.1;0.535
220;2006 woensdag 9 augustus;1.479;1.101;0.535
221;2006 donderdag 10 augustus;1.475;1.101;0.534
222;2006 vrijdag 11 augustus;1.46;1.1;0.536
223;2006 zaterdag 12 augustus;1.451;1.101;0.532
224;2006 zondag 13 augustus;1.449;1.101;0.53
225;2006 maandag 14 augustus;1.449;1.101;0.534
226;2006 dinsdag 15 augustus;1.442;1.091;0.533
227;2006 woensdag 16 augustus;1.435;1.092;0.531
228;2006 donderdag 17 augustus;1.43;1.091;0.529
229;2006 vrijdag 18 augustus;1.419;1.085;0.533
230;2006 zaterdag 19 augustus;1.413;1.082;0.533
231;2006 zondag 20 augustus;1.412;1.082;0.536
232;2006 maandag 21 augustus;1.412;1.082;0.53
233;2006 dinsdag 22 augustus;1.411;1.082;0.532
234;2006 woensdag 23 augustus;1.405;1.085;0.534
235;2006 donderdag 24 augustus;1.402;1.086;0.532
236;2006 vrijdag 25 augustus;1.393;1.086;0.532
237;2006 zaterdag 26 augustus;1.389;1.086;0.533
238;2006 zondag 27 augustus;1.389;1.085;0.531
239;2006 maandag 28 augustus;1.389;1.086;0.529
240;2006 dinsdag 29 augustus;1.389;1.087;0.534
241;2006 woensdag 30 augustus;1.381;1.081;0.532
242;2006 donderdag 31 augustus;1.373;1.08;0.536
243;2006 vrijdag 1 september;1.371;1.08;0.532
244;2006 zaterdag 2 september;1.367;1.08;0.531
245;2006 zondag 3 september;1.366;1.08;0.533
246;2006 maandag 4 september;1.367;1.08;0.533
247;2006 dinsdag 5 september;1.351;1.067;0.531
248;2006 woensdag 6 september;1.349;1.064;0.534
249;2006 donderdag 7 september;1.344;1.06;0.536
250;2006 vrijdag 8 september;1.34;1.054;0.534
251;2006 zaterdag 9 september;1.338;1.052;0.536
252;2006 zondag 10 september;1.338;1.053;0.533
253;2006 maandag 11 september;1.338;1.053;0.535
254;2006 dinsdag 12 september;1.329;1.038;0.535
255;2006 woensdag 13 september;1.328;1.035;0.532
256;2006 donderdag 14 september;1.322;1.024;0.537
257;2006 vrijdag 15 september;1.32;1.014;0.533
258;2006 zaterdag 16 september;1.317;1.003;0.536
259;2006 zondag 17 september;1.316;1.003;0.534
260;2006 maandag 18 september;1.317;1.003;0.534
261;2006 dinsdag 19 september;1.315;1.001;0.535
262;2006 woensdag 20 september;1.318;1.005;0.534
263;2006 donderdag 21 september;1.313;1.005;0.53
264;2006 vrijdag 22 september;1.3;0.997;0.529
265;2006 zaterdag 23 september;1.299;0.995;0.531
266;2006 zondag 24 september;1.298;0.994;0.526
267;2006 maandag 25 september;1.298;0.995;0.531
268;2006 dinsdag 26 september;1.291;0.989;0.53
269;2006 woensdag 27 september;1.29;0.988;0.523
270;2006 donderdag 28 september;1.293;0.992;0.52
271;2006 vrijdag 29 september;1.3;1.008;0.515
272;2006 zaterdag 30 september;1.3;1.01;0.516
273;2006 zondag 1 oktober;1.299;1.009;0.518
274;2006 maandag 2 oktober;1.3;1.01;0.518
275;2006 dinsdag 3 oktober;1.301;1.013;0.52
276;2006 woensdag 4 oktober;1.291;1.005;0.513
277;2006 donderdag 5 oktober;1.287;0.999;0.509
278;2006 vrijdag 6 oktober;1.285;0.999;0.51
279;2006 zaterdag 7 oktober;1.291;1.004;0.51
280;2006 zondag 8 oktober;1.289;1.004;0.509
281;2006 maandag 9 oktober;1.291;1.004;0.512
282;2006 dinsdag 10 oktober;1.296;1.01;0.51
283;2006 woensdag 11 oktober;1.297;1.013;0.508
284;2006 donderdag 12 oktober;1.295;1.012;0.509
285;2006 vrijdag 13 oktober;1.291;1.013;0.507
286;2006 zaterdag 14 oktober;1.29;1.014;0.506
287;2006 zondag 15 oktober;1.289;1.014;0.504
288;2006 maandag 16 oktober;1.29;1.015;0.502
289;2006 dinsdag 17 oktober;1.291;1.019;0.505
290;2006 woensdag 18 oktober;1.296;1.028;0.506
291;2006 donderdag 19 oktober;1.295;1.027;0.512
292;2006 vrijdag 20 oktober;1.294;1.022;0.51
293;2006 zaterdag 21 oktober;1.295;1.017;0.504
294;2006 zondag 22 oktober;1.294;1.016;0.509
295;2006 maandag 23 oktober;1.295;1.017;0.511
296;2006 dinsdag 24 oktober;1.286;1.007;0.509
297;2006 woensdag 25 oktober;1.285;1.005;0.509
298;2006 donderdag 26 oktober;1.286;1.006;0.51
299;2006 vrijdag 27 oktober;1.288;1.009;0.507
300;2006 zaterdag 28 oktober;1.289;1.008;0.509
301;2006 zondag 29 oktober;1.287;1.008;0.506
302;2006 maandag 30 oktober;1.29;1.009;0.507
303;2006 dinsdag 31 oktober;1.292;1.006;0.509
304;2006 woensdag 1 november;1.286;0.997;0.509
305;2006 donderdag 2 november;1.284;0.994;0.508
306;2006 vrijdag 3 november;1.279;0.993;0.506
307;2006 zaterdag 4 november;1.275;0.991;0.507
308;2006 zondag 5 november;1.275;0.99;0.508
309;2006 maandag 6 november;1.275;0.991;0.506
310;2006 dinsdag 7 november;1.283;0.999;0.503
311;2006 woensdag 8 november;1.288;0.999;0.502
312;2006 donderdag 9 november;1.286;0.997;0.503
313;2006 vrijdag 10 november;1.293;1.0;0.504
314;2006 zaterdag 11 november;1.292;0.997;0.503
315;2006 zondag 12 november;1.294;0.999;0.506
316;2006 maandag 13 november;1.295;1.001;0.506
317;2006 dinsdag 14 november;1.295;0.997;0.502
318;2006 woensdag 15 november;1.295;0.994;0.503
319;2006 donderdag 16 november;1.295;0.994;0.505
320;2006 vrijdag 17 november;1.301;1.003;0.501
321;2006 zaterdag 18 november;1.29;0.995;0.504
322;2006 zondag 19 november;1.29;0.994;0.503
323;2006 maandag 20 november;1.289;0.995;0.501
324;2006 dinsdag 21 november;1.285;0.992;0.503
325;2006 woensdag 22 november;1.292;0.998;0.506
326;2006 donderdag 23 november;1.293;0.999;0.508
327;2006 vrijdag 24 november;1.294;0.997;0.512
328;2006 zaterdag 25 november;1.29;0.993;0.507
329;2006 zondag 26 november;1.289;0.992;0.508
330;2006 maandag 27 november;1.29;0.992;0.51
331;2006 dinsdag 28 november;1.288;0.991;0.511
332;2006 woensdag 29 november;1.292;0.995;0.507
333;2006 donderdag 30 november;1.297;0.999;0.507
334;2006 vrijdag 1 december;1.307;1.009;0.507
335;2006 zaterdag 2 december;1.309;1.012;0.506
336;2006 zondag 3 december;1.309;1.012;0.504
337;2006 maandag 4 december;1.31;1.012;0.507
338;2006 dinsdag 5 december;1.309;1.007;0.507
339;2006 woensdag 6 december;1.308;1.001;0.503
340;2006 donderdag 7 december;1.307;0.998;0.501
341;2006 vrijdag 8 december;1.307;0.996;0.504
342;2006 zaterdag 9 december;1.306;0.996;0.503
343;2006 zondag 10 december;1.306;0.996;0.5
344;2006 maandag 11 december;1.306;0.997;0.502
345;2006 dinsdag 12 december;1.303;0.994;0.505
346;2006 woensdag 13 december;1.3;0.991;0.504
347;2006 donderdag 14 december;1.298;0.989;0.502
348;2006 vrijdag 15 december;1.302;0.991;0.501
349;2006 zaterdag 16 december;1.312;0.999;0.504
350;2006 zondag 17 december;1.312;0.998;0.508
351;2006 maandag 18 december;1.313;1.0;0.5
352;2006 dinsdag 19 december;1.314;0.999;0.503
353;2006 woensdag 20 december;1.307;0.988;0.507
354;2006 donderdag 21 december;1.305;0.986;0.503
355;2006 vrijdag 22 december;1.306;0.986;0.502
356;2006 zaterdag 23 december;1.309;0.985;0.505
357;2006 zondag 24 december;1.308;0.986;0.5
358;2006 maandag 25 december;1.306;0.984;0.501
359;2006 dinsdag 26 december;1.308;0.986;0.502
360;2006 woensdag 27 december;1.308;0.986;0.505
361;2006 donderdag 28 december;1.308;0.985;0.501
362;2006 vrijdag 29 december;1.306;0.985;0.504
363;2006 zaterdag 30 december;1.31;0.988;0.504
364;2006 zondag 31 december;1.31;0.988;0.499
365;2007 maandag 1 januari;1.318;0.992;0.506
366;2007 dinsdag 2 januari;1.319;0.993;0.504
367;2007 woensdag 3 januari;1.324;0.993;0.504
368;2007 donderdag 4 januari;1.326;0.992;0.501
369;2007 vrijdag 5 januari;1.322;0.988;0.503
370;2007 zaterdag 6 januari;1.314;0.974;0.502
371;2007 zondag 7 januari;1.313;0.972;0.499
372;2007 maandag 8 januari;1.313;0.973;0.501
373;2007 dinsdag 9 januari;1.314;0.973;0.502
374;2007 woensdag 10 januari;1.314;0.972;0.506
375;2007 donderdag 11 januari;1.312;0.971;0.502
376;2007 vrijdag 12 januari;1.308;0.969;0.501
377;2007 zaterdag 13 januari;1.299;0.964;0.502
378;2007 zondag 14 januari;1.298;0.964;0.499
379;2007 maandag 15 januari;1.298;0.964;0.502
380;2007 dinsdag 16 januari;1.297;0.961;0.502
381;2007 woensdag 17 januari;1.295;0.961;0.5
382;2007 donderdag 18 januari;1.288;0.958;0.5
383;2007 vrijdag 19 januari;1.286;0.957;0.496
384;2007 zaterdag 20 januari;1.284;0.957;0.498
385;2007 zondag 21 januari;1.283;0.955;0.496
386;2007 maandag 22 januari;1.284;0.956;0.498
387;2007 dinsdag 23 januari;1.286;0.959;0.498
388;2007 woensdag 24 januari;1.291;0.964;0.488
389;2007 donderdag 25 januari;1.297;0.968;0.49
390;2007 vrijdag 26 januari;1.303;0.97;0.488
391;2007 zaterdag 27 januari;1.302;0.97;0.489
392;2007 zondag 28 januari;1.301;0.97;0.486
393;2007 maandag 29 januari;1.302;0.97;0.487
394;2007 dinsdag 30 januari;1.302;0.971;0.488
395;2007 woensdag 31 januari;1.301;0.969;0.49
396;2007 donderdag 1 februari;1.307;0.977;0.492
397;2007 vrijdag 2 februari;1.308;0.98;0.493
398;2007 zaterdag 3 februari;1.31;0.983;0.488
399;2007 zondag 4 februari;1.31;0.984;0.493
400;2007 maandag 5 februari;1.312;0.984;0.495
401;2007 dinsdag 6 februari;1.316;0.99;0.495
402;2007 woensdag 7 februari;1.321;0.998;0.496
403;2007 donderdag 8 februari;1.322;0.998;0.495
404;2007 vrijdag 9 februari;1.322;0.996;0.495
405;2007 zaterdag 10 februari;1.322;0.996;0.493
406;2007 zondag 11 februari;1.321;0.995;0.496
407;2007 maandag 12 februari;1.322;0.996;0.497
408;2007 dinsdag 13 februari;1.323;0.997;0.498
409;2007 woensdag 14 februari;1.321;0.992;0.504
410;2007 donderdag 15 februari;1.32;0.989;0.503
411;2007 vrijdag 16 februari;1.32;0.988;0.504
412;2007 zaterdag 17 februari;1.319;0.982;0.503
413;2007 zondag 18 februari;1.318;0.981;0.5
414;2007 maandag 19 februari;1.318;0.981;0.503
415;2007 dinsdag 20 februari;1.322;0.982;0.502
416;2007 woensdag 21 februari;1.324;0.982;0.499
417;2007 donderdag 22 februari;1.326;0.982;0.505
418;2007 vrijdag 23 februari;1.336;0.988;0.5
419;2007 zaterdag 24 februari;1.35;0.998;0.501
420;2007 zondag 25 februari;1.351;0.998;0.507
421;2007 maandag 26 februari;1.35;0.998;0.501
422;2007 dinsdag 27 februari;1.357;1.002;0.504
423;2007 woensdag 28 februari;1.362;1.003;0.505
424;2007 donderdag 1 maart;1.365;1.003;0.503
425;2007 vrijdag 2 maart;1.375;1.006;0.502
426;2007 zaterdag 3 maart;1.384;1.009;0.502
427;2007 zondag 4 maart;1.384;1.009;0.503
428;2007 maandag 5 maart;1.383;1.009;0.504
429;2007 dinsdag 6 maart;1.383;1.01;0.505
430;2007 woensdag 7 maart;1.382;1.01;0.509
431;2007 donderdag 8 maart;1.381;1.01;0.504
432;2007 vrijdag 9 maart;1.382;1.01;0.505
433;2007 zaterdag 10 maart;1.386;1.01;0.506
434;2007 zondag 11 maart;1.386;1.008;0.501
435;2007 maandag 12 maart;1.386;1.01;0.506
436;2007 dinsdag 13 maart;1.384;1.007;0.504
437;2007 woensdag 14 maart;1.384;1.005;0.51
438;2007 donderdag 15 maart;1.383;1.003;0.511
439;2007 vrijdag 16 maart;1.379;1.003;0.513
440;2007 zaterdag 17 maart;1.369;1.0;0.514
441;2007 zondag 18 maart;1.367;1.0;0.509
442;2007 maandag 19 maart;1.366;1.0;0.512
443;2007 dinsdag 20 maart;1.365;0.997;0.515
444;2007 woensdag 21 maart;1.362;0.995;0.509
445;2007 donderdag 22 maart;1.361;0.995;0.514
446;2007 vrijdag 23 maart;1.362;0.995;0.512
447;2007 zaterdag 24 maart;1.367;0.998;0.507
448;2007 zondag 25 maart;1.367;0.999;0.512
449;2007 maandag 26 maart;1.366;0.999;0.511
450;2007 dinsdag 27 maart;1.381;1.006;0.512
451;2007 woensdag 28 maart;1.39;1.008;0.504
452;2007 donderdag 29 maart;1.402;1.018;0.506
453;2007 vrijdag 30 maart;1.402;1.026;0.504
454;2007 zaterdag 31 maart;1.416;1.038;0.504
455;2007 zondag 1 april;1.414;1.036;0.504
456;2007 maandag 2 april;1.416;1.039;0.505
457;2007 dinsdag 3 april;1.416;1.038;0.507
458;2007 woensdag 4 april;1.412;1.035;0.514
459;2007 donderdag 5 april;1.41;1.034;0.513
460;2007 vrijdag 6 april;1.417;1.035;0.512
461;2007 zaterdag 7 april;1.42;1.035;0.514
462;2007 zondag 8 april;1.418;1.033;0.514
463;2007 maandag 9 april;1.418;1.034;0.514
464;2007 dinsdag 10 april;1.419;1.036;0.513
465;2007 woensdag 11 april;1.416;1.029;0.515
466;2007 donderdag 12 april;1.416;1.028;0.517
467;2007 vrijdag 13 april;1.42;1.033;0.518
468;2007 zaterdag 14 april;1.428;1.037;0.519
469;2007 zondag 15 april;1.427;1.037;0.517
470;2007 maandag 16 april;1.427;1.038;0.519
471;2007 dinsdag 17 april;1.428;1.038;0.518
472;2007 woensdag 18 april;1.428;1.037;0.515
473;2007 donderdag 19 april;1.418;1.024;0.515
474;2007 vrijdag 20 april;1.416;1.022;0.516
475;2007 zaterdag 21 april;1.426;1.019;0.516
476;2007 zondag 22 april;1.425;1.019;0.515
477;2007 maandag 23 april;1.425;1.019;0.516
478;2007 dinsdag 24 april;1.435;1.022;0.513
479;2007 woensdag 25 april;1.451;1.027;0.512
480;2007 donderdag 26 april;1.45;1.027;0.514
481;2007 vrijdag 27 april;1.45;1.027;0.511
482;2007 zaterdag 28 april;1.45;1.027;0.512
483;2007 zondag 29 april;1.449;1.027;0.513
484;2007 maandag 30 april;1.45;1.026;0.516
485;2007 dinsdag 1 mei;1.452;1.028;0.515
486;2007 woensdag 2 mei;1.462;1.028;0.511
487;2007 donderdag 3 mei;1.467;1.028;0.509
488;2007 vrijdag 4 mei;1.468;1.028;0.511
489;2007 zaterdag 5 mei;1.463;1.027;0.509
490;2007 zondag 6 mei;1.462;1.027;0.514
491;2007 maandag 7 mei;1.462;1.028;0.508
492;2007 dinsdag 8 mei;1.46;1.027;0.51
493;2007 woensdag 9 mei;1.453;1.023;0.506
494;2007 donderdag 10 mei;1.449;1.021;0.504
495;2007 vrijdag 11 mei;1.45;1.021;0.506
496;2007 zaterdag 12 mei;1.464;1.027;0.501
497;2007 zondag 13 mei;1.464;1.028;0.498
498;2007 maandag 14 mei;1.465;1.029;0.503
499;2007 dinsdag 15 mei;1.468;1.029;0.503
500;2007 woensdag 16 mei;1.467;1.029;0.508
501;2007 donderdag 17 mei;1.466;1.029;0.508
502;2007 vrijdag 18 mei;1.466;1.028;0.507
503;2007 zaterdag 19 mei;1.474;1.031;0.506
504;2007 zondag 20 mei;1.474;1.031;0.51
505;2007 maandag 21 mei;1.475;1.031;0.51
506;2007 dinsdag 22 mei;1.482;1.037;0.509
507;2007 woensdag 23 mei;1.483;1.039;0.52
508;2007 donderdag 24 mei;1.476;1.039;0.523
509;2007 vrijdag 25 mei;1.47;1.043;0.52
510;2007 zaterdag 26 mei;1.472;1.046;0.521
511;2007 zondag 27 mei;1.471;1.046;0.52
512;2007 maandag 28 mei;1.471;1.047;0.522
513;2007 dinsdag 29 mei;1.472;1.047;0.523
514;2007 woensdag 30 mei;1.471;1.043;0.529
515;2007 donderdag 31 mei;1.463;1.037;0.536
