ID;Age;Sex;Periods;TotalUnemploymentBenefits_1;Duration0Till6Months_2;Duration6Till12Months_3;DurationMoreThan12Months_4
213;5;Women;2007;27400;3590;2850;20960
214;5;Women;2008;22430;3640;2540;16260
215;5;Women;2009;22650;6150;4400;12110
216;7;Total men and women;1998;2130;0;60;2070
217;7;Total men and women;1999;1260;1050;130;70
218;7;Total men and women;2000;940;30;0;910
219;7;Total men and women;2001;820;750;60;10
220;7;Total men and women;2002;1470;1350;120;10
221;7;Total men and women;2003;2280;2080;200;10
222;7;Total men and women;2004;2100;1840;240;20
223;7;Total men and women;2005;1370;1190;160;20
224;7;Total men and women;2006;710;600;80;10
225;7;Total men and women;2007;400;380;10;0
226;7;Total men and women;2008;470;460;10;0
227;7;Total men and women;2009;1060;1060;0;0
228;7;Men;1998;1250;0;40;1210
229;7;Men;1999;650;550;60;50
230;7;Men;2000;480;20;0;460
231;7;Men;2001;420;390;20;10
232;7;Men;2002;790;730;60;10
233;7;Men;2003;1240;1130;100;10
234;7;Men;2004;1140;1010;110;10
235;7;Men;2005;720;640;80;10
236;7;Men;2006;340;290;30;10
237;7;Men;2007;210;200;10;0
238;7;Men;2008;300;290;10;0
239;7;Men;2009;730;730;0;0
240;7;Women;1998;880;0;20;860
241;7;Women;1999;610;510;80;30
242;7;Women;2000;460;10;0;450
243;7;Women;2001;400;360;40;10
244;7;Women;2002;680;620;60;10
245;7;Women;2003;1050;940;100;0
246;7;Women;2004;960;830;130;10
247;7;Women;2005;650;550;80;10
248;7;Women;2006;370;310;50;0
249;7;Women;2007;190;190;10;0
250;7;Women;2008;170;170;0;0
251;7;Women;2009;320;320;0;0
252;8;Total men and women;1998;14740;40;290;14400
253;8;Total men and women;1999;8770;5810;1440;1520
254;8;Total men and women;2000;6610;430;160;6020
255;8;Total men and women;2001;6000;4490;980;540
256;8;Total men and women;2002;9260;6890;1600;770
257;8;Total men and women;2003;16030;11590;3050;1390
258;8;Total men and women;2004;15670;11440;2600;1630
259;8;Total men and women;2005;11410;8660;2110;640
260;8;Total men and women;2006;6600;5220;1050;130
261;8;Total men and women;2007;3860;3640;220;10
262;8;Total men and women;2008;5040;4760;270;10
263;8;Total men and women;2009;11520;11180;340;0
264;8;Men;1998;7590;20;180;7390
265;8;Men;1999;4130;2920;550;660
266;8;Men;2000;3190;200;50;2940
267;8;Men;2001;2780;2200;390;190
268;8;Men;2002;4870;3780;740;340
269;8;Men;2003;8350;6140;1550;670
270;8;Men;2004;7810;5840;1190;770
271;8;Men;2005;5390;4170;900;310
272;8;Men;2006;2930;2360;410;70
273;8;Men;2007;1730;1630;90;0
274;8;Men;2008;2660;2530;120;0
275;8;Men;2009;6680;6490;190;0
276;8;Women;1998;7150;20;110;7010
277;8;Women;1999;4640;2890;890;860
278;8;Women;2000;3420;230;110;3090
279;8;Women;2001;3220;2290;590;350
280;8;Women;2002;4390;3110;860;430
281;8;Women;2003;7670;5450;1500;720
282;8;Women;2004;7860;5600;1400;860
283;8;Women;2005;6010;4480;1200;330
284;8;Women;2006;3670;2850;640;60
285;8;Women;2007;2100;1970;120;10
286;8;Women;2008;2380;2230;150;10
287;8;Women;2009;4840;4690;150;0
288;9;Total men and women;1998;30860;130;580;30150
289;9;Total men and women;1999;20530;10130;3890;6510
290;9;Total men and women;2000;15330;1650;930;12750
291;9;Total men and women;2001;12310;6910;2530;2870
292;9;Total men and women;2002;17830;10340;4010;3480
293;9;Total men and women;2003;27810;15610;6660;5540
294;9;Total men and women;2004;27730;15330;6060;6330
295;9;Total men and women;2005;20120;12110;4890;3120
296;9;Total men and women;2006;11810;8050;2580;800
297;9;Total men and women;2007;7920;6500;1200;220
298;9;Total men and women;2008;9150;7840;1210;90
299;9;Total men and women;2009;22360;18880;3470;10
300;9;Men;1998;14270;70;350;13850
301;9;Men;1999;8870;5240;1520;2110
302;9;Men;2000;6690;660;320;5710
303;9;Men;2001;5300;3440;980;880
304;9;Men;2002;9010;5670;1900;1440
305;9;Men;2003;14370;8330;3380;2660
306;9;Men;2004;13800;7920;2840;3050
307;9;Men;2005;9310;5740;2140;1440
308;9;Men;2006;5240;3720;1030;320
309;9;Men;2007;3420;2900;480;50
310;9;Men;2008;4520;4010;490;20
311;9;Men;2009;12590;10580;2000;10
312;9;Women;1998;16590;60;240;16290
313;9;Women;1999;11670;4890;2370;4410
314;9;Women;2000;8640;990;610;7040
315;9;Women;2001;7010;3470;1550;1990
316;9;Women;2002;8820;4670;2120;2030
317;9;Women;2003;13440;7270;3290;2880
318;9;Women;2004;13930;7420;3230;3280
319;9;Women;2005;10810;6370;2750;1680
320;9;Women;2006;6560;4330;1550;480
321;9;Women;2007;4430;3530;720;170
322;9;Women;2008;4620;3830;720;70
323;9;Women;2009;9780;8300;1470;10
324;30 to 35 years;Total men and women;1998;32990;120;650;32220
325;30 to 35 years;Total men and women;1999;24370;10410;4630;9330
326;30 to 35 years;Total men and women;2000;19860;2340;1370;16150
327;30 to 35 years;Total men and women;2001;17670;8610;3770;5290
328;30 to 35 years;Total men and women;2002;25380;13050;6120;6210
329;30 to 35 years;Total men and women;2003;38020;18590;9710;9720
330;30 to 35 years;Total men and women;2004;39850;17610;9980;12260
331;30 to 35 years;Total men and women;2005;30090;14340;8240;7510
332;30 to 35 years;Total men and women;2006;18210;9770;5060;2860
333;30 to 35 years;Total men and women;2007;12330;7930;3040;1360
334;30 to 35 years;Total men and women;2008;12560;9060;2700;800
335;30 to 35 years;Total men and women;2009;27270;19210;7440;610
336;30 to 35 years;Men;1998;15100;70;420;14610
337;30 to 35 years;Men;1999;10570;5530;1840;3200
338;30 to 35 years;Men;2000;8750;940;470;7350
339;30 to 35 years;Men;2001;7800;4560;1520;1720
340;30 to 35 years;Men;2002;12690;7180;2990;2520
341;30 to 35 years;Men;2003;19650;10120;4940;4590
342;30 to 35 years;Men;2004;19630;9040;4720;5870
343;30 to 35 years;Men;2005;13530;6780;3380;3380
344;30 to 35 years;Men;2006;7870;4560;2020;1070
345;30 to 35 years;Men;2007;5270;3710;1190;370
346;30 to 35 years;Men;2008;5880;4510;1130;240
347;30 to 35 years;Men;2009;15140;10760;4110;280
348;30 to 35 years;Women;1998;17890;50;230;17610
349;30 to 35 years;Women;1999;13800;4890;2790;6130
